|6.6.6
Archiving\03_Data\Deqfrac/QFM_m2.5/WD94/WD94_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1598.04        2500.00        99.1260       0.766126       0.107887                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.45        2500.00        99.1033       0.788230       0.108428                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.86        2500.00        99.1685       0.730545       0.100947                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.27        2500.00        99.1491       0.747470       0.103435                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.68        2500.00        99.1580       0.740111       0.101886                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.09        2500.00        99.1657       0.733339       0.101009                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.49        2500.00        99.1723       0.728551       0.991536E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.90        2500.00        99.1812       0.721150       0.976457E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.31        2500.00        99.1878       0.715549       0.966196E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.72        2500.00        99.1952       0.709870       0.949241E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.13        2500.00        99.7179       0.235375       0.467006E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.54        2500.00        98.6940        1.16760       0.138409                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        99.2176       0.689853       0.925566E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.36        2500.00        99.2265       0.723161       0.503437E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.77        2500.00        99.2264       0.645569       0.128048                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.18        2500.00        99.2350       0.678268       0.866880E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.59        2500.00        99.2428       0.672855       0.843190E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.00        2500.00        99.1758       0.730885       0.933167E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.41        2500.00        99.3289       0.596528       0.745624E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.82        2500.00        99.2580       0.660981       0.809799E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.23        2500.00        99.2703       0.648419       0.813131E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.64        2500.00        99.2754       0.643903       0.806920E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.05        2500.00        99.2773       0.645095       0.776249E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.46        2500.00        99.2877       0.634269       0.780737E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.87        2500.00        99.2913       0.631513       0.771812E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.27        2500.00        99.2973       0.628127       0.745917E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.68        2500.00        99.3017       0.624964       0.732972E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.09        2500.00        99.3068       0.621435       0.717874E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.50        2500.00        99.3124       0.614528       0.731121E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.91        2500.00        99.1255       0.787976       0.865569E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.32        2500.00        99.5492       0.405199       0.455928E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.73        2500.00        99.2935       0.634110       0.723754E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.14        2500.00        99.3337       0.600482       0.658476E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.55        2500.00        99.3385       0.595568       0.658950E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.96        2500.00        99.3421       0.593609       0.642523E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.37        2500.00        99.3476       0.589170       0.631861E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.78        2500.00        98.3976        1.45988       0.142489                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.19        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.60        2500.00        99.9225       0.447377E-001  0.328091E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.01        2500.00        99.1072       0.841445       0.513931E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.42        2500.00        99.3694       0.571950       0.586857E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.83        2500.00        99.3733       0.571388       0.553016E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.24        2500.00        99.3773       0.566086       0.566094E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.65        2500.00        99.3818       0.565189       0.529798E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.05        2500.00        99.3834       0.565022       0.516028E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.46        2500.00        99.3902       0.558122       0.516376E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.87        2500.00        99.4416       0.510442       0.479631E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.28        2500.00        99.3491       0.597195       0.537032E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.69        2500.00        99.4010       0.549181       0.498013E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.10        2500.00        99.4054       0.545738       0.488759E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.51        2500.00        99.4083       0.544548       0.471144E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.92        2500.00        99.4111       0.543906       0.449683E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.33        2500.00        99.4149       0.540547       0.445751E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.74        2500.00        99.3900       0.435417       0.320355E-001  0.142562                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.15        2500.00        99.2451                 NaN  0.123864E-005  0.754892                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.56        2500.00        99.2447                 NaN  0.182583E-005  0.755311                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.97        2500.00        99.2426                 NaN            NaN  0.757445                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.38        2500.00        99.2406                 NaN            NaN  0.759396                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.79        2500.00        99.2371                 NaN            NaN  0.762875                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.20        2500.00        99.2319                 NaN            NaN  0.768057                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.61        2500.00        99.1678                 NaN            NaN  0.832209                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.02        2500.00        99.2900                 NaN            NaN  0.709984                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.43        2500.00        99.2179                 NaN            NaN  0.782070                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.83        2500.00        99.2088                 NaN            NaN  0.791226                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.24        2500.00        99.1964                 NaN  0.233017E-003  0.803392                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.65        2500.00        99.1868                 NaN            NaN  0.813173                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.06        2500.00        99.1680                 NaN            NaN  0.831963                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.47        2500.00        98.8976                 NaN            NaN  0.521394       0.580973                 NaN            NaN            NaN            NaN            NaN            NaN
  1489.88        2500.00        98.7749                 NaN            NaN  0.360288       0.864823                 NaN            NaN            NaN            NaN            NaN            NaN
  1488.29        2500.00        98.7868                 NaN            NaN  0.355135       0.858030                 NaN            NaN            NaN            NaN            NaN            NaN
  1486.70        2500.00        98.7963                 NaN            NaN  0.353854       0.849840                 NaN            NaN            NaN            NaN            NaN            NaN
  1485.11        2500.00        98.8043                 NaN            NaN  0.848192       0.347517                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.52        2500.00        98.8208                 NaN            NaN  0.346203       0.833008                 NaN            NaN            NaN            NaN            NaN            NaN
  1481.93        2500.00        98.8268                 NaN            NaN  0.830097       0.343062                 NaN            NaN            NaN            NaN            NaN            NaN
  1480.34        2500.00        98.8367                 NaN            NaN  0.822190       0.341111                 NaN            NaN            NaN            NaN            NaN            NaN
  1478.75        2500.00        98.8453                 NaN            NaN  0.816759       0.337895                 NaN            NaN            NaN            NaN            NaN            NaN
  1477.16        2500.00        98.8536                 NaN            NaN  0.335355       0.811077                 NaN            NaN            NaN            NaN            NaN            NaN
  1475.57        2500.00        98.8661                 NaN            NaN  0.801992       0.331897                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.98        2500.00        98.8729                 NaN            NaN  0.797737       0.329341                 NaN            NaN            NaN            NaN            NaN            NaN
  1472.39        2500.00        99.7402                 NaN  0.275021E-001  0.815101E-001  0.150825                 NaN            NaN            NaN            NaN            NaN            NaN
  1470.80        2500.00        98.0344                 NaN            NaN  0.523762        1.44185                 NaN            NaN            NaN            NaN            NaN            NaN
  1469.21        2500.00        98.8988                 NaN  0.773511E-002  0.784469       0.309021                 NaN            NaN            NaN            NaN            NaN            NaN
  1467.61        2500.00        98.9062                 NaN  0.678830E-002  0.308064       0.778947                 NaN            NaN            NaN            NaN            NaN            NaN
  1466.02        2500.00        98.9181                 NaN  0.378350E-001  0.255906       0.788163                 NaN            NaN            NaN            NaN            NaN            NaN
  1464.43        2500.00        98.9259                 NaN  0.423064E-001  0.785097       0.246731                 NaN            NaN            NaN            NaN            NaN            NaN
  1462.84        2500.00        98.9334                 NaN  0.412667E-001  0.248033       0.777289                 NaN            NaN            NaN            NaN            NaN            NaN
  1461.25        2500.00        98.9418                 NaN  0.393636E-001  0.246069       0.772763                 NaN            NaN            NaN            NaN            NaN            NaN
  1459.66        2500.00        98.9466                 NaN  0.382439E-001  0.768953       0.246222                 NaN            NaN            NaN            NaN            NaN            NaN
  1458.07        2500.00        98.9482                 NaN  0.368189E-001  0.247847       0.767115                 NaN            NaN            NaN            NaN            NaN            NaN
  1456.48        2500.00        98.7918                 NaN  0.409140E-001  0.880825       0.286429                 NaN            NaN            NaN            NaN            NaN            NaN
  1454.89        2500.00        99.1401                 NaN  0.288843E-001  0.202762       0.628227                 NaN            NaN            NaN            NaN            NaN            NaN
  1453.30        2500.00        98.9708                 NaN  0.330632E-001  0.750801       0.245358                 NaN            NaN            NaN            NaN            NaN            NaN
  1451.71        2500.00        98.9711                 NaN  0.317437E-001  0.245858       0.751319                 NaN            NaN            NaN            NaN            NaN            NaN
  1450.12        2500.00        98.9881                 NaN  0.302273E-001  0.242568       0.739134                 NaN            NaN            NaN            NaN            NaN            NaN
  1448.53        2500.00        97.7507                 NaN  0.247687       0.516408       0.924391                 NaN            NaN  0.560833                 NaN            NaN            NaN
  1446.94        2500.00        96.9625                 NaN  0.396329       0.677090        1.03691                 NaN            NaN  0.927136                 NaN            NaN            NaN
  1445.35        2500.00        97.0223                 NaN  0.395927        1.02388       0.648437                 NaN            NaN  0.909414                 NaN            NaN            NaN
  1443.76        2500.00        97.0898                 NaN  0.393326       0.623209        1.00490                 NaN            NaN  0.888771                 NaN            NaN            NaN
  1442.17        2500.00        97.1464                 NaN  0.393269       0.994470       0.593846                 NaN            NaN  0.871979                 NaN            NaN            NaN
  1440.58        2500.00        97.2099                 NaN  0.390909       0.977794       0.568485                 NaN            NaN  0.852955                 NaN            NaN            NaN
  1438.99        2500.00        97.2632                 NaN  0.390752       0.965747       0.543266                 NaN            NaN  0.837045                 NaN            NaN            NaN
  1437.39        2500.00        97.3151                 NaN  0.389982       0.518149       0.955421                 NaN            NaN  0.821338                 NaN            NaN            NaN
  1435.80        2500.00        97.3901                 NaN  0.386617       0.491807       0.931079                 NaN            NaN  0.800446                 NaN            NaN            NaN
  1434.21        2500.00        97.3911                 NaN  0.391707       0.474977       0.945473                 NaN            NaN  0.796739                 NaN            NaN            NaN
  1432.62        2500.00        97.4633                 NaN  0.388919       0.920687       0.450102                 NaN            NaN  0.777014                 NaN            NaN            NaN
  1431.03        2500.00        97.5154                 NaN  0.386502       0.909845       0.427503                 NaN            NaN  0.760702                 NaN            NaN            NaN
  1429.44        2500.00        97.5536                 NaN  0.387280       0.903889       0.405864                 NaN            NaN  0.749408                 NaN            NaN            NaN
  1427.85        2500.00        97.5983                 NaN  0.386894       0.893211       0.385652                 NaN            NaN  0.735977                 NaN            NaN            NaN
  1426.26        2500.00        97.6387                 NaN  0.386605       0.366207       0.884824                 NaN            NaN  0.723655                 NaN            NaN            NaN
  1424.67        2500.00        97.6809                 NaN  0.386138       0.345595       0.876524                 NaN            NaN  0.710847                 NaN            NaN            NaN
  1423.08        2500.00        97.7131                 NaN  0.386983       0.323567       0.874723                 NaN            NaN  0.701656                 NaN            NaN            NaN
  1421.49        2500.00        97.7619                 NaN  0.384598       0.306569       0.861104                 NaN            NaN  0.685823                 NaN            NaN            NaN
  1419.90        2500.00        97.7918                 NaN  0.386020       0.855595       0.289425                 NaN            NaN  0.677114                 NaN            NaN            NaN
  1418.31        2500.00        97.8313                 NaN  0.384875       0.270954       0.847794                 NaN            NaN  0.665104                 NaN            NaN            NaN
  1416.72        2500.00        97.8621                 NaN  0.385301       0.252462       0.844451                 NaN            NaN  0.655694                 NaN            NaN            NaN
  1415.13        2500.00        97.8944                 NaN  0.385854       0.837095       0.236829                 NaN            NaN  0.645776                 NaN            NaN            NaN
  1413.54        2500.00        97.9345                 NaN  0.381291       0.829541       0.221650                 NaN            NaN  0.633057                 NaN            NaN            NaN
  1411.95        2500.00        97.9545                 NaN  0.388661       0.832771       0.195663                 NaN            NaN  0.628357                 NaN            NaN            NaN
  1410.36        2500.00        97.9957                 NaN  0.382756       0.817767       0.189492                 NaN            NaN  0.614309                 NaN            NaN            NaN
  1408.77        2500.00        98.0235                 NaN  0.383297       0.817063       0.170077                 NaN            NaN  0.606090                 NaN            NaN            NaN
  1407.17        2500.00        98.0528                 NaN  0.383524       0.154154       0.812297                 NaN            NaN  0.597258                 NaN            NaN            NaN
  1405.58        2500.00        98.0811                 NaN  0.382871       0.807080       0.140612                 NaN            NaN  0.588308                 NaN            NaN            NaN
  1403.99        2500.00        98.1079                 NaN  0.383077       0.124846       0.803947                 NaN            NaN  0.580189                 NaN            NaN            NaN
  1402.40        2500.00        98.1356                 NaN  0.382110       0.799274       0.111624                 NaN            NaN  0.571381                 NaN            NaN            NaN
  1400.81        2500.00        98.1616                 NaN  0.381773       0.964717E-001  0.796755                 NaN            NaN  0.563415                 NaN            NaN            NaN
  1399.22        2500.00        98.1857                 NaN  0.381523       0.817751E-001  0.795057                 NaN            NaN  0.555945                 NaN            NaN            NaN
  1397.63        2500.00        98.2125                 NaN  0.380482       0.789094       0.703730E-001            NaN            NaN  0.547505                 NaN            NaN            NaN
  1396.04        2500.00        98.2367                 NaN  0.380106       0.565583E-001  0.786664                 NaN            NaN  0.539945                 NaN            NaN            NaN
  1394.45        2500.00        98.2606                 NaN  0.379766       0.783200       0.440065E-001            NaN            NaN  0.532465                 NaN            NaN            NaN
  1392.86        2500.00        98.2788                 NaN  0.379277       0.786808       0.282876E-001            NaN            NaN  0.526791                 NaN            NaN            NaN
  1391.27        2500.00        98.3074                 NaN  0.377335       0.780260       0.174052E-001            NaN            NaN  0.517602                 NaN            NaN            NaN
  1389.68        2500.00        98.3169                 NaN  0.348733       0.719796       0.102860                 NaN            NaN  0.511677                 NaN            NaN            NaN
  1388.09        2500.00        98.3522                 NaN  0.373525       0.770860                 NaN            NaN            NaN  0.503374                 NaN            NaN            NaN
  1386.50        2500.00        98.3731                 NaN  0.373809       0.756887                 NaN            NaN            NaN  0.496211                 NaN            NaN            NaN
  1384.91        2500.00        98.3880                 NaN  0.371620       0.748606                 NaN            NaN            NaN  0.491727                 NaN            NaN            NaN
  1383.32        2500.00        98.4102                 NaN  0.360005       0.747120                 NaN            NaN            NaN  0.482691                 NaN            NaN            NaN
  1381.73        2500.00        98.4286                 NaN  0.360603       0.733460                 NaN            NaN            NaN  0.477351                 NaN            NaN            NaN
  1380.14        2500.00        98.4184                 NaN  0.320681       0.669157       0.116463                 NaN            NaN  0.475318                 NaN            NaN            NaN
  1378.55        2500.00        98.4616                 NaN  0.343814       0.731095                 NaN            NaN            NaN  0.463505                 NaN            NaN            NaN
  1376.95        2500.00        98.4854                 NaN  0.349653       0.707228                 NaN            NaN            NaN  0.457692                 NaN            NaN            NaN
  1375.36        2500.00        98.5005                 NaN  0.347963       0.698622                 NaN            NaN            NaN  0.452937                 NaN            NaN            NaN
  1373.77        2500.00        98.5115                 NaN  0.333895       0.706038                 NaN            NaN            NaN  0.448593                 NaN            NaN            NaN
  1372.18        2500.00        98.5379                 NaN  0.336437       0.686741                 NaN            NaN            NaN  0.438892                 NaN            NaN            NaN
  1370.59        2500.00        98.5504                 NaN  0.338270       0.675670                 NaN            NaN            NaN  0.435702                 NaN            NaN            NaN
  1369.00        2500.00        98.4972                 NaN  0.414058       0.626110                 NaN            NaN            NaN  0.462656                 NaN            NaN            NaN
  1367.41        2500.00        98.6521                 NaN  0.257268       0.698456                 NaN            NaN            NaN  0.392193                 NaN            NaN            NaN
  1365.82        2500.00        98.6006                 NaN  0.331328       0.648861                 NaN            NaN            NaN  0.419179                 NaN            NaN            NaN
  1364.23        2500.00        98.6158                 NaN  0.325116       0.645718                 NaN            NaN            NaN  0.413319                 NaN            NaN            NaN
  1362.64        2500.00        98.6302                 NaN  0.321077       0.640346                 NaN            NaN            NaN  0.408333                 NaN            NaN            NaN
  1361.05        2500.00        98.6310                 NaN  0.333332       0.624840                 NaN            NaN            NaN  0.410820                 NaN            NaN            NaN
  1359.46        2500.00        98.6724                 NaN  0.308169       0.627443                 NaN            NaN            NaN  0.391955                 NaN            NaN            NaN
  1357.87        2500.00        98.6730                 NaN  0.308455       0.625719                 NaN            NaN            NaN  0.392860                 NaN            NaN            NaN
  1356.28        2500.00        98.6853                 NaN  0.306782       0.619264                 NaN            NaN            NaN  0.388650                 NaN            NaN            NaN
  1354.69        2500.00        98.6994                 NaN  0.303905       0.612884                 NaN            NaN            NaN  0.383839                 NaN            NaN            NaN
  1353.10        2500.00        98.7143                 NaN  0.297837       0.609678                 NaN            NaN            NaN  0.378225                 NaN            NaN            NaN
  1351.51        2500.00        98.7287                 NaN  0.296709       0.600723                 NaN            NaN            NaN  0.373822                 NaN            NaN            NaN
  1349.92        2500.00        98.7409                 NaN  0.293423       0.596428                 NaN            NaN            NaN  0.369298                 NaN            NaN            NaN
  1348.33        2500.00        98.7514                 NaN  0.290205       0.592578                 NaN            NaN            NaN  0.365818                 NaN            NaN            NaN
  1346.73        2500.00        98.7675                 NaN  0.283726       0.588917                 NaN            NaN            NaN  0.359837                 NaN            NaN            NaN
  1345.14        2500.00        98.7800                 NaN  0.280984       0.584095                 NaN            NaN            NaN  0.354965                 NaN            NaN            NaN
  1343.55        2500.00        98.7898                 NaN  0.278208       0.580172                 NaN            NaN            NaN  0.351801                 NaN            NaN            NaN
  1341.96        2500.00        98.8030                 NaN  0.275521       0.574191                 NaN            NaN            NaN  0.347297                 NaN            NaN            NaN
  1340.37        2500.00        98.8120                 NaN  0.268184       0.576247                 NaN            NaN            NaN  0.343572                 NaN            NaN            NaN
  1338.78        2500.00        98.8262                 NaN  0.268482       0.566374                 NaN            NaN            NaN  0.338934                 NaN            NaN            NaN
  1337.19        2500.00        98.8367                 NaN  0.265861       0.562079                 NaN            NaN            NaN  0.335335                 NaN            NaN            NaN
  1335.60        2500.00        98.8468                 NaN  0.257835       0.563972                 NaN            NaN            NaN  0.331387                 NaN            NaN            NaN
  1334.01        2500.00        98.8597                 NaN  0.257956       0.555369                 NaN            NaN            NaN  0.326980                 NaN            NaN            NaN
  1332.42        2500.00        98.8691                 NaN  0.255878       0.551105                 NaN            NaN            NaN  0.323871                 NaN            NaN            NaN
  1330.83        2500.00        98.8801                 NaN  0.249713       0.550636                 NaN            NaN            NaN  0.319521                 NaN            NaN            NaN
  1329.24        2500.00        98.8903                 NaN  0.245856       0.547877                 NaN            NaN            NaN  0.315970                 NaN            NaN            NaN
  1327.65        2500.00        98.9011                 NaN  0.242783       0.543710                 NaN            NaN            NaN  0.312379                 NaN            NaN            NaN
  1326.06        2500.00        98.9087                 NaN  0.236680       0.545341                 NaN            NaN            NaN  0.309300                 NaN            NaN            NaN
  1324.47        2500.00        98.9217                 NaN  0.229668       0.544169                 NaN            NaN            NaN  0.304432                 NaN            NaN            NaN
  1322.88        2500.00        98.9291                 NaN  0.232414       0.536115                 NaN            NaN            NaN  0.302342                 NaN            NaN            NaN
  1321.29        2500.00        98.9405                 NaN  0.224415       0.537404                 NaN            NaN            NaN  0.297724                 NaN            NaN            NaN
  1319.70        2500.00        98.9269                 NaN  0.220153       0.549724                 NaN            NaN            NaN  0.303218                 NaN            NaN            NaN
  1318.11        2500.00        98.9799                 NaN  0.211929       0.524972                 NaN            NaN            NaN  0.283152                 NaN            NaN            NaN
  1316.51        2500.00        98.9662                 NaN  0.211844       0.533452                 NaN            NaN            NaN  0.288536                 NaN            NaN            NaN
  1314.92        2500.00        98.9755                 NaN  0.209445       0.529673                 NaN            NaN            NaN  0.285416                 NaN            NaN            NaN
  1313.33        2500.00        98.9842                 NaN  0.203721       0.529910                 NaN            NaN            NaN  0.282123                 NaN            NaN            NaN
  1311.74        2500.00        98.9923                 NaN  0.200426       0.528038                 NaN            NaN            NaN  0.279234                 NaN            NaN            NaN
  1310.15        2500.00        99.0006                 NaN  0.194239       0.529039                 NaN            NaN            NaN  0.276153                 NaN            NaN            NaN
  1308.56        2500.00        99.0093                 NaN  0.189863       0.527639                 NaN            NaN            NaN  0.273234                 NaN            NaN            NaN
  1306.97        2500.00        99.0158                 NaN  0.184609       0.529082                 NaN            NaN            NaN  0.270514                 NaN            NaN            NaN
  1305.38        2500.00        99.0239                 NaN  0.180378       0.528060                 NaN            NaN            NaN  0.267671                 NaN            NaN            NaN
  1303.79        2500.00        99.0308                 NaN  0.176314       0.527789                 NaN            NaN            NaN  0.265133                 NaN            NaN            NaN
  1302.20        2500.00        99.0376                 NaN  0.168685       0.531382                 NaN            NaN            NaN  0.262336                 NaN            NaN            NaN
  1300.61        2500.00        99.0450                 NaN  0.163494       0.531696                 NaN            NaN            NaN  0.259823                 NaN            NaN            NaN
  1299.02        2500.00        96.4744                 NaN  0.334821        1.11938                 NaN            NaN            NaN  0.576156        1.49528                 NaN            NaN
  1297.43        2500.00        88.9538                 NaN  0.763921        2.95470                 NaN            NaN            NaN   1.50398        5.82363                 NaN            NaN
  1295.84        2500.00        89.4752                 NaN  0.650179        2.94778                 NaN            NaN            NaN   1.43839        5.48842                 NaN            NaN
  1294.25        2500.00        83.5417                 NaN  0.951278        4.26376                 NaN            NaN            NaN   2.22475        8.56035       0.458118                 NaN
  1292.66        2500.00        83.3590                 NaN  0.980735        4.27528                 NaN            NaN            NaN   2.24921        8.60633       0.529458                 NaN
  1291.07        2500.00        84.9015                 NaN  0.928587        3.88620                 NaN            NaN            NaN   2.04613        7.76206       0.475570                 NaN
  1289.48        2500.00        85.5903                 NaN   1.07797        3.44438                 NaN            NaN            NaN   1.95672        7.45452       0.476073                 NaN
  1287.89        2500.00        88.1558                 NaN  0.714352        3.20922                 NaN            NaN            NaN   1.61592        5.95370       0.351025                 NaN
  1286.29        2500.00        87.1211                 NaN  0.837299        3.26182                 NaN            NaN            NaN   1.77086        6.60778       0.401125                 NaN
  1284.70        2500.00        90.9877                 NaN  0.377129        2.72574                 NaN            NaN            NaN   1.21596        4.43659       0.256883                 NaN
