|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.5/YM20/YM20_3.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc             q             
  1353.31        2500.00                 NaN   99.2998                 NaN  0.923257E-001  0.208426       0.153743       0.245689                 NaN            NaN            NaN            NaN            NaN
  1351.86        2500.00                 NaN   99.3092                 NaN  0.910970E-001  0.205746       0.151753       0.242210                 NaN            NaN            NaN            NaN            NaN
  1350.40        2500.00                 NaN   99.3170                 NaN  0.900962E-001  0.203543       0.150007       0.239312                 NaN            NaN            NaN            NaN            NaN
  1348.95        2500.00                 NaN   99.3249                 NaN  0.890511E-001  0.148069       0.201544       0.236416                 NaN            NaN            NaN            NaN            NaN
  1347.50        2500.00                 NaN   99.3330                 NaN  0.879704E-001  0.198865       0.146694       0.233473                 NaN            NaN            NaN            NaN            NaN
  1346.04        2500.00                 NaN   99.3397                 NaN  0.868961E-001  0.145327       0.197146       0.230948                 NaN            NaN            NaN            NaN            NaN
  1344.59        2500.00                 NaN   99.6603                 NaN  0.455479E-001  0.763743E-001  0.962184E-001  0.121600                 NaN            NaN            NaN            NaN            NaN
  1343.13        2500.00                 NaN   99.0426                 NaN  0.123680       0.288040       0.214116       0.331613                 NaN            NaN            NaN            NaN            NaN
  1341.68        2500.00                 NaN   99.3628                 NaN  0.835883E-001  0.189627       0.141558       0.222454                 NaN            NaN            NaN            NaN            NaN
  1340.23        2500.00                 NaN   99.3701                 NaN  0.826990E-001  0.139694       0.187773       0.219757                 NaN            NaN            NaN            NaN            NaN
  1338.77        2500.00                 NaN   99.3775                 NaN  0.814688E-001  0.185345       0.138709       0.216961                 NaN            NaN            NaN            NaN            NaN
  1337.32        2500.00                 NaN   99.3843                 NaN  0.803908E-001  0.183419       0.137457       0.214453                 NaN            NaN            NaN            NaN            NaN
  1335.86        2500.00                 NaN   99.3908                 NaN  0.793972E-001  0.181459       0.136312       0.211984                 NaN            NaN            NaN            NaN            NaN
  1334.41        2500.00                 NaN   99.3972                 NaN  0.782352E-001  0.179378       0.135465       0.209728                 NaN            NaN            NaN            NaN            NaN
  1332.96        2500.00                 NaN   99.4049                 NaN  0.767563E-001  0.176784       0.134969       0.206593                 NaN            NaN            NaN            NaN            NaN
  1331.50        2500.00                 NaN   99.4103                 NaN  0.757823E-001  0.134292       0.174993       0.204640                 NaN            NaN            NaN            NaN            NaN
  1330.05        2500.00                 NaN   99.4167                 NaN  0.745641E-001  0.172846       0.133644       0.202240                 NaN            NaN            NaN            NaN            NaN
  1328.59        2500.00                 NaN   99.4231                 NaN  0.735714E-001  0.170842       0.132606       0.199875                 NaN            NaN            NaN            NaN            NaN
  1327.14        2500.00                 NaN   99.4291                 NaN  0.726154E-001  0.131693       0.168866       0.197677                 NaN            NaN            NaN            NaN            NaN
  1325.69        2500.00                 NaN   99.4353                 NaN  0.708265E-001  0.166431       0.132207       0.195204                 NaN            NaN            NaN            NaN            NaN
  1324.23        2500.00                 NaN   99.4399                 NaN  0.698267E-001  0.165064       0.131855       0.193336                 NaN            NaN            NaN            NaN            NaN
  1322.78        2500.00                 NaN   99.4470                 NaN  0.683384E-001  0.162539       0.131436       0.190644                 NaN            NaN            NaN            NaN            NaN
  1321.33        2500.00                 NaN   99.4521                 NaN  0.676764E-001  0.161352       0.130009       0.188838                 NaN            NaN            NaN            NaN            NaN
  1319.87        2500.00                 NaN   99.4576                 NaN  0.655554E-001  0.158632       0.131683       0.186499                 NaN            NaN            NaN            NaN            NaN
  1318.42        2500.00                 NaN   99.4635                 NaN  0.649729E-001  0.130319       0.156767       0.184487                 NaN            NaN            NaN            NaN            NaN
  1316.96        2500.00                 NaN   99.4687                 NaN  0.636103E-001  0.154905       0.130400       0.182352                 NaN            NaN            NaN            NaN            NaN
  1315.51        2500.00                 NaN   99.4741                 NaN  0.624231E-001  0.152735       0.130390       0.180400                 NaN            NaN            NaN            NaN            NaN
  1314.06        2500.00                 NaN   83.9120                 NaN   1.25390        2.00816       0.253720        2.07805        10.4942                 NaN            NaN            NaN            NaN
  1312.60        2500.00                 NaN   83.5234                 NaN   1.29774        2.14078       0.142240        2.12524        10.7706                 NaN            NaN            NaN            NaN
  1311.15        2500.00                 NaN   85.5591                 NaN   1.17852        1.95070       0.610068E-002   1.87056        9.43504                 NaN            NaN            NaN            NaN
  1309.69        2500.00                 NaN   86.9867                 NaN   1.05547        1.78816                 NaN   1.69430        8.47536                 NaN            NaN            NaN            NaN
  1308.24        2500.00                 NaN   88.2325                 NaN  0.952985        1.63336                 NaN   1.53981        7.64135                 NaN            NaN            NaN            NaN
  1306.79        2500.00                 NaN   89.2923                 NaN  0.865524        1.50145                 NaN   1.40794        6.93281                 NaN            NaN            NaN            NaN
  1305.33        2500.00                 NaN   90.2064                 NaN  0.790890        1.38719                 NaN   1.29404        6.32152                 NaN            NaN            NaN            NaN
  1303.88        2500.00                 NaN   90.9960                 NaN  0.726576        1.28803                 NaN   1.19538        5.79402                 NaN            NaN            NaN            NaN
  1302.42        2500.00                 NaN   91.6847                 NaN  0.673701        1.19704                 NaN   1.10911        5.33544                 NaN            NaN            NaN            NaN
  1300.97        2500.00                 NaN   92.2990                 NaN  0.627070        1.11444                 NaN   1.03203        4.92741                 NaN            NaN            NaN            NaN
  1299.52        2500.00                 NaN   92.8451                 NaN  0.583853        1.04419                 NaN  0.963181        4.56369                 NaN            NaN            NaN            NaN
  1298.06        2500.00                 NaN   93.3226                 NaN  0.545768       0.984284                 NaN  0.903299        4.24403                 NaN            NaN            NaN            NaN
  1296.61        2500.00                 NaN   93.7600                 NaN  0.513134       0.925456                 NaN  0.848030        3.95336                 NaN            NaN            NaN            NaN
  1295.15        2500.00                 NaN   94.1471                 NaN  0.483192       0.875068                 NaN  0.799093        3.69552                 NaN            NaN            NaN            NaN
  1293.70        2500.00                 NaN   92.0542                 NaN  0.570731        1.15080                 NaN   1.07038        5.01865       0.135214                 NaN            NaN            NaN
  1292.25        2500.00                 NaN   90.4371                 NaN  0.636347        1.35203                 NaN   1.27722        6.04073       0.256563                 NaN            NaN            NaN
  1290.79        2500.00                 NaN   91.4180                 NaN  0.583548        1.20904                 NaN   1.14793        5.41077       0.230713                 NaN            NaN            NaN
  1289.34        2500.00                 NaN   92.2515                 NaN  0.535254        1.09312                 NaN   1.03865        4.87290       0.208524                 NaN            NaN            NaN
  1287.88        2500.00                 NaN   92.7082                 NaN  0.507017        1.03034                 NaN  0.980729        4.57686       0.196876                 NaN            NaN            NaN
  1286.43        2500.00                 NaN   93.8133                 NaN  0.438511       0.879551                 NaN  0.831920        3.86994       0.166751                 NaN            NaN            NaN
