|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.25/GRV/GRV_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        San(TH)        ilm            q             
  1546.85        2500.00       0.678051E-002   98.2431                 NaN  0.255463        1.49461                 NaN            NaN            NaN            NaN            NaN            NaN
  1545.38        2500.00       0.785424E-002   98.2288       0.101852       0.219866        1.44167                 NaN            NaN            NaN            NaN            NaN            NaN
  1543.91        2500.00       0.569127E-002   98.2154       0.247155       0.168844        1.36291                 NaN            NaN            NaN            NaN            NaN            NaN
  1542.44        2500.00       0.537873E-002   98.2407       0.248661       0.167723        1.33756                 NaN            NaN            NaN            NaN            NaN            NaN
  1540.97        2500.00       0.518811E-002   98.2617       0.245813       0.166526        1.32078                 NaN            NaN            NaN            NaN            NaN            NaN
  1539.50        2500.00       0.475858E-002   98.2927       0.249286       0.165371        1.28788                 NaN            NaN            NaN            NaN            NaN            NaN
  1538.03        2500.00       0.451583E-002   98.3148       0.248591       0.164544        1.26755                 NaN            NaN            NaN            NaN            NaN            NaN
  1536.56        2500.00       0.423956E-002   98.3362       0.249001       0.163559        1.24703                 NaN            NaN            NaN            NaN            NaN            NaN
  1535.09        2500.00       0.403329E-002   98.3595       0.245569       0.162470        1.22844                 NaN            NaN            NaN            NaN            NaN            NaN
  1533.62        2500.00       0.383907E-002   98.3813       0.241703       0.161533        1.21165                 NaN            NaN            NaN            NaN            NaN            NaN
  1532.15        2500.00       0.358609E-002   98.4032       0.240965       0.160557        1.19170                 NaN            NaN            NaN            NaN            NaN            NaN
  1530.68        2500.00       0.335637E-002   98.4195       0.239413       0.159805        1.17791                 NaN            NaN            NaN            NaN            NaN            NaN
  1529.21        2500.00       0.318565E-002   98.4495       0.233484       0.158555        1.15527                 NaN            NaN            NaN            NaN            NaN            NaN
  1527.74        2500.00       0.295581E-002   98.4659       0.232842       0.157685        1.14065                 NaN            NaN            NaN            NaN            NaN            NaN
  1526.27        2500.00       0.277658E-002   98.4851       0.229004       0.156830        1.12626                 NaN            NaN            NaN            NaN            NaN            NaN
  1524.80        2500.00       0.259496E-002   98.5034       0.226680       0.156050        1.11123                 NaN            NaN            NaN            NaN            NaN            NaN
  1523.33        2500.00       0.245204E-002   98.5235       0.221679       0.155146        1.09722                 NaN            NaN            NaN            NaN            NaN            NaN
  1521.86        2500.00       0.226768E-002   98.5415       0.219331       0.154291        1.08265                 NaN            NaN            NaN            NaN            NaN            NaN
  1520.39        2500.00       0.209643E-002   98.5604       0.216068       0.153387        1.06807                 NaN            NaN            NaN            NaN            NaN            NaN
  1518.92        2500.00       0.733182E-003   98.2950       0.452217       0.458068E-001   1.20623                 NaN            NaN            NaN            NaN            NaN            NaN
  1517.45        2500.00       0.274568E-002   98.8669                 NaN  0.244350       0.886025                 NaN            NaN            NaN            NaN            NaN            NaN
  1515.98        2500.00       0.258452E-002   98.4100       0.196924       0.190914        1.19956                 NaN            NaN            NaN            NaN            NaN            NaN
  1514.51        2500.00       0.958701E-003   99.1652       0.121104       0.915262E-001  0.621245                 NaN            NaN            NaN            NaN            NaN            NaN
  1513.04        2500.00       0.169979E-002   98.3207       0.245851       0.186171        1.24554                 NaN            NaN            NaN            NaN            NaN            NaN
  1511.57        2500.00       0.125721E-002   98.6576       0.194870       0.148891       0.997375                 NaN            NaN            NaN            NaN            NaN            NaN
  1510.10        2500.00       0.139862E-002   98.5051       0.211851       0.167429        1.11419                 NaN            NaN            NaN            NaN            NaN            NaN
  1508.63        2500.00       0.886676E-003   98.8604       0.162472       0.128702       0.847535                 NaN            NaN            NaN            NaN            NaN            NaN
  1507.16        2500.00       0.933804E-003   98.7021       0.183447       0.146958       0.966580                 NaN            NaN            NaN            NaN            NaN            NaN
  1505.69        2500.00       0.137232E-001   98.4671       0.306200       0.304380       0.908629                 NaN            NaN            NaN            NaN            NaN            NaN
  1504.22        2500.00                 NaN   98.9872                 NaN  0.323658E-002   1.00954                 NaN            NaN            NaN            NaN            NaN            NaN
  1502.75        2500.00                 NaN   98.7666       0.959974E-001  0.176909       0.960509                 NaN            NaN            NaN            NaN            NaN            NaN
  1501.28        2500.00                 NaN   98.7571       0.175797       0.141759       0.925296                 NaN            NaN            NaN            NaN            NaN            NaN
  1499.81        2500.00                 NaN   98.7765       0.169555       0.140926       0.913064                 NaN            NaN            NaN            NaN            NaN            NaN
  1498.34        2500.00                 NaN   98.7847       0.165010       0.140871       0.909371                 NaN            NaN            NaN            NaN            NaN            NaN
  1496.87        2500.00       0.541432E-002   98.8166       0.994953E-001  0.166084       0.912426                 NaN            NaN            NaN            NaN            NaN            NaN
  1495.40        2500.00                 NaN   98.8033       0.156871       0.140721       0.899077                 NaN            NaN            NaN            NaN            NaN            NaN
  1493.93        2500.00                 NaN   98.8221       0.152464       0.139972       0.885448                 NaN            NaN            NaN            NaN            NaN            NaN
  1492.46        2500.00                 NaN   98.8324       0.148215       0.141864       0.877497                 NaN            NaN            NaN            NaN            NaN            NaN
  1490.99        2500.00                 NaN   98.8468       0.144144       0.139093       0.869929                 NaN            NaN            NaN            NaN            NaN            NaN
  1489.52        2500.00       0.110664E-001   98.8320       0.206900E-001  0.233721       0.902545                 NaN            NaN            NaN            NaN            NaN            NaN
  1488.05        2500.00                 NaN   98.9204       0.127191       0.998638E-001  0.852577                 NaN            NaN            NaN            NaN            NaN            NaN
  1486.58        2500.00                 NaN   98.8801       0.132050       0.138739       0.849102                 NaN            NaN            NaN            NaN            NaN            NaN
  1485.11        2500.00                 NaN   98.8898       0.127856       0.138256       0.844047                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.64        2500.00                 NaN   98.8992       0.124830       0.138194       0.837803                 NaN            NaN            NaN            NaN            NaN            NaN
  1482.17        2500.00                 NaN   98.9028       0.125356       0.140398       0.831403                 NaN            NaN            NaN            NaN            NaN            NaN
  1480.70        2500.00                 NaN   98.9253       0.113271       0.139603       0.821778                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.23        2500.00                 NaN   98.9330       0.113118       0.139362       0.814566                 NaN            NaN            NaN            NaN            NaN            NaN
  1477.76        2500.00                 NaN   98.9395       0.109482       0.137386       0.813653                 NaN            NaN            NaN            NaN            NaN            NaN
  1476.29        2500.00                 NaN   98.9480       0.106457       0.137121       0.808400                 NaN            NaN            NaN            NaN            NaN            NaN
  1474.82        2500.00                 NaN   98.9528       0.102158       0.139765       0.805228                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.35        2500.00                 NaN   98.9711       0.994170E-001  0.134880       0.794636                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.88        2500.00                 NaN   98.9743       0.963970E-001  0.138100       0.791181                 NaN            NaN            NaN            NaN            NaN            NaN
  1470.41        2500.00                 NaN   98.5081       0.136723       0.201507        1.15368                 NaN            NaN            NaN            NaN            NaN            NaN
  1468.94        2500.00                 NaN   99.4750       0.474755E-001  0.691641E-001  0.408340                 NaN            NaN            NaN            NaN            NaN            NaN
  1467.47        2500.00                 NaN   98.9993       0.869435E-001  0.135941       0.777849                 NaN            NaN            NaN            NaN            NaN            NaN
  1466.00        2500.00                 NaN   99.0055       0.850984E-001  0.134080       0.775294                 NaN            NaN            NaN            NaN            NaN            NaN
  1464.53        2500.00                 NaN   99.0142       0.807169E-001  0.135708       0.769326                 NaN            NaN            NaN            NaN            NaN            NaN
  1463.06        2500.00                 NaN   99.0213       0.779747E-001  0.136840       0.763857                 NaN            NaN            NaN            NaN            NaN            NaN
  1461.59        2500.00                 NaN   99.0310       0.742749E-001  0.135061       0.759673                 NaN            NaN            NaN            NaN            NaN            NaN
  1460.12        2500.00                 NaN   99.0346       0.719585E-001  0.134278       0.759142                 NaN            NaN            NaN            NaN            NaN            NaN
  1458.65        2500.00                 NaN   99.0413       0.671084E-001  0.137547       0.754091                 NaN            NaN            NaN            NaN            NaN            NaN
  1457.18        2500.00                 NaN   99.0511       0.661886E-001  0.132414       0.750292                 NaN            NaN            NaN            NaN            NaN            NaN
  1455.71        2500.00                 NaN   99.0548       0.642821E-001  0.132381       0.748512                 NaN            NaN            NaN            NaN            NaN            NaN
  1454.24        2500.00                 NaN   99.0609       0.624654E-001  0.130982       0.745698                 NaN            NaN            NaN            NaN            NaN            NaN
  1452.77        2500.00                 NaN   99.0687       0.582524E-001  0.132194       0.740852                 NaN            NaN            NaN            NaN            NaN            NaN
  1451.30        2500.00                 NaN   99.0716       0.573590E-001  0.129904       0.741124                 NaN            NaN            NaN            NaN            NaN            NaN
  1449.83        2500.00                 NaN   99.0804       0.532201E-001  0.130333       0.736006                 NaN            NaN            NaN            NaN            NaN            NaN
  1448.36        2500.00                 NaN   99.0849       0.504075E-001  0.131494       0.733231                 NaN            NaN            NaN            NaN            NaN            NaN
  1446.89        2500.00                 NaN   99.0906       0.479360E-001  0.130141       0.731306                 NaN            NaN            NaN            NaN            NaN            NaN
  1445.42        2500.00                 NaN   99.0780       0.114832E-001  0.103762       0.693286       0.113488                 NaN            NaN            NaN            NaN            NaN
  1443.95        2500.00                 NaN   99.0680                 NaN  0.793196E-001  0.192209       0.660493                 NaN            NaN            NaN            NaN            NaN
  1442.48        2500.00                 NaN   99.0753       0.601480E-001  0.756957E-001  0.127869       0.660979                 NaN            NaN            NaN            NaN            NaN
  1441.01        2500.00                 NaN   99.0788                 NaN  0.761123E-001  0.195434       0.649606                 NaN            NaN            NaN            NaN            NaN
  1439.54        2500.00                 NaN   99.0815                 NaN  0.754637E-001  0.646734       0.196287                 NaN            NaN            NaN            NaN            NaN
  1438.07        2500.00                 NaN   99.0856                 NaN  0.745531E-001  0.643028       0.196833                 NaN            NaN            NaN            NaN            NaN
  1436.60        2500.00                 NaN   99.0912                 NaN  0.725168E-001  0.636811       0.199500                 NaN            NaN            NaN            NaN            NaN
  1435.13        2500.00                 NaN   99.0932                 NaN  0.720574E-001  0.633949       0.200753                 NaN            NaN            NaN            NaN            NaN
  1433.66        2500.00                 NaN   99.0989                 NaN  0.703731E-001  0.630362       0.200406                 NaN            NaN            NaN            NaN            NaN
  1432.19        2500.00                 NaN   99.1017                 NaN  0.692773E-001  0.626520       0.202458                 NaN            NaN            NaN            NaN            NaN
  1430.72        2500.00                 NaN   99.0987                 NaN  0.687888E-001  0.205347       0.627176                 NaN            NaN            NaN            NaN            NaN
  1429.25        2500.00                 NaN   99.1159                 NaN  0.665582E-001  0.203757       0.613829                 NaN            NaN            NaN            NaN            NaN
  1427.78        2500.00                 NaN   99.1127                 NaN  0.657231E-001  0.206610       0.614982                 NaN            NaN            NaN            NaN            NaN
  1426.31        2500.00                 NaN   99.1161                 NaN  0.647057E-001  0.207677       0.611513                 NaN            NaN            NaN            NaN            NaN
  1424.84        2500.00                 NaN   99.1185                 NaN  0.638031E-001  0.609278       0.208409                 NaN            NaN            NaN            NaN            NaN
  1423.37        2500.00                 NaN   99.1226                 NaN  0.622921E-001  0.604696       0.210373                 NaN            NaN            NaN            NaN            NaN
  1421.90        2500.00                 NaN   99.1250                 NaN  0.613113E-001  0.211114       0.602559                 NaN            NaN            NaN            NaN            NaN
  1420.43        2500.00                 NaN   99.1282                 NaN  0.602752E-001  0.212334       0.599168                 NaN            NaN            NaN            NaN            NaN
  1418.96        2500.00                 NaN   99.1313                 NaN  0.589845E-001  0.213358       0.596381                 NaN            NaN            NaN            NaN            NaN
  1417.49        2500.00                 NaN   99.1338                 NaN  0.579180E-001  0.593551       0.214771                 NaN            NaN            NaN            NaN            NaN
  1416.02        2500.00                 NaN   99.1316                 NaN  0.568687E-001  0.595179       0.216356                 NaN            NaN            NaN            NaN            NaN
  1414.55        2500.00                 NaN   99.1431                 NaN  0.557312E-001  0.216302       0.584911                 NaN            NaN            NaN            NaN            NaN
  1413.08        2500.00                 NaN   99.1410                 NaN  0.546726E-001  0.586117       0.218177                 NaN            NaN            NaN            NaN            NaN
  1411.61        2500.00       0.202250E-002   99.1391                 NaN  0.525641E-001  0.225504       0.580783                 NaN            NaN            NaN            NaN            NaN
  1410.14        2500.00                 NaN   99.1468                 NaN  0.526359E-001  0.220175       0.580349                 NaN            NaN            NaN            NaN            NaN
  1408.67        2500.00       0.348987E-003   99.1464                 NaN  0.514250E-001  0.578113       0.223697                 NaN            NaN            NaN            NaN            NaN
  1407.20        2500.00                 NaN   99.1484                 NaN  0.504430E-001  0.577204       0.223947                 NaN            NaN            NaN            NaN            NaN
  1405.73        2500.00                 NaN   99.1497                 NaN  0.492038E-001  0.576247       0.224821                 NaN            NaN            NaN            NaN            NaN
  1404.26        2500.00                 NaN   99.1514                 NaN  0.482989E-001  0.226286       0.574018                 NaN            NaN            NaN            NaN            NaN
  1402.79        2500.00                 NaN   99.1514                 NaN  0.471689E-001  0.227775       0.573664                 NaN            NaN            NaN            NaN            NaN
  1401.32        2500.00       0.949615E-003   99.1375                 NaN  0.221980E-001  0.547896       0.291469                 NaN            NaN            NaN            NaN            NaN
  1399.85        2500.00                 NaN   99.1384                 NaN  0.818794E-001  0.591685       0.169296       0.187053E-001            NaN            NaN            NaN            NaN
  1398.38        2500.00                 NaN   98.2094                 NaN  0.412156       0.211150       0.647515       0.519742                 NaN            NaN            NaN            NaN
  1396.91        2500.00                 NaN   98.2273                 NaN  0.414192       0.200258       0.643535       0.514742                 NaN            NaN            NaN            NaN
  1395.44        2500.00       0.160818E-003   98.2438                 NaN  0.416989       0.639733       0.188955       0.510368                 NaN            NaN            NaN            NaN
  1393.97        2500.00                 NaN   98.2719                 NaN  0.414466       0.178608       0.634072       0.500913                 NaN            NaN            NaN            NaN
  1392.50        2500.00                 NaN   98.2836                 NaN  0.418257       0.168449       0.631809       0.497851                 NaN            NaN            NaN            NaN
  1391.03        2500.00                 NaN   98.3017                 NaN  0.419734       0.627989       0.157964       0.492606                 NaN            NaN            NaN            NaN
  1389.56        2500.00                 NaN   98.2847                 NaN  0.432763       0.140991       0.642505       0.498992                 NaN            NaN            NaN            NaN
  1388.09        2500.00                 NaN   98.3610                 NaN  0.411869       0.609424       0.144449       0.473257                 NaN            NaN            NaN            NaN
  1386.62        2500.00                 NaN   98.3506                 NaN  0.424470       0.617824       0.129028       0.478092                 NaN            NaN            NaN            NaN
  1385.15        2500.00                 NaN   98.3685                 NaN  0.425642       0.119445       0.613223       0.473228                 NaN            NaN            NaN            NaN
  1383.68        2500.00                 NaN   98.3835                 NaN  0.426737       0.111441       0.610274       0.467999                 NaN            NaN            NaN            NaN
  1382.21        2500.00                 NaN   98.3997                 NaN  0.427831       0.606934       0.102150       0.463421                 NaN            NaN            NaN            NaN
  1380.74        2500.00                 NaN   98.4119                 NaN  0.429815       0.934088E-001  0.605311       0.459576                 NaN            NaN            NaN            NaN
  1379.27        2500.00                 NaN   98.4280                 NaN  0.429957       0.601957       0.854809E-001  0.454588                 NaN            NaN            NaN            NaN
  1377.80        2500.00                 NaN   98.4415                 NaN  0.430937       0.778624E-001  0.599354       0.450301                 NaN            NaN            NaN            NaN
  1376.33        2500.00       0.100434E-001   98.4399                 NaN  0.420143       0.872081E-001  0.595160       0.447571                 NaN            NaN            NaN            NaN
  1374.86        2500.00       0.591654E-001   98.3451                 NaN  0.361143       0.610387       0.165703       0.458530                 NaN            NaN            NaN            NaN
  1373.39        2500.00       0.852407E-001   98.3641                 NaN  0.325824       0.180139       0.603274       0.441422                 NaN            NaN            NaN            NaN
  1371.92        2500.00       0.154561        98.2085                 NaN  0.243457       0.659073       0.274731       0.459630                 NaN            NaN            NaN            NaN
  1370.45        2500.00       0.195867        98.1668                 NaN  0.176436       0.680961       0.329477       0.450429                 NaN            NaN            NaN            NaN
  1368.98        2500.00       0.271792        98.0151                 NaN  0.802022E-001  0.428295       0.742476       0.462146                 NaN            NaN            NaN            NaN
  1367.51        2500.00       0.337632        97.6414                 NaN  0.342723       0.185553       0.900581       0.592133                 NaN            NaN            NaN            NaN
  1366.04        2500.00       0.279954        98.2012                 NaN            NaN  0.345473       0.779208       0.394201                 NaN            NaN            NaN            NaN
  1364.57        2500.00       0.349212        97.9152                 NaN            NaN  0.803831       0.467927       0.463809                 NaN            NaN            NaN            NaN
  1363.10        2500.00       0.357560        97.9171                 NaN            NaN  0.811279       0.451461       0.462570                 NaN            NaN            NaN            NaN
  1361.63        2500.00       0.360691        97.9329                 NaN            NaN  0.436953       0.810560       0.458890                 NaN            NaN            NaN            NaN
  1360.16        2500.00       0.359281        97.9589                 NaN            NaN  0.803042       0.425417       0.453386                 NaN            NaN            NaN            NaN
  1358.69        2500.00       0.357671        97.9851                 NaN            NaN  0.795173       0.414108       0.447994                 NaN            NaN            NaN            NaN
  1357.22        2500.00       0.353793        98.0161                 NaN            NaN  0.783889       0.404468       0.441770                 NaN            NaN            NaN            NaN
  1355.75        2500.00       0.349699        98.0479                 NaN            NaN  0.394684       0.772366       0.435362                 NaN            NaN            NaN            NaN
  1354.28        2500.00       0.345147        98.0806                 NaN            NaN  0.386231       0.759209       0.428848                 NaN            NaN            NaN            NaN
  1352.81        2500.00       0.339202        98.1149                 NaN            NaN  0.744107       0.379530       0.422218                 NaN            NaN            NaN            NaN
  1351.34        2500.00       0.334182        98.1474                 NaN            NaN  0.371400       0.731256       0.415764                 NaN            NaN            NaN            NaN
  1349.87        2500.00       0.329315        98.1792                 NaN            NaN  0.363669       0.718428       0.409370                 NaN            NaN            NaN            NaN
  1348.40        2500.00       0.323843        98.2095                 NaN            NaN  0.705609       0.357590       0.403505                 NaN            NaN            NaN            NaN
  1346.93        2500.00       0.318293        98.2435                 NaN            NaN  0.691425       0.350039       0.396763                 NaN            NaN            NaN            NaN
  1345.46        2500.00       0.313023        98.2734                 NaN            NaN  0.678291       0.344343       0.390934                 NaN            NaN            NaN            NaN
  1343.99        2500.00       0.307850        98.3044                 NaN            NaN  0.665706       0.337341       0.384710                 NaN            NaN            NaN            NaN
  1342.52        2500.00       0.303298        98.3322                 NaN            NaN  0.654042       0.331274       0.379226                 NaN            NaN            NaN            NaN
  1341.05        2500.00       0.297435        98.3636                 NaN            NaN  0.640290       0.325776       0.372921                 NaN            NaN            NaN            NaN
  1339.58        2500.00       0.292345        98.3915                 NaN            NaN  0.628035       0.320560       0.367517                 NaN            NaN            NaN            NaN
  1338.11        2500.00       0.287368        98.4193                 NaN            NaN  0.616169       0.315209       0.361998                 NaN            NaN            NaN            NaN
  1336.64        2500.00       0.282505        98.4468                 NaN            NaN  0.309760       0.604515       0.356465                 NaN            NaN            NaN            NaN
  1335.17        2500.00       0.277642        98.4731                 NaN            NaN  0.593032       0.304971       0.351239                 NaN            NaN            NaN            NaN
  1333.70        2500.00       0.272763        98.4991                 NaN            NaN  0.581791       0.300305       0.346031                 NaN            NaN            NaN            NaN
  1332.23        2500.00       0.268073        98.5250                 NaN            NaN  0.570762       0.295259       0.340866                 NaN            NaN            NaN            NaN
  1330.76        2500.00       0.263263        98.5502                 NaN            NaN  0.559586       0.291131       0.335824                 NaN            NaN            NaN            NaN
  1329.29        2500.00       0.259041        98.5744                 NaN            NaN  0.549504       0.286095       0.330950                 NaN            NaN            NaN            NaN
  1327.82        2500.00       0.254088        98.5983                 NaN            NaN  0.538796       0.282566       0.326219                 NaN            NaN            NaN            NaN
  1326.35        2500.00       0.249824        98.6220                 NaN            NaN  0.277784       0.529100       0.321341                 NaN            NaN            NaN            NaN
  1324.88        2500.00       0.245405        98.6449                 NaN            NaN  0.274215       0.518707       0.316772                 NaN            NaN            NaN            NaN
  1323.41        2500.00       0.240895        98.6670                 NaN            NaN  0.509173       0.270627       0.312324                 NaN            NaN            NaN            NaN
  1321.94        2500.00       0.236869        98.6890                 NaN            NaN  0.499516       0.266712       0.307882                 NaN            NaN            NaN            NaN
  1320.47        2500.00       0.232501        98.7113                 NaN            NaN  0.490185       0.262829       0.303161                 NaN            NaN            NaN            NaN
  1319.00        2500.00       0.228525        98.7315                 NaN            NaN  0.481217       0.259593       0.299198                 NaN            NaN            NaN            NaN
  1317.53        2500.00       0.224080        98.7522                 NaN            NaN  0.471919       0.256763       0.294994                 NaN            NaN            NaN            NaN
  1316.06        2500.00       0.220325        98.7724                 NaN            NaN  0.463724       0.252722       0.290794                 NaN            NaN            NaN            NaN
  1314.59        2500.00       0.216078        98.7930                 NaN            NaN  0.454534       0.249900       0.286479                 NaN            NaN            NaN            NaN
  1313.12        2500.00       0.212351        98.8115                 NaN            NaN  0.247322       0.445989       0.282804                 NaN            NaN            NaN            NaN
  1311.65        2500.00       0.208388        98.8307                 NaN            NaN  0.244222       0.437910       0.278751                 NaN            NaN            NaN            NaN
  1310.18        2500.00       0.204669        98.8491                 NaN            NaN  0.240937       0.430283       0.274997                 NaN            NaN            NaN            NaN
  1308.71        2500.00       0.201160        98.8680                 NaN            NaN  0.421568       0.238144       0.271141                 NaN            NaN            NaN            NaN
  1307.24        2500.00       0.197116        98.8858                 NaN            NaN  0.414150       0.235628       0.267288                 NaN            NaN            NaN            NaN
  1305.77        2500.00       0.193263        98.9018                 NaN            NaN  0.234022       0.406843       0.264117                 NaN            NaN            NaN            NaN
  1304.30        2500.00       0.189725        98.9201                 NaN            NaN  0.398268       0.231526       0.260353                 NaN            NaN            NaN            NaN
  1302.83        2500.00       0.186704        98.9370                 NaN            NaN  0.392383       0.227336       0.256601                 NaN            NaN            NaN            NaN
  1301.36        2500.00       0.182623        98.9531                 NaN            NaN  0.226590       0.384449       0.253263                 NaN            NaN            NaN            NaN
  1299.89        2500.00       0.179258        98.9693                 NaN            NaN  0.223994       0.377517       0.249921                 NaN            NaN            NaN            NaN
  1298.42        2500.00       0.175996        98.9848                 NaN            NaN  0.370818       0.221716       0.246631                 NaN            NaN            NaN            NaN
  1296.95        2500.00       0.172651        99.0008                 NaN            NaN  0.363328       0.220001       0.243218                 NaN            NaN            NaN            NaN
  1295.48        2500.00       0.169049        99.0160                 NaN            NaN  0.218035       0.356863       0.240091                 NaN            NaN            NaN            NaN
  1294.01        2500.00       0.374178        95.9493                 NaN            NaN  0.696111       0.712318       0.610903        1.65723                 NaN            NaN            NaN
  1292.53        2500.00        1.09366        84.5388                 NaN            NaN   2.57065        1.96527        1.99269        7.83897                 NaN            NaN            NaN
  1291.06        2500.00       0.920029        86.8794                 NaN            NaN   1.65501        2.21508        1.70507        6.62545                 NaN            NaN            NaN
  1289.59        2500.00       0.803799        88.4962                 NaN            NaN   1.96183        1.44107        1.50724        5.78983                 NaN            NaN            NaN
  1288.12        2500.00       0.721808        89.5537                 NaN            NaN   1.33097        1.77687        1.38129        5.23541                 NaN            NaN            NaN
  1286.65        2500.00       0.595503        91.3734                 NaN            NaN   1.51068        1.06967        1.14395        4.30681                 NaN            NaN            NaN
  1285.18        2500.00       0.576701        91.7319                 NaN            NaN   1.43828        1.02974        1.10362        4.11978                 NaN            NaN            NaN
  1283.71        2500.00       0.274733        94.6104                 NaN            NaN   1.08658       0.633504       0.722188        2.67259                 NaN            NaN            NaN
  1282.24        2500.00       0.738645        90.2811                 NaN            NaN   1.67089        1.20695        1.31579        4.78658                 NaN            NaN            NaN
  1280.77        2500.00       0.452559        94.0027                 NaN            NaN  0.887154       0.868624       0.806948        2.98204                 NaN            NaN            NaN
  1279.30        2500.00       0.396995        94.1784                 NaN            NaN  0.636894        1.13485       0.793924        2.85898                 NaN            NaN            NaN
  1277.83        2500.00       0.430118        91.9272                 NaN            NaN   1.33902        1.01131        1.09437        4.19796                 NaN            NaN            NaN
  1276.36        2500.00       0.381471        96.3449                 NaN            NaN  0.522119       0.620600       0.508922        1.62202                 NaN            NaN            NaN
  1274.89        2500.00       0.391015        95.6104                 NaN            NaN  0.614539       0.632042       0.605172        2.14684                 NaN            NaN            NaN
  1273.42        2500.00       0.364025        95.5961                 NaN            NaN  0.610549       0.669891       0.605283        2.15415                 NaN            NaN            NaN
  1271.95        2500.00       0.436216        94.6310                 NaN            NaN  0.806616       0.683336       0.744174        2.69868                 NaN            NaN            NaN
