|6.6.6
Archiving\03_Data\DfracLP/QFM_m4.75/YM20/YM20_1.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       iron           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1957.39        500.000        98.2912        1.66933       0.394712E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1954.89        500.000        98.2659        1.69461       0.394740E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1952.38        500.000        98.2407        1.71987       0.394769E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1949.87        500.000        98.2155        1.74504       0.394797E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1947.37        500.000        98.1903        1.77017       0.394826E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        500.000        98.1653        1.79525       0.394854E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        500.000        98.1402        1.82028       0.394882E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        500.000        98.1153        1.84525       0.394910E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        500.000        98.0903        1.87017       0.394938E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        500.000        98.0655        1.89505       0.394966E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        500.000        98.0406        1.91986       0.394994E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        500.000        98.0159        1.94464       0.395022E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        500.000        97.9911        1.96935       0.395050E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        500.000        97.9665        1.99401       0.395078E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        500.000        97.9419        2.01862       0.395106E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        500.000        97.9173        2.04318       0.395133E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        500.000        97.8928        2.06769       0.395161E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        500.000        97.8683        2.09213       0.395189E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        500.000        97.8440        2.11651       0.395216E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        500.000        97.8196        2.14091       0.395244E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        500.000        97.5336        2.15343       0.392776E-001  0.273695                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        500.000        99.5693       0.617983E-002            NaN  0.424555                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        500.000        99.4074       0.111294E-003            NaN  0.592534                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        500.000        99.2665                 NaN            NaN  0.733541                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        500.000        99.5981                 NaN            NaN  0.401879                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        500.000        99.3821       0.335882E-002            NaN  0.614504                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        500.000        98.8121                 NaN            NaN   1.18791                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        500.000        99.8771       0.167530E-002            NaN  0.121266                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        500.000        99.7660       0.918763E-002            NaN  0.224829                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        500.000        99.2580                 NaN            NaN  0.742032                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000        99.4352                 NaN            NaN  0.564758                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        99.4049       0.149677E-002            NaN  0.593563                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        99.4762                 NaN            NaN  0.523791                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        99.4433                 NaN            NaN  0.556713                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        99.4487                 NaN            NaN  0.551288                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        99.3887                 NaN            NaN  0.611290                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        99.5517                 NaN            NaN  0.448179       0.901424E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        99.3970                 NaN            NaN  0.585741       0.173090E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        99.3503                 NaN            NaN  0.630489       0.192413E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        99.5421                 NaN            NaN  0.445297       0.125665E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        99.4477                 NaN            NaN  0.536402       0.159285E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.4493                 NaN            NaN  0.534803       0.158908E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        99.4454                 NaN            NaN  0.538560       0.160395E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        99.4573                 NaN            NaN  0.527089       0.156027E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        99.4552                 NaN            NaN  0.529038       0.157390E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        99.4554                 NaN            NaN  0.528885       0.157402E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        99.4577                 NaN            NaN  0.526598       0.156835E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        99.4590                 NaN            NaN  0.525363       0.156391E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        99.4594                 NaN            NaN  0.524961       0.155986E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000        99.4609                 NaN            NaN  0.523556       0.155498E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        99.4609                 NaN            NaN  0.523602       0.155464E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000        99.4630                 NaN            NaN  0.521528       0.154533E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        99.4684                 NaN            NaN  0.516342       0.152913E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000        99.4559                 NaN            NaN  0.528437       0.156266E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        500.000        99.4641                 NaN            NaN  0.520489       0.153629E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        99.4629                 NaN            NaN  0.521751       0.153589E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        99.4636                 NaN            NaN  0.521072       0.153298E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        99.4632                 NaN            NaN  0.521520       0.152977E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        99.4639                 NaN            NaN  0.520817       0.152488E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        99.3012                 NaN            NaN  0.678937       0.198477E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        99.6912                 NaN            NaN  0.300059       0.872641E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        99.3979                 NaN            NaN  0.585071       0.170082E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        99.4626                 NaN            NaN  0.522289       0.150981E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        99.4601                 NaN            NaN  0.524763       0.151469E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        99.4886                 NaN            NaN  0.497152       0.142930E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        99.4311                 NaN            NaN  0.553083       0.158463E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        99.4557                 NaN            NaN  0.529322       0.150000E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        99.1922                 NaN            NaN  0.785209       0.225630E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        99.7269                 NaN            NaN  0.265763       0.736754E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        99.4524                 NaN            NaN  0.532570       0.150108E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        99.4538                 NaN            NaN  0.531303       0.149309E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        99.4523                 NaN            NaN  0.532803       0.148731E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        99.4500                 NaN            NaN  0.535143       0.148703E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        99.4471                 NaN            NaN  0.538008       0.148442E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        99.4459                 NaN            NaN  0.539248       0.148441E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        99.3954                 NaN            NaN  0.588427       0.161389E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        99.5542                 NaN            NaN  0.433937       0.118299E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        99.3748                 NaN            NaN  0.608673       0.164957E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        99.5499                 NaN            NaN  0.438228       0.118910E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        99.3230                 NaN            NaN  0.659237       0.177259E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        99.5261                 NaN            NaN  0.461620       0.122815E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        99.3349                 NaN            NaN  0.647954       0.171888E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        99.4247                 NaN            NaN  0.560523       0.147715E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        99.4255                 NaN            NaN  0.559856       0.146345E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        99.4205                 NaN            NaN  0.564835       0.146717E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        99.4140                 NaN            NaN  0.571210       0.147406E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        99.4137                 NaN            NaN  0.571684       0.146467E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        99.4139                 NaN            NaN  0.571566       0.145701E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        99.4552                 NaN            NaN  0.531359       0.134815E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        99.3577                 NaN            NaN  0.626589       0.157450E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        99.4008                 NaN            NaN  0.584586       0.146220E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        98.9380                 NaN            NaN   1.03892       0.230961E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        99.8988                 NaN            NaN  0.962519E-001  0.497779E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        99.7328                 NaN            NaN  0.260837       0.637593E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        99.0044                 NaN            NaN  0.971874       0.237677E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        99.3836                 NaN            NaN  0.601784       0.145704E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        99.3817                 NaN            NaN  0.603802       0.145302E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        99.3758                 NaN            NaN  0.609621       0.145788E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        99.3692                 NaN            NaN  0.616184       0.146577E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        99.3719                 NaN            NaN  0.613582       0.144707E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        99.3676                 NaN            NaN  0.617874       0.144922E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        99.3582                 NaN            NaN  0.627197       0.146226E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        99.3592                 NaN            NaN  0.626336       0.145066E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000        99.3558                 NaN            NaN  0.629679       0.145006E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        99.3515                 NaN            NaN  0.633966       0.145146E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        99.3472                 NaN            NaN  0.638308       0.145261E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000        99.3448                 NaN            NaN  0.640639       0.145212E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000        99.3406                 NaN            NaN  0.644910       0.145151E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000        99.3372                 NaN            NaN  0.648318       0.145124E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        99.3336                 NaN            NaN  0.651855       0.145303E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000        99.3314                 NaN            NaN  0.654086       0.144814E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        99.3275                 NaN            NaN  0.657955       0.145136E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        99.3267                 NaN            NaN  0.658897       0.144488E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        99.3173                 NaN            NaN  0.668062       0.146069E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        99.3223                 NaN            NaN  0.663247       0.144332E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        99.3166                 NaN            NaN  0.668905       0.144951E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        99.3140                 NaN            NaN  0.671523       0.145128E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000        99.3106                 NaN            NaN  0.674911       0.144858E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000        99.3099                 NaN            NaN  0.675634       0.144617E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        500.000        99.3068                 NaN            NaN  0.678705       0.144963E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        500.000        99.2987                 NaN            NaN  0.686689       0.146199E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        500.000        99.3098                 NaN            NaN  0.675847       0.143384E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        500.000        99.3002                 NaN            NaN  0.685315       0.145015E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        500.000        99.3007                 NaN            NaN  0.684878       0.144453E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        500.000        99.2653                 NaN            NaN  0.719635       0.151143E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        500.000        99.3305                 NaN            NaN  0.655749       0.137839E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        500.000        99.2954                 NaN            NaN  0.690086       0.144849E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        500.000        99.2961                 NaN            NaN  0.689451       0.144127E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        500.000        99.2795                 NaN            NaN  0.705806       0.147249E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        500.000        99.3116                 NaN            NaN  0.674323       0.140853E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        500.000        99.2943                 NaN            NaN  0.691302       0.144087E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        500.000        99.2902                 NaN            NaN  0.695294       0.144575E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        500.000        98.8895                 NaN            NaN  0.500963       0.382139E-002  0.605736                 NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        500.000        96.7771                 NaN            NaN  0.153167                 NaN   3.06978                 NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        500.000        99.2831                 NaN            NaN  0.394405E-001            NaN  0.677451                 NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        500.000        98.0995                 NaN            NaN  0.101370                 NaN   1.79911                 NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        500.000        98.1345                 NaN            NaN  0.955424E-001            NaN   1.76995                 NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        500.000        98.1664                 NaN            NaN  0.901429E-001            NaN   1.74341                 NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        500.000        98.2051                 NaN            NaN  0.893772E-001            NaN   1.70552                 NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        500.000        98.2350                 NaN            NaN  0.836604E-001            NaN   1.68131                 NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        500.000        98.2691                 NaN            NaN  0.820910E-001            NaN   1.64882                 NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        500.000        98.3007                 NaN            NaN  0.777933E-001            NaN   1.62149                 NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        500.000        98.3319                 NaN            NaN  0.781433E-001            NaN   1.59000                 NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        500.000        98.3594                 NaN            NaN  0.695270E-001            NaN   1.57105                 NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        500.000        98.3879                 NaN            NaN  0.681592E-001            NaN   1.54394                 NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        500.000        98.4158                 NaN            NaN  0.651391E-001            NaN   1.51911                 NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        500.000        98.4387                 NaN            NaN  0.601605E-001            NaN   1.50117                 NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        98.4655                 NaN            NaN  0.580181E-001            NaN   1.47646                 NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        500.000        98.4973                 NaN            NaN  0.551764E-001            NaN   1.44753                 NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        500.000        98.5118                 NaN            NaN  0.473866E-001            NaN   1.44086                 NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        500.000        98.5433                 NaN            NaN  0.490512E-001            NaN   1.40770                 NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        500.000        98.5627                 NaN            NaN  0.441590E-001            NaN   1.39311                 NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000        98.5691                 NaN            NaN  0.423033E-001            NaN   1.38862                 NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        500.000        98.6236                 NaN            NaN  0.382352E-001            NaN   1.33812                 NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        500.000        98.2584                 NaN            NaN  0.386185                 NaN   1.35538                 NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        500.000        99.0439                 NaN            NaN  0.539564E-003            NaN  0.955560                 NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        500.000        98.6676                 NaN            NaN            NaN            NaN   1.33237                 NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        500.000        98.6893                 NaN            NaN            NaN            NaN   1.31075                 NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000        98.7071                 NaN            NaN            NaN            NaN   1.29292                 NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        500.000        98.7243                 NaN            NaN            NaN            NaN   1.27571                 NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        500.000        98.7431                 NaN            NaN            NaN            NaN   1.25686                 NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        500.000        98.7623                 NaN            NaN            NaN            NaN   1.23765                 NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000        98.7780                 NaN            NaN            NaN            NaN   1.22198                 NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        500.000        98.7949                 NaN            NaN            NaN            NaN   1.20513                 NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        500.000        98.8110                 NaN            NaN            NaN            NaN   1.18897                 NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        500.000        98.8253                 NaN            NaN            NaN            NaN   1.17468                 NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        500.000        98.8391                 NaN            NaN            NaN            NaN   1.16088                 NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        500.000        98.8581                 NaN            NaN            NaN            NaN   1.14190                 NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        500.000        98.8697                 NaN            NaN            NaN            NaN   1.13030                 NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        500.000        98.8859                 NaN            NaN            NaN            NaN   1.11412                 NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        500.000        98.8975                 NaN            NaN            NaN            NaN   1.10246                 NaN            NaN            NaN            NaN            NaN            NaN
  1528.82        500.000        98.9107                 NaN            NaN            NaN            NaN   1.08932                 NaN            NaN            NaN            NaN            NaN            NaN
  1526.32        500.000        98.9244                 NaN            NaN            NaN            NaN   1.07557                 NaN            NaN            NaN            NaN            NaN            NaN
  1523.81        500.000        98.9360                 NaN            NaN            NaN            NaN   1.06400                 NaN            NaN            NaN            NaN            NaN            NaN
  1521.30        500.000        98.9509                 NaN            NaN            NaN            NaN   1.04906                 NaN            NaN            NaN            NaN            NaN            NaN
  1518.80        500.000        98.9602                 NaN            NaN            NaN            NaN   1.03982                 NaN            NaN            NaN            NaN            NaN            NaN
  1516.29        500.000        98.9740                 NaN            NaN            NaN            NaN   1.02596                 NaN            NaN            NaN            NaN            NaN            NaN
  1513.78        500.000        98.9865                 NaN            NaN            NaN            NaN   1.01353                 NaN            NaN            NaN            NaN            NaN            NaN
  1511.28        500.000        98.9942                 NaN            NaN            NaN            NaN   1.00579                 NaN            NaN            NaN            NaN            NaN            NaN
  1508.77        500.000        99.0053                 NaN            NaN            NaN            NaN  0.994672                 NaN            NaN            NaN            NaN            NaN            NaN
  1506.27        500.000        99.0118                 NaN            NaN            NaN            NaN  0.948959       0.391984E-001            NaN            NaN            NaN            NaN            NaN
  1503.76        500.000        98.8340                 NaN            NaN            NaN            NaN  0.143047E-001   1.15168                 NaN            NaN            NaN            NaN            NaN
  1501.25        500.000        98.8371                 NaN            NaN            NaN            NaN  0.486797E-002   1.15799                 NaN            NaN            NaN            NaN            NaN
  1498.75        500.000        98.8431                 NaN            NaN            NaN            NaN            NaN   1.15688                 NaN            NaN            NaN            NaN            NaN
  1496.24        500.000        98.8536                 NaN            NaN            NaN            NaN  0.442152E-001   1.10222                 NaN            NaN            NaN            NaN            NaN
  1493.73        500.000        98.8558                 NaN            NaN            NaN            NaN            NaN   1.14416                 NaN            NaN            NaN            NaN            NaN
  1491.23        500.000        98.8579                 NaN            NaN            NaN            NaN            NaN   1.14208                 NaN            NaN            NaN            NaN            NaN
  1488.72        500.000        98.8623                 NaN            NaN            NaN            NaN            NaN   1.13769                 NaN            NaN            NaN            NaN            NaN
  1486.22        500.000        98.8611                 NaN            NaN            NaN            NaN            NaN   1.13894                 NaN            NaN            NaN            NaN            NaN
  1483.71        500.000        98.8702                 NaN            NaN            NaN            NaN            NaN   1.12980                 NaN            NaN            NaN            NaN            NaN
  1481.20        500.000        98.8618                 NaN            NaN            NaN            NaN            NaN   1.13824                 NaN            NaN            NaN            NaN            NaN
  1478.70        500.000        98.8588                 NaN            NaN            NaN            NaN            NaN   1.14123                 NaN            NaN            NaN            NaN            NaN
  1476.19        500.000        98.8499                 NaN            NaN            NaN            NaN            NaN   1.15011                 NaN            NaN            NaN            NaN            NaN
  1473.68        500.000        98.8436                 NaN            NaN            NaN            NaN            NaN   1.15643                 NaN            NaN            NaN            NaN            NaN
  1471.18        500.000        98.7912                 NaN            NaN            NaN            NaN            NaN  0.541792E-001   1.15461                 NaN            NaN            NaN            NaN
