|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.75/EETA/EETA_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Sp(TH)         an             O(HP)          San(TH)        ilm            q              hed           
  1391.75        500.000        98.8314                 NaN  0.384466       0.334339                 NaN  0.326870       0.122967                 NaN            NaN            NaN            NaN
  1390.72        500.000        98.8425                 NaN  0.380833       0.333020                 NaN  0.323361       0.120269                 NaN            NaN            NaN            NaN
  1389.70        500.000        98.8544                 NaN  0.379532       0.316178                 NaN  0.321366       0.128551                 NaN            NaN            NaN            NaN
  1388.67        500.000        98.8665                 NaN  0.375047       0.315612                 NaN  0.317400       0.125406                 NaN            NaN            NaN            NaN
  1387.64        500.000        98.8770                 NaN  0.371613       0.314386                 NaN  0.314084       0.122910                 NaN            NaN            NaN            NaN
  1386.61        500.000        98.8877                 NaN  0.298987       0.370184                 NaN  0.312367       0.130752                 NaN            NaN            NaN            NaN
  1385.58        500.000        98.7687                 NaN  0.409769       0.333223                 NaN  0.345343       0.142938                 NaN            NaN            NaN            NaN
  1384.55        500.000        99.0417                 NaN  0.319727       0.256165                 NaN  0.268856       0.113522                 NaN            NaN            NaN            NaN
  1383.53        500.000        98.9225                 NaN  0.285970       0.359851                 NaN  0.302363       0.129333                 NaN            NaN            NaN            NaN
  1382.50        500.000        98.9322                 NaN  0.357042       0.281089                 NaN  0.299631       0.129989                 NaN            NaN            NaN            NaN
  1381.47        500.000        98.9421                 NaN  0.275394       0.354403                 NaN  0.297109       0.130983                 NaN            NaN            NaN            NaN
  1380.44        500.000        98.9516                 NaN  0.352058       0.269716                 NaN  0.294650       0.131993                 NaN            NaN            NaN            NaN
  1379.41        500.000        98.9591                 NaN  0.350518       0.264670                 NaN  0.292649       0.133111                 NaN            NaN            NaN            NaN
  1378.39        500.000        98.9757                 NaN  0.258708       0.345125                 NaN  0.287906       0.132571                 NaN            NaN            NaN            NaN
  1377.36        500.000        98.9847                 NaN  0.253790       0.342765                 NaN  0.285488       0.133284                 NaN            NaN            NaN            NaN
  1376.33        500.000        98.9908                 NaN  0.341617       0.248354                 NaN  0.284061       0.135139                 NaN            NaN            NaN            NaN
  1375.30        500.000        98.9608                 NaN  0.354661       0.195794                 NaN  0.306653       0.182119                 NaN            NaN            NaN            NaN
  1374.27        500.000        99.0443                 NaN  0.287754       0.322613                 NaN  0.255085       0.902952E-001            NaN            NaN            NaN            NaN
  1373.24        500.000        99.0246                 NaN  0.234618       0.332329                 NaN  0.274025       0.134384                 NaN            NaN            NaN            NaN
  1372.22        500.000        99.0253                 NaN  0.332003       0.229884                 NaN  0.274838       0.137990                 NaN            NaN            NaN            NaN
  1371.19        500.000        99.0369                 NaN  0.224052       0.329698                 NaN  0.271470       0.137879                 NaN            NaN            NaN            NaN
  1370.16        500.000        99.0467                 NaN  0.326374       0.220750                 NaN  0.268545       0.137627                 NaN            NaN            NaN            NaN
  1369.13        500.000        99.0538                 NaN  0.215278       0.324943                 NaN  0.266808       0.139149                 NaN            NaN            NaN            NaN
  1368.10        500.000        99.0626                 NaN  0.210834       0.322355                 NaN  0.264440       0.139800                 NaN            NaN            NaN            NaN
  1367.07        500.000        99.0702                 NaN  0.320635       0.206455                 NaN  0.262355       0.140354                 NaN            NaN            NaN            NaN
  1366.05        500.000        99.0779                 NaN  0.202426       0.318328                 NaN  0.260241       0.141121                 NaN            NaN            NaN            NaN
  1365.02        500.000        99.0853                 NaN  0.198422       0.316454                 NaN  0.258249       0.141589                 NaN            NaN            NaN            NaN
  1363.99        500.000        99.0949                 NaN  0.313911       0.193868                 NaN  0.255483       0.141849                 NaN            NaN            NaN            NaN
  1362.96        500.000        99.1015                 NaN  0.189429       0.312346                 NaN  0.253805       0.142880                 NaN            NaN            NaN            NaN
  1361.93        500.000        99.1098                 NaN  0.310053       0.185725                 NaN  0.251452       0.142941                 NaN            NaN            NaN            NaN
  1360.91        500.000        99.1162                 NaN  0.308711       0.181451                 NaN  0.249822       0.143865                 NaN            NaN            NaN            NaN
  1359.88        500.000        99.1240                 NaN  0.177632       0.306507                 NaN  0.247641       0.144246                 NaN            NaN            NaN            NaN
  1358.85        500.000        99.1313                 NaN  0.304455       0.174375                 NaN  0.245442       0.144454                 NaN            NaN            NaN            NaN
  1357.82        500.000        99.1354                 NaN  0.302996       0.170928                 NaN  0.244747       0.145954                 NaN            NaN            NaN            NaN
  1356.79        500.000        99.1486                 NaN  0.166461       0.299691                 NaN  0.240528       0.144767                 NaN            NaN            NaN            NaN
  1355.76        500.000        99.1530                 NaN  0.163058       0.298867                 NaN  0.239389       0.145649                 NaN            NaN            NaN            NaN
  1354.74        500.000        99.1591                 NaN  0.297271       0.159530                 NaN  0.237766       0.146339                 NaN            NaN            NaN            NaN
  1353.71        500.000        99.1651                 NaN  0.295840       0.155508                 NaN  0.236241       0.147285                 NaN            NaN            NaN            NaN
  1352.68        500.000        99.1733                 NaN  0.153176       0.293325                 NaN  0.233688       0.146491                 NaN            NaN            NaN            NaN
  1351.65        500.000        99.1770                 NaN  0.150150       0.292785                 NaN  0.232651       0.147430                 NaN            NaN            NaN            NaN
  1350.62        500.000        99.1860                 NaN  0.290540       0.145498                 NaN  0.230327       0.147607                 NaN            NaN            NaN            NaN
  1349.59        500.000        99.1912                 NaN  0.289147       0.142801                 NaN  0.228662       0.148152                 NaN            NaN            NaN            NaN
  1348.57        500.000        99.1983                 NaN  0.140685       0.286811                 NaN  0.226588       0.147645                 NaN            NaN            NaN            NaN
  1347.54        500.000        99.2010                 NaN  0.288268       0.134457                 NaN  0.226032       0.150276                 NaN            NaN            NaN            NaN
  1346.51        500.000        99.2115                 NaN  0.136310       0.282822                 NaN  0.222563       0.146790                 NaN            NaN            NaN            NaN
  1345.48        500.000        99.2157                 NaN  0.131328       0.282399                 NaN  0.221737       0.148822                 NaN            NaN            NaN            NaN
  1344.45        500.000        99.2224                 NaN  0.280455       0.128136                 NaN  0.219870       0.149168                 NaN            NaN            NaN            NaN
  1343.43        500.000        99.2275                 NaN  0.125926       0.279296                 NaN  0.218312       0.148998                 NaN            NaN            NaN            NaN
  1342.40        500.000        99.2338                 NaN  0.277570       0.123040                 NaN  0.216510       0.149076                 NaN            NaN            NaN            NaN
  1341.37        500.000        99.2388                 NaN  0.276040       0.120326                 NaN  0.215134       0.149676                 NaN            NaN            NaN            NaN
  1340.34        500.000        99.2451                 NaN  0.118006       0.274753                 NaN  0.213168       0.149017                 NaN            NaN            NaN            NaN
  1339.31        500.000        99.2489                 NaN  0.273627       0.115426                 NaN  0.212206       0.149834                 NaN            NaN            NaN            NaN
  1338.28        500.000        99.2570                 NaN  0.271371       0.113134                 NaN  0.209682       0.148835                 NaN            NaN            NaN            NaN
  1337.26        500.000        99.2584                 NaN  0.271604       0.109843                 NaN  0.209471       0.150640                 NaN            NaN            NaN            NaN
  1336.23        500.000        99.2685                 NaN  0.267707       0.109807                 NaN  0.206163       0.147855                 NaN            NaN            NaN            NaN
  1335.20        500.000        99.2698                 NaN  0.106812       0.267776                 NaN  0.205999       0.149599                 NaN            NaN            NaN            NaN
  1334.17        500.000        99.2776                 NaN  0.265219       0.105477                 NaN  0.203583       0.148148                 NaN            NaN            NaN            NaN
  1333.14        500.000        99.2816                 NaN  0.264468       0.102749                 NaN  0.202479       0.148702                 NaN            NaN            NaN            NaN
  1332.12        500.000        99.2872                 NaN  0.100127       0.263081                 NaN  0.200916       0.148703                 NaN            NaN            NaN            NaN
  1331.09        500.000        99.2919                 NaN  0.262012       0.980996E-001            NaN  0.199434       0.148548                 NaN            NaN            NaN            NaN
  1330.06        500.000        99.2966                 NaN  0.260506       0.969446E-001            NaN  0.198077       0.147875                 NaN            NaN            NaN            NaN
  1329.03        500.000        99.3018                 NaN  0.944496E-001  0.259247                 NaN  0.196454       0.148022                 NaN            NaN            NaN            NaN
  1328.00        500.000        99.3065                 NaN  0.933538E-001  0.257714                 NaN  0.195035       0.147382                 NaN            NaN            NaN            NaN
  1326.97        500.000        99.3102                 NaN  0.899304E-001  0.257042                 NaN  0.194180       0.148663                 NaN            NaN            NaN            NaN
  1325.95        500.000        99.3147                 NaN  0.246694       0.124428                 NaN  0.189686       0.124449                 NaN            NaN            NaN            NaN
  1324.92        500.000        99.3218                 NaN  0.568253E-001  0.261338                 NaN  0.192964       0.167105                 NaN            NaN            NaN            NaN
  1323.89        500.000        99.3247                 NaN  0.876409E-001  0.252394                 NaN  0.189484       0.145820                 NaN            NaN            NaN            NaN
  1322.86        500.000        99.3291                 NaN  0.250658       0.867185E-001            NaN  0.188162       0.145325                 NaN            NaN            NaN            NaN
  1321.83        500.000        99.3337                 NaN  0.846604E-001  0.250047                 NaN  0.186693       0.144949                 NaN            NaN            NaN            NaN
  1320.80        500.000        98.4322                 NaN  0.585755       0.214904                 NaN  0.436030       0.331124                 NaN            NaN            NaN            NaN
  1319.78        500.000       100.0000                 NaN            NaN            NaN            NaN            NaN  0.993285E-005            NaN            NaN            NaN            NaN
  1318.75        500.000        99.5852                 NaN  0.156917       0.505603E-001            NaN  0.115399       0.919306E-001            NaN            NaN            NaN            NaN
  1317.72        500.000        99.3513                 NaN  0.823949E-001  0.243779                 NaN  0.181012       0.141506                 NaN            NaN            NaN            NaN
  1316.69        500.000        99.3544                 NaN  0.243054       0.808490E-001            NaN  0.180147       0.141503                 NaN            NaN            NaN            NaN
  1315.66        500.000        99.3590                 NaN  0.241590       0.800379E-001            NaN  0.178740       0.140666                 NaN            NaN            NaN            NaN
  1314.64        500.000        99.3624                 NaN  0.240810       0.788600E-001            NaN  0.177653       0.140249                 NaN            NaN            NaN            NaN
  1313.61        500.000        99.3653                 NaN  0.229846       0.114745                 NaN  0.173931       0.116210                 NaN            NaN            NaN            NaN
  1312.58        500.000        99.3729                 NaN  0.246839       0.412222E-001            NaN  0.177228       0.161780                 NaN            NaN            NaN            NaN
  1311.55        500.000        99.3035                 NaN  0.264466       0.840853E-001            NaN  0.193876       0.154041                 NaN            NaN            NaN            NaN
  1310.52        500.000        99.4513                 NaN  0.697607E-001  0.206997                 NaN  0.151991       0.119984                 NaN            NaN            NaN            NaN
  1309.49        500.000        99.9520                 NaN            NaN            NaN            NaN  0.125622E-001  0.354138E-001            NaN            NaN            NaN            NaN
  1308.47        500.000        98.8131                 NaN  0.161277       0.464669                 NaN  0.329130       0.231859                 NaN            NaN            NaN            NaN
  1307.44        500.000        99.3890                 NaN  0.231379       0.745066E-001            NaN  0.169529       0.135633                 NaN            NaN            NaN            NaN
  1306.41        500.000        99.3929                 NaN  0.110976       0.220010                 NaN  0.165177       0.110917                 NaN            NaN            NaN            NaN
  1305.38        500.000        99.3982                 NaN  0.454617E-001  0.236398                 NaN  0.168460       0.151445                 NaN            NaN            NaN            NaN
  1304.35        500.000        99.4011                 NaN  0.770290E-001  0.226474                 NaN  0.165141       0.130301                 NaN            NaN            NaN            NaN
  1303.33        500.000        99.4032                 NaN  0.769373E-001  0.225765                 NaN  0.164424       0.129629                 NaN            NaN            NaN            NaN
  1302.30        500.000        99.4082                 NaN  0.778515E-001  0.223419                 NaN  0.162767       0.127724                 NaN            NaN            NaN            NaN
  1301.27        500.000        99.4108                 NaN  0.223034       0.769853E-001            NaN  0.161974       0.127230                 NaN            NaN            NaN            NaN
  1300.24        500.000        99.4147                 NaN  0.221231       0.773023E-001            NaN  0.160745       0.126066                 NaN            NaN            NaN            NaN
  1299.21        500.000        99.4177                 NaN  0.787749E-001  0.219677                 NaN  0.159624       0.124267                 NaN            NaN            NaN            NaN
  1298.18        500.000        99.4203                 NaN  0.791532E-001  0.218670                 NaN  0.158691       0.123177                 NaN            NaN            NaN            NaN
  1297.16        500.000        99.4232                 NaN  0.216775       0.807347E-001            NaN  0.157689       0.121584                 NaN            NaN            NaN            NaN
  1296.13        500.000        99.4273                 NaN  0.215627       0.800801E-001            NaN  0.156405       0.120574                 NaN            NaN            NaN            NaN
  1295.10        500.000        99.4298                 NaN  0.214393       0.807248E-001            NaN  0.155574       0.119469                 NaN            NaN            NaN            NaN
  1294.07        500.000        99.4332                 NaN  0.212323       0.833487E-001            NaN  0.154223       0.116878                 NaN            NaN            NaN            NaN
  1293.04        500.000        99.4368                 NaN  0.211368       0.822500E-001            NaN  0.153217       0.116387                 NaN            NaN            NaN            NaN
  1292.01        500.000        99.4393                 NaN  0.209767       0.838255E-001            NaN  0.152290       0.114772                 NaN            NaN            NaN            NaN
  1290.99        500.000        99.4422                 NaN  0.849581E-001  0.208266                 NaN  0.151314       0.113248                 NaN            NaN            NaN            NaN
  1289.96        500.000        99.4453                 NaN  0.206692       0.858706E-001            NaN  0.150271       0.111835                 NaN            NaN            NaN            NaN
  1288.93        500.000        99.4481                 NaN  0.205008       0.873294E-001            NaN  0.149323       0.110219                 NaN            NaN            NaN            NaN
  1287.90        500.000        99.4509                 NaN  0.886859E-001  0.203578                 NaN  0.148335       0.108490                 NaN            NaN            NaN            NaN
  1286.87        500.000        99.4539                 NaN  0.202211       0.892187E-001            NaN  0.147354       0.107272                 NaN            NaN            NaN            NaN
  1285.85        500.000        99.4569                 NaN  0.899829E-001  0.200897                 NaN  0.146396       0.105833                 NaN            NaN            NaN            NaN
  1284.82        500.000        99.4589                 NaN  0.198868       0.934226E-001            NaN  0.145477       0.103324                 NaN            NaN            NaN            NaN
  1283.79        500.000        99.4624                 NaN  0.921502E-001  0.198061                 NaN  0.144539       0.102885                 NaN            NaN            NaN            NaN
  1282.76        500.000        99.4629                 NaN  0.975469E-001  0.195603                 NaN  0.144032       0.999164E-001            NaN            NaN            NaN            NaN
  1281.73        500.000        99.4672                 NaN  0.194040       0.981632E-001            NaN  0.142559       0.980339E-001            NaN            NaN            NaN            NaN
  1280.70        500.000        99.4697                 NaN  0.192907       0.985532E-001            NaN  0.141832       0.970028E-001            NaN            NaN            NaN            NaN
  1279.68        500.000        99.4720                 NaN  0.100685       0.191088                 NaN  0.141007       0.951726E-001            NaN            NaN            NaN            NaN
  1278.65        500.000        99.4734                 NaN  0.190585       0.101319                 NaN  0.140552       0.941606E-001            NaN            NaN            NaN            NaN
  1277.62        500.000        99.4775                 NaN  0.106132       0.186883                 NaN  0.138983       0.905357E-001            NaN            NaN            NaN            NaN
  1276.59        500.000        99.4789                 NaN  0.185835       0.107241                 NaN  0.138556       0.894821E-001            NaN            NaN            NaN            NaN
  1275.56        500.000        99.4814                 NaN  0.108769       0.184325                 NaN  0.137694       0.877782E-001            NaN            NaN            NaN            NaN
  1274.53        500.000        99.4786                 NaN  0.184523       0.112722       0.476234E-002  0.137692       0.816987E-001            NaN            NaN            NaN            NaN
  1273.51        500.000        99.4399                 NaN  0.117666       0.204285       0.498633E-001  0.142861       0.454164E-001            NaN            NaN            NaN            NaN
  1272.48        500.000        90.8259                 NaN   1.35187        1.25991       0.590425        1.10490                 NaN   4.86704                 NaN            NaN            NaN
  1271.45        500.000        89.4127                 NaN   1.56819        1.40252       0.687406        1.26282                 NaN   5.66635                 NaN            NaN            NaN
  1270.42        500.000        90.3748                 NaN   1.44211        1.26898       0.628425        1.15379       0.232175E-005   5.13194                 NaN            NaN            NaN
  1269.39        500.000        91.2521                 NaN   1.15441        1.31957       0.571376        1.05383       0.202147E-005   4.64875                 NaN            NaN            NaN
  1268.37        500.000        91.9944                 NaN   1.21350        1.05999       0.521958       0.969018       0.145993E-005   4.24116                 NaN            NaN            NaN
  1267.34        500.000        92.6573                 NaN   1.11651       0.974419       0.478862       0.892833       0.134074E-005   3.88004                 NaN            NaN            NaN
  1266.31        500.000        93.2104                 NaN   1.03515       0.904265       0.442091       0.829204                 NaN   3.57891                 NaN            NaN            NaN
  1265.28        500.000        93.6876                 NaN  0.966295       0.840919       0.411286       0.773948                 NaN   3.31991                 NaN            NaN            NaN
  1264.25        500.000        94.1050                 NaN  0.905524       0.785366       0.384317       0.725521                 NaN   3.09430                 NaN            NaN            NaN
  1263.22        500.000        94.4623                 NaN  0.739758       0.851866       0.360770       0.684021       0.124597E-005   2.90131                 NaN            NaN            NaN
  1262.20        500.000        94.7968                 NaN  0.691631       0.805353       0.340107       0.644730       0.148227E-005   2.72135                 NaN            NaN            NaN
  1261.17        500.000        95.0804                 NaN  0.652958       0.763715       0.321831       0.611466       0.132099E-005   2.56960                 NaN            NaN            NaN
  1260.14        500.000        95.3367                 NaN  0.726013       0.618049       0.305696       0.581346       0.119440E-005   2.43217                 NaN            NaN            NaN
  1259.11        500.000        95.5712                 NaN  0.583405       0.692911       0.291284       0.553448                 NaN   2.30773                 NaN            NaN            NaN
  1258.08        500.000        95.7783                 NaN  0.663683       0.554036       0.278019       0.528927                 NaN   2.19703                 NaN            NaN            NaN
  1257.06        500.000        95.9698                 NaN  0.635818       0.526634       0.266071       0.505996                 NaN   2.09570                 NaN            NaN            NaN
  1256.03        500.000        96.1402                 NaN  0.609334       0.505793       0.251119       0.485512                 NaN   2.00560       0.242451E-002            NaN            NaN
  1255.00        500.000        96.2251                 NaN  0.542265       0.596062       0.128768       0.472249                 NaN   1.96628       0.693116E-001            NaN            NaN
  1253.97        500.000        96.3712                 NaN  0.520481       0.576853       0.121692       0.454830                 NaN   1.88780       0.671822E-001            NaN            NaN
  1252.94        500.000        96.5064                 NaN  0.500402       0.558955       0.115046       0.438615                 NaN   1.81529       0.652464E-001            NaN            NaN
  1251.91        500.000        96.6299                 NaN  0.481684       0.542786       0.109157       0.423898                 NaN   1.74927       0.633469E-001            NaN            NaN
  1250.89        500.000        96.7455                 NaN  0.463136       0.528723       0.103188       0.410039                 NaN   1.68770       0.617589E-001            NaN            NaN
  1249.86        500.000        96.8553                 NaN  0.512070       0.448771       0.987896E-001  0.396612                 NaN   1.62887       0.596056E-001            NaN            NaN
  1248.83        500.000        96.9565                 NaN  0.431637       0.500436       0.935235E-001  0.384445                 NaN   1.57522       0.581958E-001            NaN            NaN
  1247.80        500.000        97.0554                 NaN  0.417739       0.486455       0.888732E-001  0.372255                 NaN   1.52267       0.565681E-001            NaN            NaN
  1246.77        500.000        97.1436                 NaN  0.403047       0.476180       0.843304E-001  0.361482                 NaN   1.47609       0.552625E-001            NaN            NaN
  1245.74        500.000        97.2288                 NaN  0.465349       0.389794       0.800593E-001  0.351042                 NaN   1.43109       0.538724E-001            NaN            NaN
  1244.72        500.000        97.3095                 NaN  0.376408       0.456015       0.757871E-001  0.340958                 NaN   1.38868       0.526780E-001            NaN            NaN
  1243.69        500.000        97.3840                 NaN  0.364321       0.447939       0.710796E-001  0.331756                 NaN   1.34908       0.518443E-001            NaN            NaN
  1242.66        500.000        97.4577                 NaN  0.438929       0.352231       0.673587E-001  0.322533                 NaN   1.31061       0.506544E-001            NaN            NaN
  1241.63        500.000        97.5260                 NaN  0.340869       0.430868       0.640127E-001  0.314022                 NaN   1.27475       0.494695E-001            NaN            NaN
  1240.60        500.000        97.5912                 NaN  0.425129       0.329188       0.591062E-001  0.305677                 NaN   1.24070       0.490059E-001            NaN            NaN
  1239.58        500.000        97.6527                 NaN  0.419509       0.317909       0.552798E-001  0.297990                 NaN   1.20839       0.482231E-001            NaN            NaN
  1238.55        500.000        97.7130                 NaN  0.307337       0.413405       0.516522E-001  0.290221                 NaN   1.17692       0.474297E-001            NaN            NaN
  1237.52        500.000        97.7687                 NaN  0.409166       0.296830       0.472427E-001  0.283267                 NaN   1.14770       0.471021E-001            NaN            NaN
  1236.49        500.000        97.8234                 NaN  0.286000       0.405681       0.431156E-001  0.276192                 NaN   1.11891       0.466585E-001            NaN            NaN
  1235.46        500.000        97.8736                 NaN  0.276577       0.401401       0.392620E-001  0.269723                 NaN   1.09315       0.462845E-001            NaN            NaN
  1234.43        500.000        97.9225                 NaN  0.265782       0.399940       0.347267E-001  0.263330                 NaN   1.06753       0.461718E-001            NaN            NaN
  1233.41        500.000        97.9702                 NaN  0.256087       0.397521       0.304198E-001  0.257264                 NaN   1.04245       0.460486E-001            NaN            NaN
  1232.38        500.000        98.0142                 NaN  0.397655       0.245379       0.254999E-001  0.251484                 NaN   1.01949       0.463056E-001            NaN            NaN
  1231.35        500.000        98.0582                 NaN  0.235322       0.397111       0.208663E-001  0.245645                 NaN  0.996529       0.463755E-001            NaN            NaN
  1230.32        500.000        98.0978                 NaN  0.227043       0.395831       0.166523E-001  0.240565                 NaN  0.975611       0.465269E-001            NaN            NaN
  1229.29        500.000        98.1397                 NaN  0.399686       0.213886       0.108267E-001  0.235021                 NaN  0.953750       0.471417E-001            NaN            NaN
  1228.26        500.000        98.1648                 NaN  0.460907       0.148547       0.116502E-002  0.234465                 NaN  0.941693       0.483910E-001            NaN            NaN
  1227.24        500.000        97.3528                 NaN  0.482478       0.387059                 NaN  0.419113                 NaN   1.21517       0.143403                 NaN            NaN
  1226.21        500.000        96.6261                 NaN  0.899433                 NaN            NaN  0.404144                 NaN   2.00286       0.674303E-001            NaN            NaN
  1225.18        500.000        97.7110                 NaN  0.373042                 NaN            NaN  0.237169                 NaN   1.57062       0.108182                 NaN            NaN
  1224.15        500.000        98.4065                 NaN  0.664583                 NaN            NaN  0.207160                 NaN  0.700371       0.213814E-001            NaN            NaN
  1223.12        500.000        99.6203                 NaN  0.348012                 NaN            NaN  0.316779E-001            NaN            NaN            NaN            NaN            NaN
  1222.10        500.000        99.2475                 NaN  0.801711E-001  0.202980       0.739227E-002  0.914104E-001            NaN  0.355568       0.149488E-001            NaN            NaN
  1221.07        500.000        98.9728                 NaN  0.501259                 NaN            NaN  0.118586       0.551500E-002  0.401811                 NaN            NaN            NaN
  1220.04        500.000        98.1312                 NaN  0.388139                 NaN  0.120549       0.244554       0.376196E-001   1.07796                 NaN            NaN            NaN
  1219.01        500.000        98.6715                 NaN  0.316530                 NaN  0.696169E-001  0.165531       0.103812       0.673016                 NaN            NaN            NaN
  1217.98        500.000        98.6631                 NaN  0.316819                 NaN  0.847412E-001  0.165760       0.884958E-001  0.681034                 NaN            NaN            NaN
  1216.95        500.000        98.6812                 NaN  0.311801                 NaN  0.829615E-001  0.162832       0.866252E-001  0.674534                 NaN            NaN            NaN
  1215.93        500.000        98.7132                 NaN  0.302857                 NaN  0.808407E-001  0.157908       0.832511E-001  0.661934                 NaN            NaN            NaN
  1214.90        500.000        98.7103                 NaN  0.303530                 NaN  0.790041E-001  0.157784       0.841232E-001  0.665269                 NaN            NaN            NaN
  1213.87        500.000        98.6912                 NaN  0.295805                 NaN            NaN  0.160980       0.142862       0.674011       0.351830E-001            NaN            NaN
  1212.84        500.000        98.7086                 NaN  0.289240                 NaN            NaN  0.158713       0.141524       0.667292       0.346290E-001            NaN            NaN
  1211.81        500.000        97.4047                 NaN  0.891362                 NaN            NaN  0.354595       0.134288        1.18984       0.251763E-001            NaN            NaN
  1210.79        500.000        93.0908                 NaN   1.23567                 NaN            NaN  0.806283       0.524642        3.91544       0.208735       0.218458                 NaN
  1209.76        500.000        98.9847                 NaN  0.115200                 NaN            NaN  0.887947E-001  0.545308E-001  0.377947       0.112945E-001  0.367488                 NaN
  1208.73        500.000        98.9236                 NaN  0.120383                 NaN            NaN  0.939500E-001  0.573069E-001  0.400262       0.118840E-001  0.392567                 NaN
  1207.70        500.000        99.2437                 NaN  0.978539E-001  0.257317E-001            NaN  0.569694E-001            NaN            NaN  0.455598E-002  0.571203                 NaN
  1206.67        500.000        99.4460                 NaN  0.893881E-001  0.134937                 NaN  0.523768E-001            NaN  0.237910E-001            NaN  0.253548                 NaN
  1205.64        500.000        99.2721                 NaN  0.148594                 NaN            NaN  0.639141E-001            NaN  0.509801       0.558542E-002            NaN            NaN
  1204.62        500.000        97.0533                 NaN  0.562348                 NaN            NaN  0.278686       0.656363E-001   1.12835       0.114246E-001  0.900211                 NaN
  1203.59        500.000        97.9647                 NaN  0.546334E-001            NaN            NaN  0.150657                 NaN  0.916616       0.372829E-001  0.876134                 NaN
  1202.56        500.000        99.4522                 NaN  0.416660E-001  0.761435E-001            NaN  0.579384E-001            NaN  0.186426       0.185950E-002  0.183774                 NaN
  1201.53        500.000        84.4425                 NaN   1.25154        1.76842                 NaN   1.35740                 NaN   5.60201       0.114582        5.46354                 NaN
  1200.50        500.000        85.5961                 NaN   1.40695                 NaN            NaN   1.23537       0.707271        5.45028       0.158023        5.44604                 NaN
  1199.47        500.000        97.6830                 NaN  0.104949       0.274141                 NaN  0.201979                 NaN  0.870141       0.189574E-001  0.846840                 NaN
  1198.45        500.000        99.3484                 NaN  0.352914E-001  0.687236E-001            NaN  0.560835E-001            NaN  0.245261       0.556658E-002  0.240654                 NaN
  1197.42        500.000        99.6324                 NaN  0.344582E-001            NaN            NaN  0.312806E-001  0.174120E-001  0.139318       0.398650E-002  0.141183                 NaN
  1196.39        500.000        74.4340                 NaN   2.48267                 NaN            NaN   2.17526        1.27380        9.65714       0.264327        9.71277                 NaN
  1195.36        500.000        99.9999                 NaN  0.647329E-005            NaN            NaN  0.573649E-005  0.390983E-005  0.258161E-004            NaN  0.257556E-004            NaN
  1194.33        500.000       100.0000                 NaN  0.151502E-005            NaN            NaN  0.154954E-005            NaN  0.697242E-005            NaN  0.717119E-005            NaN
