|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.75/EETA/EETA_3.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Sp(TH)         an             O(HP)          San(TH)        ilm            q              hed           
  1326.97        500.000        99.4244                 NaN  0.704738E-001  0.206082                 NaN  0.194040       0.105053                 NaN            NaN            NaN            NaN
  1325.95        500.000        99.4277                 NaN  0.197626       0.974216E-001            NaN  0.189435       0.878185E-001            NaN            NaN            NaN            NaN
  1324.92        500.000        99.4360                 NaN  0.444472E-001  0.209158                 NaN  0.192590       0.117756                 NaN            NaN            NaN            NaN
  1323.89        500.000        99.4381                 NaN  0.684810E-001  0.201808                 NaN  0.188998       0.102606                 NaN            NaN            NaN            NaN
  1322.86        500.000        99.4424                 NaN  0.200220       0.676981E-001            NaN  0.187563       0.102119                 NaN            NaN            NaN            NaN
  1321.83        500.000        99.4467                 NaN  0.660245E-001  0.199582                 NaN  0.185983       0.101705                 NaN            NaN            NaN            NaN
  1320.80        500.000        98.6999                 NaN  0.466667       0.167231                 NaN  0.434394       0.231816                 NaN            NaN            NaN            NaN
  1319.78        500.000       100.0000                 NaN            NaN            NaN            NaN            NaN  0.693776E-005            NaN            NaN            NaN            NaN
  1318.75        500.000        99.6570                 NaN  0.124836       0.392975E-001            NaN  0.114697       0.642115E-001            NaN            NaN            NaN            NaN
  1317.72        500.000        99.4635                 NaN  0.640099E-001  0.193861                 NaN  0.179871       0.987090E-001            NaN            NaN            NaN            NaN
  1316.69        500.000        99.4667                 NaN  0.193099       0.627474E-001            NaN  0.178899       0.985786E-001            NaN            NaN            NaN            NaN
  1315.66        500.000        99.4709                 NaN  0.191756       0.620599E-001            NaN  0.177391       0.978634E-001            NaN            NaN            NaN            NaN
  1314.64        500.000        99.4743                 NaN  0.190962       0.610854E-001            NaN  0.176201       0.974351E-001            NaN            NaN            NaN            NaN
  1313.61        500.000        99.4761                 NaN  0.182100       0.887958E-001            NaN  0.172403       0.806251E-001            NaN            NaN            NaN            NaN
  1312.58        500.000        99.4851                 NaN  0.195401       0.318728E-001            NaN  0.175558       0.112108                 NaN            NaN            NaN            NaN
  1311.55        500.000        99.4273                 NaN  0.209142       0.649482E-001            NaN  0.191937       0.106634                 NaN            NaN            NaN            NaN
  1310.52        500.000        99.5494                 NaN  0.538273E-001  0.163535                 NaN  0.150349       0.828739E-001            NaN            NaN            NaN            NaN
  1309.49        500.000        99.9633                 NaN            NaN            NaN            NaN  0.124149E-001  0.242828E-001            NaN            NaN            NaN            NaN
  1308.47        500.000        99.0234                 NaN  0.124349       0.366850                 NaN  0.325532       0.159908                 NaN            NaN            NaN            NaN
  1307.44        500.000        99.4996                 NaN  0.182321       0.573338E-001            NaN  0.167400       0.933133E-001            NaN            NaN            NaN            NaN
  1306.41        500.000        99.5023                 NaN  0.853128E-001  0.173190                 NaN  0.163000       0.762005E-001            NaN            NaN            NaN            NaN
  1305.38        500.000        99.5091                 NaN  0.349160E-001  0.185933                 NaN  0.166133       0.103913                 NaN            NaN            NaN            NaN
  1304.35        500.000        99.5109                 NaN  0.591055E-001  0.177971                 NaN  0.162756       0.892783E-001            NaN            NaN            NaN            NaN
  1303.33        500.000        99.5131                 NaN  0.589805E-001  0.177236                 NaN  0.161946       0.886882E-001            NaN            NaN            NaN            NaN
  1302.30        500.000        99.5176                 NaN  0.596249E-001  0.175249                 NaN  0.160212       0.872740E-001            NaN            NaN            NaN            NaN
  1301.27        500.000        99.5202                 NaN  0.174771       0.589053E-001            NaN  0.159330       0.868336E-001            NaN            NaN            NaN            NaN
  1300.24        500.000        99.5237                 NaN  0.173225       0.590952E-001            NaN  0.158020       0.859104E-001            NaN            NaN            NaN            NaN
  1299.21        500.000        99.5266                 NaN  0.601645E-001  0.171833                 NaN  0.156818       0.845663E-001            NaN            NaN            NaN            NaN
  1298.18        500.000        99.5292                 NaN  0.603939E-001  0.170878                 NaN  0.155802       0.837026E-001            NaN            NaN            NaN            NaN
  1297.16        500.000        99.5320                 NaN  0.169240       0.615430E-001            NaN  0.154720       0.825103E-001            NaN            NaN            NaN            NaN
  1296.13        500.000        99.5357                 NaN  0.168200       0.609924E-001            NaN  0.153362       0.817292E-001            NaN            NaN            NaN            NaN
  1295.10        500.000        99.5382                 NaN  0.167077       0.614234E-001            NaN  0.152451       0.808662E-001            NaN            NaN            NaN            NaN
  1294.07        500.000        99.5413                 NaN  0.165312       0.633620E-001            NaN  0.151030       0.790061E-001            NaN            NaN            NaN            NaN
  1293.04        500.000        99.5446                 NaN  0.164428       0.624742E-001            NaN  0.149950       0.785728E-001            NaN            NaN            NaN            NaN
  1292.01        500.000        99.5470                 NaN  0.163032       0.636110E-001            NaN  0.148948       0.773772E-001            NaN            NaN            NaN            NaN
  1290.99        500.000        99.5497                 NaN  0.644124E-001  0.161715                 NaN  0.147899       0.762472E-001            NaN            NaN            NaN            NaN
  1289.96        500.000        99.5526                 NaN  0.160349       0.650466E-001            NaN  0.146786       0.751986E-001            NaN            NaN            NaN            NaN
  1288.93        500.000        99.5552                 NaN  0.158892       0.660900E-001            NaN  0.145768       0.740157E-001            NaN            NaN            NaN            NaN
  1287.90        500.000        99.5578                 NaN  0.670550E-001  0.157639                 NaN  0.144712       0.727601E-001            NaN            NaN            NaN            NaN
  1286.87        500.000        99.5606                 NaN  0.156442       0.674035E-001            NaN  0.143664       0.718533E-001            NaN            NaN            NaN            NaN
  1285.85        500.000        99.5633                 NaN  0.679231E-001  0.155295                 NaN  0.142639       0.707974E-001            NaN            NaN            NaN            NaN
  1284.82        500.000        99.5653                 NaN  0.153562       0.704471E-001            NaN  0.141655       0.690244E-001            NaN            NaN            NaN            NaN
  1283.79        500.000        99.5684                 NaN  0.694358E-001  0.152824                 NaN  0.140652       0.686529E-001            NaN            NaN            NaN            NaN
  1282.76        500.000        99.5692                 NaN  0.734155E-001  0.150750                 NaN  0.140071       0.665687E-001            NaN            NaN            NaN            NaN
  1281.73        500.000        99.5729                 NaN  0.149438       0.738301E-001            NaN  0.138550       0.652339E-001            NaN            NaN            NaN            NaN
  1280.70        500.000        99.5753                 NaN  0.148443       0.740647E-001            NaN  0.137758       0.644681E-001            NaN            NaN            NaN            NaN
  1279.68        500.000        99.5775                 NaN  0.755959E-001  0.146901                 NaN  0.136870       0.631743E-001            NaN            NaN            NaN            NaN
  1278.65        500.000        99.5789                 NaN  0.146380       0.760045E-001            NaN  0.136343       0.624131E-001            NaN            NaN            NaN            NaN
  1277.62        500.000        99.5824                 NaN  0.795470E-001  0.143413                 NaN  0.134736       0.599416E-001            NaN            NaN            NaN            NaN
  1276.59        500.000        99.5838                 NaN  0.142474       0.803088E-001            NaN  0.134239       0.591646E-001            NaN            NaN            NaN            NaN
  1275.56        500.000        99.5861                 NaN  0.813870E-001  0.141193                 NaN  0.133320       0.579673E-001            NaN            NaN            NaN            NaN
  1274.53        500.000        99.5847                 NaN  0.141210       0.842669E-001  0.270680E-002  0.133236       0.538816E-001            NaN            NaN            NaN            NaN
  1273.51        500.000        99.5595                 NaN  0.878971E-001  0.156203       0.283205E-001  0.138150       0.299202E-001            NaN            NaN            NaN            NaN
  1272.48        500.000        91.5106                 NaN   1.03840       0.945339       0.337161        1.07444                 NaN   5.09407                 NaN            NaN            NaN
  1271.45        500.000        90.1919                 NaN   1.20344        1.05128       0.392543        1.22836                 NaN   5.93248                 NaN            NaN            NaN
  1270.42        500.000        91.1049                 NaN   1.10364       0.948396       0.358140        1.12051       0.152409E-005   5.36445                 NaN            NaN            NaN
  1269.39        500.000        91.9342                 NaN  0.860347        1.00711       0.324991        1.02177       0.132162E-005   4.85155                 NaN            NaN            NaN
  1268.37        500.000        92.6348                 NaN  0.923713       0.787825       0.296316       0.938054       0.950872E-006   4.41925                 NaN            NaN            NaN
  1267.34        500.000        93.2589                 NaN  0.847760       0.722348       0.271336       0.862950       0.870126E-006   4.03668                 NaN            NaN            NaN
  1266.31        500.000        93.7792                 NaN  0.784031       0.668669       0.250063       0.800239                 NaN   3.71781                 NaN            NaN            NaN
  1265.28        500.000        94.2278                 NaN  0.730178       0.620314       0.232224       0.745806                 NaN   3.44369                 NaN            NaN            NaN
  1264.25        500.000        94.6196                 NaN  0.682696       0.577981       0.216633       0.698119                 NaN   3.20501                 NaN            NaN            NaN
  1263.22        500.000        94.9549                 NaN  0.543115       0.640831       0.203028       0.657243       0.798205E-006   3.00085                 NaN            NaN            NaN
  1262.20        500.000        95.2685                 NaN  0.506676       0.604477       0.191078       0.618604       0.946726E-006   2.81071                 NaN            NaN            NaN
  1261.17        500.000        95.5340                 NaN  0.477300       0.571995       0.180530       0.585863       0.841345E-006   2.65027                 NaN            NaN            NaN
  1260.14        500.000        95.7741                 NaN  0.542636       0.450806       0.171197       0.556227       0.758574E-006   2.50505                 NaN            NaN            NaN
  1259.11        500.000        95.9933                 NaN  0.424657       0.516820       0.162872       0.528797                 NaN   2.37360                 NaN            NaN            NaN
  1258.08        500.000        96.1870                 NaN  0.494010       0.402437       0.155222       0.504674                 NaN   2.25664                 NaN            NaN            NaN
  1257.06        500.000        96.3658                 NaN  0.472328       0.381755       0.148325       0.482132                 NaN   2.14964                 NaN            NaN            NaN
  1256.03        500.000        96.5248                 NaN  0.451754       0.365904       0.139776       0.461986                 NaN   2.05445       0.134572E-002            NaN            NaN
  1255.00        500.000        96.5978                 NaN  0.401259       0.430347       0.715637E-001  0.448822                 NaN   2.01175       0.384241E-001            NaN            NaN
  1253.97        500.000        96.7343                 NaN  0.384406       0.415654       0.675290E-001  0.431752                 NaN   1.92917       0.371987E-001            NaN            NaN
  1252.94        500.000        96.8606                 NaN  0.368876       0.401964       0.637452E-001  0.415865                 NaN   1.85287       0.360834E-001            NaN            NaN
  1251.91        500.000        96.9758                 NaN  0.354414       0.389576       0.603911E-001  0.401435                 NaN   1.78338       0.349910E-001            NaN            NaN
  1250.89        500.000        97.0836                 NaN  0.340149       0.378767       0.570037E-001  0.387851                 NaN   1.71859       0.340730E-001            NaN            NaN
  1249.86        500.000        97.1861                 NaN  0.366127       0.328988       0.544940E-001  0.374708                 NaN   1.65674       0.328457E-001            NaN            NaN
  1248.83        500.000        97.2804                 NaN  0.315868       0.357149       0.515136E-001  0.362785                 NaN   1.60030       0.320307E-001            NaN            NaN
  1247.80        500.000        97.3724                 NaN  0.305149       0.346521       0.488807E-001  0.350869                 NaN   1.54511       0.310978E-001            NaN            NaN
  1246.77        500.000        97.4545                 NaN  0.293898       0.338576       0.463150E-001  0.340317                 NaN   1.49610       0.303441E-001            NaN            NaN
  1245.74        500.000        97.5336                 NaN  0.330274       0.283741       0.439061E-001  0.330103                 NaN   1.44882       0.295460E-001            NaN            NaN
  1244.72        500.000        97.6086                 NaN  0.273517       0.323054       0.415034E-001  0.320248                 NaN   1.40425       0.288569E-001            NaN            NaN
  1243.69        500.000        97.6779                 NaN  0.264275       0.316755       0.388700E-001  0.311244                 NaN   1.36264       0.283670E-001            NaN            NaN
  1242.66        500.000        97.7461                 NaN  0.309838       0.255078       0.367831E-001  0.302242                 NaN   1.32226       0.276835E-001            NaN            NaN
  1241.63        500.000        97.8095                 NaN  0.246445       0.303621       0.349069E-001  0.293928                 NaN   1.28461       0.270045E-001            NaN            NaN
  1240.60        500.000        97.8698                 NaN  0.299042       0.237598       0.321862E-001  0.285790                 NaN   1.24888       0.267205E-001            NaN            NaN
  1239.58        500.000        97.9268                 NaN  0.294572       0.229076       0.300608E-001  0.278286                 NaN   1.21498       0.262634E-001            NaN            NaN
  1238.55        500.000        97.9825                 NaN  0.221105       0.289794       0.280494E-001  0.270724                 NaN   1.18201       0.258017E-001            NaN            NaN
  1237.52        500.000        98.0339                 NaN  0.286329       0.213200       0.256197E-001  0.263940                 NaN   1.15137       0.255943E-001            NaN            NaN
  1236.49        500.000        98.0845                 NaN  0.205098       0.283414       0.233498E-001  0.257059                 NaN   1.12123       0.253245E-001            NaN            NaN
  1235.46        500.000        98.1307                 NaN  0.198031       0.279957       0.212341E-001  0.250759                 NaN   1.09421       0.250932E-001            NaN            NaN
  1234.43        500.000        98.1758                 NaN  0.189998       0.278470       0.187560E-001  0.244545                 NaN   1.06739       0.250041E-001            NaN            NaN
  1233.41        500.000        98.2197                 NaN  0.182792       0.276332       0.164081E-001  0.238650                 NaN   1.04117       0.249097E-001            NaN            NaN
  1232.38        500.000        98.2602                 NaN  0.275967       0.174879       0.137361E-001  0.233033                 NaN   1.01714       0.250211E-001            NaN            NaN
  1231.35        500.000        98.3006                 NaN  0.167461       0.275148       0.112254E-001  0.227377                 NaN  0.993159       0.250314E-001            NaN            NaN
  1230.32        500.000        98.3371                 NaN  0.161338       0.273833       0.894681E-002  0.222436                 NaN  0.971274       0.250858E-001            NaN            NaN
  1229.29        500.000        98.3754                 NaN  0.276048       0.151763       0.580933E-002  0.217077                 NaN  0.948504       0.253898E-001            NaN            NaN
  1228.26        500.000        98.3983                 NaN  0.317873       0.105258       0.624341E-003  0.216336                 NaN  0.935619       0.260349E-001            NaN            NaN
  1227.24        500.000        97.7233                 NaN  0.332132       0.274263                 NaN  0.386518                 NaN   1.20667       0.771135E-001            NaN            NaN
  1226.21        500.000        96.9879                 NaN  0.617926                 NaN            NaN  0.372200                 NaN   1.98581       0.362096E-001            NaN            NaN
  1225.18        500.000        97.9153                 NaN  0.255397                 NaN            NaN  0.217932                 NaN   1.55337       0.579618E-001            NaN            NaN
  1224.15        500.000        98.6396                 NaN  0.466714                 NaN            NaN  0.190200                 NaN  0.692017       0.114462E-001            NaN            NaN
  1223.12        500.000        99.7257                 NaN  0.245263                 NaN            NaN  0.290275E-001            NaN            NaN            NaN            NaN            NaN
  1222.10        500.000        99.3569                 NaN  0.546253E-001  0.142243       0.392511E-002  0.837223E-001            NaN  0.350638       0.798283E-002            NaN            NaN
  1221.07        500.000        99.1508                 NaN  0.341282                 NaN            NaN  0.108580       0.324449E-002  0.396141                 NaN            NaN            NaN
  1220.04        500.000        98.3562                 NaN  0.271725                 NaN  0.639144E-001  0.223785       0.219973E-001   1.06233                 NaN            NaN            NaN
  1219.01        500.000        98.8677                 NaN  0.221274                 NaN  0.368617E-001  0.151258       0.606146E-001  0.662312                 NaN            NaN            NaN
  1217.98        500.000        98.8616                 NaN  0.221222                 NaN  0.448190E-001  0.151297       0.516127E-001  0.669445                 NaN            NaN            NaN
  1216.95        500.000        98.8775                 NaN  0.217460                 NaN  0.438263E-001  0.148451       0.504621E-001  0.662282                 NaN            NaN            NaN
  1215.93        500.000        98.9050                 NaN  0.210973                 NaN  0.426558E-001  0.143794       0.484393E-001  0.649154                 NaN            NaN            NaN
  1214.90        500.000        98.9031                 NaN  0.211201                 NaN  0.416396E-001  0.143521       0.488913E-001  0.651697                 NaN            NaN            NaN
  1213.87        500.000        98.8870                 NaN  0.205600                 NaN            NaN  0.146271       0.829390E-001  0.659552       0.186370E-001            NaN            NaN
  1212.84        500.000        98.9025                 NaN  0.200808                 NaN            NaN  0.144049       0.820684E-001  0.652245       0.183227E-001            NaN            NaN
  1211.81        500.000        97.8231                 NaN  0.601142                 NaN            NaN  0.321775       0.778576E-001   1.16277       0.133186E-001            NaN            NaN
  1210.79        500.000        93.9581                 NaN  0.857982                 NaN            NaN  0.731907       0.304275        3.82481       0.110460       0.212465                 NaN
  1209.76        500.000        99.0829                 NaN  0.793199E-001            NaN            NaN  0.799314E-001  0.313617E-001  0.366150       0.592694E-002  0.354433                 NaN
  1208.73        500.000        99.0270                 NaN  0.828839E-001            NaN            NaN  0.845688E-001  0.329565E-001  0.387790       0.623597E-002  0.378613                 NaN
  1207.70        500.000        99.3110                 NaN  0.673642E-001  0.171441E-001            NaN  0.512754E-001            NaN            NaN  0.239041E-002  0.550854                 NaN
  1206.67        500.000        99.5327                 NaN  0.594594E-001  0.930953E-001            NaN  0.471393E-001            NaN  0.230570E-001            NaN  0.244507                 NaN
  1205.64        500.000        99.3468                 NaN  0.988431E-001            NaN            NaN  0.574979E-001            NaN  0.493890       0.292902E-002            NaN            NaN
  1204.62        500.000        97.3641                 NaN  0.376703                 NaN            NaN  0.251150       0.377880E-001   1.09500       0.600155E-002  0.869297                 NaN
  1203.59        500.000        98.0731                 NaN  0.382644E-001            NaN            NaN  0.135587                 NaN  0.888609       0.195585E-001  0.844916                 NaN
  1202.56        500.000        99.5093                 NaN  0.286605E-001  0.511766E-001            NaN  0.521108E-001            NaN  0.180632       0.974877E-003  0.177121                 NaN
  1201.53        500.000        85.7935                 NaN  0.872404        1.19562                 NaN   1.23754                 NaN   5.50224       0.608917E-001   5.33779                 NaN
  1200.50        500.000        86.7644                 NaN  0.977858                 NaN            NaN   1.12272       0.410604        5.33676       0.837098E-001   5.30394                 NaN
  1199.47        500.000        97.8959                 NaN  0.721075E-001  0.182730                 NaN  0.181466                 NaN  0.842507       0.992756E-002  0.815348                 NaN
  1198.45        500.000        99.4083                 NaN  0.242089E-001  0.457464E-001            NaN  0.503078E-001            NaN  0.237142       0.291044E-002  0.231342                 NaN
  1197.42        500.000        99.6659                 NaN  0.236304E-001            NaN            NaN  0.280515E-001  0.997404E-002  0.134697       0.208371E-002  0.135686                 NaN
