|6.6.6
Archiving\03_Data\Deqfrac/QFM_m4.25/YM20/YM20_3.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            Sp(TH)         ne             lc             hed           
  1562.78        2500.00        99.3931       0.549527       0.574094E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.23        2500.00        99.3946       0.548806       0.566371E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.68        2500.00        99.6908       0.196023       0.113156                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.13        2500.00        99.1095       0.811308       0.792307E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.58        2500.00        99.2882       0.704417       0.742845E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.03        2500.00        99.5433       0.438428       0.182652E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.48        2500.00        99.4136       0.522192       0.641677E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.92        2500.00        99.4222       0.543530       0.343008E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.37        2500.00        99.4266       0.524581       0.488153E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.82        2500.00        99.4308       0.521360       0.478083E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.27        2500.00        99.4341       0.518770       0.471368E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.72        2500.00        99.4398       0.513132       0.470920E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.17        2500.00        99.4368       0.515965       0.472452E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.62        2500.00        99.4539       0.501667       0.444079E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.07        2500.00        99.9496                 NaN  0.504467E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.52        2500.00        98.9574        1.00775       0.348441E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.97        2500.00        99.4585       0.497254       0.442060E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.42        2500.00        99.4616       0.497585       0.407866E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.87        2500.00        99.7090       0.271190       0.197641E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.32        2500.00        99.2218       0.718372       0.598051E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.77        2500.00        99.4757       0.485165       0.391785E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.22        2500.00        99.7160       0.262620       0.214279E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.67        2500.00        99.2410       0.705140       0.538378E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.12        2500.00        99.4826       0.481551       0.358754E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.57        2500.00        99.4862       0.478597       0.351653E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.02        2500.00        99.4808       0.453139       0.314896E-001  0.345464E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.47        2500.00        99.3307                 NaN  0.299966E-001  0.639263                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.92        2500.00        99.3223                 NaN  0.135968E-001  0.664082                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.37        2500.00        99.1726                 NaN            NaN  0.827359                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.82        2500.00        99.6630                 NaN            NaN  0.337029                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.27        2500.00        99.1372                 NaN  0.651663E-001  0.797636                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.72        2500.00        99.3119                 NaN            NaN  0.688142                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.17        2500.00        99.3120                 NaN            NaN  0.687974                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.62        2500.00        99.3556                 NaN            NaN  0.644433                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.07        2500.00        99.2462                 NaN            NaN  0.753786                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.52        2500.00        99.2913                 NaN            NaN  0.708732                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.96        2500.00        99.2784                 NaN            NaN  0.721602                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.41        2500.00        99.0454                 NaN            NaN  0.551932       0.402706                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.86        2500.00        98.8633                 NaN            NaN  0.405337       0.731328                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.31        2500.00        98.8756                 NaN            NaN  0.399456       0.724938                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.76        2500.00        98.8853                 NaN            NaN  0.719964       0.394698                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.21        2500.00        98.8984                 NaN            NaN  0.711343       0.390260                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.66        2500.00        98.9078                 NaN            NaN  0.705238       0.386923                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.11        2500.00        98.9219                 NaN            NaN  0.696171       0.381929                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.56        2500.00        98.9295                 NaN            NaN  0.379569       0.690976                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.01        2500.00        98.9405                 NaN            NaN  0.684438       0.375090                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.46        2500.00        98.9433                 NaN            NaN  0.371815       0.684855                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.91        2500.00        98.9640                 NaN            NaN  0.669462       0.366556                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.36        2500.00        98.9724                 NaN            NaN  0.361612       0.665988                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.81        2500.00        98.9805                 NaN            NaN  0.661745       0.357743                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.26        2500.00        98.9887                 NaN            NaN  0.354609       0.656716                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.71        2500.00        98.9971                 NaN  0.945188E-004  0.351279       0.651571                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.16        2500.00        99.0057                 NaN            NaN  0.646319       0.347936                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.61        2500.00        99.0140                 NaN            NaN  0.641986       0.344044                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.06        2500.00        99.0220                 NaN            NaN  0.636367       0.341585                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.51        2500.00        99.0325                 NaN            NaN  0.336265       0.631258                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.96        2500.00        99.0394                 NaN            NaN  0.627379       0.333180                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.41        2500.00        99.0462                 NaN            NaN  0.623127       0.330635                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.86        2500.00        99.0537                 NaN            NaN  0.620631       0.325688                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.31        2500.00        99.0630                 NaN            NaN  0.322563       0.614429                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.76        2500.00        99.0697                 NaN            NaN  0.610718       0.319537                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1468.21        2500.00        99.0767                 NaN            NaN  0.606461       0.316854                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1466.66        2500.00        99.0834                 NaN  0.296063E-003  0.603293       0.313013                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1465.11        2500.00        98.0290                 NaN            NaN  0.725005       0.750693       0.495351                 NaN            NaN            NaN            NaN            NaN            NaN
  1463.55        2500.00        96.8964                 NaN  0.161654       0.987023       0.899599        1.05530                 NaN            NaN            NaN            NaN            NaN            NaN
  1462.00        2500.00        96.9303                 NaN  0.272099       0.810415       0.920744        1.06643                 NaN            NaN            NaN            NaN            NaN            NaN
  1460.45        2500.00        97.0063                 NaN  0.269349       0.781975       0.900442        1.04196                 NaN            NaN            NaN            NaN            NaN            NaN
  1458.90        2500.00        97.0826                 NaN  0.266575       0.753048       0.881079        1.01671                 NaN            NaN            NaN            NaN            NaN            NaN
  1457.35        2500.00        97.1572                 NaN  0.263624       0.862052       0.725178       0.991936                 NaN            NaN            NaN            NaN            NaN            NaN
  1455.80        2500.00        97.2295                 NaN  0.261398       0.697303       0.843789       0.968054                 NaN            NaN            NaN            NaN            NaN            NaN
  1454.25        2500.00        97.2970                 NaN  0.257615       0.673969       0.826208       0.945197                 NaN            NaN            NaN            NaN            NaN            NaN
  1452.70        2500.00        97.3597                 NaN  0.255961       0.648440       0.811617       0.924312                 NaN            NaN            NaN            NaN            NaN            NaN
  1451.15        2500.00        97.4244                 NaN  0.253555       0.795107       0.624317       0.902595                 NaN            NaN            NaN            NaN            NaN            NaN
  1449.60        2500.00        97.4880                 NaN  0.250500       0.601646       0.778346       0.881493                 NaN            NaN            NaN            NaN            NaN            NaN
  1448.05        2500.00        97.5427                 NaN  0.248797       0.765069       0.580597       0.862789                 NaN            NaN            NaN            NaN            NaN            NaN
  1446.50        2500.00        97.5985                 NaN  0.246524       0.559813       0.750449       0.844749                 NaN            NaN            NaN            NaN            NaN            NaN
  1444.95        2500.00        97.6535                 NaN  0.244255       0.539816       0.736476       0.825996                 NaN            NaN            NaN            NaN            NaN            NaN
  1443.40        2500.00        97.7046                 NaN  0.242335       0.723770       0.520382       0.808958                 NaN            NaN            NaN            NaN            NaN            NaN
  1441.85        2500.00        97.7480                 NaN  0.241515       0.712302       0.503498       0.794668                 NaN            NaN            NaN            NaN            NaN            NaN
  1440.30        2500.00        97.8082                 NaN  0.237497       0.696999       0.483681       0.773629                 NaN            NaN            NaN            NaN            NaN            NaN
  1438.75        2500.00        97.8453                 NaN  0.237046       0.689413       0.466641       0.761555                 NaN            NaN            NaN            NaN            NaN            NaN
  1437.20        2500.00        97.8752                 NaN  0.237149       0.681429       0.453523       0.752728                 NaN            NaN            NaN            NaN            NaN            NaN
  1435.65        2500.00        97.9491                 NaN  0.231427       0.432181       0.661743       0.725568                 NaN            NaN            NaN            NaN            NaN            NaN
  1434.10        2500.00        97.9759                 NaN  0.231398       0.654472       0.420789       0.717405                 NaN            NaN            NaN            NaN            NaN            NaN
  1432.55        2500.00        98.0173                 NaN  0.232412       0.644866       0.401197       0.704257                 NaN            NaN            NaN            NaN            NaN            NaN
  1431.00        2500.00        97.8523                 NaN  0.269800       0.740894       0.371913       0.765095                 NaN            NaN            NaN            NaN            NaN            NaN
  1429.45        2500.00        98.1673                 NaN  0.196576       0.409534       0.584748       0.641822                 NaN            NaN            NaN            NaN            NaN            NaN
  1427.90        2500.00        98.1436                 NaN  0.226722       0.353716       0.615112       0.660836                 NaN            NaN            NaN            NaN            NaN            NaN
  1426.35        2500.00        98.1693                 NaN  0.222943       0.605905       0.350445       0.651362                 NaN            NaN            NaN            NaN            NaN            NaN
  1424.80        2500.00        98.2017                 NaN  0.222601       0.336481       0.598566       0.640621                 NaN            NaN            NaN            NaN            NaN            NaN
  1423.25        2500.00        98.2095                 NaN  0.222318       0.330922       0.598241       0.638990                 NaN            NaN            NaN            NaN            NaN            NaN
  1421.70        2500.00        98.2863                 NaN  0.218827       0.580506       0.303223       0.611120                 NaN            NaN            NaN            NaN            NaN            NaN
  1420.15        2500.00        98.3004                 NaN  0.217798       0.300084       0.574990       0.606715                 NaN            NaN            NaN            NaN            NaN            NaN
  1418.59        2500.00        98.3259                 NaN  0.217603       0.569645       0.288221       0.598622                 NaN            NaN            NaN            NaN            NaN            NaN
  1417.04        2500.00        98.3613                 NaN  0.215319       0.560455       0.276994       0.585968                 NaN            NaN            NaN            NaN            NaN            NaN
  1415.49        2500.00        98.3876                 NaN  0.214399       0.266611       0.554424       0.576983                 NaN            NaN            NaN            NaN            NaN            NaN
  1413.94        2500.00        98.4108                 NaN  0.233677       0.221382       0.560613       0.573478                 NaN            NaN            NaN            NaN            NaN            NaN
  1412.39        2500.00        98.4455                 NaN  0.191207       0.528872       0.281807       0.552657                 NaN            NaN            NaN            NaN            NaN            NaN
  1410.84        2500.00        98.4683                 NaN  0.210639       0.535010       0.236661       0.549430                 NaN            NaN            NaN            NaN            NaN            NaN
  1409.29        2500.00        98.4966                 NaN  0.209577       0.225105       0.529433       0.539308                 NaN            NaN            NaN            NaN            NaN            NaN
  1407.74        2500.00        98.5195                 NaN  0.208244       0.216795       0.523850       0.531610                 NaN            NaN            NaN            NaN            NaN            NaN
  1406.19        2500.00        98.5440                 NaN  0.207023       0.208536       0.517420       0.523015                 NaN            NaN            NaN            NaN            NaN            NaN
  1404.64        2500.00        98.5653                 NaN  0.207314       0.512394       0.198999       0.516017                 NaN            NaN            NaN            NaN            NaN            NaN
  1403.09        2500.00        98.5913                 NaN  0.203371       0.506319       0.192941       0.506073                 NaN            NaN            NaN            NaN            NaN            NaN
  1401.54        2500.00        98.4541                 NaN  0.237939       0.175445       0.570520       0.561991                 NaN            NaN            NaN            NaN            NaN            NaN
  1399.99        2500.00        98.7997                 NaN  0.167009       0.424981       0.181589       0.426735                 NaN            NaN            NaN            NaN            NaN            NaN
  1398.44        2500.00        98.6564                 NaN  0.200997       0.492481       0.166287       0.483829                 NaN            NaN            NaN            NaN            NaN            NaN
  1396.89        2500.00        98.6768                 NaN  0.199302       0.159820       0.487688       0.476413                 NaN            NaN            NaN            NaN            NaN            NaN
  1395.34        2500.00        98.6953                 NaN  0.199174       0.150807       0.484549       0.470175                 NaN            NaN            NaN            NaN            NaN            NaN
  1393.79        2500.00        98.7185                 NaN  0.196210       0.478003       0.145708       0.461537                 NaN            NaN            NaN            NaN            NaN            NaN
  1392.24        2500.00        98.7358                 NaN  0.195763       0.474802       0.137954       0.455645                 NaN            NaN            NaN            NaN            NaN            NaN
  1390.69        2500.00        98.7543                 NaN  0.195055       0.471383       0.129915       0.449314                 NaN            NaN            NaN            NaN            NaN            NaN
  1389.14        2500.00        98.7717                 NaN  0.192835       0.467790       0.124859       0.442829                 NaN            NaN            NaN            NaN            NaN            NaN
  1387.59        2500.00        98.7937                 NaN  0.190658       0.461290       0.119702       0.434684                 NaN            NaN            NaN            NaN            NaN            NaN
  1386.04        2500.00        98.8084                 NaN  0.199064       0.466009       0.948811E-001  0.431676                 NaN            NaN            NaN            NaN            NaN            NaN
  1384.49        2500.00        98.8264                 NaN  0.179458       0.447854       0.125152       0.421181                 NaN            NaN            NaN            NaN            NaN            NaN
  1382.94        2500.00        98.8432                 NaN  0.187517       0.451696       0.100289       0.417283                 NaN            NaN            NaN            NaN            NaN            NaN
  1381.39        2500.00        98.8599                 NaN  0.185276       0.447521       0.963302E-001  0.410947                 NaN            NaN            NaN            NaN            NaN            NaN
  1379.84        2500.00        98.8745                 NaN  0.184362       0.444722       0.906403E-001  0.405746                 NaN            NaN            NaN            NaN            NaN            NaN
  1378.29        2500.00        98.8907                 NaN  0.182571       0.858901E-001  0.441127       0.399757                 NaN            NaN            NaN            NaN            NaN            NaN
  1376.74        2500.00        98.9071                 NaN  0.180469       0.813891E-001  0.437383       0.393706                 NaN            NaN            NaN            NaN            NaN            NaN
  1375.18        2500.00        98.9207                 NaN  0.179428       0.434936       0.762094E-001  0.388765                 NaN            NaN            NaN            NaN            NaN            NaN
  1373.63        2500.00        98.9364                 NaN  0.177268       0.431559       0.718287E-001  0.382968                 NaN            NaN            NaN            NaN            NaN            NaN
  1372.08        2500.00        98.9513                 NaN  0.175712       0.428345       0.671649E-001  0.377493                 NaN            NaN            NaN            NaN            NaN            NaN
  1370.53        2500.00        98.9644                 NaN  0.173902       0.631895E-001  0.425952       0.372552                 NaN            NaN            NaN            NaN            NaN            NaN
  1368.98        2500.00        98.9754                 NaN  0.173589       0.579177E-001  0.424154       0.368894                 NaN            NaN            NaN            NaN            NaN            NaN
  1367.43        2500.00        98.9941                 NaN  0.168553       0.418446       0.579878E-001  0.360961                 NaN            NaN            NaN            NaN            NaN            NaN
  1365.88        2500.00        99.0047                 NaN  0.168345       0.518991E-001  0.417584       0.357423                 NaN            NaN            NaN            NaN            NaN            NaN
  1364.33        2500.00        99.0176                 NaN  0.166333       0.414915       0.486358E-001  0.352497                 NaN            NaN            NaN            NaN            NaN            NaN
  1362.78        2500.00        99.0311                 NaN  0.164628       0.412364       0.443483E-001  0.347574                 NaN            NaN            NaN            NaN            NaN            NaN
  1361.23        2500.00        99.0426                 NaN  0.162330       0.419664E-001  0.410119       0.342964                 NaN            NaN            NaN            NaN            NaN            NaN
  1359.68        2500.00        99.0513                 NaN  0.162002       0.342323E-001  0.412272       0.340210                 NaN            NaN            NaN            NaN            NaN            NaN
  1358.13        2500.00        99.0692                 NaN  0.156162       0.399677       0.426627E-001  0.332303                 NaN            NaN            NaN            NaN            NaN            NaN
  1356.58        2500.00        99.0773                 NaN  0.156072       0.335609E-001  0.403544       0.329481                 NaN            NaN            NaN            NaN            NaN            NaN
  1355.03        2500.00        99.0896                 NaN  0.153444       0.399963       0.322964E-001  0.324733                 NaN            NaN            NaN            NaN            NaN            NaN
  1353.48        2500.00        99.1004                 NaN  0.151686       0.396871       0.303233E-001  0.320683                 NaN            NaN            NaN            NaN            NaN            NaN
  1351.93        2500.00        99.1106                 NaN  0.149088       0.397228       0.265856E-001  0.316523                 NaN            NaN            NaN            NaN            NaN            NaN
  1350.38        2500.00        99.1219                 NaN  0.146712       0.393264       0.260177E-001  0.312073                 NaN            NaN            NaN            NaN            NaN            NaN
  1348.83        2500.00        99.1326                 NaN  0.145110       0.390472       0.235806E-001  0.308273                 NaN            NaN            NaN            NaN            NaN            NaN
  1347.28        2500.00        99.1430                 NaN  0.142146       0.390457       0.206877E-001  0.303750                 NaN            NaN            NaN            NaN            NaN            NaN
  1345.73        2500.00        99.1510                 NaN  0.139753       0.224007E-001  0.386185       0.300612                 NaN            NaN            NaN            NaN            NaN            NaN
  1344.18        2500.00        99.1629                 NaN  0.136654       0.385668       0.192162E-001  0.295589                 NaN            NaN            NaN            NaN            NaN            NaN
  1342.63        2500.00        99.1709                 NaN  0.134503       0.193977E-001  0.382572       0.292607                 NaN            NaN            NaN            NaN            NaN            NaN
  1341.08        2500.00        99.1820                 NaN  0.132637       0.380036       0.167934E-001  0.288551                 NaN            NaN            NaN            NaN            NaN            NaN
  1339.53        2500.00        99.1898                 NaN  0.129973       0.382541       0.128212E-001  0.284892                 NaN            NaN            NaN            NaN            NaN            NaN
  1337.98        2500.00        99.1975                 NaN  0.126301       0.379557       0.151992E-001  0.281492                 NaN            NaN            NaN            NaN            NaN            NaN
  1336.43        2500.00        99.2080                 NaN  0.123733       0.154670E-001  0.375294       0.277456                 NaN            NaN            NaN            NaN            NaN            NaN
  1334.88        2500.00        99.2030                 NaN  0.127487       0.387956                 NaN  0.281542                 NaN            NaN            NaN            NaN            NaN            NaN
  1333.33        2500.00        99.2360                 NaN  0.112092       0.223775E-001  0.365958       0.263523                 NaN            NaN            NaN            NaN            NaN            NaN
  1331.78        2500.00        99.2312                 NaN  0.115323       0.100041E-001  0.375827       0.267660                 NaN            NaN            NaN            NaN            NaN            NaN
  1330.22        2500.00        99.2385                 NaN  0.112087       0.373498       0.113837E-001  0.264556                 NaN            NaN            NaN            NaN            NaN            NaN
  1328.67        2500.00        99.2989                 NaN  0.179838       0.104174       0.149249       0.267834                 NaN            NaN            NaN            NaN            NaN            NaN
  1327.12        2500.00        99.2032                 NaN  0.365952E-001  0.434176       0.748990E-001  0.251085                 NaN            NaN            NaN            NaN            NaN            NaN
  1325.57        2500.00        99.2597                 NaN  0.101973       0.155842E-001  0.367383       0.255318                 NaN            NaN            NaN            NaN            NaN            NaN
  1324.02        2500.00        99.2673                 NaN  0.989373E-001  0.370815       0.108308E-001  0.252146                 NaN            NaN            NaN            NaN            NaN            NaN
  1322.47        2500.00        99.2747                 NaN  0.971260E-001  0.351380       0.273863E-001  0.249440                 NaN            NaN            NaN            NaN            NaN            NaN
  1320.92        2500.00        99.2820                 NaN  0.957651E-001  0.243025E-001  0.352110       0.245816                 NaN            NaN            NaN            NaN            NaN            NaN
  1319.37        2500.00        99.2877                 NaN  0.921583E-001  0.376705                 NaN  0.243473                 NaN            NaN            NaN            NaN            NaN            NaN
  1317.82        2500.00        99.2847                 NaN  0.718014E-001  0.153675       0.247598       0.242252                 NaN            NaN            NaN            NaN            NaN            NaN
  1316.27        2500.00        99.2977                 NaN  0.792635E-001  0.378549       0.655006E-002  0.237910                 NaN            NaN            NaN            NaN            NaN            NaN
  1314.72        2500.00        99.3024                 NaN  0.751674E-001  0.309292       0.769238E-001  0.236223                 NaN            NaN            NaN            NaN            NaN            NaN
  1313.17        2500.00        99.3139                 NaN  0.830131E-001  0.370650                 NaN  0.232473                 NaN            NaN            NaN            NaN            NaN            NaN
  1311.62        2500.00        99.2952                 NaN  0.400592E-001  0.430442                 NaN  0.234290                 NaN            NaN            NaN            NaN            NaN            NaN
  1310.07        2500.00        99.3252                 NaN  0.730973E-001  0.374593                 NaN  0.227095                 NaN            NaN            NaN            NaN            NaN            NaN
  1308.52        2500.00        95.4471                 NaN  0.243635        1.05764                 NaN  0.713421        2.53825                 NaN            NaN            NaN            NaN            NaN
  1306.97        2500.00        86.6964                 NaN  0.643556        2.59036                 NaN   1.80971        8.25994                 NaN            NaN            NaN            NaN            NaN
  1305.42        2500.00        87.6387                 NaN  0.613326        2.41038                 NaN   1.69168        7.64593                 NaN            NaN            NaN            NaN            NaN
  1303.87        2500.00        88.4797                 NaN  0.565710        2.27947                 NaN   1.58628        7.08885                 NaN            NaN            NaN            NaN            NaN
  1302.32        2500.00        89.2055                 NaN  0.533959        2.15261                 NaN   1.49520        6.61272                 NaN            NaN            NaN            NaN            NaN
  1300.77        2500.00        89.8364                 NaN  0.503959        2.04652                 NaN   1.41597        6.19720                 NaN            NaN            NaN            NaN            NaN
