|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.75/WD94/WD94_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        San(TH)        Sp(TH)         ilm            q             
  1519.95        2500.00        98.8611        1.04514       0.937660E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.46        2500.00        99.9751       0.222857E-001  0.266012E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.96        2500.00        99.7622       0.225927       0.119175E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.47        2500.00        99.3222       0.624813       0.529487E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.97        2500.00        99.5502       0.414330       0.355155E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.48        2500.00        99.5529       0.412289       0.347705E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.99        2500.00        99.5567       0.408902       0.343934E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.49        2500.00        99.5597       0.407217       0.331005E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.00        2500.00        99.5622       0.404638       0.332039E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.50        2500.00        99.4094       0.551076       0.394946E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.01        2500.00        99.7501       0.243341       0.655531E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.52        2500.00        99.5346       0.432702       0.326713E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.02        2500.00        99.5711       0.400742       0.281811E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.53        2500.00        99.5750       0.395793       0.292458E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.03        2500.00        99.5773       0.393599       0.290843E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.54        2500.00        99.5773       0.396171       0.265560E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.04        2500.00        99.5418       0.437948       0.202933E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.55        2500.00        99.4263       0.280265E-001  0.545684                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.06        2500.00        99.8416       0.158393                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.56        2500.00        99.5863       0.413701                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.07        2500.00        99.5892       0.410790                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.57        2500.00        99.5899       0.410089                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.08        2500.00        99.6821       0.317900                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.59        2500.00        99.5029       0.497059                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.09        2500.00        99.5964       0.403590                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.60        2500.00        99.5963       0.403711                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.10        2500.00        99.5990       0.401007                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.61        2500.00        99.5998       0.400205                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.12        2500.00        99.6027       0.397287                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.62        2500.00        99.5064       0.456290E-001            NaN            NaN  0.447943                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.13        2500.00        99.4543       0.167198E-001            NaN            NaN  0.529028                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.63        2500.00        99.4480                 NaN            NaN            NaN  0.552003                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.14        2500.00        99.2537                 NaN            NaN            NaN  0.388662       0.357682                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1470.64        2500.00        99.1938                 NaN            NaN            NaN  0.290707       0.515463                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.15        2500.00        99.2008                 NaN            NaN            NaN  0.287581       0.511649                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1467.66        2500.00        99.2052                 NaN            NaN            NaN  0.508525       0.286247                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1466.16        2500.00        99.2151                 NaN            NaN            NaN  0.502541       0.282380                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1464.67        2500.00        99.2204       0.522073E-001  0.775233E-005            NaN  0.506973       0.220397                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1463.17        2500.00        99.2256                 NaN            NaN            NaN  0.495867       0.278486                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1461.68        2500.00        99.2346       0.124807                 NaN            NaN  0.509769       0.130819                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.19        2500.00        99.2375                 NaN            NaN            NaN  0.274678       0.487827                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.69        2500.00        99.2432                 NaN            NaN            NaN  0.272231       0.484528                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1457.20        2500.00        99.3106       0.111905E-001  0.278826E-005            NaN  0.443178       0.235027                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1455.70        2500.00        99.1931                 NaN  0.901915E-002            NaN  0.521570       0.276327                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1454.21        2500.00        99.2665                 NaN  0.354008E-001            NaN  0.488475       0.209622                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1452.72        2500.00        99.2717                 NaN  0.344562E-001            NaN  0.209660       0.484191                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1451.22        2500.00        99.2768       0.130044E-001  0.327699E-001            NaN  0.482281       0.195166                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1449.73        2500.00        99.2817       0.194094E-001  0.313035E-001            NaN  0.188327       0.479216                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.23        2500.00        99.2879       0.163360E-001  0.305081E-001            NaN  0.191323       0.473936                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1446.74        2500.00        99.2919       0.161170E-001  0.295752E-001            NaN  0.191620       0.470803                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1445.24        2500.00        99.2960       0.825856E-001  0.243614E-001            NaN  0.475766       0.121250                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1443.75        2500.00        99.3026                 NaN  0.288125E-001            NaN  0.207423       0.461150                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1442.26        2500.00        99.3055                 NaN  0.278079E-001            NaN  0.459087       0.207603                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1440.76        2500.00        99.3104                 NaN  0.275273E-001            NaN  0.455923       0.206101                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1439.27        2500.00        99.3991       0.345248E-002  0.220121E-001            NaN  0.397095       0.178296                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1437.77        2500.00        99.2326       0.748417E-002  0.276154E-001            NaN  0.507122       0.225229                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1436.28        2500.00        99.3233       0.268044E-002  0.241532E-001            NaN  0.203379       0.446526                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1434.79        2500.00        99.3277       0.126263E-001  0.223824E-001            NaN  0.444499       0.192839                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1433.29        2500.00        99.3562       0.118552       0.441246E-001            NaN  0.481149                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1431.80        2500.00        99.3128                 NaN  0.314001E-004            NaN  0.275328       0.411809                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1430.30        2500.00        99.3764       0.868176E-001  0.519127E-001            NaN  0.484919                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1428.81        2500.00        99.3665       0.121460       0.387629E-001            NaN  0.473287                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1427.32        2500.00        99.3711       0.121154       0.377731E-001            NaN  0.469974                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1425.82        2500.00        99.3010                 NaN  0.690652E-001            NaN  0.380943       0.248954                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1424.33        2500.00        99.3498                 NaN            NaN            NaN  0.231834       0.418382                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1422.83        2500.00        99.3525                 NaN            NaN            NaN  0.230204       0.417302                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1421.34        2500.00        99.3559                 NaN            NaN            NaN  0.228941       0.415161                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1419.84        2500.00        98.5854                 NaN  0.481139E-001            NaN  0.426898       0.507697                 NaN  0.431882                 NaN            NaN            NaN            NaN            NaN
  1418.35        2500.00        98.4303                 NaN  0.195128                 NaN  0.464545       0.365817                 NaN  0.544189                 NaN            NaN            NaN            NaN            NaN
  1416.86        2500.00        98.4541                 NaN  0.193860                 NaN  0.357046       0.458489                 NaN  0.536541                 NaN            NaN            NaN            NaN            NaN
  1415.36        2500.00        98.5194                 NaN  0.189882                 NaN  0.438202       0.337625                 NaN  0.514903                 NaN            NaN            NaN            NaN            NaN
  1413.87        2500.00        98.4783                 NaN  0.196087                 NaN  0.453205       0.344134                 NaN  0.528272                 NaN            NaN            NaN            NaN            NaN
  1412.37        2500.00        98.5306                 NaN  0.191591                 NaN  0.328407       0.438220                 NaN  0.511181                 NaN            NaN            NaN            NaN            NaN
  1410.88        2500.00        98.5550                 NaN  0.190746                 NaN  0.432037       0.319581                 NaN  0.502652                 NaN            NaN            NaN            NaN            NaN
  1409.39        2500.00        98.5775                 NaN  0.190110                 NaN  0.311013       0.426184                 NaN  0.495200                 NaN            NaN            NaN            NaN            NaN
  1407.89        2500.00        98.5984                 NaN  0.189526                 NaN  0.420748       0.302928                 NaN  0.488404                 NaN            NaN            NaN            NaN            NaN
  1406.40        2500.00        98.6196                 NaN  0.189228                 NaN  0.294116       0.415800                 NaN  0.481299                 NaN            NaN            NaN            NaN            NaN
  1404.90        2500.00        98.6453                 NaN  0.187082                 NaN  0.286727       0.408688                 NaN  0.472179                 NaN            NaN            NaN            NaN            NaN
  1403.41        2500.00        98.6635                 NaN  0.187234                 NaN  0.403689       0.278995                 NaN  0.466581                 NaN            NaN            NaN            NaN            NaN
  1401.92        2500.00        98.6818                 NaN  0.187599                 NaN  0.399979       0.270270                 NaN  0.460303                 NaN            NaN            NaN            NaN            NaN
  1400.42        2500.00        98.6626                 NaN  0.186503                 NaN  0.280042       0.400992                 NaN  0.469823                 NaN            NaN            NaN            NaN            NaN
  1398.93        2500.00        98.7627                 NaN  0.183980                 NaN  0.382199       0.241324                 NaN  0.429839                 NaN            NaN            NaN            NaN            NaN
  1397.43        2500.00        98.7418                 NaN  0.184282                 NaN  0.384176       0.249796                 NaN  0.439961                 NaN            NaN            NaN            NaN            NaN
  1395.94        2500.00        98.7598                 NaN  0.183665                 NaN  0.379599       0.242990                 NaN  0.433898                 NaN            NaN            NaN            NaN            NaN
  1394.45        2500.00        98.7752                 NaN  0.183455                 NaN  0.236806       0.375647                 NaN  0.428916                 NaN            NaN            NaN            NaN            NaN
  1392.95        2500.00        98.7967                 NaN  0.182313                 NaN  0.229319       0.370341                 NaN  0.421351                 NaN            NaN            NaN            NaN            NaN
  1391.46        2500.00        98.8135                 NaN  0.181463                 NaN  0.365878       0.223492                 NaN  0.415623                 NaN            NaN            NaN            NaN            NaN
  1389.96        2500.00        98.8274                 NaN  0.182260                 NaN  0.216711       0.362118                 NaN  0.411474                 NaN            NaN            NaN            NaN            NaN
  1388.47        2500.00        98.8474                 NaN  0.178995                 NaN  0.213497       0.356285                 NaN  0.403810                 NaN            NaN            NaN            NaN            NaN
  1386.97        2500.00        98.8617                 NaN  0.179696                 NaN  0.205958       0.353318                 NaN  0.399352                 NaN            NaN            NaN            NaN            NaN
  1385.48        2500.00        98.8771                 NaN  0.178994                 NaN  0.349674       0.200216                 NaN  0.394014                 NaN            NaN            NaN            NaN            NaN
  1383.99        2500.00        98.8925                 NaN  0.178366                 NaN  0.194555       0.345728                 NaN  0.388857                 NaN            NaN            NaN            NaN            NaN
  1382.49        2500.00        98.8871                 NaN  0.213836                 NaN  0.144289       0.356339                 NaN  0.398425                 NaN            NaN            NaN            NaN            NaN
  1381.00        2500.00        98.9434                 NaN  0.140455                 NaN  0.230869       0.321746                 NaN  0.363485                 NaN            NaN            NaN            NaN            NaN
  1379.50        2500.00        98.9361                 NaN  0.176466                 NaN  0.334843       0.178737                 NaN  0.373854                 NaN            NaN            NaN            NaN            NaN
  1378.01        2500.00        98.9510                 NaN  0.175382                 NaN  0.330858       0.174050                 NaN  0.368675                 NaN            NaN            NaN            NaN            NaN
  1376.52        2500.00        98.9645                 NaN  0.174971                 NaN  0.327254       0.169117                 NaN  0.364111                 NaN            NaN            NaN            NaN            NaN
  1375.02        2500.00        98.9780                 NaN  0.173935                 NaN  0.164771       0.323904                 NaN  0.359394                 NaN            NaN            NaN            NaN            NaN
  1373.53        2500.00        98.9909                 NaN  0.173379                 NaN  0.320677       0.160081                 NaN  0.354918                 NaN            NaN            NaN            NaN            NaN
  1372.03        2500.00        99.0041                 NaN  0.173037                 NaN  0.316799       0.155515                 NaN  0.350578                 NaN            NaN            NaN            NaN            NaN
  1370.54        2500.00        99.0171                 NaN  0.172314                 NaN  0.314271       0.150220                 NaN  0.346134                 NaN            NaN            NaN            NaN            NaN
  1369.05        2500.00        99.0300                 NaN  0.170042                 NaN  0.310119       0.148832                 NaN  0.341020                 NaN            NaN            NaN            NaN            NaN
  1367.55        2500.00        99.0407                 NaN  0.170146                 NaN  0.308061       0.143505                 NaN  0.337607                 NaN            NaN            NaN            NaN            NaN
  1366.06        2500.00        99.0531                 NaN  0.169378                 NaN  0.139704       0.304607                 NaN  0.333237                 NaN            NaN            NaN            NaN            NaN
  1364.56        2500.00        99.0645                 NaN  0.168485                 NaN  0.301679       0.136173                 NaN  0.329189                 NaN            NaN            NaN            NaN            NaN
  1363.07        2500.00        99.0761                 NaN  0.167600                 NaN  0.298781       0.132354                 NaN  0.325140                 NaN            NaN            NaN            NaN            NaN
  1361.57        2500.00        99.0881                 NaN  0.166896                 NaN  0.295421       0.128487                 NaN  0.321103                 NaN            NaN            NaN            NaN            NaN
  1360.08        2500.00        99.0983                 NaN  0.165637                 NaN  0.125914       0.292911                 NaN  0.317243                 NaN            NaN            NaN            NaN            NaN
  1358.59        2500.00        99.1097                 NaN  0.164894                 NaN  0.289770       0.122266                 NaN  0.313366                 NaN            NaN            NaN            NaN            NaN
  1357.09        2500.00        99.1200                 NaN  0.163751                 NaN  0.287227       0.119532                 NaN  0.309478                 NaN            NaN            NaN            NaN            NaN
  1355.60        2500.00        99.1305                 NaN  0.162761                 NaN  0.284441       0.116497                 NaN  0.305791                 NaN            NaN            NaN            NaN            NaN
  1354.10        2500.00        99.5908                 NaN  0.181883E-001  0.765046E-002  0.653745E-001  0.179905                 NaN  0.138108                 NaN            NaN            NaN            NaN            NaN
  1352.61        2500.00        98.6884                 NaN  0.295972                 NaN  0.497802       0.525065E-001            NaN  0.465295                 NaN            NaN            NaN            NaN            NaN
  1351.12        2500.00        99.1608                 NaN  0.159662                 NaN  0.108132       0.276448                 NaN  0.294949                 NaN            NaN            NaN            NaN            NaN
  1349.62        2500.00        99.1703                 NaN  0.158361                 NaN  0.273763       0.106138                 NaN  0.291459                 NaN            NaN            NaN            NaN            NaN
  1348.13        2500.00        99.1797                 NaN  0.157378                 NaN  0.103646       0.271217                 NaN  0.288058                 NaN            NaN            NaN            NaN            NaN
  1346.63        2500.00        99.1851                 NaN  0.157602                 NaN  0.100741       0.270111                 NaN  0.286431                 NaN            NaN            NaN            NaN            NaN
  1345.14        2500.00        99.1997                 NaN  0.153276                 NaN  0.101952       0.264801                 NaN  0.280225                 NaN            NaN            NaN            NaN            NaN
  1343.65        2500.00        99.2064                 NaN  0.154294                 NaN  0.264292       0.966342E-001            NaN  0.278426                 NaN            NaN            NaN            NaN            NaN
  1342.15        2500.00        99.2162                 NaN  0.151602                 NaN  0.969840E-001  0.260829                 NaN  0.274407                 NaN            NaN            NaN            NaN            NaN
  1340.66        2500.00        99.1920                 NaN  0.160087                 NaN  0.268243       0.939671E-001            NaN  0.285695                 NaN            NaN            NaN            NaN            NaN
  1339.16        2500.00        99.2599                 NaN  0.140385                 NaN  0.963209E-001  0.247817                 NaN  0.255545                 NaN            NaN            NaN            NaN            NaN
  1337.67        2500.00        99.2419                 NaN  0.148374                 NaN  0.253830       0.907191E-001            NaN  0.265133                 NaN            NaN            NaN            NaN            NaN
  1336.17        2500.00        99.2497                 NaN  0.147248                 NaN  0.890532E-001  0.251686                 NaN  0.262307                 NaN            NaN            NaN            NaN            NaN
  1334.68        2500.00        99.2570                 NaN  0.146141                 NaN  0.880154E-001  0.249132                 NaN  0.259726                 NaN            NaN            NaN            NaN            NaN
  1333.19        2500.00        99.2664                 NaN  0.143363                 NaN  0.882177E-001  0.246296                 NaN  0.255721                 NaN            NaN            NaN            NaN            NaN
  1331.69        2500.00        99.2732                 NaN  0.142955                 NaN  0.859203E-001  0.244415                 NaN  0.253500                 NaN            NaN            NaN            NaN            NaN
  1330.20        2500.00        99.2804                 NaN  0.141166                 NaN  0.855292E-001  0.242302                 NaN  0.250618                 NaN            NaN            NaN            NaN            NaN
  1328.70        2500.00        99.2883                 NaN  0.139201                 NaN  0.852687E-001  0.239744                 NaN  0.247461                 NaN            NaN            NaN            NaN            NaN
  1327.21        2500.00        99.2954                 NaN  0.137927                 NaN  0.237635       0.841431E-001            NaN  0.244869                 NaN            NaN            NaN            NaN            NaN
  1325.72        2500.00        99.3033                 NaN  0.136387                 NaN  0.234914       0.834267E-001            NaN  0.241995                 NaN            NaN            NaN            NaN            NaN
  1324.22        2500.00        99.2833                 NaN  0.135870                 NaN  0.228678       0.100104                 NaN  0.252090                 NaN            NaN            NaN            NaN            NaN
  1322.73        2500.00        99.3428                 NaN  0.131856                 NaN  0.232624       0.689315E-001            NaN  0.223799                 NaN            NaN            NaN            NaN            NaN
  1321.23        2500.00        99.3235                 NaN  0.130978                 NaN  0.829465E-001  0.228434                 NaN  0.234126                 NaN            NaN            NaN            NaN            NaN
  1319.74        2500.00        99.3311                 NaN  0.129905                 NaN  0.225907       0.819126E-001            NaN  0.231205                 NaN            NaN            NaN            NaN            NaN
  1318.25        2500.00        99.3372                 NaN  0.127879                 NaN  0.223667       0.824224E-001            NaN  0.228819                 NaN            NaN            NaN            NaN            NaN
  1316.75        2500.00        99.3425                 NaN  0.126934                 NaN  0.812055E-001  0.222513                 NaN  0.226835                 NaN            NaN            NaN            NaN            NaN
  1315.26        2500.00        99.3507                 NaN  0.123550                 NaN  0.218982       0.835247E-001            NaN  0.223279                 NaN            NaN            NaN            NaN            NaN
  1313.76        2500.00        99.3563                 NaN  0.122386                 NaN  0.830266E-001  0.217046                 NaN  0.221266                 NaN            NaN            NaN            NaN            NaN
  1312.27        2500.00        99.3624                 NaN  0.120486                 NaN  0.214586       0.836156E-001            NaN  0.218929                 NaN            NaN            NaN            NaN            NaN
  1310.77        2500.00        99.3684                 NaN  0.118663                 NaN  0.212655       0.837134E-001            NaN  0.216527                 NaN            NaN            NaN            NaN            NaN
