|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2.25/Y98/Y98_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        an             O(HP)          Sp(TH)         ilm            San(TH)        q             
  1337.85        500.000        99.2787       0.317787       0.278334E-001            NaN  0.246884       0.128754                 NaN            NaN            NaN            NaN
  1336.75        500.000        99.2853       0.261602E-001  0.316171                 NaN  0.244474       0.127847                 NaN            NaN            NaN            NaN
  1335.65        500.000        99.2910       0.315173       0.243401E-001            NaN  0.242469       0.127015                 NaN            NaN            NaN            NaN
  1334.55        500.000        98.2651       0.529538       0.516956                 NaN  0.552395       0.136017                 NaN            NaN            NaN            NaN
  1333.45        500.000        99.9873                 NaN            NaN            NaN  0.126636E-001            NaN            NaN            NaN            NaN            NaN
  1332.35        500.000        99.5481       0.222286                 NaN            NaN  0.144679       0.848976E-001            NaN            NaN            NaN            NaN
  1331.25        500.000        99.3186       0.315686                 NaN            NaN  0.234178       0.131524                 NaN            NaN            NaN            NaN
  1330.15        500.000        99.3240       0.313840                 NaN            NaN  0.232064       0.130110                 NaN            NaN            NaN            NaN
  1329.05        500.000        99.3287       0.313010                 NaN            NaN  0.230036       0.128210                 NaN            NaN            NaN            NaN
  1327.95        500.000        99.3340       0.310825                 NaN            NaN  0.228145       0.127041                 NaN            NaN            NaN            NaN
  1326.85        500.000        99.3400       0.307573                 NaN            NaN  0.225902       0.126516                 NaN            NaN            NaN            NaN
  1325.75        500.000        99.3428       0.308565                 NaN            NaN  0.224606       0.124050                 NaN            NaN            NaN            NaN
  1324.65        500.000        99.3493       0.153987E-001  0.300308                 NaN  0.220228       0.114781                 NaN            NaN            NaN            NaN
  1323.55        500.000        99.3523       0.306059                 NaN            NaN  0.220844       0.120673                 NaN  0.864791E-004            NaN            NaN
  1322.45        500.000        99.2532       0.350102                 NaN            NaN  0.246437       0.113007                 NaN  0.373027E-001            NaN            NaN
  1321.35        500.000        99.2590       0.346866                 NaN            NaN  0.245012       0.112155                 NaN  0.369900E-001            NaN            NaN
  1320.25        500.000        99.2692       0.342191                 NaN            NaN  0.241329       0.110936                 NaN  0.362946E-001            NaN            NaN
  1319.15        500.000        99.2764       0.338665                 NaN            NaN  0.239131       0.109946                 NaN  0.358105E-001            NaN            NaN
  1318.04        500.000        99.2847       0.335334                 NaN            NaN  0.236312       0.108405                 NaN  0.352276E-001            NaN            NaN
  1316.94        500.000        99.2934       0.329134                 NaN            NaN  0.233756       0.108983                 NaN  0.347462E-001            NaN            NaN
  1315.84        500.000        99.3013       0.326006                 NaN            NaN  0.231080       0.107426                 NaN  0.341780E-001            NaN            NaN
  1314.74        500.000        99.3095       0.322240                 NaN            NaN  0.228387       0.106263                 NaN  0.336580E-001            NaN            NaN
  1313.64        500.000        99.3171       0.318487                 NaN            NaN  0.225881       0.105379                 NaN  0.331555E-001            NaN            NaN
  1312.54        500.000        99.3254       0.314742                 NaN            NaN  0.223144       0.104126                 NaN  0.326358E-001            NaN            NaN
  1311.44        500.000        99.3321       0.311786                 NaN            NaN  0.220845       0.103130                 NaN  0.321336E-001            NaN            NaN
  1310.34        500.000        99.3395       0.308318                 NaN            NaN  0.218406       0.102149                 NaN  0.316606E-001            NaN            NaN
  1309.24        500.000        99.3463       0.304086                 NaN            NaN  0.216313       0.102100                 NaN  0.312433E-001            NaN            NaN
  1308.14        500.000        99.3545       0.301540                 NaN            NaN  0.213329       0.999911E-001            NaN  0.306676E-001            NaN            NaN
  1307.04        500.000        99.3609       0.298815                 NaN            NaN  0.211158       0.988760E-001            NaN  0.302120E-001            NaN            NaN
  1305.94        500.000        99.3684       0.295153                 NaN            NaN  0.208752       0.979773E-001            NaN  0.297675E-001            NaN            NaN
  1304.84        500.000        99.3750       0.291927                 NaN            NaN  0.206553       0.971903E-001            NaN  0.293332E-001            NaN            NaN
  1303.74        500.000        99.3819       0.289065                 NaN            NaN  0.204165       0.959545E-001            NaN  0.288770E-001            NaN            NaN
  1302.64        500.000        99.3883       0.286464                 NaN            NaN  0.202032       0.947885E-001            NaN  0.284376E-001            NaN            NaN
  1301.54        500.000        99.3955       0.283373                 NaN            NaN  0.199589       0.935921E-001            NaN  0.279887E-001            NaN            NaN
  1300.44        500.000        99.4020       0.280270                 NaN            NaN  0.197424       0.927474E-001            NaN  0.275781E-001            NaN            NaN
  1299.34        500.000        99.4065       0.278736                 NaN            NaN  0.196373       0.906859E-001            NaN  0.277122E-001            NaN            NaN
  1298.24        500.000        99.4166       0.271934                 NaN            NaN  0.192369       0.928629E-001            NaN  0.262557E-001            NaN            NaN
  1297.14        500.000        99.4215       0.272606                 NaN            NaN  0.190609       0.890176E-001            NaN  0.262838E-001            NaN            NaN
  1296.03        500.000        99.4274       0.269239                 NaN            NaN  0.188846       0.885647E-001            NaN  0.259485E-001            NaN            NaN
  1294.93        500.000        99.4336       0.267037                 NaN            NaN  0.186625       0.871729E-001            NaN  0.255338E-001            NaN            NaN
  1293.83        500.000        99.4396       0.264301                 NaN            NaN  0.184633       0.862818E-001            NaN  0.251519E-001            NaN            NaN
  1292.73        500.000        99.4453       0.261780                 NaN            NaN  0.182694       0.853951E-001            NaN  0.247907E-001            NaN            NaN
  1291.63        500.000        99.4513       0.259408                 NaN            NaN  0.180620       0.842868E-001            NaN  0.243849E-001            NaN            NaN
  1290.53        500.000        99.4560       0.257673                 NaN            NaN  0.178960       0.832915E-001            NaN  0.240375E-001            NaN            NaN
  1289.43        500.000        99.4629       0.254999                 NaN            NaN  0.176594       0.818990E-001            NaN  0.236178E-001            NaN            NaN
  1288.33        500.000        99.4682       0.252898                 NaN            NaN  0.174810       0.808143E-001            NaN  0.232935E-001            NaN            NaN
  1287.23        500.000        99.4741       0.250257                 NaN            NaN  0.172833       0.799079E-001            NaN  0.229268E-001            NaN            NaN
  1286.13        500.000        99.4797       0.247808                 NaN            NaN  0.170879       0.789995E-001            NaN  0.225756E-001            NaN            NaN
  1285.03        500.000        99.4851       0.245471                 NaN            NaN  0.169102       0.781155E-001            NaN  0.222577E-001            NaN            NaN
  1283.93        500.000        99.4907       0.243562                 NaN            NaN  0.167097       0.768065E-001            NaN  0.218829E-001            NaN            NaN
  1282.83        500.000        99.4957       0.241245                 NaN            NaN  0.165496       0.760167E-001            NaN  0.215643E-001            NaN            NaN
  1281.73        500.000        99.5011       0.239630                 NaN            NaN  0.163487       0.745437E-001            NaN  0.212085E-001            NaN            NaN
  1280.63        500.000        99.5064       0.237014                 NaN            NaN  0.161754       0.739205E-001            NaN  0.209054E-001            NaN            NaN
  1279.53        500.000        99.5113       0.235365                 NaN            NaN  0.160037       0.727666E-001            NaN  0.205653E-001            NaN            NaN
  1278.43        500.000        99.5163       0.233214                 NaN            NaN  0.158310       0.718813E-001            NaN  0.202586E-001            NaN            NaN
  1277.33        500.000        99.5215       0.231147                 NaN            NaN  0.156562       0.708551E-001            NaN  0.199389E-001            NaN            NaN
  1276.23        500.000        99.5258       0.229808                 NaN            NaN  0.154987       0.697360E-001            NaN  0.196237E-001            NaN            NaN
  1275.13        500.000        99.5311       0.227436                 NaN            NaN  0.153254       0.688658E-001            NaN  0.193333E-001            NaN            NaN
  1274.02        500.000        92.8991        1.35857                 NaN            NaN  0.925813       0.317033                 NaN  0.154624        4.34490                 NaN
  1272.92        500.000        92.8089        1.38087                 NaN            NaN  0.932562       0.311211                 NaN  0.154528        4.41191                 NaN
  1271.82        500.000        93.3711        1.28860                 NaN            NaN  0.863657       0.281607                 NaN  0.141447        4.05354                 NaN
  1270.72        500.000        93.8577        1.20899                 NaN            NaN  0.803783       0.255006                 NaN  0.130168        3.74441                 NaN
  1269.62        500.000        94.2781        1.14103                 NaN            NaN  0.751777       0.231598                 NaN  0.120338        3.47717                 NaN
  1268.52        500.000        94.6406        1.07815                 NaN            NaN  0.706831       0.214451                 NaN  0.112019        3.24792                 NaN
  1267.42        500.000        94.9689        1.02410                 NaN            NaN  0.665896       0.195685                 NaN  0.104387        3.04105                 NaN
  1266.32        500.000        95.2568       0.975012                 NaN            NaN  0.629901       0.180618                 NaN  0.977238E-001   2.85999                 NaN
  1265.22        500.000        95.5129       0.930467                 NaN            NaN  0.597714       0.167938                 NaN  0.918425E-001   2.69913                 NaN
  1264.12        500.000        95.7444       0.889427                 NaN            NaN  0.568460       0.156649                 NaN  0.865245E-001   2.55449                 NaN
  1263.02        500.000        95.9580       0.853232                 NaN            NaN  0.541374       0.144478                 NaN  0.815425E-001   2.42135                 NaN
  1261.92        500.000        96.1467       0.819033                 NaN            NaN  0.517278       0.135749                 NaN  0.772157E-001   2.30402                 NaN
  1260.82        500.000        96.3229       0.788592                 NaN            NaN  0.494670       0.125869                 NaN  0.730912E-001   2.19493                 NaN
  1259.72        500.000        96.4826       0.760850                 NaN            NaN  0.474082       0.117355                 NaN  0.693761E-001   2.09577                 NaN
  1258.62        500.000        96.6306       0.732213                 NaN            NaN  0.454868       0.111262                 NaN  0.660112E-001   2.00507                 NaN
  1257.52        500.000        96.7646       0.708823                 NaN            NaN  0.437396       0.104103                 NaN  0.628554E-001   1.92224                 NaN
  1256.42        500.000        96.8940       0.684786                 NaN            NaN  0.420518       0.977260E-001            NaN  0.598376E-001   1.84315                 NaN
  1255.32        500.000        97.0113       0.662664                 NaN            NaN  0.404970       0.922149E-001            NaN  0.571418E-001   1.77171                 NaN
  1254.22        500.000        97.1164       0.641216                 NaN            NaN  0.391043       0.885891E-001            NaN  0.547662E-001   1.70802                 NaN
  1253.12        500.000        97.2308       0.618529                 NaN            NaN  0.375871       0.833252E-001            NaN  0.521441E-001   1.63931                 NaN
  1252.01        500.000        97.3184       0.605912                 NaN            NaN  0.363881       0.777210E-001            NaN  0.499682E-001   1.58415                 NaN
  1250.91        500.000        97.4114       0.585865                 NaN            NaN  0.351511       0.742385E-001            NaN  0.478576E-001   1.52916                 NaN
  1249.81        500.000        97.4968       0.570186                 NaN            NaN  0.339980       0.697591E-001            NaN  0.458257E-001   1.47744                 NaN
  1248.71        500.000        97.5854       0.548461                 NaN            NaN  0.328038       0.683927E-001            NaN  0.439281E-001   1.42581                 NaN
  1247.61        500.000        97.6474       0.540484                 NaN            NaN  0.319197       0.639493E-001            NaN  0.423310E-001   1.38667                 NaN
  1246.51        500.000        97.7280       0.524734                 NaN            NaN  0.308243       0.597186E-001            NaN  0.404251E-001   1.33887                 NaN
  1245.41        500.000        97.7949       0.506490                 NaN            NaN  0.298886       0.607113E-001            NaN  0.390647E-001   1.29994                 NaN
  1244.31        500.000        97.8573       0.499891                 NaN            NaN  0.290206       0.537124E-001            NaN  0.373489E-001   1.26149                 NaN
  1243.21        500.000        97.9215       0.485361                 NaN            NaN  0.281292       0.520403E-001            NaN  0.358873E-001   1.22391                 NaN
  1242.11        500.000        97.9815       0.474254                 NaN            NaN  0.272937       0.484628E-001            NaN  0.344646E-001   1.18841                 NaN
  1241.01        500.000        98.0367       0.463437                 NaN            NaN  0.265001       0.462204E-001            NaN  0.331431E-001   1.15551                 NaN
  1239.91        500.000        98.0911       0.452986                 NaN            NaN  0.257393       0.434251E-001            NaN  0.318199E-001   1.12329                 NaN
  1238.81        500.000        98.1456       0.445446                 NaN            NaN  0.249822       0.378369E-001            NaN  0.303993E-001   1.09088                 NaN
  1237.71        500.000        98.1909       0.432557                 NaN            NaN  0.243115       0.393759E-001            NaN  0.294609E-001   1.06463                 NaN
  1236.61        500.000        98.2378       0.423247                 NaN            NaN  0.236360       0.373613E-001            NaN  0.283720E-001   1.03688                 NaN
  1235.51        500.000        98.2841       0.417480                 NaN            NaN  0.229837       0.324522E-001            NaN  0.270863E-001   1.00907                 NaN
  1234.41        500.000        98.3259       0.409357                 NaN            NaN  0.223723       0.304812E-001            NaN  0.261015E-001  0.984441                 NaN
  1233.31        500.000        97.4903       0.448698                 NaN            NaN  0.362824       0.137166                 NaN  0.523533E-001   1.50868                 NaN
  1232.21        500.000        97.7181       0.153409                 NaN            NaN  0.304118       0.104136                 NaN  0.302345E-001   1.68995                 NaN
  1231.11        500.000        99.5157       0.216978                 NaN            NaN  0.907863E-001  0.145855                 NaN  0.306409E-001            NaN            NaN
  1230.00        500.000        99.0876                 NaN            NaN            NaN  0.306541E-001            NaN            NaN  0.162878E-001  0.865434                 NaN
  1228.90        500.000        97.9721       0.763136                 NaN            NaN  0.323479                 NaN            NaN  0.193820E-001  0.921889                 NaN
  1227.80        500.000        98.7689       0.249620                 NaN            NaN  0.468409E-001            NaN            NaN  0.285531E-001  0.906037                 NaN
  1226.70        500.000        97.5988       0.327425                 NaN            NaN  0.383679                 NaN            NaN  0.427972E-001   1.64727                 NaN
  1225.60        500.000        98.7083       0.631241                 NaN            NaN  0.206506       0.115058                 NaN  0.891208E-002  0.330011                 NaN
  1224.50        500.000        98.8996       0.449795E-001            NaN            NaN  0.207191       0.252665                 NaN            NaN  0.595542                 NaN
  1223.40        500.000        98.5677       0.474127                 NaN            NaN  0.157013                 NaN            NaN  0.906719E-003  0.800230                 NaN
  1222.30        500.000        98.4779                 NaN            NaN            NaN  0.144666                 NaN            NaN  0.591101E-001   1.31832                 NaN
  1221.20        500.000        99.9143       0.449136E-002            NaN            NaN            NaN            NaN            NaN  0.839359E-002  0.727660E-001            NaN
  1220.10        500.000        96.2218       0.966835       0.161751                 NaN  0.733820       0.151871                 NaN  0.314561E-001   1.73251                 NaN
  1219.00        500.000        99.6186                 NaN            NaN            NaN  0.429318E-001  0.825220E-001            NaN  0.608686E-002  0.249903                 NaN
  1217.90        500.000        99.7125       0.196880                 NaN            NaN  0.370016E-001            NaN            NaN            NaN  0.536297E-001            NaN
  1216.80        500.000        99.3600                 NaN            NaN            NaN  0.230838E-002            NaN            NaN  0.125571E-001  0.625096                 NaN
  1215.70        500.000        98.6602       0.442186       0.768382E-001            NaN  0.899468E-001            NaN            NaN  0.225931E-001  0.708194                 NaN
  1214.60        500.000        77.8046       0.984861                 NaN            NaN   1.79614       0.785811                 NaN  0.108098        9.38373        9.13674     
  1213.50        500.000        98.2375       0.925779                 NaN            NaN  0.324900                 NaN            NaN            NaN  0.511797                 NaN
  1212.40        500.000        96.3122       0.535786                 NaN            NaN  0.260813                 NaN            NaN  0.144263E-001   1.46426        1.41251     
  1211.30        500.000        93.0292       0.699326                 NaN            NaN  0.519342                 NaN            NaN  0.495910E-001   2.83071        2.87178     
  1210.20        500.000        90.7629        1.20708       0.518586E-001            NaN  0.726985                 NaN            NaN  0.482497E-001   3.52860        3.67429     
  1209.10        500.000        94.0675       0.597193                 NaN            NaN  0.458219                 NaN            NaN  0.385355E-001   2.42793        2.41062     
  1207.99        500.000        87.6121       0.334629       0.994386                 NaN  0.941120                 NaN            NaN  0.749614E-001   4.94205        5.10072     
  1206.89        500.000        94.7786       0.448578       0.111978E-004            NaN  0.434134       0.100553                 NaN  0.283232E-001   2.11026        2.09955     
  1205.79        500.000        92.4408       0.829529                 NaN            NaN  0.638356       0.702356E-001            NaN  0.320985E-001   2.98316        3.00582     
  1204.69        500.000        83.7272        1.48294                 NaN            NaN   1.33748       0.330058                 NaN  0.711749E-001   6.38104        6.67011     
  1203.59        500.000        81.7062        1.82953                 NaN            NaN   1.51661       0.320028                 NaN  0.807068E-001   7.21670        7.33023     
  1202.49        500.000       100.0000       0.158986E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1201.39        500.000        88.7346        1.35381                 NaN            NaN  0.938670                 NaN            NaN  0.415886E-001   4.42392        4.50736     
  1200.29        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1199.19        500.000       100.0000                 NaN            NaN            NaN  0.118670E-005  0.100375E-005            NaN            NaN  0.496214E-005  0.520442E-005
  1198.09        500.000        90.4917        1.09425                 NaN            NaN  0.769258                 NaN            NaN  0.381622E-001   3.77807        3.82857     
  1196.99        500.000        82.9327        1.85943                 NaN            NaN   1.41436       0.886776E-001            NaN  0.598404E-001   6.77930        6.86568     
  1195.89        500.000       100.0000       0.328713E-005            NaN            NaN  0.394742E-005  0.365325E-005            NaN            NaN  0.121188E-004  0.131441E-004
  1194.79        500.000        99.9995       0.516308E-004            NaN            NaN  0.378303E-004  0.242037E-005            NaN  0.209350E-005  0.199965E-003  0.202069E-003
  1193.69        500.000        90.0248        1.11527                 NaN            NaN  0.810690                 NaN            NaN  0.323828E-001   4.00579        4.01107     
  1192.59        500.000        80.7648       0.303786       0.976379       0.751469        1.49408                 NaN            NaN  0.730820E-001   7.86256        7.77388     
  1191.49        500.000        99.9997       0.602984E-005            NaN            NaN  0.300168E-004  0.238446E-004            NaN  0.909021E-006  0.138445E-003  0.137284E-003
  1190.39        500.000        99.9988       0.106712E-003  0.413084E-005            NaN  0.894163E-004            NaN            NaN  0.581712E-005  0.488866E-003  0.523205E-003
