|6.6.6
Archiving\03_Data\frac/QFM_m4.75/EETA/EETA_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         melt(TH)       pxmn           Ni             iron           Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1786.97        2500.00        98.9880       0.785358       0.112225E-001  0.215398                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        2500.00        98.9800       0.785468       0.112233E-001  0.223272                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        2500.00        98.9721       0.785578       0.112242E-001  0.231113                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        2500.00        98.9642       0.785688       0.112250E-001  0.238909                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        2500.00        98.9563       0.785797       0.112258E-001  0.246655                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        2500.00        98.9485       0.785906       0.112267E-001  0.254368                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        2500.00        98.9407       0.786015       0.112275E-001  0.262040                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        2500.00        98.9330       0.786123       0.112283E-001  0.269670                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        2500.00        98.9253       0.786231       0.112291E-001  0.277261                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        2500.00        98.9176       0.786339       0.112300E-001  0.284814                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        2500.00        98.9100       0.786447       0.112308E-001  0.292346                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        2500.00        98.9024       0.786554       0.112316E-001  0.299794                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        2500.00        98.8949       0.786661       0.112324E-001  0.307219                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        2500.00        98.8874       0.786768       0.112332E-001  0.314610                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        2500.00        98.8884       0.786813       0.112331E-001  0.313508                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        2500.00        98.8725       0.786980       0.112348E-001  0.329269                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        2500.00        98.8651       0.787086       0.112356E-001  0.336537                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        2500.00        98.8578       0.787191       0.112364E-001  0.343790                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        2500.00        98.8505       0.787296       0.112372E-001  0.350946                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        2500.00        98.8433       0.787401       0.112379E-001  0.358092                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        2500.00        98.8361       0.787506       0.112387E-001  0.365195                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        2500.00        98.8289       0.787610       0.112395E-001  0.372262                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        2500.00        98.8216       0.787715       0.112403E-001  0.379407                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        2500.00        98.8147       0.787817       0.112410E-001  0.386257                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        2500.00        98.8076       0.787921       0.112418E-001  0.393197                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        98.8006       0.788024       0.112426E-001  0.400099                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        98.7937       0.788127       0.112433E-001  0.406963                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        98.7867       0.788229       0.112441E-001  0.413778                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        98.7798       0.788331       0.112448E-001  0.420596                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        98.7730       0.788433       0.112456E-001  0.427284                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        98.7662       0.788535       0.112463E-001  0.433981                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        98.7595       0.788636       0.112471E-001  0.440633                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        98.7528       0.788737       0.112478E-001  0.447252                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        98.7461       0.788837       0.112485E-001  0.453816                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        98.7395       0.788938       0.112493E-001  0.460346                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        98.7329       0.789038       0.112500E-001  0.466831                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        98.7263       0.789138       0.112507E-001  0.473292                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        2500.00        98.7198       0.789237       0.112514E-001  0.479688                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        2500.00        98.7106       0.789357       0.112524E-001  0.488810                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        98.7069       0.789435       0.112529E-001  0.492374                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        98.7005       0.789534       0.112536E-001  0.498670                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        98.6942       0.789632       0.112543E-001  0.504892                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        2500.00        98.6879       0.789730       0.112550E-001  0.511122                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        98.6814       0.789830       0.112557E-001  0.517533                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        98.6755       0.789925       0.112564E-001  0.523366                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        98.6694       0.790021       0.112571E-001  0.529336                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        98.6632       0.790119       0.112578E-001  0.535473                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        98.6596       0.790198       0.112582E-001  0.538981                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        98.6510       0.790312       0.112591E-001  0.547409                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        98.6463       0.790398       0.112597E-001  0.552016                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        98.6390       0.790504       0.112605E-001  0.559190                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        98.6331       0.790599       0.112611E-001  0.564998                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        98.6272       0.790694       0.112618E-001  0.570853                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        98.6214       0.790789       0.112625E-001  0.576549                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        98.6156       0.790883       0.112631E-001  0.582214                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        98.6099       0.790977       0.112638E-001  0.587865                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        98.5971       0.791078       0.112645E-001  0.592626       0.796103E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        98.5921       0.791241       0.112662E-001  0.597404       0.798929E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        98.5873       0.791403       0.112678E-001  0.602122       0.790626E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        98.5825       0.791565       0.112694E-001  0.606812       0.784503E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        98.5777       0.791726       0.112710E-001  0.611473       0.778926E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        98.5730       0.791887       0.112726E-001  0.616090       0.772371E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        98.5683       0.792046       0.112742E-001  0.620669       0.766444E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        2500.00        98.5637       0.792205       0.112758E-001  0.625221       0.760958E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00        98.5591       0.792363       0.112774E-001  0.629730       0.753988E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        2500.00        98.5550       0.792518       0.112789E-001  0.634014       0.716060E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        2500.00        98.5497       0.792673       0.112805E-001  0.638637       0.774825E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        2500.00        98.4133       0.792825       0.112019E-001  0.635767       0.980568E-002  0.137128                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        2500.00        99.8514                 NaN            NaN  0.509116E-002  0.548488E-002  0.137994                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        99.4520                 NaN            NaN            NaN  0.809974E-002  0.539937                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        2500.00        99.4532                 NaN            NaN            NaN  0.808168E-002  0.538689                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        2500.00        99.4591                 NaN            NaN            NaN  0.800259E-002  0.532938                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        2500.00        99.4595                 NaN            NaN            NaN  0.800740E-002  0.532484                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        2500.00        99.4650                 NaN            NaN            NaN  0.792820E-002  0.527091                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        99.1284                 NaN            NaN            NaN  0.173616E-002  0.338512       0.531389                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        2500.00        98.7758                 NaN            NaN            NaN            NaN  0.125383        1.09886                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        2500.00        98.7881                 NaN            NaN            NaN            NaN  0.122859        1.08909                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        2500.00        98.8058                 NaN            NaN            NaN            NaN  0.118408        1.07579                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        2500.00        98.8216                 NaN            NaN            NaN            NaN  0.116176        1.06220                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        98.8436                 NaN            NaN            NaN            NaN  0.110618        1.04580                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        2500.00        98.8577                 NaN            NaN            NaN            NaN  0.112957        1.02935                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        2500.00        98.8767                 NaN            NaN            NaN            NaN  0.133608       0.989706                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        98.8691                 NaN            NaN            NaN            NaN  0.756307E-001   1.05532                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        98.9291                 NaN            NaN            NaN            NaN  0.106723       0.964180                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        98.9230                 NaN            NaN            NaN            NaN  0.100279       0.976735                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        2500.00        99.0878                 NaN            NaN            NaN            NaN  0.863899E-001  0.825791                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        2500.00        98.8024                 NaN            NaN            NaN            NaN  0.110400        1.08725                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        2500.00        98.9666                 NaN            NaN            NaN            NaN  0.933064E-001  0.940139                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        2500.00        98.9792                 NaN            NaN            NaN            NaN  0.916039E-001  0.929205                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00        98.9936                 NaN            NaN            NaN            NaN  0.890153E-001  0.917407                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00        99.0071                 NaN            NaN            NaN            NaN  0.875307E-001  0.905321                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        2500.00        99.0188                 NaN            NaN            NaN            NaN  0.847032E-001  0.896546                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        2500.00        99.0325                 NaN            NaN            NaN            NaN  0.831544E-001  0.884358                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        2500.00        99.0439                 NaN            NaN            NaN            NaN  0.806518E-001  0.875453                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        2500.00        99.0563                 NaN            NaN            NaN            NaN  0.798587E-001  0.863818                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        2500.00        98.8731                 NaN            NaN            NaN            NaN  0.812730E-001   1.04566                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        2500.00        99.2704                 NaN            NaN            NaN            NaN  0.603925E-001  0.669245                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00        99.0905                 NaN            NaN            NaN            NaN  0.741802E-001  0.835349                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
