|6.6.6
Archiving\03_Data\fracLP/QFM_m1.75/GRV/GRV_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       melt(TH)       pxmn           Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1864.66        500.000        99.1680                 NaN  0.831989                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        99.1680                 NaN  0.831987                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        99.1680                 NaN  0.831986                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        99.1680                 NaN  0.831984                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.1680                 NaN  0.831983                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        99.1680                 NaN  0.831981                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        99.1680                 NaN  0.831980                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        99.1680                 NaN  0.831978                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        99.1680                 NaN  0.831977                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        99.1680                 NaN  0.831975                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        99.1680                 NaN  0.831973                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        99.1680                 NaN  0.831972                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000        99.1680                 NaN  0.831970                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        99.1680                 NaN  0.831969                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000        99.1680                 NaN  0.831967                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        99.1680                 NaN  0.831965                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000        99.1680                 NaN  0.831964                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        500.000        99.1680                 NaN  0.831962                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        99.1680                 NaN  0.831960                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        99.1680                 NaN  0.831958                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        99.1680                 NaN  0.831957                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        99.1597                 NaN  0.831961       0.836306E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        99.1680                 NaN  0.832023                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        99.1663                 NaN  0.832021       0.165509E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        99.1512                 NaN  0.832032       0.167892E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        99.1512                 NaN  0.832170       0.166408E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        99.1512                 NaN  0.832306       0.165200E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        99.1512                 NaN  0.832442       0.163961E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        99.1511                 NaN  0.832576       0.162833E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        99.1511                 NaN  0.832709       0.161845E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        99.1511                 NaN  0.832842       0.160417E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        99.1511                 NaN  0.832973       0.158902E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        99.1511                 NaN  0.833103       0.158074E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        99.1511                 NaN  0.833233       0.156924E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        99.1511                 NaN  0.833361       0.155648E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        99.1511                 NaN  0.833488       0.154455E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        99.1510                 NaN  0.833615       0.153482E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        99.1511                 NaN  0.833740       0.152002E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        99.1510                 NaN  0.833865       0.151605E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        99.1511                 NaN  0.833989       0.149204E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        99.1510                 NaN  0.834111       0.148860E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        99.1510                 NaN  0.834233       0.147436E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        99.1510                 NaN  0.834353       0.146442E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        99.1510                 NaN  0.834473       0.145647E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        98.6472                 NaN  0.834599       0.142541E-001  0.503911                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        99.3291                 NaN            NaN  0.143538E-001  0.656520                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        99.0351                 NaN            NaN  0.204981E-001  0.944355                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        99.6400                 NaN            NaN  0.756866E-002  0.352405                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        99.2849                 NaN            NaN  0.149281E-001  0.700208                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        99.3085                 NaN            NaN  0.143133E-001  0.677217                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        99.3031                 NaN            NaN  0.143144E-001  0.682558                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        99.2981                 NaN            NaN  0.143004E-001  0.687649                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        99.2918                 NaN            NaN  0.143014E-001  0.693943                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        99.2863                 NaN            NaN  0.142867E-001  0.699409                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        99.2793                 NaN            NaN  0.143447E-001  0.706331                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        99.2763                 NaN            NaN  0.142417E-001  0.709441                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        99.8967                 NaN            NaN  0.224348E-002  0.101040                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        98.6381                 NaN            NaN  0.262207E-001   1.33564                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        99.2591                 NaN            NaN  0.142423E-001  0.726688                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        99.2560                 NaN            NaN  0.141965E-001  0.729787                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        99.2403                 NaN            NaN  0.143714E-001  0.745281                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        99.2414                 NaN            NaN  0.142278E-001  0.744369                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        99.2335                 NaN            NaN  0.142725E-001  0.752190                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        99.2309                 NaN            NaN  0.142174E-001  0.754883                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        99.2223                 NaN            NaN  0.142634E-001  0.763411                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        99.2190                 NaN            NaN  0.142384E-001  0.766741                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000        99.2121                 NaN            NaN  0.142491E-001  0.773632                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        99.2308                 NaN            NaN  0.138236E-001  0.755365                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        99.1763                 NaN            NaN  0.147141E-001  0.808983                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000        99.1991                 NaN            NaN  0.141961E-001  0.786748                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000        99.1887                 NaN            NaN  0.142904E-001  0.796969                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000        99.2095                 NaN            NaN  0.138397E-001  0.776630                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        99.1585                 NaN            NaN  0.146511E-001  0.826809                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000        99.1796                 NaN            NaN  0.142133E-001  0.806216                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        99.1740                 NaN            NaN  0.142304E-001  0.811727                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        99.1706                 NaN            NaN  0.142287E-001  0.815201                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        99.1644                 NaN            NaN  0.142552E-001  0.821308                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        99.1637                 NaN            NaN  0.142309E-001  0.822047                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        99.1549                 NaN            NaN  0.142834E-001  0.830866                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        99.1527                 NaN            NaN  0.143115E-001  0.832986                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000        99.1608                 NaN            NaN  0.140991E-001  0.825059                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000        99.1273                 NaN            NaN  0.145636E-001  0.858168                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        500.000        99.0773                 NaN            NaN  0.153891E-001  0.907270                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        500.000        99.2256                 NaN            NaN  0.128816E-001  0.761482                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        500.000        99.1534                 NaN            NaN  0.140667E-001  0.832569                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        500.000        99.1448                 NaN            NaN  0.141778E-001  0.841007                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        500.000        99.1409                 NaN            NaN  0.142330E-001  0.844834                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        500.000        99.1418                 NaN            NaN  0.141975E-001  0.843988                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        500.000        99.1421                 NaN            NaN  0.141670E-001  0.843727                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        500.000        99.1415                 NaN            NaN  0.141872E-001  0.844286                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        500.000        99.1429                 NaN            NaN  0.141450E-001  0.842932                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        500.000        99.1415                 NaN            NaN  0.141754E-001  0.844275                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        500.000        99.1450                 NaN            NaN  0.141224E-001  0.840883                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        500.000        99.1443                 NaN            NaN  0.141377E-001  0.841571                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        500.000        98.2502                 NaN            NaN  0.289127E-001   1.72091                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        500.000        99.9905                 NaN            NaN            NaN  0.952899E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        500.000        99.7990                 NaN            NaN  0.175757E-002  0.808284E-001  0.118378                 NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        500.000        96.7797                 NaN            NaN  0.137626E-001  0.388653        2.81790                 NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        500.000        97.8864                 NaN            NaN  0.525176E-002  0.251533E-001   2.08318                 NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        500.000        97.7672                 NaN            NaN  0.529942E-002            NaN   2.22747                 NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        500.000        98.1310                 NaN            NaN  0.516123E-002  0.191589        1.67227                 NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        500.000        98.0077                 NaN            NaN  0.448556E-002  0.434548E-002   1.98343                 NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        500.000        98.0278                 NaN            NaN  0.409404E-002            NaN   1.96816                 NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        500.000        98.0570                 NaN            NaN  0.380533E-002            NaN   1.93921                 NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        500.000        98.0856                 NaN            NaN  0.357697E-002            NaN   1.91078                 NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        500.000        98.1169                 NaN            NaN  0.334986E-002            NaN   1.87975                 NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        500.000        98.1251                 NaN            NaN  0.320319E-002  0.764900E-002   1.86404                 NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        500.000        98.1901                 NaN            NaN  0.260444E-002            NaN   1.80732                 NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        500.000        98.1945                 NaN            NaN  0.251429E-002            NaN   1.80298                 NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        500.000        98.2249                 NaN            NaN  0.230749E-002  0.470743E-005   1.77281                 NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        98.2578                 NaN            NaN  0.198435E-002            NaN   1.74021                 NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        500.000        98.2763                 NaN            NaN  0.166386E-002            NaN   1.72206                 NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        500.000        98.2975                 NaN            NaN  0.141263E-002            NaN   1.70112                 NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        500.000        98.3203                 NaN            NaN  0.112474E-002            NaN   1.67858                 NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        500.000        98.3460                 NaN            NaN  0.977360E-003            NaN   1.65297                 NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000        98.3666                 NaN            NaN  0.670630E-003            NaN   1.63278                 NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        500.000        98.3867                 NaN            NaN  0.448668E-003            NaN   1.61283                 NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        500.000        98.4060                 NaN            NaN  0.116750E-003            NaN   1.59384                 NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        500.000        98.4208                 NaN            NaN  0.611851E-004            NaN   1.57917                 NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        500.000        98.4529                 NaN            NaN            NaN            NaN   1.54707                 NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        500.000        98.4637                 NaN            NaN            NaN            NaN   1.53627                 NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000        98.4774                 NaN            NaN  0.178975E-002            NaN   1.52077                 NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        500.000        98.5101                 NaN            NaN            NaN            NaN   1.48994                 NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        500.000        98.5175                 NaN            NaN            NaN            NaN   1.48252                 NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        500.000        98.5278                 NaN            NaN            NaN            NaN   1.47219                 NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000        98.5494                 NaN            NaN            NaN            NaN   1.45058                 NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        500.000        98.5713                 NaN            NaN  0.369574E-002            NaN   1.42499                 NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        500.000        98.5764                 NaN            NaN            NaN            NaN   1.42357                 NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        500.000        99.3794                 NaN            NaN  0.135461E-001            NaN  0.607051                 NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        500.000        97.8406                 NaN            NaN            NaN            NaN   2.15942                 NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        500.000        98.6209                 NaN            NaN            NaN            NaN   1.37915                 NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        500.000        98.6264                 NaN            NaN            NaN            NaN   1.37362                 NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        500.000        98.6408                 NaN            NaN            NaN            NaN   1.35924                 NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        500.000        98.6028                 NaN            NaN            NaN            NaN   1.11569       0.281539                 NaN            NaN            NaN            NaN            NaN
  1528.82        500.000        98.2911                 NaN            NaN            NaN            NaN            NaN   1.70885                 NaN            NaN            NaN            NaN            NaN
  1526.32        500.000        98.2564                 NaN            NaN            NaN            NaN            NaN   1.74360                 NaN            NaN            NaN            NaN            NaN
  1523.81        500.000        98.1710                 NaN            NaN  0.942550E-002            NaN            NaN   1.81957                 NaN            NaN            NaN            NaN            NaN
  1521.30        500.000        98.0364                 NaN            NaN  0.171593E-001            NaN            NaN   1.94640                 NaN            NaN            NaN            NaN            NaN
  1518.80        500.000        97.4310                 NaN            NaN  0.169807E-001            NaN            NaN   1.33971        1.21230                 NaN            NaN            NaN            NaN
  1516.29        500.000        97.0675                 NaN            NaN  0.163188E-001            NaN            NaN   2.19983       0.716347                 NaN            NaN            NaN            NaN
  1513.78        500.000        97.1427                 NaN            NaN  0.157074E-001            NaN            NaN  0.694153        2.14748                 NaN            NaN            NaN            NaN
  1511.28        500.000        97.2150                 NaN            NaN  0.150609E-001            NaN            NaN   2.09787       0.672100                 NaN            NaN            NaN            NaN
  1508.77        500.000        97.2814                 NaN            NaN  0.144769E-001            NaN            NaN   2.05147       0.652607                 NaN            NaN            NaN            NaN
  1506.27        500.000        97.3471                 NaN            NaN  0.138700E-001            NaN            NaN   2.00492       0.634108                 NaN            NaN            NaN            NaN
  1503.76        500.000        97.4102                 NaN            NaN  0.132862E-001            NaN            NaN  0.615375        1.96118                 NaN            NaN            NaN            NaN
  1501.25        500.000        97.4651                 NaN            NaN  0.111786E-001            NaN  0.797813E-001  0.498826        1.94512                 NaN            NaN            NaN            NaN
  1498.75        500.000        97.5230                 NaN            NaN  0.300294E-002            NaN  0.447775        2.02619                 NaN            NaN            NaN            NaN            NaN
  1496.24        500.000        97.5780                 NaN            NaN  0.224161E-002            NaN  0.450784        1.96900                 NaN            NaN            NaN            NaN            NaN
  1493.73        500.000        97.6352                 NaN            NaN  0.142044E-002            NaN  0.454663        1.90873                 NaN            NaN            NaN            NaN            NaN
  1491.23        500.000        97.6881                 NaN            NaN  0.159321E-002            NaN  0.418752        1.89158                 NaN            NaN            NaN            NaN            NaN
  1488.72        500.000        97.7425                 NaN            NaN  0.935018E-003            NaN  0.415394        1.84118                 NaN            NaN            NaN            NaN            NaN
  1486.22        500.000        97.7899                 NaN            NaN  0.606347E-003            NaN  0.403391        1.80607                 NaN            NaN            NaN            NaN            NaN
  1483.71        500.000        97.8414                 NaN            NaN  0.172321E-003            NaN  0.392988        1.76546                 NaN            NaN            NaN            NaN            NaN
  1481.20        500.000        97.8874                 NaN            NaN  0.339776E-003            NaN  0.375525        1.73669                 NaN            NaN            NaN            NaN            NaN
  1478.70        500.000        97.9311                 NaN            NaN            NaN            NaN  0.364418        1.70446                 NaN            NaN            NaN            NaN            NaN
  1476.19        500.000        97.9739                 NaN            NaN            NaN            NaN  0.347899        1.67824                 NaN            NaN            NaN            NaN            NaN
  1473.68        500.000        98.0160                 NaN            NaN            NaN            NaN  0.328716        1.65533                 NaN            NaN            NaN            NaN            NaN
  1471.18        500.000        98.0542                 NaN            NaN            NaN            NaN  0.314063        1.63176                 NaN            NaN            NaN            NaN            NaN
