|6.6.6
Archiving\03_Data\fracLP/QFM_m0.25/LAR/LAR_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       pxmn           Sp(TH)         Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        q              ilm           
  1834.59        500.000        99.1012       0.898801                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        99.1012       0.898797                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000        99.1012       0.898794                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        99.1012       0.898791                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000        99.1012       0.898787                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        500.000        99.1012       0.898784                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        99.1012       0.898780                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        99.1012       0.898777                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        99.1012       0.898773                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        99.1012       0.898770                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        99.1012       0.898766                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        99.1012       0.898762                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        99.1012       0.898759                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        99.1012       0.898755                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        99.1012       0.898751                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        99.1013       0.898748                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        99.1013       0.898746                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        99.1013       0.898740                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        99.1013       0.898736                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        99.1013       0.898732                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        99.1013       0.898728                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        99.1013       0.898724                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        99.1013       0.898720                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        99.1013       0.898716                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        99.1013       0.898712                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        99.1013       0.898708                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        99.1013       0.898704                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        99.1013       0.898700                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        99.1013       0.898696                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        99.1013       0.898692                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        99.1013       0.898688                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        99.1013       0.898683                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        99.1013       0.898675                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        99.1013       0.898675                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        99.1013       0.898670                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        99.1013       0.898666                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        99.1013       0.898661                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        99.1013       0.898657                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        99.1013       0.898652                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        99.1014       0.898648                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        99.1014       0.898644                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        99.1014       0.898639                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        99.1014       0.898634                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        99.1014       0.898629                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        99.1014       0.898625                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        99.1014       0.898620                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        99.1014       0.898615                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        99.1014       0.898610                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        99.1014       0.898605                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        99.1014       0.898600                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        99.1014       0.898594                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        99.1014       0.898590                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        99.1014       0.898585                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        99.1014       0.898580                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000        99.1014       0.898575                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        99.1014       0.898570                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        99.1014       0.898565                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000        99.1014       0.898560                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000        99.1014       0.898554                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000        99.1015       0.898549                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        99.1015       0.898544                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000        99.1015       0.898538                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        99.1015       0.898533                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        99.1015       0.898527                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        99.0947       0.898522       0.676788E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        99.0878       0.898576       0.136737E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        99.0878       0.898693       0.135543E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        99.0878       0.898809       0.134385E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000        99.0878       0.898923       0.133189E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000        99.0877       0.899037       0.132282E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        500.000        99.0877       0.899149       0.131089E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        500.000        99.0877       0.899261       0.130096E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        500.000        99.0877       0.899371       0.128996E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        500.000        99.0877       0.899481       0.127905E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        500.000        99.0877       0.899589       0.126876E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        500.000        99.0877       0.899697       0.126028E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        500.000        99.0877       0.899804       0.124647E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        500.000        99.0807       0.899906       0.194049E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        500.000        99.0947       0.900077       0.526622E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        500.000        99.0878       0.900118       0.121127E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        500.000        99.0928       0.900224       0.701488E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        500.000        99.0827       0.900277       0.170094E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        500.000        99.0877       0.900423       0.118471E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        500.000        99.0877       0.900523       0.117523E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        500.000        99.0877       0.900621       0.116390E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        500.000        99.0877       0.900719       0.115614E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        500.000        99.0877       0.900816       0.114716E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        500.000        99.0877       0.900912       0.113437E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        500.000        99.0877       0.901007       0.112648E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        500.000        99.0878       0.901102       0.111430E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        500.000        99.0877       0.901195       0.110722E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        500.000        99.0877       0.901287       0.109747E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        500.000        99.0878       0.901379       0.108695E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        500.000        98.8265       0.901481       0.109423E-001            NaN  0.261076                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        500.000        99.3711                 NaN  0.111919E-001            NaN  0.617702                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        500.000        99.3304                 NaN  0.119015E-001            NaN  0.657679                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        500.000        99.8207                 NaN  0.319313E-002            NaN  0.176113                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        500.000        98.9744                 NaN  0.181316E-001            NaN   1.00742                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        99.3758                 NaN  0.110134E-001            NaN  0.613209                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        500.000        99.2330                 NaN  0.135815E-001            NaN  0.753382                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        500.000        99.4314                 NaN  0.103965E-001            NaN  0.558248                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        500.000        99.4742                 NaN  0.877998E-002            NaN  0.516979                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        500.000        99.3849                 NaN  0.107704E-001            NaN  0.604347                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000        99.3876                 NaN  0.107181E-001            NaN  0.601678                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        500.000        99.3884                 NaN  0.106753E-001            NaN  0.600894                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        500.000        99.3913                 NaN  0.106007E-001            NaN  0.598095                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        500.000        99.3938                 NaN  0.105517E-001            NaN  0.595629                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        500.000        99.3964                 NaN  0.105030E-001            NaN  0.593142                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        500.000        99.3989                 NaN  0.104330E-001            NaN  0.590693                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000        99.4012                 NaN  0.103769E-001            NaN  0.588389                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        500.000        99.4036                 NaN  0.103225E-001            NaN  0.586091                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        500.000        99.4045                 NaN  0.103057E-001            NaN  0.585218                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        500.000        99.4128                 NaN  0.101401E-001            NaN  0.577095                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000        99.4119                 NaN  0.101407E-001            NaN  0.577943                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        500.000        99.4151                 NaN  0.100742E-001            NaN  0.574818                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        500.000        99.2842                 NaN  0.124641E-001            NaN  0.703351                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        500.000        99.5548                 NaN  0.749756E-002            NaN  0.437654                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        500.000        99.4252                 NaN  0.986432E-002            NaN  0.564982                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        500.000        99.4281                 NaN  0.981318E-002            NaN  0.562085                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        500.000        99.4325                 NaN  0.973182E-002            NaN  0.557748                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        500.000        99.4351                 NaN  0.969401E-002            NaN  0.555198                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        500.000        99.4374                 NaN  0.963634E-002            NaN  0.552988                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.82        500.000        99.0764                 NaN  0.158571E-001            NaN  0.907789                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.32        500.000        99.8137                 NaN  0.314171E-002            NaN  0.183204                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.81        500.000        99.5859                 NaN  0.704555E-002            NaN  0.407082                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.30        500.000        99.3153                 NaN  0.117029E-001            NaN  0.672982                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.80        500.000        99.4548                 NaN  0.929312E-002            NaN  0.535893                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.29        500.000        99.4590                 NaN  0.922649E-002            NaN  0.531780                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.78        500.000        99.6680                 NaN  0.566156E-002            NaN  0.326377                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.28        500.000        99.8933                 NaN  0.181730E-002            NaN  0.104859                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.77        500.000        98.7539                 NaN  0.210824E-001            NaN   1.22503                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.27        500.000        99.5601                 NaN  0.748736E-002            NaN  0.432371                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.76        500.000        99.4773                 NaN  0.887081E-002            NaN  0.513803                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.25        500.000        99.4799                 NaN  0.881928E-002            NaN  0.511265                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.75        500.000        99.4574                 NaN  0.750119E-002            NaN  0.474186       0.609588E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1496.24        500.000        99.0403                 NaN            NaN            NaN  0.278717E-001  0.931818                 NaN            NaN            NaN            NaN            NaN            NaN
  1493.73        500.000        99.0985                 NaN            NaN            NaN  0.223426E-001  0.879121                 NaN            NaN            NaN            NaN            NaN            NaN
  1491.23        500.000        98.9236                 NaN            NaN            NaN  0.831226E-001  0.993316                 NaN            NaN            NaN            NaN            NaN            NaN
  1488.72        500.000        99.1489                 NaN            NaN            NaN  0.895381E-002  0.842137                 NaN            NaN            NaN            NaN            NaN            NaN
  1486.22        500.000        99.0785                 NaN            NaN            NaN            NaN  0.921514                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.71        500.000        99.3052                 NaN            NaN            NaN  0.795096E-001  0.615299                 NaN            NaN            NaN            NaN            NaN            NaN
  1481.20        500.000        98.8784                 NaN            NaN            NaN            NaN   1.12164                 NaN            NaN            NaN            NaN            NaN            NaN
  1478.70        500.000        99.1048                 NaN            NaN            NaN            NaN  0.895227                 NaN            NaN            NaN            NaN            NaN            NaN
  1476.19        500.000        99.1107                 NaN            NaN            NaN            NaN  0.889278                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.68        500.000        99.1193                 NaN            NaN            NaN  0.518394E-002  0.875532                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.18        500.000        99.1256                 NaN            NaN            NaN  0.357608E-005  0.874386                 NaN            NaN            NaN            NaN            NaN            NaN
  1468.67        500.000        98.5837                 NaN            NaN            NaN  0.692229E-001   1.34704                 NaN            NaN            NaN            NaN            NaN            NaN
  1466.17        500.000        99.7167                 NaN            NaN            NaN  0.348547E-004  0.283266                 NaN            NaN            NaN            NaN            NaN            NaN
  1463.66        500.000        99.1465                 NaN            NaN            NaN  0.130540E-004  0.853503                 NaN            NaN            NaN            NaN            NaN            NaN
  1461.15        500.000        99.1546                 NaN            NaN            NaN  0.227980E-004  0.845384                 NaN            NaN            NaN            NaN            NaN            NaN
  1458.65        500.000        99.1616                 NaN            NaN            NaN  0.134449E-004  0.838429                 NaN            NaN            NaN            NaN            NaN            NaN
