|6.6.6
Archiving\03_Data\eqfracLP/QFM/GRV/GRV_1.tab                              
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        q              ilm           
  1505.69        500.000                 NaN            NaN   98.4403       0.528816                 NaN   1.03084                 NaN            NaN            NaN            NaN            NaN
  1504.30        500.000                 NaN            NaN   98.4745       0.514890                 NaN   1.01058                 NaN            NaN            NaN            NaN            NaN
  1502.92        500.000                 NaN            NaN   98.4896       0.509531                 NaN   1.00086                 NaN            NaN            NaN            NaN            NaN
  1501.54        500.000                 NaN            NaN   98.5117       0.500849                 NaN  0.987473                 NaN            NaN            NaN            NaN            NaN
  1500.16        500.000                 NaN            NaN   98.5268       0.492381                 NaN  0.980797                 NaN            NaN            NaN            NaN            NaN
  1498.78        500.000                 NaN            NaN   98.5548       0.486089                 NaN  0.959091                 NaN            NaN            NaN            NaN            NaN
  1497.40        500.000                 NaN            NaN   98.5713       0.479852                 NaN  0.948806                 NaN            NaN            NaN            NaN            NaN
  1496.01        500.000                 NaN            NaN   98.5905       0.470544                 NaN  0.938972                 NaN            NaN            NaN            NaN            NaN
  1494.63        500.000                 NaN            NaN   98.6092       0.463947                 NaN  0.926856                 NaN            NaN            NaN            NaN            NaN
  1493.25        500.000                 NaN            NaN   98.6252       0.455051                 NaN  0.919738                 NaN            NaN            NaN            NaN            NaN
  1491.87        500.000                 NaN            NaN   98.6439       0.447129                 NaN  0.908971                 NaN            NaN            NaN            NaN            NaN
  1490.49        500.000                 NaN            NaN   98.6636       0.441321                 NaN  0.895095                 NaN            NaN            NaN            NaN            NaN
  1489.11        500.000                 NaN            NaN   98.6786       0.434839                 NaN  0.886532                 NaN            NaN            NaN            NaN            NaN
  1487.72        500.000                 NaN            NaN   98.6951       0.427275                 NaN  0.877602                 NaN            NaN            NaN            NaN            NaN
  1486.34        500.000                 NaN            NaN   98.7121       0.418856                 NaN  0.869035                 NaN            NaN            NaN            NaN            NaN
  1484.96        500.000                 NaN            NaN   98.7268       0.413589                 NaN  0.859579                 NaN            NaN            NaN            NaN            NaN
  1483.58        500.000                 NaN            NaN   98.7423       0.407327                 NaN  0.850347                 NaN            NaN            NaN            NaN            NaN
  1482.20        500.000                 NaN            NaN   98.7588       0.400824                 NaN  0.840346                 NaN            NaN            NaN            NaN            NaN
  1480.82        500.000                 NaN            NaN   98.7746       0.392227                 NaN  0.833212                 NaN            NaN            NaN            NaN            NaN
  1479.43        500.000                 NaN            NaN   98.7869       0.388272                 NaN  0.824873                 NaN            NaN            NaN            NaN            NaN
  1478.05        500.000                 NaN            NaN   98.7999       0.382713                 NaN  0.817344                 NaN            NaN            NaN            NaN            NaN
  1476.67        500.000                 NaN            NaN   98.8162       0.377116                 NaN  0.806646                 NaN            NaN            NaN            NaN            NaN
  1475.29        500.000                 NaN            NaN   98.8290       0.369294                 NaN  0.801690                 NaN            NaN            NaN            NaN            NaN
  1473.91        500.000                 NaN            NaN   98.8411       0.364802                 NaN  0.794142                 NaN            NaN            NaN            NaN            NaN
  1472.53        500.000                 NaN            NaN   98.8537       0.358396                 NaN  0.787879                 NaN            NaN            NaN            NaN            NaN
  1471.14        500.000                 NaN            NaN   98.8676       0.352765                 NaN  0.779653                 NaN            NaN            NaN            NaN            NaN
  1469.76        500.000                 NaN            NaN   98.8797       0.348927                 NaN  0.771362                 NaN            NaN            NaN            NaN            NaN
  1468.38        500.000                 NaN            NaN   98.8932       0.341730                 NaN  0.765116                 NaN            NaN            NaN            NaN            NaN
  1467.00        500.000                 NaN            NaN   98.9007       0.336207                 NaN  0.763111                 NaN            NaN            NaN            NaN            NaN
  1465.62        500.000                 NaN            NaN   98.9151       0.331576                 NaN  0.753304                 NaN            NaN            NaN            NaN            NaN
  1464.24        500.000                 NaN            NaN   98.9251       0.326504                 NaN  0.748371                 NaN            NaN            NaN            NaN            NaN
  1462.85        500.000                 NaN            NaN   98.9362       0.320938                 NaN  0.742825                 NaN            NaN            NaN            NaN            NaN
  1461.47        500.000                 NaN            NaN   98.9458       0.316241                 NaN  0.737962                 NaN            NaN            NaN            NaN            NaN
  1460.09        500.000                 NaN            NaN   98.9575       0.311433                 NaN  0.731064                 NaN            NaN            NaN            NaN            NaN
  1458.71        500.000                 NaN            NaN   98.9681       0.306667                 NaN  0.725196                 NaN            NaN            NaN            NaN            NaN
  1457.33        500.000                 NaN            NaN   98.9770       0.302496                 NaN  0.720484                 NaN            NaN            NaN            NaN            NaN
  1455.95        500.000                 NaN            NaN   98.9877       0.297928                 NaN  0.714407                 NaN            NaN            NaN            NaN            NaN
  1454.56        500.000                 NaN            NaN   98.9947       0.293248                 NaN  0.712083                 NaN            NaN            NaN            NaN            NaN
  1453.18        500.000                 NaN            NaN   99.0074       0.289669                 NaN  0.702941                 NaN            NaN            NaN            NaN            NaN
  1451.80        500.000                 NaN            NaN   99.0142       0.284599                 NaN  0.701162                 NaN            NaN            NaN            NaN            NaN
  1450.42        500.000                 NaN            NaN   99.0229       0.281557                 NaN  0.695572                 NaN            NaN            NaN            NaN            NaN
  1449.04        500.000                 NaN            NaN   99.0332       0.276598                 NaN  0.690251                 NaN            NaN            NaN            NaN            NaN
  1447.66        500.000                 NaN            NaN   99.0419       0.271865                 NaN  0.686225                 NaN            NaN            NaN            NaN            NaN
  1446.27        500.000                 NaN            NaN   99.0498       0.269013                 NaN  0.681208                 NaN            NaN            NaN            NaN            NaN
  1444.89        500.000                 NaN            NaN   99.0569       0.264531                 NaN  0.678561                 NaN            NaN            NaN            NaN            NaN
  1443.51        500.000                 NaN            NaN   99.0665       0.261432                 NaN  0.672057                 NaN            NaN            NaN            NaN            NaN
  1442.13        500.000                 NaN            NaN   99.0745       0.256886                 NaN  0.668573                 NaN            NaN            NaN            NaN            NaN
  1440.75        500.000                 NaN            NaN   99.0803       0.242216       0.981798E-002  0.667670                 NaN            NaN            NaN            NaN            NaN
  1439.37        500.000                 NaN            NaN   99.0820       0.209694                 NaN  0.649644       0.586276E-001            NaN            NaN            NaN            NaN
  1437.98        500.000                 NaN            NaN   99.0764       0.124598                 NaN  0.170669       0.628302                 NaN            NaN            NaN            NaN
  1436.60        500.000                 NaN            NaN   99.0614       0.554655E-002            NaN  0.339140       0.593923                 NaN            NaN            NaN            NaN
  1435.22        500.000                 NaN            NaN   99.0669       0.265912E-001  0.447675E-005  0.313762       0.592699                 NaN            NaN            NaN            NaN
  1433.84        500.000                 NaN            NaN   99.0742                 NaN            NaN  0.584437       0.341345                 NaN            NaN            NaN            NaN
  1432.46        500.000                 NaN            NaN   99.0796                 NaN            NaN  0.580422       0.339937                 NaN            NaN            NaN            NaN
  1431.08        500.000                 NaN            NaN   99.0869                 NaN            NaN  0.575629       0.337513                 NaN            NaN            NaN            NaN
  1429.69        500.000                 NaN            NaN   99.0932       0.287741E-001            NaN  0.303434       0.574609                 NaN            NaN            NaN            NaN
  1428.31        500.000                 NaN            NaN   99.0996                 NaN  0.237563E-001  0.298023       0.578668                 NaN            NaN            NaN            NaN
  1426.93        500.000                 NaN            NaN   99.1068                 NaN            NaN  0.563020       0.330156                 NaN            NaN            NaN            NaN
  1425.55        500.000                 NaN            NaN   99.1089                 NaN            NaN  0.330330       0.560804                 NaN            NaN            NaN            NaN
  1424.17        500.000                 NaN            NaN   99.1117                 NaN            NaN  0.559725       0.328625                 NaN            NaN            NaN            NaN
  1422.79        500.000                 NaN            NaN   99.1215                 NaN            NaN  0.551630       0.326906                 NaN            NaN            NaN            NaN
  1421.40        500.000                 NaN            NaN   99.1242                 NaN            NaN  0.549469       0.326351                 NaN            NaN            NaN            NaN
  1420.02        500.000                 NaN            NaN   99.1298                 NaN            NaN  0.546054       0.324164                 NaN            NaN            NaN            NaN
  1418.64        500.000                 NaN            NaN   99.1345                 NaN            NaN  0.542736       0.322747                 NaN            NaN            NaN            NaN
  1417.26        500.000                 NaN            NaN   99.1400                 NaN            NaN  0.538940       0.321031                 NaN            NaN            NaN            NaN
  1415.88        500.000                 NaN            NaN   99.1445                 NaN            NaN  0.535770       0.319721                 NaN            NaN            NaN            NaN
  1414.50        500.000                 NaN            NaN   99.1498                 NaN            NaN  0.531914       0.318283                 NaN            NaN            NaN            NaN
  1413.11        500.000                 NaN            NaN   99.1548                 NaN            NaN  0.316112       0.529094                 NaN            NaN            NaN            NaN
  1411.73        500.000                 NaN            NaN   99.1591                 NaN            NaN  0.315430       0.525489                 NaN            NaN            NaN            NaN
  1410.35        500.000                 NaN            NaN   99.1635                 NaN  0.208996E-004  0.522788       0.313656                 NaN            NaN            NaN            NaN
  1408.97        500.000                 NaN            NaN   99.1678                 NaN            NaN  0.519779       0.312405                 NaN            NaN            NaN            NaN
  1407.59        500.000                 NaN            NaN   99.1726                 NaN            NaN  0.311481       0.515914                 NaN            NaN            NaN            NaN
  1406.21        500.000                 NaN            NaN   99.1771                 NaN            NaN  0.309582       0.513351                 NaN            NaN            NaN            NaN
  1404.82        500.000                 NaN            NaN   99.1812                 NaN            NaN  0.510300       0.308497                 NaN            NaN            NaN            NaN
  1403.44        500.000                 NaN            NaN   99.1852                 NaN            NaN  0.507401       0.307365                 NaN            NaN            NaN            NaN
  1402.06        500.000                 NaN            NaN   99.1892                 NaN            NaN  0.305551       0.505294                 NaN            NaN            NaN            NaN
  1400.68        500.000                 NaN            NaN   99.1936                 NaN            NaN  0.501884       0.304532                 NaN            NaN            NaN            NaN
  1399.30        500.000                 NaN            NaN   99.1975                 NaN            NaN  0.303449       0.499067                 NaN            NaN            NaN            NaN
  1397.92        500.000                 NaN            NaN   99.2011                 NaN            NaN  0.302348       0.496576                 NaN            NaN            NaN            NaN
  1396.53        500.000                 NaN            NaN   99.2003                 NaN            NaN  0.496061       0.303676                 NaN            NaN            NaN            NaN
  1395.15        500.000                 NaN            NaN   99.2135                 NaN            NaN  0.299171       0.487317                 NaN            NaN            NaN            NaN
  1393.77        500.000                 NaN            NaN   99.2125                 NaN            NaN  0.488466       0.298988                 NaN            NaN            NaN            NaN
  1392.39        500.000                 NaN            NaN   99.2161                 NaN            NaN  0.298130       0.485819                 NaN            NaN            NaN            NaN
  1391.01        500.000                 NaN            NaN   99.2196                 NaN            NaN  0.483363       0.297070                 NaN            NaN            NaN            NaN
  1389.63        500.000                 NaN            NaN   99.2188                 NaN            NaN  0.483715       0.297509                 NaN            NaN            NaN            NaN
  1388.24        500.000                 NaN            NaN   99.2298                 NaN            NaN  0.476107       0.294083                 NaN            NaN            NaN            NaN
  1386.86        500.000                 NaN            NaN   99.2297                 NaN            NaN  0.293657       0.476673                 NaN            NaN            NaN            NaN
  1385.48        500.000                 NaN            NaN   99.2319                 NaN            NaN  0.474804       0.293294                 NaN            NaN            NaN            NaN
  1384.10        500.000                 NaN            NaN   99.2362                 NaN            NaN  0.471431       0.292344                 NaN            NaN            NaN            NaN
  1382.72        500.000                 NaN            NaN   98.5532                 NaN  0.175990       0.979322       0.291489                 NaN            NaN            NaN            NaN
  1381.34        500.000                 NaN            NaN   99.9951                 NaN            NaN  0.252632E-002  0.236081E-002            NaN            NaN            NaN            NaN
  1379.95        500.000                 NaN            NaN   99.2447                 NaN            NaN  0.465004       0.290246                 NaN            NaN            NaN            NaN
  1378.57        500.000                 NaN            NaN   99.2475                 NaN            NaN  0.463414       0.289037                 NaN            NaN            NaN            NaN
  1377.19        500.000                 NaN            NaN   98.6409                 NaN  0.188408E-005  0.581569       0.481338       0.296153                 NaN            NaN            NaN
  1375.81        500.000                 NaN            NaN   98.4612                 NaN  0.243515E-005  0.482800       0.669652       0.386352                 NaN            NaN            NaN
  1374.43        500.000                 NaN            NaN   98.4607                 NaN  0.162901       0.519097       0.448520       0.408821                 NaN            NaN            NaN
  1373.05        500.000                 NaN            NaN   98.4649                 NaN  0.290365       0.273041       0.546539       0.425110                 NaN            NaN            NaN
  1371.66        500.000                 NaN            NaN   98.4808                 NaN  0.293319       0.261982       0.542972       0.420907                 NaN            NaN            NaN
  1370.28        500.000                 NaN            NaN   98.4976                 NaN  0.296335       0.250598       0.538933       0.416535                 NaN            NaN            NaN
  1368.90        500.000                 NaN            NaN   98.5021                 NaN  0.300981       0.535157       0.245327       0.416399                 NaN            NaN            NaN
  1367.52        500.000                 NaN            NaN   98.5374                 NaN  0.300340       0.533836       0.223723       0.404684                 NaN            NaN            NaN
  1366.14        500.000                 NaN            NaN   98.5447                 NaN  0.304665       0.527908       0.218737       0.404013                 NaN            NaN            NaN
  1364.76        500.000                 NaN            NaN   98.5571                 NaN  0.307863       0.209106       0.525288       0.400604                 NaN            NaN            NaN
  1363.38        500.000                 NaN            NaN   98.5727                 NaN  0.310857       0.198874       0.521143       0.396437                 NaN            NaN            NaN
  1361.99        500.000                 NaN            NaN   98.5883                 NaN  0.312800       0.188258       0.518319       0.392313                 NaN            NaN            NaN
  1360.61        500.000                 NaN            NaN   98.6035                 NaN  0.314801       0.514610       0.178899       0.388221                 NaN            NaN            NaN
  1359.23        500.000       0.401788E-002            NaN   98.5965                 NaN  0.314731       0.515075       0.179549       0.390158                 NaN            NaN            NaN
  1357.85        500.000       0.114499E-001            NaN   98.4939                 NaN  0.128573       0.412263       0.564330       0.389477                 NaN            NaN            NaN
  1356.47        500.000       0.176850E-001            NaN   98.7069                 NaN  0.374129       0.533663                 NaN  0.367613                 NaN            NaN            NaN
  1355.09        500.000       0.258029E-001            NaN   98.6516                 NaN  0.370884       0.238005E-001  0.546329       0.381556                 NaN            NaN            NaN
  1353.70        500.000       0.386005E-001            NaN   98.6166                 NaN  0.293561       0.512983       0.160014       0.378288                 NaN            NaN            NaN
  1352.32        500.000       0.554777E-001            NaN   98.5904                 NaN  0.249430       0.223205       0.504476       0.377045                 NaN            NaN            NaN
  1350.94        500.000       0.784083E-001            NaN   98.5612                 NaN  0.217485       0.252730       0.512371       0.377767                 NaN            NaN            NaN
  1349.56        500.000       0.109812                 NaN   98.5166                 NaN  0.172209       0.525113       0.296351       0.379879                 NaN            NaN            NaN
  1348.18        500.000       0.161532                 NaN   98.4325                 NaN  0.966105E-001  0.552329       0.371491       0.385555                 NaN            NaN            NaN
  1346.80        500.000       0.218331                 NaN   98.3396                 NaN  0.118931E-001  0.454941       0.583338       0.391865                 NaN            NaN            NaN
  1345.41        500.000       0.258894                 NaN   98.2750                 NaN            NaN  0.621118       0.442688       0.402262                 NaN            NaN            NaN
  1344.03        500.000       0.289103                 NaN   98.2312                 NaN            NaN  0.416980       0.652620       0.410103                 NaN            NaN            NaN
  1342.65        500.000       0.304921                 NaN   98.2200                 NaN            NaN  0.397313       0.666126       0.411657                 NaN            NaN            NaN
  1341.27        500.000       0.316224                 NaN   98.2179                 NaN            NaN  0.379095       0.675371       0.411424                 NaN            NaN            NaN
  1339.89        500.000       0.320781                 NaN   98.2311                 NaN            NaN  0.363617       0.676188       0.408340                 NaN            NaN            NaN
  1338.51        500.000       0.320668                 NaN   98.2531                 NaN            NaN  0.352833       0.669911       0.403533                 NaN            NaN            NaN
  1337.12        500.000       0.320295                 NaN   98.2750                 NaN            NaN  0.664455       0.341489       0.398742                 NaN            NaN            NaN
  1335.74        500.000       0.316580                 NaN   98.3040                 NaN            NaN  0.653891       0.332773       0.392723                 NaN            NaN            NaN
  1334.36        500.000       0.314597                 NaN   98.3291                 NaN            NaN  0.322128       0.646844       0.387341                 NaN            NaN            NaN
  1332.98        500.000       0.311180                 NaN   98.3566                 NaN            NaN  0.637421       0.313270       0.381569                 NaN            NaN            NaN
  1331.60        500.000       0.307147                 NaN   98.3853                 NaN            NaN  0.304740       0.627314       0.375509                 NaN            NaN            NaN
  1330.22        500.000       0.302626                 NaN   98.4131                 NaN            NaN  0.297696       0.616821       0.369748                 NaN            NaN            NaN
  1328.83        500.000       0.298172                 NaN   98.4420                 NaN            NaN  0.290350       0.605823       0.363659                 NaN            NaN            NaN
  1327.45        500.000       0.293992                 NaN   98.4689                 NaN            NaN  0.595882       0.283185       0.358066                 NaN            NaN            NaN
  1326.07        500.000       0.289790                 NaN   98.4959                 NaN            NaN  0.276317       0.585631       0.352363                 NaN            NaN            NaN
  1324.69        500.000       0.285150                 NaN   98.5216                 NaN            NaN  0.270331       0.575888       0.347029                 NaN            NaN            NaN
  1323.31        500.000       0.280719                 NaN   98.5499                 NaN            NaN  0.565055       0.263410       0.340963                 NaN            NaN            NaN
  1321.93        500.000       0.276384                 NaN   98.5745                 NaN            NaN  0.555715       0.257601       0.335811                 NaN            NaN            NaN
  1320.54        500.000       0.272419                 NaN   98.5990                 NaN            NaN  0.546183       0.251685       0.330681                 NaN            NaN            NaN
  1319.16        500.000       0.268157                 NaN   98.6240                 NaN            NaN  0.245845       0.536666       0.325309                 NaN            NaN            NaN
  1317.78        500.000       0.265400                 NaN   98.6415                 NaN            NaN  0.528790       0.242083       0.322274                 NaN            NaN            NaN
  1316.40        500.000       0.258285                 NaN   98.6798                 NaN            NaN  0.514563       0.234338       0.312999                 NaN            NaN            NaN
  1315.02        500.000       0.255484                 NaN   98.6943                 NaN            NaN  0.509099       0.230714       0.310428                 NaN            NaN            NaN
  1313.64        500.000       0.251571                 NaN   98.7170                 NaN            NaN  0.500112       0.225783       0.305545                 NaN            NaN            NaN
  1312.25        500.000       0.247557                 NaN   98.7393                 NaN            NaN  0.491432       0.220849       0.300840                 NaN            NaN            NaN
  1310.87        500.000       0.243799                 NaN   98.7605                 NaN            NaN  0.216448       0.482979       0.296273                 NaN            NaN            NaN
  1309.49        500.000       0.240033                 NaN   98.7816                 NaN            NaN  0.474653       0.211949       0.291776                 NaN            NaN            NaN
  1308.11        500.000       0.236082                 NaN   98.8028                 NaN            NaN  0.207444       0.466518       0.287180                 NaN            NaN            NaN
  1306.73        500.000       0.232213                 NaN   98.8229                 NaN            NaN  0.458306       0.203694       0.282880                 NaN            NaN            NaN
  1305.35        500.000       0.228720                 NaN   98.8427                 NaN            NaN  0.450701       0.199357       0.278541                 NaN            NaN            NaN
  1303.96        500.000       0.224895                 NaN   98.8621                 NaN            NaN  0.442927       0.195789       0.274324                 NaN            NaN            NaN
  1302.58        500.000       0.221410                 NaN   98.8811                 NaN            NaN  0.435483       0.191769       0.270255                 NaN            NaN            NaN
  1301.20        500.000       0.217964                 NaN   98.8995                 NaN            NaN  0.428292       0.188007       0.266253                 NaN            NaN            NaN
  1299.82        500.000       0.214265                 NaN   98.9182                 NaN            NaN  0.184935       0.420495       0.262086                 NaN            NaN            NaN
  1298.44        500.000       0.210925                 NaN   98.9359                 NaN            NaN  0.413580       0.181318       0.258254                 NaN            NaN            NaN
  1297.06        500.000       0.207481                 NaN   98.9533                 NaN            NaN  0.406454       0.178334       0.254455                 NaN            NaN            NaN
  1295.67        500.000       0.204112                 NaN   98.9706                 NaN            NaN  0.399581       0.175040       0.250631                 NaN            NaN            NaN
  1294.29        500.000       0.200634                 NaN   98.9870                 NaN            NaN  0.172692       0.392618       0.247044                 NaN            NaN            NaN
  1292.91        500.000       0.197426                 NaN   99.0043                 NaN            NaN  0.168676       0.386469       0.243167                 NaN            NaN            NaN
  1291.53        500.000       0.194149                 NaN   99.0205                 NaN            NaN  0.379559       0.166193       0.239594                 NaN            NaN            NaN
  1290.15        500.000       0.191285                 NaN   99.0362                 NaN            NaN  0.373261       0.163097       0.236201                 NaN            NaN            NaN
  1288.77        500.000       0.187961                 NaN   99.0519                 NaN            NaN  0.366746       0.160761       0.232642                 NaN            NaN            NaN
  1287.38        500.000       0.184814                 NaN   99.0670                 NaN            NaN  0.360831       0.158152       0.229243                 NaN            NaN            NaN
  1286.00        500.000       0.181774                 NaN   99.0825                 NaN            NaN  0.155456       0.354383       0.225854                 NaN            NaN            NaN
  1284.62        500.000       0.178637                 NaN   99.0966                 NaN            NaN  0.348796       0.153398       0.222618                 NaN            NaN            NaN
  1283.24        500.000       0.175584                 NaN   99.1111                 NaN            NaN  0.151157       0.342780       0.219337                 NaN            NaN            NaN
  1281.86        500.000       0.172971                 NaN   99.1251                 NaN            NaN  0.148524       0.337162       0.216284                 NaN            NaN            NaN
  1280.48        500.000       0.169906                 NaN   99.1396                 NaN            NaN  0.331333       0.146138       0.213061                 NaN            NaN            NaN
  1279.09        500.000       0.166619                 NaN   99.1543                 NaN            NaN  0.325307       0.144268       0.209535                 NaN            NaN            NaN
  1277.71        500.000       0.164030                 NaN   99.1660                 NaN            NaN  0.320098       0.142887       0.206980                 NaN            NaN            NaN
  1276.33        500.000       0.161226                 NaN   99.1797                 NaN            NaN  0.140475       0.314720       0.203885                 NaN            NaN            NaN
  1274.95        500.000       0.158403                 NaN   99.1927                 NaN            NaN  0.309287       0.138716       0.200943                 NaN            NaN            NaN
  1273.57        500.000       0.155514                 NaN   99.2052                 NaN            NaN  0.137211       0.304043       0.198075                 NaN            NaN            NaN
  1272.19        500.000       0.152893                 NaN   99.2182                 NaN            NaN  0.298593       0.135236       0.195123                 NaN            NaN            NaN
  1270.80        500.000       0.150065                 NaN   99.2300                 NaN            NaN  0.133684       0.293910       0.192382                 NaN            NaN            NaN
  1269.42        500.000       0.147722                 NaN   99.2422                 NaN            NaN  0.131438       0.288969       0.189661                 NaN            NaN            NaN
  1268.04        500.000       0.144761                 NaN   99.2540                 NaN            NaN  0.283762       0.130638       0.186798                 NaN            NaN            NaN
  1266.66        500.000       0.142430                 NaN   99.2657                 NaN            NaN  0.128656       0.278986       0.184190                 NaN            NaN            NaN
  1265.28        500.000       0.139678                 NaN   99.2770                 NaN            NaN  0.274214       0.127551       0.181599                 NaN            NaN            NaN
  1263.90        500.000       0.137291                 NaN   99.2879                 NaN            NaN  0.269667       0.125975       0.179135                 NaN            NaN            NaN
  1262.51        500.000       0.334721                 NaN   95.3370                 NaN            NaN  0.661956       0.717149       0.599659        2.34948                 NaN            NaN
  1261.13        500.000       0.379828                 NaN   94.4142                 NaN            NaN  0.842314       0.748037       0.693582        2.92205                 NaN            NaN
  1259.75        500.000       0.362850                 NaN   94.7707                 NaN            NaN  0.770998       0.709109       0.651201        2.73511                 NaN            NaN
  1258.37        500.000       0.347999                 NaN   95.0850                 NaN            NaN  0.675489       0.707341       0.613599        2.57060                 NaN            NaN
  1256.99        500.000       0.334856                 NaN   95.3654                 NaN            NaN  0.650996       0.644573       0.579631        2.42455                 NaN            NaN
  1255.61        500.000       0.323585                 NaN   95.6100                 NaN            NaN  0.600186       0.618570       0.550196        2.29746                 NaN            NaN
  1254.22        500.000       0.313527                 NaN   95.8343                 NaN            NaN  0.553152       0.594456       0.522785        2.18182                 NaN            NaN
  1252.84        500.000       0.304109                 NaN   96.0353                 NaN            NaN  0.511412       0.572688       0.498009        2.07845                 NaN            NaN
  1251.46        500.000       0.295660                 NaN   96.2181                 NaN            NaN  0.553078       0.472730       0.475504        1.98496                 NaN            NaN
  1250.08        500.000       0.287724                 NaN   96.3858                 NaN            NaN  0.535139       0.437465       0.454475        1.89935                 NaN            NaN
  1248.70        500.000       0.279838                 NaN   96.5393                 NaN            NaN  0.517477       0.406329       0.435445        1.82165                 NaN            NaN
  1247.32        500.000       0.273100                 NaN   96.6817                 NaN            NaN  0.502301       0.376001       0.417448        1.74943                 NaN            NaN
  1245.93        500.000       0.273146                 NaN   96.7269                 NaN            NaN  0.358240       0.498439       0.412312        1.73096                 NaN            NaN
  1244.55        500.000       0.256792                 NaN   96.9737                 NaN            NaN  0.468102       0.317907       0.379738        1.60371                 NaN            NaN
