|6.6.6
Archiving\03_Data\eqfracLP/QFM/GRV/GRV_3.tab                              
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        q              ilm           
  1497.40        500.000                 NaN            NaN   98.7382       0.420330                 NaN  0.841445                 NaN            NaN            NaN            NaN            NaN
  1496.01        500.000                 NaN            NaN   98.7555       0.412007                 NaN  0.832525                 NaN            NaN            NaN            NaN            NaN
  1494.63        500.000                 NaN            NaN   98.7724       0.406052                 NaN  0.821567                 NaN            NaN            NaN            NaN            NaN
  1493.25        500.000                 NaN            NaN   98.7869       0.398111                 NaN  0.814993                 NaN            NaN            NaN            NaN            NaN
  1491.87        500.000                 NaN            NaN   98.8038       0.390977                 NaN  0.805220                 NaN            NaN            NaN            NaN            NaN
  1490.49        500.000                 NaN            NaN   98.8214       0.385761                 NaN  0.792834                 NaN            NaN            NaN            NaN            NaN
  1489.11        500.000                 NaN            NaN   98.8350       0.379946                 NaN  0.785026                 NaN            NaN            NaN            NaN            NaN
  1487.72        500.000                 NaN            NaN   98.8500       0.373137                 NaN  0.776876                 NaN            NaN            NaN            NaN            NaN
  1486.34        500.000                 NaN            NaN   98.8653       0.365664                 NaN  0.769064                 NaN            NaN            NaN            NaN            NaN
  1484.96        500.000                 NaN            NaN   98.8787       0.360846                 NaN  0.760464                 NaN            NaN            NaN            NaN            NaN
  1483.58        500.000                 NaN            NaN   98.8926       0.355257                 NaN  0.752153                 NaN            NaN            NaN            NaN            NaN
  1482.20        500.000                 NaN            NaN   98.9075       0.349403                 NaN  0.743073                 NaN            NaN            NaN            NaN            NaN
  1480.82        500.000                 NaN            NaN   98.9216       0.341797                 NaN  0.736570                 NaN            NaN            NaN            NaN            NaN
  1479.43        500.000                 NaN            NaN   98.9329       0.338158                 NaN  0.728921                 NaN            NaN            NaN            NaN            NaN
  1478.05        500.000                 NaN            NaN   98.9447       0.333174                 NaN  0.722110                 NaN            NaN            NaN            NaN            NaN
  1476.67        500.000                 NaN            NaN   98.9594       0.328150                 NaN  0.712450                 NaN            NaN            NaN            NaN            NaN
  1475.29        500.000                 NaN            NaN   98.9709       0.321234                 NaN  0.707862                 NaN            NaN            NaN            NaN            NaN
  1473.91        500.000                 NaN            NaN   98.9819       0.317144                 NaN  0.700948                 NaN            NaN            NaN            NaN            NaN
  1472.53        500.000                 NaN            NaN   98.9934       0.311411                 NaN  0.695163                 NaN            NaN            NaN            NaN            NaN
  1471.14        500.000                 NaN            NaN   99.0058       0.306404                 NaN  0.687750                 NaN            NaN            NaN            NaN            NaN
  1469.76        500.000                 NaN            NaN   99.0168       0.302938                 NaN  0.680288                 NaN            NaN            NaN            NaN            NaN
  1468.38        500.000                 NaN            NaN   99.0290       0.296541                 NaN  0.674483                 NaN            NaN            NaN            NaN            NaN
  1467.00        500.000                 NaN            NaN   99.0359       0.291602                 NaN  0.672467                 NaN            NaN            NaN            NaN            NaN
  1465.62        500.000                 NaN            NaN   99.0489       0.287463                 NaN  0.663651                 NaN            NaN            NaN            NaN            NaN
  1464.24        500.000                 NaN            NaN   99.0580       0.282928                 NaN  0.659064                 NaN            NaN            NaN            NaN            NaN
  1462.85        500.000                 NaN            NaN   99.0681       0.277981                 NaN  0.653953                 NaN            NaN            NaN            NaN            NaN
  1461.47        500.000                 NaN            NaN   99.0768       0.273768                 NaN  0.649417                 NaN            NaN            NaN            NaN            NaN
  1460.09        500.000                 NaN            NaN   99.0873       0.269489                 NaN  0.643186                 NaN            NaN            NaN            NaN            NaN
  1458.71        500.000                 NaN            NaN   99.0970       0.265232                 NaN  0.637791                 NaN            NaN            NaN            NaN            NaN
  1457.33        500.000                 NaN            NaN   99.1051       0.261478                 NaN  0.633408                 NaN            NaN            NaN            NaN            NaN
  1455.95        500.000                 NaN            NaN   99.1147       0.257408                 NaN  0.627854                 NaN            NaN            NaN            NaN            NaN
  1454.56        500.000                 NaN            NaN   99.1213       0.253220                 NaN  0.625524                 NaN            NaN            NaN            NaN            NaN
  1453.18        500.000                 NaN            NaN   99.1327       0.250021                 NaN  0.617322                 NaN            NaN            NaN            NaN            NaN
  1451.80        500.000                 NaN            NaN   99.1389       0.245542                 NaN  0.615524                 NaN            NaN            NaN            NaN            NaN
  1450.42        500.000                 NaN            NaN   99.1468       0.242797                 NaN  0.610379                 NaN            NaN            NaN            NaN            NaN
  1449.04        500.000                 NaN            NaN   99.1561       0.238389                 NaN  0.605524                 NaN            NaN            NaN            NaN            NaN
  1447.66        500.000                 NaN            NaN   99.1641       0.234175                 NaN  0.601718                 NaN            NaN            NaN            NaN            NaN
  1446.27        500.000                 NaN            NaN   99.1713       0.231610                 NaN  0.597117                 NaN            NaN            NaN            NaN            NaN
  1444.89        500.000                 NaN            NaN   99.1778       0.227635                 NaN  0.594565                 NaN            NaN            NaN            NaN            NaN
  1443.51        500.000                 NaN            NaN   99.1865       0.224868                 NaN  0.588669                 NaN            NaN            NaN            NaN            NaN
  1442.13        500.000                 NaN            NaN   99.1938       0.220841                 NaN  0.585384                 NaN            NaN            NaN            NaN            NaN
  1440.75        500.000                 NaN            NaN   99.1995       0.208164       0.794123E-002  0.584403                 NaN            NaN            NaN            NaN            NaN
  1439.37        500.000                 NaN            NaN   99.2009       0.180075                 NaN  0.568327       0.506594E-001            NaN            NaN            NaN            NaN
  1437.98        500.000                 NaN            NaN   99.1962       0.106941                 NaN  0.147394       0.549453                 NaN            NaN            NaN            NaN
  1436.60        500.000                 NaN            NaN   99.1833       0.475777E-002            NaN  0.292731       0.519184                 NaN            NaN            NaN            NaN
  1435.22        500.000                 NaN            NaN   99.1886       0.227961E-001  0.360840E-005  0.270674       0.517910                 NaN            NaN            NaN            NaN
  1433.84        500.000                 NaN            NaN   99.1952                 NaN            NaN  0.510508       0.294317                 NaN            NaN            NaN            NaN
  1432.46        500.000                 NaN            NaN   99.2002                 NaN            NaN  0.506858       0.292927                 NaN            NaN            NaN            NaN
  1431.08        500.000                 NaN            NaN   99.2069                 NaN            NaN  0.502395       0.290680                 NaN            NaN            NaN            NaN
  1429.69        500.000                 NaN            NaN   99.2129       0.246095E-001            NaN  0.261179       0.501282                 NaN            NaN            NaN            NaN
  1428.31        500.000                 NaN            NaN   99.2201                 NaN  0.190380E-001  0.256334       0.504548                 NaN            NaN            NaN            NaN
  1426.93        500.000                 NaN            NaN   99.2254                 NaN            NaN  0.490731       0.283836                 NaN            NaN            NaN            NaN
  1425.55        500.000                 NaN            NaN   99.2276                 NaN            NaN  0.283825       0.488599                 NaN            NaN            NaN            NaN
  1424.17        500.000                 NaN            NaN   99.2304                 NaN            NaN  0.487438       0.282181                 NaN            NaN            NaN            NaN
  1422.79        500.000                 NaN            NaN   99.2393                 NaN            NaN  0.480184       0.280541                 NaN            NaN            NaN            NaN
  1421.40        500.000                 NaN            NaN   99.2420                 NaN            NaN  0.478097       0.279880                 NaN            NaN            NaN            NaN
  1420.02        500.000                 NaN            NaN   99.2473                 NaN            NaN  0.474898       0.277845                 NaN            NaN            NaN            NaN
  1418.64        500.000                 NaN            NaN   99.2517                 NaN            NaN  0.471795       0.276459                 NaN            NaN            NaN            NaN
  1417.26        500.000                 NaN            NaN   99.2569                 NaN            NaN  0.468264       0.274833                 NaN            NaN            NaN            NaN
  1415.88        500.000                 NaN            NaN   99.2612                 NaN            NaN  0.465312       0.273529                 NaN            NaN            NaN            NaN
  1414.50        500.000                 NaN            NaN   99.2661                 NaN            NaN  0.461772       0.272114                 NaN            NaN            NaN            NaN
  1413.11        500.000                 NaN            NaN   99.2708                 NaN            NaN  0.270115       0.459088                 NaN            NaN            NaN            NaN
  1411.73        500.000                 NaN            NaN   99.2749                 NaN            NaN  0.269344       0.455748                 NaN            NaN            NaN            NaN
  1410.35        500.000                 NaN            NaN   99.2792                 NaN  0.165289E-004  0.453159       0.267650                 NaN            NaN            NaN            NaN
  1408.97        500.000                 NaN            NaN   99.2833                 NaN            NaN  0.450333       0.266417                 NaN            NaN            NaN            NaN
  1407.59        500.000                 NaN            NaN   99.2877                 NaN            NaN  0.265481       0.446840                 NaN            NaN            NaN            NaN
  1406.21        500.000                 NaN            NaN   99.2920                 NaN            NaN  0.263654       0.444319                 NaN            NaN            NaN            NaN
  1404.82        500.000                 NaN            NaN   99.2959                 NaN            NaN  0.441501       0.262573                 NaN            NaN            NaN            NaN
  1403.44        500.000                 NaN            NaN   99.2998                 NaN            NaN  0.438739       0.261432                 NaN            NaN            NaN            NaN
  1402.06        500.000                 NaN            NaN   99.3036                 NaN            NaN  0.259736       0.436684                 NaN            NaN            NaN            NaN
  1400.68        500.000                 NaN            NaN   99.3078                 NaN            NaN  0.433535       0.258679                 NaN            NaN            NaN            NaN
  1399.30        500.000                 NaN            NaN   99.3115                 NaN            NaN  0.257617       0.430927                 NaN            NaN            NaN            NaN
  1397.92        500.000                 NaN            NaN   99.3150                 NaN            NaN  0.256465       0.428492                 NaN            NaN            NaN            NaN
  1396.53        500.000                 NaN            NaN   99.3147                 NaN            NaN  0.427867       0.257449                 NaN            NaN            NaN            NaN
  1395.15        500.000                 NaN            NaN   99.3265                 NaN            NaN  0.253435       0.420064                 NaN            NaN            NaN            NaN
  1393.77        500.000                 NaN            NaN   99.3260                 NaN            NaN  0.420846       0.253107                 NaN            NaN            NaN            NaN
  1392.39        500.000                 NaN            NaN   99.3295                 NaN            NaN  0.252206       0.418341                 NaN            NaN            NaN            NaN
  1391.01        500.000                 NaN            NaN   99.3329                 NaN            NaN  0.416009       0.251121                 NaN            NaN            NaN            NaN
  1389.63        500.000                 NaN            NaN   99.3327                 NaN            NaN  0.416013       0.251303                 NaN            NaN            NaN            NaN
  1388.24        500.000                 NaN            NaN   99.3425                 NaN            NaN  0.409291       0.248255                 NaN            NaN            NaN            NaN
  1386.86        500.000                 NaN            NaN   99.3427                 NaN            NaN  0.247725       0.409556                 NaN            NaN            NaN            NaN
  1385.48        500.000                 NaN            NaN   99.3451                 NaN            NaN  0.407677       0.247224                 NaN            NaN            NaN            NaN
  1384.10        500.000                 NaN            NaN   99.3492                 NaN            NaN  0.404589       0.246236                 NaN            NaN            NaN            NaN
  1382.72        500.000                 NaN            NaN   98.7768                 NaN  0.136289       0.841284       0.245654                 NaN            NaN            NaN            NaN
  1381.34        500.000                 NaN            NaN   99.9959                 NaN            NaN  0.212219E-002  0.202109E-002            NaN            NaN            NaN            NaN
  1379.95        500.000                 NaN            NaN   99.3578                 NaN            NaN  0.398310       0.243898                 NaN            NaN            NaN            NaN
  1378.57        500.000                 NaN            NaN   99.3606                 NaN            NaN  0.396694       0.242691                 NaN            NaN            NaN            NaN
  1377.19        500.000                 NaN            NaN   98.7861                 NaN  0.145091E-005  0.488116       0.411936       0.313819                 NaN            NaN            NaN
  1375.81        500.000                 NaN            NaN   98.6160                 NaN  0.187281E-005  0.412950       0.561611       0.409398                 NaN            NaN            NaN
  1374.43        500.000                 NaN            NaN   98.6224                 NaN  0.125072       0.443663       0.375797       0.433116                 NaN            NaN            NaN
  1373.05        500.000                 NaN            NaN   98.6321                 NaN  0.222510       0.228520       0.466694       0.450205                 NaN            NaN            NaN
  1371.66        500.000                 NaN            NaN   98.6480                 NaN  0.224298       0.219000       0.463166       0.445558                 NaN            NaN            NaN
  1370.28        500.000                 NaN            NaN   98.6646                 NaN  0.226175       0.209238       0.459279       0.440728                 NaN            NaN            NaN
  1368.90        500.000                 NaN            NaN   98.6702                 NaN  0.229229       0.455636       0.204571       0.440379                 NaN            NaN            NaN
  1367.52        500.000                 NaN            NaN   98.7036                 NaN  0.228290       0.453990       0.186334       0.427773                 NaN            NaN            NaN
  1366.14        500.000                 NaN            NaN   98.7115                 NaN  0.231132       0.448500       0.181971       0.426853                 NaN            NaN            NaN
  1364.76        500.000                 NaN            NaN   98.7244                 NaN  0.233044       0.173729       0.445808       0.423034                 NaN            NaN            NaN
  1363.38        500.000                 NaN            NaN   98.7399                 NaN  0.234857       0.165030       0.441799       0.418411                 NaN            NaN            NaN
  1361.99        500.000                 NaN            NaN   98.7553                 NaN  0.235866       0.156042       0.438931       0.413831                 NaN            NaN            NaN
  1360.61        500.000                 NaN            NaN   98.7704                 NaN  0.236925       0.435331       0.148088       0.409286                 NaN            NaN            NaN
  1359.23        500.000       0.242565E-002            NaN   98.7666                 NaN  0.236308       0.435192       0.148419       0.411100                 NaN            NaN            NaN
  1357.85        500.000       0.690550E-002            NaN   98.6724                 NaN  0.963254E-001  0.348008       0.466172       0.410222                 NaN            NaN            NaN
  1356.47        500.000       0.106579E-001            NaN   98.8727                 NaN  0.279748       0.449995                 NaN  0.386876                 NaN            NaN            NaN
  1355.09        500.000       0.155423E-001            NaN   98.8266                 NaN  0.276822       0.196000E-001  0.460132       0.401290                 NaN            NaN            NaN
  1353.70        500.000       0.232408E-001            NaN   98.7974                 NaN  0.218675       0.431532       0.131602       0.397586                 NaN            NaN            NaN
  1352.32        500.000       0.333865E-001            NaN   98.7780                 NaN  0.185419       0.183327       0.423907       0.396004                 NaN            NaN            NaN
  1350.94        500.000       0.471662E-001            NaN   98.7577                 NaN  0.161340       0.207296       0.430039       0.396468                 NaN            NaN            NaN
  1349.56        500.000       0.660088E-001            NaN   98.7252                 NaN  0.127491       0.440205       0.242754       0.398368                 NaN            NaN            NaN
  1348.18        500.000       0.970478E-001            NaN   98.6613                 NaN  0.713754E-001  0.462454       0.303865       0.403978                 NaN            NaN            NaN
  1346.80        500.000       0.131046                 NaN   98.5907                 NaN  0.876839E-002  0.371567       0.487744       0.410192                 NaN            NaN            NaN
  1345.41        500.000       0.155187                 NaN   98.5447                 NaN            NaN  0.518546       0.360966       0.420582                 NaN            NaN            NaN
  1344.03        500.000       0.173006                 NaN   98.5155                 NaN            NaN  0.339376       0.543905       0.428199                 NaN            NaN            NaN
  1342.65        500.000       0.182134                 NaN   98.5118                 NaN            NaN  0.322742       0.554145       0.429171                 NaN            NaN            NaN
  1341.27        500.000       0.188510                 NaN   98.5152                 NaN            NaN  0.307315       0.560749       0.428242                 NaN            NaN            NaN
  1339.89        500.000       0.190859                 NaN   98.5303                 NaN            NaN  0.294183       0.560334       0.424319                 NaN            NaN            NaN
  1338.51        500.000       0.190361                 NaN   98.5522                 NaN            NaN  0.284818       0.553980       0.418603                 NaN            NaN            NaN
  1337.12        500.000       0.189707                 NaN   98.5740                 NaN            NaN  0.548334       0.275065       0.412913                 NaN            NaN            NaN
  1335.74        500.000       0.187095                 NaN   98.6010                 NaN            NaN  0.538502       0.267464       0.405964                 NaN            NaN            NaN
  1334.36        500.000       0.185532                 NaN   98.6248                 NaN            NaN  0.258352       0.531595       0.399693                 NaN            NaN            NaN
  1332.98        500.000       0.183121                 NaN   98.6503                 NaN            NaN  0.522784       0.250708       0.393038                 NaN            NaN            NaN
  1331.60        500.000       0.180353                 NaN   98.6768                 NaN            NaN  0.243366       0.513424       0.386106                 NaN            NaN            NaN
  1330.22        500.000       0.177311                 NaN   98.7022                 NaN            NaN  0.237214       0.503772       0.379506                 NaN            NaN            NaN
  1328.83        500.000       0.174319                 NaN   98.7284                 NaN            NaN  0.230868       0.493787       0.372592                 NaN            NaN            NaN
  1327.45        500.000       0.171503                 NaN   98.7529                 NaN            NaN  0.484690       0.224685       0.366210                 NaN            NaN            NaN
  1326.07        500.000       0.168672                 NaN   98.7774                 NaN            NaN  0.218776       0.475396       0.359738                 NaN            NaN            NaN
  1324.69        500.000       0.165633                 NaN   98.8006                 NaN            NaN  0.213565       0.466511       0.353667                 NaN            NaN            NaN
  1323.31        500.000       0.162714                 NaN   98.8259                 NaN            NaN  0.456825       0.207672       0.346872                 NaN            NaN            NaN
  1321.93        500.000       0.159890                 NaN   98.8480                 NaN            NaN  0.448369       0.202665       0.341031                 NaN            NaN            NaN
  1320.54        500.000       0.157235                 NaN   98.8701                 NaN            NaN  0.439811       0.197604       0.335233                 NaN            NaN            NaN
  1319.16        500.000       0.154444                 NaN   98.8924                 NaN            NaN  0.192617       0.431283       0.329212                 NaN            NaN            NaN
  1317.78        500.000       0.152569                 NaN   98.9083                 NaN            NaN  0.424237       0.189288       0.325576                 NaN            NaN            NaN
  1316.40        500.000       0.148136                 NaN   98.9415                 NaN            NaN  0.411884       0.182844       0.315654                 NaN            NaN            NaN
  1315.02        500.000       0.146258                 NaN   98.9548                 NaN            NaN  0.406719       0.179651       0.312528                 NaN            NaN            NaN
  1313.64        500.000       0.143710                 NaN   98.9750                 NaN            NaN  0.398771       0.175460       0.307085                 NaN            NaN            NaN
  1312.25        500.000       0.141151                 NaN   98.9946                 NaN            NaN  0.391105       0.171287       0.301842                 NaN            NaN            NaN
  1310.87        500.000       0.138719                 NaN   99.0133                 NaN            NaN  0.167539       0.383648       0.296757                 NaN            NaN            NaN
  1309.49        500.000       0.136293                 NaN   99.0319                 NaN            NaN  0.376321       0.163734       0.291760                 NaN            NaN            NaN
  1308.11        500.000       0.133810                 NaN   99.0504                 NaN            NaN  0.159940       0.369173       0.286684                 NaN            NaN            NaN
  1306.73        500.000       0.131358                 NaN   99.0680                 NaN            NaN  0.361993       0.156743       0.281921                 NaN            NaN            NaN
  1305.35        500.000       0.129121                 NaN   99.0853                 NaN            NaN  0.355330       0.153111       0.277138                 NaN            NaN            NaN
  1303.96        500.000       0.126732                 NaN   99.1021                 NaN            NaN  0.348554       0.150080       0.272494                 NaN            NaN            NaN
  1302.58        500.000       0.124538                 NaN   99.1186                 NaN            NaN  0.342081       0.146724       0.268014                 NaN            NaN            NaN
  1301.20        500.000       0.122373                 NaN   99.1346                 NaN            NaN  0.335820       0.143574       0.263618                 NaN            NaN            NaN
  1299.82        500.000       0.120062                 NaN   99.1508                 NaN            NaN  0.140959       0.329114       0.259075                 NaN            NaN            NaN
  1298.44        500.000       0.117977                 NaN   99.1661                 NaN            NaN  0.323127       0.137952       0.254879                 NaN            NaN            NaN
  1297.06        500.000       0.115831                 NaN   99.1810                 NaN            NaN  0.317000       0.135425       0.250731                 NaN            NaN            NaN
  1295.67        500.000       0.113743                 NaN   99.1959                 NaN            NaN  0.311093       0.132690       0.246575                 NaN            NaN            NaN
  1294.29        500.000       0.111603                 NaN   99.2100                 NaN            NaN  0.130663       0.305118       0.242666                 NaN            NaN            NaN
  1292.91        500.000       0.109644                 NaN   99.2246                 NaN            NaN  0.127409       0.299820       0.238487                 NaN            NaN            NaN
  1291.53        500.000       0.107630                 NaN   99.2385                 NaN            NaN  0.293983       0.125305       0.234622                 NaN            NaN            NaN
  1290.15        500.000       0.105844                 NaN   99.2518                 NaN            NaN  0.288619       0.122763       0.230946                 NaN            NaN            NaN
  1288.77        500.000       0.103833                 NaN   99.2651                 NaN            NaN  0.283109       0.120796       0.227122                 NaN            NaN            NaN
  1287.38        500.000       0.101915                 NaN   99.2779                 NaN            NaN  0.278061       0.118621       0.223469                 NaN            NaN            NaN
  1286.00        500.000       0.100077                 NaN   99.2910                 NaN            NaN  0.116410       0.272661       0.219837                 NaN            NaN            NaN
  1284.62        500.000       0.981768E-001            NaN   99.3029                 NaN            NaN  0.267905       0.114665       0.216368                 NaN            NaN            NaN
  1283.24        500.000       0.963441E-001            NaN   99.3151                 NaN            NaN  0.112801       0.262855       0.212868                 NaN            NaN            NaN
  1281.86        500.000       0.947436E-001            NaN   99.3268                 NaN            NaN  0.110655       0.258152       0.209601                 NaN            NaN            NaN
  1280.48        500.000       0.929647E-001            NaN   99.3389                 NaN            NaN  0.253284       0.108704       0.206181                 NaN            NaN            NaN
  1279.09        500.000       0.909742E-001            NaN   99.3511                 NaN            NaN  0.248278       0.107135       0.202480                 NaN            NaN            NaN
  1277.71        500.000       0.893970E-001            NaN   99.3610                 NaN            NaN  0.243923       0.105940       0.199730                 NaN            NaN            NaN
  1276.33        500.000       0.877468E-001            NaN   99.3723                 NaN            NaN  0.103988       0.239449       0.196468                 NaN            NaN            NaN
  1274.95        500.000       0.860752E-001            NaN   99.3831                 NaN            NaN  0.234963       0.102523       0.193365                 NaN            NaN            NaN
  1273.57        500.000       0.843723E-001            NaN   99.3934                 NaN            NaN  0.101246       0.230630       0.190344                 NaN            NaN            NaN
  1272.19        500.000       0.828258E-001            NaN   99.4041                 NaN            NaN  0.226148       0.996439E-001  0.187254                 NaN            NaN            NaN
  1270.80        500.000       0.811866E-001            NaN   99.4138                 NaN            NaN  0.983453E-001  0.222272       0.184375                 NaN            NaN            NaN
  1269.42        500.000       0.797790E-001            NaN   99.4239                 NaN            NaN  0.965515E-001  0.218224       0.181526                 NaN            NaN            NaN
  1268.04        500.000       0.780667E-001            NaN   99.4336                 NaN            NaN  0.213967       0.958188E-001  0.178550                 NaN            NaN            NaN
  1266.66        500.000       0.766985E-001            NaN   99.4432                 NaN            NaN  0.942311E-001  0.210081       0.175829                 NaN            NaN            NaN
  1265.28        500.000       0.751073E-001            NaN   99.4523                 NaN            NaN  0.206189       0.932808E-001  0.173132                 NaN            NaN            NaN
  1263.90        500.000       0.737317E-001            NaN   99.4612                 NaN            NaN  0.202480       0.920010E-001  0.170565                 NaN            NaN            NaN
  1262.51        500.000       0.180082                 NaN   95.8152                 NaN            NaN  0.497559       0.524184       0.571908        2.41110                 NaN            NaN
  1261.13        500.000       0.204236                 NaN   94.9633                 NaN            NaN  0.614474       0.561297       0.660852        2.99580                 NaN            NaN
  1259.75        500.000       0.194808                 NaN   95.2961                 NaN            NaN  0.560822       0.530639       0.619212        2.79842                 NaN            NaN
  1258.37        500.000       0.186532                 NaN   95.5892                 NaN            NaN  0.504148       0.513044       0.582287        2.62480                 NaN            NaN
  1256.99        500.000       0.179214                 NaN   95.8504                 NaN            NaN  0.470848       0.479810       0.548962        2.47073                 NaN            NaN
  1255.61        500.000       0.172910                 NaN   96.0782                 NaN            NaN  0.432912       0.459282       0.520062        2.33660                 NaN            NaN
  1254.22        500.000       0.167279                 NaN   96.2867                 NaN            NaN  0.397930       0.440281       0.493189        2.21465                 NaN            NaN
  1252.84        500.000       0.162006                 NaN   96.4734                 NaN            NaN  0.366928       0.423114       0.468907        2.10562                 NaN            NaN
  1251.46        500.000       0.157278                 NaN   96.6429                 NaN            NaN  0.407638       0.338299       0.446859        2.00703                 NaN            NaN
  1250.08        500.000       0.152822                 NaN   96.7984                 NaN            NaN  0.393463       0.312262       0.426284        1.91679                 NaN            NaN
  1248.70        500.000       0.148403                 NaN   96.9402                 NaN            NaN  0.379578       0.289304       0.407663        1.83488                 NaN            NaN
  1247.32        500.000       0.144612                 NaN   97.0719                 NaN            NaN  0.367586       0.267044       0.390081        1.75882                 NaN            NaN
  1245.93        500.000       0.144483                 NaN   97.1161                 NaN            NaN  0.253740       0.364040       0.384588        1.73707                 NaN            NaN
