|6.6.6
Archiving\03_Data\DfracLP/QFM_m5/K22/K22_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       iron           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        q              ilm           
  1947.37        500.000        95.8467        4.11355       0.397530E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        500.000        95.8285        4.13176       0.397550E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        500.000        95.8103        4.14993       0.397571E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        500.000        95.7922        4.16806       0.397591E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        500.000        95.7588        4.18580       0.397506E-001  0.156830E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        500.000        99.5029       0.257463E-001            NaN  0.471308                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        500.000        99.4634                 NaN            NaN  0.536641                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        500.000        99.3239                 NaN            NaN  0.676135                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        500.000        99.3904       0.151810E-001            NaN  0.594385                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        500.000        99.4123       0.371123E-002            NaN  0.584005                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        500.000        99.4109       0.912908E-002            NaN  0.579973                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        500.000        99.4126       0.148691E-001            NaN  0.572541                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        500.000        99.4218                 NaN            NaN  0.578178                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        500.000        99.4300       0.479795E-002            NaN  0.565232                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        500.000        99.4299       0.384787E-002            NaN  0.566296                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        500.000        99.4313                 NaN            NaN  0.568723                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        500.000        99.4474       0.614621E-002            NaN  0.546406                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        500.000        99.4461                 NaN            NaN  0.553860                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        500.000        99.4527                 NaN            NaN  0.547306                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        500.000        99.4539                 NaN            NaN  0.546120                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        500.000        99.4387       0.152676E-001            NaN  0.546060                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        500.000        99.4743       0.108704E-001            NaN  0.514794                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        500.000        99.1600                 NaN            NaN  0.839963                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        500.000        99.7785                 NaN            NaN  0.221452                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        500.000        99.4736                 NaN            NaN  0.526415                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        500.000        99.4741       0.809515E-002            NaN  0.517791                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000        99.4791                 NaN            NaN  0.520948                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        99.4827                 NaN            NaN  0.517349                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        99.4853                 NaN            NaN  0.514690                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        99.4882                 NaN            NaN  0.511845                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        99.4918                 NaN            NaN  0.508211                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        99.4805                 NaN            NaN  0.519513                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        97.9728                 NaN            NaN   2.00693       0.202576E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        99.9754       0.136648E-002            NaN  0.229532E-001  0.318261E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        99.9872                 NaN            NaN  0.126985E-001  0.109622E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        99.5967                 NaN            NaN  0.389989       0.133431E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.4937                 NaN            NaN  0.490057       0.161943E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        99.4967                 NaN            NaN  0.487201       0.160928E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        99.4336                 NaN            NaN  0.548110       0.182413E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        99.5640                 NaN            NaN  0.422016       0.139381E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        99.5008                 NaN            NaN  0.483183       0.159944E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        99.5021                 NaN            NaN  0.481932       0.159557E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        99.5038                 NaN            NaN  0.480296       0.159166E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        99.6386                 NaN            NaN  0.349850       0.115937E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000        99.3725                 NaN            NaN  0.607437       0.200749E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        99.5061                 NaN            NaN  0.478070       0.158019E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000        99.5083                 NaN            NaN  0.475986       0.157177E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        99.5080                 NaN            NaN  0.476335       0.157067E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000        99.5099                 NaN            NaN  0.474470       0.156247E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        500.000        99.5079                 NaN            NaN  0.476394       0.156649E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        99.5112                 NaN            NaN  0.473304       0.155194E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        99.5106                 NaN            NaN  0.473835       0.155187E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        99.5118                 NaN            NaN  0.472774       0.154640E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        99.5087                 NaN            NaN  0.475780       0.155563E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        99.5139                 NaN            NaN  0.470812       0.153053E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        99.5110                 NaN            NaN  0.473661       0.153644E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        99.5107                 NaN            NaN  0.473911       0.153498E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        99.5077                 NaN            NaN  0.476905       0.153942E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        99.5130                 NaN            NaN  0.471824       0.151621E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        99.5095                 NaN            NaN  0.475253       0.152592E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        99.5097                 NaN            NaN  0.475139       0.151755E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        99.5090                 NaN            NaN  0.475834       0.151359E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        99.4883                 NaN            NaN  0.495876       0.158398E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        99.5273                 NaN            NaN  0.458294       0.143813E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        99.5003                 NaN            NaN  0.484475       0.152489E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        99.5107                 NaN            NaN  0.474464       0.148292E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        99.5026                 NaN            NaN  0.482332       0.150497E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        99.5036                 NaN            NaN  0.481457       0.149277E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        99.5011                 NaN            NaN  0.483934       0.149404E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        99.4985                 NaN            NaN  0.486583       0.149341E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        99.4991                 NaN            NaN  0.486013       0.148432E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        99.5679                 NaN            NaN  0.419337       0.127891E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        99.4225                 NaN            NaN  0.560516       0.169639E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        99.4937                 NaN            NaN  0.491490       0.147677E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        99.4914                 NaN            NaN  0.493812       0.147492E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        99.4890                 NaN            NaN  0.496301       0.147471E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        99.4868                 NaN            NaN  0.498448       0.147225E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        98.2883                 NaN            NaN   1.66486       0.468531E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        99.6290                 NaN            NaN  0.359451       0.115570E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        99.4747                 NaN            NaN  0.510653       0.146278E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        99.4715                 NaN            NaN  0.513869       0.145902E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        99.4756                 NaN            NaN  0.509968       0.144040E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        99.4610                 NaN            NaN  0.524300       0.147260E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        99.4657                 NaN            NaN  0.519769       0.144932E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        99.4597                 NaN            NaN  0.525789       0.145439E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        99.4606                 NaN            NaN  0.524994       0.144118E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        99.4529                 NaN            NaN  0.532589       0.145336E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        98.9866                 NaN            NaN  0.986830       0.265927E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        99.9176                 NaN            NaN  0.802874E-001  0.213767E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        99.4466                 NaN            NaN  0.539014       0.144058E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        99.4397                 NaN            NaN  0.545824       0.144779E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        99.4422                 NaN            NaN  0.543538       0.143096E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        99.4365                 NaN            NaN  0.549094       0.143569E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        99.4597                 NaN            NaN  0.526624       0.136776E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        99.4028                 NaN            NaN  0.582158       0.150152E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        99.4260                 NaN            NaN  0.559704       0.143314E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000        99.4218                 NaN            NaN  0.563811       0.143580E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        99.4209                 NaN            NaN  0.564805       0.142684E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        99.4166                 NaN            NaN  0.569128       0.142775E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000        99.4126                 NaN            NaN  0.573116       0.142890E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000        99.4087                 NaN            NaN  0.576989       0.142794E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000        99.4071                 NaN            NaN  0.578706       0.142376E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        99.4026                 NaN            NaN  0.583185       0.142580E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000        99.3994                 NaN            NaN  0.586406       0.142407E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        99.3940                 NaN            NaN  0.591699       0.142936E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        99.3914                 NaN            NaN  0.594342       0.142829E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        99.3935                 NaN            NaN  0.592389       0.141187E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        99.3860                 NaN            NaN  0.599801       0.142286E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        99.0127                 NaN            NaN  0.964583       0.227157E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        99.7529                 NaN            NaN  0.241462       0.565294E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000        99.7594                 NaN            NaN  0.235142       0.547700E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000        98.9928                 NaN            NaN  0.984364       0.228550E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        500.000        99.1789                 NaN            NaN  0.802659       0.184768E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        500.000        99.5747                 NaN            NaN  0.415424       0.985386E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        500.000        99.3556                 NaN            NaN  0.630291       0.140813E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        500.000        99.3638                 NaN            NaN  0.622021       0.141588E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        500.000        99.3589                 NaN            NaN  0.626875       0.142053E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        500.000        99.3605                 NaN            NaN  0.625400       0.141145E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        500.000        99.5268                 NaN            NaN  0.462792       0.103891E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        500.000        98.8340                 NaN            NaN  0.678726       0.108950E-001  0.476386                 NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        500.000        97.6957                 NaN            NaN  0.617984E-001            NaN   2.24250                 NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        500.000        97.7497                 NaN            NaN  0.611189E-001            NaN   2.18917                 NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        500.000        97.7970                 NaN            NaN  0.593835E-001            NaN   2.14361                 NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        500.000        97.8440                 NaN            NaN  0.561831E-001            NaN   2.09982                 NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        500.000        95.7861                 NaN            NaN  0.807499E-001            NaN   4.13312                 NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        500.000        99.9445                 NaN            NaN  0.185168E-002            NaN  0.536163E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        500.000        98.0814                 NaN            NaN  0.465737E-001            NaN   1.87205                 NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        500.000        98.0091                 NaN            NaN  0.433408E-001            NaN   1.94754                 NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        500.000        98.0568                 NaN            NaN  0.448078E-001            NaN   1.89838                 NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        500.000        97.8252                 NaN            NaN  0.448692E-001            NaN   2.12993                 NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        500.000        98.3851                 NaN            NaN  0.324077E-001            NaN   1.58251                 NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        500.000        98.1534                 NaN            NaN  0.358028E-001            NaN   1.81076                 NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        500.000        98.2021                 NaN            NaN  0.323015E-001            NaN   1.76563                 NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        500.000        98.2281                 NaN            NaN  0.303755E-001            NaN   1.74149                 NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        500.000        98.2579                 NaN            NaN  0.281117E-001            NaN   1.71399                 NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        500.000        98.2914                 NaN            NaN  0.279546E-001            NaN   1.68068                 NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        500.000        98.3219                 NaN            NaN  0.235854E-001            NaN   1.65456                 NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        500.000        98.3491                 NaN            NaN  0.210382E-001            NaN   1.62988                 NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        500.000        98.3751                 NaN            NaN  0.183893E-001            NaN   1.60653                 NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        500.000        98.4082                 NaN            NaN  0.379831E-001            NaN   1.55386                 NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        98.4436                 NaN            NaN  0.107160                 NaN   1.44920                 NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        500.000        98.4555                 NaN            NaN  0.238491E-002            NaN   1.54212                 NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        500.000        98.4856                 NaN            NaN  0.245434E-001            NaN   1.48987                 NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        500.000        98.5021                 NaN            NaN            NaN            NaN   1.49787                 NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        500.000        97.9011                 NaN            NaN  0.120252                 NaN   1.97863                 NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000        99.1974                 NaN            NaN            NaN            NaN  0.802646                 NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        500.000        98.5881                 NaN            NaN  0.390444E-005            NaN   1.41189                 NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        500.000        98.5969                 NaN            NaN  0.614472E-002            NaN   1.39692                 NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        500.000        98.6086                 NaN            NaN  0.321827E-003            NaN   1.39110                 NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        500.000        98.6397                 NaN            NaN            NaN            NaN   1.36026                 NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        500.000        98.6744                 NaN            NaN  0.325142E-005            NaN   1.32557                 NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000        98.6843                 NaN            NaN  0.171214E-004            NaN   1.31566                 NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        500.000        98.6080                 NaN            NaN  0.503069E-001            NaN   1.34168                 NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        500.000        98.8152                 NaN            NaN            NaN            NaN   1.18484                 NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        500.000        98.7393                 NaN            NaN            NaN            NaN   1.26071                 NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000        98.7553                 NaN            NaN            NaN            NaN   1.24472                 NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        500.000        97.6488                 NaN            NaN            NaN            NaN   2.35123                 NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        500.000        99.6881                 NaN            NaN            NaN            NaN  0.311854                 NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        500.000        99.0475                 NaN            NaN            NaN            NaN  0.952476                 NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        500.000        98.8215                 NaN            NaN            NaN            NaN   1.17849                 NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        500.000        98.8393                 NaN            NaN            NaN            NaN   1.16069                 NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        500.000        98.8405                 NaN            NaN            NaN            NaN   1.15945                 NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        500.000        98.8830                 NaN            NaN            NaN            NaN   1.11704                 NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        500.000        98.8835                 NaN            NaN            NaN            NaN   1.11653                 NaN            NaN            NaN            NaN            NaN            NaN
  1528.82        500.000        98.8994                 NaN            NaN            NaN            NaN   1.10060                 NaN            NaN            NaN            NaN            NaN            NaN
  1526.32        500.000        98.6674                 NaN            NaN            NaN            NaN   1.33257                 NaN            NaN            NaN            NaN            NaN            NaN
  1523.81        500.000        99.1658                 NaN            NaN            NaN            NaN  0.834237                 NaN            NaN            NaN            NaN            NaN            NaN
  1521.30        500.000        98.9338                 NaN            NaN            NaN            NaN   1.06625                 NaN            NaN            NaN            NaN            NaN            NaN
  1518.80        500.000        98.9501                 NaN            NaN            NaN            NaN   1.04988                 NaN            NaN            NaN            NaN            NaN            NaN
  1516.29        500.000        98.8606                 NaN            NaN            NaN            NaN  0.566981       0.572390                 NaN            NaN            NaN            NaN            NaN
  1513.78        500.000        98.7536                 NaN            NaN            NaN            NaN  0.203316E-001   1.22611                 NaN            NaN            NaN            NaN            NaN
  1511.28        500.000        98.7610                 NaN            NaN            NaN            NaN  0.785814E-002   1.23110                 NaN            NaN            NaN            NaN            NaN
  1508.77        500.000        98.7678                 NaN            NaN            NaN            NaN            NaN   1.23224                 NaN            NaN            NaN            NaN            NaN
  1506.27        500.000        98.7767                 NaN            NaN            NaN            NaN  0.336811E-001   1.18958                 NaN            NaN            NaN            NaN            NaN
  1503.76        500.000        98.7780                 NaN            NaN            NaN            NaN            NaN   1.22195                 NaN            NaN            NaN            NaN            NaN
  1501.25        500.000        98.7852                 NaN            NaN            NaN            NaN            NaN   1.21478                 NaN            NaN            NaN            NaN            NaN
  1498.75        500.000        98.7884                 NaN            NaN            NaN            NaN  0.584983E-001   1.15311                 NaN            NaN            NaN            NaN            NaN
  1496.24        500.000        98.7847                 NaN            NaN            NaN            NaN            NaN   1.21534                 NaN            NaN            NaN            NaN            NaN
  1493.73        500.000        98.7826                 NaN            NaN            NaN            NaN            NaN   1.21742                 NaN            NaN            NaN            NaN            NaN
  1491.23        500.000        98.7767                 NaN            NaN            NaN            NaN            NaN   1.22327                 NaN            NaN            NaN            NaN            NaN
  1488.72        500.000        98.8182                 NaN            NaN            NaN            NaN  0.705790       0.475966                 NaN            NaN            NaN            NaN            NaN
  1486.22        500.000        97.6936                 NaN            NaN            NaN            NaN            NaN   1.25153        1.05489                 NaN            NaN            NaN            NaN
  1483.71        500.000        98.0087                 NaN            NaN            NaN            NaN            NaN   1.12013       0.871131                 NaN            NaN            NaN            NaN
  1481.20        500.000        98.0492                 NaN            NaN            NaN            NaN            NaN  0.851352        1.09942                 NaN            NaN            NaN            NaN
  1478.70        500.000        98.0906                 NaN            NaN            NaN            NaN            NaN   1.07959       0.829814                 NaN            NaN            NaN            NaN
  1476.19        500.000        98.1250                 NaN            NaN            NaN            NaN            NaN   1.06320       0.811831                 NaN            NaN            NaN            NaN
  1473.68        500.000        98.1666                 NaN            NaN            NaN            NaN            NaN  0.792023        1.04138                 NaN            NaN            NaN            NaN
  1471.18        500.000        98.2010                 NaN            NaN            NaN            NaN            NaN  0.774873        1.02417                 NaN            NaN            NaN            NaN
