|6.6.6
Archiving\03_Data\DfracLP/QFM_m5/K22/K22_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       iron           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        q              ilm           
  1822.06        500.000        99.5586                 NaN            NaN  0.431029       0.103536E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        99.5617                 NaN            NaN  0.428037       0.102563E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        99.5614                 NaN            NaN  0.428359       0.102500E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        99.5625                 NaN            NaN  0.427270       0.102124E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        99.5600                 NaN            NaN  0.429751       0.102688E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        99.5648                 NaN            NaN  0.425063       0.100985E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        99.5624                 NaN            NaN  0.427426       0.101311E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        99.5624                 NaN            NaN  0.427440       0.101192E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        99.5599                 NaN            NaN  0.429913       0.101392E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        99.5648                 NaN            NaN  0.425203       0.998611E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        99.5619                 NaN            NaN  0.428071       0.100471E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        99.5622                 NaN            NaN  0.427769       0.998585E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        99.5619                 NaN            NaN  0.428164       0.995429E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        99.5435                 NaN            NaN  0.446119       0.104190E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        99.5785                 NaN            NaN  0.412025       0.944986E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        99.5547                 NaN            NaN  0.435304       0.100143E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        99.5641                 NaN            NaN  0.426136       0.973598E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        99.5572                 NaN            NaN  0.432969       0.987741E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        99.5582                 NaN            NaN  0.431975       0.979141E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        99.5562                 NaN            NaN  0.433982       0.979584E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        99.5541                 NaN            NaN  0.436107       0.978397E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        99.5549                 NaN            NaN  0.435392       0.972203E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        99.6160                 NaN            NaN  0.375618       0.837662E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        99.4872                 NaN            NaN  0.501695       0.111057E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        99.5507                 NaN            NaN  0.439647       0.966091E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        99.5489                 NaN            NaN  0.441411       0.964289E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        99.5469                 NaN            NaN  0.443458       0.963768E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        99.5453                 NaN            NaN  0.445108       0.961579E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        98.4865                 NaN            NaN   1.48303       0.304960E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        99.6723                 NaN            NaN  0.320190       0.753053E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        99.5357                 NaN            NaN  0.454780       0.953078E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        99.5333                 NaN            NaN  0.457208       0.949796E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        99.5370                 NaN            NaN  0.453641       0.937673E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        99.5243                 NaN            NaN  0.466114       0.958096E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        99.5287                 NaN            NaN  0.461881       0.942272E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        99.5238                 NaN            NaN  0.466755       0.944998E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        99.5248                 NaN            NaN  0.465852       0.936202E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        99.5183                 NaN            NaN  0.472243       0.943417E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        99.1084                 NaN            NaN  0.874393       0.172478E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        99.9276                 NaN            NaN  0.710633E-001  0.138548E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        99.5135                 NaN            NaN  0.477137       0.933797E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        99.5078                 NaN            NaN  0.482815       0.937812E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        99.5102                 NaN            NaN  0.480511       0.926652E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        99.5057                 NaN            NaN  0.485054       0.929014E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        99.5263                 NaN            NaN  0.464833       0.884335E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        99.4766                 NaN            NaN  0.513670       0.970733E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        99.4972                 NaN            NaN  0.493506       0.925818E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000        99.4939                 NaN            NaN  0.496817       0.927283E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        99.4935                 NaN            NaN  0.497320       0.920911E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        99.4900                 NaN            NaN  0.500793       0.920880E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000        99.4868                 NaN            NaN  0.503982       0.921191E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000        99.4838                 NaN            NaN  0.507050       0.919822E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000        99.4827                 NaN            NaN  0.508145       0.916804E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        99.4791                 NaN            NaN  0.511734       0.917648E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000        99.4767                 NaN            NaN  0.514154       0.915958E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        99.4723                 NaN            NaN  0.518466       0.919000E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        99.4704                 NaN            NaN  0.520428       0.917737E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        99.4726                 NaN            NaN  0.518345       0.906521E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        99.4663                 NaN            NaN  0.524521       0.913340E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        99.1423                 NaN            NaN  0.843155       0.145759E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        99.7856                 NaN            NaN  0.210773       0.361916E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000        99.7915                 NaN            NaN  0.205036       0.350916E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000        99.1268                 NaN            NaN  0.858558       0.146364E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        500.000        99.2889                 NaN            NaN  0.699281       0.118147E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        500.000        99.6323                 NaN            NaN  0.361447       0.629881E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        500.000        99.4429                 NaN            NaN  0.548126       0.899762E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        500.000        99.4504                 NaN            NaN  0.540578       0.904343E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        500.000        99.4466                 NaN            NaN  0.544379       0.906880E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        500.000        99.4483                 NaN            NaN  0.542658       0.900253E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        500.000        99.5922                 NaN            NaN  0.401195       0.662136E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        500.000        98.9851                 NaN            NaN  0.588449       0.694546E-002  0.419514                 NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        500.000        97.9699                 NaN            NaN  0.536052E-001            NaN   1.97652                 NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        500.000        98.0186                 NaN            NaN  0.529883E-001            NaN   1.92845                 NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        500.000        98.0612                 NaN            NaN  0.514580E-001            NaN   1.88734                 NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        500.000        98.1032                 NaN            NaN  0.486607E-001            NaN   1.84810                 NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        500.000        96.2854                 NaN            NaN  0.700874E-001            NaN   3.64449                 NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        500.000        99.9514                 NaN            NaN  0.159795E-002            NaN  0.470284E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        500.000        98.3151                 NaN            NaN  0.402576E-001            NaN   1.64468                 NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        500.000        98.2518                 NaN            NaN  0.374592E-001            NaN   1.71077                 NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        500.000        98.2947                 NaN            NaN  0.386929E-001            NaN   1.66661                 NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        500.000        98.0910                 NaN            NaN  0.387598E-001            NaN   1.87025                 NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        500.000        98.5847                 NaN            NaN  0.279387E-001            NaN   1.38736                 NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        500.000        98.3817                 NaN            NaN  0.308654E-001            NaN   1.58744                 NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        500.000        98.4250                 NaN            NaN  0.278312E-001            NaN   1.54717                 NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        500.000        98.4485                 NaN            NaN  0.261553E-001            NaN   1.52534                 NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        500.000        98.4751                 NaN            NaN  0.241953E-001            NaN   1.50066                 NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        500.000        98.5055                 NaN            NaN  0.240390E-001            NaN   1.47047                 NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        500.000        98.5326                 NaN            NaN  0.202723E-001            NaN   1.44718                 NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        500.000        98.5571                 NaN            NaN  0.180713E-001            NaN   1.42486                 NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        500.000        98.5803                 NaN            NaN  0.157886E-001            NaN   1.40394                 NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        500.000        98.6101                 NaN            NaN  0.325956E-001            NaN   1.35733                 NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        98.6431                 NaN            NaN  0.918807E-001            NaN   1.26506                 NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        500.000        98.6523                 NaN            NaN  0.204400E-002            NaN   1.34569                 NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        500.000        98.6795                 NaN            NaN  0.210224E-001            NaN   1.29945                 NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        500.000        98.6943                 NaN            NaN            NaN            NaN   1.30568                 NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        500.000        98.1725                 NaN            NaN  0.102965                 NaN   1.72456                 NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000        99.3016                 NaN            NaN            NaN            NaN  0.698363                 NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        500.000        98.7710                 NaN            NaN  0.333501E-005            NaN   1.22898                 NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        500.000        98.7791                 NaN            NaN  0.524764E-002            NaN   1.21569                 NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        500.000        98.7895                 NaN            NaN  0.274455E-003            NaN   1.21025                 NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        500.000        98.8174                 NaN            NaN            NaN            NaN   1.18255                 NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        500.000        98.8481                 NaN            NaN  0.277090E-005            NaN   1.15188                 NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000        98.8572                 NaN            NaN  0.145813E-004            NaN   1.14283                 NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        500.000        98.7917                 NaN            NaN  0.427992E-001            NaN   1.16545                 NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        500.000        98.9720                 NaN            NaN            NaN            NaN   1.02803                 NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        500.000        98.9064                 NaN            NaN            NaN            NaN   1.09355                 NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000        98.9208                 NaN            NaN            NaN            NaN   1.07921                 NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        500.000        97.9616                 NaN            NaN            NaN            NaN   2.03835                 NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        500.000        99.7302                 NaN            NaN            NaN            NaN  0.269758                 NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        500.000        99.1756                 NaN            NaN            NaN            NaN  0.824431                 NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        500.000        98.9800                 NaN            NaN            NaN            NaN   1.01999                 NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        500.000        98.9958                 NaN            NaN            NaN            NaN   1.00418                 NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        500.000        98.9972                 NaN            NaN            NaN            NaN   1.00280                 NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        500.000        99.0345                 NaN            NaN            NaN            NaN  0.965466                 NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        500.000        99.0353                 NaN            NaN            NaN            NaN  0.964689                 NaN            NaN            NaN            NaN            NaN            NaN
  1528.82        500.000        99.0499                 NaN            NaN            NaN            NaN  0.950143                 NaN            NaN            NaN            NaN            NaN            NaN
  1526.32        500.000        98.8493                 NaN            NaN            NaN            NaN   1.15069                 NaN            NaN            NaN            NaN            NaN            NaN
  1523.81        500.000        99.2804                 NaN            NaN            NaN            NaN  0.719617                 NaN            NaN            NaN            NaN            NaN            NaN
  1521.30        500.000        99.0803                 NaN            NaN            NaN            NaN  0.919717                 NaN            NaN            NaN            NaN            NaN            NaN
  1518.80        500.000        99.0950                 NaN            NaN            NaN            NaN  0.905048                 NaN            NaN            NaN            NaN            NaN            NaN
  1516.29        500.000        99.0157                 NaN            NaN            NaN            NaN  0.488556       0.495711                 NaN            NaN            NaN            NaN            NaN
  1513.78        500.000        98.9211                 NaN            NaN            NaN            NaN  0.175104E-001   1.06134                 NaN            NaN            NaN            NaN            NaN
  1511.28        500.000        98.9283                 NaN            NaN            NaN            NaN  0.676317E-002   1.06490                 NaN            NaN            NaN            NaN            NaN
  1508.77        500.000        98.9350                 NaN            NaN            NaN            NaN            NaN   1.06497                 NaN            NaN            NaN            NaN            NaN
  1506.27        500.000        98.9435                 NaN            NaN            NaN            NaN  0.289483E-001   1.02751                 NaN            NaN            NaN            NaN            NaN
  1503.76        500.000        98.9451                 NaN            NaN            NaN            NaN            NaN   1.05488                 NaN            NaN            NaN            NaN            NaN
  1501.25        500.000        98.9522                 NaN            NaN            NaN            NaN            NaN   1.04781                 NaN            NaN            NaN            NaN            NaN
  1498.75        500.000        98.9558                 NaN            NaN            NaN            NaN  0.501781E-001  0.993973                 NaN            NaN            NaN            NaN            NaN
  1496.24        500.000        98.9532                 NaN            NaN            NaN            NaN            NaN   1.04682                 NaN            NaN            NaN            NaN            NaN
  1493.73        500.000        98.9521                 NaN            NaN            NaN            NaN            NaN   1.04788                 NaN            NaN            NaN            NaN            NaN
  1491.23        500.000        98.9480                 NaN            NaN            NaN            NaN            NaN   1.05197                 NaN            NaN            NaN            NaN            NaN
  1488.72        500.000        98.9864                 NaN            NaN            NaN            NaN  0.603808       0.409802                 NaN            NaN            NaN            NaN            NaN
  1486.22        500.000        98.0153                 NaN            NaN            NaN            NaN            NaN   1.07590       0.908797                 NaN            NaN            NaN            NaN
  1483.71        500.000        98.2884                 NaN            NaN            NaN            NaN            NaN  0.963761       0.747846                 NaN            NaN            NaN            NaN
  1481.20        500.000        98.3248                 NaN            NaN            NaN            NaN            NaN  0.730140       0.945103                 NaN            NaN            NaN            NaN
  1478.70        500.000        98.3622                 NaN            NaN            NaN            NaN            NaN  0.927099       0.710719                 NaN            NaN            NaN            NaN
  1476.19        500.000        98.3932                 NaN            NaN            NaN            NaN            NaN  0.912167       0.694591                 NaN            NaN            NaN            NaN
  1473.68        500.000        98.4305                 NaN            NaN            NaN            NaN            NaN  0.676847       0.892625                 NaN            NaN            NaN            NaN
  1471.18        500.000        98.4614                 NaN            NaN            NaN            NaN            NaN  0.661492       0.877082                 NaN            NaN            NaN            NaN
