|6.6.6
Archiving\03_Data\fracLP/QFM_m2.25/ALH/ALH_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         melt(TH)       melt(TH)       melt(TH)       mang           O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1909.77        500.000        99.7278                 NaN            NaN  0.272221                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        500.000        99.7278                 NaN            NaN  0.272238                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        500.000        99.7277                 NaN            NaN  0.272255                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        500.000        99.7277                 NaN            NaN  0.272273                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        500.000        99.7277                 NaN            NaN  0.272290                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        500.000        99.7277                 NaN            NaN  0.272308                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        500.000        99.7277                 NaN            NaN  0.272325                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        500.000        99.7277                 NaN            NaN  0.272343                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        500.000        99.7276                 NaN            NaN  0.272366                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        500.000        99.7276                 NaN            NaN  0.272378                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        500.000        99.5953                 NaN            NaN  0.272419       0.132314                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000        99.3906                 NaN            NaN            NaN  0.609385                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        99.3943                 NaN            NaN            NaN  0.605716                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        99.3975                 NaN            NaN            NaN  0.602502                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        99.4004                 NaN            NaN            NaN  0.599576                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        99.4024                 NaN            NaN            NaN  0.597589                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        99.3568                 NaN            NaN            NaN  0.643241                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        99.4577                 NaN            NaN            NaN  0.542274                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        99.4085                 NaN            NaN            NaN  0.591502                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        99.4196                 NaN            NaN            NaN  0.580423                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        99.4165                 NaN            NaN            NaN  0.583519                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        99.4191                 NaN            NaN            NaN  0.580945                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.4230                 NaN            NaN            NaN  0.576953                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        99.5964                 NaN            NaN            NaN  0.403557                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        99.2538                 NaN            NaN            NaN  0.746178                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        99.4286                 NaN            NaN            NaN  0.571437                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        99.4302                 NaN            NaN            NaN  0.569847                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        99.4231                 NaN            NaN            NaN  0.576947                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        99.4413                 NaN            NaN            NaN  0.558678                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        99.4320                 NaN            NaN            NaN  0.568037                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000        99.4314                 NaN            NaN            NaN  0.568551                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        99.4451                 NaN            NaN            NaN  0.554910                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000        99.4386                 NaN            NaN            NaN  0.561368                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        99.4400                 NaN            NaN            NaN  0.559966                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000        99.4419                 NaN            NaN            NaN  0.558122                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        500.000        99.4422                 NaN            NaN            NaN  0.557771                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        99.4428                 NaN            NaN            NaN  0.556215       0.953720E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        99.4511                 NaN            NaN            NaN  0.539523       0.934348E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        99.4196                 NaN            NaN            NaN  0.570503       0.988157E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        99.4371                 NaN            NaN            NaN  0.553319       0.954601E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        99.4368                 NaN            NaN            NaN  0.553650       0.954463E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        99.4373                 NaN            NaN            NaN  0.553200       0.953381E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        99.4373                 NaN            NaN            NaN  0.553190       0.951034E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        99.4371                 NaN            NaN            NaN  0.553396       0.949689E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        99.1331                 NaN            NaN            NaN  0.852184       0.147175E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        99.7434                 NaN            NaN            NaN  0.252501       0.406837E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        99.4355                 NaN            NaN            NaN  0.554998       0.945953E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        99.4345                 NaN            NaN            NaN  0.556195       0.934388E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        99.4430                 NaN            NaN            NaN  0.547616       0.936605E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        99.4364                 NaN            NaN            NaN  0.554246       0.937645E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        99.4317                 NaN            NaN            NaN  0.558831       0.945209E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        99.4401                 NaN            NaN            NaN  0.550618       0.923469E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        99.4365                 NaN            NaN            NaN  0.554239       0.927988E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        99.4355                 NaN            NaN            NaN  0.555204       0.926993E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        99.9880                 NaN            NaN            NaN  0.119627E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        98.8806                 NaN            NaN            NaN   1.10092       0.184765E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        99.4276                 NaN            NaN            NaN  0.563157       0.921696E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        99.4367                 NaN            NaN            NaN  0.554097       0.919590E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        99.4301                 NaN            NaN            NaN  0.560710       0.919301E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        99.4293                 NaN            NaN            NaN  0.561529       0.916600E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        99.4282                 NaN            NaN            NaN  0.562625       0.914241E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        99.4266                 NaN            NaN            NaN  0.564300       0.912865E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        99.4224                 NaN            NaN            NaN  0.568413       0.918217E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        99.4274                 NaN            NaN            NaN  0.563607       0.902437E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        99.4224                 NaN            NaN            NaN  0.568499       0.907901E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        99.4205                 NaN            NaN            NaN  0.570475       0.906642E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        99.4191                 NaN            NaN            NaN  0.571892       0.904703E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        99.4174                 NaN            NaN            NaN  0.573518       0.904031E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        99.4157                 NaN            NaN            NaN  0.575280       0.902300E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        99.4365                 NaN            NaN            NaN  0.554854       0.864803E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        99.8071                 NaN            NaN            NaN  0.189940       0.293935E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        98.9916                 NaN            NaN            NaN  0.993046       0.153637E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        99.4101                 NaN            NaN            NaN  0.580991       0.891521E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        99.4067                 NaN            NaN            NaN  0.584316       0.893690E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        99.4044                 NaN            NaN            NaN  0.586653       0.892903E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        99.4025                 NaN            NaN            NaN  0.588605       0.891957E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        99.4016                 NaN            NaN            NaN  0.589522       0.887647E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        99.3993                 NaN            NaN            NaN  0.591836       0.887471E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        99.3970                 NaN            NaN            NaN  0.594189       0.885671E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        99.3952                 NaN            NaN            NaN  0.595988       0.884710E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        99.3919                 NaN            NaN            NaN  0.599299       0.884608E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        99.3959                 NaN            NaN            NaN  0.595339       0.875603E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        99.3846                 NaN            NaN            NaN  0.606578       0.886324E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        99.3885                 NaN            NaN            NaN  0.602699       0.876953E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000        99.3859                 NaN            NaN            NaN  0.605296       0.875866E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        99.3828                 NaN            NaN            NaN  0.608384       0.879064E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        99.3834                 NaN            NaN            NaN  0.607861       0.870428E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000        99.3814                 NaN            NaN            NaN  0.609873       0.871670E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000        99.3774                 NaN            NaN            NaN  0.613895       0.873559E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000        99.3800                 NaN            NaN            NaN  0.611328       0.864800E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        99.3770                 NaN            NaN            NaN  0.614302       0.866720E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000        99.3754                 NaN            NaN            NaN  0.615979       0.865614E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        99.3744                 NaN            NaN            NaN  0.616952       0.863152E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        99.3736                 NaN            NaN            NaN  0.617840       0.860838E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        99.3794                 NaN            NaN            NaN  0.612011       0.859000E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        99.3641                 NaN            NaN            NaN  0.627287       0.858176E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        99.2464                 NaN            NaN            NaN  0.744942       0.869359E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        99.4921                 NaN            NaN            NaN  0.499396       0.846198E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000        99.3707                 NaN            NaN            NaN  0.620742       0.851493E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000        99.3699                 NaN            NaN            NaN  0.621599       0.850031E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        500.000        99.3706                 NaN            NaN            NaN  0.620978       0.847101E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        500.000        99.3703                 NaN            NaN            NaN  0.621257       0.844954E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        500.000        99.3697                 NaN            NaN            NaN  0.621831       0.843520E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        500.000        99.3698                 NaN            NaN            NaN  0.621791       0.842941E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        500.000        99.3715                 NaN            NaN            NaN  0.620118       0.836499E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        500.000        99.3711                 NaN            NaN            NaN  0.620586       0.836369E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        500.000        99.3716                 NaN            NaN            NaN  0.620079       0.834201E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        500.000        99.3731                 NaN            NaN            NaN  0.618615       0.829584E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        500.000        97.6447       0.104681       0.553821                 NaN   1.67528       0.215621E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        500.000        99.7022                 NaN            NaN            NaN  0.293917       0.383639E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        500.000        99.3821                 NaN            NaN            NaN  0.609759       0.817294E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        500.000        99.3816                 NaN            NaN            NaN  0.610204       0.817814E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        500.000        99.9999                 NaN            NaN            NaN  0.263554E-004  0.104992E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        500.000        98.7716                 NaN            NaN            NaN   1.21226       0.161118E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        500.000        99.3883                 NaN            NaN            NaN  0.603671       0.805690E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        500.000        99.3896                 NaN            NaN            NaN  0.602373       0.805061E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        500.000        99.3935                 NaN            NaN            NaN  0.598502       0.799550E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        500.000        99.3951                 NaN            NaN            NaN  0.596972       0.796912E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        500.000        99.3957                 NaN            NaN            NaN  0.596334       0.795758E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        500.000        97.0391                 NaN            NaN            NaN   2.92222       0.386439E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        500.000        99.9996                 NaN            NaN            NaN            NaN  0.375810E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        500.000        99.3928                 NaN            NaN            NaN  0.599401       0.777090E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        500.000        99.6958                 NaN            NaN            NaN  0.300197       0.404745E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        500.000        99.2066                 NaN            NaN            NaN  0.782938       0.104948E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        99.4239                 NaN            NaN            NaN  0.568468       0.763577E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        500.000        99.4345                 NaN            NaN            NaN  0.557961       0.749093E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        500.000        99.4341                 NaN            NaN            NaN  0.558331       0.752001E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        500.000        99.5791                 NaN            NaN            NaN  0.415643       0.522944E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        500.000        99.3004                 NaN            NaN            NaN  0.689916       0.966326E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000        99.4475                 NaN            NaN            NaN  0.545127       0.736396E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        500.000        99.4505                 NaN            NaN            NaN  0.542173       0.733634E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        500.000        99.4549                 NaN            NaN            NaN  0.537826       0.729595E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        500.000        99.4549                 NaN            NaN            NaN  0.537830       0.730842E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        500.000        99.4672                 NaN            NaN            NaN  0.525625       0.714994E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        500.000        99.4655                 NaN            NaN            NaN  0.527322       0.717201E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000        99.4738                 NaN            NaN            NaN  0.519147       0.708443E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        500.000        99.4762                 NaN            NaN            NaN  0.516703       0.706214E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        500.000        99.4802                 NaN            NaN            NaN  0.512835       0.700643E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        500.000        99.4854                 NaN            NaN            NaN  0.507638       0.695052E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000        99.4898                 NaN            NaN            NaN  0.503262       0.691489E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        500.000        99.4900                 NaN            NaN            NaN  0.503032       0.691872E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        500.000        99.5023                 NaN            NaN            NaN  0.490944       0.675749E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        500.000        99.5021                 NaN            NaN            NaN  0.491089       0.677185E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        500.000        99.5087                 NaN            NaN            NaN  0.484580       0.671895E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        500.000        99.5126                 NaN            NaN            NaN  0.480731       0.666588E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        500.000        99.5168                 NaN            NaN            NaN  0.476555       0.660923E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        500.000        99.5211                 NaN            NaN            NaN  0.472296       0.657089E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        500.000        99.5233                 NaN            NaN            NaN  0.470161       0.653527E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.82        500.000        99.5310                 NaN            NaN            NaN  0.462527       0.645145E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
