|6.6.6
Archiving\03_Data\frac/QFM_m1.25/EETA/EETA_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         melt(TH)       melt(TH)       pxmn           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1942.36        2500.00        99.2107                 NaN  0.778097       0.111655E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        2500.00        99.2107                 NaN  0.778151       0.111654E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        2500.00        99.2106                 NaN  0.778204       0.111654E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        2500.00        99.2106                 NaN  0.778258       0.111654E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        2500.00        99.2105                 NaN  0.778312       0.111654E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        2500.00        99.2105                 NaN  0.778366       0.111654E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        2500.00        99.2104                 NaN  0.778419       0.111654E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        2500.00        99.2104                 NaN  0.778473       0.111654E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        2500.00        99.2103                 NaN  0.778527       0.111654E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        2500.00        99.2103                 NaN  0.778581       0.111654E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        2500.00        99.2102                 NaN  0.778635       0.111654E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        2500.00        99.2101                 NaN  0.778689       0.111654E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        2500.00        99.2101                 NaN  0.778742       0.111654E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        2500.00        99.2100                 NaN  0.778796       0.111654E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        2500.00        99.2100                 NaN  0.778850       0.111654E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        2500.00        99.2099                 NaN  0.778904       0.111654E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        2500.00        99.2099                 NaN  0.778958       0.111654E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        2500.00        99.2098                 NaN  0.779012       0.111654E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        2500.00        99.2098                 NaN  0.779066       0.111654E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        2500.00        99.2097                 NaN  0.779120       0.111654E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        2500.00        99.2097                 NaN  0.779174       0.111654E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        2500.00        99.2096                 NaN  0.779228       0.111654E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        2500.00        99.2096                 NaN  0.779282       0.111654E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        2500.00        99.2095                 NaN  0.779337       0.111654E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        2500.00        99.2094                 NaN  0.779391       0.111654E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        2500.00        99.2094                 NaN  0.779445       0.111654E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        2500.00        99.2093                 NaN  0.779499       0.111655E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        2500.00        99.2093                 NaN  0.779553       0.111655E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        2500.00        99.2092                 NaN  0.779608       0.111655E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        2500.00        99.2092                 NaN  0.779661       0.111655E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        2500.00        99.2091                 NaN  0.779716       0.111655E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        2500.00        99.2091                 NaN  0.779770       0.111656E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        2500.00        99.2090                 NaN  0.779824       0.111656E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        2500.00        99.2090                 NaN  0.779878       0.111656E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        2500.00        99.2089                 NaN  0.779933       0.111656E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        2500.00        99.2088                 NaN  0.779989       0.111657E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        2500.00        99.2088                 NaN  0.780041       0.111657E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        2500.00        99.2087                 NaN  0.780096       0.111657E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        2500.00        99.2087                 NaN  0.780150       0.111657E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        2500.00        99.2086                 NaN  0.780204       0.111658E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        2500.00        99.2086                 NaN  0.780259       0.111658E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        2500.00        99.2085                 NaN  0.780313       0.111658E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        2500.00        99.2085                 NaN  0.780368       0.111659E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        2500.00        99.2084                 NaN  0.780422       0.111659E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        2500.00        99.2084                 NaN  0.780476       0.111659E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        2500.00        99.2083                 NaN  0.780531       0.111660E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        2500.00        99.2082                 NaN  0.780585       0.111660E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        2500.00        99.2082                 NaN  0.780640       0.111660E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        2500.00        99.2081                 NaN  0.780694       0.111661E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        2500.00        99.2081                 NaN  0.780749       0.111661E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        2500.00        99.2080                 NaN  0.780803       0.111662E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        2500.00        99.2080                 NaN  0.780858       0.111662E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        2500.00        99.2079                 NaN  0.780912       0.111663E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        2500.00        99.2079                 NaN  0.780967       0.111663E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        2500.00        99.2078                 NaN  0.781022       0.111663E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        2500.00        99.2078                 NaN  0.781076       0.111664E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        2500.00        99.2077                 NaN  0.781131       0.111664E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        2500.00        99.2076                 NaN  0.781185       0.111665E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        2500.00        99.2076                 NaN  0.781240       0.111665E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        2500.00        99.2075                 NaN  0.781295       0.111666E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        2500.00        99.2075                 NaN  0.781349       0.111666E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        2500.00        99.2074                 NaN  0.781404       0.111667E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        2500.00        99.2074                 NaN  0.781458       0.111667E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        2500.00        99.2073                 NaN  0.781513       0.111668E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        2500.00        99.2073                 NaN  0.781568       0.111669E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        2500.00        99.2072                 NaN  0.781622       0.111669E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        2500.00        99.2072                 NaN  0.781677       0.111670E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        2500.00        99.2071                 NaN  0.781732       0.111670E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        2500.00        99.2070                 NaN  0.781786       0.111671E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        2500.00        99.2070                 NaN  0.781841       0.111672E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        2500.00        99.2069                 NaN  0.781896       0.111672E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        2500.00        99.2069                 NaN  0.781950       0.111673E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        2500.00        99.2068                 NaN  0.782005       0.111673E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        2500.00        99.2068                 NaN  0.782060       0.111674E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        2500.00        99.2067                 NaN  0.782115       0.111675E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        2500.00        99.2067                 NaN  0.782169       0.111675E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        2500.00        99.2066                 NaN  0.782224       0.111676E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        2500.00        99.2066                 NaN  0.782279       0.111677E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        2500.00        99.2065                 NaN  0.782334       0.111678E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        2500.00        99.2064                 NaN  0.782388       0.111678E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        2500.00        99.2064                 NaN  0.782443       0.111679E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        2500.00        99.2063                 NaN  0.782498       0.111680E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        2500.00        99.2063                 NaN  0.782553       0.111680E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        2500.00        99.2062                 NaN  0.782607       0.111681E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        2500.00        99.2062                 NaN  0.782662       0.111682E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        2500.00        99.2061                 NaN  0.782717       0.111683E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        2500.00        99.2061                 NaN  0.782772       0.111683E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        99.2060                 NaN  0.782827       0.111684E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        99.2060                 NaN  0.782880       0.111685E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        99.2059                 NaN  0.782936       0.111686E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        99.2058                 NaN  0.782991       0.111687E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        99.2058                 NaN  0.783046       0.111687E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        99.2057                 NaN  0.783101       0.111688E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        99.2057                 NaN  0.783155       0.111689E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        99.2056                 NaN  0.783210       0.111690E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        99.2056                 NaN  0.783265       0.111691E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        99.2055                 NaN  0.783320       0.111692E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        99.2055                 NaN  0.783375       0.111692E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        99.2054                 NaN  0.783429       0.111693E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        2500.00        99.2053                 NaN  0.783484       0.111694E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        2500.00        99.2053                 NaN  0.783539       0.111695E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        99.2052                 NaN  0.783594       0.111696E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        99.2052                 NaN  0.783649       0.111697E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        99.2051                 NaN  0.783703       0.111698E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        2500.00        99.2051                 NaN  0.783758       0.111699E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        99.1475                 NaN  0.783825       0.930337E-002  0.593479E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        99.9994                 NaN            NaN            NaN            NaN  0.592540E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        99.9954                 NaN            NaN            NaN            NaN  0.464862E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        99.9915                 NaN            NaN            NaN            NaN  0.847822E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        99.9916                 NaN            NaN            NaN            NaN  0.841710E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        99.9916                 NaN            NaN            NaN            NaN  0.835127E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        99.9917                 NaN            NaN            NaN            NaN  0.826610E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        99.9918                 NaN            NaN            NaN            NaN  0.823826E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        99.9919                 NaN            NaN            NaN            NaN  0.810528E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        99.9919                 NaN            NaN            NaN            NaN  0.806927E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        99.9920                 NaN            NaN            NaN            NaN  0.800140E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        99.9921                 NaN            NaN            NaN            NaN  0.794152E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        99.9921                 NaN            NaN            NaN            NaN  0.785736E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        99.9922                 NaN            NaN            NaN            NaN  0.779820E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        99.9923                 NaN            NaN            NaN            NaN  0.772619E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        2500.00        99.9923                 NaN            NaN            NaN            NaN  0.766519E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00        99.9924                 NaN            NaN            NaN            NaN  0.762908E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        2500.00        99.9925                 NaN            NaN            NaN            NaN  0.751039E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        2500.00        99.9919                 NaN            NaN            NaN            NaN  0.812025E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        2500.00        99.9932                 NaN            NaN            NaN            NaN  0.675003E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        2500.00        99.9927                 NaN            NaN            NaN            NaN  0.734799E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        99.9927                 NaN            NaN            NaN            NaN  0.727762E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        2500.00        99.9928                 NaN            NaN            NaN            NaN  0.723402E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        2500.00        99.6103                 NaN            NaN            NaN  0.382291       0.742302E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        2500.00        99.4452                 NaN            NaN            NaN  0.547264       0.753300E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        2500.00        99.4480                 NaN            NaN            NaN  0.544495       0.749648E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        98.2814                 NaN            NaN            NaN   1.69511       0.234660E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        2500.00        99.9976                 NaN            NaN            NaN            NaN  0.236890E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        2500.00       100.0000                 NaN            NaN            NaN  0.230038E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        2500.00        99.5405                 NaN            NaN            NaN  0.455591       0.386511E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        2500.00        99.1032                 NaN            NaN            NaN  0.324515       0.103877E-002  0.571263                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        98.7984                 NaN            NaN            NaN  0.141935       0.766320E-003   1.05894                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        2500.00        98.8143                 NaN            NaN            NaN  0.135483                 NaN   1.05021                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        2500.00        98.8258                 NaN            NaN            NaN  0.132445                 NaN   1.04175                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        98.8479                 NaN            NaN            NaN  0.127320                 NaN   1.02480                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        98.8620                 NaN            NaN            NaN  0.125273                 NaN   1.01270                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        98.8792                 NaN            NaN            NaN  0.122679                 NaN  0.998079                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        2500.00        98.8932                 NaN            NaN            NaN  0.119779                 NaN  0.987045                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        2500.00        98.9069                 NaN            NaN            NaN  0.116915                 NaN  0.976171                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        2500.00        98.9250                 NaN            NaN            NaN  0.115516                 NaN  0.959522                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        2500.00        98.8420                 NaN            NaN            NaN  0.123013                 NaN   1.03494                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00        99.5879                 NaN            NaN            NaN  0.422970E-001            NaN  0.369844                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00        98.4270                 NaN            NaN            NaN  0.164369                 NaN   1.40859                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        2500.00        98.9797                 NaN            NaN            NaN  0.104937                 NaN  0.915333                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        2500.00        98.7509                 NaN            NaN            NaN  0.124359                 NaN   1.12476                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        2500.00        99.2423                 NaN            NaN            NaN  0.837763E-001            NaN  0.673955                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        2500.00        99.0160                 NaN            NaN            NaN  0.917821E-001            NaN  0.892264                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        2500.00        99.0277                 NaN            NaN            NaN  0.950898E-001            NaN  0.877205                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        2500.00        99.0392                 NaN            NaN            NaN  0.927557E-001            NaN  0.868035                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00        99.0512                 NaN            NaN            NaN  0.792802E-001            NaN  0.869491                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        2500.00        99.0609                 NaN            NaN            NaN  0.107390                 NaN  0.831740                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        2500.00        99.0705                 NaN            NaN            NaN  0.823510E-001            NaN  0.847125                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
