|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4/LAR/LAR_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       O(HP)          an             Cpx(TH)        Cpx(TH)        Cpx(TH)        San(TH)        ilm            q             
  1363.49        500.000        99.2018       0.106521       0.235870       0.168848       0.286938                 NaN            NaN            NaN            NaN
  1362.48        500.000        99.2090       0.108547       0.234058       0.286114       0.162248                 NaN            NaN            NaN            NaN
  1361.48        500.000        99.2163       0.104795       0.231320       0.165264       0.282278                 NaN            NaN            NaN            NaN
  1360.48        500.000        99.1409       0.660068E-001  0.247407       0.283929       0.261807                 NaN            NaN            NaN            NaN
  1359.47        500.000        99.3110       0.146839       0.210107       0.548380E-001  0.277234                 NaN            NaN            NaN            NaN
  1358.47        500.000        99.2385       0.107416       0.225037       0.151037       0.277963                 NaN            NaN            NaN            NaN
  1357.46        500.000        99.2438       0.107807       0.223808       0.276852       0.147764                 NaN            NaN            NaN            NaN
  1356.46        500.000        99.2516       0.105529       0.220969       0.272873       0.149062                 NaN            NaN            NaN            NaN
  1355.46        500.000        99.2588       0.110935       0.219527       0.274304       0.136386                 NaN            NaN            NaN            NaN
  1354.45        500.000        99.2635       0.102313       0.217049       0.148280       0.268817                 NaN            NaN            NaN            NaN
  1353.45        500.000        99.2698       0.105900       0.215695       0.139847       0.268788                 NaN            NaN            NaN            NaN
  1352.44        500.000        99.2774       0.105967       0.213303       0.135776       0.267542                 NaN            NaN            NaN            NaN
  1351.44        500.000        99.2828       0.105982       0.211755       0.133473       0.266007                 NaN            NaN            NaN            NaN
  1350.43        500.000        99.2893       0.105864       0.209799       0.264391       0.130642                 NaN            NaN            NaN            NaN
  1349.43        500.000        99.2887       0.106347       0.210388       0.131843       0.262721                 NaN            NaN            NaN            NaN
  1348.43        500.000        99.3071       0.104324       0.204000       0.259183       0.125373                 NaN            NaN            NaN            NaN
  1347.42        500.000        99.3080       0.105081       0.204079       0.259652       0.123167                 NaN            NaN            NaN            NaN
  1346.42        500.000        99.3128       0.106181       0.202857       0.259382       0.118749                 NaN            NaN            NaN            NaN
  1345.41        500.000        99.3187       0.103286       0.200698       0.255057       0.122232                 NaN            NaN            NaN            NaN
  1344.41        500.000        99.3256       0.104288       0.198666       0.254695       0.116729                 NaN            NaN            NaN            NaN
  1343.41        500.000        99.3305       0.104252       0.197288       0.253533       0.114392                 NaN            NaN            NaN            NaN
  1342.40        500.000        99.3348       0.103106       0.195780       0.114720       0.251634                 NaN            NaN            NaN            NaN
  1341.40        500.000        99.3416       0.103221       0.193850       0.111056       0.250322                 NaN            NaN            NaN            NaN
  1340.39        500.000        99.3456       0.102619       0.192548       0.249260       0.109935                 NaN            NaN            NaN            NaN
  1339.39        500.000        99.6395       0.533569E-001  0.105924       0.649687E-001  0.136222                 NaN            NaN            NaN            NaN
  1338.39        500.000        99.0657       0.147464       0.273887       0.357325       0.155600                 NaN            NaN            NaN            NaN
  1337.38        500.000        99.3621       0.101334       0.187384       0.244364       0.104769                 NaN            NaN            NaN            NaN
  1336.38        500.000        99.3675       0.100531       0.185650       0.242798       0.103516                 NaN            NaN            NaN            NaN
  1335.37        500.000        99.3728       0.100197       0.184095       0.240637       0.102261                 NaN            NaN            NaN            NaN
  1334.37        500.000        99.3777       0.997311E-001  0.182549       0.239178       0.100804                 NaN            NaN            NaN            NaN
  1333.36        500.000        99.3829       0.989380E-001  0.180870       0.237975       0.993540E-001            NaN            NaN            NaN            NaN
  1332.36        500.000        99.3867       0.987075E-001  0.179688       0.237128       0.977785E-001            NaN            NaN            NaN            NaN
  1331.36        500.000        99.3926       0.975800E-001  0.177754       0.234472       0.976073E-001            NaN            NaN            NaN            NaN
  1330.35        500.000        99.3968       0.970442E-001  0.176425       0.961475E-001  0.233596                 NaN            NaN            NaN            NaN
  1329.35        500.000        99.3970       0.136743       0.181043       0.355132E-001  0.249706                 NaN            NaN            NaN            NaN
  1328.34        500.000        99.4047       0.559004E-001  0.169883       0.156114       0.213383                 NaN            NaN            NaN            NaN
  1327.34        500.000        99.4172       0.946238E-001  0.169411       0.901098E-001  0.228661                 NaN            NaN            NaN            NaN
  1326.34        500.000        99.4150       0.938610E-001  0.170529       0.929346E-001  0.227688                 NaN            NaN            NaN            NaN
  1325.33        500.000        99.4191       0.935934E-001  0.169267       0.226744       0.913345E-001            NaN            NaN            NaN            NaN
  1324.33        500.000        99.4240       0.926754E-001  0.167706       0.910336E-001  0.224581                 NaN            NaN            NaN            NaN
  1323.32        500.000        99.4281       0.914619E-001  0.166273       0.910766E-001  0.223108                 NaN            NaN            NaN            NaN
  1322.32        500.000        99.4324       0.909269E-001  0.164944       0.221575       0.901101E-001            NaN            NaN            NaN            NaN
  1321.32        500.000        99.4361       0.900890E-001  0.163731       0.220337       0.897660E-001            NaN            NaN            NaN            NaN
  1320.31        500.000        99.4401       0.888746E-001  0.162344       0.901240E-001  0.218545                 NaN            NaN            NaN            NaN
  1319.31        500.000        99.4447       0.882078E-001  0.160866       0.888387E-001  0.217383                 NaN            NaN            NaN            NaN
  1318.30        500.000        99.4483       0.884547E-001  0.159921       0.860084E-001  0.217331                 NaN            NaN            NaN            NaN
  1317.30        500.000        99.4536       0.856862E-001  0.157855       0.892625E-001  0.213634                 NaN            NaN            NaN            NaN
  1316.29        500.000        99.4559       0.854497E-001  0.157190       0.886620E-001  0.212750                 NaN            NaN            NaN            NaN
  1315.29        500.000        99.4610       0.867554E-001  0.155890       0.213685       0.826759E-001            NaN            NaN            NaN            NaN
  1314.29        500.000        99.4637       0.803966E-001  0.154146       0.947518E-001  0.206982                 NaN            NaN            NaN            NaN
  1313.28        500.000        99.4681       0.822929E-001  0.153164       0.883192E-001  0.208132                 NaN            NaN            NaN            NaN
  1312.28        500.000        99.4710       0.806234E-001  0.152174       0.205664       0.905545E-001            NaN            NaN            NaN            NaN
  1311.27        500.000        99.4760       0.805448E-001  0.150597       0.204984       0.878797E-001            NaN            NaN            NaN            NaN
  1310.27        500.000        99.4790       0.787437E-001  0.149495       0.202868       0.898600E-001            NaN            NaN            NaN            NaN
  1309.27        500.000        99.4824       0.782476E-001  0.148457       0.890633E-001  0.201856                 NaN            NaN            NaN            NaN
  1308.26        500.000        99.4865       0.770243E-001  0.147054       0.888771E-001  0.200589                 NaN            NaN            NaN            NaN
  1307.26        500.000        99.4892       0.752415E-001  0.146006       0.911963E-001  0.198331                 NaN            NaN            NaN            NaN
  1306.25        500.000        99.4933       0.750991E-001  0.145017       0.196236       0.903665E-001            NaN            NaN            NaN            NaN
  1305.25        500.000        99.4968       0.725245E-001  0.143416       0.194550       0.927223E-001            NaN            NaN            NaN            NaN
  1304.25        500.000        99.4994       0.717796E-001  0.142589       0.193534       0.926557E-001            NaN            NaN            NaN            NaN
  1303.24        500.000        99.5022       0.711976E-001  0.141689       0.194351       0.906124E-001            NaN            NaN            NaN            NaN
  1302.24        500.000        99.5027       0.691556E-001  0.141502       0.961134E-001  0.190483                 NaN            NaN            NaN            NaN
  1301.23        500.000        99.5121       0.672306E-001  0.138014       0.187662       0.949726E-001            NaN            NaN            NaN            NaN
  1300.23        500.000        99.5123       0.671646E-001  0.138339       0.187258       0.949862E-001            NaN            NaN            NaN            NaN
  1299.22        500.000        99.5153       0.651151E-001  0.137092       0.977225E-001  0.184723                 NaN            NaN            NaN            NaN
  1298.22        500.000        99.5180       0.640141E-001  0.136256       0.183281       0.984712E-001            NaN            NaN            NaN            NaN
  1297.22        500.000        99.5213       0.626661E-001  0.135169       0.997217E-001  0.181170                 NaN            NaN            NaN            NaN
  1296.21        500.000        99.5243       0.613945E-001  0.134158       0.100840       0.179338                 NaN            NaN            NaN            NaN
  1295.21        500.000        99.5271       0.598530E-001  0.133168       0.102505       0.177411                 NaN            NaN            NaN            NaN
  1294.20        500.000        99.5300       0.585547E-001  0.132193       0.175533       0.103711                 NaN            NaN            NaN            NaN
  1293.20        500.000        99.5326       0.571579E-001  0.131268       0.105090       0.173860                 NaN            NaN            NaN            NaN
  1292.20        500.000        99.5356       0.558660E-001  0.130344       0.171643       0.106564                 NaN            NaN            NaN            NaN
  1291.19        500.000        99.5379       0.535876E-001  0.129320       0.169374       0.109841                 NaN            NaN            NaN            NaN
  1290.19        500.000        99.5410       0.529135E-001  0.128479       0.167706       0.109947                 NaN            NaN            NaN            NaN
  1289.18        500.000        99.5436       0.514710E-001  0.127517       0.111892       0.165483                 NaN            NaN            NaN            NaN
  1288.18        500.000        99.5460       0.497064E-001  0.126630       0.163810       0.113879                 NaN            NaN            NaN            NaN
  1287.18        500.000        99.5487       0.483317E-001  0.125762       0.161398       0.115842                 NaN            NaN            NaN            NaN
  1286.17        500.000        99.5503       0.464663E-001  0.125096       0.159018       0.119081                 NaN            NaN            NaN            NaN
  1285.17        500.000        99.1108       0.348762E-001  0.172010       0.225835       0.188298                 NaN  0.268136                 NaN            NaN
  1284.16        500.000        92.8469                 NaN  0.853379        1.47030       0.750913                 NaN   4.07854                 NaN            NaN
  1283.16        500.000        93.2144                 NaN  0.813440       0.708219        1.40837                 NaN   3.85562                 NaN            NaN
  1282.15        500.000        93.5522                 NaN  0.776511        1.35256       0.667287                 NaN   3.65148                 NaN            NaN
  1281.15        500.000        93.8665                 NaN  0.742154        1.30427       0.625104                 NaN   3.46193                 NaN            NaN
  1280.15        500.000        94.1463                 NaN  0.711709       0.577988        1.27154                 NaN   3.29247                 NaN            NaN
  1279.14        500.000        94.4079       0.462479E-005  0.682975       0.527660        1.24632                 NaN   3.13509                 NaN            NaN
  1278.14        500.000        94.6579                 NaN  0.655494        1.23536       0.465878                 NaN   2.98533                 NaN            NaN
  1277.13        500.000        94.8847                 NaN  0.630538        1.25714       0.378288                 NaN   2.84929                 NaN            NaN
  1276.13        500.000        95.0896                 NaN  0.608297       0.142870        1.43347                 NaN   2.72576                 NaN            NaN
  1275.13        500.000        95.2955                 NaN  0.584403        1.51513                 NaN            NaN   2.60496                 NaN            NaN
  1274.12        500.000        95.4855                 NaN  0.562164        1.45915                 NaN            NaN   2.49316                 NaN            NaN
  1273.12        500.000        95.6623                 NaN  0.542312        1.40620                 NaN            NaN   2.38916                 NaN            NaN
  1272.11        500.000        95.8160                 NaN  0.524563        1.36218                 NaN            NaN   2.29725                 NaN            NaN
  1271.11        500.000        95.9846                 NaN  0.504882        1.31057                 NaN            NaN   2.19995                 NaN            NaN
  1270.11        500.000        96.1280                 NaN  0.488831        1.26709                 NaN            NaN   2.11608                 NaN            NaN
  1269.10        500.000        96.2660                 NaN  0.472156        1.22583                 NaN            NaN   2.03605                 NaN            NaN
  1268.10        500.000        96.3891                 NaN  0.458124        1.18909                 NaN            NaN   1.96364                 NaN            NaN
  1267.09        500.000        96.4587                 NaN  0.450326        1.15831                 NaN            NaN   1.92407       0.859383E-002            NaN
  1266.09        500.000        95.6452                 NaN  0.547933        1.30941                 NaN            NaN   2.37161       0.125794                 NaN
  1265.09        500.000        95.7673                 NaN  0.530717        1.26924                 NaN            NaN   2.30504       0.127754                 NaN
  1264.08        500.000        95.9323                 NaN  0.508854        1.22160                 NaN            NaN   2.21392       0.123339                 NaN
  1263.08        500.000        96.0950                 NaN  0.487543        1.17356                 NaN            NaN   2.12493       0.119009                 NaN
  1262.07        500.000        96.8267                 NaN  0.419261                 NaN            NaN            NaN   2.53248       0.221597                 NaN
  1261.07        500.000        95.7761                 NaN  0.508372        2.26813                 NaN            NaN   1.44740                 NaN            NaN
  1260.06        500.000        97.7155                 NaN  0.288844       0.448926                 NaN            NaN   1.45767       0.890972E-001            NaN
  1259.06        500.000        95.4318                 NaN  0.571924        1.64049                 NaN            NaN   2.24621       0.109556                 NaN
  1258.06        500.000        98.2871                 NaN  0.388850E-003            NaN            NaN            NaN   1.59435       0.118173                 NaN
  1257.05        500.000        97.9918       0.152644       0.443627                 NaN            NaN            NaN   1.30545       0.106454                 NaN
  1256.05        500.000        94.2498                 NaN  0.756708        2.74595                 NaN            NaN   2.19449       0.530781E-001            NaN
  1255.04        500.000        97.0570                 NaN  0.366832       0.891339                 NaN            NaN   1.59633       0.884734E-001            NaN
  1254.04        500.000        97.1454                 NaN  0.355553       0.865674                 NaN            NaN   1.54779       0.855681E-001            NaN
  1253.04        500.000        97.2281                 NaN  0.347267       0.843016                 NaN            NaN   1.50023       0.814282E-001            NaN
  1252.03        500.000        97.3073                 NaN  0.337525       0.820054                 NaN            NaN   1.45657       0.785905E-001            NaN
  1251.03        500.000        97.3787                 NaN  0.328688       0.799814                 NaN            NaN   1.41696       0.758569E-001            NaN
  1250.02        500.000        97.4622                 NaN  0.317938       0.773515                 NaN            NaN   1.37300       0.733785E-001            NaN
  1249.02        500.000        97.5142                 NaN  0.312721       0.762103                 NaN            NaN   1.34068       0.703084E-001            NaN
  1248.02        500.000        97.5879                 NaN  0.302601       0.738151                 NaN            NaN   1.30291       0.683987E-001            NaN
  1247.01        500.000        97.6528                 NaN  0.294229       0.718766                 NaN            NaN   1.26800       0.661923E-001            NaN
  1246.01        500.000        97.7083                 NaN  0.287009       0.703104                 NaN            NaN   1.23737       0.641728E-001            NaN
  1245.00        500.000        97.7682                 NaN  0.280150       0.685046                 NaN            NaN   1.20488       0.616710E-001            NaN
  1244.00        500.000        97.8208                 NaN  0.272798       0.669762                 NaN            NaN   1.17664       0.600300E-001            NaN
  1242.99        500.000        97.8784                 NaN  0.265358       0.651947                 NaN            NaN   1.14620       0.581399E-001            NaN
  1241.99        500.000        97.9273                 NaN  0.258844       0.637580                 NaN            NaN   1.11988       0.564130E-001            NaN
  1240.99        500.000        97.9775                 NaN  0.253170       0.622337                 NaN            NaN   1.09272       0.542654E-001            NaN
  1239.98        500.000        98.0209                 NaN  0.246346       0.609934                 NaN            NaN   1.06969       0.531472E-001            NaN
  1238.98        500.000        98.0702                 NaN  0.239938       0.594387                 NaN            NaN   1.04391       0.515387E-001            NaN
  1237.97        500.000        98.1117                 NaN  0.235352       0.582516                 NaN            NaN   1.02095       0.494588E-001            NaN
  1236.97        500.000        98.1491                 NaN  0.229743       0.572372                 NaN            NaN   1.00043       0.483161E-001            NaN
  1235.97        500.000        98.1937                 NaN  0.224134       0.558188                 NaN            NaN  0.977251       0.467333E-001            NaN
  1234.96        500.000        98.2358                 NaN  0.217884       0.544244                 NaN            NaN  0.956327       0.457197E-001            NaN
  1233.96        500.000        98.2700                 NaN  0.213892       0.535261                 NaN            NaN  0.936909       0.439805E-001            NaN
  1232.95        500.000        98.3065                 NaN  0.208872       0.524239                 NaN            NaN  0.917655       0.427637E-001            NaN
  1231.95        500.000        98.3396                 NaN  0.204769       0.515190                 NaN            NaN  0.899244       0.412340E-001            NaN
  1230.95        500.000        98.3741                 NaN  0.199400       0.504161                 NaN            NaN  0.881845       0.405214E-001            NaN
  1229.94        500.000        98.4068                 NaN  0.196093       0.495528                 NaN            NaN  0.862887       0.386480E-001            NaN
  1228.94        500.000        98.4424                 NaN  0.190678       0.483043                 NaN            NaN  0.845985       0.378927E-001            NaN
  1227.93        500.000        98.4743                 NaN  0.185951       0.472891                 NaN            NaN  0.829914       0.369759E-001            NaN
  1226.93        500.000        98.5012                 NaN  0.182912       0.465964                 NaN            NaN  0.814427       0.355456E-001            NaN
  1225.92        500.000        98.5300                 NaN  0.179023       0.457159                 NaN            NaN  0.799326       0.344750E-001            NaN
  1224.92        500.000        98.5596                 NaN  0.174147       0.448005                 NaN            NaN  0.784335       0.338733E-001            NaN
  1223.92        500.000        98.5906                 NaN  0.171155       0.438196                 NaN            NaN  0.767677       0.323617E-001            NaN
  1222.91        500.000        98.6157                 NaN  0.167853       0.431029                 NaN            NaN  0.754084       0.313281E-001            NaN
  1221.91        500.000        98.6470                 NaN  0.163386       0.419573                 NaN            NaN  0.739463       0.305692E-001            NaN
  1220.90        500.000        98.6638                 NaN  0.161366       0.417153                 NaN            NaN  0.728194       0.294470E-001            NaN
  1219.90        500.000        98.6917                 NaN  0.157825       0.407804                 NaN            NaN  0.714171       0.284805E-001            NaN
  1218.90        500.000        98.7162                 NaN  0.154234       0.400353                 NaN            NaN  0.701466       0.277477E-001            NaN
  1217.89        500.000        98.7419                 NaN  0.150465       0.391570                 NaN            NaN  0.688975       0.270831E-001            NaN
  1216.89        500.000        98.7662                 NaN  0.147383       0.384164                 NaN            NaN  0.676040       0.262504E-001            NaN
  1215.88        500.000        95.3938       0.661476E-005  0.550643        1.06605       0.896812E-005            NaN   2.87132       0.118152                 NaN
  1214.88        500.000        99.4453                 NaN            NaN  0.152118E-001  0.168922                 NaN  0.357601       0.129643E-001            NaN
  1213.88        500.000        99.2921                 NaN  0.186710       0.177860                 NaN            NaN  0.870587E-001  0.256249                 NaN
  1212.87        500.000        99.9605                 NaN  0.706567E-002  0.324461E-001            NaN            NaN            NaN            NaN            NaN
  1211.87        500.000        98.6602                 NaN  0.143063       0.478631                 NaN            NaN  0.718109                 NaN            NaN
  1210.86        500.000        99.6301                 NaN            NaN  0.969659E-001            NaN            NaN  0.272934                 NaN            NaN
  1209.86        500.000        93.1751       0.243325       0.844622       0.226912        1.66372                 NaN   3.84629                 NaN            NaN
  1208.85        500.000        99.6281                 NaN            NaN  0.187144                 NaN            NaN  0.184788                 NaN            NaN
  1207.85        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1206.85        500.000        99.9450       0.213913E-002  0.429762E-001  0.984004E-002            NaN            NaN            NaN            NaN            NaN
  1205.84        500.000        99.8079                 NaN            NaN  0.192120                 NaN            NaN            NaN            NaN            NaN
  1204.84        500.000        96.9294                 NaN  0.291182       0.167804       0.714642                 NaN   1.87079       0.262281E-001            NaN
  1203.83        500.000        99.9045       0.320213E-001  0.193199E-001            NaN            NaN            NaN  0.441838E-001            NaN            NaN
  1202.83        500.000        99.9516                 NaN            NaN  0.367744E-001            NaN            NaN  0.116299E-001            NaN            NaN
  1201.83        500.000        99.8986                 NaN  0.104506E-001  0.515035E-001            NaN            NaN  0.394776E-001            NaN            NaN
  1200.82        500.000        99.8555       0.348852E-001  0.121826E-001            NaN            NaN            NaN  0.914540E-001  0.601376E-002            NaN
  1199.82        500.000        99.7363                 NaN  0.362455E-001  0.980813E-001            NaN            NaN  0.129369                 NaN            NaN
  1198.81        500.000        99.8211                 NaN  0.126205E-001  0.725245E-002            NaN            NaN  0.149943       0.908971E-002            NaN
  1197.81        500.000        99.6149                 NaN  0.484100E-001  0.130545                 NaN            NaN  0.206118                 NaN            NaN
  1196.81        500.000        95.2607       0.185080       0.419619       0.423797       0.611329E-004            NaN   1.90965       0.852468E-002   1.79262     
  1195.80        500.000        94.5855                 NaN  0.408199       0.865412                 NaN            NaN   2.14278       0.846950E-001   1.91345     
  1194.80        500.000        92.6360                 NaN  0.570466        1.02355                 NaN            NaN   2.85016                 NaN   2.91980     
  1193.79        500.000        93.4297                 NaN  0.502687       0.891612       0.577616E-005            NaN   2.57011       0.371086E-001   2.56883     
  1192.79        500.000        89.3329                 NaN  0.828921        1.38549                 NaN            NaN   4.22896       0.651248E-001   4.15860     
  1191.79        500.000        86.3437                 NaN   1.02093       0.814794       0.802614                 NaN   5.52772       0.907554E-001   5.39952     
  1190.78        500.000        53.5908                 NaN   3.39734        5.40244                 NaN            NaN   18.9567       0.279999        18.3727     
  1189.78        500.000                 NaN            NaN   7.23757        8.94413        2.33507                 NaN   41.0739       0.593927        39.8154     
  1188.77        500.000                 NaN            NaN   7.23855        8.85247        2.42761                 NaN   41.0723       0.593546        39.8156     
  1187.77        500.000                 NaN            NaN   7.23956        8.75923        2.52174                 NaN   41.0706       0.593158        39.8157     
  1186.76        500.000                 NaN            NaN   7.24665        1.64865        9.65247                 NaN   41.0457       0.587069        39.8195     
  1185.76        500.000                 NaN            NaN   7.24688        10.0253        1.27554                 NaN   41.0457       0.587236        39.8194     
  1184.76        500.000                 NaN            NaN   7.24815        9.78139        1.52057                 NaN   41.0436       0.586744        39.8196     
  1183.75        500.000                 NaN            NaN   7.24944        9.53925        1.76384                 NaN   41.0415       0.586247        39.8197     
  1182.75        500.000                 NaN            NaN   7.24609        8.02997        3.25809                 NaN   41.0586       0.590345        39.8169     
  1181.74        500.000                 NaN            NaN   7.24719        7.92202        3.36704                 NaN   41.0568       0.589908        39.8170     
  1180.74        500.000                 NaN            NaN   7.24831        7.81254        3.47755                 NaN   41.0549       0.589465        39.8172     
  1179.74        500.000                 NaN            NaN   7.24943        7.70156        3.58957                 NaN   41.0531       0.589015        39.8174     
  1178.73        500.000                 NaN            NaN   7.25057        7.58918        3.70301                 NaN   41.0512       0.588559        39.8175     
  1177.73        500.000                 NaN            NaN   7.25304        7.26270        4.03280                 NaN   41.0460       0.587357        39.8181     
  1176.72        500.000                 NaN            NaN   7.25424        7.14129        4.15534                 NaN   41.0440       0.586874        39.8183     
  1175.72        500.000                 NaN            NaN   7.25545        7.01857        4.27919                 NaN   41.0419       0.586384        39.8185     
  1174.72        500.000                 NaN            NaN   7.25651        11.2987       0.490137E-004            NaN   41.0402       0.585987        39.8186     
  1173.71        500.000                 NaN            NaN   7.25757        7.10399        4.19568                 NaN   41.0384       0.585589        39.8188     
  1172.71        500.000                 NaN            NaN   7.25863        7.14962        4.15101                 NaN   41.0366       0.585187        39.8189     
  1171.70        500.000                 NaN            NaN   7.25970        7.19603        4.10558                 NaN   41.0348       0.584783        39.8191     
  1170.70        500.000                 NaN            NaN   7.26077        7.24316        4.05944                 NaN   41.0330       0.584374        39.8192     
  1169.69        500.000                 NaN            NaN   7.26185        7.29100        4.01260                 NaN   41.0312       0.583962        39.8194     
  1168.69        500.000                 NaN            NaN   7.26294        7.33951        3.96510                 NaN   41.0294       0.583546        39.8195     
  1167.69        500.000                 NaN            NaN   7.26403        7.38862        3.91702                 NaN   41.0275       0.583126        39.8197     
  1166.68        500.000                 NaN            NaN   7.26512        7.43853        3.86814                 NaN   41.0257       0.582702        39.8198     
  1165.68        500.000                 NaN            NaN   7.26622        7.48891        3.81880                 NaN   41.0238       0.582273        39.8200     
  1164.67        500.000                 NaN            NaN   7.26733        7.54005        3.76872                 NaN   41.0219       0.581841        39.8202     
  1163.67        500.000                 NaN            NaN   7.26844        7.59166        3.71818                 NaN   41.0200       0.581405        39.8203     
  1162.67        500.000                 NaN            NaN   7.26956        7.64385        3.66707                 NaN   41.0181       0.580964        39.8205     
  1161.66        500.000                 NaN            NaN   7.27069        7.69654        3.61548                 NaN   41.0161       0.580518        39.8207     
  1160.66        500.000                 NaN            NaN   7.27182        7.74969        3.56344                 NaN   41.0141       0.580067        39.8208     
  1159.65        500.000                 NaN            NaN   7.27296        7.80325        3.51101                 NaN   41.0122       0.579612        39.8210     
  1158.65        500.000                 NaN            NaN   7.27411        7.85722        3.45817                 NaN   41.0101       0.579152        39.8212     
  1157.65        500.000                 NaN            NaN   7.27527        7.91175        3.40480                 NaN   41.0081       0.578686        39.8214     
  1156.64        500.000                 NaN            NaN   7.27644        7.96645        3.35128                 NaN   41.0061       0.578213        39.8216     
  1155.64        500.000                 NaN            NaN   7.27759        8.05134        3.26755                 NaN   41.0040       0.577753        39.8217     
  1154.63        500.000                 NaN            NaN   7.27868        8.21916        3.10085                 NaN   41.0021       0.577324        39.8219     
  1153.63        500.000                 NaN            NaN   7.27976        8.38297        2.93816                 NaN   41.0001       0.576891        39.8221     
  1152.62        500.000                 NaN            NaN   7.28059        8.53683        2.78535                 NaN   40.9985       0.576518        39.8223     
