|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4/LAR/LAR_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       O(HP)          an             Cpx(TH)        Cpx(TH)        Cpx(TH)        San(TH)        ilm            q             
  1377.55        500.000        99.2159       0.768190E-001  0.269598       0.258079       0.179563                 NaN            NaN            NaN            NaN
  1376.54        500.000        99.1267       0.861341E-001  0.300325       0.198534       0.288318                 NaN            NaN            NaN            NaN
  1375.54        500.000        99.3276       0.676500E-001  0.231458       0.150835       0.222453                 NaN            NaN            NaN            NaN
  1374.53        500.000        99.2407       0.769754E-001  0.261517       0.251814       0.168967                 NaN            NaN            NaN            NaN
  1373.53        500.000        99.2486       0.775911E-001  0.259082       0.249985       0.164718                 NaN            NaN            NaN            NaN
  1372.52        500.000        99.2569       0.772849E-001  0.256356       0.247133       0.162292                 NaN            NaN            NaN            NaN
  1371.52        500.000        99.2652       0.772796E-001  0.253510       0.158695       0.245312                 NaN            NaN            NaN            NaN
  1370.52        500.000        99.2734       0.776578E-001  0.250967       0.243511       0.154514                 NaN            NaN            NaN            NaN
  1369.51        500.000        98.5745       0.158152       0.493648       0.290708       0.482999                 NaN            NaN            NaN            NaN
  1368.51        500.000        99.9968       0.142748E-002  0.172342E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1367.50        500.000        99.3030       0.733097E-001  0.239930       0.149674       0.234067                 NaN            NaN            NaN            NaN
  1366.50        500.000        99.3023       0.769436E-001  0.241172       0.236519       0.143065                 NaN            NaN            NaN            NaN
  1365.50        500.000        99.3082       0.770705E-001  0.239252       0.235546       0.139889                 NaN            NaN            NaN            NaN
  1364.49        500.000        99.3164       0.772330E-001  0.236649       0.233039       0.136714                 NaN            NaN            NaN            NaN
  1363.49        500.000        99.3233       0.771763E-001  0.234350       0.133686       0.231466                 NaN            NaN            NaN            NaN
  1362.48        500.000        99.3301       0.785247E-001  0.232407       0.230615       0.128343                 NaN            NaN            NaN            NaN
  1361.48        500.000        99.3369       0.756993E-001  0.229547       0.130594       0.227303                 NaN            NaN            NaN            NaN
  1360.48        500.000        99.2719       0.475983E-001  0.245383       0.228421       0.206715                 NaN            NaN            NaN            NaN
  1359.47        500.000        99.4200       0.105764       0.208216       0.432434E-001  0.222807                 NaN            NaN            NaN            NaN
  1358.47        500.000        99.3576       0.772565E-001  0.222898       0.119007       0.223223                 NaN            NaN            NaN            NaN
  1357.46        500.000        99.3625       0.774298E-001  0.221543       0.222152       0.116331                 NaN            NaN            NaN            NaN
  1356.46        500.000        99.3698       0.756773E-001  0.218598       0.218747       0.117225                 NaN            NaN            NaN            NaN
  1355.46        500.000        99.3767       0.794477E-001  0.217035       0.219704       0.107157                 NaN            NaN            NaN            NaN
  1354.45        500.000        99.3809       0.731679E-001  0.214452       0.116395       0.215110                 NaN            NaN            NaN            NaN
  1353.45        500.000        99.3869       0.756113E-001  0.212982       0.109663       0.214874                 NaN            NaN            NaN            NaN
  1352.44        500.000        99.3939       0.755550E-001  0.210488       0.106372       0.213692                 NaN            NaN            NaN            NaN
  1351.44        500.000        99.3990       0.754572E-001  0.208830       0.104463       0.212263                 NaN            NaN            NaN            NaN
  1350.43        500.000        99.4050       0.752652E-001  0.206770       0.210794       0.102157                 NaN            NaN            NaN            NaN
  1349.43        500.000        99.4050       0.754589E-001  0.207222       0.102977       0.209306                 NaN            NaN            NaN            NaN
  1348.43        500.000        99.4211       0.739295E-001  0.200802       0.206292       0.978389E-001            NaN            NaN            NaN            NaN
  1347.42        500.000        99.4223       0.743886E-001  0.200754       0.206463       0.960482E-001            NaN            NaN            NaN            NaN
  1346.42        500.000        99.4269       0.750661E-001  0.199426       0.206064       0.925052E-001            NaN            NaN            NaN            NaN
  1345.41        500.000        99.4323       0.729358E-001  0.197179       0.202445       0.951311E-001            NaN            NaN            NaN            NaN
  1344.41        500.000        99.4387       0.735150E-001  0.195060       0.201946       0.907623E-001            NaN            NaN            NaN            NaN
  1343.41        500.000        99.4433       0.733918E-001  0.193585       0.200851       0.888716E-001            NaN            NaN            NaN            NaN
  1342.40        500.000        99.4474       0.724603E-001  0.191985       0.890271E-001  0.199160                 NaN            NaN            NaN            NaN
  1341.40        500.000        99.4535       0.724668E-001  0.189972       0.861190E-001  0.197939                 NaN            NaN            NaN            NaN
  1340.39        500.000        99.4574       0.719246E-001  0.188576       0.196907       0.851494E-001            NaN            NaN            NaN            NaN
  1339.39        500.000        99.7014       0.372914E-001  0.103652       0.502402E-001  0.107400                 NaN            NaN            NaN            NaN
  1338.39        500.000        99.2266       0.103112       0.268033       0.281915       0.120360                 NaN            NaN            NaN            NaN
  1337.38        500.000        99.4726       0.707399E-001  0.183170       0.192525       0.809304E-001            NaN            NaN            NaN            NaN
  1336.38        500.000        99.4775       0.700777E-001  0.181360       0.191122       0.798933E-001            NaN            NaN            NaN            NaN
  1335.37        500.000        99.4824       0.697491E-001  0.179727       0.189259       0.788497E-001            NaN            NaN            NaN            NaN
  1334.37        500.000        99.4870       0.693293E-001  0.178106       0.187951       0.776594E-001            NaN            NaN            NaN            NaN
  1333.36        500.000        99.4917       0.686967E-001  0.176356       0.186819       0.764655E-001            NaN            NaN            NaN            NaN
  1332.36        500.000        99.4953       0.684263E-001  0.175093       0.185984       0.751858E-001            NaN            NaN            NaN            NaN
  1331.36        500.000        99.5006       0.675523E-001  0.173098       0.183737       0.749842E-001            NaN            NaN            NaN            NaN
  1330.35        500.000        99.5045       0.670875E-001  0.171696       0.737992E-001  0.182892                 NaN            NaN            NaN            NaN
  1329.35        500.000        99.5069       0.944298E-001  0.176075       0.272337E-001  0.195324                 NaN            NaN            NaN            NaN
  1328.34        500.000        99.5100       0.385404E-001  0.165117       0.119597       0.166746                 NaN            NaN            NaN            NaN
  1327.34        500.000        99.5228       0.651461E-001  0.164557       0.689719E-001  0.178527                 NaN            NaN            NaN            NaN
  1326.34        500.000        99.5212       0.645359E-001  0.165540       0.710753E-001  0.177618                 NaN            NaN            NaN            NaN
  1325.33        500.000        99.5250       0.642771E-001  0.164212       0.176705       0.697826E-001            NaN            NaN            NaN            NaN
  1324.33        500.000        99.5295       0.635561E-001  0.162595       0.694948E-001  0.174873                 NaN            NaN            NaN            NaN
  1323.32        500.000        99.5332       0.626339E-001  0.161104       0.694672E-001  0.173563                 NaN            NaN            NaN            NaN
  1322.32        500.000        99.5372       0.621897E-001  0.159717       0.172223       0.686686E-001            NaN            NaN            NaN            NaN
  1321.32        500.000        99.5406       0.615283E-001  0.158443       0.171094       0.683419E-001            NaN            NaN            NaN            NaN
  1320.31        500.000        99.5443       0.606118E-001  0.157002       0.685549E-001  0.169546                 NaN            NaN            NaN            NaN
  1319.31        500.000        99.5484       0.600842E-001  0.155475       0.675195E-001  0.168501                 NaN            NaN            NaN            NaN
  1318.30        500.000        99.5517       0.602226E-001  0.154466       0.653113E-001  0.168305                 NaN            NaN            NaN            NaN
  1317.30        500.000        99.5564       0.582152E-001  0.152375       0.677212E-001  0.165290                 NaN            NaN            NaN            NaN
  1316.29        500.000        99.5587       0.579818E-001  0.151638       0.672077E-001  0.164460                 NaN            NaN            NaN            NaN
  1315.29        500.000        99.5633       0.588035E-001  0.150291       0.165022       0.626111E-001            NaN            NaN            NaN            NaN
  1314.29        500.000        99.5657       0.544084E-001  0.148517       0.717032E-001  0.159718                 NaN            NaN            NaN            NaN
  1313.28        500.000        99.5697       0.556211E-001  0.147479       0.667798E-001  0.160460                 NaN            NaN            NaN            NaN
  1312.28        500.000        99.5724       0.544174E-001  0.146436       0.158393       0.684028E-001            NaN            NaN            NaN            NaN
  1311.27        500.000        99.5768       0.543068E-001  0.144829       0.157774       0.663374E-001            NaN            NaN            NaN            NaN
  1310.27        500.000        99.5795       0.530157E-001  0.143681       0.155988       0.677720E-001            NaN            NaN            NaN            NaN
  1309.27        500.000        99.5826       0.526155E-001  0.142596       0.671168E-001  0.155075                 NaN            NaN            NaN            NaN
  1308.26        500.000        99.5862       0.517338E-001  0.141162       0.669219E-001  0.153966                 NaN            NaN            NaN            NaN
  1307.26        500.000        99.5888       0.504647E-001  0.140069       0.686032E-001  0.152079                 NaN            NaN            NaN            NaN
  1306.25        500.000        99.5924       0.503131E-001  0.139036       0.150368       0.679316E-001            NaN            NaN            NaN            NaN
  1305.25        500.000        99.5955       0.485196E-001  0.137417       0.148924       0.696401E-001            NaN            NaN            NaN            NaN
  1304.25        500.000        99.5980       0.479598E-001  0.136542       0.148009       0.695313E-001            NaN            NaN            NaN            NaN
  1303.24        500.000        99.6005       0.475197E-001  0.135598       0.148468       0.679324E-001            NaN            NaN            NaN            NaN
  1302.24        500.000        99.6012       0.460680E-001  0.135337       0.720041E-001  0.145423                 NaN            NaN            NaN            NaN
  1301.23        500.000        99.6091       0.447534E-001  0.131921       0.143138       0.710951E-001            NaN            NaN            NaN            NaN
  1300.23        500.000        99.6094       0.446605E-001  0.132152       0.142701       0.710512E-001            NaN            NaN            NaN            NaN
  1299.22        500.000        99.6122       0.432351E-001  0.130882       0.730335E-001  0.140645                 NaN            NaN            NaN            NaN
  1298.22        500.000        99.6146       0.424529E-001  0.130007       0.139412       0.735351E-001            NaN            NaN            NaN            NaN
  1297.22        500.000        99.6175       0.415112E-001  0.128892       0.744126E-001  0.137691                 NaN            NaN            NaN            NaN
  1296.21        500.000        99.6202       0.406159E-001  0.127852       0.751915E-001  0.136187                 NaN            NaN            NaN            NaN
  1295.21        500.000        99.6227       0.395511E-001  0.126833       0.763685E-001  0.134592                 NaN            NaN            NaN            NaN
  1294.20        500.000        99.6253       0.386462E-001  0.125830       0.133051       0.772112E-001            NaN            NaN            NaN            NaN
  1293.20        500.000        99.6276       0.376789E-001  0.124876       0.781735E-001  0.131662                 NaN            NaN            NaN            NaN
  1292.20        500.000        99.6302       0.367840E-001  0.123924       0.129873       0.792083E-001            NaN            NaN            NaN            NaN
  1291.19        500.000        99.6323       0.352356E-001  0.122878       0.128031       0.815780E-001            NaN            NaN            NaN            NaN
  1290.19        500.000        99.6350       0.347588E-001  0.122008       0.126675       0.816035E-001            NaN            NaN            NaN            NaN
  1289.18        500.000        99.6373       0.337636E-001  0.121024       0.829826E-001  0.124891                 NaN            NaN            NaN            NaN
  1288.18        500.000        99.6394       0.325709E-001  0.120112       0.123499       0.843904E-001            NaN            NaN            NaN            NaN
  1287.18        500.000        99.6418       0.316328E-001  0.119220       0.121585       0.857844E-001            NaN            NaN            NaN            NaN
  1286.17        500.000        99.6433       0.303700E-001  0.118520       0.119665       0.881067E-001            NaN            NaN            NaN            NaN
  1285.17        500.000        99.2321       0.227746E-001  0.162930       0.167038       0.141631                 NaN  0.273520                 NaN            NaN
  1284.16        500.000        93.3524                 NaN  0.811811        1.09106       0.566298                 NaN   4.17846                 NaN            NaN
  1283.16        500.000        93.6998                 NaN  0.773670       0.533085        1.04395                 NaN   3.94945                 NaN            NaN
  1282.15        500.000        94.0190                 NaN  0.738389        1.00159       0.501343                 NaN   3.73966                 NaN            NaN
  1281.15        500.000        94.3160                 NaN  0.705551       0.964892       0.468725                 NaN   3.54480                 NaN            NaN
  1280.15        500.000        94.5806                 NaN  0.676438       0.432549       0.939842                 NaN   3.37053                 NaN            NaN
  1279.14        500.000        94.8278       0.297952E-005  0.648948       0.394113       0.920492                 NaN   3.20864                 NaN            NaN
  1278.14        500.000        95.0638                 NaN  0.622647       0.911788       0.347251                 NaN   3.05452                 NaN            NaN
  1277.13        500.000        95.2779                 NaN  0.598750       0.927479       0.281344                 NaN   2.91448                 NaN            NaN
  1276.13        500.000        95.4717                 NaN  0.577438       0.106007        1.05760                 NaN   2.78728                 NaN            NaN
  1275.13        500.000        95.6654                 NaN  0.554552        1.11715                 NaN            NaN   2.66285                 NaN            NaN
  1274.12        500.000        95.8444                 NaN  0.533247        1.07466                 NaN            NaN   2.54768                 NaN            NaN
  1273.12        500.000        96.0109                 NaN  0.514214        1.03434                 NaN            NaN   2.44050                 NaN            NaN
  1272.11        500.000        96.1563                 NaN  0.497187        1.00077                 NaN            NaN   2.34576                 NaN            NaN
  1271.11        500.000        96.3145                 NaN  0.478325       0.961725                 NaN            NaN   2.24550                 NaN            NaN
  1270.11        500.000        96.4494                 NaN  0.462917       0.928668                 NaN            NaN   2.15901                 NaN            NaN
  1269.10        500.000        96.5790                 NaN  0.446926       0.897542                 NaN            NaN   2.07648                 NaN            NaN
  1268.10        500.000        96.6952                 NaN  0.433447       0.869530                 NaN            NaN   2.00178                 NaN            NaN
  1267.09        500.000        96.7625                 NaN  0.425880       0.846267                 NaN            NaN   1.96061       0.474145E-002            NaN
  1266.09        500.000        96.0377                 NaN  0.518232       0.957700                 NaN            NaN   2.41699       0.694091E-001            NaN
  1265.09        500.000        96.1536                 NaN  0.501468       0.927531                 NaN            NaN   2.34699       0.704218E-001            NaN
  1264.08        500.000        96.3082                 NaN  0.480322       0.891575                 NaN            NaN   2.25202       0.679187E-001            NaN
  1263.08        500.000        96.4599                 NaN  0.459737       0.855482                 NaN            NaN   2.15938       0.654664E-001            NaN
  1262.07        500.000        96.9146                 NaN  0.394711                 NaN            NaN            NaN   2.56896       0.121701                 NaN
  1261.07        500.000        96.3958                 NaN  0.479751        1.65234                 NaN            NaN   1.47215                 NaN            NaN
  1260.06        500.000        97.8804                 NaN  0.271262       0.324094                 NaN            NaN   1.47545       0.488105E-001            NaN
  1259.06        500.000        95.9331                 NaN  0.538065        1.19090                 NaN            NaN   2.27778       0.601246E-001            NaN
  1258.06        500.000        98.3235                 NaN  0.364643E-003            NaN            NaN            NaN   1.61146       0.646421E-001            NaN
  1257.05        500.000        98.1130       0.932437E-001  0.416012                 NaN            NaN            NaN   1.31951       0.582314E-001            NaN
  1256.05        500.000        95.0405                 NaN  0.711920        1.99281                 NaN            NaN   2.22564       0.291286E-001            NaN
  1255.04        500.000        97.3575                 NaN  0.342987       0.642188                 NaN            NaN   1.60906       0.482523E-001            NaN
  1254.04        500.000        97.4398                 NaN  0.332108       0.622862                 NaN            NaN   1.55863       0.466204E-001            NaN
  1253.04        500.000        97.5172                 NaN  0.324042       0.605176                 NaN            NaN   1.50927       0.443197E-001            NaN
  1252.03        500.000        97.5909                 NaN  0.314634       0.587817                 NaN            NaN   1.46394       0.427315E-001            NaN
  1251.03        500.000        97.6575                 NaN  0.306088       0.572404                 NaN            NaN   1.42275       0.412032E-001            NaN
  1250.02        500.000        97.7343                 NaN  0.295776       0.552852                 NaN            NaN   1.37726       0.398159E-001            NaN
  1249.02        500.000        97.7841                 NaN  0.290636       0.543552                 NaN            NaN   1.34357       0.381118E-001            NaN
  1248.02        500.000        97.8517                 NaN  0.280944       0.525876                 NaN            NaN   1.30443       0.370383E-001            NaN
  1247.01        500.000        97.9117                 NaN  0.272897       0.511367                 NaN            NaN   1.26827       0.358071E-001            NaN
  1246.01        500.000        97.9634                 NaN  0.265936       0.499498                 NaN            NaN   1.23644       0.346797E-001            NaN
  1245.00        500.000        98.0187                 NaN  0.259321       0.485879                 NaN            NaN   1.20283       0.332939E-001            NaN
  1244.00        500.000        98.0674                 NaN  0.252265       0.474411                 NaN            NaN   1.17353       0.323754E-001            NaN
  1242.99        500.000        98.1203                 NaN  0.245141       0.461198                 NaN            NaN   1.14206       0.313244E-001            NaN
  1241.99        500.000        98.1656                 NaN  0.238888       0.450406                 NaN            NaN   1.11478       0.303637E-001            NaN
  1240.99        500.000        98.2118                 NaN  0.233422       0.438845                 NaN            NaN   1.08673       0.291787E-001            NaN
  1239.98        500.000        98.2519                 NaN  0.226909       0.429825                 NaN            NaN   1.06282       0.285492E-001            NaN
  1238.98        500.000        98.2970                 NaN  0.220791       0.418313                 NaN            NaN   1.03624       0.276578E-001            NaN
  1237.97        500.000        98.3355                 NaN  0.216361       0.409139                 NaN            NaN   1.01252       0.265157E-001            NaN
  1236.97        500.000        98.3702                 NaN  0.211002       0.401654                 NaN            NaN  0.991239       0.258778E-001            NaN
  1235.97        500.000        98.4108                 NaN  0.205652       0.391134                 NaN            NaN  0.967381       0.250055E-001            NaN
  1234.96        500.000        98.4490                 NaN  0.199726       0.381048                 NaN            NaN  0.945804       0.244394E-001            NaN
  1233.96        500.000        98.4807                 NaN  0.195881       0.374142                 NaN            NaN  0.925758       0.234873E-001            NaN
  1232.95        500.000        98.5142                 NaN  0.191104       0.365981                 NaN            NaN  0.905910       0.228156E-001            NaN
  1231.95        500.000        98.5448                 NaN  0.187174       0.359081                 NaN            NaN  0.886924       0.219785E-001            NaN
  1230.95        500.000        98.5762                 NaN  0.182095       0.351192                 NaN            NaN  0.868974       0.215781E-001            NaN
  1229.94        500.000        98.6065                 NaN  0.178908       0.344477                 NaN            NaN  0.849549       0.205611E-001            NaN
  1228.94        500.000        98.6383                 NaN  0.173806       0.335550                 NaN            NaN  0.832171       0.201402E-001            NaN
  1227.93        500.000        98.6672                 NaN  0.169342       0.328189                 NaN            NaN  0.815646       0.196347E-001            NaN
  1226.93        500.000        98.6921                 NaN  0.166423       0.322856                 NaN            NaN  0.799724       0.188578E-001            NaN
  1225.92        500.000        98.7184                 NaN  0.162736       0.316358                 NaN            NaN  0.784219       0.182729E-001            NaN
  1224.92        500.000        98.7452                 NaN  0.158161       0.309849                 NaN            NaN  0.768839       0.179376E-001            NaN
  1223.92        500.000        98.7732                 NaN  0.155304       0.302471                 NaN            NaN  0.751859       0.171215E-001            NaN
  1222.91        500.000        98.7962                 NaN  0.152173       0.297167                 NaN            NaN  0.737924       0.165597E-001            NaN
  1221.91        500.000        98.8239                 NaN  0.147992       0.288959                 NaN            NaN  0.723005       0.161440E-001            NaN
  1220.90        500.000        98.8401                 NaN  0.146036       0.286891                 NaN            NaN  0.711398       0.155377E-001            NaN
  1219.90        500.000        98.8650                 NaN  0.142705       0.280124                 NaN            NaN  0.697111       0.150143E-001            NaN
  1218.90        500.000        98.8872                 NaN  0.139338       0.274737                 NaN            NaN  0.684135       0.146151E-001            NaN
  1217.89        500.000        98.9100                 NaN  0.135815       0.268505                 NaN            NaN  0.671402       0.142525E-001            NaN
  1216.89        500.000        98.9319                 NaN  0.132921       0.263097                 NaN            NaN  0.658263       0.138024E-001            NaN
  1215.88        500.000        95.9086       0.401315E-005  0.497268       0.731731       0.628049E-005            NaN   2.80017       0.622061E-001            NaN
  1214.88        500.000        99.5203                 NaN            NaN  0.101752E-001  0.115672                 NaN  0.347079       0.679196E-002            NaN
  1213.88        500.000        99.4917                 NaN  0.167697       0.121972                 NaN            NaN  0.844709E-001  0.134177                 NaN
  1212.87        500.000        99.9715                 NaN  0.633337E-002  0.221761E-001            NaN            NaN            NaN            NaN            NaN
  1211.87        500.000        98.8483                 NaN  0.128354       0.327621                 NaN            NaN  0.695705                 NaN            NaN
  1210.86        500.000        99.6699                 NaN            NaN  0.661000E-001            NaN            NaN  0.264030                 NaN            NaN
  1209.86        500.000        94.0705       0.140111       0.759690       0.156582        1.13671                 NaN   3.73636                 NaN            NaN
  1208.85        500.000        99.6961                 NaN            NaN  0.126034                 NaN            NaN  0.177867                 NaN            NaN
  1207.85        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1206.85        500.000        99.9538       0.121593E-002  0.382736E-001  0.669697E-002            NaN            NaN            NaN            NaN            NaN
  1205.84        500.000        99.8702                 NaN            NaN  0.129763                 NaN            NaN            NaN            NaN            NaN
  1204.84        500.000        97.3240                 NaN  0.259703       0.115076       0.483783                 NaN   1.80384       0.136360E-001            NaN
  1203.83        500.000        99.9223       0.181312E-001  0.171624E-001            NaN            NaN            NaN  0.424188E-001            NaN            NaN
  1202.83        500.000        99.9638                 NaN            NaN  0.250439E-001            NaN            NaN  0.111691E-001            NaN            NaN
  1201.83        500.000        99.9177                 NaN  0.928213E-002  0.350767E-001            NaN            NaN  0.379116E-001            NaN            NaN
  1200.82        500.000        99.8785       0.197688E-001  0.108190E-001            NaN            NaN            NaN  0.877519E-001  0.311298E-002            NaN
  1199.82        500.000        99.7778                 NaN  0.321873E-001  0.658770E-001            NaN            NaN  0.124109                 NaN            NaN
  1198.81        500.000        99.8354                 NaN  0.112039E-001  0.491564E-002            NaN            NaN  0.143824       0.470344E-002            NaN
  1197.81        500.000        99.6727                 NaN  0.429811E-001  0.865145E-001            NaN            NaN  0.197796                 NaN            NaN
  1196.81        500.000        95.6816       0.105232       0.373834       0.284836       0.405219E-004            NaN   1.83844       0.442651E-002   1.71154     
  1195.80        500.000        95.1110                 NaN  0.363754       0.589546                 NaN            NaN   2.06434       0.439894E-001   1.82742     
  1194.80        500.000        93.2552                 NaN  0.508851       0.694740                 NaN            NaN   2.74986                 NaN   2.79132     
  1193.79        500.000        93.9941                 NaN  0.447987       0.606025       0.387708E-005            NaN   2.47894       0.192746E-001   2.45362     
  1192.79        500.000        90.2040                 NaN  0.741097       0.939821                 NaN            NaN   4.09616       0.339348E-001   3.98494     
  1191.79        500.000        87.3798                 NaN  0.914651       0.557405       0.544589                 NaN   5.37128       0.473876E-001   5.18488     
  1190.78        500.000        55.8067                 NaN   3.13071        3.78784                 NaN            NaN   18.9773       0.150379        18.1471     
  1189.78        500.000                 NaN            NaN   6.99328        6.58428        1.70400                 NaN   43.1477       0.334458        41.2363     
  1188.77        500.000                 NaN            NaN   6.99421        6.51708        1.77181                 NaN   43.1455       0.334238        41.2372     
  1187.77        500.000                 NaN            NaN   6.99516        6.44872        1.84081                 NaN   43.1433       0.334014        41.2380     
  1186.76        500.000                 NaN            NaN   7.00216        1.20683        7.09883                 NaN   43.1179       0.330588        41.2437     
  1185.76        500.000                 NaN            NaN   7.00230        7.37470       0.931421                 NaN   43.1169       0.330674        41.2440     
  1184.76        500.000                 NaN            NaN   7.00350        7.19649        1.11052                 NaN   43.1143       0.330391        41.2448     
  1183.75        500.000                 NaN            NaN   7.00472        7.01952        1.28838                 NaN   43.1116       0.330105        41.2457     
  1182.75        500.000                 NaN            NaN   7.00133        5.91519        2.38003                 NaN   43.1283       0.332401        41.2427     
  1181.74        500.000                 NaN            NaN   7.00237        5.83594        2.46000                 NaN   43.1259       0.332150        41.2436     
  1180.74        500.000                 NaN            NaN   7.00342        5.75555        2.54114                 NaN   43.1235       0.331895        41.2445     
  1179.74        500.000                 NaN            NaN   7.00448        5.67405        2.62340                 NaN   43.1211       0.331636        41.2453     
  1178.73        500.000                 NaN            NaN   7.00556        5.59151        2.70671                 NaN   43.1186       0.331374        41.2462     
  1177.73        500.000                 NaN            NaN   7.00791        5.35310        2.94811                 NaN   43.1127       0.330691        41.2475     
  1176.72        500.000                 NaN            NaN   7.00905        5.26387        3.03816                 NaN   43.1101       0.330413        41.2484     
  1175.72        500.000                 NaN            NaN   7.01019        5.17367        3.12920                 NaN   43.1075       0.330132        41.2493     
  1174.72        500.000                 NaN            NaN   7.01119        8.30355       0.361135E-004            NaN   43.1052       0.329903        41.2501     
  1173.71        500.000                 NaN            NaN   7.01217        5.23656        3.06788                 NaN   43.1028       0.329673        41.2509     
  1172.71        500.000                 NaN            NaN   7.01317        5.27016        3.03508                 NaN   43.1004       0.329441        41.2517     
  1171.70        500.000                 NaN            NaN   7.01417        5.30433        3.00172                 NaN   43.0980       0.329207        41.2525     
  1170.70        500.000                 NaN            NaN   7.01517        5.33904        2.96783                 NaN   43.0956       0.328971        41.2534     
  1169.69        500.000                 NaN            NaN   7.01618        5.37427        2.93343                 NaN   43.0932       0.328733        41.2542     
  1168.69        500.000                 NaN            NaN   7.01719        5.41000        2.89854                 NaN   43.0908       0.328493        41.2550     
  1167.69        500.000                 NaN            NaN   7.01821        5.44617        2.86322                 NaN   43.0883       0.328251        41.2558     
  1166.68        500.000                 NaN            NaN   7.01924        5.48294        2.82732                 NaN   43.0859       0.328007        41.2566     
  1165.68        500.000                 NaN            NaN   7.02027        5.52006        2.79108                 NaN   43.0834       0.327759        41.2575     
  1164.67        500.000                 NaN            NaN   7.02131        5.55774        2.75429                 NaN   43.0809       0.327511        41.2583     
  1163.67        500.000                 NaN            NaN   7.02235        5.59577        2.71716                 NaN   43.0783       0.327259        41.2591     
  1162.67        500.000                 NaN            NaN   7.02340        5.63423        2.67962                 NaN   43.0758       0.327005        41.2600     
  1161.66        500.000                 NaN            NaN   7.02445        5.67306        2.64171                 NaN   43.0732       0.326748        41.2608     
  1160.66        500.000                 NaN            NaN   7.02552        5.71223        2.60348                 NaN   43.0706       0.326488        41.2616     
  1159.65        500.000                 NaN            NaN   7.02659        5.75171        2.56496                 NaN   43.0680       0.326227        41.2625     
  1158.65        500.000                 NaN            NaN   7.02767        5.79149        2.52615                 NaN   43.0654       0.325962        41.2633     
  1157.65        500.000                 NaN            NaN   7.02875        5.83169        2.48693                 NaN   43.0628       0.325694        41.2642     
  1156.64        500.000                 NaN            NaN   7.02984        5.87202        2.44761                 NaN   43.0601       0.325422        41.2650     
