|6.6.6
Archiving\03_Data\fracLP/QFM_m0.5/GRV/GRV_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       melt(TH)       pxmn           Sp(TH)         Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        q              ilm           
  1967.42        500.000        99.1688                 NaN  0.831230                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.91        500.000        99.1688                 NaN  0.831228                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1962.41        500.000        99.1688                 NaN  0.831226                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1959.90        500.000        99.1688                 NaN  0.831224                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1957.39        500.000        99.1688                 NaN  0.831222                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1954.89        500.000        99.1688                 NaN  0.831221                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1952.38        500.000        99.1688                 NaN  0.831219                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1949.87        500.000        99.1688                 NaN  0.831217                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1947.37        500.000        99.1688                 NaN  0.831215                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        500.000        99.1688                 NaN  0.831213                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        500.000        99.1688                 NaN  0.831211                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        500.000        99.1688                 NaN  0.831209                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        500.000        99.1688                 NaN  0.831208                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        500.000        99.1688                 NaN  0.831205                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        500.000        99.1688                 NaN  0.831203                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        500.000        99.1688                 NaN  0.831201                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        500.000        99.1688                 NaN  0.831199                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        500.000        99.1688                 NaN  0.831196                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        500.000        99.1688                 NaN  0.831194                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        500.000        99.1688                 NaN  0.831192                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        500.000        99.1688                 NaN  0.831190                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        500.000        99.1688                 NaN  0.831188                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        500.000        99.1688                 NaN  0.831186                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        500.000        99.1688                 NaN  0.831183                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        500.000        99.1688                 NaN  0.831181                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        500.000        99.1688                 NaN  0.831179                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        500.000        99.1688                 NaN  0.831177                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        500.000        99.1688                 NaN  0.831174                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        500.000        99.1688                 NaN  0.831172                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        500.000        99.1688                 NaN  0.831170                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        500.000        99.1688                 NaN  0.831167                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        500.000        99.1688                 NaN  0.831165                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        500.000        99.1688                 NaN  0.831163                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        500.000        99.1688                 NaN  0.831160                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000        99.1688                 NaN  0.831158                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        99.1688                 NaN  0.831155                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        99.1688                 NaN  0.831153                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        99.1688                 NaN  0.831150                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        99.1689                 NaN  0.831148                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        99.1689                 NaN  0.831145                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        99.1689                 NaN  0.831143                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        99.1689                 NaN  0.831140                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        99.1689                 NaN  0.831138                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        99.1689                 NaN  0.831135                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        99.1689                 NaN  0.831133                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.1689                 NaN  0.831130                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        99.1689                 NaN  0.831127                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        99.1689                 NaN  0.831124                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        99.1689                 NaN  0.831122                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        99.1689                 NaN  0.831119                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        99.1689                 NaN  0.831116                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        99.1689                 NaN  0.831113                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        99.1689                 NaN  0.831110                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000        99.1689                 NaN  0.831108                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        99.1689                 NaN  0.831105                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000        99.1689                 NaN  0.831102                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        99.1689                 NaN  0.831099                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000        99.1689                 NaN  0.831096                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        500.000        99.1689                 NaN  0.831093                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        99.1689                 NaN  0.831090                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        99.1685                 NaN  0.831087       0.391704E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        99.1512                 NaN  0.831087       0.177275E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        99.1509                 NaN  0.831230       0.179144E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        99.1511                 NaN  0.831376       0.175016E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        99.1510                 NaN  0.831517       0.175210E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        99.1509                 NaN  0.831659       0.174167E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        99.1509                 NaN  0.831800       0.172629E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        99.1509                 NaN  0.831940       0.171363E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        99.1509                 NaN  0.832079       0.170049E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        99.1509                 NaN  0.832217       0.169078E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        99.1509                 NaN  0.832354       0.167732E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        99.1508                 NaN  0.832489       0.166777E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        99.1509                 NaN  0.832624       0.164986E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        99.1508                 NaN  0.832758       0.164078E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        99.1508                 NaN  0.832890       0.162943E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        99.1508                 NaN  0.833022       0.161788E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        99.1508                 NaN  0.833153       0.160621E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        99.1420                 NaN  0.833281       0.247210E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        99.1594                 NaN  0.833485       0.711377E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        99.1546                 NaN  0.833541       0.118937E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        99.1471                 NaN  0.833635       0.192204E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        99.1506                 NaN  0.833791       0.156255E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        99.1508                 NaN  0.833917       0.152368E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        99.1642                 NaN  0.834045       0.173231E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        99.1373                 NaN  0.834050       0.286273E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        99.1507                 NaN  0.834284       0.150303E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        99.1507                 NaN  0.834406       0.148676E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        99.1506                 NaN  0.834525       0.148427E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        99.1507                 NaN  0.834645       0.146298E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        98.6591                 NaN  0.834774       0.139632E-001            NaN  0.492151                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        99.3480                 NaN            NaN  0.139162E-001            NaN  0.638080                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        99.3423                 NaN            NaN  0.139335E-001            NaN  0.643744                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        99.3409                 NaN            NaN  0.138397E-001            NaN  0.645276                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        99.3319                 NaN            NaN  0.139171E-001            NaN  0.654189                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        99.3292                 NaN            NaN  0.138458E-001            NaN  0.656980                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        99.3225                 NaN            NaN  0.138762E-001            NaN  0.663631                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        99.3210                 NaN            NaN  0.137942E-001            NaN  0.665166                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        99.3068                 NaN            NaN  0.139668E-001            NaN  0.679266                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        99.3073                 NaN            NaN  0.138410E-001            NaN  0.678873                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        99.3011                 NaN            NaN  0.138261E-001            NaN  0.685043                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        99.2949                 NaN            NaN  0.138524E-001            NaN  0.691210                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        99.2889                 NaN            NaN  0.138463E-001            NaN  0.697300                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        99.2836                 NaN            NaN  0.138319E-001            NaN  0.702543                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        99.2762                 NaN            NaN  0.138769E-001            NaN  0.709885                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        99.2726                 NaN            NaN  0.138239E-001            NaN  0.713620                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        99.2665                 NaN            NaN  0.138134E-001            NaN  0.719721                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        98.6688                 NaN            NaN  0.247976E-001            NaN   1.30640                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000        99.8395                 NaN            NaN  0.285387E-002            NaN  0.157695                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        99.2850                 NaN            NaN  0.131426E-001            NaN  0.701894                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        99.2067                 NaN            NaN  0.144970E-001            NaN  0.778817                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000        99.2372                 NaN            NaN  0.138437E-001            NaN  0.749001                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000        99.2323                 NaN            NaN  0.138222E-001            NaN  0.753895                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000        99.2399                 NaN            NaN  0.135909E-001            NaN  0.746551                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        99.8834                 NaN            NaN  0.207944E-002            NaN  0.114556                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000        98.5429                 NaN            NaN  0.257389E-001            NaN   1.43134                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        99.2094                 NaN            NaN  0.138512E-001            NaN  0.776700                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        99.1996                 NaN            NaN  0.139490E-001            NaN  0.786443                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        99.2095                 NaN            NaN  0.136718E-001            NaN  0.776843                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        99.1962                 NaN            NaN  0.138192E-001            NaN  0.789962                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        99.1898                 NaN            NaN  0.138615E-001            NaN  0.796328                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        99.1848                 NaN            NaN  0.138538E-001            NaN  0.801392                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000        99.1890                 NaN            NaN  0.137370E-001            NaN  0.797231                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000        99.1795                 NaN            NaN  0.138203E-001            NaN  0.806717                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        500.000        99.1739                 NaN            NaN  0.138527E-001            NaN  0.812202                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        500.000        99.1752                 NaN            NaN  0.137741E-001            NaN  0.811028                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        500.000        99.1698                 NaN            NaN  0.138153E-001            NaN  0.816371                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        500.000        99.1663                 NaN            NaN  0.138381E-001            NaN  0.819895                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        500.000        98.8052                 NaN            NaN  0.196872E-001            NaN   1.17511                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        500.000        99.5231                 NaN            NaN  0.787782E-002            NaN  0.468992                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        500.000        99.1589                 NaN            NaN  0.138265E-001            NaN  0.827255                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        500.000        99.1607                 NaN            NaN  0.137470E-001            NaN  0.825522                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        500.000        99.1567                 NaN            NaN  0.137938E-001            NaN  0.829528                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        500.000        99.1570                 NaN            NaN  0.137562E-001            NaN  0.829227                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        500.000        99.1538                 NaN            NaN  0.138119E-001            NaN  0.832398                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        500.000        99.1578                 NaN            NaN  0.137027E-001            NaN  0.828460                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        500.000        99.1539                 NaN            NaN  0.137640E-001            NaN  0.832315                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        500.000        98.9694                 NaN            NaN  0.171364E-001            NaN   1.01348                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        500.000        99.3373                 NaN            NaN  0.103042E-001            NaN  0.652406                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        500.000        98.8569                 NaN            NaN  0.120989E-001            NaN  0.652431       0.478524                 NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        500.000        97.8247                 NaN            NaN  0.647540E-002            NaN  0.368482E-001   2.13197                 NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        500.000        97.8575                 NaN            NaN  0.606443E-002            NaN  0.305137E-001   2.10591                 NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        500.000        97.8934                 NaN            NaN  0.566858E-002            NaN  0.247686E-001   2.07616                 NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        500.000        97.9276                 NaN            NaN  0.544337E-002            NaN  0.186817E-001   2.04831                 NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        500.000        97.9588                 NaN            NaN  0.507413E-002            NaN  0.127455E-001   2.02343                 NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        500.000        97.9975                 NaN            NaN  0.477841E-002            NaN  0.738332E-002   1.99030                 NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        500.000        98.0270                 NaN            NaN  0.441330E-002            NaN  0.184139E-002   1.96673                 NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        500.000        98.0520                 NaN            NaN  0.416944E-002            NaN            NaN   1.94386                 NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        500.000        98.0980                 NaN            NaN  0.425131E-002            NaN  0.589910E-001   1.83879                 NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        500.000        98.1202                 NaN            NaN  0.360194E-002            NaN            NaN   1.87616                 NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        500.000        98.1397                 NaN            NaN  0.349911E-002            NaN  0.915076E-002   1.84761                 NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        500.000        98.1822                 NaN            NaN  0.362023E-002            NaN  0.438229E-001   1.77032                 NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        98.2007                 NaN            NaN  0.284283E-002            NaN            NaN   1.79647                 NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        500.000        98.2227                 NaN            NaN  0.257420E-002            NaN            NaN   1.77474                 NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        500.000        98.2509                 NaN            NaN  0.244919E-002            NaN            NaN   1.74664                 NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        500.000        98.2717                 NaN            NaN  0.221979E-002            NaN            NaN   1.72607                 NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        500.000        98.2971                 NaN            NaN  0.191924E-002            NaN            NaN   1.70094                 NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000        98.3209                 NaN            NaN  0.160151E-002            NaN            NaN   1.67746                 NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        500.000        99.2001                 NaN            NaN  0.634933E-003            NaN            NaN  0.799251                 NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        500.000        97.4897                 NaN            NaN  0.153803E-002            NaN            NaN   2.50872                 NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        500.000        98.3973                 NaN            NaN  0.902209E-003            NaN            NaN   1.60176                 NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        500.000        98.4029                 NaN            NaN  0.693387E-003            NaN            NaN   1.59642                 NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        500.000        98.4213                 NaN            NaN  0.543333E-003            NaN            NaN   1.57820                 NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000        98.4373                 NaN            NaN  0.235496E-003            NaN            NaN   1.56247                 NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        500.000        98.4591                 NaN            NaN  0.108408E-004            NaN            NaN   1.54088                 NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        500.000        98.4743                 NaN            NaN  0.218123E-003            NaN  0.629483E-005   1.52552                 NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        500.000        98.4902                 NaN            NaN  0.583469E-003            NaN            NaN   1.50919                 NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000        98.5092                 NaN            NaN            NaN            NaN            NaN   1.49079                 NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        500.000        98.5233                 NaN            NaN            NaN            NaN            NaN   1.47670                 NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        500.000        98.5409                 NaN            NaN  0.274198E-002            NaN            NaN   1.45635                 NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        500.000        98.5521                 NaN            NaN            NaN            NaN            NaN   1.44794                 NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        500.000        98.5676                 NaN            NaN            NaN            NaN            NaN   1.43245                 NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        500.000        98.5749                 NaN            NaN            NaN            NaN            NaN   1.42513                 NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        500.000        98.5924                 NaN            NaN  0.102342E-003            NaN            NaN   1.40749                 NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        500.000        98.6017                 NaN            NaN            NaN            NaN            NaN   1.39829                 NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        500.000        98.6102                 NaN            NaN            NaN            NaN            NaN   1.38982                 NaN            NaN            NaN            NaN            NaN            NaN
  1528.82        500.000        98.6213                 NaN            NaN            NaN            NaN            NaN   1.37870                 NaN            NaN            NaN            NaN            NaN            NaN
  1526.32        500.000        98.6301                 NaN            NaN            NaN            NaN            NaN   1.36989                 NaN            NaN            NaN            NaN            NaN            NaN
  1523.81        500.000        98.6389                 NaN            NaN            NaN            NaN            NaN   1.36110                 NaN            NaN            NaN            NaN            NaN            NaN
  1521.30        500.000        98.6453                 NaN            NaN            NaN            NaN            NaN   1.35466                 NaN            NaN            NaN            NaN            NaN            NaN
  1518.80        500.000        98.2253                 NaN            NaN            NaN            NaN            NaN            NaN   1.77469                 NaN            NaN            NaN            NaN            NaN
  1516.29        500.000        97.9664                 NaN            NaN  0.294904E-002            NaN            NaN            NaN   1.95084       0.798121E-001            NaN            NaN            NaN            NaN
  1513.78        500.000        97.0202                 NaN            NaN  0.176295E-001            NaN            NaN            NaN  0.890479        2.07174                 NaN            NaN            NaN            NaN
  1511.28        500.000        97.0381                 NaN            NaN  0.579594E-002            NaN            NaN  0.703935        2.25219                 NaN            NaN            NaN            NaN            NaN
  1508.77        500.000        97.0958                 NaN            NaN  0.450724E-002            NaN            NaN  0.727173        2.17248                 NaN            NaN            NaN            NaN            NaN
  1506.27        500.000        97.1702                 NaN            NaN  0.367612E-002            NaN            NaN  0.717293        2.10885                 NaN            NaN            NaN            NaN            NaN
  1503.76        500.000        97.2317                 NaN            NaN  0.288260E-002            NaN            NaN  0.707932        2.05749                 NaN            NaN            NaN            NaN            NaN
