|6.6.6
Archiving\03_Data\eqfrac/QFM/TIS/TIS_3.tab                                
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          an             San(TH)        ilm            q             
  1431.18        2500.00       0.554803E-003            NaN   99.3884       0.165421       0.398758                 NaN  0.468419E-001            NaN            NaN            NaN            NaN
  1430.04        2500.00       0.647758E-003            NaN   99.3807       0.383737       0.234865                 NaN            NaN            NaN            NaN            NaN            NaN
  1428.89        2500.00       0.589149E-003            NaN   99.3875       0.388131       0.202871                 NaN  0.208979E-001            NaN            NaN            NaN            NaN
  1427.75        2500.00       0.568859E-003            NaN   99.3902       0.386874       0.200840                 NaN  0.214968E-001            NaN            NaN            NaN            NaN
  1426.61        2500.00       0.556970E-003            NaN   99.3920       0.385575       0.200881                 NaN  0.210091E-001            NaN            NaN            NaN            NaN
  1425.47        2500.00       0.542278E-003            NaN   99.3939       0.384207       0.200924                 NaN  0.203931E-001            NaN            NaN            NaN            NaN
  1424.33        2500.00       0.529820E-003            NaN   99.3951       0.383234       0.201185                 NaN  0.199559E-001            NaN            NaN            NaN            NaN
  1423.19        2500.00       0.557809E-003            NaN   99.3433       0.219733       0.415580                 NaN  0.208180E-001            NaN            NaN            NaN            NaN
  1422.05        2500.00       0.467854E-003            NaN   99.4547       0.182392       0.345153                 NaN  0.173024E-001            NaN            NaN            NaN            NaN
  1420.91        2500.00       0.499070E-003            NaN   99.4015       0.379650       0.197129                 NaN  0.211989E-001            NaN            NaN            NaN            NaN
  1419.77        2500.00       0.497644E-003            NaN   99.4019       0.376848       0.205576                 NaN  0.151603E-001            NaN            NaN            NaN            NaN
  1418.63        2500.00       0.484684E-003            NaN   99.4043       0.376208       0.202029                 NaN  0.169955E-001            NaN            NaN            NaN            NaN
  1417.49        2500.00       0.476791E-003            NaN   99.4057       0.375347       0.201738                 NaN  0.167750E-001            NaN            NaN            NaN            NaN
  1416.35        2500.00       0.471544E-003            NaN   99.4065       0.374635       0.202202                 NaN  0.161705E-001            NaN            NaN            NaN            NaN
  1415.21        2500.00       0.462877E-003            NaN   99.4093       0.372648       0.201873                 NaN  0.157386E-001            NaN            NaN            NaN            NaN
  1414.07        2500.00       0.461769E-003            NaN   99.4102       0.371900       0.202311                 NaN  0.151449E-001            NaN            NaN            NaN            NaN
  1412.92        2500.00       0.456550E-003            NaN   99.4112       0.202487       0.371150                 NaN  0.146689E-001            NaN            NaN            NaN            NaN
  1411.78        2500.00       0.454939E-003            NaN   99.4126       0.202765       0.370087                 NaN  0.140854E-001            NaN            NaN            NaN            NaN
  1410.64        2500.00       0.453965E-003            NaN   99.4135       0.203103       0.369241                 NaN  0.136671E-001            NaN            NaN            NaN            NaN
  1409.50        2500.00       0.457583E-003            NaN   99.4148       0.368435       0.203247                 NaN  0.130850E-001            NaN            NaN            NaN            NaN
  1408.36        2500.00       0.456903E-003            NaN   99.4165       0.203532       0.367084                 NaN  0.124487E-001            NaN            NaN            NaN            NaN
  1407.22        2500.00       0.460759E-003            NaN   99.4172       0.366651       0.203820                 NaN  0.119055E-001            NaN            NaN            NaN            NaN
  1406.08        2500.00       0.465706E-003            NaN   99.4187       0.204020       0.365308                 NaN  0.114657E-001            NaN            NaN            NaN            NaN
  1404.94        2500.00       0.477056E-003            NaN   99.4190       0.204355       0.365261                 NaN  0.109077E-001            NaN            NaN            NaN            NaN
  1403.80        2500.00       0.391966E-003            NaN   98.8770       0.207974       0.398586                 NaN  0.174479       0.341563                 NaN            NaN            NaN
  1402.66        2500.00                 NaN            NaN   98.7996       0.397457       0.198661                 NaN  0.204867       0.399456                 NaN            NaN            NaN
  1401.52        2500.00                 NaN            NaN   98.8007       0.397607       0.195015                 NaN  0.206822       0.399815                 NaN            NaN            NaN
  1400.38        2500.00                 NaN            NaN   98.8132       0.190391       0.393966                 NaN  0.206843       0.395586                 NaN            NaN            NaN
  1399.24        2500.00                 NaN            NaN   98.8242       0.391621       0.184729                 NaN  0.207152       0.392294                 NaN            NaN            NaN
  1398.10        2500.00                 NaN            NaN   98.8351       0.388726       0.179746                 NaN  0.207541       0.388866                 NaN            NaN            NaN
  1396.96        2500.00                 NaN            NaN   98.8468       0.385803       0.174633                 NaN  0.207609       0.385150                 NaN            NaN            NaN
  1395.81        2500.00                 NaN            NaN   98.8571       0.383126       0.169742                 NaN  0.208052       0.381936                 NaN            NaN            NaN
  1394.67        2500.00                 NaN            NaN   98.8673       0.164917       0.380750                 NaN  0.208332       0.378744                 NaN            NaN            NaN
  1393.53        2500.00                 NaN            NaN   98.8773       0.159700       0.378237                 NaN  0.208899       0.375883                 NaN            NaN            NaN
  1392.39        2500.00       0.689893E-003            NaN   98.8880       0.159170       0.372962                 NaN  0.207076       0.372123                 NaN            NaN            NaN
  1391.25        2500.00                 NaN            NaN   98.9013       0.148723       0.372311                 NaN  0.209588       0.368049                 NaN            NaN            NaN
  1390.11        2500.00                 NaN            NaN   98.9065       0.370970       0.146379                 NaN  0.209694       0.366425                 NaN            NaN            NaN
  1388.97        2500.00                 NaN            NaN   98.9184       0.141549       0.367902                 NaN  0.209520       0.362614                 NaN            NaN            NaN
  1387.83        2500.00       0.543828E-002            NaN   98.9175       0.149586       0.364171                 NaN  0.202244       0.361032                 NaN            NaN            NaN
  1386.69        2500.00       0.152931E-001            NaN   98.9037       0.167125       0.363728                 NaN  0.188709       0.361464                 NaN            NaN            NaN
  1385.55        2500.00       0.239667E-001            NaN   98.8915       0.367530       0.181259                 NaN  0.175234       0.360493                 NaN            NaN            NaN
  1384.41        2500.00       0.352289E-001            NaN   98.8694       0.375288       0.200805                 NaN  0.158026       0.361261                 NaN            NaN            NaN
  1383.27        2500.00       0.509359E-001            NaN   98.8355       0.388027       0.229274                 NaN  0.133402       0.362861                 NaN            NaN            NaN
  1382.13        2500.00       0.733040E-001            NaN   98.7795       0.410177       0.271921                 NaN  0.980327E-001  0.367113                 NaN            NaN            NaN
  1380.99        2500.00       0.108429                 NaN   98.6862       0.449995       0.339186                 NaN  0.419697E-001  0.374190                 NaN            NaN            NaN
  1379.85        2500.00       0.133656                 NaN   98.6187       0.369117       0.481362                 NaN  0.142140E-001  0.382993                 NaN            NaN            NaN
  1378.70        2500.00       0.155212                 NaN   98.5603       0.380242       0.511164                 NaN            NaN  0.393130                 NaN            NaN            NaN
  1377.56        2500.00       0.173566                 NaN   98.5084       0.370360       0.542598                 NaN            NaN  0.405056                 NaN            NaN            NaN
  1376.42        2500.00       0.182608                 NaN   98.4910       0.556189       0.361217                 NaN            NaN  0.408965                 NaN            NaN            NaN
  1375.28        2500.00       0.186518                 NaN   98.4924       0.559538       0.353099                 NaN            NaN  0.408494                 NaN            NaN            NaN
  1374.14        2500.00       0.188791                 NaN   98.4991       0.560506       0.344714                 NaN            NaN  0.406867                 NaN            NaN            NaN
  1373.00        2500.00       0.189644                 NaN   98.5095       0.338156       0.558198                 NaN            NaN  0.404480                 NaN            NaN            NaN
  1371.86        2500.00       0.186836                 NaN   98.5330       0.549593       0.331528                 NaN            NaN  0.399080                 NaN            NaN            NaN
  1370.72        2500.00       0.186920                 NaN   98.5527       0.545325       0.321456                 NaN            NaN  0.393627                 NaN            NaN            NaN
  1369.58        2500.00       0.184266                 NaN   98.5732       0.316633       0.536632                 NaN            NaN  0.389275                 NaN            NaN            NaN
  1368.44        2500.00       0.181805                 NaN   98.5964       0.310088       0.528044                 NaN            NaN  0.383699                 NaN            NaN            NaN
  1367.30        2500.00       0.179394                 NaN   98.6193       0.303819       0.519402                 NaN            NaN  0.378104                 NaN            NaN            NaN
  1366.16        2500.00       0.176495                 NaN   98.6415       0.510317       0.298467                 NaN            NaN  0.373197                 NaN            NaN            NaN
  1365.02        2500.00       0.173746                 NaN   98.6662       0.500994       0.292172                 NaN            NaN  0.366876                 NaN            NaN            NaN
  1363.88        2500.00       0.171036                 NaN   98.6875       0.492006       0.287494                 NaN            NaN  0.361944                 NaN            NaN            NaN
  1362.74        2500.00       0.168367                 NaN   98.7098       0.281814       0.483515                 NaN            NaN  0.356536                 NaN            NaN            NaN
  1361.59        2500.00       0.165383                 NaN   98.7328       0.474606       0.276063                 NaN            NaN  0.351109                 NaN            NaN            NaN
  1360.45        2500.00       0.162823                 NaN   98.7535       0.271626       0.465963                 NaN            NaN  0.346120                 NaN            NaN            NaN
  1359.31        2500.00       0.160122                 NaN   98.7753       0.266133       0.457690                 NaN            NaN  0.340797                 NaN            NaN            NaN
  1358.17        2500.00       0.158019                 NaN   98.7943       0.260972       0.450483                 NaN            NaN  0.336207                 NaN            NaN            NaN
  1357.03        2500.00       0.154516                 NaN   98.8178       0.440321       0.256929                 NaN            NaN  0.330390                 NaN            NaN            NaN
  1355.89        2500.00       0.152150                 NaN   98.8360       0.252972       0.432766                 NaN            NaN  0.326083                 NaN            NaN            NaN
  1354.75        2500.00       0.149690                 NaN   98.8549       0.424916       0.248859                 NaN            NaN  0.321595                 NaN            NaN            NaN
  1353.61        2500.00       0.147318                 NaN   98.8740       0.417645       0.244294                 NaN            NaN  0.316785                 NaN            NaN            NaN
  1352.47        2500.00       0.144660                 NaN   98.8925       0.409581       0.240830                 NaN            NaN  0.312383                 NaN            NaN            NaN
  1351.33        2500.00       0.142361                 NaN   98.9110       0.402466       0.236352                 NaN            NaN  0.307792                 NaN            NaN            NaN
  1350.19        2500.00       0.139976                 NaN   98.9283       0.395299       0.232814                 NaN            NaN  0.303577                 NaN            NaN            NaN
  1349.05        2500.00       0.137605                 NaN   98.9461       0.388103       0.229002                 NaN            NaN  0.299200                 NaN            NaN            NaN
  1347.91        2500.00       0.135464                 NaN   98.9623       0.381612       0.225353                 NaN            NaN  0.295257                 NaN            NaN            NaN
  1346.77        2500.00       0.133101                 NaN   98.9796       0.221809       0.374701                 NaN            NaN  0.290833                 NaN            NaN            NaN
  1345.63        2500.00       0.130957                 NaN   98.9954       0.368236       0.218417                 NaN            NaN  0.286965                 NaN            NaN            NaN
  1344.48        2500.00       0.128895                 NaN   99.0111       0.215026       0.361887                 NaN            NaN  0.283088                 NaN            NaN            NaN
  1343.34        2500.00       0.126666                 NaN   99.0263       0.355719       0.211990                 NaN            NaN  0.279344                 NaN            NaN            NaN
  1342.20        2500.00       0.124646                 NaN   99.0420       0.349332       0.208707                 NaN            NaN  0.275350                 NaN            NaN            NaN
  1341.06        2500.00       0.122570                 NaN   99.0560       0.343524       0.206005                 NaN            NaN  0.271886                 NaN            NaN            NaN
  1339.92        2500.00       0.120633                 NaN   99.0709       0.337693       0.202612                 NaN            NaN  0.268115                 NaN            NaN            NaN
  1338.78        2500.00       0.118630                 NaN   99.0851       0.331839       0.199897                 NaN            NaN  0.264575                 NaN            NaN            NaN
  1337.64        2500.00       0.116696                 NaN   99.0993       0.196954       0.326090                 NaN            NaN  0.260931                 NaN            NaN            NaN
  1336.50        2500.00       0.114873                 NaN   99.1123       0.320960       0.194161                 NaN            NaN  0.257687                 NaN            NaN            NaN
  1335.36        2500.00       0.112980                 NaN   99.1259       0.315444       0.191390                 NaN            NaN  0.254243                 NaN            NaN            NaN
  1334.22        2500.00       0.111156                 NaN   99.1389       0.310266       0.188735                 NaN            NaN  0.250954                 NaN            NaN            NaN
  1333.08        2500.00       0.109359                 NaN   99.1519       0.305026       0.186145                 NaN            NaN  0.247537                 NaN            NaN            NaN
  1331.94        2500.00       0.107604                 NaN   99.1637       0.183878       0.300115                 NaN            NaN  0.244718                 NaN            NaN            NaN
  1330.80        2500.00       0.105823                 NaN   99.1766       0.181322       0.294950                 NaN            NaN  0.241343                 NaN            NaN            NaN
  1329.66        2500.00       0.104170                 NaN   99.1883       0.178992       0.290212                 NaN            NaN  0.238320                 NaN            NaN            NaN
  1328.51        2500.00       0.102633                 NaN   99.2005       0.176312       0.285327                 NaN            NaN  0.235238                 NaN            NaN            NaN
  1327.37        2500.00       0.100816                 NaN   99.2113       0.174822       0.280679                 NaN            NaN  0.232347                 NaN            NaN            NaN
  1326.23        2500.00       0.994070E-001            NaN   99.2221       0.172241       0.276589                 NaN            NaN  0.229647                 NaN            NaN            NaN
  1325.09        2500.00       0.975342E-001            NaN   99.2343       0.169987       0.271819                 NaN            NaN  0.226348                 NaN            NaN            NaN
  1323.95        2500.00       0.960785E-001            NaN   99.2441       0.267582       0.168283                 NaN            NaN  0.223946                 NaN            NaN            NaN
  1322.81        2500.00       0.944799E-001            NaN   99.2548       0.166399       0.263156                 NaN            NaN  0.221176                 NaN            NaN            NaN
  1321.67        2500.00       0.929356E-001            NaN   99.2655       0.164349       0.258847                 NaN            NaN  0.218390                 NaN            NaN            NaN
  1320.53        2500.00       0.915352E-001            NaN   99.2754       0.254891       0.162372                 NaN            NaN  0.215764                 NaN            NaN            NaN
  1319.39        2500.00       0.901936E-001            NaN   99.2853       0.250758       0.160362                 NaN            NaN  0.213384                 NaN            NaN            NaN
  1318.25        2500.00       0.885552E-001            NaN   99.2957       0.158278       0.247203                 NaN            NaN  0.210228                 NaN            NaN            NaN
  1317.11        2500.00       0.872427E-001            NaN   99.3049       0.243354       0.156467                 NaN            NaN  0.208051                 NaN            NaN            NaN
  1315.97        2500.00       0.858230E-001            NaN   99.3141       0.155116       0.239282                 NaN            NaN  0.205711                 NaN            NaN            NaN
  1314.83        2500.00       0.843641E-001            NaN   99.3220       0.235508       0.154337                 NaN            NaN  0.203798                 NaN            NaN            NaN
  1313.69        2500.00       0.830168E-001            NaN   99.3338       0.232021       0.150964                 NaN            NaN  0.200228                 NaN            NaN            NaN
  1312.55        2500.00       0.817137E-001            NaN   99.3409       0.150576       0.228275                 NaN            NaN  0.198567                 NaN            NaN            NaN
  1311.40        2500.00       0.805221E-001            NaN   99.3501       0.148206       0.225032                 NaN            NaN  0.196176                 NaN            NaN            NaN
  1310.26        2500.00       0.790541E-001            NaN   99.3583       0.221403       0.147304                 NaN            NaN  0.193900                 NaN            NaN            NaN
  1309.12        2500.00       0.778329E-001            NaN   99.3669       0.217755       0.145803                 NaN            NaN  0.191743                 NaN            NaN            NaN
  1307.98        2500.00       0.766584E-001            NaN   99.3752       0.214759       0.143969                 NaN            NaN  0.189440                 NaN            NaN            NaN
  1306.84        2500.00       0.753840E-001            NaN   99.3830       0.211398       0.142852                 NaN            NaN  0.187397                 NaN            NaN            NaN
  1305.70        2500.00       0.741073E-001            NaN   99.3911       0.208284       0.141396                 NaN            NaN  0.185135                 NaN            NaN            NaN
  1304.56        2500.00       0.729230E-001            NaN   99.3988       0.204753       0.140300                 NaN            NaN  0.183269                 NaN            NaN            NaN
  1303.42        2500.00       0.717623E-001            NaN   99.4064       0.202078       0.138737                 NaN            NaN  0.181057                 NaN            NaN            NaN
  1302.28        2500.00       0.706482E-001            NaN   99.4137       0.198789       0.137629                 NaN            NaN  0.179213                 NaN            NaN            NaN
  1301.14        2500.00       0.693840E-001            NaN   99.4212       0.136726       0.195593                 NaN            NaN  0.177071                 NaN            NaN            NaN
  1300.00        2500.00       0.682607E-001            NaN   99.4285       0.192973       0.135013                 NaN            NaN  0.175260                 NaN            NaN            NaN
  1298.86        2500.00       0.671837E-001            NaN   99.4355       0.190101       0.133988                 NaN            NaN  0.173203                 NaN            NaN            NaN
  1297.72        2500.00       0.413418                 NaN   91.3551       0.993270        1.09415                 NaN            NaN   1.18682        4.95720                 NaN            NaN
  1296.58        2500.00       0.776677                 NaN   82.4420        1.83349        2.18198                 NaN            NaN   2.30391        10.4619                 NaN            NaN
  1295.44        2500.00       0.634243                 NaN   85.6350        1.49352        1.79622                 NaN            NaN   1.89990        8.54107                 NaN            NaN
  1294.29        2500.00       0.535368                 NaN   87.8710        1.25650        1.52420                 NaN            NaN   1.61590        7.19700                 NaN            NaN
  1293.15        2500.00       0.464148                 NaN   89.5237        1.31691        1.08456                 NaN            NaN   1.40506        6.20560                 NaN            NaN
  1292.01        2500.00       0.410448                 NaN   90.7886       0.953461        1.15737                 NaN            NaN   1.24316        5.44694                 NaN            NaN
  1290.87        2500.00       0.403401                 NaN   90.9620       0.949619        1.11516                 NaN            NaN   1.22953        5.34025                 NaN            NaN
  1289.73        2500.00       0.318293                 NaN   93.0250       0.729494       0.863371                 NaN            NaN  0.953347        4.11047                 NaN            NaN
  1288.59        2500.00       0.313588                 NaN   93.0891       0.730688       0.845022                 NaN            NaN  0.951293        4.07026                 NaN            NaN
  1287.45        2500.00       0.242123                 NaN   92.3590       0.765974        1.02964                 NaN            NaN   1.02392        4.57937                 NaN            NaN
  1286.31        2500.00       0.250310                 NaN   94.5377       0.598369       0.633017                 NaN            NaN  0.751500        3.22915                 NaN            NaN
  1285.17        2500.00       0.325006                 NaN   96.1717       0.333796       0.448628                 NaN            NaN  0.575274        2.14562                 NaN            NaN
  1284.03        2500.00       0.233311                 NaN   95.3384       0.534141       0.507695                 NaN            NaN  0.650868        2.73559                 NaN            NaN
  1282.89        2500.00       0.240840                 NaN   95.0206       0.534704       0.578037                 NaN            NaN  0.700383        2.92543                 NaN            NaN
  1281.75        2500.00       0.334646                 NaN   93.7220       0.738225       0.580378                 NaN            NaN  0.888033        3.73669                 NaN            NaN
  1280.61        2500.00       0.122210                 NaN   96.9346       0.287245       0.493304                 NaN            NaN  0.432308        1.73034                 NaN            NaN
  1279.47        2500.00       0.152645                 NaN   97.0514       0.341664       0.308904                 NaN            NaN  0.417010        1.72838                 NaN            NaN
  1278.33        2500.00       0.179893                 NaN   96.5939       0.382449       0.370038                 NaN            NaN  0.481531        1.99222                 NaN            NaN
  1277.18        2500.00       0.228972                 NaN   95.6775       0.425863       0.505804                 NaN            NaN  0.615446        2.54644                 NaN            NaN
  1276.04        2500.00       0.106379                 NaN   97.0724       0.276836       0.379211                 NaN            NaN  0.414022        1.71940       0.317112E-001            NaN
  1274.90        2500.00       0.670255E-001            NaN   96.3453       0.351978       0.489859                 NaN            NaN  0.506951        2.15195       0.869726E-001            NaN
  1273.76        2500.00       0.529085E-001            NaN   98.4574       0.302346                 NaN            NaN            NaN  0.207264       0.935220       0.448460E-001            NaN
  1272.62        2500.00       0.100404                 NaN   94.7460       0.661717       0.546449                 NaN            NaN  0.733915        3.08819       0.123338                 NaN
  1271.48        2500.00       0.726717E-001            NaN   95.3774       0.712899       0.359914                 NaN            NaN  0.654114        2.71784       0.105142                 NaN
  1270.34        2500.00                 NaN            NaN   99.2760       0.635624E-001  0.111657                 NaN            NaN  0.953237E-001  0.420689       0.327844E-001            NaN
  1269.20        2500.00       0.694411E-001            NaN   95.1604       0.380224       0.806026                 NaN            NaN  0.680755        2.80220       0.100904                 NaN
  1268.06        2500.00       0.493354E-001            NaN   97.1376       0.265044       0.400917                 NaN            NaN  0.402009        1.67829       0.668549E-001            NaN
  1266.92        2500.00       0.740056E-001            NaN   96.3199       0.460820       0.375548                 NaN            NaN  0.521193        2.16291       0.855764E-001            NaN
  1265.78        2500.00       0.937051E-002            NaN   99.5788       0.450817E-001  0.502714E-001            NaN            NaN  0.591611E-001  0.247924       0.936103E-002            NaN
  1264.64        2500.00       0.876691E-001            NaN   95.8933       0.497750       0.433472                 NaN            NaN  0.576759        2.41885       0.922244E-001            NaN
  1263.50        2500.00       0.122608                 NaN   94.7022       0.567170       0.618722                 NaN            NaN  0.748858        3.12395       0.116523                 NaN
  1262.36        2500.00                 NaN            NaN   99.9995       0.117420E-003  0.849752E-004            NaN            NaN            NaN  0.250379E-003            NaN            NaN
  1261.21        2500.00       0.799332E-002            NaN   99.6363       0.434570E-001  0.383172E-001            NaN            NaN  0.515407E-001  0.214342       0.803559E-002            NaN
  1260.07        2500.00       0.435220E-001            NaN   97.8893       0.260509       0.217551                 NaN            NaN  0.300634        1.24159       0.468571E-001            NaN
  1258.93        2500.00       0.174844                 NaN   93.1230       0.748686       0.751446                 NaN            NaN  0.977931        4.08111       0.143019                 NaN
  1257.79        2500.00       0.799845E-002            NaN   99.9769       0.111044E-001            NaN            NaN            NaN  0.397600E-002            NaN            NaN            NaN
  1256.65        2500.00                 NaN            NaN   99.3837       0.432517E-001  0.966467E-001            NaN            NaN  0.870686E-001  0.374325       0.150167E-001            NaN
  1255.51        2500.00       0.194798E-001            NaN   99.7647       0.522908E-001            NaN            NaN            NaN  0.338896E-001  0.126370       0.330276E-002            NaN
  1254.37        2500.00       0.862189E-001            NaN   95.6217       0.532349       0.458641                 NaN            NaN  0.617789        2.58683       0.964887E-001            NaN
  1253.23        2500.00       0.487517E-001            NaN   98.0880       0.209080       0.209502                 NaN            NaN  0.271302        1.13458       0.388072E-001            NaN
  1252.09        2500.00       0.435079E-001            NaN   98.7788       0.174214       0.775483E-001            NaN            NaN  0.172360       0.731032       0.225855E-001            NaN
  1250.95        2500.00       0.262488E-004            NaN   99.9995       0.909447E-005  0.910133E-004            NaN            NaN  0.743106E-004  0.323399E-003  0.839421E-005            NaN
  1249.81        2500.00       0.192863                 NaN   93.6249       0.750125       0.578913                 NaN            NaN  0.901603        3.82820       0.123379                 NaN
  1248.67        2500.00                 NaN            NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1247.53        2500.00                 NaN            NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1246.39        2500.00                 NaN            NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1245.25        2500.00       0.213860                 NaN   91.0822       0.610430       0.296612                 NaN            NaN  0.895976        3.91913       0.354183E-001   2.94637     
  1244.10        2500.00       0.933770                 NaN   78.3032        2.15810                 NaN            NaN            NaN   2.22918        10.1270       0.642237E-001   6.18450     
  1242.96        2500.00       0.280756                 NaN   93.3076       0.539585                 NaN            NaN            NaN  0.649574        2.97526       0.683296E-002   2.24040     
  1241.82        2500.00       0.679445                 NaN   83.2909        1.22094       0.934460E-001            NaN            NaN   1.63125        7.49032       0.195952E-001   5.57412     
  1240.68        2500.00       0.576268       0.574425        77.0943        1.42760                 NaN            NaN            NaN   2.29089        10.3217                 NaN   7.71485     
  1239.54        2500.00                 NaN            NaN   97.8115       0.580398                 NaN            NaN            NaN  0.167548       0.745902       0.349969E-001  0.659669     
  1238.40        2500.00                 NaN            NaN   95.4558       0.487558                 NaN            NaN            NaN  0.394892        2.12232       0.784011E-001   1.46105     
  1237.26        2500.00       0.218370                 NaN   92.7914       0.568555                 NaN            NaN            NaN  0.670175        3.28690       0.385345E-001   2.42608     
  1236.12        2500.00       0.325704                 NaN   91.5566       0.726949                 NaN            NaN            NaN  0.803491        3.77473       0.162620E-001   2.79622     
  1234.98        2500.00       0.390597                 NaN   87.9316       0.938406                 NaN            NaN            NaN   1.13293        5.48636       0.885285E-001   4.03162     
  1233.84        2500.00       0.163494                 NaN   95.9479       0.364472                 NaN            NaN            NaN  0.384497        1.80000                 NaN   1.33967     
  1232.70        2500.00       0.771830E-001            NaN   97.5075       0.151088                 NaN            NaN            NaN  0.230714        1.15416       0.229346E-001  0.856446     
  1231.56        2500.00       0.542707                 NaN   86.6044        1.07885                 NaN            NaN            NaN   1.25067        6.07040                 NaN   4.45303     
  1230.42        2500.00       0.328732                 NaN   91.7823       0.567535                 NaN            NaN            NaN  0.756604        3.74684                 NaN   2.81797     
  1229.28        2500.00       0.353653                 NaN   90.8431       0.700933                 NaN            NaN            NaN  0.832503        4.17699                 NaN   3.09285     
  1228.14        2500.00       0.336411                 NaN   91.2693       0.631379                 NaN            NaN            NaN  0.782416        4.03343                 NaN   2.94706     
  1226.99        2500.00       0.417057                 NaN   87.9605       0.835110                 NaN            NaN            NaN   1.04960        5.65187       0.283582E-001   4.05751     
  1225.85        2500.00       0.849904                 NaN   74.1950        1.61085                 NaN            NaN            NaN   2.15484        12.3334       0.653789E-001   8.79063     
  1224.71        2500.00        3.10146                 NaN            NaN   5.91654                 NaN            NaN            NaN   8.02628        48.3736       0.273732        34.3084     
  1223.57        2500.00        3.09698                 NaN            NaN   5.91629                 NaN            NaN            NaN   8.02750        48.3712       0.278234        34.3098     
  1222.43        2500.00        3.09068                 NaN            NaN   5.91426                 NaN            NaN            NaN   8.02848        48.3712       0.284625        34.3107     
  1221.29        2500.00        3.08726                 NaN            NaN   5.91299                 NaN            NaN            NaN   8.02992        48.3698       0.288209        34.3118     
  1220.15        2500.00        3.08270                 NaN            NaN   5.91548                 NaN            NaN            NaN   8.03180        48.3641       0.292308        34.3136     
  1219.01        2500.00        3.07655                 NaN            NaN   5.91515                 NaN            NaN            NaN   8.03227        48.3619       0.298806        34.3154     
  1217.87        2500.00        3.07249                 NaN            NaN   5.91226                 NaN            NaN            NaN   8.03434        48.3620       0.302961        34.3160     
