|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.25/LAR/LAR_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          O(HP)          an             San(TH)        ilm            q             
  1383.41        2500.00                 NaN   99.2220       0.272175       0.932212E-001            NaN  0.132284                 NaN  0.280324                 NaN            NaN            NaN
  1382.37        2500.00                 NaN   99.2301       0.920906E-001  0.269639                 NaN  0.130879                 NaN  0.277323                 NaN            NaN            NaN
  1381.34        2500.00                 NaN   99.2365       0.268541       0.891102E-001            NaN  0.130778                 NaN  0.275048                 NaN            NaN            NaN
  1380.30        2500.00                 NaN   99.2443       0.266326       0.871868E-001            NaN  0.129930                 NaN  0.272281                 NaN            NaN            NaN
  1379.26        2500.00                 NaN   99.2512       0.837558E-001  0.264745                 NaN  0.130189                 NaN  0.270106                 NaN            NaN            NaN
  1378.23        2500.00                 NaN   99.2584       0.263554       0.821378E-001            NaN  0.128772                 NaN  0.267115                 NaN            NaN            NaN
  1377.19        2500.00                 NaN   99.2656       0.261474       0.800394E-001            NaN  0.128262                 NaN  0.264674                 NaN            NaN            NaN
  1376.16        2500.00                 NaN   99.2712       0.260510       0.773068E-001            NaN  0.128249                 NaN  0.262779                 NaN            NaN            NaN
  1375.12        2500.00                 NaN   99.2787       0.258613       0.758829E-001            NaN  0.126959                 NaN  0.259890                 NaN            NaN            NaN
  1374.08        2500.00                 NaN   99.2861       0.736930E-001  0.256592                 NaN  0.126393                 NaN  0.257254                 NaN            NaN            NaN
  1373.05        2500.00                 NaN   99.2922       0.254950       0.712031E-001            NaN  0.126318                 NaN  0.255279                 NaN            NaN            NaN
  1372.01        2500.00                 NaN   99.2989       0.700906E-001  0.253021                 NaN  0.125295                 NaN  0.252709                 NaN            NaN            NaN
  1370.97        2500.00                 NaN   99.5993       0.145619       0.373525E-001            NaN  0.729182E-001            NaN  0.144816                 NaN            NaN            NaN
  1369.94        2500.00                 NaN   99.0144       0.987349E-001  0.357211                 NaN  0.175324                 NaN  0.354316                 NaN            NaN            NaN
  1368.90        2500.00                 NaN   99.3176       0.639526E-001  0.249011                 NaN  0.123529                 NaN  0.245895                 NaN            NaN            NaN
  1367.87        2500.00                 NaN   99.3236       0.247857       0.623126E-001            NaN  0.122639                 NaN  0.243615                 NaN            NaN            NaN
  1366.83        2500.00                 NaN   99.3295       0.245793       0.611949E-001            NaN  0.121995                 NaN  0.241522                 NaN            NaN            NaN
  1365.79        2500.00                 NaN   99.3354       0.244785       0.593757E-001            NaN  0.121180                 NaN  0.239212                 NaN            NaN            NaN
  1364.76        2500.00                 NaN   99.3412       0.243677       0.573552E-001            NaN  0.120568                 NaN  0.237220                 NaN            NaN            NaN
  1363.72        2500.00                 NaN   99.3469       0.242155       0.559343E-001            NaN  0.119961                 NaN  0.235001                 NaN            NaN            NaN
  1362.68        2500.00                 NaN   99.3527       0.553877E-001  0.239718                 NaN  0.119140                 NaN  0.233049                 NaN            NaN            NaN
  1361.65        2500.00                 NaN   99.3573       0.502980E-001  0.240513                 NaN  0.120076                 NaN  0.231817                 NaN            NaN            NaN
  1360.61        2500.00                 NaN   99.3659       0.235306       0.552885E-001            NaN  0.115943                 NaN  0.227527                 NaN            NaN            NaN
  1359.58        2500.00                 NaN   99.3696       0.515745E-001  0.235752                 NaN  0.116557                 NaN  0.226525                 NaN            NaN            NaN
  1358.54        2500.00                 NaN   99.6726       0.122417       0.255829E-001            NaN  0.613031E-001            NaN  0.118146                 NaN            NaN            NaN
  1357.50        2500.00                 NaN   99.0797       0.759780E-001  0.345267                 NaN  0.169245                 NaN  0.329803                 NaN            NaN            NaN
  1356.47        2500.00                 NaN   99.3853       0.473429E-001  0.232185                 NaN  0.114493                 NaN  0.220717                 NaN            NaN            NaN
  1355.43        2500.00                 NaN   99.3901       0.458319E-001  0.231340                 NaN  0.113811                 NaN  0.218906                 NaN            NaN            NaN
  1354.39        2500.00                 NaN   99.3954       0.229468       0.451724E-001            NaN  0.113036                 NaN  0.216968                 NaN            NaN            NaN
  1353.36        2500.00                 NaN   99.4016       0.227357       0.452011E-001            NaN  0.111498                 NaN  0.214338                 NaN            NaN            NaN
  1352.32        2500.00                 NaN   99.4058       0.433281E-001  0.226587                 NaN  0.111299                 NaN  0.212971                 NaN            NaN            NaN
  1351.29        2500.00                 NaN   99.4106       0.225203       0.431054E-001            NaN  0.110087                 NaN  0.211013                 NaN            NaN            NaN
  1350.25        2500.00                 NaN   99.4151       0.423045E-001  0.224020                 NaN  0.109285                 NaN  0.209315                 NaN            NaN            NaN
  1349.21        2500.00                 NaN   99.4199       0.222238       0.418444E-001            NaN  0.108528                 NaN  0.207514                 NaN            NaN            NaN
  1348.18        2500.00                 NaN   99.4244       0.221571       0.408166E-001            NaN  0.107548                 NaN  0.205680                 NaN            NaN            NaN
  1347.14        2500.00                 NaN   99.4295       0.419429E-001  0.219151                 NaN  0.105804                 NaN  0.203620                 NaN            NaN            NaN
  1346.10        2500.00                 NaN   99.4338       0.219341       0.385867E-001            NaN  0.106148                 NaN  0.202088                 NaN            NaN            NaN
  1345.07        2500.00                 NaN   99.4384       0.217704       0.385251E-001            NaN  0.105018                 NaN  0.200303                 NaN            NaN            NaN
  1344.03        2500.00                 NaN   99.4427       0.216417       0.384360E-001            NaN  0.103835                 NaN  0.198619                 NaN            NaN            NaN
  1343.00        2500.00                 NaN   99.4475       0.214469       0.390153E-001            NaN  0.102439                 NaN  0.196603                 NaN            NaN            NaN
  1341.96        2500.00                 NaN   99.4421       0.344857E-001  0.214975                 NaN  0.107580                 NaN  0.200819                 NaN            NaN            NaN
  1340.92        2500.00                 NaN   99.4655       0.463179E-001  0.205091                 NaN  0.950619E-001            NaN  0.188060                 NaN            NaN            NaN
  1339.89        2500.00                 NaN   99.4607       0.378321E-001  0.210373                 NaN  0.996549E-001            NaN  0.191411                 NaN            NaN            NaN
  1338.85        2500.00                 NaN   99.4639       0.362880E-001  0.210270                 NaN  0.992028E-001            NaN  0.190311                 NaN            NaN            NaN
  1337.81        2500.00                 NaN   99.4687       0.206862       0.384845E-001            NaN  0.975596E-001            NaN  0.188354                 NaN            NaN            NaN
  1336.78        2500.00                 NaN   99.4728       0.359600E-001  0.207813                 NaN  0.968069E-001            NaN  0.186581                 NaN            NaN            NaN
  1335.74        2500.00                 NaN   99.4764       0.375520E-001  0.205199                 NaN  0.956353E-001            NaN  0.185261                 NaN            NaN            NaN
  1334.71        2500.00                 NaN   99.4800       0.373845E-001  0.204348                 NaN  0.945035E-001            NaN  0.183731                 NaN            NaN            NaN
  1333.67        2500.00                 NaN   99.4830       0.204124       0.356180E-001            NaN  0.944667E-001            NaN  0.182836                 NaN            NaN            NaN
  1332.63        2500.00                 NaN   99.4899       0.200171       0.386169E-001            NaN  0.916174E-001            NaN  0.179646                 NaN            NaN            NaN
  1331.60        2500.00                 NaN   99.4913       0.200280       0.379312E-001            NaN  0.913078E-001            NaN  0.179179                 NaN            NaN            NaN
  1330.56        2500.00                 NaN   99.4946       0.198350       0.391525E-001            NaN  0.900505E-001            NaN  0.177809                 NaN            NaN            NaN
  1329.52        2500.00                 NaN   99.4993       0.197132       0.385410E-001            NaN  0.890943E-001            NaN  0.175905                 NaN            NaN            NaN
  1328.49        2500.00                 NaN   99.5029       0.195908       0.388203E-001            NaN  0.878989E-001            NaN  0.174490                 NaN            NaN            NaN
  1327.45        2500.00                 NaN   99.5060       0.395121E-001  0.194610                 NaN  0.867237E-001            NaN  0.173190                 NaN            NaN            NaN
  1326.42        2500.00                 NaN   99.5092       0.193504       0.396103E-001            NaN  0.857595E-001            NaN  0.171885                 NaN            NaN            NaN
  1325.38        2500.00                 NaN   99.5134       0.191597       0.407493E-001            NaN  0.841987E-001            NaN  0.170088                 NaN            NaN            NaN
  1324.34        2500.00                 NaN   99.5166       0.404997E-001  0.190525                 NaN  0.834903E-001            NaN  0.168900                 NaN            NaN            NaN
  1323.31        2500.00                 NaN   99.5194       0.189405       0.410019E-001            NaN  0.824468E-001            NaN  0.167729                 NaN            NaN            NaN
  1322.27        2500.00                 NaN   99.5225       0.403670E-001  0.188359                 NaN  0.818725E-001            NaN  0.166901                 NaN            NaN            NaN
  1321.23        2500.00                 NaN   99.5268       0.185029       0.466016E-001            NaN  0.777468E-001            NaN  0.163803                 NaN            NaN            NaN
  1320.20        2500.00                 NaN   99.5297       0.184740       0.433504E-001            NaN  0.787501E-001            NaN  0.163439                 NaN            NaN            NaN
  1319.16        2500.00                 NaN   99.5328       0.183487       0.443702E-001            NaN  0.772990E-001            NaN  0.162067                 NaN            NaN            NaN
  1318.13        2500.00                 NaN   99.3102       0.263911       0.751808E-001            NaN  0.111544                 NaN  0.239176                 NaN            NaN            NaN
  1317.09        2500.00                 NaN   99.7603       0.242567E-001  0.945691E-001            NaN  0.385888E-001            NaN  0.823291E-001            NaN            NaN            NaN
  1316.05        2500.00                 NaN   99.5387       0.180237       0.449414E-001            NaN  0.756922E-001            NaN  0.160435                 NaN            NaN            NaN
  1315.02        2500.00                 NaN   99.5485       0.175188       0.523932E-001            NaN  0.695672E-001            NaN  0.154398                 NaN            NaN            NaN
  1313.98        2500.00                 NaN   99.5476       0.176268       0.489438E-001            NaN  0.712915E-001            NaN  0.155905                 NaN            NaN            NaN
  1312.94        2500.00                 NaN   99.5511       0.173103       0.515394E-001            NaN  0.697735E-001            NaN  0.154516                 NaN            NaN            NaN
  1311.91        2500.00                 NaN   99.5538       0.173367       0.510863E-001            NaN  0.686512E-001            NaN  0.153089                 NaN            NaN            NaN
  1310.87        2500.00                 NaN   99.5563       0.171043       0.533209E-001            NaN  0.672291E-001            NaN  0.152102                 NaN            NaN            NaN
  1309.84        2500.00                 NaN   99.5591       0.538920E-001  0.170028                 NaN  0.660976E-001            NaN  0.150929                 NaN            NaN            NaN
  1308.80        2500.00                 NaN   99.5617       0.553237E-001  0.168310                 NaN  0.648500E-001            NaN  0.149793                 NaN            NaN            NaN
  1307.76        2500.00                 NaN   99.5640       0.572281E-001  0.166598                 NaN  0.634465E-001            NaN  0.148738                 NaN            NaN            NaN
  1306.73        2500.00                 NaN   99.5670       0.164421       0.589515E-001            NaN  0.621118E-001            NaN  0.147497                 NaN            NaN            NaN
  1305.69        2500.00                 NaN   99.5700       0.162917       0.590709E-001            NaN  0.614597E-001            NaN  0.146512                 NaN            NaN            NaN
  1304.65        2500.00                 NaN   93.3635        1.03484       0.185481                 NaN  0.413326                 NaN  0.923038        4.07983                 NaN            NaN
  1303.62        2500.00                 NaN   91.6737        1.31839       0.187276                 NaN  0.501881                 NaN   1.13473        5.18406                 NaN            NaN
  1302.58        2500.00                 NaN   92.0391        1.32816       0.126378                 NaN  0.476560                 NaN   1.08842        4.94139                 NaN            NaN
  1301.55        2500.00                 NaN   92.3476        1.35980       0.557293E-001            NaN  0.453136                 NaN   1.05000        4.73370                 NaN            NaN
  1300.51        2500.00                 NaN   92.6353        1.38506                 NaN            NaN  0.426806                 NaN   1.01382        4.53897                 NaN            NaN
  1299.47        2500.00                 NaN   92.8990        1.36783                 NaN            NaN  0.395002                 NaN  0.980865        4.35728                 NaN            NaN
  1298.44        2500.00                 NaN   93.1420        1.34620                 NaN            NaN  0.369918                 NaN  0.950497        4.19142                 NaN            NaN
  1297.40        2500.00                 NaN   93.3830        1.31098                 NaN            NaN  0.354167                 NaN  0.919998        4.03181                 NaN            NaN
  1296.36        2500.00                 NaN   93.5951        1.28133                 NaN            NaN  0.339817                 NaN  0.893333        3.89037                 NaN            NaN
  1295.33        2500.00                 NaN   93.7772        1.25399                 NaN            NaN  0.329543                 NaN  0.870550        3.76868                 NaN            NaN
  1294.29        2500.00                 NaN   93.9730        1.23509                 NaN            NaN  0.309629                 NaN  0.845906        3.63638                 NaN            NaN
  1293.26        2500.00                 NaN   94.1445        1.20974                 NaN            NaN  0.298828                 NaN  0.824253        3.52270                 NaN            NaN
  1292.22        2500.00                 NaN   91.9474        1.54445                 NaN            NaN  0.401927                 NaN   1.12529        4.87308       0.107902                 NaN
  1291.18        2500.00                 NaN   89.6506        1.88101                 NaN            NaN  0.523619                 NaN   1.43689        6.28778       0.220112                 NaN
  1290.15        2500.00                 NaN   89.9433        1.81500                 NaN            NaN  0.525408                 NaN   1.39531        6.10820       0.212819                 NaN
  1289.11        2500.00                 NaN   90.2257        1.74681                 NaN            NaN  0.528071                 NaN   1.35515        5.93830       0.205972                 NaN
  1288.07        2500.00                 NaN   90.4968        1.69363                 NaN            NaN  0.520889                 NaN   1.31658        5.77337       0.198764                 NaN
  1287.04        2500.00                 NaN   90.7060        1.65176                 NaN            NaN  0.516633                 NaN   1.28614        5.64664       0.192858                 NaN
  1286.00        2500.00                 NaN   90.8719        1.61934                 NaN            NaN  0.511157                 NaN   1.26123        5.54853       0.187867                 NaN
  1284.97        2500.00                 NaN   90.9821        1.59847                 NaN            NaN  0.507570                 NaN   1.24357        5.48440       0.183940                 NaN
  1283.93        2500.00                 NaN   91.0452        1.58488                 NaN            NaN  0.504900                 NaN   1.23174        5.45222       0.181070                 NaN
  1282.89        2500.00                 NaN   91.0073        1.58823                 NaN            NaN  0.507474                 NaN   1.23303        5.48389       0.180107                 NaN
  1281.86        2500.00                 NaN   89.3481        1.76863                 NaN            NaN  0.632870                 NaN   1.47269        6.55845       0.219206                 NaN
  1280.82        2500.00                 NaN   88.5227        2.15428                 NaN            NaN  0.629597                 NaN   1.63841        6.81018       0.244862                 NaN
  1279.78        2500.00                 NaN   94.1757       0.986432                 NaN            NaN  0.286845                 NaN  0.658952        3.80262       0.894336E-001            NaN
  1278.75        2500.00                 NaN   88.5502        1.93115                 NaN            NaN  0.690652                 NaN   1.55424        7.05414       0.219607                 NaN
  1277.71        2500.00                 NaN   89.1941        1.91390                 NaN            NaN  0.586143                 NaN   1.43094        6.67323       0.201646                 NaN
  1276.68        2500.00                 NaN   88.1421        2.06854                 NaN            NaN  0.610235                 NaN   1.55839        7.39602       0.224723                 NaN
  1275.64        2500.00                 NaN   88.5406        1.64884                 NaN            NaN  0.334992       0.376719        1.51513        7.35191       0.231816                 NaN
  1274.60        2500.00                 NaN   86.0977        2.72073                 NaN            NaN  0.625627                 NaN   1.79129        8.51736       0.247293                 NaN
  1273.57        2500.00                 NaN   88.1084        2.12941                 NaN            NaN  0.560947                 NaN   1.55007        7.43018       0.220941                 NaN
  1272.53        2500.00                 NaN   90.0152        1.86506                 NaN            NaN  0.431284                 NaN   1.30612        6.19972       0.182646                 NaN
  1271.50        2500.00                 NaN   90.7066        1.75362                 NaN            NaN  0.400776                 NaN   1.22097        5.74929       0.168760                 NaN
  1270.46        2500.00                 NaN   91.6171        1.62922                 NaN            NaN  0.336541                 NaN   1.10445        5.16200       0.150645                 NaN
  1269.42        2500.00                 NaN   78.6692        3.92975                 NaN            NaN   1.04325                 NaN   2.80267        13.1547       0.400501                 NaN
  1268.39        2500.00                 NaN   99.9164       0.153719E-001            NaN            NaN  0.507611E-002            NaN  0.112281E-001  0.504411E-001  0.145123E-002            NaN
  1267.35        2500.00                 NaN   99.9927       0.363016E-002            NaN            NaN  0.908645E-003            NaN  0.241958E-002            NaN  0.340533E-003            NaN
  1266.31        2500.00                 NaN   99.9633       0.597209E-002            NaN            NaN            NaN            NaN  0.324293E-002  0.270368E-001  0.481940E-003            NaN
  1265.28        2500.00                 NaN   88.3206        2.86907                 NaN            NaN  0.102268                 NaN   1.55638        6.96797       0.183698                 NaN
  1264.24        2500.00                 NaN   89.6142        2.50416                 NaN            NaN  0.138706                 NaN   1.41440        6.17208       0.156471                 NaN
  1263.21        2500.00                 NaN   99.6470       0.900748E-001            NaN            NaN  0.225916E-002            NaN  0.471570E-001  0.208261       0.526336E-002            NaN
  1262.17        2500.00                 NaN   99.8525       0.247704E-001            NaN            NaN  0.966007E-002            NaN  0.211057E-001  0.895620E-001  0.243351E-002            NaN
  1261.13        2500.00                 NaN   90.4717        2.41868                 NaN            NaN            NaN            NaN   1.30029        5.67429       0.135044                 NaN
  1260.10        2500.00                 NaN   89.4045       0.856392        1.68755                 NaN            NaN            NaN   1.36514        6.51623       0.170200                 NaN
  1259.06        2500.00                 NaN  100.0000                 NaN            NaN            NaN  0.557397E-005            NaN  0.202296E-005  0.322127E-005            NaN            NaN
  1258.02        2500.00                 NaN   99.9999       0.774870E-005            NaN            NaN  0.115208E-004            NaN  0.119292E-004  0.306254E-004  0.847504E-006            NaN
  1256.99        2500.00                 NaN  100.0000                 NaN            NaN            NaN            NaN            NaN  0.307648E-005  0.243209E-004  0.835378E-006            NaN
  1255.95        2500.00                 NaN   88.4175        3.19551       0.199562                 NaN            NaN            NaN   1.59467        6.43057       0.162166                 NaN
  1254.92        2500.00                 NaN   99.8622       0.368343E-001            NaN            NaN            NaN            NaN  0.168857E-001  0.813893E-001  0.268838E-002            NaN
  1253.88        2500.00                 NaN   99.9955                 NaN            NaN            NaN            NaN            NaN  0.349280E-003  0.372175E-002  0.438675E-003            NaN
  1252.84        2500.00                 NaN   99.9722       0.849919E-002            NaN            NaN            NaN            NaN  0.411362E-002  0.151994E-001            NaN            NaN
  1251.81        2500.00                 NaN   88.3160        3.07233                 NaN            NaN            NaN            NaN   1.60504        6.84581       0.160804                 NaN
  1250.77        2500.00                 NaN   99.8350       0.466261E-001            NaN            NaN            NaN            NaN  0.232755E-001  0.933275E-001  0.172928E-002            NaN
  1249.73        2500.00                 NaN   99.9127       0.327389E-001            NaN            NaN            NaN            NaN  0.165786E-001  0.367849E-001  0.122605E-002            NaN
  1248.70        2500.00                 NaN   99.8869       0.180586E-001            NaN            NaN            NaN            NaN  0.112842E-001  0.823107E-001  0.147039E-002            NaN
  1247.66        2500.00                 NaN   93.0038        1.53937       0.291429                 NaN            NaN            NaN  0.956866        4.10441       0.104153                 NaN
  1246.63        2500.00                 NaN   97.7040       0.584747                 NaN            NaN            NaN            NaN  0.301213        1.38172       0.283310E-001            NaN
  1245.59        2500.00                 NaN   97.6152       0.619694                 NaN            NaN            NaN            NaN  0.319199        1.41113       0.347480E-001            NaN
  1244.55        2500.00                 NaN   97.8017       0.573404                 NaN            NaN            NaN            NaN  0.301042        1.29481       0.290170E-001            NaN
  1243.52        2500.00                 NaN   97.1907       0.151092                 NaN            NaN            NaN            NaN  0.416799        2.13936       0.102007                 NaN
  1242.48        2500.00                 NaN   99.6515       0.132197E-001  0.577823E-001            NaN            NaN            NaN  0.593738E-001  0.214286       0.380625E-002            NaN
  1241.44        2500.00                 NaN   96.6651        1.45479                 NaN            NaN            NaN            NaN  0.406829        1.47331                 NaN            NaN
  1240.41        2500.00                 NaN   95.3252        1.25713                 NaN            NaN            NaN            NaN  0.643091        2.73322       0.413239E-001            NaN
  1239.37        2500.00                 NaN   99.4874       0.116510                 NaN            NaN            NaN            NaN  0.581013E-001  0.327543       0.104786E-001            NaN
  1238.34        2500.00                 NaN   99.5402       0.115031                 NaN            NaN            NaN            NaN  0.464738E-001  0.296630       0.161493E-002            NaN
  1237.30        2500.00                 NaN   97.2660       0.647285                 NaN            NaN            NaN            NaN  0.366708        1.68626       0.337232E-001            NaN
  1236.26        2500.00                 NaN   99.9999       0.257354E-004            NaN            NaN            NaN            NaN  0.112870E-004  0.435958E-004  0.115490E-005            NaN
  1235.23        2500.00                 NaN   95.7157       0.746763E-001   1.08001                 NaN            NaN            NaN  0.567871        2.50567       0.560748E-001            NaN
  1234.19        2500.00                 NaN   99.9975       0.179452E-002            NaN            NaN            NaN            NaN            NaN            NaN  0.711109E-003            NaN
  1233.15        2500.00                 NaN   99.9661       0.632054E-002  0.579524E-003            NaN            NaN            NaN  0.449397E-002  0.225229E-001            NaN            NaN
  1232.12        2500.00                 NaN   97.5100       0.641500                 NaN            NaN            NaN            NaN  0.325200        1.48983       0.335200E-001            NaN
  1231.08        2500.00                 NaN   98.4015       0.345728                 NaN            NaN            NaN            NaN  0.210198        1.01771       0.248283E-001            NaN
  1230.05        2500.00                 NaN   98.9105       0.274544                 NaN            NaN            NaN            NaN  0.144697       0.656201       0.140779E-001            NaN
  1229.01        2500.00                 NaN   92.8838        1.06545                 NaN            NaN            NaN            NaN  0.688134        3.44278       0.453703E-001   1.87444     
  1227.97        2500.00                 NaN            NaN   11.6705                 NaN            NaN            NaN            NaN   8.39611        46.4312       0.616117        32.8861     
  1226.94        2500.00                 NaN            NaN   11.6698                 NaN            NaN            NaN            NaN   8.39674        46.4309       0.616133        32.8865     
  1225.90        2500.00                 NaN            NaN   11.6627                 NaN            NaN            NaN            NaN   8.39871        46.4363       0.617681        32.8846     
  1224.86        2500.00                 NaN            NaN   11.6702                 NaN            NaN            NaN            NaN   8.39729        46.4284       0.615990        32.8881     
  1223.83        2500.00                 NaN            NaN   11.6708                 NaN            NaN            NaN            NaN   8.39781        46.4266       0.615787        32.8890     
  1222.79        2500.00                 NaN            NaN   11.6643                 NaN            NaN            NaN            NaN   8.40479        46.4274       0.616924        32.8866     
  1221.76        2500.00                 NaN            NaN   11.6707                 NaN            NaN            NaN            NaN   8.39938        46.4243       0.615543        32.8900     
  1220.72        2500.00                 NaN            NaN   11.6699                 NaN            NaN            NaN            NaN   8.40048        46.4235       0.615585        32.8905     
  1219.68        2500.00                 NaN            NaN   11.6708                 NaN            NaN            NaN            NaN   8.40097        46.4214       0.615364        32.8915     
  1218.65        2500.00                 NaN            NaN   11.6673                 NaN            NaN            NaN            NaN   8.40141        46.4243       0.616244        32.8908     
  1217.61        2500.00                 NaN            NaN   11.6724                 NaN            NaN            NaN            NaN   8.40223        46.4173       0.615044        32.8930     
  1216.57        2500.00                 NaN            NaN   11.6743                 NaN            NaN            NaN            NaN   8.41814        46.4012       0.613893        32.8924     
  1215.54        2500.00                 NaN            NaN   11.6712                 NaN            NaN            NaN            NaN   8.40436        46.4154       0.614953        32.8941     
  1214.50        2500.00                 NaN            NaN   11.6710                 NaN            NaN            NaN            NaN   8.40288        46.4163       0.614907        32.8949     
  1213.47        2500.00                 NaN            NaN   11.6712                 NaN            NaN            NaN            NaN   8.40354        46.4149       0.614808        32.8956     
  1212.43        2500.00                 NaN            NaN   11.6713                 NaN            NaN            NaN            NaN   8.40422        46.4135       0.614717        32.8963     
  1211.39        2500.00                 NaN            NaN   11.6715                 NaN            NaN            NaN            NaN   8.40493        46.4120       0.614624        32.8970     
  1210.36        2500.00                 NaN            NaN   11.6716                 NaN            NaN            NaN            NaN   8.40568        46.4106       0.614527        32.8976     
  1209.32        2500.00                 NaN            NaN   11.6717                 NaN            NaN            NaN            NaN   8.40644        46.4091       0.614427        32.8983     
  1208.28        2500.00                 NaN            NaN   11.6719                 NaN            NaN            NaN            NaN   8.40722        46.4076       0.614322        32.8990     
  1207.25        2500.00                 NaN            NaN   11.6720                 NaN            NaN            NaN            NaN   8.40803        46.4060       0.614223        32.8997     
  1206.21        2500.00                 NaN            NaN   11.6895                 NaN            NaN            NaN            NaN   8.44348        46.3567       0.609067        32.9012     
  1205.18        2500.00                 NaN            NaN   11.6888                 NaN            NaN            NaN            NaN   8.45482        46.3467       0.608681        32.9010     
  1204.14        2500.00                 NaN            NaN   11.6808                 NaN            NaN            NaN            NaN   8.46449        46.3467       0.609971        32.8980     
  1203.10        2500.00                 NaN            NaN   11.6670                 NaN            NaN            NaN            NaN   8.41520        46.4024       0.614539        32.9009     
  1202.07        2500.00                 NaN            NaN   11.6889                 NaN            NaN            NaN            NaN   8.44466        46.3536       0.608849        32.9040     
  1201.03        2500.00                 NaN            NaN   11.6894                 NaN            NaN            NaN            NaN   8.44578        46.3514       0.608675        32.9048     
