|6.6.6
Archiving\03_Data\fracLP/QFM_m0.75/GRV/GRV_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       melt(TH)       pxmn           Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1817.04        500.000        99.3213                 NaN  0.678705                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        99.3188                 NaN  0.678766       0.243471E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        99.3096                 NaN  0.678858       0.115643E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        99.3096                 NaN  0.679010       0.114271E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        99.3095                 NaN  0.679162       0.113855E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        99.3093                 NaN  0.679314       0.113509E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        99.3094                 NaN  0.679465       0.111311E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        99.3093                 NaN  0.679614       0.111134E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        99.3092                 NaN  0.679763       0.110442E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        99.3091                 NaN  0.679912       0.109738E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        99.3109                 NaN  0.680059       0.904700E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        99.3072                 NaN  0.680195       0.126050E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        99.3088                 NaN  0.680354       0.108323E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        99.3090                 NaN  0.680500       0.105457E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        99.3088                 NaN  0.680645       0.105564E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        99.3087                 NaN  0.680790       0.105348E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        99.3087                 NaN  0.680934       0.103678E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        99.3086                 NaN  0.681077       0.103424E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        99.3086                 NaN  0.681220       0.102292E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        99.3085                 NaN  0.681362       0.101837E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        99.3084                 NaN  0.681504       0.101101E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        99.3083                 NaN  0.681645       0.100324E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        99.3083                 NaN  0.681785       0.994084E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        99.3122                 NaN  0.681920       0.584823E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        99.3046                 NaN  0.682036       0.133395E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        99.3076                 NaN  0.682199       0.101941E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        99.3080                 NaN  0.682340       0.966926E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        99.3080                 NaN  0.682477       0.957087E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        98.8547                 NaN  0.682794       0.918052E-002  0.453282                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        99.4118                 NaN            NaN  0.915537E-002  0.579000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        99.4079                 NaN            NaN  0.913912E-002  0.582990                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        99.4033                 NaN            NaN  0.913700E-002  0.587589                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        99.3966                 NaN            NaN  0.915612E-002  0.594277                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        99.3970                 NaN            NaN  0.906779E-002  0.593919                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        99.3898                 NaN            NaN  0.911999E-002  0.601101                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        99.3864                 NaN            NaN  0.908556E-002  0.604528                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        99.3816                 NaN            NaN  0.908219E-002  0.609366                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        99.3766                 NaN            NaN  0.907954E-002  0.614308                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        99.3712                 NaN            NaN  0.907861E-002  0.619734                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        99.3693                 NaN            NaN  0.903264E-002  0.621660                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        99.3626                 NaN            NaN  0.905609E-002  0.628325                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        99.3586                 NaN            NaN  0.903788E-002  0.632394                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        99.3525                 NaN            NaN  0.905152E-002  0.638422                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        99.3501                 NaN            NaN  0.900793E-002  0.640850                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        99.3452                 NaN            NaN  0.901042E-002  0.645829                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        99.3397                 NaN            NaN  0.900973E-002  0.651318                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        99.3351                 NaN            NaN  0.900234E-002  0.655874                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000        99.3289                 NaN            NaN  0.901234E-002  0.662062                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        99.3274                 NaN            NaN  0.897209E-002  0.663662                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        99.3219                 NaN            NaN  0.898239E-002  0.669118                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000        99.3181                 NaN            NaN  0.896481E-002  0.672915                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000        99.3142                 NaN            NaN  0.896117E-002  0.676857                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000        99.3093                 NaN            NaN  0.896912E-002  0.681775                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        99.3059                 NaN            NaN  0.894182E-002  0.685147                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000        99.3017                 NaN            NaN  0.894269E-002  0.689379                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        99.2986                 NaN            NaN  0.892838E-002  0.692428                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        99.2944                 NaN            NaN  0.892896E-002  0.696670                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        99.2910                 NaN            NaN  0.891904E-002  0.700066                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        99.2888                 NaN            NaN  0.890799E-002  0.702289                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        99.2844                 NaN            NaN  0.891669E-002  0.706673                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        99.2830                 NaN            NaN  0.888423E-002  0.708118                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000        99.2807                 NaN            NaN  0.888819E-002  0.710363                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000        99.2778                 NaN            NaN  0.887712E-002  0.713303                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        500.000        99.2740                 NaN            NaN  0.889142E-002  0.717121                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        500.000        99.2753                 NaN            NaN  0.883579E-002  0.715840                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        500.000        99.2715                 NaN            NaN  0.884974E-002  0.719603                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        500.000        99.2699                 NaN            NaN  0.884800E-002  0.721209                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        500.000        99.2681                 NaN            NaN  0.884396E-002  0.723008                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        500.000        99.2488                 NaN            NaN  0.904182E-002  0.742186                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        500.000        99.2870                 NaN            NaN  0.857421E-002  0.704463                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        500.000        99.2700                 NaN            NaN  0.877455E-002  0.721237                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        500.000        99.2652                 NaN            NaN  0.880039E-002  0.725960                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        500.000        99.2582                 NaN            NaN  0.888407E-002  0.732909                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        500.000        99.2803                 NaN            NaN  0.860905E-002  0.711136                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        500.000        97.7699                 NaN            NaN  0.266279E-001   2.20349                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        500.000        99.9996                 NaN            NaN  0.403494E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        500.000        99.3264                 NaN            NaN  0.746529E-002  0.666117                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        500.000        98.6329                 NaN            NaN  0.627578E-002  0.354329        1.00654                 NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        500.000        98.0761                 NaN            NaN  0.386985E-002  0.229031E-001   1.89717                 NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        500.000        97.9328                 NaN            NaN  0.407973E-002  0.187050E-001   2.04442                 NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        500.000        98.3162                 NaN            NaN  0.305845E-002  0.111931E-001   1.66960                 NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        500.000        98.1715                 NaN            NaN  0.328186E-002  0.750632E-002   1.81776                 NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        500.000        98.2035                 NaN            NaN  0.304620E-002  0.150731E-001   1.77842                 NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        500.000        98.2309                 NaN            NaN  0.279814E-002  0.361326E-003   1.76595                 NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        500.000        98.2584                 NaN            NaN  0.260595E-002            NaN   1.73904                 NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        500.000        98.2876                 NaN            NaN  0.249063E-002  0.883132E-006   1.70995                 NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        500.000        98.3145                 NaN            NaN  0.230592E-002            NaN   1.68322                 NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        500.000        98.0823                 NaN            NaN  0.267004E-002  0.531769E-001   1.86186                 NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        500.000        98.6332                 NaN            NaN  0.164404E-002            NaN   1.36518                 NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        500.000        98.3869                 NaN            NaN  0.174255E-002            NaN   1.61141                 NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        98.4169                 NaN            NaN  0.166845E-002            NaN   1.58142                 NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        500.000        98.4378                 NaN            NaN  0.145191E-002            NaN   1.56078                 NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        500.000        98.4587                 NaN            NaN  0.137674E-002            NaN   1.53997                 NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        500.000        98.4789                 NaN            NaN  0.119664E-002            NaN   1.51991                 NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        500.000        98.5026                 NaN            NaN  0.100359E-002            NaN   1.49642                 NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000        98.5219                 NaN            NaN  0.842544E-003            NaN   1.47722                 NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        500.000        98.5394                 NaN            NaN  0.617846E-003            NaN   1.45997                 NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        500.000        98.5615                 NaN            NaN  0.492262E-003            NaN   1.43803                 NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        500.000        98.5791                 NaN            NaN  0.453391E-003            NaN   1.42045                 NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        500.000        98.5969                 NaN            NaN  0.250713E-003            NaN   1.40287                 NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        500.000        98.6139                 NaN            NaN  0.196257E-003            NaN   1.38586                 NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000        98.6312                 NaN            NaN  0.900601E-003            NaN   1.36789                 NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        500.000        98.6495                 NaN            NaN  0.424196E-003            NaN   1.35009                 NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        500.000        98.6591                 NaN            NaN            NaN            NaN   1.34090                 NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        500.000        98.6763                 NaN            NaN            NaN            NaN   1.32366                 NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000        98.6935                 NaN            NaN            NaN            NaN   1.30646                 NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        500.000        98.7074                 NaN            NaN  0.199944E-003            NaN   1.29240                 NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        500.000        98.7196                 NaN            NaN            NaN            NaN   1.28040                 NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        500.000        98.7295                 NaN            NaN            NaN            NaN   1.27046                 NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        500.000        98.7452                 NaN            NaN  0.465452E-003            NaN   1.25430                 NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        500.000        98.7575                 NaN            NaN            NaN            NaN   1.24254                 NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        500.000        98.7648                 NaN            NaN            NaN            NaN   1.23516                 NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        500.000        98.7787                 NaN            NaN  0.981462E-003            NaN   1.22034                 NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        500.000        98.7855                 NaN            NaN            NaN            NaN   1.21446                 NaN            NaN            NaN            NaN            NaN            NaN
  1528.82        500.000        98.7980                 NaN            NaN            NaN            NaN   1.20196                 NaN            NaN            NaN            NaN            NaN            NaN
  1526.32        500.000        98.6788                 NaN            NaN            NaN            NaN   1.32115                 NaN            NaN            NaN            NaN            NaN            NaN
  1523.81        500.000        98.9343                 NaN            NaN            NaN            NaN   1.06570                 NaN            NaN            NaN            NaN            NaN            NaN
  1521.30        500.000        98.4382                 NaN            NaN            NaN            NaN            NaN   1.56181                 NaN            NaN            NaN            NaN            NaN
  1518.80        500.000        98.3194                 NaN            NaN            NaN            NaN            NaN   1.68057                 NaN            NaN            NaN            NaN            NaN
  1516.29        500.000        97.8116                 NaN            NaN  0.997499E-002            NaN            NaN  0.846841        1.33156                 NaN            NaN            NaN            NaN
  1513.78        500.000        97.3896                 NaN            NaN  0.106561E-001            NaN            NaN  0.746130        1.85360                 NaN            NaN            NaN            NaN
  1511.28        500.000        97.4512                 NaN            NaN  0.943048E-002            NaN  0.694695E-001  0.627861        1.84206                 NaN            NaN            NaN            NaN
  1508.77        500.000        97.4673                 NaN            NaN  0.277457E-002            NaN  0.591463        1.93843                 NaN            NaN            NaN            NaN            NaN
  1506.27        500.000        97.5326                 NaN            NaN  0.234493E-002            NaN  0.577210        1.88786                 NaN            NaN            NaN            NaN            NaN
  1503.76        500.000        97.5965                 NaN            NaN  0.183571E-002            NaN  0.571746        1.82988                 NaN            NaN            NaN            NaN            NaN
  1501.25        500.000        97.6564                 NaN            NaN  0.144089E-002            NaN  0.559450        1.78271                 NaN            NaN            NaN            NaN            NaN
  1498.75        500.000        97.7138                 NaN            NaN  0.100894E-002            NaN  0.551362        1.73385                 NaN            NaN            NaN            NaN            NaN
  1496.24        500.000        97.7713                 NaN            NaN  0.687419E-003            NaN  0.535894        1.69215                 NaN            NaN            NaN            NaN            NaN
  1493.73        500.000        97.8240                 NaN            NaN  0.289284E-003            NaN  0.527445        1.64827                 NaN            NaN            NaN            NaN            NaN
  1491.23        500.000        97.8755                 NaN            NaN  0.273383E-004            NaN  0.511581        1.61292                 NaN            NaN            NaN            NaN            NaN
  1488.72        500.000        97.9271                 NaN            NaN  0.694406E-003            NaN  0.493817        1.57837                 NaN            NaN            NaN            NaN            NaN
  1486.22        500.000        97.9721                 NaN            NaN            NaN            NaN  0.481685        1.54623                 NaN            NaN            NaN            NaN            NaN
  1483.71        500.000        98.0175                 NaN            NaN            NaN            NaN  0.465292        1.51723                 NaN            NaN            NaN            NaN            NaN
  1481.20        500.000        98.0587                 NaN            NaN            NaN            NaN  0.446878        1.49444                 NaN            NaN            NaN            NaN            NaN
  1478.70        500.000        98.1080                 NaN            NaN  0.622440E-003            NaN  0.434387        1.45696                 NaN            NaN            NaN            NaN            NaN
  1476.19        500.000        98.1443                 NaN            NaN            NaN            NaN  0.419648        1.43610                 NaN            NaN            NaN            NaN            NaN
  1473.68        500.000        98.1859                 NaN            NaN            NaN            NaN  0.412509        1.40158                 NaN            NaN            NaN            NaN            NaN
  1471.18        500.000        98.2196                 NaN            NaN            NaN            NaN  0.392818        1.38754                 NaN            NaN            NaN            NaN            NaN
