|6.6.6
Archiving\03_Data\eqfrac/QFM_m2/LAR/LAR_1.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          an             San(TH)        San(TH)        ilm            q             
  1339.43        2500.00                 NaN   99.3216       0.269356       0.570365E-001            NaN            NaN  0.150592       0.201414                 NaN            NaN            NaN            NaN
  1338.34        2500.00                 NaN   99.3268       0.553009E-001  0.268180                 NaN            NaN  0.149979       0.199786                 NaN            NaN            NaN            NaN
  1337.26        2500.00                 NaN   99.3308       0.266858       0.558617E-001            NaN            NaN  0.148226       0.198227                 NaN            NaN            NaN            NaN
  1336.18        2500.00                 NaN   99.3359       0.265317       0.552884E-001            NaN            NaN  0.146996       0.196509                 NaN            NaN            NaN            NaN
  1335.09        2500.00                 NaN   99.3405       0.263423       0.555055E-001            NaN            NaN  0.145640       0.194926                 NaN            NaN            NaN            NaN
  1334.01        2500.00                 NaN   99.3447       0.556623E-001  0.262134                 NaN            NaN  0.144172       0.193348                 NaN            NaN            NaN            NaN
  1332.92        2500.00                 NaN   99.3493       0.556115E-001  0.260597                 NaN            NaN  0.142726       0.191754                 NaN            NaN            NaN            NaN
  1331.84        2500.00                 NaN   99.3538       0.562004E-001  0.258501                 NaN            NaN  0.141265       0.190214                 NaN            NaN            NaN            NaN
  1330.75        2500.00                 NaN   99.3574       0.548902E-001  0.257335                 NaN            NaN  0.141063       0.189270                 NaN            NaN            NaN            NaN
  1329.67        2500.00                 NaN   99.3636       0.582532E-001  0.254259                 NaN            NaN  0.137262       0.186577                 NaN            NaN            NaN            NaN
  1328.58        2500.00                 NaN   99.3664       0.253291       0.582038E-001            NaN            NaN  0.136429       0.185654                 NaN            NaN            NaN            NaN
  1327.50        2500.00                 NaN   99.3706       0.578791E-001  0.252500                 NaN            NaN  0.134919       0.184089                 NaN            NaN            NaN            NaN
  1326.42        2500.00                 NaN   99.3751       0.249633       0.586369E-001            NaN            NaN  0.133790       0.182792                 NaN            NaN            NaN            NaN
  1325.33        2500.00                 NaN   99.3786       0.248275       0.601510E-001            NaN            NaN  0.131691       0.181291                 NaN            NaN            NaN            NaN
  1324.25        2500.00                 NaN   99.3830       0.248276       0.584493E-001            NaN            NaN  0.130602       0.179711                 NaN            NaN            NaN            NaN
  1323.16        2500.00                 NaN   99.3855       0.247693       0.590645E-001            NaN            NaN  0.129067       0.178674                 NaN            NaN            NaN            NaN
  1322.08        2500.00                 NaN   99.3917       0.243490       0.616950E-001            NaN            NaN  0.126569       0.176573                 NaN            NaN            NaN            NaN
  1320.99        2500.00                 NaN   99.3944       0.613265E-001  0.242969                 NaN            NaN  0.125661       0.175596                 NaN            NaN            NaN            NaN
  1319.91        2500.00                 NaN   99.3979       0.240314       0.641685E-001            NaN            NaN  0.123376       0.174238                 NaN            NaN            NaN            NaN
  1318.82        2500.00                 NaN   99.4017       0.239172       0.645242E-001            NaN            NaN  0.121768       0.172841                 NaN            NaN            NaN            NaN
  1317.74        2500.00                 NaN   99.4052       0.236856       0.661846E-001            NaN            NaN  0.120104       0.171607                 NaN            NaN            NaN            NaN
  1316.66        2500.00                 NaN   99.4093       0.235143       0.671288E-001            NaN            NaN  0.118306       0.170139                 NaN            NaN            NaN            NaN
  1315.57        2500.00                 NaN   99.4128       0.683454E-001  0.233341                 NaN            NaN  0.116630       0.168864                 NaN            NaN            NaN            NaN
  1314.49        2500.00                 NaN   99.4161       0.699788E-001  0.231520                 NaN            NaN  0.114698       0.167670                 NaN            NaN            NaN            NaN
  1313.40        2500.00                 NaN   99.4199       0.700336E-001  0.230450                 NaN            NaN  0.113337       0.166237                 NaN            NaN            NaN            NaN
  1312.32        2500.00                 NaN   99.4233       0.227986       0.723882E-001            NaN            NaN  0.111300       0.165037                 NaN            NaN            NaN            NaN
  1311.23        2500.00                 NaN   99.4259       0.226175       0.741366E-001            NaN            NaN  0.109727       0.164100                 NaN            NaN            NaN            NaN
  1310.15        2500.00                 NaN   99.4299       0.770288E-001  0.223481                 NaN            NaN  0.107072       0.162548                 NaN            NaN            NaN            NaN
  1309.06        2500.00                 NaN   99.4328       0.781552E-001  0.222231                 NaN            NaN  0.105405       0.161402                 NaN            NaN            NaN            NaN
  1307.98        2500.00                 NaN   99.4360       0.219755       0.803683E-001            NaN            NaN  0.103621       0.160238                 NaN            NaN            NaN            NaN
  1306.90        2500.00                 NaN   99.4395       0.218323       0.806240E-001            NaN            NaN  0.102357       0.159180                 NaN            NaN            NaN            NaN
  1305.81        2500.00                 NaN   99.4413       0.217107       0.822309E-001            NaN            NaN  0.100839       0.158496                 NaN            NaN            NaN            NaN
  1304.73        2500.00                 NaN   97.9410       0.133833       0.457064                 NaN            NaN  0.226186       0.340795       0.901154                 NaN            NaN            NaN
  1303.64        2500.00                 NaN   90.6512        1.66684       0.356184                 NaN            NaN  0.836394        1.23328        5.25606                 NaN            NaN            NaN
  1302.56        2500.00                 NaN   91.0743       0.304012        1.65034                 NaN            NaN  0.793877        1.18046        4.99702                 NaN            NaN            NaN
  1301.47        2500.00                 NaN   91.4390        1.64355       0.257069                 NaN            NaN  0.754278        1.13527        4.77082                 NaN            NaN            NaN
  1300.39        2500.00                 NaN   91.7910       0.196609        1.64690                 NaN            NaN  0.718714        1.09151        4.55531                 NaN            NaN            NaN
  1299.30        2500.00                 NaN   92.0943        1.67915       0.119195                 NaN            NaN  0.686160        1.05392        4.36729                 NaN            NaN            NaN
  1298.22        2500.00                 NaN   92.3890       0.292413E-001   1.72466                 NaN            NaN  0.653012        1.01750        4.18660                 NaN            NaN            NaN
  1297.14        2500.00                 NaN   92.6442        1.72656                 NaN            NaN            NaN  0.617073       0.985775        4.02642                 NaN            NaN            NaN
  1296.05        2500.00                 NaN   92.8646        1.58673       0.185029                 NaN            NaN  0.531260       0.958604        3.87373                 NaN            NaN            NaN
  1294.97        2500.00                 NaN   93.1213        1.66077                 NaN            NaN            NaN  0.559534       0.926159        3.73220                 NaN            NaN            NaN
  1293.88        2500.00                 NaN   93.3311        1.63663                 NaN            NaN            NaN  0.528948       0.900517        3.60281                 NaN            NaN            NaN
  1292.80        2500.00                 NaN   93.5263        1.61307                 NaN            NaN            NaN  0.504134       0.875800        3.48072                 NaN            NaN            NaN
  1291.71        2500.00                 NaN   92.3872        1.81883                 NaN            NaN            NaN  0.580945        1.02468        4.08917                 NaN  0.991672E-001            NaN
  1290.63        2500.00                 NaN   88.4843        2.52650                 NaN            NaN            NaN  0.850693        1.52947        6.20297                 NaN  0.406111                 NaN
  1289.54        2500.00                 NaN   88.7436        2.42346                 NaN            NaN            NaN  0.895371        1.49061        6.05098                 NaN  0.395989                 NaN
  1288.46        2500.00                 NaN   89.0672        2.32227                 NaN            NaN            NaN  0.899227        1.44789        5.88030                 NaN  0.383108                 NaN
  1287.38        2500.00                 NaN   89.3591        2.24687                 NaN            NaN            NaN  0.894666        1.40824        5.72094                 NaN  0.370207                 NaN
  1286.29        2500.00                 NaN   89.5614        2.19051                 NaN            NaN            NaN  0.896484        1.38013        5.61122                 NaN  0.360289                 NaN
  1285.21        2500.00                 NaN   89.8197        2.14505                 NaN            NaN            NaN  0.873543        1.34328        5.47045                 NaN  0.347951                 NaN
  1284.12        2500.00                 NaN   89.9141        2.12185                 NaN            NaN            NaN  0.869299        1.32864        5.42449                 NaN  0.341581                 NaN
  1283.04        2500.00                 NaN   89.9753        2.10418                 NaN            NaN            NaN  0.867868        1.31720        5.39879                 NaN  0.336659                 NaN
  1281.95        2500.00                 NaN   89.8333        2.12949                 NaN            NaN            NaN  0.871102        1.33095        5.49475                 NaN  0.340387                 NaN
  1280.87        2500.00                 NaN   90.1013        2.25659                 NaN            NaN            NaN  0.673747        1.27701        5.36015                 NaN  0.331181                 NaN
  1279.78        2500.00                 NaN   89.1282        2.18764                 NaN            NaN            NaN   1.03222        1.42076        5.87951                 NaN  0.351655                 NaN
  1278.70        2500.00                 NaN   88.7113        2.32713                 NaN            NaN            NaN   1.00347        1.46479        6.13390                 NaN  0.359375                 NaN
  1277.62        2500.00                 NaN   88.2383        2.43089                 NaN            NaN            NaN   1.01796        1.50786        6.42984                 NaN  0.375195                 NaN
  1276.53        2500.00                 NaN   85.8790        2.82978                 NaN            NaN            NaN   1.25624        1.79035        7.79159                 NaN  0.453077                 NaN
  1275.45        2500.00                 NaN   82.7526        3.33872                 NaN            NaN            NaN   1.55773        2.19114        9.60276                 NaN  0.557001                 NaN
  1274.36        2500.00                 NaN   96.3733       0.887447                 NaN            NaN            NaN  0.277389       0.460937        1.87911                 NaN  0.121841                 NaN
  1273.28        2500.00                 NaN   79.7098        4.32493                 NaN            NaN            NaN   1.54852        2.52486        11.2725                 NaN  0.619297                 NaN
  1272.19        2500.00                 NaN   87.9593        2.62330                 NaN            NaN            NaN  0.903372        1.51422        6.62762                 NaN  0.372181                 NaN
  1271.11        2500.00                 NaN   89.1530        2.45001                 NaN            NaN            NaN  0.741446        1.36546        5.95579                 NaN  0.334287                 NaN
  1270.02        2500.00                 NaN   70.8220        7.03936                 NaN            NaN            NaN   1.75963        3.70284        15.8039                 NaN  0.872269                 NaN
  1268.94        2500.00                 NaN   96.9222       0.755103                 NaN            NaN            NaN  0.225552       0.381558        1.62426                 NaN  0.913549E-001            NaN
  1267.86        2500.00                 NaN   99.7700                 NaN            NaN            NaN            NaN  0.740792E-001  0.521060E-001  0.970725E-001            NaN  0.675620E-002            NaN
  1266.77        2500.00                 NaN   98.1752       0.771641                 NaN            NaN            NaN            NaN  0.236188       0.759913                 NaN  0.570586E-001            NaN
  1265.69        2500.00                 NaN   98.8971                 NaN            NaN            NaN            NaN  0.120010       0.112596       0.841248                 NaN  0.290732E-001            NaN
  1264.60        2500.00                 NaN   89.3184        3.34068                 NaN            NaN            NaN  0.187799        1.36358        5.52539                 NaN  0.264196                 NaN
  1263.52        2500.00                 NaN   88.1426        3.44770                 NaN            NaN            NaN  0.255136        1.52851        6.30685                 NaN  0.319190                 NaN
  1262.43        2500.00                 NaN  100.0000       0.968578E-005            NaN            NaN            NaN  0.960464E-005  0.798783E-005            NaN            NaN            NaN            NaN
  1261.35        2500.00                 NaN   99.9999       0.186954E-005  0.603070E-005            NaN            NaN            NaN  0.435905E-005  0.493992E-004            NaN  0.259027E-005            NaN
  1260.26        2500.00                 NaN  100.0000       0.391413E-005  0.303470E-005            NaN            NaN            NaN  0.278508E-005  0.128087E-004            NaN            NaN            NaN
  1259.18        2500.00                 NaN   84.1234        5.44090                 NaN            NaN            NaN            NaN   2.03795        8.03961                 NaN  0.358114                 NaN
  1258.10        2500.00                 NaN   90.9484        2.68023                 NaN            NaN            NaN            NaN   1.16096        4.99441                 NaN  0.216011                 NaN
  1257.01        2500.00                 NaN   99.9188                 NaN            NaN            NaN            NaN  0.176936E-001  0.123673E-001  0.486982E-001            NaN  0.242439E-002            NaN
  1255.93        2500.00                 NaN  100.0000                 NaN            NaN            NaN            NaN  0.131261E-005  0.150278E-005  0.354586E-005  0.165565E-005            NaN            NaN
  1254.84        2500.00                 NaN   90.6778        3.56237                 NaN            NaN            NaN            NaN   1.21273        4.34822                 NaN  0.198930                 NaN
  1253.76        2500.00                 NaN   95.4500       0.922199       0.557455                 NaN            NaN            NaN  0.594927        2.36661                 NaN  0.108851                 NaN
  1252.67        2500.00                 NaN   99.6964       0.955064E-001            NaN            NaN            NaN            NaN  0.345312E-001  0.165054                 NaN  0.851915E-002            NaN
  1251.59        2500.00                 NaN   95.5963        1.51700                 NaN            NaN            NaN            NaN  0.577527        2.21475                 NaN  0.944478E-001            NaN
  1250.50        2500.00                 NaN   94.1469        1.98842                 NaN            NaN            NaN            NaN  0.755862        2.97957                 NaN  0.129245                 NaN
  1249.42        2500.00                 NaN   95.7694        1.42869                 NaN            NaN            NaN            NaN  0.549977        2.15678                 NaN  0.951957E-001            NaN
  1248.34        2500.00                 NaN   99.7786       0.746429E-001            NaN            NaN            NaN            NaN  0.289599E-001  0.113032                 NaN  0.481340E-002            NaN
  1247.25        2500.00                 NaN   99.5648       0.136613                 NaN            NaN            NaN            NaN  0.562937E-001  0.231382                 NaN  0.109402E-001            NaN
  1246.17        2500.00                 NaN   92.4523       0.819221        1.70028                 NaN            NaN            NaN  0.969776        3.88211                 NaN  0.176353                 NaN
  1245.08        2500.00                 NaN   97.0483       0.676401                 NaN            NaN            NaN            NaN  0.197798        1.94331                 NaN  0.134193                 NaN
  1244.00        2500.00                 NaN   97.6366        1.05730                 NaN            NaN            NaN            NaN  0.501904       0.804161                 NaN            NaN            NaN
  1242.91        2500.00                 NaN   97.3125       0.936608                 NaN            NaN            NaN            NaN  0.345074        1.36557                 NaN  0.402023E-001            NaN
  1241.83        2500.00                 NaN   96.6425       0.541098E-001  0.998781                 NaN            NaN            NaN  0.437338        1.78146                 NaN  0.858164E-001            NaN
  1240.74        2500.00                 NaN   97.7334       0.479490       0.177531                 NaN            NaN            NaN  0.282045        1.26698                 NaN  0.605074E-001            NaN
  1239.66        2500.00                 NaN   99.9970       0.143562E-002            NaN            NaN            NaN  0.122936E-004  0.584987E-003  0.979890E-003            NaN            NaN            NaN
  1238.58        2500.00                 NaN   96.4900        1.24805                 NaN            NaN            NaN            NaN  0.450260        1.74433                 NaN  0.673840E-001            NaN
  1237.49        2500.00                 NaN   97.8905       0.672111                 NaN            NaN            NaN            NaN  0.266608        1.11958                 NaN  0.511657E-001            NaN
  1236.41        2500.00                 NaN   97.8027       0.744446                 NaN            NaN            NaN            NaN  0.281917        1.12580                 NaN  0.451357E-001            NaN
  1235.32        2500.00                 NaN   98.0243       0.648165                 NaN            NaN            NaN            NaN  0.252458        1.03101                 NaN  0.441183E-001            NaN
  1234.24        2500.00                 NaN   98.8466       0.358980E-001  0.642161                 NaN            NaN            NaN  0.273270       0.159459                 NaN  0.426442E-001            NaN
  1233.15        2500.00                 NaN   95.2713       0.939268                 NaN            NaN            NaN            NaN  0.476825        3.21599                 NaN  0.965915E-001            NaN
  1232.07        2500.00                 NaN   99.7682       0.816029E-001            NaN            NaN            NaN            NaN  0.275623E-001  0.117843                 NaN  0.481499E-002            NaN
  1230.98        2500.00                 NaN   99.6743       0.128478                 NaN            NaN            NaN            NaN  0.667673E-001  0.115484                 NaN  0.149684E-001            NaN
  1229.90        2500.00                 NaN   97.4767       0.841882       0.275192                 NaN            NaN            NaN  0.296452        1.05467                 NaN  0.550737E-001            NaN
  1228.82        2500.00                 NaN   97.7758       0.477474       0.239827                 NaN            NaN            NaN  0.277408        1.20638                 NaN  0.230660E-001            NaN
  1227.73        2500.00                 NaN            NaN   15.8903                 NaN            NaN            NaN            NaN   8.57420        43.4605                 NaN   1.07338        31.0016     
  1226.65        2500.00                 NaN            NaN   15.8916                 NaN            NaN            NaN            NaN   8.57712        43.4570                 NaN   1.07256        31.0017     
  1225.56        2500.00                 NaN            NaN   15.8943                 NaN            NaN            NaN            NaN   8.58043        43.4523                 NaN   1.07095        31.0020     
  1224.48        2500.00                 NaN            NaN   15.8928                 NaN            NaN            NaN            NaN   8.58430        43.4500                 NaN   1.07138        31.0015     
  1223.39        2500.00                 NaN            NaN   15.8939                 NaN            NaN            NaN            NaN   8.58922        43.4449                 NaN   1.07045        31.0016     
  1222.31        2500.00                 NaN            NaN   15.8948                 NaN            NaN            NaN            NaN   8.58687        43.4461                 NaN   1.07024        31.0020     
  1221.22        2500.00                 NaN            NaN   15.8968                 NaN            NaN            NaN            NaN   8.59686        43.4361                 NaN   1.06855        31.0017     
