|6.6.6
Archiving\03_Data\eqfrac/QFM_m2/LAR/LAR_3.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          an             San(TH)        San(TH)        ilm            q             
  1395.82        2500.00                 NaN   99.0777       0.139833       0.305533                 NaN            NaN  0.145957       0.331015                 NaN            NaN            NaN            NaN
  1394.73        2500.00                 NaN   99.0964       0.139462       0.299247                 NaN            NaN  0.141717       0.323205                 NaN            NaN            NaN            NaN
  1393.65        2500.00                 NaN   99.1024       0.133625       0.298953                 NaN            NaN  0.143172       0.321830                 NaN            NaN            NaN            NaN
  1392.57        2500.00                 NaN   99.1115       0.296720       0.130629                 NaN            NaN  0.142543       0.318560                 NaN            NaN            NaN            NaN
  1391.48        2500.00                 NaN   99.1212       0.126763       0.294580                 NaN            NaN  0.142170       0.315272                 NaN            NaN            NaN            NaN
  1390.40        2500.00                 NaN   99.1289       0.292615       0.123266                 NaN            NaN  0.142258       0.312929                 NaN            NaN            NaN            NaN
  1389.31        2500.00                 NaN   98.9109       0.153419       0.367849                 NaN            NaN  0.177411       0.390452                 NaN            NaN            NaN            NaN
  1388.23        2500.00                 NaN   99.3730       0.212129       0.862140E-001            NaN            NaN  0.103708       0.224919                 NaN            NaN            NaN            NaN
  1387.14        2500.00                 NaN   99.1578       0.114435       0.285746                 NaN            NaN  0.139697       0.302334                 NaN            NaN            NaN            NaN
  1386.06        2500.00                 NaN   99.1659       0.284222       0.110777                 NaN            NaN  0.139457       0.299635                 NaN            NaN            NaN            NaN
  1384.97        2500.00                 NaN   99.1738       0.282219       0.108269                 NaN            NaN  0.138889       0.296813                 NaN            NaN            NaN            NaN
  1383.89        2500.00                 NaN   99.1823       0.280220       0.105363                 NaN            NaN  0.138307       0.293818                 NaN            NaN            NaN            NaN
  1382.81        2500.00                 NaN   99.1888       0.278634       0.103065                 NaN            NaN  0.137946       0.291575                 NaN            NaN            NaN            NaN
  1381.72        2500.00                 NaN   99.1993       0.994679E-001  0.275903                 NaN            NaN  0.137455       0.287848                 NaN            NaN            NaN            NaN
  1380.64        2500.00                 NaN   99.2065       0.274310       0.974858E-001            NaN            NaN  0.136494       0.285225                 NaN            NaN            NaN            NaN
  1379.55        2500.00                 NaN   99.6556       0.649761E-001  0.104395                 NaN            NaN  0.497001E-001  0.125311                 NaN            NaN            NaN            NaN
  1378.47        2500.00                 NaN   98.7801       0.438845       0.121340                 NaN            NaN  0.222265       0.437457                 NaN            NaN            NaN            NaN
  1377.38        2500.00                 NaN   99.2310       0.268350       0.900307E-001            NaN            NaN  0.134276       0.276311                 NaN            NaN            NaN            NaN
  1376.30        2500.00                 NaN   99.0694       0.324318       0.105927                 NaN            NaN  0.165233       0.335161                 NaN            NaN            NaN            NaN
  1375.21        2500.00                 NaN   99.7267       0.976437E-001  0.267355E-001            NaN            NaN  0.500737E-001  0.988287E-001            NaN            NaN            NaN            NaN
  1374.13        2500.00                 NaN   98.9381       0.123282       0.372077                 NaN            NaN  0.185849       0.380740                 NaN            NaN            NaN            NaN
  1373.05        2500.00                 NaN   99.2588       0.261854       0.803888E-001            NaN            NaN  0.132384       0.266524                 NaN            NaN            NaN            NaN
  1371.96        2500.00                 NaN   99.2653       0.785650E-001  0.260321                 NaN            NaN  0.131607       0.264198                 NaN            NaN            NaN            NaN
  1370.88        2500.00                 NaN   99.6314       0.336287E-001  0.134336                 NaN            NaN  0.671319E-001  0.133475                 NaN            NaN            NaN            NaN
  1369.79        2500.00                 NaN   98.9140       0.386376       0.117751                 NaN            NaN  0.193256       0.388603                 NaN            NaN            NaN            NaN
  1368.71        2500.00                 NaN   99.2865       0.254948       0.722742E-001            NaN            NaN  0.129699       0.256555                 NaN            NaN            NaN            NaN
  1367.62        2500.00                 NaN   99.2927       0.707907E-001  0.253294                 NaN            NaN  0.128901       0.254287                 NaN            NaN            NaN            NaN
  1366.54        2500.00                 NaN   99.5730       0.152453       0.405682E-001            NaN            NaN  0.796331E-001  0.154332                 NaN            NaN            NaN            NaN
  1365.45        2500.00                 NaN   99.0316       0.347466       0.978602E-001            NaN            NaN  0.175832       0.347255                 NaN            NaN            NaN            NaN
  1364.37        2500.00                 NaN   99.3127       0.656615E-001  0.248309                 NaN            NaN  0.126481       0.246849                 NaN            NaN            NaN            NaN
  1363.29        2500.00                 NaN   99.3190       0.246671       0.636648E-001            NaN            NaN  0.125962       0.244725                 NaN            NaN            NaN            NaN
  1362.20        2500.00                 NaN   99.3256       0.618136E-001  0.245296                 NaN            NaN  0.125080       0.242216                 NaN            NaN            NaN            NaN
  1361.12        2500.00                 NaN   99.3303       0.570860E-001  0.245418                 NaN            NaN  0.126093       0.241124                 NaN            NaN            NaN            NaN
  1360.03        2500.00                 NaN   99.3371       0.241166       0.626228E-001            NaN            NaN  0.121816       0.237273                 NaN            NaN            NaN            NaN
  1358.95        2500.00                 NaN   99.3436       0.574629E-001  0.240829                 NaN            NaN  0.122689       0.235461                 NaN            NaN            NaN            NaN
  1357.86        2500.00                 NaN   99.3490       0.238998       0.554277E-001            NaN            NaN  0.122712       0.233871                 NaN            NaN            NaN            NaN
  1356.78        2500.00                 NaN   99.3551       0.237426       0.561341E-001            NaN            NaN  0.120410       0.230908                 NaN            NaN            NaN            NaN
  1355.70        2500.00                 NaN   99.3600       0.236556       0.533063E-001            NaN            NaN  0.120644       0.229464                 NaN            NaN            NaN            NaN
  1354.61        2500.00                 NaN   99.3657       0.535441E-001  0.234786                 NaN            NaN  0.118921       0.227029                 NaN            NaN            NaN            NaN
  1353.53        2500.00                 NaN   99.3716       0.515982E-001  0.232581                 NaN            NaN  0.118975       0.225233                 NaN            NaN            NaN            NaN
  1352.44        2500.00                 NaN   99.3768       0.232032       0.511486E-001            NaN            NaN  0.117220       0.222766                 NaN            NaN            NaN            NaN
  1351.36        2500.00                 NaN   99.3819       0.501783E-001  0.229985                 NaN            NaN  0.116783       0.221126                 NaN            NaN            NaN            NaN
  1350.27        2500.00                 NaN   99.3872       0.229243       0.490617E-001            NaN            NaN  0.115606       0.218881                 NaN            NaN            NaN            NaN
  1349.19        2500.00                 NaN   99.3921       0.479494E-001  0.227747                 NaN            NaN  0.115017       0.217206                 NaN            NaN            NaN            NaN
  1348.10        2500.00                 NaN   99.3985       0.470983E-001  0.225935                 NaN            NaN  0.113800       0.214699                 NaN            NaN            NaN            NaN
  1347.02        2500.00                 NaN   99.4035       0.466058E-001  0.224193                 NaN            NaN  0.112879       0.212837                 NaN            NaN            NaN            NaN
  1345.94        2500.00                 NaN   99.4078       0.222716       0.465395E-001            NaN            NaN  0.111822       0.211141                 NaN            NaN            NaN            NaN
  1344.85        2500.00                 NaN   99.4140       0.433234E-001  0.221791                 NaN            NaN  0.111489       0.209363                 NaN            NaN            NaN            NaN
  1343.77        2500.00                 NaN   99.4173       0.220093       0.462573E-001            NaN            NaN  0.109410       0.206973                 NaN            NaN            NaN            NaN
  1342.68        2500.00                 NaN   99.4222       0.438027E-001  0.219188                 NaN            NaN  0.109197       0.205604                 NaN            NaN            NaN            NaN
  1341.60        2500.00                 NaN   99.4273       0.217103       0.447617E-001            NaN            NaN  0.107450       0.203390                 NaN            NaN            NaN            NaN
  1340.51        2500.00                 NaN   99.4320       0.215257       0.439663E-001            NaN            NaN  0.106936       0.201848                 NaN            NaN            NaN            NaN
  1339.43        2500.00                 NaN   99.4363       0.213887       0.444967E-001            NaN            NaN  0.105362       0.199906                 NaN            NaN            NaN            NaN
  1338.34        2500.00                 NaN   99.4412       0.431087E-001  0.212784                 NaN            NaN  0.104797       0.198155                 NaN            NaN            NaN            NaN
  1337.26        2500.00                 NaN   99.4451       0.211501       0.435013E-001            NaN            NaN  0.103418       0.196475                 NaN            NaN            NaN            NaN
  1336.18        2500.00                 NaN   99.4498       0.210093       0.430147E-001            NaN            NaN  0.102424       0.194640                 NaN            NaN            NaN            NaN
  1335.09        2500.00                 NaN   99.4542       0.208395       0.431433E-001            NaN            NaN  0.101332       0.192940                 NaN            NaN            NaN            NaN
  1334.01        2500.00                 NaN   99.4582       0.432237E-001  0.207183                 NaN            NaN  0.100157       0.191248                 NaN            NaN            NaN            NaN
  1332.92        2500.00                 NaN   99.4625       0.431464E-001  0.205766                 NaN            NaN  0.990187E-001  0.189542                 NaN            NaN            NaN            NaN
  1331.84        2500.00                 NaN   99.4668       0.435609E-001  0.203917                 NaN            NaN  0.978677E-001  0.187891                 NaN            NaN            NaN            NaN
  1330.75        2500.00                 NaN   99.4703       0.425058E-001  0.202800                 NaN            NaN  0.976119E-001  0.186832                 NaN            NaN            NaN            NaN
  1329.67        2500.00                 NaN   99.4759       0.450659E-001  0.200171                 NaN            NaN  0.948210E-001  0.184048                 NaN            NaN            NaN            NaN
  1328.58        2500.00                 NaN   99.4787       0.199228       0.449887E-001            NaN            NaN  0.941146E-001  0.183013                 NaN            NaN            NaN            NaN
  1327.50        2500.00                 NaN   99.4826       0.446975E-001  0.198411                 NaN            NaN  0.929481E-001  0.181347                 NaN            NaN            NaN            NaN
  1326.42        2500.00                 NaN   99.4868       0.195959       0.452461E-001            NaN            NaN  0.920618E-001  0.179947                 NaN            NaN            NaN            NaN
  1325.33        2500.00                 NaN   99.4901       0.194726       0.463674E-001            NaN            NaN  0.904737E-001  0.178348                 NaN            NaN            NaN            NaN
  1324.25        2500.00                 NaN   99.4942       0.194547       0.450169E-001            NaN            NaN  0.896008E-001  0.176674                 NaN            NaN            NaN            NaN
  1323.16        2500.00                 NaN   99.4967       0.193858       0.454406E-001            NaN            NaN  0.884290E-001  0.175535                 NaN            NaN            NaN            NaN
  1322.08        2500.00                 NaN   99.5021       0.190458       0.474367E-001            NaN            NaN  0.866135E-001  0.173353                 NaN            NaN            NaN            NaN
  1320.99        2500.00                 NaN   99.5049       0.471059E-001  0.189844                 NaN            NaN  0.858612E-001  0.172278                 NaN            NaN            NaN            NaN
  1319.91        2500.00                 NaN   99.5082       0.187571       0.492397E-001            NaN            NaN  0.841747E-001  0.170830                 NaN            NaN            NaN            NaN
  1318.82        2500.00                 NaN   99.5117       0.186516       0.494725E-001            NaN            NaN  0.829617E-001  0.169345                 NaN            NaN            NaN            NaN
  1317.74        2500.00                 NaN   99.5150       0.184519       0.506974E-001            NaN            NaN  0.817248E-001  0.168023                 NaN            NaN            NaN            NaN
  1316.66        2500.00                 NaN   99.5187       0.183029       0.513793E-001            NaN            NaN  0.803910E-001  0.166473                 NaN            NaN            NaN            NaN
  1315.57        2500.00                 NaN   99.5220       0.522666E-001  0.181459                 NaN            NaN  0.791471E-001  0.165114                 NaN            NaN            NaN            NaN
  1314.49        2500.00                 NaN   99.5251       0.534685E-001  0.179865                 NaN            NaN  0.777416E-001  0.163836                 NaN            NaN            NaN            NaN
  1313.40        2500.00                 NaN   99.5286       0.534662E-001  0.178874                 NaN            NaN  0.767080E-001  0.162327                 NaN            NaN            NaN            NaN
  1312.32        2500.00                 NaN   99.5317       0.176791       0.552165E-001            NaN            NaN  0.752318E-001  0.161048                 NaN            NaN            NaN            NaN
  1311.23        2500.00                 NaN   99.5342       0.175210       0.564986E-001            NaN            NaN  0.740576E-001  0.160027                 NaN            NaN            NaN            NaN
  1310.15        2500.00                 NaN   99.5378       0.586539E-001  0.172960                 NaN            NaN  0.721870E-001  0.158407                 NaN            NaN            NaN            NaN
  1309.06        2500.00                 NaN   99.5406       0.594591E-001  0.171819                 NaN            NaN  0.709582E-001  0.157186                 NaN            NaN            NaN            NaN
  1307.98        2500.00                 NaN   99.5435       0.169762       0.610929E-001            NaN            NaN  0.696654E-001  0.155948                 NaN            NaN            NaN            NaN
  1306.90        2500.00                 NaN   99.5467       0.168498       0.612401E-001            NaN            NaN  0.687378E-001  0.154816                 NaN            NaN            NaN            NaN
  1305.81        2500.00                 NaN   99.5485       0.167391       0.624078E-001            NaN            NaN  0.676258E-001  0.154049                 NaN            NaN            NaN            NaN
  1304.73        2500.00                 NaN   98.1211       0.101578       0.352366                 NaN            NaN  0.151577       0.331344       0.942048                 NaN            NaN            NaN
  1303.64        2500.00                 NaN   91.1544        1.28899       0.271345                 NaN            NaN  0.561337        1.20444        5.51944                 NaN            NaN            NaN
  1302.56        2500.00                 NaN   91.5581       0.231549        1.27498                 NaN            NaN  0.531584        1.15344        5.25032                 NaN            NaN            NaN
  1301.47        2500.00                 NaN   91.9066        1.26842       0.195766                 NaN            NaN  0.503892        1.10985        5.01549                 NaN            NaN            NaN
  1300.39        2500.00                 NaN   92.2422       0.149735        1.26989                 NaN            NaN  0.479074        1.06760        4.79153                 NaN            NaN            NaN
  1299.30        2500.00                 NaN   92.5317        1.29346       0.907992E-001            NaN            NaN  0.456391        1.03134        4.59630                 NaN            NaN            NaN
  1298.22        2500.00                 NaN   92.8124       0.222807E-001   1.32703                 NaN            NaN  0.433549       0.996170        4.40852                 NaN            NaN            NaN
  1297.14        2500.00                 NaN   93.0559        1.32743                 NaN            NaN            NaN  0.408920       0.965586        4.24217                 NaN            NaN            NaN
  1296.05        2500.00                 NaN   93.2662        1.21810       0.141113                 NaN            NaN  0.351448       0.939461        4.08369                 NaN            NaN            NaN
  1294.97        2500.00                 NaN   93.5101        1.27586                 NaN            NaN            NaN  0.369485       0.908072        3.93651                 NaN            NaN            NaN
  1293.88        2500.00                 NaN   93.7093        1.25654                 NaN            NaN            NaN  0.348704       0.883344        3.80210                 NaN            NaN            NaN
  1292.80        2500.00                 NaN   93.8953        1.23809                 NaN            NaN            NaN  0.331842       0.859501        3.67522                 NaN            NaN            NaN
  1291.71        2500.00                 NaN   92.8323        1.39820                 NaN            NaN            NaN  0.382111        1.00689        4.32358                 NaN  0.569252E-001            NaN
  1290.63        2500.00                 NaN   89.1705        1.95092                 NaN            NaN            NaN  0.559351        1.50720        6.57831                 NaN  0.233779                 NaN
  1289.54        2500.00                 NaN   89.4267        1.87284                 NaN            NaN            NaN  0.587500        1.46850        6.41655                 NaN  0.227887                 NaN
  1288.46        2500.00                 NaN   89.7371        1.79431                 NaN            NaN            NaN  0.588433        1.42577        6.23403                 NaN  0.220372                 NaN
  1287.38        2500.00                 NaN   90.0182        1.73549                 NaN            NaN            NaN  0.583881        1.38606        6.06354                 NaN  0.212846                 NaN
  1286.29        2500.00                 NaN   90.2146        1.69172                 NaN            NaN            NaN  0.583129        1.35774        5.94580                 NaN  0.207041                 NaN
  1285.21        2500.00                 NaN   90.4620        1.65520                 NaN            NaN            NaN  0.567288        1.32073        5.79492                 NaN  0.199832                 NaN
  1284.12        2500.00                 NaN   90.5539        1.63626                 NaN            NaN            NaN  0.563093        1.30566        5.74504                 NaN  0.196071                 NaN
  1283.04        2500.00                 NaN   90.6138        1.62178                 NaN            NaN            NaN  0.560881        1.29373        5.71669                 NaN  0.193140                 NaN
  1281.95        2500.00                 NaN   90.4774        1.64047                 NaN            NaN            NaN  0.562120        1.30664        5.81816                 NaN  0.195188                 NaN
  1280.87        2500.00                 NaN   90.7170        1.73388                 NaN            NaN            NaN  0.432696        1.25296        5.67364                 NaN  0.189796                 NaN
  1279.78        2500.00                 NaN   89.8267        1.68650                 NaN            NaN            NaN  0.662569        1.39426        6.22843                 NaN  0.201563                 NaN
  1278.70        2500.00                 NaN   89.4282        1.78782                 NaN            NaN            NaN  0.642996        1.43668        6.49845                 NaN  0.205872                 NaN
  1277.62        2500.00                 NaN   88.9753        1.86824                 NaN            NaN            NaN  0.650816        1.47819        6.81259                 NaN  0.214825                 NaN
  1276.53        2500.00                 NaN   86.7377        2.17625                 NaN            NaN            NaN  0.801383        1.75629        8.26881                 NaN  0.259587                 NaN
  1275.45        2500.00                 NaN   83.7611        2.57234                 NaN            NaN            NaN  0.990161        2.15131        10.2057                 NaN  0.319401                 NaN
  1274.36        2500.00                 NaN   96.6529       0.675338                 NaN            NaN            NaN  0.174878       0.448204        1.97948                 NaN  0.691937E-001            NaN
  1273.28        2500.00                 NaN   80.8738        3.31219                 NaN            NaN            NaN  0.985576        2.47967        11.9936                 NaN  0.355215                 NaN
  1272.19        2500.00                 NaN   88.7438        1.99182                 NaN            NaN            NaN  0.569948        1.47692        7.00547                 NaN  0.212007                 NaN
  1271.11        2500.00                 NaN   89.8785        1.85246                 NaN            NaN            NaN  0.466341        1.32916        6.28346                 NaN  0.190036                 NaN
  1270.02        2500.00                 NaN   72.5400        5.34376                 NaN            NaN            NaN   1.11478        3.64240        16.8580                 NaN  0.501094                 NaN
  1268.94        2500.00                 NaN   97.1823       0.564392                 NaN            NaN            NaN  0.139786       0.367172        1.69505                 NaN  0.513393E-001            NaN
  1267.86        2500.00                 NaN   99.7997                 NaN            NaN            NaN            NaN  0.456923E-001  0.500132E-001  0.100790                 NaN  0.378707E-002            NaN
  1266.77        2500.00                 NaN   98.3769       0.572412                 NaN            NaN            NaN            NaN  0.226947       0.791688                 NaN  0.320174E-001            NaN
  1265.69        2500.00                 NaN   98.9264                 NaN            NaN            NaN            NaN  0.741510E-001  0.108029       0.875156                 NaN  0.162892E-001            NaN
  1264.60        2500.00                 NaN   90.1711        2.45980                 NaN            NaN            NaN  0.116561        1.31712        5.78640                 NaN  0.149025                 NaN
  1263.52        2500.00                 NaN   89.0662        2.52935                 NaN            NaN            NaN  0.158405        1.47365        6.59267                 NaN  0.179703                 NaN
  1262.43        2500.00                 NaN  100.0000       0.706365E-005            NaN            NaN            NaN  0.587922E-005  0.762149E-005            NaN            NaN            NaN            NaN
  1261.35        2500.00                 NaN   99.9999       0.137642E-005  0.450780E-005            NaN            NaN            NaN  0.415924E-005  0.511039E-004            NaN  0.144322E-005            NaN
  1260.26        2500.00                 NaN  100.0000       0.288174E-005  0.226101E-005            NaN            NaN            NaN  0.265749E-005  0.132469E-004            NaN            NaN            NaN
  1259.18        2500.00                 NaN   85.4550        3.97271                 NaN            NaN            NaN            NaN   1.96520        8.40549                 NaN  0.201645                 NaN
  1258.10        2500.00                 NaN   91.6719        1.92916                 NaN            NaN            NaN            NaN   1.10838        5.17016                 NaN  0.120419                 NaN
  1257.01        2500.00                 NaN   99.9262                 NaN            NaN            NaN            NaN  0.107540E-001  0.117147E-001  0.499893E-001            NaN  0.134091E-002            NaN
  1255.93        2500.00                 NaN  100.0000                 NaN            NaN            NaN            NaN  0.792310E-006  0.142341E-005  0.364099E-005  0.169336E-005            NaN            NaN
  1254.84        2500.00                 NaN   91.6793        2.55921                 NaN            NaN            NaN            NaN   1.15588        4.49496                 NaN  0.110707                 NaN
  1253.76        2500.00                 NaN   95.8993       0.652236       0.399658                 NaN            NaN            NaN  0.562467        2.42626                 NaN  0.600882E-001            NaN
  1252.67        2500.00                 NaN   99.7267       0.676596E-001            NaN            NaN            NaN            NaN  0.325011E-001  0.168482                 NaN  0.468165E-002            NaN
  1251.59        2500.00                 NaN   96.0594        1.07746                 NaN            NaN            NaN            NaN  0.544950        2.26617                 NaN  0.520340E-001            NaN
  1250.50        2500.00                 NaN   94.7597        1.41064                 NaN            NaN            NaN            NaN  0.712441        3.04608                 NaN  0.711253E-001            NaN
  1249.42        2500.00                 NaN   96.2255        1.00982                 NaN            NaN            NaN            NaN  0.516417        2.19603                 NaN  0.521881E-001            NaN
  1248.34        2500.00                 NaN   99.8034       0.523494E-001            NaN            NaN            NaN            NaN  0.270681E-001  0.114543                 NaN  0.262667E-002            NaN
  1247.25        2500.00                 NaN   99.6108       0.961395E-001            NaN            NaN            NaN            NaN  0.526183E-001  0.234440                 NaN  0.597020E-002            NaN
  1246.17        2500.00                 NaN   93.2571       0.576720        1.20707                 NaN            NaN            NaN  0.910365        3.95213                 NaN  0.966509E-001            NaN
  1245.08        2500.00                 NaN   97.3064       0.471838                 NaN            NaN            NaN            NaN  0.184409        1.96428                 NaN  0.730403E-001            NaN
  1244.00        2500.00                 NaN   97.9800       0.740386                 NaN            NaN            NaN            NaN  0.467379       0.812265                 NaN            NaN            NaN
  1242.91        2500.00                 NaN   97.6247       0.656170                 NaN            NaN            NaN            NaN  0.320760        1.37651                 NaN  0.218162E-001            NaN
  1241.83        2500.00                 NaN   97.0183       0.381075E-001  0.698523                 NaN            NaN            NaN  0.406061        1.79249                 NaN  0.465156E-001            NaN
  1240.74        2500.00                 NaN   97.9737       0.334032       0.124581                 NaN            NaN            NaN  0.261211        1.27376                 NaN  0.327138E-001            NaN
  1239.66        2500.00                 NaN   99.9975       0.100894E-002            NaN            NaN            NaN  0.722006E-005  0.540456E-003  0.981684E-003            NaN            NaN            NaN
  1238.58        2500.00                 NaN   96.9263       0.869224                 NaN            NaN            NaN            NaN  0.416901        1.75117                 NaN  0.364219E-001            NaN
  1237.49        2500.00                 NaN   98.1380       0.467789                 NaN            NaN            NaN            NaN  0.246064        1.12057                 NaN  0.275666E-001            NaN
  1236.41        2500.00                 NaN   98.0749       0.515764                 NaN            NaN            NaN            NaN  0.259888        1.12519                 NaN  0.242891E-001            NaN
  1235.32        2500.00                 NaN   98.2657       0.449428                 NaN            NaN            NaN            NaN  0.232367        1.02878                 NaN  0.237040E-001            NaN
  1234.24        2500.00                 NaN   99.0995       0.249795E-001  0.442649                 NaN            NaN            NaN  0.251102       0.158855                 NaN  0.228733E-001            NaN
  1233.15        2500.00                 NaN   95.6621       0.643989                 NaN            NaN            NaN            NaN  0.438167        3.20392                 NaN  0.518114E-001            NaN
  1232.07        2500.00                 NaN   99.7994       0.558720E-001            NaN            NaN            NaN            NaN  0.252281E-001  0.116935                 NaN  0.257255E-002            NaN
  1230.98        2500.00                 NaN   99.7287       0.875978E-001            NaN            NaN            NaN            NaN  0.611062E-001  0.114561                 NaN  0.799631E-002            NaN
  1229.90        2500.00                 NaN   97.8774       0.584101       0.188983                 NaN            NaN            NaN  0.271625        1.04844                 NaN  0.294542E-001            NaN
  1228.82        2500.00                 NaN   98.0454       0.330346       0.163465                 NaN            NaN            NaN  0.253470        1.19506                 NaN  0.123016E-001            NaN
  1227.73        2500.00                 NaN            NaN   11.7965                 NaN            NaN            NaN            NaN   8.44544        46.4664                 NaN  0.617101        32.6746     
  1226.65        2500.00                 NaN            NaN   11.7976                 NaN            NaN            NaN            NaN   8.44830        46.4622                 NaN  0.616621        32.6753     
  1225.56        2500.00                 NaN            NaN   11.7996                 NaN            NaN            NaN            NaN   8.45156        46.4568                 NaN  0.615688        32.6764     
  1224.48        2500.00                 NaN            NaN   11.7986                 NaN            NaN            NaN            NaN   8.45533        46.4538                 NaN  0.615923        32.6764     
  1223.39        2500.00                 NaN            NaN   11.7996                 NaN            NaN            NaN            NaN   8.46015        46.4478                 NaN  0.615378        32.6771     
