|6.6.6
Archiving\03_Data\eq/QFM/GRV/GRV_3.tab                                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          10
T(K)           P(bar)         melt(TH)       pxmn           Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        pnt           
  1548.08        2500.00        27.8057       0.733387       0.640222        26.1563        44.5672       0.971460E-001            NaN            NaN
  1544.87        2500.00        26.0767       0.734905       0.625880        26.3862        45.1439        1.03243                 NaN            NaN
  1541.67        2500.00        24.3568       0.736436       0.611950        26.6159        45.4906        2.18829                 NaN            NaN
  1538.46        2500.00        22.6300       0.737971       0.597960        26.8465        45.8386        3.34893                 NaN            NaN
  1535.26        2500.00        21.2512       0.739218       0.583168        27.0255        46.1552        4.24571                 NaN            NaN
  1532.05        2500.00        19.8679       0.740467       0.568325        27.2050        46.4728        5.14548                 NaN            NaN
  1528.85        2500.00        18.4802       0.741718       0.553432        27.3850        46.7914        6.04826                 NaN            NaN
  1525.64        2500.00        17.0880       0.742972       0.538487        27.5656        47.1109        6.95406                 NaN            NaN
  1522.44        2500.00        15.9836       0.743987       0.524385        27.6999        47.3686        7.67959                 NaN            NaN
  1519.23        2500.00        14.8764       0.745003       0.510244        27.8344        47.6269        8.40708                 NaN            NaN
  1516.03        2500.00        13.8770       0.745931       0.497787        27.9480        47.7654        9.03900       0.126888                 NaN
  1512.82        2500.00        12.8878       0.746846       0.490673        28.0407        47.5282        9.50250       0.803236                 NaN
  1509.62        2500.00        12.8870       0.746863       0.490684        28.0410        47.5287        9.50258       0.803245                 NaN
  1506.41        2500.00        12.8861       0.746880       0.490695        28.0412        47.5292        9.50266       0.803254                 NaN
  1503.21        2500.00        12.8852       0.746897       0.490707        28.0415        47.5297        9.50274       0.803263                 NaN
  1500.00        2500.00        12.8844       0.746914       0.490718        28.0417        47.5301        9.50283       0.803272                 NaN
  1496.79        2500.00        12.8835       0.746931       0.490729        28.0420        47.5306        9.50291       0.803281                 NaN
  1493.59        2500.00        12.8826       0.746948       0.490740        28.0423        47.5311        9.50299       0.803290                 NaN
  1490.38        2500.00        12.8818       0.746965       0.490751        28.0425        47.5316        9.50308       0.803299                 NaN
  1487.18        2500.00        6.71783       0.752780       0.449198        28.4607        45.6948        12.5356        5.38910                 NaN
  1483.97        2500.00        6.71740       0.752793       0.449207        28.4608        45.6950        12.5357        5.38913                 NaN
  1480.77        2500.00        6.71697       0.752806       0.449216        28.4609        45.6952        12.5357        5.38917                 NaN
  1477.56        2500.00        6.71654       0.752818       0.449225        28.4610        45.6955        12.5358        5.38920                 NaN
  1474.36        2500.00        6.71611       0.752831       0.449233        28.4611        45.6957        12.5358        5.38924                 NaN
  1471.15        2500.00        6.71567       0.752844       0.449242        28.4612        45.6959        12.5359        5.38927                 NaN
  1467.95        2500.00        6.71524       0.752857       0.449251        28.4613        45.6962        12.5359        5.38931                 NaN
  1464.74        2500.00        6.71481       0.752869       0.449260        28.4614        45.6964        12.5359        5.38934                 NaN
  1461.54        2500.00        3.10874       0.756621       0.418470        28.4990        45.3140        14.7410        7.16214                 NaN
  1458.33        2500.00        3.10857       0.756632       0.418478        28.4990        45.3141        14.7410        7.16216                 NaN
  1455.13        2500.00        3.10839       0.756642       0.418486        28.4990        45.3142        14.7410        7.16219                 NaN
  1451.92        2500.00        3.10822       0.756652       0.418494        28.4990        45.3143        14.7411        7.16222                 NaN
  1448.72        2500.00        3.10804       0.756663       0.418502        28.4990        45.3144        14.7411        7.16225                 NaN
  1445.51        2500.00        3.10787       0.756673       0.418509        28.4990        45.3145        14.7411        7.16228                 NaN
  1442.31        2500.00        3.10769       0.756683       0.418517        28.4991        45.3146        14.7411        7.16231                 NaN
  1439.10        2500.00        3.10751       0.756693       0.418525        28.4991        45.3148        14.7411        7.16234                 NaN
  1435.90        2500.00       0.905527       0.759299       0.401236        28.3654        45.6027        16.3661        7.59985                 NaN
  1432.69        2500.00       0.905484       0.759308       0.401243        28.3653        45.6027        16.3661        7.59987                 NaN
  1429.49        2500.00       0.905441       0.759317       0.401251        28.3653        45.6028        16.3661        7.59989                 NaN
  1426.28        2500.00       0.905398       0.759326       0.401258        28.3652        45.6028        16.3660        7.59992                 NaN
  1423.08        2500.00       0.759515E-001  0.760418       0.397939        28.2657        45.8273        17.0402        7.63254                 NaN
  1419.87        2500.00                 NaN  0.760536       0.399181        28.2561        45.8716        7.58933        17.1232                 NaN
  1416.67        2500.00                 NaN  0.760554       0.402295        28.2569        45.9170        17.1455        7.51781                 NaN
  1413.46        2500.00                 NaN  0.760562       0.402302        28.2568        45.9170        17.1455        7.51783                 NaN
  1410.26        2500.00                 NaN  0.760592       0.408766        28.2585        45.9785        7.39454        17.1991                 NaN
  1407.05        2500.00                 NaN  0.760600       0.408774        28.2584        45.9786        7.39456        17.1991                 NaN
  1403.85        2500.00                 NaN  0.760608       0.408782        28.2583        45.9786        7.39458        17.1991                 NaN
  1400.64        2500.00                 NaN  0.760616       0.408789        28.2583        45.9786        7.39461        17.1991                 NaN
  1397.44        2500.00                 NaN  0.760625       0.408797        28.2582        45.9787        7.39463        17.1991                 NaN
  1394.23        2500.00                 NaN  0.760633       0.408805        28.2581        45.9787        7.39465        17.1991                 NaN
  1391.03        2500.00                 NaN  0.760641       0.408812        28.2581        45.9788        7.39467        17.1990                 NaN
  1387.82        2500.00                 NaN  0.760649       0.408820        28.2580        45.9788        7.39470        17.1990                 NaN
  1384.62        2500.00                 NaN  0.760743       0.435897        28.2662        46.2094        17.3959        6.93186                 NaN
  1381.41        2500.00                 NaN  0.760751       0.435906        28.2662        46.2094        17.3959        6.93188                 NaN
  1378.21        2500.00                 NaN  0.760759       0.435914        28.2661        46.2095        17.3959        6.93190                 NaN
  1375.00        2500.00                 NaN  0.760767       0.435922        28.2660        46.2095        17.3959        6.93193                 NaN
  1371.79        2500.00                 NaN  0.760775       0.435930        28.2659        46.2095        17.3959        6.93195                 NaN
  1368.59        2500.00                 NaN  0.760783       0.435938        28.2659        46.2096        17.3958        6.93197                 NaN
  1365.38        2500.00                 NaN  0.760791       0.435946        28.2658        46.2096        17.3958        6.93200                 NaN
  1362.18        2500.00                 NaN  0.760799       0.435955        28.2657        46.2097        17.3958        6.93202                 NaN
  1358.97        2500.00                 NaN  0.760891       0.466252        28.2697        46.4045        17.5741        6.52466                 NaN
  1355.77        2500.00                 NaN  0.760899       0.466261        28.2696        46.4045        17.5741        6.52468                 NaN
  1352.56        2500.00                 NaN  0.760906       0.466270        28.2695        46.4046        17.5740        6.52470                 NaN
  1349.36        2500.00                 NaN  0.760914       0.466278        28.2694        46.4046        17.5740        6.52473                 NaN
  1346.15        2500.00                 NaN  0.760922       0.466287        28.2694        46.4047        17.5740        6.52475                 NaN
  1342.95        2500.00                 NaN  0.760929       0.466296        28.2693        46.4047        17.5740        6.52478                 NaN
  1339.74        2500.00                 NaN  0.760937       0.466305        28.2692        46.4048        17.5740        6.52480                 NaN
  1336.54        2500.00                 NaN  0.760945       0.466314        28.2691        46.4048        17.5740        6.52482                 NaN
  1333.33        2500.00                 NaN  0.761038       0.500887        28.2702        46.5383        17.7372        6.19234                 NaN
  1330.13        2500.00                 NaN  0.761046       0.500897        28.2701        46.5384        17.7372        6.19236                 NaN
  1326.92        2500.00                 NaN  0.761053       0.500906        28.2700        46.5384        17.7372        6.19239                 NaN
  1323.72        2500.00                 NaN  0.761061       0.500916        28.2700        46.5385        17.7372        6.19241                 NaN
  1320.51        2500.00                 NaN  0.761068       0.500925        28.2699        46.5386        17.7371        6.19244                 NaN
  1317.31        2500.00                 NaN  0.761076       0.500935        28.2698        46.5386        17.7371        6.19246                 NaN
  1314.10        2500.00                 NaN  0.761083       0.500944        28.2697        46.5387        17.7371        6.19249                 NaN
  1310.90        2500.00                 NaN  0.761090       0.500954        28.2696        46.5387        17.7371        6.19251                 NaN
  1307.69        2500.00                 NaN  0.761182       0.539087        28.2661        46.6508        5.89737        17.8854                 NaN
  1304.49        2500.00                 NaN  0.761189       0.539097        28.2661        46.6509        5.89739        17.8854                 NaN
  1301.28        2500.00                 NaN  0.761197       0.539108        28.2660        46.6509        5.89742        17.8854                 NaN
  1298.08        2500.00                 NaN  0.761204       0.539118        28.2659        46.6510        5.89745        17.8854                 NaN
  1294.87        2500.00                 NaN  0.761211       0.539128        28.2658        46.6511        5.89747        17.8853                 NaN
  1291.67        2500.00                 NaN  0.761218       0.539138        28.2657        46.6511        5.89750        17.8853                 NaN
  1288.46        2500.00                 NaN  0.761225       0.539149        28.2656        46.6512        5.89752        17.8853                 NaN
  1285.26        2500.00                 NaN  0.761232       0.539159        28.2655        46.6513        5.89755        17.8853                 NaN
  1282.05        2500.00                 NaN  0.761325       0.580709        28.2596        46.7392        5.63570        18.0235                 NaN
  1278.85        2500.00                 NaN  0.761332       0.580720        28.2595        46.7392        5.63572        18.0234                 NaN
  1275.64        2500.00                 NaN  0.761339       0.580731        28.2595        46.7393        5.63575        18.0234                 NaN
  1272.44        2500.00                 NaN  0.761346       0.580743        28.2594        46.7394        5.63578        18.0234                 NaN
  1269.23        2500.00                 NaN  0.761353       0.580754        28.2593        46.7395        5.63580        18.0234                 NaN
  1266.03        2500.00                 NaN  0.761360       0.580765        28.2592        46.7395        5.63583        18.0233                 NaN
  1262.82        2500.00                 NaN  0.761367       0.580776        28.2591        46.7396        5.63585        18.0233                 NaN
  1259.62        2500.00                 NaN  0.761374       0.580787        28.2590        46.7397        5.63588        18.0233                 NaN
  1256.41        2500.00                 NaN  0.761465       0.626026        28.2486        46.8061        18.1454        5.41245                 NaN
  1253.21        2500.00                 NaN  0.761471       0.626038        28.2485        46.8061        18.1454        5.41248                 NaN
  1250.00        2500.00                 NaN  0.761478       0.626050        28.2484        46.8062        18.1454        5.41251                 NaN
  1246.79        2500.00                 NaN  0.761485       0.626062        28.2483        46.8063        18.1454        5.41253                 NaN
  1243.59        2500.00                 NaN  0.761492       0.626074        28.2482        46.8064        18.1453        5.41256                 NaN
  1240.38        2500.00                 NaN  0.761498       0.626086        28.2481        46.8064        18.1453        5.41259                 NaN
  1237.18        2500.00                 NaN  0.761505       0.626098        28.2480        46.8065        18.1453        5.41261                 NaN
  1233.97        2500.00                 NaN  0.761512       0.626110        28.2479        46.8066        18.1453        5.41264                 NaN
  1230.77        2500.00                 NaN  0.761602       0.675160        28.2333        46.8646        18.2580        5.20730                 NaN
  1227.56        2500.00                 NaN  0.761609       0.675173        28.2332        46.8647        18.2580        5.20733                 NaN
  1224.36        2500.00                 NaN  0.761615       0.675186        28.2331        46.8648        18.2579        5.20736                 NaN
  1221.15        2500.00                 NaN  0.761622       0.675200        28.2330        46.8649        18.2579        5.20738                 NaN
  1217.95        2500.00                 NaN  0.761628       0.675213        28.2329        46.8650        18.2579        5.20741                 NaN
  1214.74        2500.00                 NaN  0.761635       0.675226        28.2328        46.8650        18.2578        5.20744                 NaN
  1211.54        2500.00                 NaN  0.761641       0.675239        28.2327        46.8651        18.2578        5.20747                 NaN
  1208.33        2500.00                 NaN  0.761647       0.675252        28.2326        46.8652        18.2578        5.20749                 NaN
  1205.13        2500.00                 NaN  0.761737       0.728068        28.2142        46.9147        18.3577        5.02355                 NaN
  1201.92        2500.00                 NaN  0.761744       0.728083        28.2141        46.9148        18.3577        5.02358                 NaN
  1198.72        2500.00                 NaN  0.761750       0.728097        28.2140        46.9149        18.3577        5.02361                 NaN
  1195.51        2500.00                 NaN  0.761756       0.728112        28.2139        46.9149        18.3576        5.02363                 NaN
  1192.31        2500.00                 NaN  0.761762       0.728126        28.2138        46.9150        18.3576        5.02366                 NaN
  1189.10        2500.00                 NaN  0.761769       0.728140        28.2137        46.9151        18.3576        5.02369                 NaN
  1185.90        2500.00                 NaN  0.761775       0.728154        28.2136        46.9152        18.3575        5.02372                 NaN
  1182.69        2500.00                 NaN  0.761781       0.728169        28.2135        46.9153        18.3575        5.02374                 NaN
  1179.49        2500.00                 NaN  0.761870       0.784433        28.1908        46.9573        18.4481        4.85744                 NaN
  1176.28        2500.00                 NaN  0.761876       0.784448        28.1907        46.9574        18.4481        4.85747                 NaN
  1173.08        2500.00                 NaN  0.761882       0.784464        28.1906        46.9575        18.4481        4.85750                 NaN
  1169.87        2500.00                 NaN  0.761888       0.784479        28.1905        46.9575        18.4480        4.85753                 NaN
  1166.67        2500.00                 NaN  0.761894       0.784495        28.1904        46.9576        18.4480        4.85756                 NaN
  1163.46        2500.00                 NaN  0.761900       0.784510        28.1903        46.9577        18.4480        4.85758                 NaN
  1160.26        2500.00                 NaN  0.761906       0.784526        28.1902        46.9578        18.4479        4.85761                 NaN
  1157.05        2500.00                 NaN  0.761912       0.784541        28.1901        46.9579        18.4479        4.85764                 NaN
  1153.85        2500.00                 NaN  0.761985       0.848136        28.1502        47.0145        18.5192        4.70606                 NaN
  1150.64        2500.00                 NaN  0.761991       0.848153        28.1501        47.0146        18.5191        4.70609                 NaN
  1147.44        2500.00                 NaN  0.761997       0.848170        28.1500        47.0147        18.5191        4.70612                 NaN
  1144.23        2500.00                 NaN  0.762003       0.848187        28.1499        47.0148        18.5190        4.70615                 NaN
  1141.03        2500.00                 NaN  0.762009       0.848204        28.1498        47.0149        18.5190        4.70618                 NaN
  1137.82        2500.00                 NaN  0.762015       0.848220        28.1496        47.0150        18.5190        4.70621                 NaN
  1134.62        2500.00                 NaN  0.762020       0.848237        28.1495        47.0151        18.5189        4.70624                 NaN
  1131.41        2500.00                 NaN  0.762026       0.848254        28.1494        47.0152        18.5189        4.70627                 NaN
  1128.21        2500.00                 NaN  0.762130       0.909055        28.1328        47.0359        18.5986        4.56162                 NaN
  1125.00        2500.00                 NaN  0.762136       0.909073        28.1327        47.0360        18.5985        4.56165                 NaN
  1121.79        2500.00                 NaN  0.762142       0.909092        28.1325        47.0361        18.5985        4.56168                 NaN
  1118.59        2500.00                 NaN  0.762147       0.909110        28.1324        47.0362        18.5984        4.56171                 NaN
  1115.38        2500.00                 NaN  0.762153       0.909128        28.1323        47.0363        18.5984        4.56174                 NaN
  1112.18        2500.00                 NaN  0.762158       0.909146        28.1322        47.0364        18.5984        4.56177                 NaN
