|6.6.6
Archiving\03_Data\eqfrac/QFM_m3.75/KHA22/KHA22_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             Sp(TH)         lc            
  1499.58        2500.00        99.4153                 NaN            NaN            NaN  0.584731                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.10        2500.00        99.4161                 NaN            NaN            NaN  0.583852                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.62        2500.00        99.4174                 NaN            NaN            NaN  0.582619                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.15        2500.00        99.2514       0.191277                 NaN            NaN  0.557300                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.67        2500.00        99.5905                 NaN  0.188860E-004            NaN  0.409436                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.19        2500.00        99.4163                 NaN            NaN            NaN  0.583715                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.71        2500.00        99.4138                 NaN            NaN            NaN  0.586227                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.23        2500.00        99.4148                 NaN            NaN            NaN  0.585173                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.75        2500.00        99.4129                 NaN            NaN            NaN  0.587137                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.28        2500.00        99.4058                 NaN            NaN            NaN  0.594152                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.80        2500.00        99.4071                 NaN            NaN            NaN  0.592879                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.32        2500.00        99.4058                 NaN            NaN            NaN  0.594228                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.84        2500.00        99.1218                 NaN            NaN            NaN  0.513967       0.364227                 NaN            NaN            NaN            NaN            NaN            NaN
  1480.36        2500.00        99.1244                 NaN            NaN            NaN  0.358178       0.517393                 NaN            NaN            NaN            NaN            NaN            NaN
  1478.89        2500.00        99.1334                 NaN            NaN            NaN  0.355111       0.511479                 NaN            NaN            NaN            NaN            NaN            NaN
  1477.41        2500.00        98.8987                 NaN            NaN            NaN  0.449535       0.651744                 NaN            NaN            NaN            NaN            NaN            NaN
  1475.93        2500.00        99.3916                 NaN            NaN            NaN  0.249242       0.359138                 NaN            NaN            NaN            NaN            NaN            NaN
  1474.45        2500.00        99.1543                 NaN            NaN            NaN  0.344529       0.501175                 NaN            NaN            NaN            NaN            NaN            NaN
  1472.97        2500.00        99.1644                 NaN            NaN            NaN  0.494063       0.341582                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.50        2500.00        99.1701                 NaN            NaN            NaN  0.338972       0.490896                 NaN            NaN            NaN            NaN            NaN            NaN
  1470.02        2500.00        99.1776                 NaN            NaN            NaN  0.486545       0.335835                 NaN            NaN            NaN            NaN            NaN            NaN
  1468.54        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1467.06        2500.00        98.3789                 NaN            NaN            NaN  0.960300       0.660833                 NaN            NaN            NaN            NaN            NaN            NaN
  1465.58        2500.00        99.1977                 NaN            NaN            NaN  0.475398       0.326859                 NaN            NaN            NaN            NaN            NaN            NaN
  1464.11        2500.00        99.2040                 NaN            NaN            NaN  0.323828       0.472220                 NaN            NaN            NaN            NaN            NaN            NaN
  1462.63        2500.00        99.2102                 NaN            NaN            NaN  0.321385       0.468432                 NaN            NaN            NaN            NaN            NaN            NaN
  1461.15        2500.00        99.2173                 NaN            NaN            NaN  0.464005       0.318723                 NaN            NaN            NaN            NaN            NaN            NaN
  1459.67        2500.00        99.2234                 NaN  0.578273E-005            NaN  0.315827       0.460784                 NaN            NaN            NaN            NaN            NaN            NaN
  1458.19        2500.00        99.3931                 NaN            NaN            NaN  0.361522       0.245364                 NaN            NaN            NaN            NaN            NaN            NaN
  1456.72        2500.00        99.0712                 NaN            NaN            NaN  0.377877       0.550939                 NaN            NaN            NaN            NaN            NaN            NaN
  1455.24        2500.00        99.2424                 NaN            NaN            NaN  0.306811       0.450740                 NaN            NaN            NaN            NaN            NaN            NaN
  1453.76        2500.00        99.2476                 NaN            NaN            NaN  0.447098       0.305280                 NaN            NaN            NaN            NaN            NaN            NaN
  1452.28        2500.00        99.2543       0.321582E-001            NaN            NaN  0.268362       0.445175                 NaN            NaN            NaN            NaN            NaN            NaN
  1450.80        2500.00        99.2595                 NaN            NaN            NaN  0.299602       0.440933                 NaN            NaN            NaN            NaN            NaN            NaN
  1449.33        2500.00        99.2653                 NaN            NaN            NaN  0.297172       0.437501                 NaN            NaN            NaN            NaN            NaN            NaN
  1447.85        2500.00        99.2694                 NaN  0.210766E-004            NaN  0.436303       0.294240                 NaN            NaN            NaN            NaN            NaN            NaN
  1446.37        2500.00        99.2761                 NaN            NaN            NaN  0.291665       0.432188                 NaN            NaN            NaN            NaN            NaN            NaN
  1444.89        2500.00        99.2809                 NaN            NaN            NaN  0.429161       0.289946                 NaN            NaN            NaN            NaN            NaN            NaN
  1443.41        2500.00        99.2869                 NaN            NaN            NaN  0.286541       0.426591                 NaN            NaN            NaN            NaN            NaN            NaN
  1441.94        2500.00        99.2917                 NaN            NaN            NaN  0.423415       0.284924                 NaN            NaN            NaN            NaN            NaN            NaN
  1440.46        2500.00        99.2968                 NaN            NaN            NaN  0.281952       0.421206                 NaN            NaN            NaN            NaN            NaN            NaN
  1438.98        2500.00        99.3013                 NaN            NaN            NaN  0.419276       0.279457                 NaN            NaN            NaN            NaN            NaN            NaN
  1437.50        2500.00        99.3072                 NaN            NaN            NaN  0.277550       0.415244                 NaN            NaN            NaN            NaN            NaN            NaN
  1436.02        2500.00        99.3105                 NaN            NaN            NaN  0.275825       0.413650                 NaN            NaN            NaN            NaN            NaN            NaN
  1434.55        2500.00        98.7957                 NaN            NaN            NaN  0.430591       0.519168       0.254507                 NaN            NaN            NaN            NaN            NaN
  1433.07        2500.00        98.3277                 NaN            NaN            NaN  0.443235       0.741355       0.487729                 NaN            NaN            NaN            NaN            NaN
  1431.59        2500.00        98.3579                 NaN            NaN            NaN  0.434713       0.728579       0.478805                 NaN            NaN            NaN            NaN            NaN
  1430.11        2500.00        98.3873                 NaN            NaN            NaN  0.426502       0.715994       0.470246                 NaN            NaN            NaN            NaN            NaN
  1428.63        2500.00        98.4156                 NaN            NaN            NaN  0.418474       0.703986       0.461972                 NaN            NaN            NaN            NaN            NaN
  1427.16        2500.00        98.4432                 NaN            NaN            NaN  0.692313       0.410589       0.453890                 NaN            NaN            NaN            NaN            NaN
  1425.68        2500.00        98.4684                 NaN  0.176446E-001            NaN  0.657012       0.407843       0.449068                 NaN            NaN            NaN            NaN            NaN
  1424.20        2500.00        98.4852                 NaN  0.145712                 NaN  0.472103       0.433577       0.463441                 NaN            NaN            NaN            NaN            NaN
  1422.72        2500.00        98.5095                 NaN  0.144469                 NaN  0.427172       0.462668       0.456211                 NaN            NaN            NaN            NaN            NaN
  1421.24        2500.00        98.5361                 NaN  0.142588                 NaN  0.419063       0.454313       0.447950                 NaN            NaN            NaN            NaN            NaN
  1419.76        2500.00        98.5620                 NaN  0.142000                 NaN  0.443555       0.412258       0.440189                 NaN            NaN            NaN            NaN            NaN
  1418.29        2500.00        98.2474                 NaN  0.175586                 NaN  0.510222       0.529280       0.537480                 NaN            NaN            NaN            NaN            NaN
  1416.81        2500.00        98.9495                 NaN  0.103257                 NaN  0.325987       0.300272       0.320983                 NaN            NaN            NaN            NaN            NaN
  1415.33        2500.00        98.6283                 NaN  0.139434                 NaN  0.418443       0.393641       0.420206                 NaN            NaN            NaN            NaN            NaN
  1413.85        2500.00        98.6528                 NaN  0.134938                 NaN  0.414011       0.386051       0.412227                 NaN            NaN            NaN            NaN            NaN
  1412.37        2500.00        98.6748                 NaN  0.137559                 NaN  0.400442       0.381168       0.406071                 NaN            NaN            NaN            NaN            NaN
  1410.90        2500.00        98.6947                 NaN  0.134752                 NaN  0.374544       0.396101       0.399946                 NaN            NaN            NaN            NaN            NaN
  1409.42        2500.00        98.7148                 NaN  0.134216                 NaN  0.388127       0.368915       0.393971                 NaN            NaN            NaN            NaN            NaN
  1407.94        2500.00        98.7342                 NaN  0.132369                 NaN  0.363560       0.382201       0.387659                 NaN            NaN            NaN            NaN            NaN
  1406.46        2500.00        98.7537                 NaN  0.131413                 NaN  0.374739       0.358323       0.381817                 NaN            NaN            NaN            NaN            NaN
  1404.98        2500.00        98.7721                 NaN  0.130776                 NaN  0.353263       0.367644       0.376187                 NaN            NaN            NaN            NaN            NaN
  1403.51        2500.00        98.7898                 NaN  0.129693                 NaN  0.348257       0.361379       0.370896                 NaN            NaN            NaN            NaN            NaN
  1402.03        2500.00        98.8090                 NaN  0.128568                 NaN  0.355211       0.341885       0.365301                 NaN            NaN            NaN            NaN            NaN
  1400.55        2500.00        98.4729                 NaN  0.168395                 NaN  0.438148       0.452275       0.468311                 NaN            NaN            NaN            NaN            NaN
  1399.07        2500.00        99.2042                 NaN  0.854524E-001            NaN  0.229793       0.237683       0.242913                 NaN            NaN            NaN            NaN            NaN
  1397.59        2500.00        98.8598                 NaN  0.125233                 NaN  0.328348       0.337376       0.349277                 NaN            NaN            NaN            NaN            NaN
  1396.12        2500.00        98.8759                 NaN  0.124311                 NaN  0.323811       0.331661       0.344285                 NaN            NaN            NaN            NaN            NaN
  1394.64        2500.00        98.8915                 NaN  0.123229                 NaN  0.319199       0.326535       0.339545                 NaN            NaN            NaN            NaN            NaN
  1393.16        2500.00        98.9073                 NaN  0.122285                 NaN  0.320977       0.314873       0.334571                 NaN            NaN            NaN            NaN            NaN
  1391.68        2500.00        98.9214                 NaN  0.121706                 NaN  0.311622       0.314996       0.330236                 NaN            NaN            NaN            NaN            NaN
  1390.20        2500.00        98.9379                 NaN  0.119913                 NaN  0.306461       0.310827       0.324907                 NaN            NaN            NaN            NaN            NaN
  1388.73        2500.00        98.9497                 NaN  0.119763                 NaN  0.305749       0.303437       0.321393                 NaN            NaN            NaN            NaN            NaN
  1387.25        2500.00        98.9690                 NaN  0.118102                 NaN  0.299819       0.297733       0.315303                 NaN            NaN            NaN            NaN            NaN
  1385.77        2500.00        98.9802                 NaN  0.117189                 NaN  0.296526       0.294246       0.311872                 NaN            NaN            NaN            NaN            NaN
  1384.29        2500.00        98.9927                 NaN  0.117122                 NaN  0.290414       0.291403       0.308389                 NaN            NaN            NaN            NaN            NaN
  1382.81        2500.00        99.0080                 NaN  0.114085                 NaN  0.289103       0.285956       0.302831                 NaN            NaN            NaN            NaN            NaN
  1381.34        2500.00        99.0201                 NaN  0.114286                 NaN  0.283277       0.282951       0.299414                 NaN            NaN            NaN            NaN            NaN
  1379.86        2500.00        99.0327                 NaN  0.113260                 NaN  0.279216       0.279319       0.295457                 NaN            NaN            NaN            NaN            NaN
  1378.38        2500.00        99.0407                 NaN  0.115876                 NaN  0.271121       0.278249       0.294085                 NaN            NaN            NaN            NaN            NaN
  1376.90        2500.00        99.0606                 NaN  0.109308                 NaN  0.272890       0.271428       0.285784                 NaN            NaN            NaN            NaN            NaN
  1375.42        2500.00        99.0695                 NaN  0.108421                 NaN  0.270827       0.267814       0.283389                 NaN            NaN            NaN            NaN            NaN
  1373.95        2500.00        99.0661                 NaN  0.109636                 NaN  0.265612       0.272876       0.285800                 NaN            NaN            NaN            NaN            NaN
  1372.47        2500.00        99.1074                 NaN  0.107557                 NaN  0.260355       0.253742       0.270974                 NaN            NaN            NaN            NaN            NaN
  1370.99        2500.00        99.1038                 NaN  0.107319                 NaN  0.259030       0.256814       0.272989                 NaN            NaN            NaN            NaN            NaN
  1369.51        2500.00        99.1153                 NaN  0.106101                 NaN  0.255495       0.253800       0.269330                 NaN            NaN            NaN            NaN            NaN
  1368.03        2500.00        99.1261                 NaN  0.105350                 NaN  0.251698       0.250769       0.266064                 NaN            NaN            NaN            NaN            NaN
  1366.56        2500.00        99.1361                 NaN  0.104108                 NaN  0.249854       0.247229       0.262728                 NaN            NaN            NaN            NaN            NaN
  1365.08        2500.00        99.1472                 NaN  0.102937                 NaN  0.244827       0.245902       0.259131                 NaN            NaN            NaN            NaN            NaN
  1363.60        2500.00        99.1573                 NaN  0.101993                 NaN  0.243219       0.241529       0.255952                 NaN            NaN            NaN            NaN            NaN
  1362.12        2500.00        99.1666                 NaN  0.101797                 NaN  0.240321       0.238126       0.253111                 NaN            NaN            NaN            NaN            NaN
  1360.64        2500.00        99.1762                 NaN  0.101403                 NaN  0.237931       0.234177       0.250246                 NaN            NaN            NaN            NaN            NaN
  1359.16        2500.00        99.1852                 NaN  0.730761E-001            NaN  0.273986       0.224252       0.243445                 NaN            NaN            NaN            NaN            NaN
  1357.69        2500.00        99.1985                 NaN  0.122235                 NaN  0.192270       0.241050       0.245939                 NaN            NaN            NaN            NaN            NaN
  1356.21        2500.00        99.3626                 NaN  0.747143E-001            NaN  0.181687       0.187858       0.193124                 NaN            NaN            NaN            NaN            NaN
  1354.73        2500.00        99.0467                 NaN  0.121043                 NaN  0.266989       0.275491       0.289742                 NaN            NaN            NaN            NaN            NaN
  1353.25        2500.00        99.2351                 NaN  0.904510E-001            NaN  0.222893       0.222434       0.229083                 NaN            NaN            NaN            NaN            NaN
  1351.77        2500.00        99.2319                 NaN  0.936174E-001            NaN  0.220807       0.221732       0.231974                 NaN            NaN            NaN            NaN            NaN
  1350.30        2500.00        99.2411                 NaN  0.927601E-001            NaN  0.218967       0.218109       0.229044                 NaN            NaN            NaN            NaN            NaN
  1348.82        2500.00        99.2497                 NaN  0.911966E-001            NaN  0.215146       0.217759       0.226233                 NaN            NaN            NaN            NaN            NaN
  1347.34        2500.00        99.2581                 NaN  0.903459E-001            NaN  0.215179       0.212791       0.223564                 NaN            NaN            NaN            NaN            NaN
  1345.86        2500.00        99.2661                 NaN  0.890631E-001            NaN  0.210053       0.213818       0.220928                 NaN            NaN            NaN            NaN            NaN
  1344.38        2500.00        99.2724                 NaN  0.886412E-001            NaN  0.210813       0.209114       0.219026                 NaN            NaN            NaN            NaN            NaN
  1342.91        2500.00        99.2830                 NaN  0.860445E-001            NaN  0.211610       0.204049       0.215282                 NaN            NaN            NaN            NaN            NaN
  1341.43        2500.00        99.2902                 NaN  0.855230E-001            NaN  0.202518       0.208727       0.213081                 NaN            NaN            NaN            NaN            NaN
  1339.95        2500.00        99.2977                 NaN  0.845630E-001            NaN  0.206710       0.200404       0.210642                 NaN            NaN            NaN            NaN            NaN
  1338.47        2500.00        99.3049                 NaN  0.833890E-001            NaN  0.205490       0.197936       0.208247                 NaN            NaN            NaN            NaN            NaN
  1336.99        2500.00        99.3121                 NaN  0.830484E-001            NaN  0.202885       0.195816       0.206124                 NaN            NaN            NaN            NaN            NaN
  1335.52        2500.00        99.3196                 NaN  0.805277E-001            NaN  0.192985       0.203599       0.203309                 NaN            NaN            NaN            NaN            NaN
  1334.04        2500.00        99.3267                 NaN  0.797388E-001            NaN  0.190800       0.201627       0.201126                 NaN            NaN            NaN            NaN            NaN
  1332.56        2500.00        99.3334                 NaN  0.793145E-001            NaN  0.189417       0.198828       0.199009                 NaN            NaN            NaN            NaN            NaN
  1331.08        2500.00        99.3406                 NaN  0.767251E-001            NaN  0.185754       0.200491       0.196399                 NaN            NaN            NaN            NaN            NaN
  1329.60        2500.00        99.3477                 NaN  0.764424E-001            NaN  0.183943       0.197597       0.194285                 NaN            NaN            NaN            NaN            NaN
  1328.13        2500.00        99.3534                 NaN  0.749831E-001            NaN  0.182416       0.196923       0.192260                 NaN            NaN            NaN            NaN            NaN
  1326.65        2500.00        99.3608                 NaN  0.735561E-001            NaN  0.178956       0.196713       0.189945                 NaN            NaN            NaN            NaN            NaN
  1325.17        2500.00        99.3668                 NaN  0.727029E-001            NaN  0.195147       0.177382       0.188014                 NaN            NaN            NaN            NaN            NaN
  1323.69        2500.00        99.3733                 NaN  0.717026E-001            NaN  0.193483       0.175705       0.185801                 NaN            NaN            NaN            NaN            NaN
  1322.21        2500.00        99.3783                 NaN  0.709030E-001            NaN  0.174447       0.192166       0.184164                 NaN            NaN            NaN            NaN            NaN
  1320.74        2500.00        99.3862                 NaN  0.676992E-001            NaN  0.169750       0.194948       0.181431                 NaN            NaN            NaN            NaN            NaN
  1319.26        2500.00        90.1858                 NaN   1.00483                 NaN   1.38689       0.359058        1.27171        5.79174                 NaN            NaN            NaN            NaN
  1317.78        2500.00        77.1474                 NaN   2.39156                 NaN   3.21232       0.402618        2.80878        14.0373                 NaN            NaN            NaN            NaN
  1316.30        2500.00        80.8190                 NaN   2.09030                 NaN   2.81971       0.129020        2.36716        11.7748                 NaN            NaN            NaN            NaN
  1314.82        2500.00        83.5356                 NaN   1.83430                 NaN   2.49979                 NaN   2.03969        10.0906                 NaN            NaN            NaN            NaN
  1313.35        2500.00        85.6590                 NaN   1.59868                 NaN   2.19658                 NaN   1.78401        8.76175                 NaN            NaN            NaN            NaN
  1311.87        2500.00        87.3705                 NaN   1.41362                 NaN   1.94460                 NaN   1.57696        7.69431                 NaN            NaN            NaN            NaN
  1310.39        2500.00        88.7566                 NaN   1.26342                 NaN   1.74147                 NaN   1.40960        6.82894                 NaN            NaN            NaN            NaN
  1308.91        2500.00        89.9149                 NaN   1.13827                 NaN   1.57199                 NaN   1.26969        6.10515                 NaN            NaN            NaN            NaN
  1307.43        2500.00        90.8876                 NaN   1.03382                 NaN   1.42762                 NaN   1.15153        5.49944                 NaN            NaN            NaN            NaN
  1305.96        2500.00        91.7275                 NaN  0.943730                 NaN   1.30141                 NaN   1.04921        4.97819                 NaN            NaN            NaN            NaN
  1304.48        2500.00        92.4282                 NaN  0.867982                 NaN   1.19857                 NaN  0.964177        4.54110                 NaN            NaN            NaN            NaN
  1303.00        2500.00        93.0363                 NaN  0.803412                 NaN   1.10767                 NaN  0.890027        4.16257                 NaN            NaN            NaN            NaN
  1301.52        2500.00        93.5684                 NaN  0.744577                 NaN   1.03193                 NaN  0.825090        3.82998                 NaN            NaN            NaN            NaN
  1300.04        2500.00        94.0315                 NaN  0.694255                 NaN  0.964663                 NaN  0.768513        3.54112                 NaN            NaN            NaN            NaN
  1298.57        2500.00        94.4368                 NaN  0.649083                 NaN  0.907373                 NaN  0.718816        3.28796                 NaN            NaN            NaN            NaN
  1297.09        2500.00        94.7988                 NaN  0.608883                 NaN  0.856308                 NaN  0.674506        3.06150                 NaN            NaN            NaN            NaN
  1295.61        2500.00        95.1217                 NaN  0.573469                 NaN  0.810644                 NaN  0.634612        2.85958                 NaN            NaN            NaN            NaN
  1294.13        2500.00        95.4034                 NaN  0.542381                 NaN  0.770881                 NaN  0.599837        2.68348                 NaN            NaN            NaN            NaN
  1292.65        2500.00        95.6608                 NaN  0.513092                 NaN  0.735889                 NaN  0.567991        2.52219                 NaN            NaN            NaN            NaN
  1291.17        2500.00        95.8927                 NaN  0.486082                 NaN  0.704022                 NaN  0.539095        2.37813                 NaN            NaN            NaN            NaN
  1289.70        2500.00        95.2915                 NaN  0.491536                 NaN  0.798007                 NaN  0.609721        2.70791       0.101288                 NaN            NaN            NaN
  1288.22        2500.00        94.0834                 NaN  0.515703                 NaN  0.974149                 NaN  0.750694        3.38688       0.289222                 NaN            NaN            NaN
  1286.74        2500.00        94.5181                 NaN  0.482939                 NaN  0.904968                 NaN  0.695935        3.12954       0.268526                 NaN            NaN            NaN
