|6.6.6
Archiving\03_Data\eqfracLP/QFM/YM20/YM20_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        Sp(TH)         Sp(TH)         ilm            q             
  1501.72        500.000        99.5008       0.487098       0.121049E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.38        500.000        99.5007       0.490908       0.839305E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.04        500.000        99.5067       0.482537       0.107255E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.70        500.000        99.4866       0.502990       0.104386E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.36        500.000        99.5351       0.455930       0.901424E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.01        500.000        99.5007       0.474475       0.247855E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.67        500.000        99.5377       0.421905       0.404283E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.33        500.000        99.3778       0.622173                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.99        500.000        99.6930       0.307033                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.65        500.000        99.4847       0.471227       0.440636E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.31        500.000        99.5300       0.413427       0.565477E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.97        500.000        99.5312       0.453656       0.151460E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.62        500.000        99.5343       0.465734                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.28        500.000        99.5347       0.465349                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.94        500.000        99.5392       0.460776                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.60        500.000        99.5389       0.461102                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.26        500.000        99.5412       0.458786                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.92        500.000        99.5432       0.456834                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.58        500.000        99.5465       0.453533                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.23        500.000        99.4964       0.503618                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.89        500.000        99.6029       0.397145                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.55        500.000        99.5543       0.445661                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.21        500.000        99.5573       0.415815       0.269033E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1470.87        500.000        99.5134       0.486554                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.53        500.000        99.7052       0.294765                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1468.18        500.000        99.8890       0.999274E-001  0.110645E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1466.84        500.000        99.1373       0.862685                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1465.50        500.000        99.5663       0.433692                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1464.16        500.000        99.5679       0.432104                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1462.82        500.000        99.5678       0.432204                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1461.48        500.000        99.5705       0.429469                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.14        500.000        99.5171       0.482877                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.79        500.000        99.7666       0.233417                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1457.45        500.000        99.4340       0.566013                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1456.11        500.000        99.5746       0.425391                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1454.77        500.000        99.5759       0.424125                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1453.43        500.000        99.5827       0.417308                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1452.09        500.000        99.4118       0.376187                 NaN  0.211986                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.75        500.000        99.1699       0.319506                 NaN  0.510549                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1449.40        500.000        99.1756       0.316848                 NaN  0.507509                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.06        500.000        99.1830       0.313193                 NaN  0.503849                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1446.72        500.000        99.1907       0.309120                 NaN  0.500202                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1445.38        500.000        99.1960       0.307124                 NaN  0.496910                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1444.04        500.000        99.0916       0.346475                 NaN  0.561880                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1442.70        500.000        99.3221       0.258604                 NaN  0.419285                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1441.35        500.000        99.2105       0.301938                 NaN  0.487514                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1440.01        500.000        99.2220       0.296727                 NaN  0.481293                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1438.67        500.000        99.2282       0.292750                 NaN  0.479060                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1437.33        500.000        99.2344       0.290420                 NaN  0.475200                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1435.99        500.000        99.2381       0.289104                 NaN  0.472763                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1434.65        500.000        99.2411       0.287856                 NaN  0.471053                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1433.31        500.000        99.2517       0.283935                 NaN  0.464351                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1431.96        500.000        99.2566       0.280748       0.478376E-005  0.462642                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1430.62        500.000        99.2604       0.280334                 NaN  0.459306                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1429.28        500.000        99.2674       0.276049                 NaN  0.456515                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1427.94        500.000        99.2707       0.275779                 NaN  0.453476                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1426.60        500.000        99.2751       0.273907                 NaN  0.450992                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1425.26        500.000        99.2802       0.272104                 NaN  0.447722                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1423.92        500.000        99.2851       0.269963                 NaN  0.444961                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1422.57        500.000        99.2750       0.165186                 NaN  0.128245       0.431555                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1421.23        500.000        99.4661       0.331352E-001            NaN  0.198716       0.302002                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1419.89        500.000        99.6494       0.260080E-001            NaN  0.200446       0.124127                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1418.55        500.000        98.6912       0.849519E-001            NaN  0.741059       0.482812                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1417.21        500.000        99.2788       0.456772E-001            NaN  0.266441       0.409040                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1415.87        500.000        99.2836       0.472351E-001            NaN  0.262348       0.406826                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1414.52        500.000        98.3856       0.151855E-003            NaN  0.720278       0.483578                 NaN  0.410357                 NaN            NaN            NaN            NaN            NaN
  1413.18        500.000        98.2800                 NaN            NaN  0.768819       0.487505                 NaN  0.463688                 NaN            NaN            NaN            NaN            NaN
  1411.84        500.000        98.3080                 NaN            NaN  0.479461       0.756423                 NaN  0.456089                 NaN            NaN            NaN            NaN            NaN
  1410.50        500.000        98.3401       0.205769                 NaN  0.481029       0.526291                 NaN  0.446826                 NaN            NaN            NaN            NaN            NaN
  1409.16        500.000        98.3713                 NaN            NaN  0.728821       0.461083                 NaN  0.438790                 NaN            NaN            NaN            NaN            NaN
  1407.82        500.000        98.3904                 NaN            NaN  0.720549       0.455323                 NaN  0.433752                 NaN            NaN            NaN            NaN            NaN
  1406.48        500.000        98.4162                 NaN            NaN  0.709672       0.447430                 NaN  0.426706                 NaN            NaN            NaN            NaN            NaN
  1405.13        500.000        98.4424                 NaN            NaN  0.698108       0.440011                 NaN  0.419495                 NaN            NaN            NaN            NaN            NaN
  1403.79        500.000        98.4657                 NaN  0.188595E-005  0.687761       0.433397                 NaN  0.413160                 NaN            NaN            NaN            NaN            NaN
  1402.45        500.000        98.4892                 NaN            NaN  0.426727       0.677381                 NaN  0.406723                 NaN            NaN            NaN            NaN            NaN
  1401.11        500.000        98.5121                 NaN            NaN  0.667769       0.419601                 NaN  0.400508                 NaN            NaN            NaN            NaN            NaN
  1399.77        500.000        98.5344                 NaN            NaN  0.658025       0.413106                 NaN  0.394445                 NaN            NaN            NaN            NaN            NaN
  1398.43        500.000        98.5575                 NaN            NaN  0.406295       0.648170                 NaN  0.388042                 NaN            NaN            NaN            NaN            NaN
  1397.09        500.000        98.5779                 NaN            NaN  0.639484       0.400070                 NaN  0.382552                 NaN            NaN            NaN            NaN            NaN
  1395.74        500.000        98.5981                 NaN            NaN  0.394506       0.630427                 NaN  0.376937                 NaN            NaN            NaN            NaN            NaN
  1394.40        500.000        98.6184                 NaN  0.917463E-003  0.620728       0.388447                 NaN  0.371520                 NaN            NaN            NaN            NaN            NaN
  1393.06        500.000        98.6391                 NaN  0.737559E-001  0.394519       0.516703                 NaN  0.375912                 NaN            NaN            NaN            NaN            NaN
  1391.72        500.000        98.6656                 NaN  0.890469E-001  0.390356       0.484443                 NaN  0.370587                 NaN            NaN            NaN            NaN            NaN
  1390.38        500.000        98.6870                 NaN  0.878277E-001  0.383959       0.476825                 NaN  0.364343                 NaN            NaN            NaN            NaN            NaN
  1389.04        500.000        98.7020                 NaN  0.892703E-001  0.379833       0.468348                 NaN  0.360567                 NaN            NaN            NaN            NaN            NaN
  1387.69        500.000        98.7196                 NaN  0.898443E-001  0.374823       0.459860                 NaN  0.355841                 NaN            NaN            NaN            NaN            NaN
  1386.35        500.000        98.7367                 NaN  0.902994E-001  0.451878       0.369894                 NaN  0.351210                 NaN            NaN            NaN            NaN            NaN
  1385.01        500.000        98.7540                 NaN  0.908766E-001  0.365486       0.443137                 NaN  0.346461                 NaN            NaN            NaN            NaN            NaN
  1383.67        500.000        98.7725                 NaN  0.912443E-001  0.435016       0.359777                 NaN  0.341451                 NaN            NaN            NaN            NaN            NaN
  1382.33        500.000        98.7875                 NaN  0.918958E-001  0.427647       0.355729                 NaN  0.337247                 NaN            NaN            NaN            NaN            NaN
  1380.99        500.000        98.8048                 NaN  0.924482E-001  0.350532       0.419433                 NaN  0.332825                 NaN            NaN            NaN            NaN            NaN
  1379.65        500.000        98.8193                 NaN  0.924589E-001  0.412975       0.346609                 NaN  0.328620                 NaN            NaN            NaN            NaN            NaN
  1378.30        500.000        98.8354                 NaN  0.932459E-001  0.342184       0.404980                 NaN  0.324226                 NaN            NaN            NaN            NaN            NaN
  1376.96        500.000        98.8500                 NaN  0.936638E-001  0.337932       0.398122                 NaN  0.320311                 NaN            NaN            NaN            NaN            NaN
  1375.62        500.000        98.8644                 NaN  0.941548E-001  0.334003       0.391141                 NaN  0.316336                 NaN            NaN            NaN            NaN            NaN
  1374.28        500.000        98.8791                 NaN  0.945864E-001  0.329856       0.384061                 NaN  0.312361                 NaN            NaN            NaN            NaN            NaN
  1372.94        500.000        99.0409                 NaN  0.267876       0.395707                 NaN            NaN  0.295489                 NaN            NaN            NaN            NaN            NaN
  1371.60        500.000        98.7644                 NaN  0.120045E-005  0.266589       0.642508                 NaN  0.326498                 NaN            NaN            NaN            NaN            NaN
  1370.26        500.000        98.9141                 NaN  0.154334E-001  0.303514       0.474707                 NaN  0.292204                 NaN            NaN            NaN            NaN            NaN
  1368.91        500.000        98.9335                 NaN  0.963736E-001  0.314412       0.358243                 NaN  0.297452                 NaN            NaN            NaN            NaN            NaN
  1367.57        500.000        98.9465                 NaN  0.966464E-001  0.352225       0.310844                 NaN  0.293755                 NaN            NaN            NaN            NaN            NaN
  1366.23        500.000        98.9586                 NaN  0.974029E-001  0.346000       0.307392                 NaN  0.290573                 NaN            NaN            NaN            NaN            NaN
  1364.89        500.000        98.9725                 NaN  0.976943E-001  0.339331       0.303666                 NaN  0.286795                 NaN            NaN            NaN            NaN            NaN
  1363.55        500.000        98.9823                 NaN  0.981608E-001  0.335109       0.300086                 NaN  0.284394                 NaN            NaN            NaN            NaN            NaN
  1362.21        500.000        98.9976                 NaN  0.973205E-001  0.296204       0.329363                 NaN  0.279470                 NaN            NaN            NaN            NaN            NaN
  1360.86        500.000        99.0050                 NaN  0.100184       0.322230       0.294366                 NaN  0.278238                 NaN            NaN            NaN            NaN            NaN
  1359.52        500.000        99.0194                 NaN  0.979030E-001  0.318880       0.290382                 NaN  0.273404                 NaN            NaN            NaN            NaN            NaN
  1358.18        500.000        99.0306                 NaN  0.992213E-001  0.312721       0.287034                 NaN  0.270388                 NaN            NaN            NaN            NaN            NaN
  1356.84        500.000        99.0413                 NaN  0.995374E-001  0.284263       0.307287                 NaN  0.267581                 NaN            NaN            NaN            NaN            NaN
  1355.50        500.000        99.0521                 NaN  0.100085       0.302049       0.281120                 NaN  0.264634                 NaN            NaN            NaN            NaN            NaN
  1354.16        500.000        99.0622                 NaN  0.100456       0.278295       0.297179                 NaN  0.261841                 NaN            NaN            NaN            NaN            NaN
  1352.82        500.000        99.0726                 NaN  0.100908       0.275658       0.291907                 NaN  0.258934                 NaN            NaN            NaN            NaN            NaN
  1351.47        500.000        99.0833                 NaN  0.101122       0.272607       0.286993                 NaN  0.256027                 NaN            NaN            NaN            NaN            NaN
  1350.13        500.000        99.0935                 NaN  0.101025       0.282985       0.269395                 NaN  0.253133                 NaN            NaN            NaN            NaN            NaN
  1348.79        500.000        99.1027                 NaN  0.101636       0.266924       0.278157                 NaN  0.250538                 NaN            NaN            NaN            NaN            NaN
  1347.45        500.000        99.1133                 NaN  0.101531       0.263938       0.273600                 NaN  0.247613                 NaN            NaN            NaN            NaN            NaN
  1346.11        500.000        99.1219                 NaN  0.102184       0.261887       0.268842                 NaN  0.245216                 NaN            NaN            NaN            NaN            NaN
  1344.77        500.000        99.1317                 NaN  0.102048       0.258699       0.265126                 NaN  0.242424                 NaN            NaN            NaN            NaN            NaN
  1343.42        500.000        99.1406                 NaN  0.102857       0.256498       0.260012                 NaN  0.240036                 NaN            NaN            NaN            NaN            NaN
  1342.08        500.000        99.1493                 NaN  0.102624       0.253907       0.256634                 NaN  0.237579                 NaN            NaN            NaN            NaN            NaN
  1340.74        500.000        99.1594                 NaN  0.102531       0.252531       0.250939                 NaN  0.234639                 NaN            NaN            NaN            NaN            NaN
  1339.40        500.000        99.1682                 NaN  0.102996       0.247885       0.248755                 NaN  0.232179                 NaN            NaN            NaN            NaN            NaN
  1338.06        500.000        99.1646                 NaN  0.108408       0.249415       0.242945                 NaN  0.234670                 NaN            NaN            NaN            NaN            NaN
  1336.72        500.000        99.1981                 NaN  0.981969E-001  0.240186       0.241033                 NaN  0.222525                 NaN            NaN            NaN            NaN            NaN
  1335.38        500.000        99.1932                 NaN  0.103564       0.241736       0.236296                 NaN  0.225211                 NaN            NaN            NaN            NaN            NaN
  1334.03        500.000        99.2007                 NaN  0.103345       0.239578       0.233383                 NaN  0.222982                 NaN            NaN            NaN            NaN            NaN
  1332.69        500.000        99.2087                 NaN  0.103406       0.229933       0.237228                 NaN  0.220695                 NaN            NaN            NaN            NaN            NaN
  1331.35        500.000        99.2168                 NaN  0.103816       0.225765       0.235099                 NaN  0.218495                 NaN            NaN            NaN            NaN            NaN
  1330.01        500.000        99.2230                 NaN  0.104741       0.221845       0.233432                 NaN  0.217007                 NaN            NaN            NaN            NaN            NaN
  1328.67        500.000        99.2341                 NaN  0.102753       0.230180       0.219800                 NaN  0.213186                 NaN            NaN            NaN            NaN            NaN
  1327.33        500.000        99.2391                 NaN  0.103784       0.228752       0.216174                 NaN  0.212217                 NaN            NaN            NaN            NaN            NaN
  1325.99        500.000        99.2473                 NaN  0.103729       0.226384       0.212755                 NaN  0.209814                 NaN            NaN            NaN            NaN            NaN
  1324.64        500.000        99.2544                 NaN  0.103209       0.224321       0.210430                 NaN  0.207682                 NaN            NaN            NaN            NaN            NaN
  1323.30        500.000        99.2607                 NaN  0.103534       0.222629       0.207266                 NaN  0.205858                 NaN            NaN            NaN            NaN            NaN
  1321.96        500.000        99.2666                 NaN  0.104402       0.203794       0.220777                 NaN  0.204422                 NaN            NaN            NaN            NaN            NaN
  1320.62        500.000        99.2767                 NaN  0.102090       0.202020       0.218171                 NaN  0.201044                 NaN            NaN            NaN            NaN            NaN
  1319.28        500.000        99.2818                 NaN  0.103199       0.216583       0.198571                 NaN  0.199816                 NaN            NaN            NaN            NaN            NaN
  1317.94        500.000        99.2881                 NaN  0.102751       0.196531       0.214628                 NaN  0.197971                 NaN            NaN            NaN            NaN            NaN
  1316.59        500.000        99.2950                 NaN  0.102754       0.193542       0.212564                 NaN  0.196110                 NaN            NaN            NaN            NaN            NaN
  1315.25        500.000        99.2991                 NaN  0.103134       0.212042       0.190897                 NaN  0.194800                 NaN            NaN            NaN            NaN            NaN
  1313.91        500.000        99.3087                 NaN  0.101716       0.208588       0.189129                 NaN  0.191824                 NaN            NaN            NaN            NaN            NaN
  1312.57        500.000        99.3144                 NaN  0.101536       0.206994       0.186796                 NaN  0.190306                 NaN            NaN            NaN            NaN            NaN
  1311.23        500.000        99.3200                 NaN  0.101573       0.205412       0.184339                 NaN  0.188702                 NaN            NaN            NaN            NaN            NaN
  1309.89        500.000        99.3263                 NaN  0.101344       0.182033       0.203374                 NaN  0.186901                 NaN            NaN            NaN            NaN            NaN
  1308.55        500.000        99.3316                 NaN  0.101648       0.202228       0.179118                 NaN  0.185367                 NaN            NaN            NaN            NaN            NaN
  1307.20        500.000        99.3386                 NaN  0.999012E-001  0.199616       0.178710                 NaN  0.183188                 NaN            NaN            NaN            NaN            NaN
  1305.86        500.000        99.3436                 NaN  0.100514       0.198609       0.175426                 NaN  0.181871                 NaN            NaN            NaN            NaN            NaN
  1304.52        500.000        99.3496                 NaN  0.994638E-001  0.196581       0.174379                 NaN  0.179953                 NaN            NaN            NaN            NaN            NaN
  1303.18        500.000        99.3554                 NaN  0.997640E-001  0.171536       0.194829                 NaN  0.178472                 NaN            NaN            NaN            NaN            NaN
  1301.84        500.000        99.3593                 NaN  0.989851E-001  0.193404       0.171068                 NaN  0.177230                 NaN            NaN            NaN            NaN            NaN
  1300.50        500.000        99.3664                 NaN  0.971007E-001  0.170080       0.191557                 NaN  0.174881                 NaN            NaN            NaN            NaN            NaN
  1299.16        500.000        99.3719                 NaN  0.973711E-001  0.189700       0.167692                 NaN  0.173305                 NaN            NaN            NaN            NaN            NaN
  1297.81        500.000        99.3769                 NaN  0.971776E-001  0.165674       0.188317                 NaN  0.171941                 NaN            NaN            NaN            NaN            NaN
  1296.47        500.000        99.3820                 NaN  0.964293E-001  0.186720       0.164451                 NaN  0.170389                 NaN            NaN            NaN            NaN            NaN
  1295.13        500.000        99.3871                 NaN  0.958204E-001  0.185142       0.163068                 NaN  0.168879                 NaN            NaN            NaN            NaN            NaN
  1293.79        500.000        99.3923                 NaN  0.951558E-001  0.161723       0.183501                 NaN  0.167339                 NaN            NaN            NaN            NaN            NaN
  1292.45        500.000        99.3969                 NaN  0.944775E-001  0.182001       0.160728                 NaN  0.165942                 NaN            NaN            NaN            NaN            NaN
  1291.11        500.000        99.4023                 NaN  0.939146E-001  0.159067       0.180335                 NaN  0.164387                 NaN            NaN            NaN            NaN            NaN
  1289.76        500.000        99.4065                 NaN  0.928862E-001  0.158596       0.178948                 NaN  0.163041                 NaN            NaN            NaN            NaN            NaN
  1288.42        500.000        99.4084                 NaN  0.882900E-001  0.176668       0.164496                 NaN  0.162185                 NaN            NaN            NaN            NaN            NaN
  1287.08        500.000        99.4193                 NaN  0.957586E-001  0.176552       0.148850                 NaN  0.159515                 NaN            NaN            NaN            NaN            NaN
  1285.74        500.000        99.4217                 NaN  0.908405E-001  0.154948       0.174039                 NaN  0.158507                 NaN            NaN            NaN            NaN            NaN
  1284.40        500.000        99.4256                 NaN  0.898457E-001  0.154804       0.172409                 NaN  0.157339                 NaN            NaN            NaN            NaN            NaN
  1283.06        500.000        99.4304                 NaN  0.889937E-001  0.171123       0.153560                 NaN  0.155896                 NaN            NaN            NaN            NaN            NaN
  1281.72        500.000        99.4346                 NaN  0.882846E-001  0.152976       0.169461                 NaN  0.154692                 NaN            NaN            NaN            NaN            NaN
  1280.37        500.000        88.0575                 NaN  0.586918        1.91512        1.20794                 NaN   1.36632        6.86616                 NaN            NaN            NaN            NaN
  1279.03        500.000        88.3578                 NaN  0.575065        1.18672        1.86989                 NaN   1.33640        6.67410                 NaN            NaN            NaN            NaN
  1277.69        500.000        89.0894                 NaN  0.544483        1.75834        1.12449                 NaN   1.26011        6.22319                 NaN            NaN            NaN            NaN
  1276.35        500.000        89.7317                 NaN  0.516688        1.06947        1.66224                 NaN   1.19283        5.82707                 NaN            NaN            NaN            NaN
  1275.01        500.000        90.3218                 NaN  0.491657        1.01778        1.57319                 NaN   1.13093        5.46464                 NaN            NaN            NaN            NaN
  1273.67        500.000        90.8451                 NaN  0.469161       0.971634        1.49545                 NaN   1.07565        5.14303                 NaN            NaN            NaN            NaN
  1272.33        500.000        89.4578                 NaN            NaN   1.09021        2.17612                 NaN   1.21572        5.78519       0.274984                 NaN            NaN            NaN
  1270.98        500.000        85.6461                 NaN            NaN   2.24846        1.77170                 NaN   1.67901        7.73470       0.920011                 NaN            NaN            NaN
  1269.64        500.000        87.5287                 NaN            NaN   1.54019        1.95722                 NaN   1.46704        6.70982       0.797083                 NaN            NaN            NaN
  1268.30        500.000        89.0040                 NaN            NaN   1.35847        1.72674                 NaN   1.30045        5.90810       0.702199                 NaN            NaN            NaN
  1266.96        500.000        90.1755                 NaN            NaN   1.21442        1.54218                 NaN   1.16774        5.27242       0.627722                 NaN            NaN            NaN
  1265.62        500.000        91.1362                 NaN            NaN   1.09721        1.38854                 NaN   1.05874        4.75149       0.567845                 NaN            NaN            NaN
  1264.28        500.000        91.9221                 NaN            NaN   1.25848        1.00309                 NaN  0.968890        4.32676       0.520712                 NaN            NaN            NaN
  1262.93        500.000        92.5797                 NaN            NaN  0.924245        1.14974                 NaN  0.893760        3.97143       0.481085                 NaN            NaN            NaN
  1261.59        500.000        93.1447                 NaN            NaN  0.857259        1.05384                 NaN  0.828844        3.66714       0.448212                 NaN            NaN            NaN
  1260.25        500.000        93.6321                 NaN            NaN  0.969427       0.799990                 NaN  0.772671        3.40504       0.420785                 NaN            NaN            NaN
  1258.91        500.000        94.0503                 NaN            NaN  0.751008       0.896606                 NaN  0.724221        3.18069       0.397179                 NaN            NaN            NaN
  1257.57        500.000        94.4205                 NaN            NaN  0.829773       0.708875                 NaN  0.681256        2.98256       0.377005                 NaN            NaN            NaN
