|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m0.5/K22/K22_3.tab                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        Sp(TH)         ilm            q             
  1554.27        500.000        99.3290                 NaN  0.658365       0.126467E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.79        500.000        99.3283                 NaN  0.660518       0.111379E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.31        500.000        99.3322                 NaN  0.656614       0.111833E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.83        500.000        98.9101                 NaN   1.07419       0.157466E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.35        500.000        99.7863                 NaN  0.210589       0.313816E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.88        500.000        99.3504                 NaN  0.641570       0.804849E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.40        500.000        99.3571                 NaN  0.636660       0.625625E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.92        500.000        99.3616                 NaN  0.632071       0.636522E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.44        500.000        99.3677                 NaN  0.626447       0.584072E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.96        500.000        99.3717                 NaN  0.623272       0.502227E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.49        500.000        99.3773                 NaN  0.619052       0.360589E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.01        500.000        99.3802                 NaN  0.615191       0.457280E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.53        500.000        99.3964                 NaN  0.563124       0.404637E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.05        500.000        99.3923                 NaN  0.586338       0.213518E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.57        500.000        99.3963                 NaN  0.603721                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.10        500.000        99.4021                 NaN  0.597887                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.62        500.000        99.4051                 NaN  0.594900                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.14        500.000        99.4095                 NaN  0.590464                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.66        500.000        99.4157                 NaN  0.584296                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.18        500.000        99.4301                 NaN  0.501922       0.679695E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.71        500.000        99.4098                 NaN  0.590173                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.23        500.000        99.4404                 NaN  0.559563                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.75        500.000        99.4320                 NaN  0.567955                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.27        500.000        99.4353                 NaN  0.564686                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.79        500.000        99.4399                 NaN  0.560144       0.277562E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.32        500.000        99.4429                 NaN  0.557075                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.84        500.000        99.9290                 NaN  0.285333E-001  0.424819E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.36        500.000        98.9787                 NaN   1.02131                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.88        500.000        99.4556                 NaN  0.544376                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.40        500.000        99.4593                 NaN  0.540717                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.93        500.000        99.4602                 NaN  0.539785       0.259502E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.45        500.000        99.4666                 NaN  0.533400                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.97        500.000        99.3931                 NaN  0.606890                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.49        500.000        99.5469                 NaN  0.453054                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.01        500.000        99.4771                 NaN  0.522927                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.54        500.000        99.4785                 NaN  0.521468                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.06        500.000        99.3571                 NaN  0.642887                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.58        500.000        99.6489                 NaN  0.351081                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.10        500.000        99.4497                 NaN  0.550254                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.62        500.000        99.4913                 NaN  0.508660                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.15        500.000        99.4940                 NaN  0.505955                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.67        500.000        99.5034                 NaN  0.496593                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.19        500.000        99.5030                 NaN  0.496957                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.71        500.000        99.5026                 NaN  0.497383                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.23        500.000        99.5048                 NaN  0.495160                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.75        500.000        99.5088                 NaN  0.491239                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.28        500.000        99.5111                 NaN  0.488866                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.80        500.000        99.5130                 NaN  0.487035                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.32        500.000        99.5174                 NaN  0.482581                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.84        500.000        99.5188                 NaN  0.481201                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.36        500.000        99.5209                 NaN  0.479133                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.89        500.000        99.3199                 NaN  0.282186                 NaN  0.191482       0.206398                 NaN            NaN            NaN            NaN            NaN
  1477.41        500.000        98.9392                 NaN  0.429332E-001            NaN  0.416580       0.601287                 NaN            NaN            NaN            NaN            NaN
  1475.93        500.000        98.9490                 NaN  0.387457E-001            NaN  0.416383       0.595849                 NaN            NaN            NaN            NaN            NaN
  1474.45        500.000        98.9621                 NaN  0.350311E-001            NaN  0.413967       0.588942                 NaN            NaN            NaN            NaN            NaN
  1472.97        500.000        98.9715                 NaN  0.285960E-001            NaN  0.583735       0.416197                 NaN            NaN            NaN            NaN            NaN
  1471.50        500.000        98.9867                 NaN  0.240951E-001            NaN  0.414100       0.575117                 NaN            NaN            NaN            NaN            NaN
  1470.02        500.000        98.9966                 NaN  0.210646E-001            NaN  0.412485       0.569847                 NaN            NaN            NaN            NaN            NaN
  1468.54        500.000        99.0062                 NaN  0.187285E-001            NaN  0.410217       0.564886                 NaN            NaN            NaN            NaN            NaN
  1467.06        500.000        99.0171                 NaN  0.151448E-001            NaN  0.408820       0.558940                 NaN            NaN            NaN            NaN            NaN
  1465.58        500.000        99.0273                 NaN  0.131384E-001            NaN  0.553760       0.405796                 NaN            NaN            NaN            NaN            NaN
  1464.11        500.000        99.0379                 NaN  0.107992E-001            NaN  0.547993       0.403313                 NaN            NaN            NaN            NaN            NaN
  1462.63        500.000        99.0441                 NaN  0.358609E-001            NaN  0.372762       0.547311                 NaN            NaN            NaN            NaN            NaN
  1461.15        500.000        99.0618                 NaN  0.292748E-002            NaN  0.534784       0.400531                 NaN            NaN            NaN            NaN            NaN
  1459.67        500.000        99.0683                 NaN  0.886357E-002            NaN  0.532646       0.390183                 NaN            NaN            NaN            NaN            NaN
  1458.19        500.000        99.0787                 NaN  0.370980E-001            NaN  0.528789       0.355386                 NaN            NaN            NaN            NaN            NaN
  1456.72        500.000        99.0889                 NaN  0.113585                 NaN  0.529364       0.268119                 NaN            NaN            NaN            NaN            NaN
  1455.24        500.000        99.0972                 NaN            NaN            NaN  0.516838       0.385989                 NaN            NaN            NaN            NaN            NaN
  1453.76        500.000        99.1054                 NaN  0.521823E-002            NaN  0.513269       0.376098                 NaN            NaN            NaN            NaN            NaN
  1452.28        500.000        99.1139                 NaN            NaN            NaN  0.508427       0.377688                 NaN            NaN            NaN            NaN            NaN
  1450.80        500.000        99.1223                 NaN            NaN            NaN  0.373543       0.504152                 NaN            NaN            NaN            NaN            NaN
  1449.33        500.000        99.1321                 NaN            NaN            NaN  0.368941       0.498984                 NaN            NaN            NaN            NaN            NaN
  1447.85        500.000        99.1397                 NaN            NaN            NaN  0.495190       0.365117                 NaN            NaN            NaN            NaN            NaN
  1446.37        500.000        99.1473                 NaN            NaN            NaN  0.492122       0.360578                 NaN            NaN            NaN            NaN            NaN
  1444.89        500.000        99.1525                 NaN            NaN            NaN  0.488824       0.358706                 NaN            NaN            NaN            NaN            NaN
  1443.41        500.000        99.1685                 NaN            NaN            NaN  0.479943       0.351524                 NaN            NaN            NaN            NaN            NaN
  1441.94        500.000        99.1726                 NaN            NaN            NaN  0.348842       0.478553                 NaN            NaN            NaN            NaN            NaN
  1440.46        500.000        99.1802                 NaN            NaN            NaN  0.475056       0.344761                 NaN            NaN            NaN            NaN            NaN
  1438.98        500.000        99.1868                 NaN            NaN            NaN  0.341107       0.472087                 NaN            NaN            NaN            NaN            NaN
  1437.50        500.000        99.1948                 NaN            NaN            NaN  0.338012       0.467201                 NaN            NaN            NaN            NaN            NaN
  1436.02        500.000        99.2034                 NaN            NaN            NaN  0.463122       0.333511                 NaN            NaN            NaN            NaN            NaN
  1434.55        500.000        99.2095                 NaN            NaN            NaN  0.460002       0.330486                 NaN            NaN            NaN            NaN            NaN
  1433.07        500.000        99.2181                 NaN            NaN            NaN  0.326475       0.455384                 NaN            NaN            NaN            NaN            NaN
  1431.59        500.000        98.4237                 NaN            NaN            NaN  0.652973       0.550841       0.372487                 NaN            NaN            NaN            NaN
  1430.11        500.000        97.7115                 NaN            NaN            NaN  0.630460       0.945787       0.712245                 NaN            NaN            NaN            NaN
  1428.63        500.000        97.7610                 NaN            NaN            NaN  0.925083       0.616695       0.697175                 NaN            NaN            NaN            NaN
  1427.16        500.000        97.8119                 NaN            NaN            NaN  0.603078       0.903418       0.681562                 NaN            NaN            NaN            NaN
  1425.68        500.000        97.8610                 NaN            NaN            NaN  0.589216       0.883133       0.666684                 NaN            NaN            NaN            NaN
  1424.20        500.000        97.9058                 NaN            NaN            NaN  0.864129       0.577037       0.652999                 NaN            NaN            NaN            NaN
  1422.72        500.000        97.9546                 NaN            NaN            NaN  0.563465       0.844058       0.637866                 NaN            NaN            NaN            NaN
  1421.24        500.000        97.9965                 NaN            NaN            NaN  0.826686       0.551620       0.625169                 NaN            NaN            NaN            NaN
  1419.76        500.000        98.0383                 NaN            NaN            NaN  0.809406       0.540013       0.612314                 NaN            NaN            NaN            NaN
  1418.29        500.000        98.0768                 NaN            NaN            NaN  0.528449       0.793931       0.600789                 NaN            NaN            NaN            NaN
  1416.81        500.000        98.1203                 NaN            NaN            NaN  0.516961       0.775719       0.587027                 NaN            NaN            NaN            NaN
  1415.33        500.000        98.1557                 NaN            NaN            NaN  0.507339       0.760845       0.576097                 NaN            NaN            NaN            NaN
  1413.85        500.000        98.1908                 NaN            NaN            NaN  0.746443       0.497580       0.565137                 NaN            NaN            NaN            NaN
  1412.37        500.000        98.2266                 NaN            NaN            NaN  0.731844       0.487184       0.554412                 NaN            NaN            NaN            NaN
  1410.90        500.000        98.2616                 NaN            NaN            NaN  0.477143       0.717687       0.543599                 NaN            NaN            NaN            NaN
  1409.42        500.000        98.2947                 NaN            NaN            NaN  0.467820       0.704090       0.533376                 NaN            NaN            NaN            NaN
  1407.94        500.000        98.3259                 NaN            NaN            NaN  0.459374       0.691271       0.523489                 NaN            NaN            NaN            NaN
  1406.46        500.000        98.3568                 NaN            NaN            NaN  0.678817       0.450341       0.514010                 NaN            NaN            NaN            NaN
  1404.98        500.000        98.3868                 NaN            NaN            NaN  0.666582       0.441939       0.504649                 NaN            NaN            NaN            NaN
  1403.51        500.000        98.4156                 NaN            NaN            NaN  0.433978       0.654813       0.495600                 NaN            NaN            NaN            NaN
  1402.03        500.000        98.4443                 NaN            NaN            NaN  0.425539       0.643377       0.486760                 NaN            NaN            NaN            NaN
  1400.55        500.000        98.4717                 NaN            NaN            NaN  0.632332       0.417640       0.478291                 NaN            NaN            NaN            NaN
  1399.07        500.000        98.4979                 NaN            NaN            NaN  0.621938       0.409997       0.470144                 NaN            NaN            NaN            NaN
  1397.59        500.000        98.5231                 NaN            NaN            NaN  0.403060       0.611654       0.462160                 NaN            NaN            NaN            NaN
  1396.12        500.000        98.5470                 NaN            NaN            NaN  0.602209       0.396131       0.454625                 NaN            NaN            NaN            NaN
  1394.64        500.000        98.5733                 NaN            NaN            NaN  0.591394       0.388935       0.446328                 NaN            NaN            NaN            NaN
  1393.16        500.000        98.5964                 NaN            NaN            NaN  0.582316       0.382248       0.439084                 NaN            NaN            NaN            NaN
  1391.68        500.000        98.6193                 NaN            NaN            NaN  0.375437       0.573282       0.431969                 NaN            NaN            NaN            NaN
  1390.20        500.000        98.6422                 NaN            NaN            NaN  0.563979       0.369095       0.424709                 NaN            NaN            NaN            NaN
  1388.73        500.000        98.6634                 NaN            NaN            NaN  0.555773       0.362771       0.418040                 NaN            NaN            NaN            NaN
  1387.25        500.000        98.6841                 NaN            NaN            NaN  0.356803       0.547640       0.411483                 NaN            NaN            NaN            NaN
  1385.77        500.000        98.7007                 NaN            NaN            NaN  0.540781       0.352064       0.406452                 NaN            NaN            NaN            NaN
  1384.29        500.000        98.7294                 NaN            NaN            NaN  0.343524       0.529898       0.397171                 NaN            NaN            NaN            NaN
  1382.81        500.000        98.7430                 NaN            NaN            NaN  0.339853       0.524264       0.392878                 NaN            NaN            NaN            NaN
  1381.34        500.000        98.7629                 NaN            NaN            NaN  0.516611       0.333831       0.386609                 NaN            NaN            NaN            NaN
  1379.86        500.000        98.7817                 NaN            NaN            NaN  0.509336       0.328340       0.380598                 NaN            NaN            NaN            NaN
  1378.38        500.000        98.7997                 NaN            NaN            NaN  0.502118       0.323200       0.374933                 NaN            NaN            NaN            NaN
  1376.90        500.000        98.8168                 NaN            NaN            NaN  0.318035       0.495615       0.369510                 NaN            NaN            NaN            NaN
  1375.42        500.000        98.8337                 NaN            NaN            NaN  0.313326       0.488973       0.363981                 NaN            NaN            NaN            NaN
  1373.95        500.000        98.8513                 NaN            NaN            NaN  0.482249       0.307923       0.358518                 NaN            NaN            NaN            NaN
  1372.47        500.000        98.8668                 NaN            NaN            NaN  0.476347       0.303307       0.353582                 NaN            NaN            NaN            NaN
  1370.99        500.000        98.8826                 NaN            NaN            NaN  0.298666       0.470207       0.348539                 NaN            NaN            NaN            NaN
  1369.51        500.000        98.8985                 NaN            NaN            NaN  0.464148       0.293749       0.343553                 NaN            NaN            NaN            NaN
  1368.03        500.000        98.9131                 NaN            NaN            NaN  0.289608       0.458547       0.338782                 NaN            NaN            NaN            NaN
  1366.56        500.000        98.9284                 NaN            NaN            NaN  0.284870       0.452747       0.334017                 NaN            NaN            NaN            NaN
  1365.08        500.000        98.9437                 NaN            NaN            NaN  0.446724       0.280566       0.329037                 NaN            NaN            NaN            NaN
  1363.60        500.000        98.9584                 NaN            NaN  0.165914E-001  0.416218       0.281418       0.327420                 NaN            NaN            NaN            NaN
  1362.12        500.000        98.9809                 NaN            NaN  0.841035E-001  0.305551       0.296954       0.332472                 NaN            NaN            NaN            NaN
  1360.64        500.000        98.9966                 NaN            NaN  0.112853       0.255842       0.301910       0.332834                 NaN            NaN            NaN            NaN
  1359.16        500.000        99.0126                 NaN            NaN  0.112640       0.249667       0.297559       0.327561                 NaN            NaN            NaN            NaN
  1357.69        500.000        99.0245                 NaN            NaN  0.113191       0.243701       0.294645       0.323953                 NaN            NaN            NaN            NaN
  1356.21        500.000        99.0385                 NaN            NaN  0.113162       0.290938       0.238080       0.319271                 NaN            NaN            NaN            NaN
  1354.73        500.000        99.0516                 NaN            NaN  0.113453       0.287501       0.232206       0.315199                 NaN            NaN            NaN            NaN
  1353.25        500.000        99.0642                 NaN            NaN  0.113761       0.284302       0.226538       0.311161                 NaN            NaN            NaN            NaN
  1351.77        500.000        99.0771                 NaN            NaN  0.114166       0.220648       0.280964       0.307106                 NaN            NaN            NaN            NaN
  1350.30        500.000        99.0885                 NaN            NaN  0.114056       0.278252       0.215806       0.303393                 NaN            NaN            NaN            NaN
  1348.82        500.000        99.1023                 NaN            NaN  0.113992       0.274323       0.210407       0.298932                 NaN            NaN            NaN            NaN
  1347.34        500.000        99.1130                 NaN            NaN  0.113957       0.206156       0.271336       0.295576                 NaN            NaN            NaN            NaN
  1345.86        500.000        99.1242                 NaN            NaN  0.114145       0.201071       0.268629       0.291986                 NaN            NaN            NaN            NaN
  1344.38        500.000        99.1357                 NaN            NaN  0.114572       0.195433       0.265849       0.288422                 NaN            NaN            NaN            NaN
  1342.91        500.000        99.1477                 NaN            NaN  0.112051       0.261779       0.194604       0.283876                 NaN            NaN            NaN            NaN
  1341.43        500.000        99.1589                 NaN            NaN  0.115978       0.260072       0.184009       0.281089                 NaN            NaN            NaN            NaN
  1339.95        500.000        99.1691                 NaN            NaN  0.113924       0.182941       0.256658       0.277361                 NaN            NaN            NaN            NaN
  1338.47        500.000        99.1794                 NaN            NaN  0.114006       0.178347       0.254227       0.274044                 NaN            NaN            NaN            NaN
  1336.99        500.000        99.1897                 NaN            NaN  0.113989       0.251442       0.174200       0.270715                 NaN            NaN            NaN            NaN
  1335.52        500.000        99.1996                 NaN            NaN  0.113423       0.171044       0.248574       0.267352                 NaN            NaN            NaN            NaN
  1334.04        500.000        99.2090                 NaN            NaN  0.113303       0.167348       0.246084       0.264243                 NaN            NaN            NaN            NaN
  1332.56        500.000        99.2193                 NaN            NaN  0.112822       0.243315       0.163795       0.260810                 NaN            NaN            NaN            NaN
  1331.08        500.000        99.2288                 NaN            NaN  0.112726       0.240748       0.159994       0.257742                 NaN            NaN            NaN            NaN
  1329.60        500.000        99.2379                 NaN            NaN  0.112536       0.156507       0.238342       0.254759                 NaN            NaN            NaN            NaN
  1328.13        500.000        99.2473                 NaN            NaN  0.112012       0.235563       0.153512       0.251603                 NaN            NaN            NaN            NaN
  1326.65        500.000        99.2566                 NaN            NaN  0.111425       0.150476       0.233106       0.248442                 NaN            NaN            NaN            NaN
  1325.17        500.000        99.2650                 NaN            NaN  0.111240       0.230804       0.147264       0.245699                 NaN            NaN            NaN            NaN
  1323.69        500.000        99.2737                 NaN            NaN  0.110557       0.228399       0.144647       0.242685                 NaN            NaN            NaN            NaN
  1322.21        500.000        99.2824                 NaN            NaN  0.110394       0.226069       0.141270       0.239868                 NaN            NaN            NaN            NaN
  1320.74        500.000        99.2911                 NaN            NaN  0.109623       0.223693       0.138746       0.236857                 NaN            NaN            NaN            NaN
  1319.26        500.000        99.2952                 NaN            NaN  0.888437E-001  0.214026       0.170082       0.231864                 NaN            NaN            NaN            NaN
  1317.78        500.000        99.3091                 NaN            NaN  0.128600       0.101221       0.226735       0.234319                 NaN            NaN            NaN            NaN
  1316.30        500.000        99.3163                 NaN            NaN  0.106997       0.132259       0.216404       0.228014                 NaN            NaN            NaN            NaN
  1314.82        500.000        99.3223                 NaN            NaN  0.106700       0.214411       0.130465       0.226125                 NaN            NaN            NaN            NaN
  1313.35        500.000        99.3298                 NaN            NaN  0.105889       0.128592       0.212229       0.223494                 NaN            NaN            NaN            NaN
  1311.87        500.000        99.3376                 NaN            NaN  0.105162       0.126501       0.209890       0.220832                 NaN            NaN            NaN            NaN
  1310.39        500.000        99.3441                 NaN            NaN  0.105024       0.123932       0.208193       0.218719                 NaN            NaN            NaN            NaN
  1308.91        500.000        99.3529                 NaN            NaN  0.102927       0.123636       0.205187       0.215375                 NaN            NaN            NaN            NaN
  1307.43        500.000        99.3588                 NaN            NaN  0.103894       0.203663       0.119740       0.213899                 NaN            NaN            NaN            NaN
  1305.96        500.000        99.3682                 NaN            NaN  0.101029       0.120058       0.200872       0.209863                 NaN            NaN            NaN            NaN
  1304.48        500.000        99.3730                 NaN            NaN  0.100768       0.118703       0.199049       0.208516                 NaN            NaN            NaN            NaN
  1303.00        500.000        99.3795                 NaN            NaN  0.992323E-001  0.118414       0.196830       0.206070                 NaN            NaN            NaN            NaN
  1301.52        500.000        99.3865                 NaN            NaN  0.983709E-001  0.194578       0.116917       0.203660                 NaN            NaN            NaN            NaN
  1300.04        500.000        99.3929                 NaN            NaN  0.971709E-001  0.192387       0.116174       0.201384                 NaN            NaN            NaN            NaN
  1298.57        500.000        99.3990                 NaN            NaN  0.961609E-001  0.115209       0.190429       0.199207                 NaN            NaN            NaN            NaN
  1297.09        500.000        99.4054                 NaN            NaN  0.947410E-001  0.188157       0.114842       0.196852                 NaN            NaN            NaN            NaN
  1295.61        500.000        99.4106                 NaN            NaN  0.935896E-001  0.186394       0.114421       0.194959                 NaN            NaN            NaN            NaN
  1294.13        500.000        99.4176                 NaN            NaN  0.924823E-001  0.113254       0.184214       0.192467                 NaN            NaN            NaN            NaN
  1292.65        500.000        99.4229                 NaN            NaN  0.919057E-001  0.111931       0.182416       0.190830                 NaN            NaN            NaN            NaN
  1291.17        500.000        99.4304                 NaN            NaN  0.890209E-001  0.179358       0.113613       0.187608                 NaN            NaN            NaN            NaN
  1289.70        500.000        99.4347                 NaN            NaN  0.884521E-001  0.177692       0.112879       0.186249                 NaN            NaN            NaN            NaN
  1288.22        500.000        99.4400                 NaN            NaN  0.871423E-001  0.175827       0.112679       0.184320                 NaN            NaN            NaN            NaN
  1286.74        500.000        99.4459                 NaN            NaN  0.853683E-001  0.113128       0.173566       0.182059                 NaN            NaN            NaN            NaN
  1285.26        500.000        99.4512                 NaN            NaN  0.842252E-001  0.171546       0.112820       0.180194                 NaN            NaN            NaN            NaN
  1283.78        500.000        99.4564                 NaN            NaN  0.827152E-001  0.113134       0.169496       0.178267                 NaN            NaN            NaN            NaN
  1282.31        500.000        99.4938                 NaN            NaN  0.130147       0.202240                 NaN  0.173808                 NaN            NaN            NaN            NaN
  1280.83        500.000        99.4352                 NaN            NaN  0.312103E-001  0.130692       0.225952       0.176930                 NaN            NaN            NaN            NaN
  1279.35        500.000        99.4720                 NaN            NaN  0.783128E-001  0.163382       0.113768       0.172502                 NaN            NaN            NaN            NaN
  1277.87        500.000        99.4766                 NaN            NaN  0.772254E-001  0.161642       0.113689       0.170855                 NaN            NaN            NaN            NaN
  1276.39        500.000        99.4817                 NaN            NaN  0.750803E-001  0.159158       0.115175       0.168861                 NaN            NaN            NaN            NaN
  1274.92        500.000        99.4865                 NaN            NaN  0.736226E-001  0.115801       0.156873       0.167227                 NaN            NaN            NaN            NaN
  1273.44        500.000        99.4908                 NaN            NaN  0.721672E-001  0.155537       0.116019       0.165441                 NaN            NaN            NaN            NaN
  1271.96        500.000        99.5295                 NaN            NaN  0.120240       0.189886                 NaN  0.160397                 NaN            NaN            NaN            NaN
  1270.48        500.000        99.4664                 NaN            NaN  0.190044E-001  0.235241       0.113970       0.165398                 NaN            NaN            NaN            NaN
  1269.00        500.000        99.5048                 NaN            NaN  0.674329E-001  0.118130       0.149337       0.160331                 NaN            NaN            NaN            NaN
  1267.53        500.000        99.5088                 NaN            NaN  0.656268E-001  0.119674       0.147122       0.158780                 NaN            NaN            NaN            NaN
  1266.05        500.000        99.5129                 NaN            NaN  0.639095E-001  0.120998       0.144960       0.157254                 NaN            NaN            NaN            NaN
  1264.57        500.000        99.5166                 NaN            NaN  0.623894E-001  0.142938       0.122138       0.155913                 NaN            NaN            NaN            NaN
  1263.09        500.000        99.4890                 NaN            NaN  0.624948E-001  0.124760       0.144485       0.157802       0.214721E-001            NaN            NaN            NaN
  1261.61        500.000        92.0671                 NaN            NaN  0.140918       0.576918        1.23267       0.938912        5.04349                 NaN            NaN            NaN
  1260.14        500.000        79.1583                 NaN            NaN   1.76545        2.85808                 NaN   2.30060        13.9175                 NaN            NaN            NaN
  1258.66        500.000        87.9054                 NaN            NaN   1.02286        1.64749                 NaN   1.34162        8.08268                 NaN            NaN            NaN
