|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m0.5/K22/K22_1.tab                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        Sp(TH)         ilm            q             
  1540.96        500.000        99.2784                 NaN  0.715743       0.590591E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.49        500.000        99.2848                 NaN  0.710969       0.424096E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.01        500.000        99.2879                 NaN  0.706718       0.537986E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.53        500.000        99.3052                 NaN  0.647207       0.476399E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.05        500.000        99.3009                 NaN  0.673983       0.251489E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.57        500.000        99.3058                 NaN  0.694236                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.10        500.000        99.3124                 NaN  0.687639                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.62        500.000        99.3156                 NaN  0.684404                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.14        500.000        99.3207                 NaN  0.679297                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.66        500.000        99.3275                 NaN  0.672508                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.18        500.000        99.3419                 NaN  0.577831       0.802371E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.71        500.000        99.3203                 NaN  0.679704                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.23        500.000        99.3555                 NaN  0.644527                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.75        500.000        99.3456                 NaN  0.654371                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.27        500.000        99.3491                 NaN  0.650934                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.79        500.000        99.3543                 NaN  0.645657       0.328512E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.32        500.000        99.3576                 NaN  0.642377                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.84        500.000        99.9167                 NaN  0.329341E-001  0.503460E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.36        500.000        98.8226                 NaN   1.17744                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.88        500.000        99.3716                 NaN  0.628390                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.40        500.000        99.3759                 NaN  0.624069                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.93        500.000        99.3768                 NaN  0.623180       0.307541E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.45        500.000        99.3840                 NaN  0.616020                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.97        500.000        99.2992                 NaN  0.700842                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.49        500.000        99.4762                 NaN  0.523756                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.01        500.000        99.3957                 NaN  0.604337                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.54        500.000        99.3972                 NaN  0.602803                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.06        500.000        99.2569                 NaN  0.743086                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.58        500.000        99.5940                 NaN  0.406042                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.10        500.000        99.3635                 NaN  0.636471                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.62        500.000        99.4113                 NaN  0.588654                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.15        500.000        99.4145                 NaN  0.585540                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.67        500.000        99.4250                 NaN  0.575039                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.19        500.000        99.4245                 NaN  0.575492                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.71        500.000        99.4238                 NaN  0.576159                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.23        500.000        99.4264                 NaN  0.573601                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.75        500.000        99.4307                 NaN  0.569285                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.28        500.000        99.4334                 NaN  0.566577                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.80        500.000        99.4353                 NaN  0.564691                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.32        500.000        99.4402                 NaN  0.559770                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.84        500.000        99.4418                 NaN  0.558232                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.36        500.000        99.4440                 NaN  0.556011                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.89        500.000        99.2142                 NaN  0.327458                 NaN  0.220131       0.238223                 NaN            NaN            NaN            NaN            NaN
  1477.41        500.000        98.7781                 NaN  0.498261E-001            NaN  0.480850       0.691208                 NaN            NaN            NaN            NaN            NaN
  1475.93        500.000        98.7889                 NaN  0.449858E-001            NaN  0.480852       0.685222                 NaN            NaN            NaN            NaN            NaN
  1474.45        500.000        98.8032                 NaN  0.407063E-001            NaN  0.478410       0.677656                 NaN            NaN            NaN            NaN            NaN
  1472.97        500.000        98.8135                 NaN  0.332489E-001            NaN  0.671993       0.481282                 NaN            NaN            NaN            NaN            NaN
  1471.50        500.000        98.8304                 NaN  0.280341E-001            NaN  0.479154       0.662395                 NaN            NaN            NaN            NaN            NaN
  1470.02        500.000        98.8414                 NaN  0.245203E-001            NaN  0.477520       0.656596                 NaN            NaN            NaN            NaN            NaN
  1468.54        500.000        98.8518                 NaN  0.218146E-001            NaN  0.475192       0.651193                 NaN            NaN            NaN            NaN            NaN
  1467.06        500.000        98.8639                 NaN  0.176506E-001            NaN  0.473842       0.644645                 NaN            NaN            NaN            NaN            NaN
  1465.58        500.000        98.8751                 NaN  0.153207E-001            NaN  0.638964       0.470619                 NaN            NaN            NaN            NaN            NaN
  1464.11        500.000        98.8868                 NaN  0.126016E-001            NaN  0.632606       0.468020                 NaN            NaN            NaN            NaN            NaN
  1462.63        500.000        98.8933                 NaN  0.418600E-001            NaN  0.432784       0.632060                 NaN            NaN            NaN            NaN            NaN
  1461.15        500.000        98.9132                 NaN  0.342070E-002            NaN  0.618000       0.465403                 NaN            NaN            NaN            NaN            NaN
  1459.67        500.000        98.9202                 NaN  0.103626E-001            NaN  0.615846       0.453626                 NaN            NaN            NaN            NaN            NaN
  1458.19        500.000        98.9316                 NaN  0.433952E-001            NaN  0.611608       0.413409                 NaN            NaN            NaN            NaN            NaN
  1456.72        500.000        98.9424                 NaN  0.132941                 NaN  0.612592       0.312097                 NaN            NaN            NaN            NaN            NaN
  1455.24        500.000        98.9520                 NaN            NaN            NaN  0.598424       0.449607                 NaN            NaN            NaN            NaN            NaN
  1453.76        500.000        98.9610                 NaN  0.611626E-002            NaN  0.594579       0.438346                 NaN            NaN            NaN            NaN            NaN
  1452.28        500.000        98.9703                 NaN            NaN            NaN  0.589249       0.440475                 NaN            NaN            NaN            NaN            NaN
  1450.80        500.000        98.9795                 NaN            NaN            NaN  0.435920       0.584575                 NaN            NaN            NaN            NaN            NaN
  1449.33        500.000        98.9903                 NaN            NaN            NaN  0.430809       0.578890                 NaN            NaN            NaN            NaN            NaN
  1447.85        500.000        98.9986                 NaN            NaN            NaN  0.574783       0.426639                 NaN            NaN            NaN            NaN            NaN
  1446.37        500.000        99.0068                 NaN            NaN            NaN  0.571562       0.421624                 NaN            NaN            NaN            NaN            NaN
  1444.89        500.000        99.0123                 NaN            NaN            NaN  0.567999       0.419699                 NaN            NaN            NaN            NaN            NaN
  1443.41        500.000        99.0306                 NaN            NaN            NaN  0.557927       0.411498                 NaN            NaN            NaN            NaN            NaN
  1441.94        500.000        99.0347                 NaN            NaN            NaN  0.408642       0.556630                 NaN            NaN            NaN            NaN            NaN
  1440.46        500.000        99.0429                 NaN            NaN            NaN  0.552899       0.404176                 NaN            NaN            NaN            NaN            NaN
  1438.98        500.000        99.0501                 NaN            NaN            NaN  0.400150       0.549766                 NaN            NaN            NaN            NaN            NaN
  1437.50        500.000        99.0588                 NaN            NaN            NaN  0.396852       0.544337                 NaN            NaN            NaN            NaN            NaN
  1436.02        500.000        99.0685                 NaN            NaN            NaN  0.539817       0.391721                 NaN            NaN            NaN            NaN            NaN
  1434.55        500.000        99.0750                 NaN            NaN            NaN  0.536532       0.388468                 NaN            NaN            NaN            NaN            NaN
  1433.07        500.000        99.0846                 NaN            NaN            NaN  0.383976       0.531391                 NaN            NaN            NaN            NaN            NaN
  1431.59        500.000        98.2262                 NaN            NaN            NaN  0.768209       0.642781       0.362830                 NaN            NaN            NaN            NaN
  1430.11        500.000        97.4574                 NaN            NaN            NaN  0.735888        1.11312       0.693625                 NaN            NaN            NaN            NaN
  1428.63        500.000        97.5103                 NaN            NaN            NaN   1.09002       0.720417       0.679235                 NaN            NaN            NaN            NaN
  1427.16        500.000        97.5649                 NaN            NaN            NaN  0.705135        1.06562       0.664310                 NaN            NaN            NaN            NaN
  1425.68        500.000        97.6175                 NaN            NaN            NaN  0.689510        1.04286       0.650094                 NaN            NaN            NaN            NaN
  1424.20        500.000        97.6656                 NaN            NaN            NaN   1.02151       0.675820       0.637033                 NaN            NaN            NaN            NaN
  1422.72        500.000        97.7180                 NaN            NaN            NaN  0.660504       0.998904       0.622553                 NaN            NaN            NaN            NaN
  1421.24        500.000        97.7630                 NaN            NaN            NaN  0.979410       0.647131       0.610439                 NaN            NaN            NaN            NaN
  1419.76        500.000        97.8077                 NaN            NaN            NaN  0.960008       0.634124       0.598164                 NaN            NaN            NaN            NaN
  1418.29        500.000        97.8491                 NaN            NaN            NaN  0.621046       0.942660       0.587180                 NaN            NaN            NaN            NaN
  1416.81        500.000        97.8958                 NaN            NaN            NaN  0.608098       0.922057       0.574005                 NaN            NaN            NaN            NaN
  1415.33        500.000        97.9337                 NaN            NaN            NaN  0.597300       0.905367       0.563587                 NaN            NaN            NaN            NaN
  1413.85        500.000        97.9712                 NaN            NaN            NaN  0.889303       0.586363       0.553133                 NaN            NaN            NaN            NaN
  1412.37        500.000        98.0096                 NaN            NaN            NaN  0.872839       0.574617       0.542905                 NaN            NaN            NaN            NaN
  1410.90        500.000        98.0473                 NaN            NaN            NaN  0.563266       0.856882       0.532581                 NaN            NaN            NaN            NaN
  1409.42        500.000        98.0828                 NaN            NaN            NaN  0.552750       0.841575       0.522829                 NaN            NaN            NaN            NaN
  1407.94        500.000        98.1161                 NaN            NaN            NaN  0.543265       0.827206       0.513397                 NaN            NaN            NaN            NaN
  1406.46        500.000        98.1493                 NaN            NaN            NaN  0.813223       0.533077       0.504359                 NaN            NaN            NaN            NaN
  1404.98        500.000        98.1815                 NaN            NaN            NaN  0.799451       0.523600       0.495430                 NaN            NaN            NaN            NaN
  1403.51        500.000        98.2124                 NaN            NaN            NaN  0.514646       0.786199       0.486801                 NaN            NaN            NaN            NaN
  1402.03        500.000        98.2432                 NaN            NaN            NaN  0.505078       0.773339       0.478370                 NaN            NaN            NaN            NaN
  1400.55        500.000        98.2727                 NaN            NaN            NaN  0.760853       0.496112       0.470297                 NaN            NaN            NaN            NaN
  1399.07        500.000        98.3007                 NaN            NaN            NaN  0.749278       0.487539       0.462532                 NaN            NaN            NaN            NaN
  1397.59        500.000        98.3276                 NaN            NaN            NaN  0.479731       0.737720       0.454924                 NaN            NaN            NaN            NaN
  1396.12        500.000        98.3531                 NaN            NaN            NaN  0.727189       0.471933       0.447749                 NaN            NaN            NaN            NaN
  1394.64        500.000        98.3816                 NaN            NaN            NaN  0.714847       0.463763       0.439821                 NaN            NaN            NaN            NaN
  1393.16        500.000        98.4062                 NaN            NaN            NaN  0.704691       0.456200       0.432921                 NaN            NaN            NaN            NaN
  1391.68        500.000        98.4308                 NaN            NaN            NaN  0.448501       0.694520       0.426142                 NaN            NaN            NaN            NaN
  1390.20        500.000        98.4555                 NaN            NaN            NaN  0.683991       0.441320       0.419215                 NaN            NaN            NaN            NaN
  1388.73        500.000        98.4781                 NaN            NaN            NaN  0.674837       0.434176       0.412864                 NaN            NaN            NaN            NaN
  1387.25        500.000        98.5002                 NaN            NaN            NaN  0.427432       0.665743       0.406618                 NaN            NaN            NaN            NaN
  1385.77        500.000        98.5179                 NaN            NaN            NaN  0.658096       0.422119       0.401875                 NaN            NaN            NaN            NaN
  1384.29        500.000        98.5492                 NaN            NaN            NaN  0.412293       0.645616       0.392927                 NaN            NaN            NaN            NaN
  1382.81        500.000        98.5633                 NaN            NaN            NaN  0.408271       0.639499       0.388902                 NaN            NaN            NaN            NaN
  1381.34        500.000        98.5848                 NaN            NaN            NaN  0.630883       0.401423       0.382918                 NaN            NaN            NaN            NaN
  1379.86        500.000        98.6049                 NaN            NaN            NaN  0.622716       0.395206       0.377185                 NaN            NaN            NaN            NaN
  1378.38        500.000        98.6243                 NaN            NaN            NaN  0.614534       0.389369       0.371789                 NaN            NaN            NaN            NaN
  1376.90        500.000        98.6426                 NaN            NaN            NaN  0.383508       0.607269       0.366628                 NaN            NaN            NaN            NaN
  1375.42        500.000        98.6606                 NaN            NaN            NaN  0.378169       0.599878       0.361356                 NaN            NaN            NaN            NaN
  1373.95        500.000        98.6796                 NaN            NaN            NaN  0.592236       0.372011       0.356145                 NaN            NaN            NaN            NaN
  1372.47        500.000        98.6961                 NaN            NaN            NaN  0.585668       0.366806       0.351452                 NaN            NaN            NaN            NaN
  1370.99        500.000        98.7130                 NaN            NaN            NaN  0.361544       0.578793       0.346648                 NaN            NaN            NaN            NaN
  1369.51        500.000        98.7303                 NaN            NaN            NaN  0.571940       0.355900       0.341895                 NaN            NaN            NaN            NaN
  1368.03        500.000        98.7457                 NaN            NaN            NaN  0.351231       0.565713       0.337352                 NaN            NaN            NaN            NaN
  1366.56        500.000        98.7622                 NaN            NaN            NaN  0.345811       0.559181       0.332810                 NaN            NaN            NaN            NaN
  1365.08        500.000        98.7787                 NaN            NaN            NaN  0.552312       0.340896       0.328048                 NaN            NaN            NaN            NaN
  1363.60        500.000        98.7937                 NaN            NaN  0.221987E-001  0.515214       0.342269       0.326642                 NaN            NaN            NaN            NaN
  1362.12        500.000        98.8151                 NaN            NaN  0.112763       0.378694       0.361537       0.331916                 NaN            NaN            NaN            NaN
  1360.64        500.000        98.8304                 NaN            NaN  0.151626       0.317501       0.367968       0.332529                 NaN            NaN            NaN            NaN
  1359.16        500.000        98.8476                 NaN            NaN  0.151628       0.310202       0.363031       0.327515                 NaN            NaN            NaN            NaN
  1357.69        500.000        98.8600                 NaN            NaN  0.152718       0.303211       0.359889       0.324158                 NaN            NaN            NaN            NaN
  1356.21        500.000        98.8750                 NaN            NaN  0.152954       0.355778       0.296577       0.319724                 NaN            NaN            NaN            NaN
  1354.73        500.000        98.8889                 NaN            NaN  0.153662       0.351948       0.289604       0.315894                 NaN            NaN            NaN            NaN
  1353.25        500.000        98.9022                 NaN            NaN  0.154385       0.348411       0.282899       0.312094                 NaN            NaN            NaN            NaN
  1351.77        500.000        98.9159                 NaN            NaN  0.155235       0.275887       0.344694       0.308271                 NaN            NaN            NaN            NaN
  1350.30        500.000        98.9278                 NaN            NaN  0.155426       0.341801       0.270147       0.304786                 NaN            NaN            NaN            NaN
  1348.82        500.000        98.9428                 NaN            NaN  0.155620       0.337276       0.263743       0.300546                 NaN            NaN            NaN            NaN
  1347.34        500.000        98.9539                 NaN            NaN  0.155915       0.258746       0.333986       0.297410                 NaN            NaN            NaN            NaN
  1345.86        500.000        98.9657                 NaN            NaN  0.156491       0.252699       0.331033       0.294036                 NaN            NaN            NaN            NaN
  1344.38        500.000        98.9781                 NaN            NaN  0.157369       0.245885       0.327942       0.290683                 NaN            NaN            NaN            NaN
  1342.91        500.000        98.9910                 NaN            NaN  0.154211       0.323291       0.245179       0.286333                 NaN            NaN            NaN            NaN
  1341.43        500.000        99.0027                 NaN            NaN  0.159898       0.321543       0.232103       0.283754                 NaN            NaN            NaN            NaN
  1339.95        500.000        99.0136                 NaN            NaN  0.157424       0.231061       0.317672       0.280220                 NaN            NaN            NaN            NaN
  1338.47        500.000        99.0245                 NaN            NaN  0.157840       0.225539       0.315004       0.277096                 NaN            NaN            NaN            NaN
  1336.99        500.000        99.0355                 NaN            NaN  0.158114       0.311890       0.220566       0.273957                 NaN            NaN            NaN            NaN
  1335.52        500.000        99.0460                 NaN            NaN  0.157674       0.216853       0.308688       0.270777                 NaN            NaN            NaN            NaN
  1334.04        500.000        99.0559                 NaN            NaN  0.157829       0.212447       0.305954       0.267851                 NaN            NaN            NaN            NaN
  1332.56        500.000        99.0669                 NaN            NaN  0.157463       0.302825       0.208187       0.264591                 NaN            NaN            NaN            NaN
  1331.08        500.000        99.0771                 NaN            NaN  0.157623       0.299968       0.203609       0.261697                 NaN            NaN            NaN            NaN
  1329.60        500.000        99.0867                 NaN            NaN  0.157676       0.199425       0.297311       0.258884                 NaN            NaN            NaN            NaN
  1328.13        500.000        99.0969                 NaN            NaN  0.157269       0.294134       0.195831       0.255892                 NaN            NaN            NaN            NaN
  1326.65        500.000        99.1068                 NaN            NaN  0.156737       0.192204       0.291411       0.252889                 NaN            NaN            NaN            NaN
  1325.17        500.000        99.1157                 NaN            NaN  0.156783       0.288849       0.188340       0.250308                 NaN            NaN            NaN            NaN
  1323.69        500.000        99.1251                 NaN            NaN  0.156123       0.286149       0.185215       0.247445                 NaN            NaN            NaN            NaN
  1322.21        500.000        99.1344                 NaN            NaN  0.156160       0.283561       0.181118       0.244779                 NaN            NaN            NaN            NaN
  1320.74        500.000        99.1437                 NaN            NaN  0.155377       0.280883       0.178101       0.241911                 NaN            NaN            NaN            NaN
  1319.26        500.000        99.1492                 NaN            NaN  0.126187       0.269041       0.218592       0.237008                 NaN            NaN            NaN            NaN
  1317.78        500.000        99.1617                 NaN            NaN  0.183031       0.130229       0.285285       0.239722                 NaN            NaN            NaN            NaN
  1316.30        500.000        99.1710                 NaN            NaN  0.152557       0.170393       0.272622       0.233472                 NaN            NaN            NaN            NaN
  1314.82        500.000        99.1771                 NaN            NaN  0.152456       0.270411       0.168292       0.231734                 NaN            NaN            NaN            NaN
  1313.35        500.000        99.1851                 NaN            NaN  0.151579       0.166083       0.267962       0.229232                 NaN            NaN            NaN            NaN
  1311.87        500.000        99.1936                 NaN            NaN  0.150812       0.163575       0.265286       0.226694                 NaN            NaN            NaN            NaN
  1310.39        500.000        99.2005                 NaN            NaN  0.150899       0.160454       0.263448       0.224716                 NaN            NaN            NaN            NaN
  1308.91        500.000        99.2102                 NaN            NaN  0.148155       0.160249       0.259913       0.221470                 NaN            NaN            NaN            NaN
  1307.43        500.000        99.2166                 NaN            NaN  0.149781       0.258137       0.155382       0.220138                 NaN            NaN            NaN            NaN
  1305.96        500.000        99.2269                 NaN            NaN  0.145979       0.155972       0.255015       0.216168                 NaN            NaN            NaN            NaN
  1304.48        500.000        99.2318                 NaN            NaN  0.145895       0.154403       0.252947       0.214962                 NaN            NaN            NaN            NaN
  1303.00        500.000        99.2388                 NaN            NaN  0.143941       0.154212       0.250427       0.212621                 NaN            NaN            NaN            NaN
  1301.52        500.000        99.2465                 NaN            NaN  0.142925       0.247808       0.152439       0.210313                 NaN            NaN            NaN            NaN
  1300.04        500.000        99.2535                 NaN            NaN  0.141472       0.245285       0.151647       0.208139                 NaN            NaN            NaN            NaN
  1298.57        500.000        99.2601                 NaN            NaN  0.140254       0.150575       0.243048       0.206063                 NaN            NaN            NaN            NaN
  1297.09        500.000        99.2671                 NaN            NaN  0.138429       0.240414       0.150264       0.203799                 NaN            NaN            NaN            NaN
  1295.61        500.000        99.2726                 NaN            NaN  0.137018       0.238429       0.149898       0.202010                 NaN            NaN            NaN            NaN
  1294.13        500.000        99.2804                 NaN            NaN  0.135628       0.148514       0.235869       0.199596                 NaN            NaN            NaN            NaN
  1292.65        500.000        99.2862                 NaN            NaN  0.135002       0.146947       0.233810       0.198065                 NaN            NaN            NaN            NaN
  1291.17        500.000        99.2946                 NaN            NaN  0.131033       0.230143       0.149337       0.194886                 NaN            NaN            NaN            NaN
  1289.70        500.000        99.2992                 NaN            NaN  0.130430       0.228247       0.148536       0.193636                 NaN            NaN            NaN            NaN
  1288.22        500.000        99.3049                 NaN            NaN  0.128737       0.226094       0.148446       0.191790                 NaN            NaN            NaN            NaN
  1286.74        500.000        99.3115                 NaN            NaN  0.126326       0.149199       0.223415       0.189597                 NaN            NaN            NaN            NaN
  1285.26        500.000        99.3173                 NaN            NaN  0.124860       0.221036       0.148952       0.187811                 NaN            NaN            NaN            NaN
  1283.78        500.000        99.3230                 NaN            NaN  0.122850       0.149539       0.218618       0.185957                 NaN            NaN            NaN            NaN
  1282.31        500.000        99.3638                 NaN            NaN  0.193608       0.261148                 NaN  0.181469                 NaN            NaN            NaN            NaN
  1280.83        500.000        99.3004                 NaN            NaN  0.465079E-001  0.168911       0.299278       0.184865                 NaN            NaN            NaN            NaN
  1279.35        500.000        99.3405                 NaN            NaN  0.116905       0.211384       0.150855       0.180391                 NaN            NaN            NaN            NaN
  1277.87        500.000        99.3455                 NaN            NaN  0.115486       0.209331       0.150896       0.178817                 NaN            NaN            NaN            NaN
  1276.39        500.000        99.3512                 NaN            NaN  0.112481       0.206336       0.153059       0.176875                 NaN            NaN            NaN            NaN
  1274.92        500.000        99.3566                 NaN            NaN  0.110481       0.154051       0.203592       0.175306                 NaN            NaN            NaN            NaN
  1273.44        500.000        99.3614                 NaN            NaN  0.108473       0.202070       0.154501       0.173576                 NaN            NaN            NaN            NaN
  1271.96        500.000        99.4036                 NaN            NaN  0.181047       0.246926                 NaN  0.168433                 NaN            NaN            NaN            NaN
  1270.48        500.000        99.3353                 NaN            NaN  0.286624E-001  0.313898       0.148345       0.173807                 NaN            NaN            NaN            NaN
  1269.00        500.000        99.3772                 NaN            NaN  0.101875       0.157782       0.194567       0.168624                 NaN            NaN            NaN            NaN
  1267.53        500.000        99.3817                 NaN            NaN  0.993228E-001  0.160019       0.191877       0.167127                 NaN            NaN            NaN            NaN
  1266.05        500.000        99.3862                 NaN            NaN  0.968890E-001  0.161968       0.189248       0.165654                 NaN            NaN            NaN            NaN
  1264.57        500.000        99.3904                 NaN            NaN  0.947370E-001  0.186793       0.163651       0.164372                 NaN            NaN            NaN            NaN
  1263.09        500.000        99.3612                 NaN            NaN  0.950533E-001  0.167324       0.188995       0.166492       0.209630E-001            NaN            NaN            NaN
  1261.61        500.000        91.5043                 NaN            NaN  0.214067       0.751520        1.64703       0.985646        4.89742                 NaN            NaN            NaN
  1260.14        500.000        77.8717                 NaN            NaN   2.67017        3.68865                 NaN   2.39230        13.3772                 NaN            NaN            NaN
  1258.66        500.000        87.0656                 NaN            NaN   1.56577        2.14290                 NaN   1.40534        7.82043                 NaN            NaN            NaN
  1257.18        500.000        95.5239                 NaN            NaN  0.550379       0.714322                 NaN  0.521575        2.68980                 NaN            NaN            NaN
