|6.6.6
Archiving\03_Data\Dfrac/QFM_m5/YM20/YM20_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         melt(TH)       melt(TH)       iron           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ne             lc             ilm           
  1774.44        2500.00        99.5488                 NaN            NaN            NaN  0.441634       0.961412E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        2500.00        99.5481                 NaN            NaN            NaN  0.442354       0.958559E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        2500.00        99.3877                 NaN            NaN            NaN  0.599291       0.129712E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        2500.00        99.7042                 NaN            NaN            NaN  0.289631       0.617398E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        2500.00        99.5413                 NaN            NaN            NaN  0.449156       0.959282E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        2500.00        99.5446                 NaN            NaN            NaN  0.445993       0.945640E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        2500.00        99.5404                 NaN            NaN            NaN  0.450121       0.948995E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        2500.00        99.5387                 NaN            NaN            NaN  0.451811       0.948517E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        2500.00        99.5370                 NaN            NaN            NaN  0.453510       0.945575E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        2500.00        99.5353                 NaN            NaN            NaN  0.455226       0.943704E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        2500.00        99.5173                 NaN            NaN            NaN  0.472927       0.976858E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        2500.00        99.5479                 NaN            NaN            NaN  0.443070       0.906861E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        2500.00        99.5287                 NaN            NaN            NaN  0.461845       0.940771E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        2500.00        99.5280                 NaN            NaN            NaN  0.462691       0.935857E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        2500.00        99.5252                 NaN            NaN            NaN  0.465401       0.937134E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        2500.00        99.5236                 NaN            NaN            NaN  0.467052       0.933567E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        2500.00        99.5199                 NaN            NaN            NaN  0.470709       0.937574E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        2500.00        99.5194                 NaN            NaN            NaN  0.471319       0.930853E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        2500.00        99.5179                 NaN            NaN            NaN  0.472828       0.926184E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        2500.00        99.5147                 NaN            NaN            NaN  0.475989       0.927411E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        99.5121                 NaN            NaN            NaN  0.478635       0.926426E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        99.5099                 NaN            NaN            NaN  0.480797       0.926936E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        99.3078                 NaN            NaN            NaN  0.679234       0.129399E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        99.7077                 NaN            NaN            NaN  0.286794       0.546252E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        99.5034                 NaN            NaN            NaN  0.487376       0.921431E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        99.5011                 NaN            NaN            NaN  0.489737       0.920240E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        99.4843                 NaN            NaN            NaN  0.506267       0.945819E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        99.5111                 NaN            NaN            NaN  0.480018       0.889926E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        99.4927                 NaN            NaN            NaN  0.498126       0.917312E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        99.4925                 NaN            NaN            NaN  0.498347       0.912792E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        99.5337                 NaN            NaN            NaN  0.458913       0.738263E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        99.4442                 NaN            NaN            NaN  0.544985       0.108428E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        2500.00        99.4839                 NaN            NaN            NaN  0.506956       0.913572E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        2500.00        99.2580                 NaN            NaN            NaN  0.729124       0.128989E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        99.4074                 NaN            NaN            NaN  0.582252       0.103577E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        99.7758                 NaN            NaN            NaN  0.220295       0.387999E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        99.4753                 NaN            NaN            NaN  0.515588       0.910895E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        2500.00        99.4758                 NaN            NaN            NaN  0.515213       0.902199E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        99.4721                 NaN            NaN            NaN  0.518862       0.904624E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        97.9410                 NaN            NaN            NaN  0.235330                 NaN   1.82366                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        97.8250                 NaN            NaN            NaN  0.201619                 NaN   1.97339                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        97.8890                 NaN            NaN            NaN  0.196720                 NaN   1.91424                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        97.9264                 NaN            NaN            NaN  0.193054                 NaN   1.88054                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        97.9737                 NaN            NaN            NaN  0.188703                 NaN   1.83760                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        98.0150                 NaN            NaN            NaN  0.184734                 NaN   1.80025                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        98.0491                 NaN            NaN            NaN  0.178960                 NaN   1.77196                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        98.1030                 NaN            NaN            NaN  0.175350                 NaN   1.72164                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        98.1362                 NaN            NaN            NaN  0.172309                 NaN   1.69144                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        98.1692                 NaN            NaN            NaN  0.167704                 NaN   1.66312                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        98.2112                 NaN            NaN            NaN  0.163856                 NaN   1.62495                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        98.2464                 NaN            NaN            NaN  0.160868                 NaN   1.59270                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        98.2782                 NaN            NaN            NaN  0.157097                 NaN   1.56469                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        98.3030                 NaN            NaN            NaN  0.151312                 NaN   1.54572                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        98.3452                 NaN            NaN            NaN  0.150406                 NaN   1.50439                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        98.3751                 NaN            NaN            NaN  0.146437                 NaN   1.47850                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        98.4025                 NaN            NaN            NaN  0.141902                 NaN   1.45558                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        98.4273                 NaN            NaN            NaN  0.139164                 NaN   1.43356                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        98.4626                 NaN            NaN            NaN  0.136259                 NaN   1.40112                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        2500.00        98.4846                 NaN            NaN            NaN  0.156733                 NaN   1.35866                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00        98.5181                 NaN            NaN            NaN  0.104220                 NaN   1.37764                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        2500.00        98.5377                 NaN            NaN            NaN  0.125859                 NaN   1.33646                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        2500.00        98.5655                 NaN            NaN            NaN  0.123116                 NaN   1.31141                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        2500.00        97.4339                 NaN            NaN            NaN  0.208947                 NaN   2.35719                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        2500.00        99.7182                 NaN            NaN            NaN  0.240787E-001            NaN  0.257697                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        98.6910                 NaN            NaN            NaN  0.110209                 NaN   1.19874                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        2500.00        98.6558                 NaN            NaN            NaN  0.110062                 NaN   1.23412                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        2500.00        98.6753                 NaN            NaN            NaN  0.108200                 NaN   1.21650                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        2500.00        98.6923                 NaN            NaN            NaN  0.105790                 NaN   1.20192                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        2500.00        98.7274                 NaN            NaN            NaN  0.100017                 NaN   1.17259                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        98.7380                 NaN            NaN            NaN  0.979294E-001            NaN   1.16402                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        2500.00        98.7581                 NaN            NaN            NaN  0.956232E-001            NaN   1.14630                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        2500.00        98.7766                 NaN            NaN            NaN  0.996402E-001            NaN   1.12381                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        2500.00        98.7968                 NaN            NaN            NaN  0.852609E-001            NaN   1.11796                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        2500.00        98.8089                 NaN            NaN            NaN  0.864719E-001            NaN   1.10468                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        98.8323                 NaN            NaN            NaN  0.865330E-001            NaN   1.08119                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        2500.00        98.8483                 NaN            NaN            NaN  0.830391E-001            NaN   1.06865                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        2500.00        98.8618                 NaN            NaN            NaN  0.791099E-001            NaN   1.05909                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        98.8621                 NaN            NaN            NaN  0.746857E-001            NaN   1.06325                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        98.9088                 NaN            NaN            NaN  0.758340E-001            NaN   1.01538                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        98.9091                 NaN            NaN            NaN  0.724634E-001            NaN   1.01844                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        2500.00        98.9244                 NaN            NaN            NaN  0.699428E-001            NaN   1.00567                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        2500.00        98.9363                 NaN            NaN            NaN  0.668362E-001            NaN  0.996898                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        2500.00        98.9522                 NaN            NaN            NaN  0.641567E-001            NaN  0.983643                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        2500.00        98.9639                 NaN            NaN            NaN  0.613096E-001            NaN  0.974823                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00        99.5067                 NaN            NaN            NaN  0.290358E-001            NaN  0.464280                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00        98.4599                 NaN            NaN            NaN  0.869195E-001            NaN   1.45317                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        2500.00        99.0040                 NaN            NaN            NaN  0.558122E-001            NaN  0.940204                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        2500.00        99.0009                 NaN            NaN            NaN  0.467169E-001            NaN  0.952407                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        2500.00        99.0341                 NaN            NaN            NaN  0.515175E-001            NaN  0.914386                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        2500.00        99.0393                 NaN            NaN            NaN  0.490494E-001            NaN  0.911686                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        2500.00        97.9981                 NaN            NaN            NaN  0.789023E-001            NaN   1.92301                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00        99.4479                 NaN            NaN            NaN  0.268817E-001            NaN  0.525185                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        2500.00        98.8066                 NaN            NaN            NaN  0.486688E-001            NaN   1.14478                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
