|6.6.6
Archiving\03_Data\Dfrac/QFM_m5/YM20/YM20_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         melt(TH)       melt(TH)       iron           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ne             lc             ilm           
  1809.52        2500.00        99.5107                 NaN            NaN            NaN  0.474465       0.148556E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        2500.00        99.5092                 NaN            NaN            NaN  0.475947       0.148599E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        2500.00        99.5058                 NaN            NaN            NaN  0.479308       0.148932E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        2500.00        99.5104                 NaN            NaN            NaN  0.474855       0.146992E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        2500.00        99.5064                 NaN            NaN            NaN  0.478849       0.147909E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        2500.00        99.5079                 NaN            NaN            NaN  0.477433       0.146804E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        2500.00        99.5059                 NaN            NaN            NaN  0.479397       0.147102E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        2500.00        99.5051                 NaN            NaN            NaN  0.480248       0.146776E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        2500.00        99.2993                 NaN            NaN            NaN  0.679938       0.207892E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        2500.00        99.7093                 NaN            NaN            NaN  0.282145       0.850864E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        2500.00        99.5021                 NaN            NaN            NaN  0.483306       0.145944E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        2500.00        99.4999                 NaN            NaN            NaN  0.485543       0.145858E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        2500.00        99.4991                 NaN            NaN            NaN  0.486384       0.145474E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        2500.00        99.4982                 NaN            NaN            NaN  0.487269       0.144944E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        2500.00        99.4962                 NaN            NaN            NaN  0.489298       0.144828E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        2500.00        99.4953                 NaN            NaN            NaN  0.490250       0.144446E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        2500.00        99.3161                 NaN            NaN            NaN  0.664314       0.195467E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        2500.00        99.6692                 NaN            NaN            NaN  0.321464       0.931710E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        2500.00        99.4870                 NaN            NaN            NaN  0.498542       0.144701E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        2500.00        99.4904                 NaN            NaN            NaN  0.495373       0.142737E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        2500.00        99.4854                 NaN            NaN            NaN  0.500262       0.143355E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        2500.00        99.4833                 NaN            NaN            NaN  0.502341       0.143327E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        2500.00        99.4813                 NaN            NaN            NaN  0.504451       0.142962E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        2500.00        99.4790                 NaN            NaN            NaN  0.506737       0.142734E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        2500.00        99.4586                 NaN            NaN            NaN  0.526582       0.147790E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        2500.00        99.4925                 NaN            NaN            NaN  0.493817       0.137323E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        2500.00        99.4706                 NaN            NaN            NaN  0.515136       0.142487E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        2500.00        99.4696                 NaN            NaN            NaN  0.516228       0.141825E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        2500.00        99.4662                 NaN            NaN            NaN  0.519586       0.142059E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        2500.00        99.4641                 NaN            NaN            NaN  0.521729       0.141620E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        2500.00        99.4597                 NaN            NaN            NaN  0.526090       0.142249E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        2500.00        99.4588                 NaN            NaN            NaN  0.527102       0.141319E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        2500.00        99.4568                 NaN            NaN            NaN  0.529161       0.140738E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        2500.00        99.4529                 NaN            NaN            NaN  0.533049       0.140966E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        99.4496                 NaN            NaN            NaN  0.536303       0.140882E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        99.4468                 NaN            NaN            NaN  0.539074       0.140995E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        99.2188                 NaN            NaN            NaN  0.761525       0.197002E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        99.6696                 NaN            NaN            NaN  0.322036       0.832059E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        99.4385                 NaN            NaN            NaN  0.547467       0.140368E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        99.4355                 NaN            NaN            NaN  0.550444       0.140260E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        99.4163                 NaN            NaN            NaN  0.569295       0.144175E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        99.4462                 NaN            NaN            NaN  0.540252       0.135791E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        99.4250                 NaN            NaN            NaN  0.561001       0.140099E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        99.4244                 NaN            NaN            NaN  0.561653       0.139431E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        99.4719                 NaN            NaN            NaN  0.516871       0.112754E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        99.3684                 NaN            NaN            NaN  0.614981       0.165777E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        2500.00        99.4135                 NaN            NaN            NaN  0.572504       0.139740E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        2500.00        99.1556                 NaN            NaN            NaN  0.824629       0.197722E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        99.3253                 NaN            NaN            NaN  0.658846       0.158579E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        99.7447                 NaN            NaN            NaN  0.249379       0.594720E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        99.4024                 NaN            NaN            NaN  0.583637       0.139551E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        2500.00        99.4023                 NaN            NaN            NaN  0.583857       0.138399E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        99.3977                 NaN            NaN            NaN  0.588387       0.138838E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        97.6998                 NaN            NaN            NaN  0.266526                 NaN   2.03370                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        97.5709                 NaN            NaN            NaN  0.228344                 NaN   2.20076                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        97.6411                 NaN            NaN            NaN  0.222969                 NaN   2.13589                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        97.6820                 NaN            NaN            NaN  0.218925                 NaN   2.09908                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        97.7338                 NaN            NaN            NaN  0.214102                 NaN   2.05205                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        97.7793                 NaN            NaN            NaN  0.209701                 NaN   2.01099                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        97.8166                 NaN            NaN            NaN  0.203304                 NaN   1.98010                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        97.8763                 NaN            NaN            NaN  0.199216                 NaN   1.92453                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        97.9124                 NaN            NaN            NaN  0.195905                 NaN   1.89167                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        97.9487                 NaN            NaN            NaN  0.190774                 NaN   1.86053                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        97.9952                 NaN            NaN            NaN  0.186428                 NaN   1.81838                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        98.0337                 NaN            NaN            NaN  0.183135                 NaN   1.78320                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        98.0685                 NaN            NaN            NaN  0.178956                 NaN   1.75252                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        98.0958                 NaN            NaN            NaN  0.172447                 NaN   1.73176                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        98.1421                 NaN            NaN            NaN  0.171497                 NaN   1.68645                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        98.1751                 NaN            NaN            NaN  0.167067                 NaN   1.65783                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        98.2054                 NaN            NaN            NaN  0.161952                 NaN   1.63262                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        98.2324                 NaN            NaN            NaN  0.158948                 NaN   1.60861                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        98.2716                 NaN            NaN            NaN  0.155632                 NaN   1.57277                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        2500.00        98.2950                 NaN            NaN            NaN  0.179200                 NaN   1.52585                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00        98.3331                 NaN            NaN            NaN  0.119238                 NaN   1.54764                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        2500.00        98.3540                 NaN            NaN            NaN  0.144043                 NaN   1.50196                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        2500.00        98.3846                 NaN            NaN            NaN  0.140970                 NaN   1.47441                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        2500.00        97.1137                 NaN            NaN            NaN  0.239031                 NaN   2.64729                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        2500.00        99.6820                 NaN            NaN            NaN  0.276395E-001            NaN  0.290328                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        98.5243                 NaN            NaN            NaN  0.126364                 NaN   1.34936                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        2500.00        98.4843                 NaN            NaN            NaN  0.126271                 NaN   1.38940                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        2500.00        98.5054                 NaN            NaN            NaN  0.124252                 NaN   1.37032                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        2500.00        98.5243                 NaN            NaN            NaN  0.121499                 NaN   1.35423                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        2500.00        98.5633                 NaN            NaN            NaN  0.114939                 NaN   1.32174                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        98.5751                 NaN            NaN            NaN  0.112577                 NaN   1.31236                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        2500.00        98.5971                 NaN            NaN            NaN  0.109992                 NaN   1.29288                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        2500.00        98.6174                 NaN            NaN            NaN  0.114671                 NaN   1.26796                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        2500.00        98.6399                 NaN            NaN            NaN  0.981676E-001            NaN   1.26192                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        2500.00        98.6531                 NaN            NaN            NaN  0.996260E-001            NaN   1.24725                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        98.6789                 NaN            NaN            NaN  0.997552E-001            NaN   1.22139                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        2500.00        98.6967                 NaN            NaN            NaN  0.957702E-001            NaN   1.20758                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        2500.00        98.7115                 NaN            NaN            NaN  0.912903E-001            NaN   1.19717                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        98.7113                 NaN            NaN            NaN  0.862575E-001            NaN   1.20241                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        98.7638                 NaN            NaN            NaN  0.875940E-001            NaN   1.14859                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        98.7637                 NaN            NaN            NaN  0.837629E-001            NaN   1.15256                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        2500.00        98.7807                 NaN            NaN            NaN  0.808654E-001            NaN   1.13841                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        2500.00        98.7938                 NaN            NaN            NaN  0.773208E-001            NaN   1.12887                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        2500.00        98.8115                 NaN            NaN            NaN  0.742640E-001            NaN   1.11427                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        2500.00        98.8244                 NaN            NaN            NaN  0.710011E-001            NaN   1.10457                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00        99.4395                 NaN            NaN            NaN  0.336917E-001            NaN  0.526783                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00        98.2525                 NaN            NaN            NaN  0.100710                 NaN   1.64676                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        2500.00        98.8685                 NaN            NaN            NaN  0.647636E-001            NaN   1.06678                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        2500.00        98.8649                 NaN            NaN            NaN  0.542343E-001            NaN   1.08083                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        2500.00        98.9022                 NaN            NaN            NaN  0.598244E-001            NaN   1.03799                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        2500.00        98.9077                 NaN            NaN            NaN  0.569915E-001            NaN   1.03535                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        2500.00        97.7247                 NaN            NaN            NaN  0.918189E-001            NaN   2.18346                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00        99.3715                 NaN            NaN            NaN  0.312977E-001            NaN  0.597201                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        2500.00        98.6421                 NaN            NaN            NaN  0.566414E-001            NaN   1.30121                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
