|6.6.6
Archiving\03_Data\eqfracLP/QFM_m1.25/EETA/EETA_3.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        an             O(HP)          ilm            San(TH)        q             
  1368.90        500.000                 NaN   99.1472       0.149579       0.297599                 NaN  0.287234       0.118370                 NaN            NaN            NaN
  1367.87        500.000                 NaN   99.1554       0.145596       0.295711                 NaN  0.284658       0.118666                 NaN            NaN            NaN
  1366.83        500.000                 NaN   99.1626       0.141157       0.294277                 NaN  0.282604       0.119411                 NaN            NaN            NaN
  1365.79        500.000                 NaN   99.1724       0.291052       0.138366                 NaN  0.279291       0.118879                 NaN            NaN            NaN
  1364.76        500.000                 NaN   99.1799       0.133920       0.289718                 NaN  0.276965       0.119450                 NaN            NaN            NaN
  1363.72        500.000                 NaN   99.1871       0.287945       0.130710                 NaN  0.274717       0.119576                 NaN            NaN            NaN
  1362.68        500.000                 NaN   99.1944       0.127008       0.286295                 NaN  0.272456       0.119869                 NaN            NaN            NaN
  1361.65        500.000                 NaN   99.2023       0.123962       0.284204                 NaN  0.269780       0.119757                 NaN            NaN            NaN
  1360.61        500.000                 NaN   99.2094       0.282716       0.120097                 NaN  0.267637       0.120151                 NaN            NaN            NaN
  1359.58        500.000                 NaN   99.2166       0.281029       0.116977                 NaN  0.265290       0.120104                 NaN            NaN            NaN
  1358.54        500.000                 NaN   99.2244       0.113223       0.279192                 NaN  0.262871       0.120317                 NaN            NaN            NaN
  1357.50        500.000                 NaN   99.2314       0.277107       0.110585                 NaN  0.260553       0.120326                 NaN            NaN            NaN
  1356.47        500.000                 NaN   99.2384       0.107381       0.275566                 NaN  0.258326       0.120329                 NaN            NaN            NaN
  1355.43        500.000                 NaN   99.2433       0.274700       0.104392                 NaN  0.256890       0.120707                 NaN            NaN            NaN
  1354.39        500.000                 NaN   99.2529       0.101390       0.271831                 NaN  0.253599       0.120301                 NaN            NaN            NaN
  1353.36        500.000                 NaN   99.2593       0.270372       0.982488E-001            NaN  0.251600       0.120478                 NaN            NaN            NaN
  1352.32        500.000                 NaN   99.2662       0.959855E-001  0.268478                 NaN  0.249260       0.120080                 NaN            NaN            NaN
  1351.29        500.000                 NaN   99.2722       0.928566E-001  0.267279                 NaN  0.247391       0.120291                 NaN            NaN            NaN
  1350.25        500.000                 NaN   99.2785       0.265961       0.898884E-001            NaN  0.245354       0.120340                 NaN            NaN            NaN
  1349.21        500.000                 NaN   99.2852       0.264109       0.872868E-001            NaN  0.243159       0.120215                 NaN            NaN            NaN
  1348.18        500.000                 NaN   99.2912       0.845388E-001  0.262625                 NaN  0.241321       0.120326                 NaN            NaN            NaN
  1347.14        500.000                 NaN   99.2979       0.260932       0.827857E-001            NaN  0.238864       0.119534                 NaN            NaN            NaN
  1346.10        500.000                 NaN   99.3037       0.259583       0.797417E-001            NaN  0.237103       0.119916                 NaN            NaN            NaN
  1345.07        500.000                 NaN   99.3087       0.258350       0.783770E-001            NaN  0.235255       0.119277                 NaN            NaN            NaN
  1344.03        500.000                 NaN   99.3148       0.755256E-001  0.256850                 NaN  0.233394       0.119462                 NaN            NaN            NaN
  1343.00        500.000                 NaN   99.3221       0.737876E-001  0.254667                 NaN  0.230734       0.118669                 NaN            NaN            NaN
  1341.96        500.000                 NaN   99.3264       0.253645       0.716858E-001            NaN  0.229478       0.118784                 NaN            NaN            NaN
  1340.92        500.000                 NaN   99.3332       0.251921       0.696585E-001            NaN  0.227087       0.118170                 NaN            NaN            NaN
  1339.89        500.000                 NaN   99.3382       0.677935E-001  0.250734                 NaN  0.225361       0.117939                 NaN            NaN            NaN
  1338.85        500.000                 NaN   99.3437       0.654727E-001  0.248998                 NaN  0.223683       0.118106                 NaN            NaN            NaN
  1337.81        500.000                 NaN   99.3500       0.646561E-001  0.247236                 NaN  0.221271       0.116801                 NaN            NaN            NaN
  1336.78        500.000                 NaN   99.3259       0.184882       0.203822                 NaN  0.218752       0.666191E-001            NaN            NaN            NaN
  1335.74        500.000                 NaN   99.3761       0.265057                 NaN            NaN  0.217787       0.141087                 NaN            NaN            NaN
  1334.71        500.000                 NaN   99.3781       0.264332                 NaN            NaN  0.217193       0.140376                 NaN            NaN            NaN
  1333.67        500.000                 NaN   99.3717       0.516954E-001  0.244181                 NaN  0.214448       0.118014                 NaN            NaN            NaN
  1332.63        500.000                 NaN   99.3749       0.576079E-001  0.240606                 NaN  0.212524       0.114333                 NaN            NaN            NaN
  1331.60        500.000                 NaN   99.3804       0.239228       0.553391E-001            NaN  0.210808       0.114274                 NaN            NaN            NaN
  1330.56        500.000                 NaN   99.3835       0.237972       0.550221E-001            NaN  0.209708       0.113753                 NaN            NaN            NaN
  1329.52        500.000                 NaN   99.3915       0.528945E-001  0.235961                 NaN  0.206818       0.112822                 NaN            NaN            NaN
  1328.49        500.000                 NaN   99.3946       0.520240E-001  0.235155                 NaN  0.205849       0.112377                 NaN            NaN            NaN
  1327.45        500.000                 NaN   99.4005       0.501437E-001  0.233585                 NaN  0.203760       0.112041                 NaN            NaN            NaN
  1326.42        500.000                 NaN   99.4047       0.231836       0.501995E-001            NaN  0.202247       0.111063                 NaN            NaN            NaN
  1325.38        500.000                 NaN   99.4096       0.482153E-001  0.230644                 NaN  0.200610       0.110897                 NaN            NaN            NaN
  1324.34        500.000                 NaN   99.4135       0.485245E-001  0.229492                 NaN  0.198920       0.109537                 NaN            NaN            NaN
  1323.31        500.000                 NaN   99.4181       0.478019E-001  0.227998                 NaN  0.197313       0.108779                 NaN            NaN            NaN
  1322.27        500.000                 NaN   99.4223       0.226647       0.473332E-001            NaN  0.195764       0.108002                 NaN            NaN            NaN
  1321.23        500.000                 NaN   99.4263       0.225532       0.467648E-001            NaN  0.194257       0.107163                 NaN            NaN            NaN
  1320.20        500.000                 NaN   99.4312       0.459848E-001  0.223916                 NaN  0.192482       0.106382                 NaN            NaN            NaN
  1319.16        500.000                 NaN   99.4353       0.222470       0.456997E-001            NaN  0.190992       0.105563                 NaN            NaN            NaN
  1318.13        500.000                 NaN   99.4397       0.221221       0.449860E-001            NaN  0.189383       0.104752                 NaN            NaN            NaN
  1317.09        500.000                 NaN   99.4434       0.450467E-001  0.219888                 NaN  0.187942       0.103743                 NaN            NaN            NaN
  1316.05        500.000                 NaN   99.4478       0.218327       0.444917E-001            NaN  0.186377       0.102983                 NaN            NaN            NaN
  1315.02        500.000                 NaN   99.4510       0.217067       0.440481E-001            NaN  0.185375       0.102502                 NaN            NaN            NaN
  1313.98        500.000                 NaN   99.4570       0.215561       0.440222E-001            NaN  0.182727       0.100699                 NaN            NaN            NaN
  1312.94        500.000                 NaN   99.4592       0.214022       0.453322E-001            NaN  0.181870       0.995305E-001            NaN            NaN            NaN
  1311.91        500.000                 NaN   99.4633       0.212340       0.452718E-001            NaN  0.180442       0.986752E-001            NaN            NaN            NaN
  1310.87        500.000                 NaN   99.4674       0.211383       0.442069E-001            NaN  0.179002       0.980255E-001            NaN            NaN            NaN
  1309.84        500.000                 NaN   99.4707       0.446536E-001  0.210123                 NaN  0.177690       0.968415E-001            NaN            NaN            NaN
  1308.80        500.000                 NaN   99.4748       0.207884       0.462143E-001            NaN  0.175958       0.951875E-001            NaN            NaN            NaN
  1307.76        500.000                 NaN   99.4782       0.207021       0.458740E-001            NaN  0.174654       0.942942E-001            NaN            NaN            NaN
  1306.73        500.000                 NaN   99.4813       0.205966       0.459560E-001            NaN  0.173444       0.932896E-001            NaN            NaN            NaN
  1305.69        500.000                 NaN   99.4851       0.470981E-001  0.203755                 NaN  0.172022       0.920585E-001            NaN            NaN            NaN
  1304.65        500.000                 NaN   99.4885       0.203003       0.469915E-001            NaN  0.170618       0.909210E-001            NaN            NaN            NaN
  1303.62        500.000                 NaN   99.4916       0.480427E-001  0.201278                 NaN  0.169409       0.896993E-001            NaN            NaN            NaN
  1302.58        500.000                 NaN   99.4956       0.199400       0.492138E-001            NaN  0.167736       0.880583E-001            NaN            NaN            NaN
  1301.55        500.000                 NaN   99.4983       0.497799E-001  0.198103                 NaN  0.166712       0.871186E-001            NaN            NaN            NaN
  1300.51        500.000                 NaN   99.5015       0.196595       0.508464E-001            NaN  0.165362       0.856781E-001            NaN            NaN            NaN
  1299.47        500.000                 NaN   99.5046       0.194810       0.523274E-001            NaN  0.164065       0.841615E-001            NaN            NaN            NaN
  1298.44        500.000                 NaN   99.5079       0.519978E-001  0.193731                 NaN  0.162918       0.834469E-001            NaN            NaN            NaN
  1297.40        500.000                 NaN   99.5109       0.540027E-001  0.191795                 NaN  0.161617       0.816867E-001            NaN            NaN            NaN
  1296.36        500.000                 NaN   99.5141       0.545538E-001  0.190561                 NaN  0.160317       0.804999E-001            NaN            NaN            NaN
  1295.33        500.000                 NaN   99.5169       0.563458E-001  0.188605                 NaN  0.159162       0.789866E-001            NaN            NaN            NaN
  1294.29        500.000                 NaN   99.5197       0.187129       0.573636E-001            NaN  0.158040       0.777250E-001            NaN            NaN            NaN
  1293.26        500.000                 NaN   99.5227       0.590452E-001  0.185426                 NaN  0.156752       0.760970E-001            NaN            NaN            NaN
  1292.22        500.000                 NaN   99.5253       0.183758       0.605666E-001            NaN  0.155677       0.747056E-001            NaN            NaN            NaN
  1291.18        500.000                 NaN   99.5281       0.182352       0.616133E-001            NaN  0.154512       0.733894E-001            NaN            NaN            NaN
  1290.15        500.000                 NaN   99.5181       0.214931       0.513394E-002            NaN  0.159914       0.907958E-001  0.111106E-001            NaN            NaN
  1289.11        500.000                 NaN   99.4907       0.228276                 NaN            NaN  0.167201       0.887879E-001  0.250652E-001            NaN            NaN
  1288.07        500.000                 NaN   99.4951       0.227053                 NaN            NaN  0.165582       0.875373E-001  0.247194E-001            NaN            NaN
  1287.04        500.000                 NaN   99.5006       0.224199                 NaN            NaN  0.163866       0.869298E-001  0.243932E-001            NaN            NaN
  1286.00        500.000                 NaN   99.5054       0.222217                 NaN            NaN  0.162276       0.860367E-001  0.240674E-001            NaN            NaN
  1284.97        500.000                 NaN   99.5102       0.219880                 NaN            NaN  0.160745       0.853970E-001  0.237430E-001            NaN            NaN
  1283.93        500.000                 NaN   99.5149       0.218234                 NaN            NaN  0.159107       0.843372E-001  0.234165E-001            NaN            NaN
  1282.89        500.000                 NaN   99.5196       0.216602                 NaN            NaN  0.157576       0.831260E-001  0.230973E-001            NaN            NaN
  1281.86        500.000                 NaN   99.5245       0.214473                 NaN            NaN  0.155923       0.823072E-001  0.227612E-001            NaN            NaN
  1280.82        500.000                 NaN   99.5288       0.212500                 NaN            NaN  0.154519       0.817286E-001  0.224807E-001            NaN            NaN
  1279.78        500.000                 NaN   99.5334       0.210764                 NaN            NaN  0.152967       0.806975E-001  0.221567E-001            NaN            NaN
  1278.75        500.000                 NaN   99.5380       0.209111                 NaN            NaN  0.151382       0.796161E-001  0.218453E-001            NaN            NaN
  1277.71        500.000                 NaN   99.5424       0.207629                 NaN            NaN  0.149939       0.785276E-001  0.215448E-001            NaN            NaN
  1276.68        500.000                 NaN   99.5464       0.206256                 NaN            NaN  0.148508       0.776129E-001  0.212526E-001            NaN            NaN
  1275.64        500.000                 NaN   99.5511       0.203707                 NaN            NaN  0.147021       0.771566E-001  0.209714E-001            NaN            NaN
  1274.60        500.000                 NaN   99.5554       0.202290                 NaN            NaN  0.145582       0.760137E-001  0.206870E-001            NaN            NaN
  1273.57        500.000                 NaN   99.5598       0.200886                 NaN            NaN  0.144127       0.748498E-001  0.203782E-001            NaN            NaN
  1272.53        500.000                 NaN   96.7450       0.636871                 NaN            NaN  0.476148       0.220275       0.836403E-001   1.83803                 NaN
  1271.50        500.000                 NaN   91.9694        1.39363                 NaN            NaN   1.03710       0.452973       0.188641        4.95827                 NaN
  1270.46        500.000                 NaN   92.6267        1.29985                 NaN            NaN  0.956720       0.408684       0.171870        4.53614                 NaN
  1269.42        500.000                 NaN   93.1549        1.16201       0.111252                 NaN  0.890985       0.338414       0.155969        4.18652                 NaN
  1268.39        500.000                 NaN   93.5772       0.992409       0.301368                 NaN  0.837539       0.252371       0.141134        3.89801                 NaN
  1267.35        500.000                 NaN   94.0035       0.930981       0.287362                 NaN  0.785377       0.232957       0.130897        3.62894                 NaN
  1266.31        500.000                 NaN   94.3765       0.877253       0.274824                 NaN  0.739603       0.215970       0.121968        3.39385                 NaN
  1265.28        500.000                 NaN   94.7116       0.829213       0.261129                 NaN  0.698301       0.201856       0.114052        3.18389                 NaN
  1264.24        500.000                 NaN   95.0095       0.248773       0.786364                 NaN  0.661464       0.189364       0.107031        2.99750                 NaN
  1263.21        500.000                 NaN   95.2784       0.748560       0.235639                 NaN  0.628064       0.178553       0.100787        2.83004                 NaN
  1262.17        500.000                 NaN   95.5209       0.715277       0.221250                 NaN  0.597890       0.170011       0.951823E-001   2.67952                 NaN
  1261.13        500.000                 NaN   95.7432       0.685701       0.206567                 NaN  0.570024       0.162228       0.900967E-001   2.54220                 NaN
  1260.10        500.000                 NaN   95.9421       0.659197       0.194007                 NaN  0.544995       0.155045       0.855278E-001   2.41915                 NaN
  1259.06        500.000                 NaN   96.1273       0.633888       0.181981                 NaN  0.521590       0.148633       0.812957E-001   2.30533                 NaN
  1258.02        500.000                 NaN   96.2965       0.609516       0.173022                 NaN  0.500063       0.142111       0.774021E-001   2.20134                 NaN
  1256.99        500.000                 NaN   96.4480       0.579983       0.168065                 NaN  0.481361       0.138075       0.739667E-001   2.11059                 NaN
  1255.95        500.000                 NaN   96.6100       0.130715       0.583652                 NaN  0.459546       0.135760       0.705786E-001   2.00975                 NaN
  1254.92        500.000                 NaN   96.7301       0.135320       0.555020                 NaN  0.444445       0.129703       0.676591E-001   1.93780                 NaN
  1253.88        500.000                 NaN   96.8606       0.126094       0.537315                 NaN  0.427594       0.125418       0.646787E-001   1.85834                 NaN
  1252.84        500.000                 NaN   96.9738       0.522462       0.117075                 NaN  0.412790       0.121697       0.621110E-001   1.79004                 NaN
  1251.81        500.000                 NaN   97.0831       0.107178       0.508690                 NaN  0.398374       0.118655       0.596275E-001   1.72436                 NaN
  1250.77        500.000                 NaN   97.1829       0.108381       0.489850                 NaN  0.385257       0.113039       0.571793E-001   1.66339                 NaN
  1249.73        500.000                 NaN   97.2832       0.910673E-001  0.481399                 NaN  0.372065       0.112796       0.550988E-001   1.60436                 NaN
  1248.70        500.000                 NaN   97.3714       0.862132E-001  0.468615                 NaN  0.360208       0.109129       0.530335E-001   1.55144                 NaN
  1247.66        500.000                 NaN   97.4583       0.453667       0.835479E-001            NaN  0.348511       0.105375       0.509645E-001   1.49965                 NaN
  1246.63        500.000                 NaN   97.5390       0.447011       0.711309E-001            NaN  0.337655       0.104201       0.492152E-001   1.45176                 NaN
  1245.59        500.000                 NaN   97.6164       0.434081       0.677297E-001            NaN  0.327160       0.101302       0.474051E-001   1.40596                 NaN
  1244.55        500.000                 NaN   97.6873       0.677603E-001  0.420729                 NaN  0.317398       0.974291E-001  0.456640E-001   1.36371                 NaN
  1243.52        500.000                 NaN   97.7563       0.625931E-001  0.411027                 NaN  0.307932       0.951272E-001  0.440726E-001   1.32297                 NaN
  1242.48        500.000                 NaN   97.8222       0.399781       0.600936E-001            NaN  0.298867       0.924915E-001  0.424948E-001   1.28410                 NaN
  1241.44        500.000                 NaN   97.8842       0.389021       0.582365E-001            NaN  0.290262       0.897391E-001  0.410157E-001   1.24750                 NaN
  1240.41        500.000                 NaN   97.9443       0.561736E-001  0.378498                 NaN  0.281857       0.873127E-001  0.395705E-001   1.21232                 NaN
  1239.37        500.000                 NaN   98.0003       0.367405       0.564647E-001            NaN  0.274029       0.843660E-001  0.382077E-001   1.17920                 NaN
  1238.34        500.000                 NaN   98.0554       0.356055       0.571244E-001            NaN  0.266173       0.814265E-001  0.368476E-001   1.14701                 NaN
  1237.30        500.000                 NaN   98.1063       0.346220       0.569547E-001            NaN  0.259109       0.789729E-001  0.356031E-001   1.11688                 NaN
  1236.26        500.000                 NaN   98.1547       0.368820                 NaN            NaN  0.253507       0.956443E-001  0.350941E-001   1.09220                 NaN
  1235.23        500.000                 NaN   98.2030       0.286001       0.126053                 NaN  0.243941       0.524119E-001  0.323666E-001   1.05621                 NaN
  1234.19        500.000                 NaN   98.2489       0.309398       0.690265E-001            NaN  0.238620       0.691548E-001  0.319171E-001   1.03301                 NaN
  1233.15        500.000                 NaN   98.2929       0.690408E-001  0.300429                 NaN  0.232284       0.670166E-001  0.308367E-001   1.00747                 NaN
  1232.12        500.000                 NaN   98.3341       0.288394       0.743103E-001            NaN  0.226344       0.638461E-001  0.297552E-001  0.983238                 NaN
  1231.08        500.000                 NaN   98.3741       0.276533       0.801400E-001            NaN  0.220544       0.604973E-001  0.286815E-001  0.959512                 NaN
  1230.05        500.000                 NaN   98.4136       0.264565       0.855708E-001            NaN  0.214774       0.574702E-001  0.276475E-001  0.936363                 NaN
  1229.01        500.000                 NaN   98.4501       0.252645       0.921662E-001            NaN  0.209479       0.541847E-001  0.266500E-001  0.914814                 NaN
  1227.97        500.000                 NaN   98.4855       0.238983       0.101656                 NaN  0.204260       0.502665E-001  0.256404E-001  0.893723                 NaN
  1226.94        500.000                 NaN   98.5188       0.110212       0.226540                 NaN  0.199373       0.465616E-001  0.246881E-001  0.873824                 NaN
  1225.90        500.000                 NaN   98.5560       0.951296E-001  0.228463                 NaN  0.194001       0.487839E-001  0.240280E-001  0.853608                 NaN
  1224.86        500.000                 NaN   98.5795       0.182708       0.156473                 NaN  0.190331       0.330449E-001  0.225164E-001  0.835405                 NaN
  1223.83        500.000                 NaN   98.6137       0.185213       0.142235                 NaN  0.185346       0.348437E-001  0.218702E-001  0.816770                 NaN
  1222.79        500.000                 NaN   98.6425       0.171031       0.154332                 NaN  0.181220       0.307509E-001  0.210286E-001  0.799171                 NaN
  1221.76        500.000                 NaN   98.6699       0.157625       0.165888                 NaN  0.177022       0.266640E-001  0.201735E-001  0.782756                 NaN
  1220.72        500.000                 NaN   98.6948       0.199837       0.130065                 NaN  0.173281       0.172636E-001  0.190421E-001  0.765726                 NaN
  1219.68        500.000                 NaN   98.7239       0.138761       0.177135                 NaN  0.169186       0.219594E-001  0.186706E-001  0.750386                 NaN
  1218.65        500.000                 NaN   98.7456       0.106849       0.219072                 NaN  0.165839       0.104855E-001  0.175089E-001  0.734661                 NaN
  1217.61        500.000                 NaN   98.7689       0.943861E-001  0.230334                 NaN  0.162217       0.693375E-002  0.167673E-001  0.720474                 NaN
  1216.57        500.000                 NaN   98.7909       0.753959E-001  0.252114                 NaN  0.159100       0.729958E-003  0.158890E-001  0.705830                 NaN
  1215.54        500.000                 NaN   98.8268       0.128231       0.157311                 NaN  0.154185       0.241316E-001  0.164184E-001  0.692908                 NaN
  1214.50        500.000                 NaN   98.8411       0.243781       0.713832E-001            NaN  0.151883       0.334716E-005  0.148222E-001  0.677016                 NaN
  1213.47        500.000                 NaN   97.4538       0.193081                 NaN            NaN  0.421407       0.196384       0.544487E-001   1.68091                 NaN
  1212.43        500.000                 NaN   99.7580       0.241677                 NaN            NaN            NaN            NaN  0.301697E-003            NaN            NaN
  1211.39        500.000                 NaN   99.4602       0.117663       0.639078E-001            NaN  0.153372E-001            NaN  0.778065E-002  0.335066                 NaN
  1210.36        500.000                 NaN   96.9116       0.432917                 NaN            NaN  0.438594       0.147730       0.483748E-001   2.02075                 NaN
  1209.32        500.000                 NaN   99.4380       0.134148                 NaN            NaN  0.522046E-001  0.166731E-001  0.325140E-002  0.355696                 NaN
  1208.28        500.000                 NaN   97.3574       0.438208                 NaN            NaN  0.335796       0.847578E-001  0.207591E-001  0.363675        1.39938     
  1207.25        500.000                 NaN   97.2431       0.247475       0.912934E-001            NaN  0.196116                 NaN  0.120444E-001   2.15289       0.570897E-001
  1206.21        500.000                 NaN   91.1770       0.163015       0.625573                 NaN  0.755019       0.254610       0.484427E-001   3.49708        3.47922     
  1205.18        500.000                 NaN   97.8732       0.250187       0.640241E-001            NaN  0.176784                 NaN  0.981414E-002  0.815903       0.810088     
  1204.14        500.000                 NaN   91.5397       0.101792       0.641406                 NaN  0.722202       0.236510       0.469075E-001   3.37011        3.34138     
  1203.10        500.000                 NaN   99.1269       0.159190                 NaN            NaN            NaN            NaN  0.456334E-002  0.848697E-001  0.624516     
  1202.07        500.000                 NaN   93.8746       0.360206       0.421538                 NaN  0.520526                 NaN  0.274303E-001   2.42428        2.37138     
  1201.03        500.000                 NaN   87.4132       0.839953                 NaN            NaN   1.05983       0.411350       0.682551E-001   5.01228        5.19519     
  1199.99        500.000                 NaN   89.6160        1.04323                 NaN            NaN  0.859251       0.146020       0.544251E-001   4.15186        4.12924     
  1198.96        500.000                 NaN   99.5796                 NaN            NaN            NaN  0.200812E-001            NaN  0.541450E-002  0.123470       0.271403     
  1197.92        500.000                 NaN   95.8394       0.491646       0.808728E-001            NaN  0.351261                 NaN  0.171271E-001   1.70238        1.51729     
  1196.89        500.000                 NaN   93.6626       0.392441       0.398261                 NaN  0.534562                 NaN  0.253901E-001   2.51638        2.47035     
  1195.85        500.000                 NaN   91.3084       0.775476       0.381665       0.235138E-004  0.724120                 NaN  0.326004E-001   3.39031        3.38738     
  1194.81        500.000                 NaN   95.6818                 NaN            NaN            NaN  0.391113       0.284658       0.224315E-001   1.80917        1.81083     
  1193.78        500.000                 NaN   89.5807       0.960630       0.763457E-006            NaN  0.842415       0.162695       0.519219E-001   4.21741        4.18418     
  1192.74        500.000                 NaN   95.9881       0.317237       0.123816                 NaN  0.312083                 NaN  0.208603E-001   1.63834        1.59953     
  1191.70        500.000                 NaN   97.4237       0.207121E-001  0.256988                 NaN  0.220162                 NaN  0.873275E-002   1.05002        1.01966     
  1190.67        500.000                 NaN   99.9944       0.164781E-003  0.544148E-003            NaN  0.475064E-003            NaN  0.164955E-004  0.225704E-002  0.219029E-002
  1189.63        500.000                 NaN   80.7877        2.23927                 NaN            NaN   1.59240                 NaN  0.578989E-001   7.79364        7.52905     
  1188.60        500.000                 NaN   84.8683       0.346569E-001   1.54304                 NaN   1.19840                 NaN  0.519024E-001   6.28481        6.01886     
  1187.56        500.000                 NaN   99.5145       0.405621E-001  0.693191E-002            NaN  0.376020E-001            NaN  0.182514E-002  0.207469       0.191098     
  1186.52        500.000                 NaN   40.4929        5.40088       0.201338                 NaN   4.43278                 NaN  0.200768        25.4214        23.8499     
