|6.6.6
Archiving\03_Data\eqfrac/QFM_m2/Y98/Y98_1.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          Sp(TH)         an             ilm            San(TH)        q             
  1460.32        2500.00        99.1492                 NaN  0.554778       0.296038                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1459.10        2500.00        99.1524                 NaN  0.295653       0.551973                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1457.88        2500.00        99.1003                 NaN  0.586875       0.312865                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1456.65        2500.00        99.2152                 NaN  0.511651       0.273172                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1455.43        2500.00        99.1646                 NaN  0.291239       0.544133                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1454.21        2500.00        99.1794                 NaN  0.563710       0.191657                 NaN  0.652489E-001            NaN            NaN            NaN            NaN            NaN
  1452.99        2500.00        99.1715                 NaN  0.539140       0.289383                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1451.77        2500.00        99.1767                 NaN  0.283593       0.539755                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.55        2500.00        99.1784                 NaN  0.284256       0.537354                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1449.33        2500.00        99.1814                 NaN  0.283192       0.535451                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.11        2500.00        99.1250                 NaN  0.304008       0.571026                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1446.89        2500.00        99.2482                 NaN  0.492393       0.257535                 NaN  0.182390E-002            NaN            NaN            NaN            NaN            NaN
  1445.67        2500.00        98.8500                 NaN  0.571640       0.389926                 NaN  0.319852E-001            NaN  0.156452                 NaN            NaN            NaN
  1444.44        2500.00        97.8186                 NaN  0.743112       0.503111                 NaN  0.287717                 NaN  0.647459                 NaN            NaN            NaN
  1443.22        2500.00        97.8584                 NaN  0.731148       0.488584                 NaN  0.285993                 NaN  0.635907                 NaN            NaN            NaN
  1442.00        2500.00        97.8883                 NaN  0.724103       0.473859                 NaN  0.285912                 NaN  0.627830                 NaN            NaN            NaN
  1440.78        2500.00        97.9206                 NaN  0.714171       0.460490                 NaN  0.286217                 NaN  0.618568                 NaN            NaN            NaN
  1439.56        2500.00        97.9552                 NaN  0.446501       0.706677                 NaN  0.284160                 NaN  0.607479                 NaN            NaN            NaN
  1438.34        2500.00        97.9780                 NaN  0.433314       0.702468                 NaN  0.285166                 NaN  0.601076                 NaN            NaN            NaN
  1437.12        2500.00        98.0111                 NaN  0.420018       0.693442                 NaN  0.284028                 NaN  0.591445                 NaN            NaN            NaN
  1435.90        2500.00        98.0384                 NaN  0.407219       0.685884                 NaN  0.284673                 NaN  0.583866                 NaN            NaN            NaN
  1434.68        2500.00        98.0699                 NaN  0.395576       0.677600                 NaN  0.282818                 NaN  0.574057                 NaN            NaN            NaN
  1433.46        2500.00        98.0931                 NaN  0.383212       0.672477                 NaN  0.283526                 NaN  0.567704                 NaN            NaN            NaN
  1432.23        2500.00        98.1184                 NaN  0.371344       0.666319                 NaN  0.283563                 NaN  0.560360                 NaN            NaN            NaN
  1431.01        2500.00        98.1428                 NaN  0.660885       0.359488                 NaN  0.283473                 NaN  0.553382                 NaN            NaN            NaN
  1429.79        2500.00        96.4814                 NaN   1.26089       0.662203                 NaN  0.547382                 NaN   1.04810                 NaN            NaN            NaN
  1428.57        2500.00        99.9062                 NaN  0.354642E-001  0.167090E-001            NaN  0.144162E-001            NaN  0.272331E-001            NaN            NaN            NaN
  1427.35        2500.00        98.2172                 NaN  0.326821       0.641427                 NaN  0.282942                 NaN  0.531597                 NaN            NaN            NaN
  1426.13        2500.00        98.2388                 NaN  0.637261       0.316269                 NaN  0.282727                 NaN  0.524928                 NaN            NaN            NaN
  1424.91        2500.00        98.2579                 NaN  0.306472       0.632980                 NaN  0.283338                 NaN  0.519272                 NaN            NaN            NaN
  1423.69        2500.00        98.2850                 NaN  0.625270       0.296038                 NaN  0.282413                 NaN  0.511292                 NaN            NaN            NaN
  1422.47        2500.00        98.3041                 NaN  0.621535       0.285753                 NaN  0.282867                 NaN  0.505713                 NaN            NaN            NaN
  1421.25        2500.00        98.3230                 NaN  0.617605       0.276032                 NaN  0.282949                 NaN  0.500387                 NaN            NaN            NaN
  1420.02        2500.00        98.3447                 NaN  0.612332       0.266623                 NaN  0.282602                 NaN  0.493699                 NaN            NaN            NaN
  1418.80        2500.00        98.3644                 NaN  0.607676       0.257179                 NaN  0.282742                 NaN  0.488035                 NaN            NaN            NaN
  1417.58        2500.00        98.3856                 NaN  0.601700       0.248081                 NaN  0.282599                 NaN  0.482033                 NaN            NaN            NaN
  1416.36        2500.00        98.4033                 NaN  0.598495       0.239271                 NaN  0.282553                 NaN  0.476426                 NaN            NaN            NaN
  1415.14        2500.00        98.4198                 NaN  0.229437       0.596002                 NaN  0.282947                 NaN  0.471811                 NaN            NaN            NaN
  1413.92        2500.00        98.0745                 NaN  0.725942       0.274967                 NaN  0.349880                 NaN  0.574701                 NaN            NaN            NaN
  1412.70        2500.00        98.8266                 NaN  0.447047       0.161461                 NaN  0.215012                 NaN  0.349908                 NaN            NaN            NaN
  1411.48        2500.00        98.4736                 NaN  0.204533       0.583488                 NaN  0.282768                 NaN  0.455594                 NaN            NaN            NaN
  1410.26        2500.00        98.4888                 NaN  0.196098       0.581071                 NaN  0.283007                 NaN  0.450983                 NaN            NaN            NaN
  1409.04        2500.00        98.5063                 NaN  0.188235       0.576851                 NaN  0.282830                 NaN  0.445782                 NaN            NaN            NaN
  1407.81        2500.00        98.5217                 NaN  0.180308       0.573857                 NaN  0.282959                 NaN  0.441137                 NaN            NaN            NaN
  1406.59        2500.00        98.5375                 NaN  0.172628       0.569880                 NaN  0.283346                 NaN  0.436664                 NaN            NaN            NaN
  1405.37        2500.00        98.5541                 NaN  0.567347       0.164705                 NaN  0.282570                 NaN  0.431249                 NaN            NaN            NaN
  1404.15        2500.00        98.5684                 NaN  0.564202       0.157523                 NaN  0.282650                 NaN  0.427178                 NaN            NaN            NaN
  1402.93        2500.00        98.5837                 NaN  0.561036       0.150048                 NaN  0.282733                 NaN  0.422486                 NaN            NaN            NaN
  1401.71        2500.00        98.5972                 NaN  0.558606       0.142854                 NaN  0.282829                 NaN  0.418498                 NaN            NaN            NaN
  1400.49        2500.00        98.6051                 NaN  0.133344       0.560338                 NaN  0.284361                 NaN  0.416885                 NaN            NaN            NaN
  1399.27        2500.00        98.6287                 NaN  0.131008       0.549304                 NaN  0.281351                 NaN  0.409600                 NaN            NaN            NaN
  1398.05        2500.00        98.6437                 NaN  0.118492       0.552316                 NaN  0.281770                 NaN  0.403744                 NaN            NaN            NaN
  1396.83        2500.00        98.6512                 NaN  0.549195       0.114755                 NaN  0.282738                 NaN  0.402083                 NaN            NaN            NaN
  1395.60        2500.00        98.6662                 NaN  0.109158       0.545643                 NaN  0.281692                 NaN  0.397329                 NaN            NaN            NaN
  1394.38        2500.00        98.6780                 NaN  0.102052       0.543940                 NaN  0.282195                 NaN  0.393841                 NaN            NaN            NaN
  1393.16        2500.00        98.6882                 NaN  0.542983       0.960398E-001            NaN  0.282102                 NaN  0.390648                 NaN            NaN            NaN
  1391.94        2500.00        98.7030                 NaN  0.538632       0.916339E-001            NaN  0.280931                 NaN  0.385819                 NaN            NaN            NaN
  1390.72        2500.00        98.7160                 NaN  0.846375E-001  0.536404                 NaN  0.280953                 NaN  0.382054                 NaN            NaN            NaN
  1389.50        2500.00        98.7265                 NaN  0.783175E-001  0.535616                 NaN  0.280838                 NaN  0.378729                 NaN            NaN            NaN
  1388.28        2500.00        98.7378                 NaN  0.533712       0.729238E-001            NaN  0.280460                 NaN  0.375119                 NaN            NaN            NaN
  1387.06        2500.00        98.7479                 NaN  0.673707E-001  0.532321                 NaN  0.280444                 NaN  0.372013                 NaN            NaN            NaN
  1385.84        2500.00        98.7617                 NaN  0.618220E-001  0.529467                 NaN  0.279301                 NaN  0.367707                 NaN            NaN            NaN
  1384.62        2500.00        98.7716                 NaN  0.570514E-001  0.527423                 NaN  0.279249                 NaN  0.364719                 NaN            NaN            NaN
  1383.39        2500.00        98.7828                 NaN  0.526201       0.517288E-001            NaN  0.278361                 NaN  0.360951                 NaN            NaN            NaN
  1382.17        2500.00        98.7907                 NaN  0.462656E-001  0.525995                 NaN  0.278394                 NaN  0.358639                 NaN            NaN            NaN
  1380.95        2500.00        98.8051                 NaN  0.404628E-001  0.523683                 NaN  0.277029                 NaN  0.353768                 NaN            NaN            NaN
  1379.73        2500.00        98.8138                 NaN  0.356746E-001  0.522855                 NaN  0.276589                 NaN  0.351073                 NaN            NaN            NaN
  1378.51        2500.00        98.8241                 NaN  0.308491E-001  0.521079                 NaN  0.276105                 NaN  0.347865                 NaN            NaN            NaN
  1377.29        2500.00        98.8339                 NaN  0.276250E-001  0.519020                 NaN  0.274963                 NaN  0.344523                 NaN            NaN            NaN
  1376.07        2500.00        98.8426                 NaN  0.518291       0.230204E-001            NaN  0.274422                 NaN  0.341673                 NaN            NaN            NaN
  1374.85        2500.00        98.8522                 NaN  0.181195E-001  0.517459                 NaN  0.273724                 NaN  0.338543                 NaN            NaN            NaN
  1373.63        2500.00        98.8616                 NaN  0.515998       0.147735E-001            NaN  0.272275                 NaN  0.335377                 NaN            NaN            NaN
  1372.41        2500.00        98.8709                 NaN  0.514362       0.108314E-001            NaN  0.271505                 NaN  0.332364                 NaN            NaN            NaN
  1371.18        2500.00        98.8802                 NaN  0.513481       0.635327E-002            NaN  0.270588                 NaN  0.329333                 NaN            NaN            NaN
  1369.96        2500.00        98.8895                 NaN  0.512304       0.199896E-002            NaN  0.269785                 NaN  0.326440                 NaN            NaN            NaN
  1368.74        2500.00        98.8929                 NaN  0.511926                 NaN            NaN  0.269557                 NaN  0.325633                 NaN            NaN            NaN
  1367.52        2500.00        98.9040                 NaN  0.477087       0.582904E-001            NaN  0.243496                 NaN  0.317144                 NaN            NaN            NaN
  1366.30        2500.00        98.9133                 NaN  0.505956                 NaN            NaN  0.263001                 NaN  0.317708                 NaN            NaN            NaN
  1365.08        2500.00        98.4829                 NaN  0.688580                 NaN            NaN  0.382609                 NaN  0.445912                 NaN            NaN            NaN
  1363.86        2500.00        99.3665                 NaN  0.297133                 NaN            NaN  0.154533                 NaN  0.181862                 NaN            NaN            NaN
  1362.64        2500.00        98.9363                 NaN  0.498995                 NaN            NaN  0.255646                 NaN  0.309074                 NaN            NaN            NaN
  1361.42        2500.00        98.9337                 NaN  0.487229                 NaN            NaN  0.267860                 NaN  0.311170                 NaN            NaN            NaN
  1360.20        2500.00        98.9610                 NaN  0.490975                 NaN            NaN  0.247879                 NaN  0.300103                 NaN            NaN            NaN
  1358.97        2500.00        98.9570                 NaN  0.774167E-002  0.488336                 NaN  0.245985                 NaN  0.300890                 NaN            NaN            NaN
  1357.75        2500.00        98.9684                 NaN  0.487852                 NaN            NaN  0.246130                 NaN  0.297592                 NaN            NaN            NaN
  1356.53        2500.00        98.9669                 NaN  0.587036E-001  0.455499                 NaN  0.224332                 NaN  0.294531                 NaN            NaN            NaN
  1355.31        2500.00        98.9815                 NaN  0.479299                 NaN            NaN  0.245657                 NaN  0.293521                 NaN            NaN            NaN
  1354.09        2500.00        98.9900                 NaN  0.478792                 NaN            NaN  0.241347                 NaN  0.289844                 NaN            NaN            NaN
  1352.87        2500.00        98.9937                 NaN  0.478947                 NaN            NaN  0.239000                 NaN  0.288387                 NaN            NaN            NaN
  1351.65        2500.00        99.0004                 NaN  0.480726                 NaN            NaN  0.233355                 NaN  0.285503                 NaN            NaN            NaN
  1350.43        2500.00        99.0089                 NaN  0.476333                 NaN            NaN  0.232289                 NaN  0.282458                 NaN            NaN            NaN
  1349.21        2500.00        99.0303                 NaN  0.481736                 NaN            NaN  0.214126                 NaN  0.273836                 NaN            NaN            NaN
  1347.99        2500.00        99.0047                 NaN  0.467410                 NaN            NaN  0.243177                 NaN  0.284746                 NaN            NaN            NaN
  1346.76        2500.00        99.0268                 NaN  0.471016                 NaN            NaN  0.226416                 NaN  0.275724                 NaN            NaN            NaN
  1345.54        2500.00        99.0332                 NaN  0.468441                 NaN            NaN  0.224667                 NaN  0.273643                 NaN            NaN            NaN
  1344.32        2500.00        99.0376                 NaN  0.468748                 NaN            NaN  0.222080                 NaN  0.271562                 NaN            NaN            NaN
  1343.10        2500.00        99.0420                 NaN  0.473759                 NaN            NaN  0.214649                 NaN  0.269548                 NaN            NaN            NaN
  1341.88        2500.00        99.0542                 NaN  0.460974                 NaN            NaN  0.218656                 NaN  0.266130                 NaN            NaN            NaN
  1340.66        2500.00        98.9372                 NaN  0.510574                 NaN            NaN  0.210277                 NaN  0.288859       0.531098E-001            NaN            NaN
  1339.44        2500.00        98.9016                 NaN  0.522898                 NaN            NaN  0.207697                 NaN  0.295069       0.727382E-001            NaN            NaN
  1338.22        2500.00        98.9047                 NaN  0.502348                 NaN            NaN  0.220992                 NaN  0.298521       0.734687E-001            NaN            NaN
  1337.00        2500.00        98.9367                 NaN  0.505131                 NaN            NaN  0.204741                 NaN  0.283717       0.697520E-001            NaN            NaN
  1335.78        2500.00        98.9347                 NaN  0.504484                 NaN            NaN  0.204945                 NaN  0.286331       0.695115E-001            NaN            NaN
  1334.55        2500.00        98.9460                 NaN  0.496637                 NaN            NaN  0.205266                 NaN  0.283611       0.685262E-001            NaN            NaN
  1333.33        2500.00        98.9568                 NaN  0.492540                 NaN            NaN  0.202706                 NaN  0.280518       0.674479E-001            NaN            NaN
  1332.11        2500.00        98.9664                 NaN  0.487570                 NaN            NaN  0.201781                 NaN  0.277820       0.664234E-001            NaN            NaN
  1330.89        2500.00        98.9783                 NaN  0.479564                 NaN            NaN  0.201532                 NaN  0.275035       0.655504E-001            NaN            NaN
  1329.67        2500.00        98.9875                 NaN  0.477052                 NaN            NaN  0.199087                 NaN  0.272018       0.643569E-001            NaN            NaN
  1328.45        2500.00        98.9965                 NaN  0.473886                 NaN            NaN  0.196789                 NaN  0.269446       0.633771E-001            NaN            NaN
  1327.23        2500.00        99.0061                 NaN  0.469640                 NaN            NaN  0.194996                 NaN  0.266833       0.623981E-001            NaN            NaN
  1326.01        2500.00        99.0154                 NaN  0.465568                 NaN            NaN  0.193316                 NaN  0.264287       0.614322E-001            NaN            NaN
  1324.79        2500.00        99.0258                 NaN  0.462196                 NaN            NaN  0.190369                 NaN  0.261268       0.603526E-001            NaN            NaN
  1323.57        2500.00        99.0353                 NaN  0.456979                 NaN            NaN  0.189271                 NaN  0.258919       0.595259E-001            NaN            NaN
  1322.34        2500.00        99.0425                 NaN  0.453612                 NaN            NaN  0.188674                 NaN  0.256548       0.586507E-001            NaN            NaN
  1321.12        2500.00        99.0503                 NaN  0.449869                 NaN            NaN  0.187300                 NaN  0.254613       0.579089E-001            NaN            NaN
  1319.90        2500.00        99.0646                 NaN  0.445151                 NaN            NaN  0.183376                 NaN  0.250380       0.564973E-001            NaN            NaN
  1318.68        2500.00        99.0717                 NaN  0.439370                 NaN            NaN  0.184203                 NaN  0.248777       0.559726E-001            NaN            NaN
  1317.46        2500.00        99.0792                 NaN  0.438026                 NaN            NaN  0.181362                 NaN  0.246380       0.550065E-001            NaN            NaN
  1316.24        2500.00        99.0877                 NaN  0.435300                 NaN            NaN  0.178668                 NaN  0.244196       0.541461E-001            NaN            NaN
  1315.02        2500.00        99.0960                 NaN  0.431888                 NaN            NaN  0.177387                 NaN  0.241504       0.532654E-001            NaN            NaN
  1313.80        2500.00        99.1045                 NaN  0.428507                 NaN            NaN  0.175262                 NaN  0.239294       0.524573E-001            NaN            NaN
  1312.58        2500.00        99.1135                 NaN  0.424333                 NaN            NaN  0.173751                 NaN  0.236841       0.516146E-001            NaN            NaN
  1311.36        2500.00        99.1213                 NaN  0.421568                 NaN            NaN  0.171706                 NaN  0.234623       0.507927E-001            NaN            NaN
  1310.13        2500.00        99.1291                 NaN  0.418472                 NaN            NaN  0.170031                 NaN  0.232453       0.499885E-001            NaN            NaN
  1308.91        2500.00        99.1368                 NaN  0.416293                 NaN            NaN  0.167568                 NaN  0.230194       0.491604E-001            NaN            NaN
  1307.69        2500.00        99.1449                 NaN  0.413197                 NaN            NaN  0.165593                 NaN  0.227965       0.483809E-001            NaN            NaN
  1306.47        2500.00        99.1550                 NaN  0.407254                 NaN            NaN  0.164599                 NaN  0.225487       0.477019E-001            NaN            NaN
  1305.25        2500.00        99.1598                 NaN  0.407899                 NaN            NaN  0.161614                 NaN  0.223791       0.469046E-001            NaN            NaN
  1304.03        2500.00        99.1694                 NaN  0.405670                 NaN            NaN  0.158178                 NaN  0.220885       0.458842E-001            NaN            NaN
  1302.81        2500.00        99.1752                 NaN  0.402619                 NaN            NaN  0.157567                 NaN  0.219379       0.452416E-001            NaN            NaN
  1301.59        2500.00        99.1824                 NaN  0.400104                 NaN            NaN  0.155563                 NaN  0.217357       0.445329E-001            NaN            NaN
  1300.37        2500.00        99.1908                 NaN  0.397521                 NaN            NaN  0.152846                 NaN  0.215091       0.437581E-001            NaN            NaN
  1299.15        2500.00        96.3063                 NaN  0.960206                 NaN            NaN  0.399774                 NaN  0.587284       0.149568        1.59683                 NaN
  1297.92        2500.00        73.3425                 NaN   5.42703                 NaN            NaN   2.47774                 NaN   3.56011       0.978505        14.2141                 NaN
  1296.70        2500.00        75.5029                 NaN   5.04254                 NaN            NaN   2.33130                 NaN   3.28248       0.880698        12.9601                 NaN
  1295.48        2500.00        77.5057                 NaN   4.66065                 NaN            NaN   2.20521                 NaN   3.02314       0.793149        11.8122                 NaN
  1294.26        2500.00        79.1544                 NaN   4.37481                 NaN            NaN   2.07343                 NaN   2.80965       0.720969        10.8668                 NaN
  1293.04        2500.00        80.8359                 NaN   4.06788                 NaN            NaN   1.93023                 NaN   2.58968       0.651254        9.92505                 NaN
  1291.82        2500.00        82.3210                 NaN   3.80209                 NaN            NaN   1.79416                 NaN   2.39455       0.590699        9.09749                 NaN
  1290.60        2500.00        83.7303                 NaN   3.53266                 NaN            NaN   1.66481                 NaN   2.20833       0.535997        8.32787                 NaN
  1289.38        2500.00        84.9549                 NaN   3.31800                 NaN            NaN   1.53759                 NaN   2.04520       0.488116        7.65617                 NaN
  1288.16        2500.00        85.7376                 NaN   3.15801                 NaN            NaN   1.48931                 NaN   1.94471       0.456929        7.21347                 NaN
  1286.94        2500.00        87.2962                 NaN   2.86981                 NaN            NaN   1.29625                 NaN   1.73106       0.402364        6.40436                 NaN
  1285.71        2500.00        85.8029                 NaN   3.30505                 NaN            NaN   1.14437                 NaN   1.93295       0.506027        7.30868                 NaN
  1284.49        2500.00        89.5523                 NaN   2.53740                 NaN            NaN   1.12498                 NaN   1.40911       0.292607        5.08363                 NaN
  1283.27        2500.00        91.4622                 NaN   1.71186                 NaN            NaN   1.22713                 NaN   1.19935       0.224601        4.17483                 NaN
  1282.05        2500.00        90.5524                 NaN   2.21985                 NaN            NaN  0.943644                 NaN   1.29282       0.289501        4.70174                 NaN
  1280.83        2500.00        91.1450                 NaN   2.11172                 NaN            NaN  0.841695                 NaN   1.21110       0.272832        4.41760                 NaN
  1279.61        2500.00        91.8023                 NaN   1.96673                 NaN            NaN  0.802267                 NaN   1.12420       0.247626        4.05684                 NaN
  1278.39        2500.00        92.1469                 NaN   1.89094                 NaN            NaN  0.766332                 NaN   1.07670       0.236444        3.88272                 NaN
  1277.17        2500.00        91.1684                 NaN   2.05087                 NaN            NaN  0.860986                 NaN   1.21862       0.267886        4.43328                 NaN
  1275.95        2500.00        94.6058                 NaN   1.40809                 NaN            NaN  0.492786                 NaN  0.730464       0.161739        2.60111                 NaN
  1274.73        2500.00        93.3538                 NaN   1.64584                 NaN            NaN  0.622403                 NaN  0.911387       0.196558        3.27000                 NaN
  1273.50        2500.00        86.4807                 NaN   3.07296                 NaN            NaN            NaN            NaN   2.04887       0.466961        7.93049                 NaN
  1272.28        2500.00        98.1073                 NaN  0.451476                 NaN            NaN   1.44121                 NaN            NaN            NaN            NaN            NaN
  1271.06        2500.00        80.4339                 NaN   4.49912                 NaN            NaN   1.89493                 NaN   2.70016       0.657864        9.81403                 NaN
  1269.84        2500.00        97.6743                 NaN            NaN            NaN            NaN            NaN            NaN  0.526897       0.961487E-001   1.70263                 NaN
  1268.62        2500.00        98.9184                 NaN  0.604897                 NaN            NaN            NaN            NaN            NaN            NaN  0.476693                 NaN
  1267.40        2500.00        22.2295        75.5464       0.927158       0.151795E-005            NaN            NaN            NaN  0.317984       0.582883E-001  0.920753                 NaN
  1266.18        2500.00        98.9269                 NaN            NaN            NaN            NaN            NaN            NaN  0.203802       0.206631E-001  0.848672                 NaN
  1264.96        2500.00        97.3691                 NaN   1.07232                 NaN            NaN  0.607698                 NaN  0.177834       0.299176E-001  0.743182                 NaN
  1263.74        2500.00        95.4339                 NaN   1.30421                 NaN            NaN  0.645931                 NaN  0.609826       0.117970        1.88812                 NaN
  1262.52        2500.00        95.4821                 NaN   1.34193                 NaN            NaN  0.163667                 NaN  0.597409       0.113958        2.30095                 NaN
  1261.29        2500.00        95.1093                 NaN            NaN            NaN            NaN   1.25027                 NaN  0.566669       0.196908        2.87686                 NaN
  1260.07        2500.00        95.7237                 NaN   1.25451                 NaN            NaN  0.348357                 NaN  0.689755       0.647290E-001   1.91892                 NaN
  1258.85        2500.00        94.8264                 NaN   2.31058                 NaN            NaN            NaN            NaN  0.797780       0.114087        1.95116                 NaN
  1257.63        2500.00        95.3304                 NaN   1.59239                 NaN            NaN            NaN            NaN  0.595228       0.102787        2.37922                 NaN
  1256.41        2500.00        96.4360                 NaN   1.47544                 NaN            NaN  0.435375E-004            NaN  0.524810       0.150364        1.41338                 NaN
  1255.19        2500.00        96.7166                 NaN  0.110104                 NaN            NaN  0.524569                 NaN  0.561095       0.110287        1.97739                 NaN
  1253.97        2500.00        98.5674                 NaN  0.442275       0.158286E-005            NaN  0.754772E-001            NaN  0.162129       0.410450E-001  0.711646                 NaN
  1252.75        2500.00        96.7005                 NaN  0.121019E-003  0.880207                 NaN  0.157796                 NaN  0.398585       0.792267E-001   1.78356                 NaN
  1251.53        2500.00        97.1924                 NaN   1.11329                 NaN            NaN            NaN            NaN  0.350802       0.603536E-001   1.28317                 NaN
  1250.31        2500.00        89.3904                 NaN  0.107774        3.80827                 NaN            NaN            NaN   1.28907       0.253085        5.15138                 NaN
  1249.08        2500.00        98.8802                 NaN            NaN            NaN            NaN  0.446740                 NaN            NaN  0.137267       0.535757                 NaN
  1247.86        2500.00        96.5385                 NaN   1.17842                 NaN            NaN  0.178800E-004            NaN  0.598652                 NaN   1.68438                 NaN
  1246.64        2500.00        99.4524                 NaN  0.241408                 NaN            NaN            NaN            NaN  0.670667E-001            NaN  0.239168                 NaN
  1245.42        2500.00        99.1009                 NaN  0.515113                 NaN            NaN  0.539559E-005            NaN  0.148458                 NaN  0.235548                 NaN
  1244.20        2500.00        96.6357                 NaN   1.14975                 NaN            NaN            NaN            NaN  0.329139       0.285552E-001   1.85686                 NaN
  1242.98        2500.00        69.3369                 NaN            NaN            NaN            NaN   3.27168                 NaN   2.92000       0.735129        16.9233        6.81290     
  1241.76        2500.00        93.7092                 NaN   5.02110                 NaN            NaN            NaN            NaN   1.26973                 NaN            NaN            NaN
  1240.54        2500.00        97.3278                 NaN            NaN            NaN            NaN  0.616774E-001            NaN  0.188794                 NaN   2.27443       0.147287     
  1239.32        2500.00        95.4455                 NaN  0.472645        2.32846       0.400241                 NaN            NaN   1.15778                 NaN  0.195422                 NaN
  1238.10        2500.00        59.9055                 NaN            NaN            NaN            NaN   2.44179                 NaN   2.45738       0.740513        20.2034        14.2515     
  1236.87        2500.00        92.9599                 NaN  0.500931E-001   5.40507                 NaN            NaN            NaN   1.58493                 NaN            NaN            NaN
  1235.65        2500.00        98.9145                 NaN  0.522539                 NaN            NaN            NaN            NaN  0.969207E-001  0.916635E-001  0.374349                 NaN
  1234.43        2500.00        70.0023                 NaN            NaN            NaN            NaN   1.57368                 NaN   1.90572       0.417122        15.7525        10.3487     
  1233.21        2500.00        92.9919                 NaN   1.96330        3.07625                 NaN            NaN            NaN   1.54949                 NaN            NaN  0.419098     
  1231.99        2500.00        81.5701                 NaN   4.07246                 NaN            NaN            NaN            NaN   1.32410       0.373444        8.74230        3.91755     
  1230.77        2500.00        99.5908                 NaN  0.234200                 NaN            NaN            NaN            NaN  0.112288       0.664733E-002  0.560937E-001            NaN
  1229.55        2500.00        65.0862                 NaN   5.28349                 NaN            NaN            NaN            NaN   3.05441       0.342440        15.5786        10.6549     
