|6.6.6
Archiving\03_Data\frac/QFM_m5/YM20/YM20_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          17
T(K)           P(bar)         melt(TH)       pxmn           mang           iron           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc            
  1937.34        2500.00        95.2890       0.692774                 NaN   3.97839       0.398292E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        2500.00        95.2706       0.692810                 NaN   3.99674       0.398313E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        2500.00        95.2523       0.692846                 NaN   4.01505       0.398334E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        2500.00        95.2340       0.692882                 NaN   4.03330       0.398354E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        2500.00        95.2157       0.692918                 NaN   4.05151       0.398375E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        2500.00        95.1975       0.692953                 NaN   4.06968       0.398395E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        2500.00        95.1794       0.692989                 NaN   4.08779       0.398416E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        2500.00        95.1613       0.693024                 NaN   4.10585       0.398436E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        2500.00        95.1432       0.693060                 NaN   4.12386       0.398457E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        2500.00        95.1252       0.693095                 NaN   4.14184       0.398477E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        2500.00        95.1073       0.693130                 NaN   4.15974       0.398497E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        2500.00        95.1108       0.693123                 NaN   4.15622       0.398493E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        2500.00        95.0715       0.693200                 NaN   4.19545       0.398537E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        2500.00        95.0537       0.693235                 NaN   4.21324       0.398558E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        2500.00        95.0359       0.693270                 NaN   4.23098       0.398578E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        2500.00        95.0182       0.693305                 NaN   4.24866       0.398598E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        2500.00        95.0005       0.693340                 NaN   4.26631       0.398617E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        2500.00        94.9829       0.693374                 NaN   4.28388       0.398637E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        2500.00        94.6595       0.693387                 NaN   4.29048       0.396139E-001  0.317018                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        2500.00        99.5946                 NaN            NaN  0.424836E-002            NaN  0.401201                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        2500.00        99.4636                 NaN            NaN  0.213197E-002            NaN  0.534288                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        2500.00        99.4684                 NaN            NaN            NaN            NaN  0.531648                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        2500.00        99.4703                 NaN            NaN            NaN            NaN  0.529702                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        2500.00        99.4744                 NaN            NaN            NaN            NaN  0.525568                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        2500.00        99.4762                 NaN            NaN  0.697325E-003            NaN  0.523121                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        2500.00        99.4782                 NaN            NaN  0.397647E-002            NaN  0.517844                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        2500.00        99.4818                 NaN            NaN            NaN            NaN  0.518152                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        2500.00        99.3655                 NaN            NaN            NaN            NaN  0.634460                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        2500.00        99.6059                 NaN            NaN            NaN            NaN  0.394072                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        2500.00        99.4867                 NaN            NaN            NaN            NaN  0.513339                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        2500.00        99.4943                 NaN            NaN            NaN            NaN  0.505724                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        2500.00        99.4929                 NaN            NaN            NaN            NaN  0.507079                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        2500.00        99.4950                 NaN            NaN            NaN            NaN  0.504414       0.548856E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        2500.00        99.4970                 NaN            NaN            NaN            NaN  0.503008                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        2500.00        99.4964                 NaN            NaN            NaN            NaN  0.499592       0.396170E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        2500.00        99.4865                 NaN            NaN            NaN            NaN  0.497597       0.159342E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        2500.00        99.4896                 NaN            NaN            NaN            NaN  0.494551       0.158556E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        2500.00        99.9562                 NaN            NaN            NaN            NaN  0.413489E-001  0.244616E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        2500.00        99.0288                 NaN            NaN            NaN            NaN  0.942118       0.290966E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        2500.00        99.4935                 NaN            NaN            NaN            NaN  0.490735       0.157268E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        2500.00        99.4952                 NaN            NaN            NaN            NaN  0.489130       0.156731E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        2500.00        99.4962                 NaN            NaN            NaN            NaN  0.488132       0.156394E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        2500.00        99.1375                 NaN            NaN            NaN            NaN  0.835641       0.268450E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        2500.00        99.8598                 NaN            NaN            NaN            NaN  0.135944       0.428516E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        2500.00        99.4998                 NaN            NaN            NaN            NaN  0.484671       0.154966E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        2500.00        99.5006                 NaN            NaN            NaN            NaN  0.483982       0.154409E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        2500.00        99.5017                 NaN            NaN            NaN            NaN  0.482945       0.153989E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        2500.00        99.5021                 NaN            NaN            NaN            NaN  0.482568       0.153630E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        2500.00        99.5028                 NaN            NaN            NaN            NaN  0.481825       0.153264E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        2500.00        99.5037                 NaN            NaN            NaN            NaN  0.480998       0.152785E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        2500.00        99.5036                 NaN            NaN            NaN            NaN  0.481131       0.152460E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        2500.00        99.5046                 NaN            NaN            NaN            NaN  0.480188       0.151889E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        2500.00        99.5732                 NaN            NaN            NaN            NaN  0.413730       0.130636E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        2500.00        99.4362                 NaN            NaN            NaN            NaN  0.546621       0.171999E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        2500.00        99.5066                 NaN            NaN            NaN            NaN  0.478417       0.150232E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        2500.00        99.5056                 NaN            NaN            NaN            NaN  0.479430       0.150169E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        2500.00        99.6654                 NaN            NaN            NaN            NaN  0.324438       0.101546E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        2500.00        99.3455                 NaN            NaN            NaN            NaN  0.634725       0.197465E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        2500.00        99.5053                 NaN            NaN            NaN            NaN  0.479810       0.149058E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        2500.00        99.5051                 NaN            NaN            NaN            NaN  0.480012       0.148607E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        2500.00        99.5050                 NaN            NaN            NaN            NaN  0.480132       0.148244E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        2500.00        99.4999                 NaN            NaN            NaN            NaN  0.485124       0.149741E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        2500.00        99.5083                 NaN            NaN            NaN            NaN  0.477091       0.145836E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        2500.00        99.5027                 NaN            NaN            NaN            NaN  0.482598       0.147156E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        2500.00        99.5969                 NaN            NaN            NaN            NaN  0.391191       0.119029E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        2500.00        99.4078                 NaN            NaN            NaN            NaN  0.574787       0.174012E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        2500.00        99.4995                 NaN            NaN            NaN            NaN  0.485823       0.146627E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        2500.00        99.5019                 NaN            NaN            NaN            NaN  0.483594       0.145265E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        2500.00        99.5006                 NaN            NaN            NaN            NaN  0.484908       0.145097E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        2500.00        99.4988                 NaN            NaN            NaN            NaN  0.486734       0.145096E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        2500.00        99.4947                 NaN            NaN            NaN            NaN  0.490731       0.145437E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        2500.00        99.4990                 NaN            NaN            NaN            NaN  0.486572       0.143857E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        2500.00        99.4973                 NaN            NaN            NaN            NaN  0.488300       0.143520E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        2500.00        99.4945                 NaN            NaN            NaN            NaN  0.491084       0.143734E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        2500.00        99.4922                 NaN            NaN            NaN            NaN  0.493376       0.143864E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        2500.00        99.4936                 NaN            NaN            NaN            NaN  0.492096       0.142563E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        2500.00        99.4905                 NaN            NaN            NaN            NaN  0.495180       0.142812E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        2500.00        99.4896                 NaN            NaN            NaN            NaN  0.496184       0.142211E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        2500.00        99.4868                 NaN            NaN            NaN            NaN  0.498901       0.142948E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        2500.00        99.4882                 NaN            NaN            NaN            NaN  0.497645       0.141395E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        2500.00        99.5648                 NaN            NaN            NaN            NaN  0.423245       0.119289E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        2500.00        99.4037                 NaN            NaN            NaN            NaN  0.579956       0.163141E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        2500.00        99.4815                 NaN            NaN            NaN            NaN  0.504416       0.141141E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        2500.00        99.4808                 NaN            NaN            NaN            NaN  0.505139       0.140439E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        2500.00        99.4787                 NaN            NaN            NaN            NaN  0.507230       0.140240E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        99.4755                 NaN            NaN            NaN            NaN  0.510508       0.140369E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        99.4759                 NaN            NaN            NaN            NaN  0.510162       0.139474E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        99.4725                 NaN            NaN            NaN            NaN  0.513525       0.139837E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        99.5025                 NaN            NaN            NaN            NaN  0.484326       0.131986E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        99.4397                 NaN            NaN            NaN            NaN  0.545617       0.146730E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        99.4678                 NaN            NaN            NaN            NaN  0.518292       0.138702E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        99.4657                 NaN            NaN            NaN            NaN  0.520485       0.138603E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        99.4637                 NaN            NaN            NaN            NaN  0.522412       0.138470E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        99.4614                 NaN            NaN            NaN            NaN  0.524806       0.138002E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        99.4598                 NaN            NaN            NaN            NaN  0.526390       0.137660E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        99.4591                 NaN            NaN            NaN            NaN  0.527201       0.137489E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        99.4575                 NaN            NaN            NaN            NaN  0.528753       0.137239E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        2500.00        99.4536                 NaN            NaN            NaN            NaN  0.532661       0.137405E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        2500.00        99.4543                 NaN            NaN            NaN            NaN  0.532026       0.136453E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        99.4511                 NaN            NaN            NaN            NaN  0.535198       0.136716E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        99.4492                 NaN            NaN            NaN            NaN  0.537204       0.136399E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        99.4484                 NaN            NaN            NaN            NaN  0.537987       0.135982E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        2500.00        98.4051                 NaN            NaN            NaN            NaN   1.55800       0.369509E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        99.9978                 NaN            NaN            NaN            NaN            NaN  0.221297E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        99.9470                 NaN            NaN            NaN            NaN  0.521900E-001  0.781183E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        99.8144                 NaN            NaN            NaN            NaN  0.181106       0.451282E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        99.0644                 NaN            NaN            NaN            NaN  0.913078       0.225677E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        99.4372                 NaN            NaN            NaN            NaN  0.549311       0.134890E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        99.4343                 NaN            NaN            NaN            NaN  0.552215       0.134929E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        99.4369                 NaN            NaN            NaN            NaN  0.549721       0.133739E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        99.4350                 NaN            NaN            NaN            NaN  0.551594       0.133782E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        99.3749                 NaN            NaN            NaN            NaN  0.538863       0.121194E-001  0.741349E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        98.0321                 NaN            NaN            NaN            NaN  0.183256                 NaN   1.78467                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        98.0684                 NaN            NaN            NaN            NaN  0.181619                 NaN   1.74998                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        98.1096                 NaN            NaN            NaN            NaN  0.176254                 NaN   1.71414                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        98.1552                 NaN            NaN            NaN            NaN  0.171888                 NaN   1.67294                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        98.1837                 NaN            NaN            NaN            NaN  0.167571                 NaN   1.64878                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        98.2169                 NaN            NaN            NaN            NaN  0.163018                 NaN   1.62012                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        98.2521                 NaN            NaN            NaN            NaN  0.159851                 NaN   1.58804                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        98.2849                 NaN            NaN            NaN            NaN  0.155815                 NaN   1.55926                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        98.3175                 NaN            NaN            NaN            NaN  0.152929                 NaN   1.52956                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        98.3480                 NaN            NaN            NaN            NaN  0.148520                 NaN   1.50351                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        98.3792                 NaN            NaN            NaN            NaN  0.147185                 NaN   1.47358                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        2500.00        98.4037                 NaN            NaN            NaN            NaN  0.141125                 NaN   1.45517                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00        98.4300                 NaN            NaN            NaN            NaN  0.136027                 NaN   1.43401                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        2500.00        98.4623                 NaN            NaN            NaN            NaN  0.149234                 NaN   1.38844                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        2500.00        98.4894                 NaN            NaN            NaN            NaN  0.122349                 NaN   1.38829                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        2500.00        98.5010                 NaN            NaN            NaN            NaN  0.122830                 NaN   1.37616                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        2500.00        98.5521                 NaN            NaN            NaN            NaN  0.123784                 NaN   1.32408                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        98.5514                 NaN            NaN            NaN            NaN  0.118486                 NaN   1.33014                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        2500.00        98.5953                 NaN            NaN            NaN            NaN  0.118160                 NaN   1.28657                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        2500.00        98.6078                 NaN            NaN            NaN            NaN  0.114843                 NaN   1.27735                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        2500.00        98.6283                 NaN            NaN            NaN            NaN  0.112282                 NaN   1.25943                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        2500.00        98.6569                 NaN            NaN            NaN            NaN  0.109400                 NaN   1.23366                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        98.6749                 NaN            NaN            NaN            NaN  0.106878                 NaN   1.21826                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        2500.00        98.6930                 NaN            NaN            NaN            NaN  0.103851                 NaN   1.20312                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        2500.00        98.7178                 NaN            NaN            NaN            NaN  0.101315                 NaN   1.18089                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        2500.00        98.7336                 NaN            NaN            NaN            NaN  0.966439E-001            NaN   1.16980                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        2500.00        98.7554                 NaN            NaN            NaN            NaN  0.958281E-001            NaN   1.14879                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        98.7722                 NaN            NaN            NaN            NaN  0.926973E-001            NaN   1.13515                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        2500.00        98.7882                 NaN            NaN            NaN            NaN  0.903833E-001            NaN   1.12144                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        2500.00        98.8096                 NaN            NaN            NaN            NaN  0.864136E-001            NaN   1.10402                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        98.8262                 NaN            NaN            NaN            NaN  0.859704E-001            NaN   1.08780                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        98.8425                 NaN            NaN            NaN            NaN  0.818527E-001            NaN   1.07568                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        98.8542                 NaN            NaN            NaN            NaN  0.771995E-001            NaN   1.06864                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        2500.00        99.1596                 NaN            NaN            NaN            NaN  0.970380E-001            NaN  0.743342                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        2500.00        98.5980                 NaN            NaN            NaN            NaN  0.514764E-001            NaN   1.35050                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        2500.00        98.8997                 NaN            NaN            NaN            NaN  0.688315E-001            NaN   1.03142                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        2500.00        98.9169                 NaN            NaN            NaN            NaN  0.677167E-001            NaN   1.01539                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
