|6.6.6
Archiving\03_Data\frac/QFM_m5/YM20/YM20_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          17
T(K)           P(bar)         melt(TH)       pxmn           mang           iron           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc            
  1964.91        2500.00        97.9042       0.568043                 NaN   1.51342       0.143289E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1962.41        2500.00        97.8965       0.568132                 NaN   1.52107       0.143301E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1959.90        2500.00        97.8887       0.568221                 NaN   1.52871       0.143313E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1957.39        2500.00        97.8810       0.568309                 NaN   1.53634       0.143326E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1954.89        2500.00        97.8733       0.568398                 NaN   1.54395       0.143338E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1952.38        2500.00        97.8656       0.568486                 NaN   1.55154       0.143350E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1949.87        2500.00        97.8580       0.568575                 NaN   1.55910       0.143362E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1947.37        2500.00        97.8504       0.568663                 NaN   1.56665       0.143374E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        2500.00        97.8427       0.568751                 NaN   1.57418       0.143386E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        2500.00        97.8351       0.568839                 NaN   1.58170       0.143398E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        2500.00        97.8273       0.568928                 NaN   1.58943       0.143411E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        2500.00        97.8200       0.569014                 NaN   1.59667       0.143422E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        2500.00        97.8124       0.569102                 NaN   1.60413       0.143434E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        2500.00        97.8049       0.569189                 NaN   1.61157       0.143446E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        2500.00        97.7974       0.569277                 NaN   1.61899       0.143458E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        2500.00        97.7899       0.569364                 NaN   1.62639       0.143470E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        2500.00        97.7824       0.569451                 NaN   1.63378       0.143482E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        2500.00        97.7750       0.569538                 NaN   1.64115       0.143494E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        2500.00        97.7675       0.569625                 NaN   1.64849       0.143506E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        2500.00        97.7601       0.569712                 NaN   1.65582       0.143518E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        2500.00        97.7527       0.569798                 NaN   1.66314       0.143530E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        2500.00        97.7453       0.569885                 NaN   1.67042       0.143542E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        2500.00        97.7467       0.569924                 NaN   1.66907       0.143541E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        2500.00        97.7306       0.570058                 NaN   1.68496       0.143565E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        2500.00        97.7233       0.570144                 NaN   1.69220       0.143577E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        2500.00        97.7160       0.570230                 NaN   1.69942       0.143589E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        2500.00        97.7087       0.570316                 NaN   1.70662       0.143600E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        2500.00        97.7014       0.570402                 NaN   1.71381       0.143612E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        2500.00        97.6942       0.570487                 NaN   1.72097       0.143624E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        2500.00        97.3925       0.570646                 NaN   1.72399       0.142751E-001  0.298616                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        2500.00        99.6308                 NaN            NaN  0.165959E-002            NaN  0.367497                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        2500.00        99.5099                 NaN            NaN  0.832801E-003            NaN  0.489258                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        2500.00        99.5132                 NaN            NaN            NaN            NaN  0.486769                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        2500.00        99.5153                 NaN            NaN            NaN            NaN  0.484736                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        2500.00        99.5193                 NaN            NaN            NaN            NaN  0.480744                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        2500.00        99.5214                 NaN            NaN  0.272238E-003            NaN  0.478308                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        2500.00        99.5251                 NaN            NaN  0.155220E-002            NaN  0.473311                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        2500.00        99.5266                 NaN            NaN            NaN            NaN  0.473402                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        2500.00        99.4204                 NaN            NaN            NaN            NaN  0.579572                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        2500.00        99.6402                 NaN            NaN            NaN            NaN  0.359765                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        2500.00        99.5314                 NaN            NaN            NaN            NaN  0.468568                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        2500.00        99.5386                 NaN            NaN            NaN            NaN  0.461352                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        2500.00        99.5376                 NaN            NaN            NaN            NaN  0.462375                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        2500.00        99.5398                 NaN            NaN            NaN            NaN  0.459801       0.368063E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        2500.00        99.5417                 NaN            NaN            NaN            NaN  0.458298                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        2500.00        99.5423                 NaN            NaN            NaN            NaN  0.455064       0.265527E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        2500.00        99.5364                 NaN            NaN            NaN            NaN  0.452973       0.106712E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        2500.00        99.5393                 NaN            NaN            NaN            NaN  0.450083       0.106183E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        2500.00        99.9607                 NaN            NaN            NaN            NaN  0.376307E-001  0.164016E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        2500.00        99.1235                 NaN            NaN            NaN            NaN  0.857045       0.194773E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        2500.00        99.5435                 NaN            NaN            NaN            NaN  0.445971       0.105162E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        2500.00        99.5452                 NaN            NaN            NaN            NaN  0.444335       0.104772E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        2500.00        99.5463                 NaN            NaN            NaN            NaN  0.443216       0.104504E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        2500.00        99.2236                 NaN            NaN            NaN            NaN  0.758429       0.179454E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        2500.00        99.8739                 NaN            NaN            NaN            NaN  0.123271       0.285992E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        2500.00        99.5502                 NaN            NaN            NaN            NaN  0.439485       0.103430E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        2500.00        99.5511                 NaN            NaN            NaN            NaN  0.438625       0.102985E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        2500.00        99.5522                 NaN            NaN            NaN            NaN  0.437492       0.102682E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        2500.00        99.5528                 NaN            NaN            NaN            NaN  0.436913       0.102390E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        2500.00        99.5537                 NaN            NaN            NaN            NaN  0.436056       0.102119E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        2500.00        99.5547                 NaN            NaN            NaN            NaN  0.435127       0.101760E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        2500.00        99.5549                 NaN            NaN            NaN            NaN  0.434994       0.101476E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        2500.00        99.5560                 NaN            NaN            NaN            NaN  0.433923       0.101066E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        2500.00        99.6176                 NaN            NaN            NaN            NaN  0.373708       0.868466E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        2500.00        99.4950                 NaN            NaN            NaN            NaN  0.493550       0.114351E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        2500.00        99.5583                 NaN            NaN            NaN            NaN  0.431700       0.998378E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        2500.00        99.5576                 NaN            NaN            NaN            NaN  0.432415       0.997372E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        2500.00        99.7009                 NaN            NaN            NaN            NaN  0.292411       0.673814E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        2500.00        99.4149                 NaN            NaN            NaN            NaN  0.571969       0.131058E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        2500.00        99.5580                 NaN            NaN            NaN            NaN  0.432075       0.988636E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        2500.00        99.5581                 NaN            NaN            NaN            NaN  0.432024       0.985159E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        2500.00        99.5582                 NaN            NaN            NaN            NaN  0.431928       0.982472E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        2500.00        99.5540                 NaN            NaN            NaN            NaN  0.436116       0.992143E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        2500.00        99.5616                 NaN            NaN            NaN            NaN  0.428742       0.965658E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        2500.00        99.5569                 NaN            NaN            NaN            NaN  0.433340       0.973715E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        2500.00        99.6412                 NaN            NaN            NaN            NaN  0.350963       0.787163E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        2500.00        99.4728                 NaN            NaN            NaN            NaN  0.515741       0.115051E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        2500.00        99.5549                 NaN            NaN            NaN            NaN  0.435461       0.968803E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        2500.00        99.5570                 NaN            NaN            NaN            NaN  0.433378       0.959417E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        2500.00        99.5561                 NaN            NaN            NaN            NaN  0.434335       0.957928E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        2500.00        99.5547                 NaN            NaN            NaN            NaN  0.435698       0.957478E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        2500.00        99.5514                 NaN            NaN            NaN            NaN  0.438990       0.958858E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        2500.00        99.5554                 NaN            NaN            NaN            NaN  0.435107       0.948808E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        2500.00        99.5542                 NaN            NaN            NaN            NaN  0.436373       0.945741E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        2500.00        99.5519                 NaN            NaN            NaN            NaN  0.438596       0.946784E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        2500.00        99.5501                 NaN            NaN            NaN            NaN  0.440434       0.947281E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        2500.00        99.5516                 NaN            NaN            NaN            NaN  0.438981       0.938120E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        2500.00        99.5491                 NaN            NaN            NaN            NaN  0.441475       0.939215E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        2500.00        99.5485                 NaN            NaN            NaN            NaN  0.442104       0.934774E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        2500.00        99.5462                 NaN            NaN            NaN            NaN  0.444385       0.940224E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        2500.00        99.5478                 NaN            NaN            NaN            NaN  0.442904       0.928654E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        2500.00        99.6157                 NaN            NaN            NaN            NaN  0.376438       0.782750E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        2500.00        99.4737                 NaN            NaN            NaN            NaN  0.515612       0.107065E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        2500.00        99.5426                 NaN            NaN            NaN            NaN  0.448106       0.925704E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        2500.00        99.5424                 NaN            NaN            NaN            NaN  0.448437       0.920444E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        2500.00        99.5408                 NaN            NaN            NaN            NaN  0.450060       0.918706E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        99.5382                 NaN            NaN            NaN            NaN  0.452613       0.919040E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        99.5388                 NaN            NaN            NaN            NaN  0.452043       0.912728E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        99.5361                 NaN            NaN            NaN            NaN  0.454754       0.914934E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        99.5627                 NaN            NaN            NaN            NaN  0.428685       0.864078E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        99.5078                 NaN            NaN            NaN            NaN  0.482564       0.958906E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        99.5329                 NaN            NaN            NaN            NaN  0.458057       0.905852E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        99.5313                 NaN            NaN            NaN            NaN  0.459700       0.904866E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        99.5298                 NaN            NaN            NaN            NaN  0.461130       0.903615E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        99.5282                 NaN            NaN            NaN            NaN  0.462829       0.899601E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        99.5272                 NaN            NaN            NaN            NaN  0.463798       0.897208E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        99.5267                 NaN            NaN            NaN            NaN  0.464362       0.895785E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        99.5256                 NaN            NaN            NaN            NaN  0.465502       0.893729E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        2500.00        99.5224                 NaN            NaN            NaN            NaN  0.468655       0.894402E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        2500.00        99.5235                 NaN            NaN            NaN            NaN  0.467671       0.887542E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        99.5210                 NaN            NaN            NaN            NaN  0.470147       0.888985E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        99.5196                 NaN            NaN            NaN            NaN  0.471580       0.886316E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        99.5193                 NaN            NaN            NaN            NaN  0.471901       0.883144E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        2500.00        98.6086                 NaN            NaN            NaN            NaN   1.36752       0.239111E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        99.9986                 NaN            NaN            NaN            NaN            NaN  0.143330E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        99.9538                 NaN            NaN            NaN            NaN  0.456501E-001  0.506170E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        99.8387                 NaN            NaN            NaN            NaN  0.158393       0.292457E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        99.1868                 NaN            NaN            NaN            NaN  0.798547       0.146268E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        99.5116                 NaN            NaN            NaN            NaN  0.479688       0.873102E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        99.5095                 NaN            NaN            NaN            NaN  0.481777       0.872864E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        99.5121                 NaN            NaN            NaN            NaN  0.479274       0.864461E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        99.5106                 NaN            NaN            NaN            NaN  0.480714       0.864522E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        99.4574                 NaN            NaN            NaN            NaN  0.469241       0.782773E-002  0.655727E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        98.2601                 NaN            NaN            NaN            NaN  0.159710                 NaN   1.58016                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        98.2936                 NaN            NaN            NaN            NaN  0.158182                 NaN   1.54819                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        98.3303                 NaN            NaN            NaN            NaN  0.153460                 NaN   1.51623                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        98.3717                 NaN            NaN            NaN            NaN  0.149540                 NaN   1.47877                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        98.3976                 NaN            NaN            NaN            NaN  0.145671                 NaN   1.45669                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        98.4278                 NaN            NaN            NaN            NaN  0.141602                 NaN   1.43059                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        98.4598                 NaN            NaN            NaN            NaN  0.138754                 NaN   1.40148                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        98.4895                 NaN            NaN            NaN            NaN  0.135174                 NaN   1.37537                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        98.5189                 NaN            NaN            NaN            NaN  0.132599                 NaN   1.34849                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        98.5465                 NaN            NaN            NaN            NaN  0.128688                 NaN   1.32482                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        98.5749                 NaN            NaN            NaN            NaN  0.127455                 NaN   1.29765                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        2500.00        98.5970                 NaN            NaN            NaN            NaN  0.122116                 NaN   1.28086                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00        98.6207                 NaN            NaN            NaN            NaN  0.117609                 NaN   1.26170                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        2500.00        98.6501                 NaN            NaN            NaN            NaN  0.128974                 NaN   1.22095                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        2500.00        98.6743                 NaN            NaN            NaN            NaN  0.105663                 NaN   1.22008                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        2500.00        98.6854                 NaN            NaN            NaN            NaN  0.105977                 NaN   1.20864                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        2500.00        98.7307                 NaN            NaN            NaN            NaN  0.106776                 NaN   1.16250                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        98.7302                 NaN            NaN            NaN            NaN  0.102140                 NaN   1.16766                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        2500.00        98.7698                 NaN            NaN            NaN            NaN  0.101790                 NaN   1.12839                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        2500.00        98.7815                 NaN            NaN            NaN            NaN  0.988617E-001            NaN   1.11966                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        2500.00        98.7999                 NaN            NaN            NaN            NaN  0.965997E-001            NaN   1.10350                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        2500.00        98.8256                 NaN            NaN            NaN            NaN  0.940519E-001            NaN   1.08032                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        98.8419                 NaN            NaN            NaN            NaN  0.918203E-001            NaN   1.06625                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        2500.00        98.8584                 NaN            NaN            NaN            NaN  0.891653E-001            NaN   1.05244                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        2500.00        98.8805                 NaN            NaN            NaN            NaN  0.869352E-001            NaN   1.03252                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        2500.00        98.8948                 NaN            NaN            NaN            NaN  0.828669E-001            NaN   1.02234                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        2500.00        98.9144                 NaN            NaN            NaN            NaN  0.821172E-001            NaN   1.00345                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        98.9296                 NaN            NaN            NaN            NaN  0.793873E-001            NaN  0.991031                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        2500.00        98.9441                 NaN            NaN            NaN            NaN  0.773589E-001            NaN  0.978580                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        2500.00        98.9631                 NaN            NaN            NaN            NaN  0.739044E-001            NaN  0.962978                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        98.9781                 NaN            NaN            NaN            NaN  0.734980E-001            NaN  0.948388                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        98.9929                 NaN            NaN            NaN            NaN  0.699171E-001            NaN  0.937214                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        99.0035                 NaN            NaN            NaN            NaN  0.658863E-001            NaN  0.930651                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        2500.00        99.2704                 NaN            NaN            NaN            NaN  0.828441E-001            NaN  0.646770                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        2500.00        98.7805                 NaN            NaN            NaN            NaN  0.439029E-001            NaN   1.17557                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        2500.00        99.0443                 NaN            NaN            NaN            NaN  0.586494E-001            NaN  0.897052                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        2500.00        99.0597                 NaN            NaN            NaN            NaN  0.576464E-001            NaN  0.882672                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
