|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m5/YM20/YM20_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          iron           Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1533.62        500.000                 NaN   99.3534       0.634881       0.117089E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.15        500.000                 NaN   99.3585       0.632056       0.945682E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.68        500.000                 NaN   99.3642       0.625297       0.104739E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.21        500.000                 NaN   99.3662       0.626359       0.747496E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.74        500.000                 NaN   99.3716       0.621624       0.679956E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.27        500.000                 NaN   99.3759       0.617230       0.687762E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.80        500.000                 NaN   99.3799       0.615519       0.454268E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.33        500.000                 NaN   98.9317        1.06011       0.819765E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.86        500.000                 NaN   99.8409       0.142752       0.163527E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.39        500.000                 NaN   99.3912       0.608809                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.92        500.000                 NaN   99.3988       0.577475       0.236749E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.45        500.000                 NaN   99.4011       0.595855       0.306929E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.98        500.000                 NaN   99.4035       0.596494                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.51        500.000                 NaN   99.4111       0.569421       0.195093E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.04        500.000                 NaN   99.4106       0.589413       0.967884E-006            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.57        500.000                 NaN   99.4148       0.585209                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.10        500.000                 NaN   99.4185       0.581464                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.63        500.000                 NaN   99.4224       0.577621                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.16        500.000                 NaN   99.4252       0.574803                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.69        500.000                 NaN   99.4295       0.564850       0.560221E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.22        500.000                 NaN   99.4344       0.553743       0.119034E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.75        500.000                 NaN   99.4369       0.563094                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.28        500.000                 NaN   99.4399       0.559389       0.687486E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.81        500.000                 NaN   99.4423       0.557664                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.34        500.000                 NaN   99.4014       0.376648                 NaN            NaN  0.221982                 NaN            NaN            NaN            NaN            NaN            NaN
  1496.87        500.000                 NaN   99.3289       0.232076E-001  0.656645E-001            NaN  0.582257                 NaN            NaN            NaN            NaN            NaN            NaN
  1495.40        500.000                 NaN   99.3097                 NaN            NaN            NaN  0.690348                 NaN            NaN            NaN            NaN            NaN            NaN
  1493.93        500.000                 NaN   98.5518       0.201256E-001            NaN            NaN   1.42805                 NaN            NaN            NaN            NaN            NaN            NaN
  1492.46        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.99        500.000                 NaN   99.3825                 NaN            NaN            NaN  0.617491                 NaN            NaN            NaN            NaN            NaN            NaN
  1489.52        500.000                 NaN   99.2012                 NaN            NaN            NaN  0.798842                 NaN            NaN            NaN            NaN            NaN            NaN
  1488.05        500.000                 NaN   99.4115                 NaN            NaN            NaN  0.588545                 NaN            NaN            NaN            NaN            NaN            NaN
  1486.58        500.000                 NaN   99.3047                 NaN            NaN            NaN  0.695284                 NaN            NaN            NaN            NaN            NaN            NaN
  1485.11        500.000                 NaN   99.3065                 NaN            NaN            NaN  0.693474                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.64        500.000                 NaN   99.3033                 NaN            NaN            NaN  0.696726                 NaN            NaN            NaN            NaN            NaN            NaN
  1482.17        500.000                 NaN   99.2999                 NaN            NaN            NaN  0.700063                 NaN            NaN            NaN            NaN            NaN            NaN
  1480.70        500.000                 NaN   99.2629                 NaN            NaN            NaN  0.737111                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.23        500.000                 NaN   99.3294                 NaN            NaN            NaN  0.670572                 NaN            NaN            NaN            NaN            NaN            NaN
  1477.76        500.000                 NaN   99.2692                 NaN            NaN            NaN  0.707759       0.230683E-001            NaN            NaN            NaN            NaN            NaN
  1476.29        500.000                 NaN   98.8908                 NaN            NaN            NaN  0.499983       0.609262                 NaN            NaN            NaN            NaN            NaN
  1474.82        500.000                 NaN   98.8233                 NaN            NaN            NaN  0.719506       0.457228                 NaN            NaN            NaN            NaN            NaN
  1473.35        500.000                 NaN   99.2499       0.895114E-002            NaN            NaN  0.281379       0.459722                 NaN            NaN            NaN            NaN            NaN
  1471.88        500.000                 NaN   98.4323                 NaN            NaN            NaN  0.959696       0.608021                 NaN            NaN            NaN            NaN            NaN
  1470.41        500.000                 NaN   98.8608                 NaN            NaN            NaN  0.699488       0.439714                 NaN            NaN            NaN            NaN            NaN
  1468.94        500.000                 NaN   98.8732                 NaN            NaN            NaN  0.434584       0.692207                 NaN            NaN            NaN            NaN            NaN
  1467.47        500.000                 NaN   98.8849                 NaN            NaN            NaN  0.429576       0.685558                 NaN            NaN            NaN            NaN            NaN
  1466.00        500.000                 NaN   98.8964                 NaN            NaN            NaN  0.423934       0.679654                 NaN            NaN            NaN            NaN            NaN
  1464.53        500.000                 NaN   98.9077                 NaN            NaN            NaN  0.673505       0.418816                 NaN            NaN            NaN            NaN            NaN
  1463.06        500.000                 NaN   98.9189                 NaN            NaN            NaN  0.413671       0.667479                 NaN            NaN            NaN            NaN            NaN
  1461.59        500.000                 NaN   98.9297                 NaN            NaN            NaN  0.661565       0.408715                 NaN            NaN            NaN            NaN            NaN
  1460.12        500.000                 NaN   98.9405                 NaN            NaN            NaN  0.404427       0.655050                 NaN            NaN            NaN            NaN            NaN
  1458.65        500.000                 NaN   98.9514                 NaN            NaN            NaN  0.649497       0.399140                 NaN            NaN            NaN            NaN            NaN
  1457.18        500.000                 NaN   98.9612                 NaN            NaN            NaN  0.644142       0.394657                 NaN            NaN            NaN            NaN            NaN
  1455.71        500.000                 NaN   98.9711                 NaN            NaN            NaN  0.389829       0.639069                 NaN            NaN            NaN            NaN            NaN
  1454.24        500.000                 NaN   98.9806                 NaN            NaN            NaN  0.385761       0.633599                 NaN            NaN            NaN            NaN            NaN
  1452.77        500.000                 NaN   98.9932                 NaN            NaN            NaN  0.626466       0.380377                 NaN            NaN            NaN            NaN            NaN
  1451.30        500.000                 NaN   98.0795                 NaN            NaN  0.378314E-004  0.787486       0.776603                 NaN  0.356410                 NaN            NaN            NaN
  1449.83        500.000                 NaN   96.3338                 NaN            NaN  0.125581        1.16462        1.29698                 NaN   1.07906                 NaN            NaN            NaN
  1448.36        500.000                 NaN   94.2198                 NaN            NaN  0.212469        2.01375        1.84818                 NaN   1.70579                 NaN            NaN            NaN
  1446.89        500.000                 NaN   95.5913                 NaN            NaN  0.161222        1.41160        1.53306                 NaN   1.30281                 NaN            NaN            NaN
  1445.42        500.000                 NaN   95.8037                 NaN            NaN  0.152419        1.45736        1.34519                 NaN   1.24135                 NaN            NaN            NaN
  1443.95        500.000                 NaN   95.9943                 NaN            NaN  0.145088        1.38989        1.28367                 NaN   1.18710                 NaN            NaN            NaN
  1442.48        500.000                 NaN   96.1796                 NaN            NaN  0.136871        1.22716        1.32383                 NaN   1.13250                 NaN            NaN            NaN
  1441.01        500.000                 NaN   96.3371                 NaN            NaN  0.130257        1.26846        1.17715                 NaN   1.08700                 NaN            NaN            NaN
  1439.54        500.000                 NaN   96.4867                 NaN            NaN  0.124301        1.13066        1.21452                 NaN   1.04383                 NaN            NaN            NaN
  1438.07        500.000                 NaN   97.2253                 NaN            NaN  0.972093E-001  0.957125       0.894828                 NaN  0.825545                 NaN            NaN            NaN
  1436.60        500.000                 NaN   96.1565                 NaN            NaN  0.133823        1.32776        1.23849                 NaN   1.14341                 NaN            NaN            NaN
  1435.13        500.000                 NaN   96.8766                 NaN            NaN  0.108176        1.00800        1.07692                 NaN  0.930338                 NaN            NaN            NaN
  1433.66        500.000                 NaN   96.9893                 NaN            NaN  0.103737        1.03675       0.972808                 NaN  0.897388                 NaN            NaN            NaN
  1432.19        500.000                 NaN   97.0953                 NaN            NaN  0.994434E-001  0.939414       0.999420                 NaN  0.866456                 NaN            NaN            NaN
  1430.72        500.000                 NaN   97.1927                 NaN            NaN  0.954261E-001  0.965334       0.908424                 NaN  0.838132                 NaN            NaN            NaN
  1429.25        500.000                 NaN   97.2859                 NaN            NaN  0.915585E-001  0.879412       0.932424                 NaN  0.810708                 NaN            NaN            NaN
  1427.78        500.000                 NaN   97.3750                 NaN            NaN  0.879241E-001  0.850796       0.901573                 NaN  0.784721                 NaN            NaN            NaN
  1426.31        500.000                 NaN   97.4563                 NaN            NaN  0.846791E-001  0.825420       0.872727                 NaN  0.760880                 NaN            NaN            NaN
  1424.84        500.000                 NaN   97.5326                 NaN            NaN  0.816389E-001  0.846088       0.800977                 NaN  0.738652                 NaN            NaN            NaN
  1423.37        500.000                 NaN   97.6079                 NaN            NaN  0.784918E-001  0.819181       0.777753                 NaN  0.716665                 NaN            NaN            NaN
  1421.90        500.000                 NaN   97.6797                 NaN            NaN  0.756380E-001  0.795342       0.753959                 NaN  0.695375                 NaN            NaN            NaN
  1420.43        500.000                 NaN   97.7436                 NaN            NaN  0.731155E-001  0.772331       0.734447                 NaN  0.676531                 NaN            NaN            NaN
  1418.96        500.000                 NaN   97.8056                 NaN            NaN  0.707264E-001  0.715065       0.750097                 NaN  0.658538                 NaN            NaN            NaN
  1417.49        500.000                 NaN   97.8675                 NaN            NaN  0.681334E-001  0.694962       0.729495                 NaN  0.639936                 NaN            NaN            NaN
  1416.02        500.000                 NaN   97.9217                 NaN            NaN  0.662818E-001  0.709396       0.678257                 NaN  0.624402                 NaN            NaN            NaN
  1414.55        500.000                 NaN   97.9824                 NaN            NaN  0.633369E-001  0.690683       0.657952                 NaN  0.605657                 NaN            NaN            NaN
  1413.08        500.000                 NaN   98.0306                 NaN            NaN  0.617495E-001  0.642807       0.672781                 NaN  0.592039                 NaN            NaN            NaN
  1411.61        500.000                 NaN   98.0830                 NaN            NaN  0.595049E-001  0.626112       0.655091                 NaN  0.576273                 NaN            NaN            NaN
  1410.14        500.000                 NaN   98.1283                 NaN            NaN  0.575264E-001  0.639833       0.611371                 NaN  0.562993                 NaN            NaN            NaN
  1408.67        500.000                 NaN   98.1742                 NaN            NaN  0.557778E-001  0.624125       0.596617                 NaN  0.549278                 NaN            NaN            NaN
  1407.20        500.000                 NaN   98.2186                 NaN            NaN  0.540521E-001  0.608697       0.582570                 NaN  0.536117                 NaN            NaN            NaN
  1405.73        500.000                 NaN   98.2603                 NaN            NaN  0.523942E-001  0.594316       0.569203                 NaN  0.523750                 NaN            NaN            NaN
  1404.26        500.000                 NaN   98.3007                 NaN            NaN  0.508154E-001  0.556449       0.580365                 NaN  0.511626                 NaN            NaN            NaN
  1402.79        500.000                 NaN   98.3389                 NaN            NaN  0.492342E-001  0.567315       0.544332                 NaN  0.500259                 NaN            NaN            NaN
  1401.32        500.000                 NaN   98.3774                 NaN            NaN  0.477135E-001  0.531616       0.554407                 NaN  0.488868                 NaN            NaN            NaN
  1399.85        500.000                 NaN   98.4119                 NaN            NaN  0.463557E-001  0.520512       0.542836                 NaN  0.478370                 NaN            NaN            NaN
  1398.38        500.000                 NaN   98.4486                 NaN            NaN  0.446334E-001  0.507959       0.531447                 NaN  0.467351                 NaN            NaN            NaN
  1396.91        500.000                 NaN   98.4817                 NaN            NaN  0.434342E-001  0.497800       0.519766                 NaN  0.457321                 NaN            NaN            NaN
  1395.44        500.000                 NaN   98.5104                 NaN            NaN  0.423057E-001  0.509873       0.488434                 NaN  0.449019                 NaN            NaN            NaN
  1393.97        500.000                 NaN   98.5486                 NaN            NaN  0.408094E-001  0.475799       0.497548                 NaN  0.437224                 NaN            NaN            NaN
  1392.50        500.000                 NaN   98.5761                 NaN            NaN  0.396927E-001  0.466904       0.488288                 NaN  0.429060                 NaN            NaN            NaN
  1391.03        500.000                 NaN   98.6050                 NaN            NaN  0.384873E-001  0.457419       0.478771                 NaN  0.420354                 NaN            NaN            NaN
  1389.56        500.000                 NaN   98.6329                 NaN            NaN  0.373100E-001  0.469563       0.448314                 NaN  0.411941                 NaN            NaN            NaN
  1388.09        500.000                 NaN   98.6427                 NaN            NaN  0.368018E-001  0.466225       0.444735                 NaN  0.409568                 NaN            NaN            NaN
  1386.62        500.000                 NaN   98.7040                 NaN            NaN  0.345073E-001  0.445603       0.426017                 NaN  0.389847                 NaN            NaN            NaN
  1385.15        500.000                 NaN   98.7036                 NaN            NaN  0.343452E-001  0.424570       0.446847                 NaN  0.390674                 NaN            NaN            NaN
  1383.68        500.000                 NaN   98.7459                 NaN            NaN  0.328059E-001  0.432536       0.411101                 NaN  0.377657                 NaN            NaN            NaN
  1382.21        500.000                 NaN   98.7617                 NaN            NaN  0.320109E-001  0.427639       0.405792                 NaN  0.372868                 NaN            NaN            NaN
  1380.74        500.000                 NaN   98.7845                 NaN            NaN  0.310890E-001  0.398157       0.420314                 NaN  0.365968                 NaN            NaN            NaN
  1379.27        500.000                 NaN   98.8077                 NaN            NaN  0.300386E-001  0.390450       0.412916                 NaN  0.358848                 NaN            NaN            NaN
  1377.80        500.000                 NaN   98.8288                 NaN            NaN  0.292523E-001  0.383252       0.406144                 NaN  0.352561                 NaN            NaN            NaN
  1376.33        500.000                 NaN   98.8514                 NaN            NaN  0.283026E-001  0.398839       0.375898                 NaN  0.345522                 NaN            NaN            NaN
  1374.86        500.000                 NaN   98.8721                 NaN            NaN  0.273548E-001  0.368718       0.392604                 NaN  0.339194                 NaN            NaN            NaN
  1373.39        500.000                 NaN   98.8931                 NaN            NaN  0.264829E-001  0.361697       0.385939                 NaN  0.332811                 NaN            NaN            NaN
  1371.92        500.000                 NaN   98.9120                 NaN            NaN  0.256826E-001  0.355295       0.379990                 NaN  0.327049                 NaN            NaN            NaN
  1370.45        500.000                 NaN   98.9315                 NaN            NaN  0.248309E-001  0.348807       0.373792                 NaN  0.321026                 NaN            NaN            NaN
  1368.98        500.000                 NaN   98.9500                 NaN            NaN  0.240050E-001  0.342539       0.368142                 NaN  0.315360                 NaN            NaN            NaN
  1367.51        500.000                 NaN   98.9681                 NaN            NaN  0.232301E-001  0.362731       0.336087                 NaN  0.309812                 NaN            NaN            NaN
  1366.04        500.000                 NaN   98.9861                 NaN            NaN  0.223764E-001  0.357260       0.330092                 NaN  0.304169                 NaN            NaN            NaN
  1364.57        500.000                 NaN   99.0024                 NaN            NaN  0.216246E-001  0.324578       0.352197                 NaN  0.299167                 NaN            NaN            NaN
  1363.10        500.000                 NaN   99.0212                 NaN            NaN  0.208972E-001  0.346507       0.317996                 NaN  0.293378                 NaN            NaN            NaN
  1361.63        500.000                 NaN   99.0364                 NaN            NaN  0.201823E-001  0.312979       0.341770                 NaN  0.288677                 NaN            NaN            NaN
  1360.16        500.000                 NaN   99.0525                 NaN            NaN  0.195210E-001  0.307299       0.336911                 NaN  0.283778                 NaN            NaN            NaN
  1358.69        500.000                 NaN   99.0686                 NaN            NaN  0.187657E-001  0.301709       0.332159                 NaN  0.278737                 NaN            NaN            NaN
  1357.22        500.000                 NaN   99.0834                 NaN            NaN  0.180238E-001  0.296605       0.327800                 NaN  0.274135                 NaN            NaN            NaN
  1355.75        500.000                 NaN   99.0984                 NaN            NaN  0.173448E-001  0.291354       0.323388                 NaN  0.269563                 NaN            NaN            NaN
  1354.28        500.000                 NaN   99.1132                 NaN            NaN  0.166728E-001  0.319254       0.285962                 NaN  0.264948                 NaN            NaN            NaN
  1352.81        500.000                 NaN   99.1270                 NaN            NaN  0.161285E-001  0.281255       0.314932                 NaN  0.260660                 NaN            NaN            NaN
  1351.34        500.000                 NaN   99.1412                 NaN            NaN  0.153885E-001  0.276130       0.311071                 NaN  0.256185                 NaN            NaN            NaN
  1349.87        500.000                 NaN   99.1548                 NaN            NaN  0.147701E-001  0.271400       0.307046                 NaN  0.251996                 NaN            NaN            NaN
  1348.40        500.000                 NaN   99.1679                 NaN            NaN  0.141713E-001  0.303268       0.266723                 NaN  0.247948                 NaN            NaN            NaN
  1346.93        500.000                 NaN   99.1805                 NaN            NaN  0.135572E-001  0.299587       0.262331                 NaN  0.243999                 NaN            NaN            NaN
  1345.46        500.000                 NaN   99.1937                 NaN            NaN  0.129098E-001  0.295950       0.257566                 NaN  0.239851                 NaN            NaN            NaN
  1343.99        500.000                 NaN   99.2056                 NaN            NaN  0.123135E-001  0.292686       0.253272                 NaN  0.236145                 NaN            NaN            NaN
  1342.52        500.000                 NaN   99.2161                 NaN            NaN  0.116474E-001  0.249627       0.289844                 NaN  0.232822                 NaN            NaN            NaN
  1341.05        500.000                 NaN   99.2288                 NaN            NaN  0.110490E-001  0.286490       0.244775                 NaN  0.228894                 NaN            NaN            NaN
  1339.58        500.000                 NaN   99.2414                 NaN            NaN  0.105844E-001  0.282703       0.240260                 NaN  0.225062                 NaN            NaN            NaN
  1338.11        500.000                 NaN   99.2542                 NaN            NaN  0.986452E-002  0.235895       0.279328                 NaN  0.220724                 NaN            NaN            NaN
  1336.64        500.000                 NaN   99.2618                 NaN            NaN  0.955650E-002  0.232922       0.277063                 NaN  0.218667                 NaN            NaN            NaN
  1335.17        500.000                 NaN   99.2756                 NaN            NaN  0.872354E-002  0.227552       0.274021                 NaN  0.214110                 NaN            NaN            NaN
  1333.70        500.000                 NaN   99.2847                 NaN            NaN  0.832226E-002  0.271151       0.224466                 NaN  0.211393                 NaN            NaN            NaN
  1332.23        500.000                 NaN   99.2951                 NaN            NaN  0.774574E-002  0.220430       0.268595                 NaN  0.208098                 NaN            NaN            NaN
  1330.76        500.000                 NaN   99.3051                 NaN            NaN  0.721508E-002  0.266084       0.216670                 NaN  0.204970                 NaN            NaN            NaN
  1329.29        500.000                 NaN   99.3149                 NaN            NaN  0.668974E-002  0.263549       0.212960                 NaN  0.201872                 NaN            NaN            NaN
  1327.82        500.000                 NaN   99.3245                 NaN            NaN  0.614714E-002  0.209283       0.261201                 NaN  0.198876                 NaN            NaN            NaN
  1326.35        500.000                 NaN   99.3342                 NaN            NaN  0.558914E-002  0.205687       0.258800                 NaN  0.195771                 NaN            NaN            NaN
  1324.88        500.000                 NaN   99.3432                 NaN            NaN  0.506409E-002  0.256653       0.202169                 NaN  0.192959                 NaN            NaN            NaN
  1323.41        500.000                 NaN   99.3523                 NaN            NaN  0.458017E-002  0.198622       0.254428                 NaN  0.190080                 NaN            NaN            NaN
  1321.94        500.000                 NaN   99.3612                 NaN            NaN  0.404870E-002  0.195317       0.252201                 NaN  0.187275                 NaN            NaN            NaN
  1320.47        500.000                 NaN   99.3699                 NaN            NaN  0.359819E-002  0.250025       0.191943                 NaN  0.184572                 NaN            NaN            NaN
  1319.00        500.000                 NaN   99.3780                 NaN            NaN  0.303412E-002  0.248199       0.188828                 NaN  0.181972                 NaN            NaN            NaN
  1317.53        500.000                 NaN   99.3868                 NaN            NaN  0.244143E-002  0.184884       0.246802                 NaN  0.179117                 NaN            NaN            NaN
  1316.06        500.000                 NaN   99.3932                 NaN            NaN  0.212027E-002  0.244310       0.183208                 NaN  0.177155                 NaN            NaN            NaN
  1314.59        500.000                 NaN   99.4040                 NaN            NaN  0.150008E-002  0.242436       0.178438                 NaN  0.173652                 NaN            NaN            NaN
  1313.12        500.000                 NaN   99.4104                 NaN            NaN  0.103326E-002  0.175723       0.241177                 NaN  0.171712                 NaN            NaN            NaN
  1311.65        500.000                 NaN   99.4182                 NaN            NaN  0.571272E-003  0.172406       0.239596                 NaN  0.169267                 NaN            NaN            NaN
  1310.18        500.000                 NaN   99.4256                 NaN            NaN  0.158721E-003  0.169403       0.237887                 NaN  0.166980                 NaN            NaN            NaN
  1308.71        500.000                 NaN   99.4326                 NaN            NaN            NaN  0.166659       0.235883                 NaN  0.164861                 NaN            NaN            NaN
  1307.24        500.000                 NaN   99.4393                 NaN            NaN            NaN  0.164634       0.233219                 NaN  0.162880                 NaN            NaN            NaN
  1305.77        500.000                 NaN   99.4462                 NaN            NaN  0.161533E-002  0.164643       0.226524                 NaN  0.161042                 NaN            NaN            NaN
  1304.30        500.000                 NaN   99.4516                 NaN            NaN  0.291098E-002  0.221071       0.164580                 NaN  0.159816                 NaN            NaN            NaN
  1302.83        500.000                 NaN   99.4600                 NaN            NaN            NaN  0.157864       0.225529                 NaN  0.156562                 NaN            NaN            NaN
  1301.36        500.000                 NaN   99.4662                 NaN            NaN            NaN  0.155769       0.223284                 NaN  0.154768                 NaN            NaN            NaN
  1299.89        500.000                 NaN   99.4727                 NaN            NaN            NaN  0.220941       0.153629                 NaN  0.152757                 NaN            NaN            NaN
  1298.42        500.000                 NaN   99.4786                 NaN            NaN            NaN  0.151464       0.218930                 NaN  0.151017                 NaN            NaN            NaN
  1296.95        500.000                 NaN   99.4849                 NaN            NaN            NaN  0.216539       0.149409                 NaN  0.149132                 NaN            NaN            NaN
  1295.48        500.000                 NaN   99.4910                 NaN            NaN            NaN  0.147469       0.214256                 NaN  0.147284                 NaN            NaN            NaN
  1294.01        500.000                 NaN   99.4966                 NaN            NaN            NaN  0.145367       0.212361                 NaN  0.145632                 NaN            NaN            NaN
  1292.53        500.000                 NaN   99.5024                 NaN            NaN            NaN  0.143474       0.210234                 NaN  0.143848                 NaN            NaN            NaN
  1291.06        500.000                 NaN   99.5084                 NaN            NaN            NaN  0.207990       0.141484                 NaN  0.142106                 NaN            NaN            NaN
  1289.59        500.000                 NaN   99.5140                 NaN            NaN            NaN  0.206072       0.139468                 NaN  0.140458                 NaN            NaN            NaN
