|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3.5/GRV/GRV_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1533.00        500.000       0.109057E-001   98.8644                 NaN            NaN   1.12474                 NaN            NaN            NaN            NaN            NaN            NaN
  1531.58        500.000       0.109028E-001   98.8151                 NaN            NaN   1.17396                 NaN            NaN            NaN            NaN            NaN            NaN
  1530.17        500.000       0.109901E-001   98.3679                 NaN            NaN  0.830955       0.790202                 NaN            NaN            NaN            NaN            NaN
  1528.76        500.000       0.107884E-001   98.1628                 NaN            NaN  0.551074        1.27532                 NaN            NaN            NaN            NaN            NaN
  1527.34        500.000       0.105226E-001   98.1995                 NaN            NaN   1.25029       0.539675                 NaN            NaN            NaN            NaN            NaN
  1525.93        500.000       0.103357E-001   98.2223                 NaN            NaN   1.23715       0.530173                 NaN            NaN            NaN            NaN            NaN
  1524.51        500.000       0.100811E-001   98.2526                 NaN            NaN   1.21686       0.520459                 NaN            NaN            NaN            NaN            NaN
  1523.10        500.000       0.987655E-002   98.2783                 NaN            NaN   1.19846       0.513362                 NaN            NaN            NaN            NaN            NaN
  1521.69        500.000       0.963959E-002   98.3045                 NaN            NaN   1.18272       0.503157                 NaN            NaN            NaN            NaN            NaN
  1520.27        500.000       0.950261E-002   98.3148                 NaN            NaN   1.18079       0.494893                 NaN            NaN            NaN            NaN            NaN
  1518.86        500.000       0.914431E-002   98.3660                 NaN            NaN  0.483855        1.14099                 NaN            NaN            NaN            NaN            NaN
  1517.45        500.000       0.135217E-002   98.3700                 NaN  0.372440        1.25616                 NaN            NaN            NaN            NaN            NaN            NaN
  1516.03        500.000       0.837781E-003   98.3885                 NaN  0.384063        1.22656                 NaN            NaN            NaN            NaN            NaN            NaN
  1514.62        500.000       0.609354E-003   98.4154                 NaN  0.378308        1.20572                 NaN            NaN            NaN            NaN            NaN            NaN
  1513.20        500.000       0.615678E-003   98.1641                 NaN  0.431257        1.40406                 NaN            NaN            NaN            NaN            NaN            NaN
  1511.79        500.000       0.127241E-003   98.7407                 NaN  0.301897       0.957284                 NaN            NaN            NaN            NaN            NaN            NaN
  1510.38        500.000       0.521969E-004   98.4874                 NaN  0.360109        1.15243                 NaN            NaN            NaN            NaN            NaN            NaN
  1508.96        500.000                 NaN   98.5117                 NaN  0.353570        1.13472                 NaN            NaN            NaN            NaN            NaN            NaN
  1507.55        500.000       0.232987E-003   98.5333                 NaN  0.343663        1.12283                 NaN            NaN            NaN            NaN            NaN            NaN
  1506.13        500.000       0.266702E-003   98.5564                 NaN  0.337067        1.10631                 NaN            NaN            NaN            NaN            NaN            NaN
  1504.72        500.000                 NaN   98.5767                 NaN  0.329916        1.09338                 NaN            NaN            NaN            NaN            NaN            NaN
  1503.31        500.000                 NaN   98.5925                 NaN  0.323387        1.08414                 NaN            NaN            NaN            NaN            NaN            NaN
  1501.89        500.000                 NaN   98.6242                 NaN  0.316248        1.05959                 NaN            NaN            NaN            NaN            NaN            NaN
  1500.48        500.000                 NaN   98.6347                 NaN  0.300537        1.06473                 NaN            NaN            NaN            NaN            NaN            NaN
  1499.07        500.000       0.217872E-003   98.6606                 NaN  0.304611        1.03460                 NaN            NaN            NaN            NaN            NaN            NaN
  1497.65        500.000                 NaN   98.6767                 NaN  0.297786        1.02547                 NaN            NaN            NaN            NaN            NaN            NaN
  1496.24        500.000                 NaN   98.6955                 NaN  0.288705        1.01582                 NaN            NaN            NaN            NaN            NaN            NaN
  1494.82        500.000                 NaN   98.7095                 NaN  0.262197       0.259975E-001   1.00228                 NaN            NaN            NaN            NaN            NaN
  1493.41        500.000                 NaN   98.7298                 NaN  0.274766       0.995413                 NaN            NaN            NaN            NaN            NaN            NaN
  1492.00        500.000                 NaN   98.7470                 NaN  0.271308       0.981649                 NaN            NaN            NaN            NaN            NaN            NaN
  1490.58        500.000                 NaN   98.7506                 NaN  0.169693       0.932255       0.147452                 NaN            NaN            NaN            NaN            NaN
  1489.17        500.000                 NaN   98.7646                 NaN  0.148265       0.913596       0.173580                 NaN            NaN            NaN            NaN            NaN
  1487.76        500.000                 NaN   98.7760                 NaN  0.137409       0.902621       0.183929                 NaN            NaN            NaN            NaN            NaN
  1486.34        500.000                 NaN   98.7940                 NaN  0.122961       0.197621       0.885421                 NaN            NaN            NaN            NaN            NaN
  1484.93        500.000                 NaN   98.8055                 NaN  0.114228       0.874930       0.205378                 NaN            NaN            NaN            NaN            NaN
  1483.51        500.000       0.427872E-002   98.8112                 NaN            NaN  0.835877       0.348638                 NaN            NaN            NaN            NaN            NaN
  1482.10        500.000       0.475080E-002   98.8249                 NaN            NaN  0.824909       0.345488                 NaN            NaN            NaN            NaN            NaN
  1480.69        500.000       0.463900E-002   98.8379                 NaN            NaN  0.341703       0.815712                 NaN            NaN            NaN            NaN            NaN
  1479.27        500.000       0.451706E-002   98.8504                 NaN            NaN  0.807163       0.337936                 NaN            NaN            NaN            NaN            NaN
  1477.86        500.000       0.309271E-002   99.2019                 NaN            NaN  0.560520       0.234489                 NaN            NaN            NaN            NaN            NaN
  1476.45        500.000       0.556833E-002   98.5357                 NaN            NaN   1.02609       0.432617                 NaN            NaN            NaN            NaN            NaN
  1475.03        500.000       0.414983E-002   98.8890                 NaN            NaN  0.328150       0.778743                 NaN            NaN            NaN            NaN            NaN
  1473.62        500.000       0.403282E-002   98.8994                 NaN            NaN  0.771353       0.325242                 NaN            NaN            NaN            NaN            NaN
  1472.20        500.000       0.391709E-002   98.9108                 NaN            NaN  0.322128       0.763203                 NaN            NaN            NaN            NaN            NaN
  1470.79        500.000       0.380139E-002   98.9217                 NaN            NaN  0.756392       0.318080                 NaN            NaN            NaN            NaN            NaN
  1469.38        500.000       0.370005E-002   98.9320                 NaN            NaN  0.747614       0.316707                 NaN            NaN            NaN            NaN            NaN
  1467.96        500.000       0.357546E-002   98.9450                 NaN            NaN  0.312797       0.738623                 NaN            NaN            NaN            NaN            NaN
  1466.55        500.000       0.348048E-002   98.9550                 NaN            NaN  0.310363       0.731177                 NaN            NaN            NaN            NaN            NaN
  1465.14        500.000       0.341696E-002   98.9524                 NaN            NaN  0.308652       0.735488                 NaN            NaN            NaN            NaN            NaN
  1463.72        500.000       0.324059E-002   98.9869                 NaN            NaN  0.707830       0.302052                 NaN            NaN            NaN            NaN            NaN
  1462.31        500.000       0.316992E-002   98.9855                 NaN            NaN  0.302124       0.709159                 NaN            NaN            NaN            NaN            NaN
  1460.89        500.000       0.306600E-002   98.9963                 NaN            NaN  0.701509       0.299141                 NaN            NaN            NaN            NaN            NaN
  1459.48        500.000       0.297405E-002   99.0045                 NaN            NaN  0.696410       0.296088                 NaN            NaN            NaN            NaN            NaN
  1458.07        500.000       0.287809E-002   99.0154                 NaN            NaN  0.293697       0.688003                 NaN            NaN            NaN            NaN            NaN
  1456.65        500.000       0.278531E-002   99.0242                 NaN            NaN  0.681615       0.291424                 NaN            NaN            NaN            NaN            NaN
  1455.24        500.000       0.269236E-002   99.0330                 NaN            NaN  0.675093       0.289170                 NaN            NaN            NaN            NaN            NaN
  1453.82        500.000       0.260283E-002   99.0427                 NaN            NaN  0.668158       0.286540                 NaN            NaN            NaN            NaN            NaN
  1452.41        500.000       0.252073E-002   99.0496                 NaN            NaN  0.662953       0.284903                 NaN            NaN            NaN            NaN            NaN
  1451.00        500.000       0.243088E-002   99.0614                 NaN            NaN  0.653837       0.282295                 NaN            NaN            NaN            NaN            NaN
  1449.58        500.000       0.234144E-002   99.0686                 NaN            NaN  0.650014       0.279090                 NaN            NaN            NaN            NaN            NaN
  1448.17        500.000       0.228531E-002   99.0747                 NaN            NaN  0.276637       0.646336                 NaN            NaN            NaN            NaN            NaN
  1446.76        500.000       0.218373E-002   99.0863                 NaN            NaN  0.636587       0.274950                 NaN            NaN            NaN            NaN            NaN
  1445.34        500.000       0.210159E-002   99.0929                 NaN            NaN  0.272906       0.632057                 NaN            NaN            NaN            NaN            NaN
  1443.93        500.000       0.202320E-002   99.1009                 NaN            NaN  0.626333       0.270792                 NaN            NaN            NaN            NaN            NaN
  1442.51        500.000       0.194048E-002   99.1077                 NaN            NaN  0.268843       0.621552                 NaN            NaN            NaN            NaN            NaN
  1441.10        500.000       0.186817E-002   99.1165                 NaN            NaN  0.266426       0.615205                 NaN            NaN            NaN            NaN            NaN
  1439.69        500.000       0.179361E-002   99.1241                 NaN            NaN  0.609308       0.264772                 NaN            NaN            NaN            NaN            NaN
  1438.27        500.000       0.172211E-002   99.1305                 NaN            NaN  0.262790       0.604943                 NaN            NaN            NaN            NaN            NaN
  1436.86        500.000       0.165166E-002   99.1361                 NaN            NaN  0.601389       0.260840                 NaN            NaN            NaN            NaN            NaN
  1435.45        500.000       0.158471E-002   99.1476                 NaN            NaN  0.592201       0.258572                 NaN            NaN            NaN            NaN            NaN
  1434.03        500.000       0.151226E-002   99.1495                 NaN            NaN  0.257208       0.591811                 NaN            NaN            NaN            NaN            NaN
  1432.62        500.000       0.143793E-002   99.1618                 NaN            NaN  0.582435       0.254285                 NaN            NaN            NaN            NaN            NaN
  1431.20        500.000       0.137732E-002   99.1661                 NaN            NaN  0.252763       0.579806                 NaN            NaN            NaN            NaN            NaN
  1429.79        500.000       0.131592E-002   99.1726                 NaN            NaN  0.251118       0.574972                 NaN            NaN            NaN            NaN            NaN
  1428.38        500.000       0.124625E-002   99.1795                 NaN            NaN  0.248870       0.570403                 NaN            NaN            NaN            NaN            NaN
  1426.96        500.000       0.119027E-002   99.1857                 NaN            NaN  0.565674       0.247411                 NaN            NaN            NaN            NaN            NaN
  1425.55        500.000       0.112318E-002   99.1911                 NaN            NaN  0.246383       0.561395                 NaN            NaN            NaN            NaN            NaN
  1424.14        500.000       0.106279E-002   99.1992                 NaN            NaN  0.555868       0.243899                 NaN            NaN            NaN            NaN            NaN
  1422.72        500.000       0.993686E-003   99.2030                 NaN            NaN  0.553695       0.242338                 NaN            NaN            NaN            NaN            NaN
  1421.31        500.000       0.956638E-003   99.2093                 NaN            NaN  0.240144       0.549603                 NaN            NaN            NaN            NaN            NaN
  1419.89        500.000       0.889164E-003   99.2183                 NaN            NaN  0.238695       0.542095                 NaN            NaN            NaN            NaN            NaN
  1418.48        500.000       0.831625E-003   99.2217                 NaN            NaN  0.237386       0.540035                 NaN            NaN            NaN            NaN            NaN
  1417.07        500.000       0.762621E-003   99.2247                 NaN            NaN  0.537405       0.237105                 NaN            NaN            NaN            NaN            NaN
  1415.65        500.000       0.719044E-003   99.2371                 NaN            NaN  0.234079       0.528137                 NaN            NaN            NaN            NaN            NaN
  1414.24        500.000       0.669109E-003   99.2381                 NaN            NaN  0.232723       0.528479                 NaN            NaN            NaN            NaN            NaN
  1412.83        500.000       0.616252E-003   99.2437                 NaN            NaN  0.231002       0.524674                 NaN            NaN            NaN            NaN            NaN
  1411.41        500.000       0.562932E-003   99.2489                 NaN            NaN  0.229591       0.520918                 NaN            NaN            NaN            NaN            NaN
  1410.00        500.000       0.513866E-003   99.2539                 NaN            NaN  0.228241       0.517340                 NaN            NaN            NaN            NaN            NaN
  1408.58        500.000       0.464899E-003   99.2592                 NaN            NaN  0.513503       0.226843                 NaN            NaN            NaN            NaN            NaN
  1407.17        500.000       0.417804E-003   99.2638                 NaN            NaN  0.226336       0.509427                 NaN            NaN            NaN            NaN            NaN
  1405.76        500.000       0.374394E-003   99.2689                 NaN            NaN  0.506651       0.224044                 NaN            NaN            NaN            NaN            NaN
  1404.34        500.000       0.798732E-005   98.5729                 NaN            NaN  0.570066       0.539582                 NaN  0.317446                 NaN            NaN            NaN
  1402.93        500.000                 NaN   98.1320                 NaN            NaN  0.605292       0.740525                 NaN  0.522187                 NaN            NaN            NaN
  1401.51        500.000                 NaN   98.1594                 NaN            NaN  0.597472       0.729066                 NaN  0.514092                 NaN            NaN            NaN
  1400.10        500.000                 NaN   98.1903                 NaN            NaN  0.717129       0.587431                 NaN  0.505187                 NaN            NaN            NaN
  1398.69        500.000                 NaN   98.2183                 NaN            NaN  0.705954       0.578586                 NaN  0.497169                 NaN            NaN            NaN
  1397.27        500.000                 NaN   98.2445                 NaN            NaN  0.570702       0.695112                 NaN  0.489670                 NaN            NaN            NaN
  1395.86        500.000                 NaN   98.2691                 NaN            NaN  0.684876       0.563390                 NaN  0.482653                 NaN            NaN            NaN
  1394.45        500.000                 NaN   98.2968                 NaN            NaN  0.554589       0.674035                 NaN  0.474578                 NaN            NaN            NaN
  1393.03        500.000                 NaN   98.3208                 NaN            NaN  0.547399       0.664151                 NaN  0.467616                 NaN            NaN            NaN
  1391.62        500.000                 NaN   98.3444                 NaN            NaN  0.539957       0.654919                 NaN  0.460684                 NaN            NaN            NaN
  1390.20        500.000                 NaN   98.3676                 NaN            NaN  0.532886       0.645576                 NaN  0.453918                 NaN            NaN            NaN
  1388.79        500.000                 NaN   98.3886                 NaN            NaN  0.636697       0.526688                 NaN  0.447985                 NaN            NaN            NaN
  1387.38        500.000                 NaN   98.4145                 NaN            NaN  0.518457       0.626799                 NaN  0.440288                 NaN            NaN            NaN
  1385.96        500.000                 NaN   98.4340                 NaN            NaN  0.618991       0.512291                 NaN  0.434680                 NaN            NaN            NaN
  1384.55        500.000                 NaN   98.4548                 NaN            NaN  0.505500       0.611238                 NaN  0.428480                 NaN            NaN            NaN
  1383.14        500.000                 NaN   98.4759                 NaN            NaN  0.602912       0.498719                 NaN  0.422433                 NaN            NaN            NaN
  1381.72        500.000                 NaN   98.4939                 NaN            NaN  0.493090       0.596125                 NaN  0.416835                 NaN            NaN            NaN
  1380.31        500.000                 NaN   98.5123                 NaN            NaN  0.487817       0.588201                 NaN  0.411645                 NaN            NaN            NaN
  1378.89        500.000                 NaN   98.5354                 NaN            NaN  0.479724       0.580060                 NaN  0.404850                 NaN            NaN            NaN
  1377.48        500.000                 NaN   98.5507                 NaN            NaN  0.574534       0.474542                 NaN  0.400254                 NaN            NaN            NaN
  1376.07        500.000                 NaN   98.5680                 NaN            NaN  0.470090       0.566923                 NaN  0.395003                 NaN            NaN            NaN
  1374.65        500.000                 NaN   98.5837                 NaN            NaN  0.464833       0.561093                 NaN  0.390407                 NaN            NaN            NaN
  1373.24        500.000                 NaN   98.6046                 NaN            NaN  0.553504       0.457743                 NaN  0.384201                 NaN            NaN            NaN
  1371.83        500.000                 NaN   98.6192                 NaN            NaN  0.547754       0.453026                 NaN  0.380031                 NaN            NaN            NaN
  1370.41        500.000                 NaN   98.6350                 NaN            NaN  0.447626       0.542065                 NaN  0.375317                 NaN            NaN            NaN
  1369.00        500.000                 NaN   98.6516                 NaN            NaN  0.535504       0.442537                 NaN  0.370360                 NaN            NaN            NaN
  1367.58        500.000                 NaN   98.6659                 NaN            NaN  0.438218       0.529912                 NaN  0.365930                 NaN            NaN            NaN
  1366.17        500.000                 NaN   98.6813                 NaN            NaN  0.433003       0.524378                 NaN  0.361293                 NaN            NaN            NaN
  1364.76        500.000                 NaN   98.6945                 NaN            NaN  0.428657       0.519660                 NaN  0.357226                 NaN            NaN            NaN
  1363.34        500.000                 NaN   98.7095                 NaN            NaN  0.514200       0.423542                 NaN  0.352749                 NaN            NaN            NaN
  1361.93        500.000                 NaN   98.7221                 NaN            NaN  0.509346       0.419689                 NaN  0.348815                 NaN            NaN            NaN
  1360.52        500.000                 NaN   98.7365                 NaN            NaN  0.503941       0.414979                 NaN  0.344556                 NaN            NaN            NaN
  1359.10        500.000                 NaN   98.7497                 NaN            NaN  0.499442       0.410300                 NaN  0.340587                 NaN            NaN            NaN
  1357.69        500.000                 NaN   98.7635                 NaN            NaN  0.493653       0.406376                 NaN  0.336464                 NaN            NaN            NaN
  1356.27        500.000                 NaN   98.7727                 NaN            NaN  0.491049       0.402959                 NaN  0.333321                 NaN            NaN            NaN
  1354.86        500.000                 NaN   98.7873                 NaN            NaN  0.485796       0.397810                 NaN  0.329117                 NaN            NaN            NaN
  1353.45        500.000                 NaN   98.7979                 NaN            NaN  0.483216       0.392980                 NaN  0.325875                 NaN            NaN            NaN
  1352.03        500.000                 NaN   98.8105                 NaN            NaN  0.477830       0.389803                 NaN  0.321848                 NaN            NaN            NaN
  1350.62        500.000                 NaN   98.8208                 NaN            NaN  0.473246       0.387189                 NaN  0.318803                 NaN            NaN            NaN
  1349.20        500.000                 NaN   98.8316                 NaN            NaN  0.382613       0.470416                 NaN  0.315329                 NaN            NaN            NaN
  1347.79        500.000                 NaN   98.8432                 NaN            NaN  0.466707       0.378325                 NaN  0.311794                 NaN            NaN            NaN
  1346.38        500.000                 NaN   98.8527                 NaN            NaN  0.463030       0.375154                 NaN  0.309084                 NaN            NaN            NaN
  1344.96        500.000                 NaN   98.8630                 NaN            NaN  0.460718       0.370667                 NaN  0.305625                 NaN            NaN            NaN
  1343.55        500.000                 NaN   98.8715                 NaN            NaN  0.457315       0.368279                 NaN  0.302900                 NaN            NaN            NaN
  1342.14        500.000                 NaN   98.8834                 NaN            NaN  0.363602       0.453491                 NaN  0.299461                 NaN            NaN            NaN
  1340.72        500.000                 NaN   98.8938                 NaN            NaN  0.360532       0.449747                 NaN  0.295963                 NaN            NaN            NaN
  1339.31        500.000                 NaN   98.9018                 NaN            NaN  0.357404       0.447195                 NaN  0.293568                 NaN            NaN            NaN
  1337.89        500.000                 NaN   98.9105                 NaN            NaN  0.353899       0.444846                 NaN  0.290763                 NaN            NaN            NaN
  1336.48        500.000                 NaN   98.9203                 NaN            NaN  0.350322       0.441513                 NaN  0.287823                 NaN            NaN            NaN
  1335.07        500.000                 NaN   98.9276                 NaN            NaN  0.439974       0.347039                 NaN  0.285342                 NaN            NaN            NaN
  1333.65        500.000                 NaN   98.9368                 NaN            NaN  0.437228       0.343393                 NaN  0.282549                 NaN            NaN            NaN
  1332.24        500.000                 NaN   98.9453                 NaN            NaN  0.340166       0.434654                 NaN  0.279884                 NaN            NaN            NaN
  1330.83        500.000                 NaN   98.9526                 NaN            NaN  0.337445       0.432528                 NaN  0.277443                 NaN            NaN            NaN
  1329.41        500.000                 NaN   98.9610                 NaN            NaN  0.334082       0.430005                 NaN  0.274912                 NaN            NaN            NaN
  1328.00        500.000                 NaN   98.9683                 NaN            NaN  0.330277       0.428860                 NaN  0.272557                 NaN            NaN            NaN
  1326.58        500.000                 NaN   98.9770                 NaN            NaN  0.327289       0.425704                 NaN  0.270052                 NaN            NaN            NaN
  1325.17        500.000                 NaN   98.9844                 NaN            NaN  0.323721       0.424358                 NaN  0.267491                 NaN            NaN            NaN
  1323.76        500.000                 NaN   98.9899                 NaN            NaN  0.320686       0.423840                 NaN  0.265617                 NaN            NaN            NaN
  1322.34        500.000                 NaN   98.9960                 NaN            NaN  0.317894       0.422591                 NaN  0.263553                 NaN            NaN            NaN
  1320.93        500.000                 NaN   99.0045                 NaN            NaN  0.312870       0.421571                 NaN  0.261083                 NaN            NaN            NaN
  1319.52        500.000                 NaN   99.0101                 NaN            NaN  0.309371       0.421399                 NaN  0.259132                 NaN            NaN            NaN
  1318.10        500.000                 NaN   99.0153                 NaN            NaN  0.423120       0.304271                 NaN  0.257290                 NaN            NaN            NaN
  1316.69        500.000                 NaN   99.0217                 NaN            NaN  0.423149       0.299883                 NaN  0.255260                 NaN            NaN            NaN
  1315.27        500.000                 NaN   99.0283                 NaN            NaN  0.421431       0.297028                 NaN  0.253246                 NaN            NaN            NaN
  1313.86        500.000                 NaN   99.0527       0.130770                 NaN  0.209862E-001  0.535590                 NaN  0.259990                 NaN            NaN            NaN
  1312.45        500.000                 NaN   99.0528       0.160129                 NaN  0.524029                 NaN            NaN  0.263008                 NaN            NaN            NaN
  1311.03        500.000                 NaN   99.0625       0.157077                 NaN  0.520551                 NaN            NaN  0.259871                 NaN            NaN            NaN
  1309.62        500.000                 NaN   99.0700       0.150176                 NaN  0.522856                 NaN            NaN  0.256946                 NaN            NaN            NaN
  1308.21        500.000                 NaN   99.0793       0.152233                 NaN  0.514403                 NaN            NaN  0.254089                 NaN            NaN            NaN
  1306.79        500.000                 NaN   99.0882       0.148789                 NaN  0.511743                 NaN            NaN  0.251273                 NaN            NaN            NaN
  1305.38        500.000                 NaN   99.0953       0.154650                 NaN  0.500824                 NaN            NaN  0.249191                 NaN            NaN            NaN
  1303.96        500.000                 NaN   99.1050       0.146532                 NaN  0.502890                 NaN            NaN  0.245558                 NaN            NaN            NaN
  1302.55        500.000                 NaN   99.1112       0.141730                 NaN  0.503887                 NaN            NaN  0.243196                 NaN            NaN            NaN
  1301.14        500.000                 NaN   99.1195       0.141096                 NaN  0.498846                 NaN            NaN  0.240524                 NaN            NaN            NaN
  1299.72        500.000                 NaN   99.1256       0.134703                 NaN  0.501621                 NaN            NaN  0.238040                 NaN            NaN            NaN
  1298.31        500.000                 NaN   99.1355       0.137417                 NaN  0.491563                 NaN            NaN  0.235553                 NaN            NaN            NaN
  1296.89        500.000                 NaN   99.1421       0.131985                 NaN  0.493237                 NaN            NaN  0.232674                 NaN            NaN            NaN
  1295.48        500.000                 NaN   99.1503       0.133167                 NaN  0.486166                 NaN            NaN  0.230404                 NaN            NaN            NaN
  1294.07        500.000                 NaN   99.1446       0.128648                 NaN  0.488561                 NaN            NaN  0.230843       0.736426E-002            NaN            NaN
  1292.65        500.000                 NaN   99.0797       0.116690                 NaN  0.510447                 NaN            NaN  0.244492       0.486744E-001            NaN            NaN
  1291.24        500.000                 NaN   99.0900       0.118212                 NaN  0.502104                 NaN            NaN  0.241716       0.480075E-001            NaN            NaN
  1289.83        500.000                 NaN   99.1034       0.114398                 NaN  0.497688                 NaN            NaN  0.237637       0.468321E-001            NaN            NaN
  1288.41        500.000                 NaN   99.1130       0.113068                 NaN  0.492254                 NaN            NaN  0.235486       0.462206E-001            NaN            NaN
  1287.00        500.000                 NaN   99.1273       0.115362                 NaN  0.481297                 NaN            NaN  0.230881       0.451967E-001            NaN            NaN
  1285.58        500.000                 NaN   99.1356       0.113152                 NaN  0.477974                 NaN            NaN  0.228763       0.444744E-001            NaN            NaN
  1284.17        500.000                 NaN   99.1460       0.112377                 NaN  0.472487                 NaN            NaN  0.225556       0.436151E-001            NaN            NaN
  1282.76        500.000                 NaN   99.1571       0.111499                 NaN  0.466029                 NaN            NaN  0.222481       0.428435E-001            NaN            NaN
  1281.34        500.000                 NaN   99.1668       0.112531                 NaN  0.458506                 NaN            NaN  0.220034       0.421771E-001            NaN            NaN
  1279.93        500.000                 NaN   99.1790       0.106786                 NaN  0.457181                 NaN            NaN  0.216035       0.410223E-001            NaN            NaN
  1278.52        500.000                 NaN   99.1869       0.109520                 NaN  0.449059                 NaN            NaN  0.213952       0.405314E-001            NaN            NaN
  1277.10        500.000                 NaN   99.1991       0.104125                 NaN  0.446853                 NaN            NaN  0.210491       0.394714E-001            NaN            NaN
  1275.69        500.000                 NaN   99.2083       0.102155                 NaN  0.443039                 NaN            NaN  0.207855       0.386821E-001            NaN            NaN
  1274.27        500.000                 NaN   99.2190       0.100390                 NaN  0.437792                 NaN            NaN  0.204942       0.379030E-001            NaN            NaN
  1272.86        500.000                 NaN   99.2280       0.984694E-001            NaN  0.434179                 NaN            NaN  0.202221       0.371097E-001            NaN            NaN
  1271.45        500.000                 NaN   99.2378       0.971065E-001            NaN  0.429232                 NaN            NaN  0.199473       0.363757E-001            NaN            NaN
  1270.03        500.000                 NaN   99.2468       0.936044E-001            NaN  0.427288                 NaN            NaN  0.196825       0.355241E-001            NaN            NaN
  1268.62        500.000                 NaN   99.2564       0.933648E-001            NaN  0.421145                 NaN            NaN  0.194187       0.348685E-001            NaN            NaN
  1267.21        500.000                 NaN   94.9607       0.196214                 NaN   1.42229                 NaN            NaN  0.656050       0.160123        2.60465                 NaN
  1265.79        500.000                 NaN   94.3191       0.187777                 NaN   1.58934                 NaN            NaN  0.720240       0.175638        3.00788                 NaN
  1264.38        500.000                 NaN   94.6362       0.170427                 NaN   1.51737                 NaN            NaN  0.681205       0.163998        2.83077                 NaN
  1262.96        500.000                 NaN   94.9303       0.153605                 NaN   1.44985                 NaN            NaN  0.644968       0.153310        2.66797                 NaN
  1261.55        500.000                 NaN   95.1859       0.149902                 NaN   1.37912                 NaN            NaN  0.613118       0.144492        2.52743                 NaN
  1260.14        500.000                 NaN   95.4270       0.118221                 NaN   1.34354                 NaN            NaN  0.583268       0.134682        2.39331                 NaN
  1258.72        500.000                 NaN   95.6440       0.109412                 NaN   1.28847                 NaN            NaN  0.555967       0.126925        2.27524                 NaN
  1257.31        500.000                 NaN   95.8435       0.991325E-001            NaN   1.23990                 NaN            NaN  0.530827       0.119671        2.16696                 NaN
