|6.6.6
Archiving\03_Data\eqfrac/QFM_m2/TAY13/TAY13_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm           
  1518.46        2500.00                 NaN   99.3849       0.562790       0.522686E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.96        2500.00                 NaN   99.6010       0.364994       0.339672E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.47        2500.00                 NaN   99.4971       0.459382       0.435214E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.97        2500.00                 NaN   99.5018       0.455988       0.422023E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.48        2500.00                 NaN   99.5021       0.457930       0.399799E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.99        2500.00                 NaN   99.5064       0.454267       0.393081E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.49        2500.00                 NaN   99.5100       0.450402       0.395486E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.00        2500.00                 NaN   99.5116       0.448811       0.395713E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.50        2500.00                 NaN   99.3493       0.606183       0.445319E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.01        2500.00                 NaN   99.7802       0.203660       0.161285E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.52        2500.00                 NaN   99.4179       0.540964       0.411404E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.02        2500.00                 NaN   99.5224       0.443312       0.343152E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.53        2500.00                 NaN   99.5259       0.440405       0.336975E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.03        2500.00                 NaN   99.5281       0.438730       0.332071E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.54        2500.00                 NaN   99.5284       0.438435       0.331430E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.04        2500.00                 NaN   99.5361       0.432366       0.315149E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.55        2500.00                 NaN   99.5346       0.435878       0.294753E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.06        2500.00                 NaN   99.6014       0.373110       0.254930E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.56        2500.00                 NaN   99.4193       0.241933       0.437668E-001            NaN            NaN  0.294959                 NaN            NaN            NaN            NaN
  1490.07        2500.00                 NaN   99.4139       0.107293                 NaN            NaN            NaN  0.478775                 NaN            NaN            NaN            NaN
  1488.57        2500.00                 NaN   99.1809                 NaN            NaN            NaN            NaN  0.819068                 NaN            NaN            NaN            NaN
  1487.08        2500.00                 NaN   99.8011                 NaN            NaN            NaN            NaN  0.198947                 NaN            NaN            NaN            NaN
  1485.59        2500.00                 NaN   99.2398                 NaN            NaN            NaN            NaN  0.760163                 NaN            NaN            NaN            NaN
  1484.09        2500.00                 NaN   99.4058                 NaN            NaN            NaN            NaN  0.594167                 NaN            NaN            NaN            NaN
  1482.60        2500.00                 NaN   99.3522                 NaN            NaN            NaN            NaN  0.647835                 NaN            NaN            NaN            NaN
  1481.10        2500.00                 NaN   99.5233                 NaN            NaN            NaN            NaN  0.476655                 NaN            NaN            NaN            NaN
  1479.61        2500.00                 NaN   99.3341                 NaN            NaN            NaN            NaN  0.665864                 NaN            NaN            NaN            NaN
  1478.12        2500.00                 NaN   99.3974                 NaN  0.142032E-003            NaN            NaN  0.602475                 NaN            NaN            NaN            NaN
  1476.62        2500.00                 NaN   99.3961                 NaN            NaN            NaN            NaN  0.603891                 NaN            NaN            NaN            NaN
  1475.13        2500.00                 NaN   99.3897                 NaN            NaN            NaN            NaN  0.610263                 NaN            NaN            NaN            NaN
  1473.63        2500.00                 NaN   99.3831                 NaN            NaN            NaN            NaN  0.616941                 NaN            NaN            NaN            NaN
  1472.14        2500.00                 NaN   99.3776                 NaN            NaN            NaN            NaN  0.622448                 NaN            NaN            NaN            NaN
  1470.64        2500.00                 NaN   99.1830                 NaN            NaN            NaN            NaN  0.406213       0.410800                 NaN            NaN            NaN
  1469.15        2500.00                 NaN   99.1187                 NaN            NaN            NaN            NaN  0.574645       0.306646                 NaN            NaN            NaN
  1467.66        2500.00                 NaN   99.1016                 NaN            NaN            NaN            NaN  0.585997       0.312423                 NaN            NaN            NaN
  1466.16        2500.00                 NaN   99.1232                 NaN            NaN            NaN            NaN  0.572166       0.304643                 NaN            NaN            NaN
  1464.67        2500.00                 NaN   99.1274                 NaN            NaN            NaN            NaN  0.302994       0.569640                 NaN            NaN            NaN
  1463.17        2500.00                 NaN   99.1454                 NaN            NaN            NaN            NaN  0.558765       0.295813                 NaN            NaN            NaN
  1461.68        2500.00                 NaN   99.1272                 NaN            NaN            NaN            NaN  0.570955       0.301888                 NaN            NaN            NaN
  1460.19        2500.00                 NaN   99.1478                 NaN            NaN            NaN            NaN  0.557059       0.295109                 NaN            NaN            NaN
  1458.69        2500.00                 NaN   99.1528                 NaN            NaN            NaN            NaN  0.552723       0.294514                 NaN            NaN            NaN
  1457.20        2500.00                 NaN   99.1539                 NaN            NaN            NaN            NaN  0.553835       0.292307                 NaN            NaN            NaN
  1455.70        2500.00                 NaN   99.1694                 NaN            NaN            NaN            NaN  0.287728       0.542894                 NaN            NaN            NaN
  1454.21        2500.00                 NaN   99.1727                 NaN            NaN            NaN            NaN  0.287305       0.540011                 NaN            NaN            NaN
  1452.72        2500.00                 NaN   99.1768                 NaN            NaN            NaN            NaN  0.538563       0.284681                 NaN            NaN            NaN
  1451.22        2500.00                 NaN   99.1825                 NaN            NaN            NaN            NaN  0.282877       0.534664                 NaN            NaN            NaN
  1449.73        2500.00                 NaN   99.1875                 NaN            NaN            NaN            NaN  0.280722       0.531797                 NaN            NaN            NaN
  1448.23        2500.00                 NaN   99.1936                 NaN            NaN            NaN            NaN  0.526894       0.279513                 NaN            NaN            NaN
  1446.74        2500.00                 NaN   99.1979                 NaN            NaN            NaN            NaN  0.524971       0.277109                 NaN            NaN            NaN
  1445.24        2500.00                 NaN   99.2042                 NaN            NaN            NaN            NaN  0.274825       0.520950                 NaN            NaN            NaN
  1443.75        2500.00                 NaN   99.2085                 NaN            NaN            NaN            NaN  0.517814       0.273695                 NaN            NaN            NaN
  1442.26        2500.00                 NaN   99.2140                 NaN            NaN            NaN            NaN  0.514922       0.271125                 NaN            NaN            NaN
  1440.76        2500.00                 NaN   99.2186                 NaN            NaN            NaN            NaN  0.269578       0.511834                 NaN            NaN            NaN
  1439.27        2500.00                 NaN   99.2239                 NaN            NaN            NaN            NaN  0.267602       0.508536                 NaN            NaN            NaN
  1437.77        2500.00                 NaN   99.2275                 NaN            NaN            NaN            NaN  0.506171       0.266285                 NaN            NaN            NaN
  1436.28        2500.00                 NaN   99.2330                 NaN            NaN            NaN            NaN  0.503428       0.263621                 NaN            NaN            NaN
  1434.79        2500.00                 NaN   99.2375                 NaN            NaN            NaN            NaN  0.262313       0.500177                 NaN            NaN            NaN
  1433.29        2500.00                 NaN   99.2422                 NaN            NaN            NaN            NaN  0.260523       0.497292                 NaN            NaN            NaN
  1431.80        2500.00                 NaN   99.2468                 NaN            NaN            NaN            NaN  0.494542       0.258617                 NaN            NaN            NaN
  1430.30        2500.00                 NaN   99.2501                 NaN            NaN            NaN            NaN  0.256849       0.493013                 NaN            NaN            NaN
  1428.81        2500.00                 NaN   99.2553                 NaN  0.442130E-002            NaN            NaN  0.248857       0.491376                 NaN            NaN            NaN
  1427.32        2500.00                 NaN   98.5344                 NaN  0.156556                 NaN            NaN  0.547330       0.391825       0.369845                 NaN            NaN
  1425.82        2500.00                 NaN   98.1450                 NaN  0.233521                 NaN            NaN  0.476030       0.577510       0.567923                 NaN            NaN
  1424.33        2500.00                 NaN   98.2061                 NaN  0.228297                 NaN            NaN  0.459225       0.558004       0.548421                 NaN            NaN
  1422.83        2500.00                 NaN   98.2252                 NaN  0.231862                 NaN            NaN  0.555924       0.443380       0.543622                 NaN            NaN
  1421.34        2500.00                 NaN   98.2545                 NaN  0.231384                 NaN            NaN  0.548239       0.430680       0.535188                 NaN            NaN
  1419.84        2500.00                 NaN   98.2839                 NaN  0.229220                 NaN            NaN  0.539675       0.421451       0.525734                 NaN            NaN
  1418.35        2500.00                 NaN   98.3103                 NaN  0.228924                 NaN            NaN  0.533807       0.408904       0.518016                 NaN            NaN
  1416.86        2500.00                 NaN   98.3392                 NaN  0.227775                 NaN            NaN  0.398535       0.525204       0.509307                 NaN            NaN
  1415.36        2500.00                 NaN   98.3635                 NaN  0.227572                 NaN            NaN  0.387405       0.519583       0.501939                 NaN            NaN
  1413.87        2500.00                 NaN   98.3917                 NaN  0.226121                 NaN            NaN  0.510738       0.378192       0.493216                 NaN            NaN
  1412.37        2500.00                 NaN   98.4099                 NaN  0.225110                 NaN            NaN  0.508991       0.368850       0.487115                 NaN            NaN
  1410.88        2500.00                 NaN   98.4463                 NaN  0.223743                 NaN            NaN  0.357039       0.496444       0.476518                 NaN            NaN
  1409.39        2500.00                 NaN   98.4627                 NaN  0.224643                 NaN            NaN  0.492706       0.347991       0.471951                 NaN            NaN
  1407.89        2500.00                 NaN   98.4876                 NaN  0.222110                 NaN            NaN  0.340071       0.486331       0.463867                 NaN            NaN
  1406.40        2500.00                 NaN   98.5115                 NaN  0.221713                 NaN            NaN  0.479700       0.330317       0.456808                 NaN            NaN
  1404.90        2500.00                 NaN   98.5321                 NaN  0.221003                 NaN            NaN  0.322181       0.474199       0.450542                 NaN            NaN
  1403.41        2500.00                 NaN   98.5538                 NaN  0.220478                 NaN            NaN  0.468681       0.312912       0.444092                 NaN            NaN
  1401.92        2500.00                 NaN   98.5740                 NaN  0.219653                 NaN            NaN  0.305297       0.463224       0.437826                 NaN            NaN
  1400.42        2500.00                 NaN   98.5952                 NaN  0.218779                 NaN            NaN  0.297019       0.457948       0.431056                 NaN            NaN
  1398.93        2500.00                 NaN   98.6145                 NaN  0.217706                 NaN            NaN  0.452692       0.289966       0.425115                 NaN            NaN
  1397.43        2500.00                 NaN   98.6344                 NaN  0.217256                 NaN            NaN  0.447317       0.281933       0.419136                 NaN            NaN
  1395.94        2500.00                 NaN   98.6533                 NaN  0.216423                 NaN            NaN  0.442664       0.274296       0.413307                 NaN            NaN
  1394.45        2500.00                 NaN   98.6724                 NaN  0.215598                 NaN            NaN  0.267239       0.437333       0.407393                 NaN            NaN
  1392.95        2500.00                 NaN   98.6896                 NaN  0.214911                 NaN            NaN  0.260529       0.432922       0.402049                 NaN            NaN
  1391.46        2500.00                 NaN   98.7074                 NaN  0.214154                 NaN            NaN  0.428412       0.253473       0.396517                 NaN            NaN
  1389.96        2500.00                 NaN   98.7248                 NaN  0.213260                 NaN            NaN  0.247053       0.423681       0.391170                 NaN            NaN
  1388.47        2500.00                 NaN   98.7420                 NaN  0.212484                 NaN            NaN  0.419174       0.240593       0.385790                 NaN            NaN
  1386.97        2500.00                 NaN   98.1499                 NaN  0.310865                 NaN            NaN  0.614884       0.358002       0.566371                 NaN            NaN
  1385.48        2500.00                 NaN   99.3866                 NaN  0.112867                 NaN            NaN  0.209780       0.102432       0.188369                 NaN            NaN
  1383.99        2500.00                 NaN   98.7913                 NaN  0.209513                 NaN            NaN  0.406491       0.222458       0.370257                 NaN            NaN
  1382.49        2500.00                 NaN   98.8061                 NaN  0.208945                 NaN            NaN  0.402221       0.217043       0.365709                 NaN            NaN
  1381.00        2500.00                 NaN   98.8212                 NaN  0.208420                 NaN            NaN  0.398626       0.210706       0.361066                 NaN            NaN
  1379.50        2500.00                 NaN   98.8353                 NaN  0.207725                 NaN            NaN  0.205353       0.395025       0.356568                 NaN            NaN
  1378.01        2500.00                 NaN   98.8510                 NaN  0.206015                 NaN            NaN  0.201096       0.390374       0.351545                 NaN            NaN
  1376.52        2500.00                 NaN   98.8646                 NaN  0.205692                 NaN            NaN  0.195175       0.387148       0.347378                 NaN            NaN
  1375.02        2500.00                 NaN   98.8786                 NaN  0.204415                 NaN            NaN  0.190844       0.383313       0.342824                 NaN            NaN
  1373.53        2500.00                 NaN   98.8927                 NaN  0.203633                 NaN            NaN  0.379605       0.185630       0.338480                 NaN            NaN
  1372.03        2500.00                 NaN   98.9058                 NaN  0.202687                 NaN            NaN  0.181349       0.375934       0.334258                 NaN            NaN
  1370.54        2500.00                 NaN   98.9193                 NaN  0.201488                 NaN            NaN  0.176742       0.372461       0.330010                 NaN            NaN
  1369.05        2500.00                 NaN   98.9319                 NaN  0.200443                 NaN            NaN  0.172667       0.369024       0.325956                 NaN            NaN
  1367.55        2500.00                 NaN   98.9440                 NaN  0.199494                 NaN            NaN  0.366621       0.167835       0.322018                 NaN            NaN
  1366.06        2500.00                 NaN   98.9569                 NaN  0.197977                 NaN            NaN  0.165196       0.362024       0.317861                 NaN            NaN
  1364.56        2500.00                 NaN   98.9686                 NaN  0.197194                 NaN            NaN  0.359321       0.160780       0.314127                 NaN            NaN
  1363.07        2500.00                 NaN   98.9731                 NaN  0.195461                 NaN            NaN  0.160908       0.357645       0.312843                 NaN            NaN
  1361.57        2500.00                 NaN   98.9994                 NaN  0.194827                 NaN            NaN  0.352006       0.149784       0.303951                 NaN            NaN
  1360.08        2500.00                 NaN   99.0041                 NaN  0.192821                 NaN            NaN  0.151378       0.349150       0.302591                 NaN            NaN
  1358.59        2500.00                 NaN   99.0159                 NaN  0.192872                 NaN            NaN  0.146140       0.346119       0.298957                 NaN            NaN
  1357.09        2500.00                 NaN   99.0267                 NaN  0.190667                 NaN            NaN  0.342857       0.144462       0.295293                 NaN            NaN
  1355.60        2500.00                 NaN   99.0375                 NaN  0.189392                 NaN            NaN  0.339890       0.141448       0.291774                 NaN            NaN
  1354.10        2500.00                 NaN   99.0483                 NaN  0.188365                 NaN            NaN  0.337286       0.137637       0.288421                 NaN            NaN
  1352.61        2500.00                 NaN   99.0594                 NaN  0.186383                 NaN            NaN  0.333526       0.136167       0.284562                 NaN            NaN
  1351.12        2500.00                 NaN   99.0687                 NaN  0.185141                 NaN            NaN  0.331010       0.133585       0.281550                 NaN            NaN
  1349.62        2500.00                 NaN   99.0744                 NaN  0.186017                 NaN            NaN  0.130253       0.328956       0.280398                 NaN            NaN
  1348.13        2500.00                 NaN   99.0938                 NaN  0.179338                 NaN            NaN  0.323501       0.130782       0.272572                 NaN            NaN
  1346.63        2500.00                 NaN   99.0975                 NaN  0.180454                 NaN            NaN  0.127438       0.322686       0.271956                 NaN            NaN
  1345.14        2500.00                 NaN   99.1086                 NaN  0.178659                 NaN            NaN  0.125419       0.319052       0.268243                 NaN            NaN
  1343.65        2500.00                 NaN   99.1162                 NaN  0.176840                 NaN            NaN  0.124365       0.317047       0.265563                 NaN            NaN
  1342.15        2500.00                 NaN   99.1267                 NaN  0.176043                 NaN            NaN  0.313612       0.121329       0.262329                 NaN            NaN
  1340.66        2500.00                 NaN   99.1364                 NaN  0.173340                 NaN            NaN  0.309658       0.121559       0.259072                 NaN            NaN
  1339.16        2500.00                 NaN   99.1447                 NaN  0.171403                 NaN            NaN  0.307642       0.120208       0.256076                 NaN            NaN
  1337.67        2500.00                 NaN   99.1529                 NaN  0.169830                 NaN            NaN  0.305140       0.118840       0.253307                 NaN            NaN
  1336.17        2500.00                 NaN   99.1612                 NaN  0.167748                 NaN            NaN  0.302523       0.118090       0.250449                 NaN            NaN
  1334.68        2500.00                 NaN   99.1702                 NaN  0.166048                 NaN            NaN  0.299026       0.117256       0.247509                 NaN            NaN
  1333.19        2500.00                 NaN   99.1790                 NaN  0.164848                 NaN            NaN  0.296784       0.114745       0.244635                 NaN            NaN
  1331.69        2500.00                 NaN   99.1871                 NaN  0.162157                 NaN            NaN  0.115437       0.293539       0.241719                 NaN            NaN
  1330.20        2500.00                 NaN   99.1936                 NaN  0.160298                 NaN            NaN  0.291882       0.114779       0.239449                 NaN            NaN
  1328.70        2500.00                 NaN   99.2027                 NaN  0.157513                 NaN            NaN  0.115861       0.287741       0.236232                 NaN            NaN
  1327.21        2500.00                 NaN   99.2103                 NaN  0.155726                 NaN            NaN  0.284994       0.115211       0.233729                 NaN            NaN
  1325.72        2500.00                 NaN   99.2174                 NaN  0.153446                 NaN            NaN  0.282138       0.115754       0.231227                 NaN            NaN
  1324.22        2500.00                 NaN   99.2251                 NaN  0.151467                 NaN            NaN  0.114938       0.279919       0.228587                 NaN            NaN
  1322.73        2500.00                 NaN   99.2310                 NaN  0.153475                 NaN            NaN  0.283401       0.105173       0.226937                 NaN            NaN
  1321.23        2500.00                 NaN   99.2402                 NaN  0.142673                 NaN            NaN  0.269598       0.124816       0.222694                 NaN            NaN
  1319.74        2500.00                 NaN   99.2473                 NaN  0.144708                 NaN            NaN  0.115987       0.271050       0.220958                 NaN            NaN
  1318.25        2500.00                 NaN   99.2538                 NaN  0.142231                 NaN            NaN  0.268170       0.117182       0.218629                 NaN            NaN
  1316.75        2500.00                 NaN   99.2592                 NaN  0.144612                 NaN            NaN  0.269954       0.108832       0.217409                 NaN            NaN
  1315.26        2500.00                 NaN   99.2672                 NaN  0.132824                 NaN            NaN  0.258141       0.128712       0.213156                 NaN            NaN
  1313.76        2500.00                 NaN   99.2733                 NaN  0.134572                 NaN            NaN  0.259593       0.120884       0.211608                 NaN            NaN
  1312.27        2500.00                 NaN   99.2789                 NaN  0.132441                 NaN            NaN  0.255918       0.122946       0.209756                 NaN            NaN
  1310.77        2500.00                 NaN   99.0961                 NaN  0.147044                 NaN            NaN  0.129650       0.281999       0.230237       0.114952                 NaN
  1309.28        2500.00                 NaN   82.8222                 NaN   1.63483                 NaN            NaN   2.75209       0.653293        2.22218        9.91543                 NaN
  1307.79        2500.00                 NaN   84.3208                 NaN   1.50224                 NaN            NaN   2.61728       0.520155        2.03769        9.00184                 NaN
  1306.29        2500.00                 NaN   85.5781                 NaN   1.39001                 NaN            NaN   2.51001       0.401908        1.88271        8.23728                 NaN
  1304.80        2500.00                 NaN   86.6388                 NaN   1.29376                 NaN            NaN   2.43694       0.287492        1.75165        7.59134                 NaN
  1303.30        2500.00                 NaN   87.5504                 NaN   1.20953                 NaN            NaN   2.38415       0.179418        1.63907        7.03739                 NaN
  1301.81        2500.00                 NaN   88.3374                 NaN   1.13722                 NaN            NaN   2.36479       0.594941E-001   1.54175        6.55938                 NaN
  1300.32        2500.00                 NaN   88.8863                 NaN  0.975088                 NaN            NaN  0.640810        1.79763        1.48357        6.21657                 NaN
  1298.82        2500.00                 NaN   89.9304                 NaN  0.919603                 NaN            NaN   2.25106                 NaN   1.33173        5.56717                 NaN
  1297.33        2500.00                 NaN   90.1795                 NaN  0.955115                 NaN            NaN   2.11254                 NaN   1.31349        5.43938                 NaN
  1295.83        2500.00                 NaN   90.6580                 NaN  0.878614                 NaN            NaN   2.07057                 NaN   1.25388        5.13894                 NaN
  1294.34        2500.00                 NaN   91.0971                 NaN  0.822482                 NaN            NaN   2.00981                 NaN   1.19956        4.87100                 NaN
  1292.85        2500.00                 NaN   86.6778                 NaN   1.14567                 NaN            NaN   2.78776                 NaN   1.76812        7.27729       0.343391     
  1291.35        2500.00                 NaN   83.0940                 NaN   1.45993                 NaN            NaN   3.36407                 NaN   2.22285        9.22990       0.629214     
  1289.86        2500.00                 NaN   83.8512                 NaN   1.45063                 NaN            NaN   3.16752                 NaN   2.12062        8.81397       0.596078     
  1288.36        2500.00                 NaN   84.4037                 NaN   1.43658                 NaN            NaN   3.02933                 NaN   2.04469        8.51517       0.570553     
  1286.87        2500.00                 NaN   59.3793                 NaN   3.89547                 NaN            NaN   7.70707                 NaN   5.40489        22.1157        1.49758     
  1285.38        2500.00                 NaN   99.6686                 NaN            NaN            NaN            NaN            NaN            NaN  0.645405E-001  0.265014       0.180080E-002
  1283.88        2500.00                 NaN   98.8258                 NaN  0.154791                 NaN            NaN  0.233046                 NaN            NaN  0.756297       0.300896E-001
  1282.39        2500.00       0.755715        86.0671                 NaN  0.900713                 NaN            NaN   2.87558                 NaN   1.71548        7.68539                 NaN
  1280.89        2500.00        1.17793        79.7321                 NaN   1.23614                 NaN            NaN   4.07415                 NaN   2.50726        11.2724                 NaN
  1279.40        2500.00        1.79282        68.4042                 NaN   1.90669                 NaN            NaN   6.20495                 NaN   3.84000        17.8513                 NaN
  1277.90        2500.00        5.27138       0.595703E-005            NaN  0.707113E-001   5.17617       0.745555E-005   13.7811        6.54266        12.2677        56.8903                 NaN
  1276.41        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1274.92        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1273.42        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
