|6.6.6
Archiving\03_Data\eqfracLP/QFM_m1.75/TIS/TIS_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         O(HP)          an             ilm            San(TH)        q             
  1385.68        500.000        98.7926       0.248915       0.442249                 NaN            NaN  0.168770       0.347419                 NaN            NaN            NaN
  1384.61        500.000        98.8050       0.439170       0.242142                 NaN            NaN  0.169712       0.343979                 NaN            NaN            NaN
  1383.55        500.000        98.8167       0.234608       0.436867                 NaN            NaN  0.170970       0.340855                 NaN            NaN            NaN
  1382.48        500.000        98.8289       0.228166       0.433771                 NaN            NaN  0.171768       0.337402                 NaN            NaN            NaN
  1381.41        500.000        98.8408       0.221014       0.431188                 NaN            NaN  0.172794       0.334166                 NaN            NaN            NaN
  1380.34        500.000        98.8421       0.432684       0.205986                 NaN            NaN  0.182607       0.336620                 NaN            NaN            NaN
  1379.27        500.000        98.8777       0.417538       0.216687                 NaN            NaN  0.166116       0.321926                 NaN            NaN            NaN
  1378.20        500.000        98.8746       0.423236       0.201970                 NaN            NaN  0.175428       0.324750                 NaN            NaN            NaN
  1377.13        500.000        98.8852       0.421177       0.194892                 NaN            NaN  0.176773       0.321979                 NaN            NaN            NaN
  1376.07        500.000        98.8927       0.418262       0.197069                 NaN            NaN  0.172564       0.319428                 NaN            NaN            NaN
  1375.00        500.000        98.9101       0.417748       0.174115                 NaN            NaN  0.182690       0.315322                 NaN            NaN            NaN
  1373.93        500.000        98.9179       0.177357       0.413410                 NaN            NaN  0.178674       0.312685                 NaN            NaN            NaN
  1372.86        500.000        98.9269       0.171386       0.411867                 NaN            NaN  0.179609       0.310241                 NaN            NaN            NaN
  1371.79        500.000        98.9344       0.411101       0.164739                 NaN            NaN  0.181462       0.308279                 NaN            NaN            NaN
  1370.72        500.000        98.9487       0.406075       0.162007                 NaN            NaN  0.179559       0.303643                 NaN            NaN            NaN
  1369.66        500.000        98.9568       0.154525       0.405106                 NaN            NaN  0.181798       0.301762                 NaN            NaN            NaN
  1368.59        500.000        98.9651       0.149168       0.403973                 NaN            NaN  0.182292       0.299417                 NaN            NaN            NaN
  1367.52        500.000        98.9731       0.144973       0.402220                 NaN            NaN  0.182725       0.297013                 NaN            NaN            NaN
  1366.45        500.000        98.9863       0.138025       0.398665                 NaN            NaN  0.183624       0.293432                 NaN            NaN            NaN
  1365.38        500.000        98.9933       0.397485       0.131770                 NaN            NaN  0.185570       0.291840                 NaN            NaN            NaN
  1364.31        500.000        99.0055       0.393184       0.130216                 NaN            NaN  0.183456       0.287688                 NaN            NaN            NaN
  1363.25        500.000        99.0120       0.393309       0.123495                 NaN            NaN  0.185094       0.286084                 NaN            NaN            NaN
  1362.18        500.000        99.0202       0.391272       0.119414                 NaN            NaN  0.185425       0.283688                 NaN            NaN            NaN
  1361.11        500.000        99.0219       0.395527       0.108981                 NaN            NaN  0.189820       0.283799                 NaN            NaN            NaN
  1360.04        500.000        99.0438       0.382759       0.114876                 NaN            NaN  0.182468       0.276118                 NaN            NaN            NaN
  1358.97        500.000        99.0442       0.104304       0.387334                 NaN            NaN  0.187302       0.276818                 NaN            NaN            NaN
  1357.90        500.000        99.0545       0.383202       0.102665                 NaN            NaN  0.186082       0.273582                 NaN            NaN            NaN
  1356.84        500.000        99.0597       0.383652       0.968304E-001            NaN            NaN  0.187502       0.272273                 NaN            NaN            NaN
  1355.77        500.000        99.0697       0.380812       0.935803E-001            NaN            NaN  0.186753       0.269173                 NaN            NaN            NaN
  1354.70        500.000        99.0781       0.378517       0.892641E-001            NaN            NaN  0.187279       0.266865                 NaN            NaN            NaN
  1353.63        500.000        98.7043       0.537065       0.118704                 NaN            NaN  0.265158       0.374746                 NaN            NaN            NaN
  1352.56        500.000        99.4652       0.521865E-001  0.221230                 NaN            NaN  0.108233       0.153132                 NaN            NaN            NaN
  1351.49        500.000        99.1002       0.783907E-001  0.373827                 NaN            NaN  0.187358       0.260262                 NaN            NaN            NaN
  1350.43        500.000        99.1076       0.372065       0.743296E-001            NaN            NaN  0.187821       0.258194                 NaN            NaN            NaN
  1349.36        500.000        99.1146       0.719229E-001  0.370443                 NaN            NaN  0.187122       0.255941                 NaN            NaN            NaN
  1348.29        500.000        99.1216       0.679784E-001  0.368964                 NaN            NaN  0.187590       0.253918                 NaN            NaN            NaN
  1347.22        500.000        99.1275       0.659573E-001  0.367283                 NaN            NaN  0.187175       0.252048                 NaN            NaN            NaN
  1346.15        500.000        99.1354       0.365169       0.624489E-001            NaN            NaN  0.187115       0.249892                 NaN            NaN            NaN
  1345.08        500.000        99.1447       0.594340E-001  0.362791                 NaN            NaN  0.186217       0.246850                 NaN            NaN            NaN
  1344.02        500.000        99.1498       0.561856E-001  0.362404                 NaN            NaN  0.186269       0.245350                 NaN            NaN            NaN
  1342.95        500.000        99.1568       0.361113       0.522024E-001            NaN            NaN  0.186475       0.243423                 NaN            NaN            NaN
  1341.88        500.000        99.1629       0.359572       0.507396E-001            NaN            NaN  0.185492       0.241320                 NaN            NaN            NaN
  1340.81        500.000        99.1691       0.357782       0.487125E-001            NaN            NaN  0.185057       0.239371                 NaN            NaN            NaN
  1339.74        500.000        99.1753       0.355805       0.471025E-001            NaN            NaN  0.184388       0.237416                 NaN            NaN            NaN
  1338.67        500.000        99.1816       0.354784       0.441709E-001            NaN            NaN  0.183985       0.235431                 NaN            NaN            NaN
  1337.61        500.000        99.1869       0.353836       0.414511E-001            NaN            NaN  0.183929       0.233922                 NaN            NaN            NaN
  1336.54        500.000        99.1935       0.352497       0.393443E-001            NaN            NaN  0.182930       0.231734                 NaN            NaN            NaN
  1335.47        500.000        99.1979       0.387033E-001  0.351226                 NaN            NaN  0.181926       0.230249                 NaN            NaN            NaN
  1334.40        500.000        99.2082       0.373433E-001  0.347279                 NaN            NaN  0.180279       0.226906                 NaN            NaN            NaN
  1333.33        500.000        99.2105       0.347907       0.349310E-001            NaN            NaN  0.180373       0.226302                 NaN            NaN            NaN
  1332.26        500.000        99.2166       0.346749       0.307666E-001            NaN            NaN  0.181233       0.224675                 NaN            NaN            NaN
  1331.19        500.000        99.2250       0.352718E-001  0.342253                 NaN            NaN  0.176190       0.221303                 NaN            NaN            NaN
  1330.13        500.000        99.2285       0.342173       0.315877E-001            NaN            NaN  0.177247       0.220478                 NaN            NaN            NaN
  1329.06        500.000        99.2344       0.295407E-001  0.340964                 NaN            NaN  0.176507       0.218626                 NaN            NaN            NaN
  1327.99        500.000        99.2401       0.338853       0.286394E-001            NaN            NaN  0.175543       0.216847                 NaN            NaN            NaN
  1326.92        500.000        99.2459       0.269310E-001  0.337598                 NaN            NaN  0.174590       0.214977                 NaN            NaN            NaN
  1325.85        500.000        99.2507       0.264607E-001  0.336278                 NaN            NaN  0.173298       0.213299                 NaN            NaN            NaN
  1324.78        500.000        99.2560       0.261851E-001  0.334388                 NaN            NaN  0.171911       0.211541                 NaN            NaN            NaN
  1323.72        500.000        99.2610       0.258738E-001  0.332753                 NaN            NaN  0.170527       0.209864                 NaN            NaN            NaN
  1322.65        500.000        99.2661       0.256415E-001  0.330937                 NaN            NaN  0.169176       0.208192                 NaN            NaN            NaN
  1321.58        500.000        99.2712       0.330078       0.240133E-001            NaN            NaN  0.168206       0.206463                 NaN            NaN            NaN
  1320.51        500.000        99.2768       0.237414E-001  0.327979                 NaN            NaN  0.166820       0.204682                 NaN            NaN            NaN
  1319.44        500.000        99.2813       0.237428E-001  0.326595                 NaN            NaN  0.165242       0.203148                 NaN            NaN            NaN
  1318.37        500.000        99.2863       0.324765       0.231299E-001            NaN            NaN  0.164192       0.201573                 NaN            NaN            NaN
  1317.31        500.000        99.2910       0.322650       0.250595E-001            NaN            NaN  0.161618       0.199716                 NaN            NaN            NaN
  1316.24        500.000        99.2953       0.321685       0.240703E-001            NaN            NaN  0.160605       0.198302                 NaN            NaN            NaN
  1315.17        500.000        99.2969       0.213319E-001  0.320504                 NaN            NaN  0.162768       0.198472                 NaN            NaN            NaN
  1314.10        500.000        99.3064       0.299914E-001  0.315348                 NaN            NaN  0.154233       0.193984                 NaN            NaN            NaN
  1313.03        500.000        99.3104       0.316462       0.257733E-001            NaN            NaN  0.154452       0.192878                 NaN            NaN            NaN
  1311.96        500.000        99.3135       0.314312       0.268097E-001            NaN            NaN  0.153419       0.191984                 NaN            NaN            NaN
  1310.90        500.000        99.3181       0.313125       0.261540E-001            NaN            NaN  0.152158       0.190513                 NaN            NaN            NaN
  1309.83        500.000        99.3221       0.310438       0.289982E-001            NaN            NaN  0.149503       0.188935                 NaN            NaN            NaN
  1308.76        500.000        99.3261       0.297922E-001  0.308712                 NaN            NaN  0.147795       0.187589                 NaN            NaN            NaN
  1307.69        500.000        99.3310       0.306991       0.300805E-001            NaN            NaN  0.145993       0.185888                 NaN            NaN            NaN
  1306.62        500.000        99.3349       0.313932E-001  0.305065                 NaN            NaN  0.144047       0.184575                 NaN            NaN            NaN
  1305.55        500.000        99.3387       0.329804E-001  0.303233                 NaN            NaN  0.141922       0.183130                 NaN            NaN            NaN
  1304.49        500.000        99.3371       0.306546       0.313203E-001            NaN            NaN  0.141214       0.183833                 NaN            NaN            NaN
  1303.42        500.000        99.3515       0.354015E-001  0.298328                 NaN            NaN  0.136299       0.178430                 NaN            NaN            NaN
  1302.35        500.000        99.3498       0.381013E-001  0.297644                 NaN            NaN  0.135373       0.179038                 NaN            NaN            NaN
  1301.28        500.000        99.3542       0.295093       0.403362E-001            NaN            NaN  0.132909       0.177508                 NaN            NaN            NaN
  1300.21        500.000        99.3575       0.423489E-001  0.293162                 NaN            NaN  0.130725       0.176299                 NaN            NaN            NaN
  1299.14        500.000        99.3612       0.291172       0.441320E-001            NaN            NaN  0.128506       0.174944                 NaN            NaN            NaN
  1298.08        500.000        99.3647       0.464710E-001  0.289066                 NaN            NaN  0.126124       0.173688                 NaN            NaN            NaN
  1297.01        500.000        99.3670       0.286625       0.509081E-001            NaN            NaN  0.122964       0.172549                 NaN            NaN            NaN
  1295.94        500.000        99.3724       0.507194E-001  0.284514                 NaN            NaN  0.121484       0.170927                 NaN            NaN            NaN
  1294.87        500.000        99.3423       0.323563                 NaN            NaN            NaN  0.134440       0.177969       0.217563E-001            NaN            NaN
  1293.80        500.000        99.2997       0.337585                 NaN            NaN            NaN  0.131092       0.186497       0.451094E-001            NaN            NaN
  1292.73        500.000        99.3103       0.348351E-001  0.314128                 NaN            NaN  0.115617       0.182239       0.428806E-001            NaN            NaN
  1291.67        500.000        99.3167       0.329495                 NaN            NaN            NaN  0.128434       0.181817       0.435529E-001            NaN            NaN
  1290.60        500.000        99.3236       0.328256                 NaN            NaN            NaN  0.125547       0.179808       0.428360E-001            NaN            NaN
  1289.53        500.000        99.3292       0.327034                 NaN            NaN            NaN  0.123303       0.178208       0.422396E-001            NaN            NaN
  1288.46        500.000        99.3357       0.322605                 NaN            NaN            NaN  0.123461       0.176502       0.417091E-001            NaN            NaN
  1287.39        500.000        99.3417       0.320399                 NaN            NaN            NaN  0.121960       0.174828       0.411472E-001            NaN            NaN
  1286.32        500.000        99.3481       0.316838                 NaN            NaN            NaN  0.121294       0.173095       0.406468E-001            NaN            NaN
  1285.26        500.000        99.3542       0.314843                 NaN            NaN            NaN  0.119536       0.171377       0.400777E-001            NaN            NaN
  1284.19        500.000        99.3595       0.312562                 NaN            NaN            NaN  0.118520       0.169959       0.394412E-001            NaN            NaN
  1283.12        500.000        99.3658       0.308897                 NaN            NaN            NaN  0.117757       0.168511       0.390535E-001            NaN            NaN
  1282.05        500.000        99.3714       0.307591                 NaN            NaN            NaN  0.116289       0.166332       0.383846E-001            NaN            NaN
  1280.98        500.000        99.3770       0.304360                 NaN            NaN            NaN  0.115641       0.165081       0.379379E-001            NaN            NaN
  1279.91        500.000        99.3823       0.303081                 NaN            NaN            NaN  0.113690       0.163492       0.373897E-001            NaN            NaN
  1278.84        500.000        99.3883       0.300586                 NaN            NaN            NaN  0.112354       0.161894       0.368483E-001            NaN            NaN
  1277.78        500.000        99.3940       0.298107                 NaN            NaN            NaN  0.111155       0.160355       0.363743E-001            NaN            NaN
  1276.71        500.000        99.4001       0.293980                 NaN            NaN            NaN  0.111093       0.158858       0.359410E-001            NaN            NaN
  1275.64        500.000        99.4046       0.294585                 NaN            NaN            NaN  0.108116       0.157348       0.353292E-001            NaN            NaN
  1274.57        500.000        99.4106       0.290563                 NaN            NaN            NaN  0.108032       0.155873       0.348831E-001            NaN            NaN
  1273.50        500.000        98.1980       0.540577                 NaN            NaN            NaN  0.179068       0.292235       0.771613E-001  0.712914                 NaN
  1272.43        500.000        92.1479        1.80292                 NaN            NaN            NaN  0.526673       0.974521       0.285951        4.26204                 NaN
  1271.37        500.000        92.7502        1.69542                 NaN            NaN            NaN  0.471729       0.903286       0.261563        3.91782                 NaN
  1270.30        500.000        93.2632        1.59791                 NaN            NaN            NaN  0.429292       0.842624       0.241012        3.62595                 NaN
  1269.23        500.000        93.7096        1.52214                 NaN            NaN            NaN  0.384739       0.789330       0.222759        3.37145                 NaN
  1268.16        500.000        94.1008        1.44821                 NaN            NaN            NaN  0.350636       0.742863       0.207049        3.15045                 NaN
  1267.09        500.000        94.4431        1.36756                 NaN            NaN            NaN  0.334399       0.702008       0.194194        2.95878                 NaN
  1266.02        500.000        94.7515        1.34301                 NaN            NaN            NaN  0.278452       0.665019       0.179898        2.78215                 NaN
  1264.96        500.000        95.0240        1.26967                 NaN            NaN            NaN  0.272501       0.632161       0.170159        2.63148                 NaN
  1263.89        500.000        95.2629        1.20337       0.496392E-001            NaN            NaN  0.227835       0.603194       0.158836        2.49418                 NaN
  1262.82        500.000        95.4804       0.133643        1.09580                 NaN            NaN  0.193363       0.576779       0.148934        2.37111                 NaN
  1261.75        500.000        95.6912       0.101239        1.07244                 NaN            NaN  0.186700       0.551144       0.141346        2.25593                 NaN
  1260.68        500.000        95.8795        1.06287       0.600590E-001            NaN            NaN  0.181453       0.528069       0.134600        2.15345                 NaN
  1259.61        500.000        96.0556       0.335206E-001   1.04403                 NaN            NaN  0.174280       0.506433       0.128161        2.05802                 NaN
  1258.55        500.000        96.2148        1.03428                 NaN            NaN            NaN  0.169906       0.486862       0.122395        1.97175                 NaN
  1257.48        500.000        96.3562       0.996356                 NaN            NaN            NaN  0.165213       0.469364       0.117198        1.89567                 NaN
  1256.41        500.000        96.5067       0.971531                 NaN            NaN            NaN  0.147906       0.450292       0.110944        1.81267                 NaN
  1255.34        500.000        96.6298       0.930888                 NaN            NaN            NaN  0.149352       0.434880       0.106876        1.74822                 NaN
  1254.27        500.000        96.7469       0.911878                 NaN            NaN            NaN  0.135039       0.420242       0.101807        1.68411                 NaN
  1253.20        500.000        96.8595       0.873732                 NaN            NaN            NaN  0.137908       0.405724       0.981561E-001   1.62496                 NaN
  1252.14        500.000        96.9649       0.848671                 NaN            NaN            NaN  0.131106       0.392242       0.940745E-001   1.56898                 NaN
  1251.07        500.000        97.0639       0.819959                 NaN            NaN            NaN  0.129125       0.379578       0.905590E-001   1.51684                 NaN
  1250.00        500.000        97.1571       0.794574                 NaN            NaN            NaN  0.125976       0.367491       0.871039E-001   1.46771                 NaN
  1248.93        500.000        97.2453       0.768994                 NaN            NaN            NaN  0.124033       0.355977       0.839311E-001   1.42178                 NaN
  1247.86        500.000        97.3285       0.748020                 NaN            NaN            NaN  0.119756       0.345116       0.807291E-001   1.37788                 NaN
  1246.79        500.000        97.4085       0.727737                 NaN            NaN            NaN  0.115204       0.334670       0.776503E-001   1.33622                 NaN
  1245.73        500.000        97.4828       0.697404                 NaN            NaN            NaN  0.121090       0.324703       0.754609E-001   1.29854                 NaN
  1244.66        500.000        97.5535       0.690578                 NaN            NaN            NaN  0.107998       0.315394       0.720912E-001   1.26046                 NaN
  1243.59        500.000        97.6176       0.676046                 NaN            NaN            NaN  0.102444       0.307285       0.693283E-001   1.22732                 NaN
  1242.52        500.000        97.6911       0.650936                 NaN            NaN            NaN  0.104506       0.296662       0.672047E-001   1.18959                 NaN
  1241.45        500.000        97.7486       0.636994                 NaN            NaN            NaN  0.100387       0.289294       0.647404E-001   1.16002                 NaN
  1240.38        500.000        97.8076       0.622916                 NaN            NaN            NaN  0.962564E-001  0.281279       0.623851E-001   1.12952                 NaN
  1239.32        500.000        97.8644       0.608894                 NaN            NaN            NaN  0.927009E-001  0.273586       0.601402E-001   1.10026                 NaN
  1238.25        500.000        97.9183       0.593631                 NaN            NaN            NaN  0.907476E-001  0.266345       0.581376E-001   1.07280                 NaN
  1237.18        500.000        97.9705       0.577422                 NaN            NaN            NaN  0.904067E-001  0.259084       0.562488E-001   1.04635                 NaN
  1236.11        500.000        98.0204       0.569720                 NaN            NaN            NaN  0.831826E-001  0.252308       0.539983E-001   1.02037                 NaN
  1235.04        500.000        98.0682       0.558556                 NaN            NaN            NaN  0.794817E-001  0.245767       0.520750E-001  0.995917                 NaN
  1233.97        500.000        98.1139       0.544384                 NaN            NaN            NaN  0.790043E-001  0.239351       0.504090E-001  0.972907                 NaN
  1232.90        500.000        98.1581       0.545354                 NaN            NaN            NaN  0.655423E-001  0.233530       0.480281E-001  0.949494                 NaN
  1231.84        500.000        98.1972       0.541462                 NaN            NaN            NaN  0.581797E-001  0.228473       0.459074E-001  0.928805                 NaN
  1230.77        500.000        98.2407       0.521734                 NaN            NaN            NaN  0.646138E-001  0.221129       0.451667E-001  0.906657                 NaN
  1229.70        500.000        98.2783       0.521633                 NaN            NaN            NaN  0.536049E-001  0.216748       0.428934E-001  0.886855                 NaN
  1228.63        500.000        98.3160       0.510856                 NaN            NaN            NaN  0.523487E-001  0.211237       0.415045E-001  0.868027                 NaN
  1227.56        500.000        98.3494       0.516793                 NaN            NaN            NaN  0.388602E-001  0.206771       0.393799E-001  0.848804                 NaN
  1226.49        500.000        98.3842       0.503108                 NaN            NaN            NaN  0.404315E-001  0.201730       0.382432E-001  0.832313                 NaN
  1225.43        500.000        98.4163       0.501618                 NaN            NaN            NaN  0.337145E-001  0.197473       0.365237E-001  0.814344                 NaN
  1224.36        500.000        98.4367       0.536692                 NaN            NaN            NaN            NaN  0.194566       0.335838E-001  0.798459                 NaN
  1223.29        500.000        98.4712       0.524936                 NaN            NaN            NaN            NaN  0.189608       0.324261E-001  0.781806                 NaN
  1222.22        500.000        98.5013       0.515509                 NaN            NaN            NaN            NaN  0.185676       0.312238E-001  0.766262                 NaN
  1221.15        500.000        98.5320       0.505557                 NaN            NaN            NaN            NaN  0.181265       0.301203E-001  0.751096                 NaN
  1220.08        500.000        98.5602       0.496516                 NaN            NaN            NaN            NaN  0.177456       0.289830E-001  0.736848                 NaN
  1219.02        500.000        98.5908       0.486350                 NaN            NaN            NaN            NaN  0.173111       0.280252E-001  0.721691                 NaN
  1217.95        500.000        98.6189       0.476865                 NaN            NaN            NaN            NaN  0.168902       0.271189E-001  0.708169                 NaN
  1216.88        500.000        98.6502       0.465417                 NaN            NaN            NaN            NaN  0.165759       0.257575E-001  0.692845                 NaN
  1215.81        500.000        98.6740       0.458388                 NaN            NaN            NaN            NaN  0.161413       0.252380E-001  0.680958                 NaN
  1214.74        500.000        98.7011       0.449139                 NaN            NaN            NaN            NaN  0.157638       0.242629E-001  0.667817                 NaN
  1213.67        500.000        86.6601        1.89564                 NaN            NaN            NaN  0.274416        1.14875       0.123817        4.99486        4.90238     
  1212.61        500.000        80.9710        2.38190                 NaN            NaN            NaN  0.581095        1.61800       0.174297        7.03265        7.24110     
  1211.54        500.000        72.6952        3.81166                 NaN            NaN            NaN  0.654025        2.33996       0.223010        9.96902        10.3072     
  1210.47        500.000        99.9969       0.232930E-003  0.146442E-004            NaN            NaN  0.213924E-003  0.269750E-003  0.271098E-004  0.112651E-002  0.117105E-002
  1209.40        500.000        81.8265        2.14914                 NaN            NaN            NaN  0.567616        1.53280       0.170179        6.78032        6.97344     
  1208.33        500.000        86.6089        1.49142                 NaN            NaN            NaN  0.573570        1.13622       0.124125        4.95723        5.10852     
  1207.26        500.000        86.5098        1.74392                 NaN            NaN            NaN  0.436766        1.13516       0.118056        4.94595        5.11036     
  1206.20        500.000        71.5664        3.33886                 NaN            NaN            NaN   1.07140        2.40183       0.247246        10.4866        10.8877     
  1205.13        500.000       100.0000       0.581871E-005            NaN            NaN            NaN            NaN  0.139265E-005            NaN  0.577317E-005  0.467465E-005
  1204.06        500.000        96.3328       0.491273                 NaN            NaN            NaN  0.854716E-001  0.312149       0.295766E-001   1.35564        1.39306     
  1202.99        500.000        85.9306        1.99816                 NaN            NaN            NaN  0.262166        1.19344       0.107744        5.18426        5.32360     
  1201.92        500.000        99.9996       0.163912E-004            NaN            NaN            NaN  0.390038E-004  0.342270E-004  0.268078E-005  0.134683E-003  0.140094E-003
  1200.85        500.000        99.9992       0.117631E-003            NaN            NaN            NaN            NaN  0.611232E-004  0.722855E-005  0.292428E-003  0.298354E-003
  1199.79        500.000        79.4100        3.23836                 NaN            NaN            NaN  0.124560        1.75760       0.134980        7.57912        7.75542     
  1198.72        500.000        88.3880        1.92051                 NaN            NaN            NaN            NaN  0.983117       0.750075E-001   4.28821        4.34514     
  1197.65        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1196.58        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1195.51        500.000        81.9301        2.91754                 NaN            NaN            NaN            NaN   1.53338       0.105972        6.71450        6.79852     
  1194.44        500.000        92.6278       0.244852       0.906907                 NaN            NaN            NaN  0.612857       0.473972E-001   2.76734        2.79281     
  1193.38        500.000        79.2377        2.03486                 NaN            NaN            NaN  0.769120        1.66882       0.176288        8.03936        8.07389     
  1192.31        500.000        99.9152                 NaN            NaN            NaN            NaN  0.288990E-001  0.110250E-001            NaN            NaN  0.448661E-001
  1191.24        500.000        97.9452       0.207790       0.112587                 NaN            NaN            NaN  0.163905       0.149136E-001  0.780780       0.774802     
  1190.17        500.000        90.8917        1.12808       0.201363                 NaN            NaN            NaN  0.745897       0.497839E-001   3.53325        3.44989     
  1189.10        500.000        90.4506       0.888200       0.437032                 NaN            NaN            NaN  0.755925       0.554509E-001   3.75971        3.65310     
  1188.03        500.000        55.5186        5.68143                 NaN            NaN            NaN            NaN   3.39571       0.261419        17.9242        17.2186     
  1186.96        500.000                 NaN   2.14309        9.97119                 NaN            NaN            NaN   7.45732       0.599029        40.8300        38.9993     
  1185.90        500.000                 NaN   7.70151        4.45318                 NaN            NaN            NaN   7.48077       0.586483        40.7749        39.0031     
  1184.83        500.000                 NaN   9.88718        2.25511       0.989745E-003            NaN            NaN   7.47512       0.590629        40.7872        39.0038     
  1183.76        500.000                 NaN   1.98211        10.1391                 NaN            NaN            NaN   7.46574       0.596039        40.8172        38.9997     
  1182.69        500.000                 NaN   1.92417        10.1995                 NaN            NaN            NaN   7.46862       0.594994        40.8128        38.9999     
  1181.62        500.000                 NaN   1.86381        10.2624                 NaN            NaN            NaN   7.47153       0.593921        40.8083        39.0000     
  1180.55        500.000                 NaN   1.80074        10.3281                 NaN            NaN            NaN   7.47449       0.592820        40.8036        39.0002     
