|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2.5/TIS/TIS_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         O(HP)          O(HP)          an             ilm            San(TH)        q             
  1400.64        500.000        98.7635       0.287844       0.415511                 NaN            NaN  0.114912                 NaN  0.418265                 NaN            NaN            NaN
  1399.57        500.000        98.7807       0.279112       0.411593                 NaN            NaN  0.115649                 NaN  0.412921                 NaN            NaN            NaN
  1398.50        500.000        98.7953       0.408179       0.271951                 NaN            NaN  0.116185                 NaN  0.408348                 NaN            NaN            NaN
  1397.43        500.000        98.8100       0.404584       0.264617                 NaN            NaN  0.116974                 NaN  0.403856                 NaN            NaN            NaN
  1396.37        500.000        98.8260       0.400821       0.256485                 NaN            NaN  0.117781                 NaN  0.398957                 NaN            NaN            NaN
  1395.30        500.000        98.8393       0.398115       0.249491                 NaN            NaN  0.118349                 NaN  0.394721                 NaN            NaN            NaN
  1394.23        500.000        98.8539       0.242553       0.394495                 NaN            NaN  0.118846                 NaN  0.390213                 NaN            NaN            NaN
  1393.16        500.000        98.8614       0.237816       0.392161                 NaN            NaN  0.120172                 NaN  0.388492                 NaN            NaN            NaN
  1392.09        500.000        98.8867       0.226115       0.388919                 NaN            NaN  0.119266                 NaN  0.379005                 NaN            NaN            NaN
  1391.02        500.000        98.8948       0.222767       0.384440                 NaN            NaN  0.120675                 NaN  0.377345                 NaN            NaN            NaN
  1389.96        500.000        98.9098       0.381574       0.214950                 NaN            NaN  0.121122                 NaN  0.372546                 NaN            NaN            NaN
  1388.89        500.000        98.9210       0.378814       0.208578                 NaN            NaN  0.122192                 NaN  0.369386                 NaN            NaN            NaN
  1387.82        500.000        98.9348       0.211324       0.373301                 NaN            NaN  0.116906                 NaN  0.363649                 NaN            NaN            NaN
  1386.75        500.000        98.9468       0.376036       0.187174                 NaN            NaN  0.127896                 NaN  0.362091                 NaN            NaN            NaN
  1385.68        500.000        98.9545       0.190714       0.371258                 NaN            NaN  0.124435                 NaN  0.359128                 NaN            NaN            NaN
  1384.61        500.000        98.9737       0.197305       0.363502                 NaN            NaN  0.115045                 NaN  0.350485                 NaN            NaN            NaN
  1383.55        500.000        98.9838       0.369125       0.164381                 NaN            NaN  0.131684                 NaN  0.351005                 NaN            NaN            NaN
  1382.48        500.000        98.9879       0.173702       0.365581                 NaN            NaN  0.124572                 NaN  0.348222                 NaN            NaN            NaN
  1381.41        500.000        99.0087       0.359632       0.165589                 NaN            NaN  0.124669                 NaN  0.341392                 NaN            NaN            NaN
  1380.34        500.000        99.0178       0.357406       0.160572                 NaN            NaN  0.125567                 NaN  0.338639                 NaN            NaN            NaN
  1379.27        500.000        99.0284       0.155452       0.355350                 NaN            NaN  0.125630                 NaN  0.335152                 NaN            NaN            NaN
  1378.20        500.000        99.0366       0.149749       0.354560                 NaN            NaN  0.126379                 NaN  0.332703                 NaN            NaN            NaN
  1377.13        500.000        99.0475       0.142939       0.352767                 NaN            NaN  0.127345                 NaN  0.329482                 NaN            NaN            NaN
  1376.07        500.000        99.0620       0.346942       0.141496                 NaN            NaN  0.125483                 NaN  0.324095                 NaN            NaN            NaN
  1375.00        500.000        99.0698       0.346559       0.134520                 NaN            NaN  0.127117                 NaN  0.322053                 NaN            NaN            NaN
  1373.93        500.000        99.0799       0.344089       0.130023                 NaN            NaN  0.127249                 NaN  0.318788                 NaN            NaN            NaN
  1372.86        500.000        99.0902       0.123842       0.342568                 NaN            NaN  0.127772                 NaN  0.315582                 NaN            NaN            NaN
  1371.79        500.000        99.1002       0.119818       0.340135                 NaN            NaN  0.127708                 NaN  0.312148                 NaN            NaN            NaN
  1370.72        500.000        99.1091       0.337851       0.115763                 NaN            NaN  0.127931                 NaN  0.309336                 NaN            NaN            NaN
  1369.66        500.000        99.1179       0.336748       0.110482                 NaN            NaN  0.128387                 NaN  0.306444                 NaN            NaN            NaN
  1368.59        500.000        99.1281       0.106471       0.334330                 NaN            NaN  0.128039                 NaN  0.303012                 NaN            NaN            NaN
  1367.52        500.000        99.1379       0.332278       0.101156                 NaN            NaN  0.128574                 NaN  0.300062                 NaN            NaN            NaN
  1366.45        500.000        99.1463       0.974759E-001  0.330544                 NaN            NaN  0.128476                 NaN  0.297170                 NaN            NaN            NaN
  1365.38        500.000        99.1557       0.329009       0.921509E-001            NaN            NaN  0.128908                 NaN  0.294209                 NaN            NaN            NaN
  1364.31        500.000        99.1638       0.326639       0.894955E-001            NaN            NaN  0.128627                 NaN  0.291447                 NaN            NaN            NaN
  1363.25        500.000        99.1719       0.324506       0.860090E-001            NaN            NaN  0.128737                 NaN  0.288837                 NaN            NaN            NaN
  1362.18        500.000        99.1816       0.816023E-001  0.322668                 NaN            NaN  0.128561                 NaN  0.285605                 NaN            NaN            NaN
  1361.11        500.000        99.1894       0.768276E-001  0.321627                 NaN            NaN  0.128941                 NaN  0.283209                 NaN            NaN            NaN
  1360.04        500.000        99.1981       0.737804E-001  0.319766                 NaN            NaN  0.128272                 NaN  0.280054                 NaN            NaN            NaN
  1358.97        500.000        99.2049       0.319553       0.683164E-001            NaN            NaN  0.129189                 NaN  0.278002                 NaN            NaN            NaN
  1357.90        500.000        99.2140       0.315723       0.677616E-001            NaN            NaN  0.127787                 NaN  0.274746                 NaN            NaN            NaN
  1356.84        500.000        99.2209       0.646992E-001  0.314717                 NaN            NaN  0.127496                 NaN  0.272213                 NaN            NaN            NaN
  1355.77        500.000        99.2290       0.611090E-001  0.312879                 NaN            NaN  0.127464                 NaN  0.269581                 NaN            NaN            NaN
  1354.70        500.000        99.2342       0.579909E-001  0.312097                 NaN            NaN  0.127742                 NaN  0.267981                 NaN            NaN            NaN
  1353.63        500.000        99.2448       0.553530E-001  0.309150                 NaN            NaN  0.126587                 NaN  0.264113                 NaN            NaN            NaN
  1352.56        500.000        99.2506       0.513054E-001  0.308730                 NaN            NaN  0.127056                 NaN  0.262266                 NaN            NaN            NaN
  1351.49        500.000        99.2587       0.306720       0.483768E-001            NaN            NaN  0.126646                 NaN  0.259512                 NaN            NaN            NaN
  1350.43        500.000        99.2658       0.461181E-001  0.304896                 NaN            NaN  0.126130                 NaN  0.257038                 NaN            NaN            NaN
  1349.36        500.000        99.2718       0.425986E-001  0.304350                 NaN            NaN  0.126166                 NaN  0.255072                 NaN            NaN            NaN
  1348.29        500.000        99.2808       0.409078E-001  0.301269                 NaN            NaN  0.125144                 NaN  0.251846                 NaN            NaN            NaN
  1347.22        500.000        99.2865       0.300025       0.385291E-001            NaN            NaN  0.125032                 NaN  0.249937                 NaN            NaN            NaN
  1346.15        500.000        99.2903       0.301007       0.337946E-001            NaN            NaN  0.125948                 NaN  0.248990                 NaN            NaN            NaN
  1345.08        500.000        99.3036       0.294482       0.356238E-001            NaN            NaN  0.122766                 NaN  0.243570                 NaN            NaN            NaN
  1344.02        500.000        99.3081       0.294915       0.306346E-001            NaN            NaN  0.123762                 NaN  0.242582                 NaN            NaN            NaN
  1342.95        500.000        99.3136       0.293818       0.295176E-001            NaN            NaN  0.122716                 NaN  0.240315                 NaN            NaN            NaN
  1341.88        500.000        99.3192       0.281605E-001  0.292056                 NaN            NaN  0.122183                 NaN  0.238416                 NaN            NaN            NaN
  1340.81        500.000        99.3265       0.248831E-001  0.291045                 NaN            NaN  0.121765                 NaN  0.235798                 NaN            NaN            NaN
  1339.74        500.000        99.3306       0.219317E-001  0.290919                 NaN            NaN  0.122021                 NaN  0.234561                 NaN            NaN            NaN
  1338.67        500.000        99.3391       0.286464       0.241898E-001            NaN            NaN  0.119221                 NaN  0.230999                 NaN            NaN            NaN
  1337.61        500.000        99.3444       0.286178       0.185102E-001            NaN            NaN  0.120929                 NaN  0.229967                 NaN            NaN            NaN
  1336.54        500.000        99.3500       0.286256       0.177658E-001            NaN            NaN  0.118786                 NaN  0.227235                 NaN            NaN            NaN
  1335.47        500.000        99.3580       0.181797E-001  0.282210                 NaN            NaN  0.117416                 NaN  0.224178                 NaN            NaN            NaN
  1334.40        500.000        99.3607       0.153989E-001  0.283192                 NaN            NaN  0.117335                 NaN  0.223350                 NaN            NaN            NaN
  1333.33        500.000        99.3682       0.149500E-001  0.279793                 NaN            NaN  0.116314                 NaN  0.220717                 NaN            NaN            NaN
  1332.26        500.000        99.3738       0.278323       0.139880E-001            NaN            NaN  0.115313                 NaN  0.218557                 NaN            NaN            NaN
  1331.19        500.000        99.3772       0.278381       0.118456E-001            NaN            NaN  0.115117                 NaN  0.217480                 NaN            NaN            NaN
  1330.13        500.000        99.3853       0.275785       0.113296E-001            NaN            NaN  0.113369                 NaN  0.214198                 NaN            NaN            NaN
  1329.06        500.000        99.3900       0.105204E-001  0.274223                 NaN            NaN  0.112688                 NaN  0.212539                 NaN            NaN            NaN
  1327.99        500.000        99.3948       0.100392E-001  0.272720                 NaN            NaN  0.111679                 NaN  0.210728                 NaN            NaN            NaN
  1326.92        500.000        99.3997       0.271414       0.964661E-002            NaN            NaN  0.110407                 NaN  0.208797                 NaN            NaN            NaN
  1325.85        500.000        99.4050       0.269908       0.879071E-002            NaN            NaN  0.109482                 NaN  0.206845                 NaN            NaN            NaN
  1324.78        500.000        99.4091       0.268204       0.949566E-002            NaN            NaN  0.108010                 NaN  0.205168                 NaN            NaN            NaN
  1323.72        500.000        99.4145       0.267747       0.718989E-002            NaN            NaN  0.107438                 NaN  0.203127                 NaN            NaN            NaN
  1322.65        500.000        99.4198       0.807602E-002  0.265221                 NaN            NaN  0.105841                 NaN  0.201040                 NaN            NaN            NaN
  1321.58        500.000        99.4233       0.267736                 NaN            NaN            NaN  0.108249                 NaN  0.200733                 NaN            NaN            NaN
  1320.51        500.000        99.4327       0.105530E-001  0.259264                 NaN            NaN  0.101781                 NaN  0.195669                 NaN            NaN            NaN
  1319.44        500.000        99.4340       0.682673E-002  0.260877                 NaN            NaN  0.102632                 NaN  0.195687                 NaN            NaN            NaN
  1318.37        500.000        99.4383       0.802685E-002  0.258938                 NaN            NaN  0.100926                 NaN  0.193855                 NaN            NaN            NaN
  1317.31        500.000        99.4361       0.256672                 NaN            NaN            NaN  0.110471                 NaN  0.196778                 NaN            NaN            NaN
  1316.24        500.000        99.4546       0.260867                 NaN            NaN            NaN  0.970365E-001            NaN  0.187541                 NaN            NaN            NaN
  1315.17        500.000        99.4492       0.311209E-001  0.245385                 NaN            NaN  0.869170E-001            NaN  0.187358                 NaN            NaN            NaN
  1314.10        500.000        99.4568       0.252122       0.926832E-002            NaN            NaN  0.953281E-001            NaN  0.186457                 NaN            NaN            NaN
  1313.03        500.000        99.4603       0.251597       0.651504E-002            NaN            NaN  0.959009E-001            NaN  0.185734                 NaN            NaN            NaN
  1311.96        500.000        99.4653       0.248689       0.114533E-001            NaN            NaN  0.918096E-001            NaN  0.182735                 NaN            NaN            NaN
  1310.90        500.000        99.4689       0.937013E-002  0.248048                 NaN            NaN  0.918612E-001            NaN  0.181804                 NaN            NaN            NaN
  1309.83        500.000        99.4731       0.246354       0.100148E-001            NaN            NaN  0.904464E-001            NaN  0.180130                 NaN            NaN            NaN
  1308.76        500.000        99.4767       0.118008E-001  0.244421                 NaN            NaN  0.885822E-001            NaN  0.178511                 NaN            NaN            NaN
  1307.69        500.000        99.4809       0.242232       0.126095E-001            NaN            NaN  0.873261E-001            NaN  0.176923                 NaN            NaN            NaN
  1306.62        500.000        99.4843       0.136442E-001  0.241048                 NaN            NaN  0.855839E-001            NaN  0.175405                 NaN            NaN            NaN
  1305.55        500.000        99.4881       0.239345       0.147469E-001            NaN            NaN  0.840166E-001            NaN  0.173819                 NaN            NaN            NaN
  1304.49        500.000        99.4917       0.238079       0.151398E-001            NaN            NaN  0.827021E-001            NaN  0.172371                 NaN            NaN            NaN
  1303.42        500.000        99.4953       0.177587E-001  0.235465                 NaN            NaN  0.807061E-001            NaN  0.170802                 NaN            NaN            NaN
  1302.35        500.000        99.4999       0.243529                 NaN            NaN            NaN  0.864225E-001            NaN  0.170175                 NaN            NaN            NaN
  1301.28        500.000        99.5005       0.393193E-001  0.222875                 NaN            NaN  0.701145E-001            NaN  0.167206                 NaN            NaN            NaN
  1300.21        500.000        99.5055       0.230122       0.220330E-001            NaN            NaN  0.758372E-001            NaN  0.166498                 NaN            NaN            NaN
  1299.14        500.000        99.5092       0.229290E-001  0.228624                 NaN            NaN  0.742878E-001            NaN  0.164989                 NaN            NaN            NaN
  1298.08        500.000        99.5123       0.227088       0.242625E-001            NaN            NaN  0.726672E-001            NaN  0.163638                 NaN            NaN            NaN
  1297.01        500.000        99.5155       0.224336       0.271441E-001            NaN            NaN  0.707401E-001            NaN  0.162243                 NaN            NaN            NaN
  1295.94        500.000        99.5190       0.272077E-001  0.223471                 NaN            NaN  0.694568E-001            NaN  0.160879                 NaN            NaN            NaN
  1294.87        500.000        99.5218       0.306996E-001  0.220485                 NaN            NaN  0.674094E-001            NaN  0.159604                 NaN            NaN            NaN
  1293.80        500.000        99.5241       0.220720       0.304420E-001            NaN            NaN  0.661279E-001            NaN  0.158624                 NaN            NaN            NaN
  1292.73        500.000        99.5283       0.216719       0.345389E-001            NaN            NaN  0.637191E-001            NaN  0.156766                 NaN            NaN            NaN
  1291.67        500.000        99.5291       0.213905       0.395697E-001            NaN            NaN  0.612802E-001            NaN  0.156183                 NaN            NaN            NaN
  1290.60        500.000        99.5340       0.384933E-001  0.212859                 NaN            NaN  0.604087E-001            NaN  0.154251                 NaN            NaN            NaN
  1289.53        500.000        99.5360       0.209533       0.429562E-001            NaN            NaN  0.581802E-001            NaN  0.153360                 NaN            NaN            NaN
  1288.46        500.000        99.5386       0.450754E-001  0.207688                 NaN            NaN  0.564243E-001            NaN  0.152199                 NaN            NaN            NaN
  1287.39        500.000        99.5410       0.205211       0.484591E-001            NaN            NaN  0.543023E-001            NaN  0.151066                 NaN            NaN            NaN
  1286.32        500.000        99.5434       0.201865       0.523567E-001            NaN            NaN  0.523693E-001            NaN  0.150021                 NaN            NaN            NaN
  1285.26        500.000        99.5463       0.200057       0.535942E-001            NaN            NaN  0.511197E-001            NaN  0.148976                 NaN            NaN            NaN
  1284.19        500.000        99.5490       0.196927       0.581026E-001            NaN            NaN  0.484723E-001            NaN  0.147510                 NaN            NaN            NaN
  1283.12        500.000        99.5505       0.613379E-001  0.194542                 NaN            NaN  0.467543E-001            NaN  0.146819                 NaN            NaN            NaN
  1282.05        500.000        99.5563       0.216652       0.237662E-001            NaN            NaN  0.568184E-001            NaN  0.146414                 NaN            NaN            NaN
  1280.98        500.000        99.5523       0.162888       0.109843                 NaN            NaN  0.310206E-001            NaN  0.143993                 NaN            NaN            NaN
  1279.91        500.000        99.5575       0.184938       0.729316E-001            NaN            NaN  0.409030E-001            NaN  0.143751                 NaN            NaN            NaN
  1278.84        500.000        99.5595       0.181576       0.772482E-001            NaN            NaN  0.388897E-001            NaN  0.142815                 NaN            NaN            NaN
  1277.78        500.000        99.5615       0.179926       0.789061E-001            NaN            NaN  0.374534E-001            NaN  0.142000       0.232514E-003            NaN            NaN
  1276.71        500.000        99.5424       0.244894                 NaN            NaN            NaN  0.459693E-001            NaN  0.149045       0.176993E-001            NaN            NaN
  1275.64        500.000        99.5469       0.242068                 NaN            NaN            NaN  0.459513E-001            NaN  0.147571       0.174685E-001            NaN            NaN
  1274.57        500.000        93.3342        1.42073                 NaN            NaN            NaN  0.181544                 NaN  0.869860       0.138964        4.05475                 NaN
  1273.50        500.000        93.3319        1.47692                 NaN            NaN            NaN  0.136903                 NaN  0.867416       0.134659        4.05225                 NaN
  1272.43        500.000        93.8013        1.40621                 NaN            NaN            NaN  0.108132                 NaN  0.810194       0.123192        3.75101                 NaN
  1271.37        500.000        94.2220        1.32051                 NaN            NaN            NaN  0.983945E-001            NaN  0.758270       0.114030        3.48677                 NaN
  1270.30        500.000        94.5933        1.24323                 NaN            NaN            NaN  0.904877E-001            NaN  0.712365       0.106048        3.25461                 NaN
  1269.23        500.000        94.9180        1.18203                 NaN            NaN            NaN  0.787642E-001            NaN  0.672053       0.987247E-001   3.05047                 NaN
  1268.16        500.000        95.2142        1.11273                 NaN            NaN            NaN  0.774622E-001            NaN  0.635062       0.927150E-001   2.86781                 NaN
  1267.09        500.000        95.4718        1.06122                 NaN            NaN            NaN  0.703422E-001            NaN  0.602678       0.870565E-001   2.70691                 NaN
  1266.02        500.000        95.7066        1.01018                 NaN            NaN            NaN  0.661833E-001            NaN  0.573090       0.820847E-001   2.56190                 NaN
  1264.96        500.000        95.9189       0.970687                 NaN            NaN            NaN  0.572883E-001            NaN  0.546217       0.772645E-001   2.42965                 NaN
  1263.89        500.000        96.1181       0.915391                 NaN            NaN            NaN  0.626515E-001            NaN  0.520831       0.735875E-001   2.30940                 NaN
  1262.82        500.000        96.2933       0.878017                 NaN            NaN            NaN  0.586942E-001            NaN  0.498353       0.698274E-001   2.20177                 NaN
  1261.75        500.000        96.4561       0.847271                 NaN            NaN            NaN  0.519426E-001            NaN  0.477480       0.661287E-001   2.10112                 NaN
  1260.68        500.000        96.6066       0.813571                 NaN            NaN            NaN  0.495009E-001            NaN  0.458009       0.629410E-001   2.00936                 NaN
  1259.61        500.000        96.7479       0.766536                 NaN            NaN            NaN  0.588574E-001            NaN  0.439532       0.606724E-001   1.92650                 NaN
  1258.55        500.000        96.8713       0.750100                 NaN            NaN            NaN  0.488387E-001            NaN  0.423351       0.575356E-001   1.84891                 NaN
  1257.48        500.000        96.9929       0.723230                 NaN            NaN            NaN  0.459174E-001            NaN  0.407455       0.548791E-001   1.77566                 NaN
  1256.41        500.000        97.0971       0.697401                 NaN            NaN            NaN  0.460048E-001            NaN  0.393591       0.528032E-001   1.71310                 NaN
  1255.34        500.000        97.2144       0.667701                 NaN            NaN            NaN  0.469080E-001            NaN  0.377965       0.504041E-001   1.64262                 NaN
  1254.27        500.000        97.3047       0.650265                 NaN            NaN            NaN  0.428638E-001            NaN  0.365922       0.483307E-001   1.58787                 NaN
  1253.20        500.000        97.3961       0.626850                 NaN            NaN            NaN  0.435097E-001            NaN  0.353589       0.464807E-001   1.53344                 NaN
  1252.14        500.000        97.4815       0.606228                 NaN            NaN            NaN  0.430128E-001            NaN  0.341994       0.446765E-001   1.48262                 NaN
  1251.07        500.000        97.5639       0.586213                 NaN            NaN            NaN  0.424622E-001            NaN  0.330832       0.429476E-001   1.43369                 NaN
  1250.00        500.000        97.6387       0.571366                 NaN            NaN            NaN  0.396020E-001            NaN  0.320532       0.412174E-001   1.38861                 NaN
  1248.93        500.000        97.7115       0.550781                 NaN            NaN            NaN  0.415338E-001            NaN  0.310458       0.398090E-001   1.34588                 NaN
  1247.86        500.000        97.7807       0.536177                 NaN            NaN            NaN  0.392811E-001            NaN  0.300938       0.382263E-001   1.30472                 NaN
  1246.79        500.000        97.8461       0.524835                 NaN            NaN            NaN  0.352095E-001            NaN  0.291946       0.366329E-001   1.26532                 NaN
  1245.73        500.000        97.9083       0.510961                 NaN            NaN            NaN  0.336972E-001            NaN  0.283260       0.352417E-001   1.22851                 NaN
  1244.66        500.000        97.9674       0.496674                 NaN            NaN            NaN  0.333444E-001            NaN  0.274872       0.339706E-001   1.19370                 NaN
  1243.59        500.000        98.0233       0.484094                 NaN            NaN            NaN  0.320140E-001            NaN  0.267042       0.327155E-001   1.16079                 NaN
  1242.52        500.000        98.0774       0.472692                 NaN            NaN            NaN  0.302952E-001            NaN  0.259414       0.314789E-001   1.12872                 NaN
  1241.45        500.000        98.1286       0.463852                 NaN            NaN            NaN  0.269652E-001            NaN  0.252204       0.301897E-001   1.09819                 NaN
  1240.38        500.000        98.1773       0.450116                 NaN            NaN            NaN  0.280255E-001            NaN  0.245120       0.292426E-001   1.07021                 NaN
  1239.32        500.000        98.2246       0.443178                 NaN            NaN            NaN  0.242235E-001            NaN  0.238373       0.280120E-001   1.04160                 NaN
  1238.25        500.000        98.2710       0.429893                 NaN            NaN            NaN  0.249646E-001            NaN  0.231687       0.271220E-001   1.01536                 NaN
  1237.18        500.000        98.3101       0.425047                 NaN            NaN            NaN  0.218497E-001            NaN  0.226113       0.259756E-001  0.990934                 NaN
  1236.11        500.000        98.3539       0.415770                 NaN            NaN            NaN  0.196212E-001            NaN  0.219827       0.250030E-001  0.965872                 NaN
  1235.04        500.000        98.3937       0.407469                 NaN            NaN            NaN  0.184862E-001            NaN  0.213890       0.240975E-001  0.942319                 NaN
  1233.97        500.000        98.4308       0.403356                 NaN            NaN            NaN  0.145044E-001            NaN  0.208594       0.230545E-001  0.919669                 NaN
  1232.90        500.000        98.4677       0.395294                 NaN            NaN            NaN  0.131671E-001            NaN  0.203244       0.222316E-001  0.898389                 NaN
  1231.84        500.000        98.5103       0.378445                 NaN            NaN            NaN  0.167599E-001            NaN  0.197073       0.215782E-001  0.875871                 NaN
  1230.77        500.000        98.5276       0.392698                 NaN            NaN            NaN  0.495824E-002            NaN  0.194294       0.203830E-001  0.860078                 NaN
  1229.70        500.000        98.5686       0.384790                 NaN            NaN            NaN  0.168361E-002            NaN  0.188501       0.194349E-001  0.837037                 NaN
  1228.63        500.000        98.5992       0.378213                 NaN            NaN            NaN  0.620946E-003            NaN  0.183986       0.187452E-001  0.819188                 NaN
  1227.56        500.000        98.6296       0.371397                 NaN            NaN            NaN            NaN            NaN  0.179606       0.179882E-001  0.801395                 NaN
  1226.49        500.000        98.6612       0.362831                 NaN            NaN            NaN            NaN            NaN  0.175387       0.172656E-001  0.783358                 NaN
  1225.43        500.000        98.6891       0.355998                 NaN            NaN            NaN            NaN            NaN  0.171418       0.165788E-001  0.766954                 NaN
  1224.36        500.000        98.7191       0.347867                 NaN            NaN            NaN            NaN            NaN  0.167109       0.159999E-001  0.749924                 NaN
  1223.29        500.000        98.7477       0.340180                 NaN            NaN            NaN            NaN            NaN  0.163103       0.153748E-001  0.733666                 NaN
  1222.22        500.000        98.7748       0.332743                 NaN            NaN            NaN  0.296349E-005            NaN  0.158981       0.148394E-001  0.718610                 NaN
  1221.15        500.000        98.8023       0.325167                 NaN            NaN            NaN            NaN            NaN  0.154849       0.143425E-001  0.703353                 NaN
  1220.08        500.000        98.8283       0.318278                 NaN            NaN            NaN            NaN            NaN  0.151797       0.136189E-001  0.687964                 NaN
  1219.02        500.000        98.8527       0.311623                 NaN            NaN            NaN            NaN            NaN  0.147977       0.131922E-001  0.674482                 NaN
  1217.95        500.000        98.8801       0.303740                 NaN            NaN            NaN            NaN            NaN  0.143460       0.128499E-001  0.659865                 NaN
  1216.88        500.000        98.8999       0.299270                 NaN            NaN            NaN            NaN            NaN  0.140674       0.123305E-001  0.647794                 NaN
  1215.81        500.000        98.9284       0.290366                 NaN            NaN            NaN            NaN            NaN  0.136148       0.120057E-001  0.633124                 NaN
  1214.74        500.000        83.9010        1.96163                 NaN            NaN            NaN            NaN            NaN   1.35842       0.697525E-001   6.31047        6.39871     
  1213.67        500.000        83.0105        2.05037                 NaN            NaN            NaN  0.206733E-001            NaN   1.43014       0.712117E-001   6.61897        6.79818     
  1212.61        500.000        72.6979        2.41123                 NaN            NaN            NaN  0.570784                 NaN   2.37126       0.119129        10.8345        10.9953     
  1211.54        500.000        88.6822       0.819601                 NaN            NaN            NaN  0.318815       0.152153E-001  0.886039       0.585104E-001   4.24966        4.97000     
  1210.47        500.000        94.2447       0.883059                 NaN            NaN            NaN            NaN            NaN  0.445551       0.340888E-001   2.26811        2.12451     
  1209.40        500.000        29.0270        7.09234                 NaN            NaN            NaN  0.804068                 NaN   5.76405       0.315662        27.6569        29.3400     
  1208.33        500.000        98.8718       0.223814                 NaN            NaN            NaN            NaN            NaN            NaN  0.130884E-002  0.903119                 NaN
  1207.26        500.000        99.9397                 NaN            NaN            NaN            NaN  0.133714E-001            NaN            NaN  0.469086E-001            NaN            NaN
  1206.20        500.000       100.0000                 NaN            NaN            NaN            NaN  0.243025E-004            NaN            NaN            NaN            NaN            NaN
  1205.13        500.000        99.9951                 NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.491518E-002            NaN            NaN
  1204.06        500.000        99.9905                 NaN            NaN            NaN            NaN  0.950150E-002            NaN            NaN            NaN            NaN            NaN
  1202.99        500.000        99.9064                 NaN            NaN            NaN            NaN  0.662004E-001            NaN  0.273962E-001            NaN            NaN            NaN
  1201.92        500.000        99.8722                 NaN            NaN            NaN            NaN  0.506178E-001            NaN  0.396329E-001  0.375721E-001            NaN            NaN
