|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2.5/TIS/TIS_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         O(HP)          O(HP)          an             ilm            San(TH)        q             
  1310.90        500.000        99.3444       0.123577E-001  0.320830                 NaN            NaN  0.137140                 NaN  0.185237                 NaN            NaN            NaN
  1309.83        500.000        99.3489       0.318980       0.132205E-001            NaN            NaN  0.135224                 NaN  0.183668                 NaN            NaN            NaN
  1308.76        500.000        99.3527       0.155956E-001  0.316870                 NaN            NaN  0.132649                 NaN  0.182154                 NaN            NaN            NaN
  1307.69        500.000        99.3573       0.314362       0.166806E-001            NaN            NaN  0.130952                 NaN  0.180668                 NaN            NaN            NaN
  1306.62        500.000        99.3610       0.180681E-001  0.313205                 NaN            NaN  0.128524                 NaN  0.179251                 NaN            NaN            NaN
  1305.55        500.000        99.3650       0.311338       0.195474E-001            NaN            NaN  0.126360                 NaN  0.177764                 NaN            NaN            NaN
  1304.49        500.000        99.3689       0.310040       0.200880E-001            NaN            NaN  0.124555                 NaN  0.176414                 NaN            NaN            NaN
  1303.42        500.000        99.3727       0.235871E-001  0.306996                 NaN            NaN  0.121730                 NaN  0.174938                 NaN            NaN            NaN
  1302.35        500.000        99.3771       0.317902                 NaN            NaN            NaN  0.130545                 NaN  0.174426                 NaN            NaN            NaN
  1301.28        500.000        99.3789       0.523264E-001  0.291243                 NaN            NaN  0.106057                 NaN  0.171510                 NaN            NaN            NaN
  1300.21        500.000        99.3838       0.301066       0.293509E-001            NaN            NaN  0.114874                 NaN  0.170910                 NaN            NaN            NaN
  1299.14        500.000        99.3878       0.305731E-001  0.299429                 NaN            NaN  0.112687                 NaN  0.169486                 NaN            NaN            NaN
  1298.08        500.000        99.3912       0.297775       0.323823E-001            NaN            NaN  0.110372                 NaN  0.168222                 NaN            NaN            NaN
  1297.01        500.000        99.3947       0.294497       0.362614E-001            NaN            NaN  0.107606                 NaN  0.166911                 NaN            NaN            NaN
  1295.94        500.000        99.3985       0.363787E-001  0.293677                 NaN            NaN  0.105793                 NaN  0.165629                 NaN            NaN            NaN
  1294.87        500.000        99.4016       0.410883E-001  0.290100                 NaN            NaN  0.102818                 NaN  0.164437                 NaN            NaN            NaN
  1293.80        500.000        99.4039       0.290757       0.407811E-001            NaN            NaN  0.101011                 NaN  0.163547                 NaN            NaN            NaN
  1292.73        500.000        99.4087       0.285788       0.463087E-001            NaN            NaN  0.974616E-001            NaN  0.161750                 NaN            NaN            NaN
  1291.67        500.000        99.4093       0.282440       0.531046E-001            NaN            NaN  0.938713E-001            NaN  0.161265                 NaN            NaN            NaN
  1290.60        500.000        99.4149       0.517101E-001  0.281378                 NaN            NaN  0.926597E-001            NaN  0.159387                 NaN            NaN            NaN
  1289.53        500.000        99.4170       0.277295       0.577565E-001            NaN            NaN  0.893621E-001            NaN  0.158580                 NaN            NaN            NaN
  1288.46        500.000        99.4199       0.606562E-001  0.275168                 NaN            NaN  0.867818E-001            NaN  0.157494                 NaN            NaN            NaN
  1287.39        500.000        99.4224       0.272227       0.652670E-001            NaN            NaN  0.836348E-001            NaN  0.156434                 NaN            NaN            NaN
  1286.32        500.000        99.4251       0.268095       0.705791E-001            NaN            NaN  0.807698E-001            NaN  0.155464                 NaN            NaN            NaN
  1285.26        500.000        99.4283       0.265961       0.723034E-001            NaN            NaN  0.789438E-001            NaN  0.154492                 NaN            NaN            NaN
  1284.19        500.000        99.4314       0.262151       0.784512E-001            NaN            NaN  0.749557E-001            NaN  0.153081                 NaN            NaN            NaN
  1283.12        500.000        99.4330       0.828839E-001  0.259267                 NaN            NaN  0.724018E-001            NaN  0.152473                 NaN            NaN            NaN
  1282.05        500.000        99.4385       0.289112       0.321431E-001            NaN            NaN  0.880977E-001            NaN  0.152162                 NaN            NaN            NaN
  1280.98        500.000        99.4358       0.217597       0.148673                 NaN            NaN  0.481578E-001            NaN  0.149752                 NaN            NaN            NaN
  1279.91        500.000        99.4407       0.247363       0.987911E-001            NaN            NaN  0.635861E-001            NaN  0.149604                 NaN            NaN            NaN
  1278.84        500.000        99.4428       0.243171       0.104716                 NaN            NaN  0.605366E-001            NaN  0.148736                 NaN            NaN            NaN
  1277.78        500.000        99.4449       0.241247       0.107039                 NaN            NaN  0.583779E-001            NaN  0.147990       0.415305E-003            NaN            NaN
  1276.71        500.000        99.4125       0.328694                 NaN            NaN            NaN  0.717437E-001            NaN  0.155444       0.316367E-001            NaN            NaN
  1275.64        500.000        99.4177       0.325220                 NaN            NaN            NaN  0.718140E-001            NaN  0.154037       0.312511E-001            NaN            NaN
  1274.57        500.000        92.7452        1.90322                 NaN            NaN            NaN  0.283180                 NaN  0.904238       0.247587        3.91662                 NaN
  1273.50        500.000        92.7396        1.98604                 NaN            NaN            NaN  0.214176                 NaN  0.902478       0.240128        3.91760                 NaN
  1272.43        500.000        93.2381        1.89726                 NaN            NaN            NaN  0.169722                 NaN  0.844006       0.219959        3.63096                 NaN
  1271.37        500.000        93.6847        1.78617                 NaN            NaN            NaN  0.154936                 NaN  0.790908       0.203861        3.37943                 NaN
  1270.30        500.000        94.0791        1.68584                 NaN            NaN            NaN  0.142911                 NaN  0.743960       0.189830        3.15840                 NaN
  1269.23        500.000        94.4244        1.60712                 NaN            NaN            NaN  0.124776                 NaN  0.702733       0.176944        2.96398                 NaN
  1268.16        500.000        94.7394        1.51623                 NaN            NaN            NaN  0.123061                 NaN  0.664886       0.166383        2.79000                 NaN
  1267.09        500.000        95.0135        1.44944                 NaN            NaN            NaN  0.112069                 NaN  0.631766       0.156426        2.63677                 NaN
  1266.02        500.000        95.2636        1.38286                 NaN            NaN            NaN  0.105728                 NaN  0.601501       0.147679        2.49865                 NaN
  1264.96        500.000        95.4902        1.33222                 NaN            NaN            NaN  0.917578E-001            NaN  0.574012       0.139182        2.37263                 NaN
  1263.89        500.000        95.7023        1.25833                 NaN            NaN            NaN  0.100605                 NaN  0.548024       0.132727        2.25805                 NaN
  1262.82        500.000        95.8892        1.20963                 NaN            NaN            NaN  0.944901E-001            NaN  0.525032       0.126106        2.15553                 NaN
  1261.75        500.000        96.0633        1.17004                 NaN            NaN            NaN  0.838224E-001            NaN  0.503675       0.119578        2.05960                 NaN
  1260.68        500.000        96.2242        1.12585                 NaN            NaN            NaN  0.800767E-001            NaN  0.483744       0.113959        1.97214                 NaN
  1259.61        500.000        96.3745        1.06203                 NaN            NaN            NaN  0.954426E-001            NaN  0.464819       0.109992        1.89324                 NaN
  1258.55        500.000        96.5067        1.04196                 NaN            NaN            NaN  0.793758E-001            NaN  0.448274       0.104439        1.81929                 NaN
  1257.48        500.000        96.6372        1.00682                 NaN            NaN            NaN  0.748031E-001            NaN  0.431991       0.997453E-001   1.74945                 NaN
  1256.41        500.000        96.7486       0.972479                 NaN            NaN            NaN  0.750951E-001            NaN  0.417818       0.960946E-001   1.68994                 NaN
  1255.34        500.000        96.8743       0.932806                 NaN            NaN            NaN  0.767572E-001            NaN  0.401745       0.918476E-001   1.62251                 NaN
  1254.27        500.000        96.9713       0.910398                 NaN            NaN            NaN  0.702930E-001            NaN  0.389435       0.881820E-001   1.57042                 NaN
  1253.20        500.000        97.0692       0.879114                 NaN            NaN            NaN  0.714996E-001            NaN  0.376788       0.849154E-001   1.51853                 NaN
  1252.14        500.000        97.1608       0.851695                 NaN            NaN            NaN  0.708315E-001            NaN  0.364896       0.817244E-001   1.47007                 NaN
  1251.07        500.000        97.2494       0.825075                 NaN            NaN            NaN  0.700738E-001            NaN  0.353436       0.786629E-001   1.42337                 NaN
  1250.00        500.000        97.3299       0.805809                 NaN            NaN            NaN  0.654836E-001            NaN  0.342867       0.755907E-001   1.38038                 NaN
  1248.93        500.000        97.4080       0.777936                 NaN            NaN            NaN  0.688130E-001            NaN  0.332512       0.731015E-001   1.33961                 NaN
  1247.86        500.000        97.4827       0.758773                 NaN            NaN            NaN  0.652084E-001            NaN  0.322725       0.702854E-001   1.30030                 NaN
  1246.79        500.000        97.5536       0.744310                 NaN            NaN            NaN  0.585617E-001            NaN  0.313478       0.674416E-001   1.26263                 NaN
  1245.73        500.000        97.6209       0.725969                 NaN            NaN            NaN  0.561553E-001            NaN  0.304533       0.649628E-001   1.22744                 NaN
  1244.66        500.000        97.6847       0.706858                 NaN            NaN            NaN  0.556729E-001            NaN  0.295885       0.626990E-001   1.19417                 NaN
  1243.59        500.000        97.7453       0.690179                 NaN            NaN            NaN  0.535504E-001            NaN  0.287816       0.604589E-001   1.16270                 NaN
  1242.52        500.000        97.8039       0.675150                 NaN            NaN            NaN  0.507697E-001            NaN  0.279943       0.582468E-001   1.13200                 NaN
  1241.45        500.000        97.8597       0.663899                 NaN            NaN            NaN  0.452685E-001            NaN  0.272498       0.559311E-001   1.10275                 NaN
  1240.38        500.000        97.9123       0.645152                 NaN            NaN            NaN  0.471350E-001            NaN  0.265171       0.542439E-001   1.07598                 NaN
  1239.32        500.000        97.9640       0.636499                 NaN            NaN            NaN  0.408085E-001            NaN  0.258187       0.520256E-001   1.04850                 NaN
  1238.25        500.000        98.0145       0.618303                 NaN            NaN            NaN  0.421376E-001            NaN  0.251251       0.504349E-001   1.02335                 NaN
  1237.18        500.000        98.0566       0.612628                 NaN            NaN            NaN  0.369348E-001            NaN  0.245503       0.483620E-001  0.999939                 NaN
  1236.11        500.000        98.1050       0.600366                 NaN            NaN            NaN  0.332217E-001            NaN  0.238967       0.466083E-001  0.975832                 NaN
  1235.04        500.000        98.1484       0.589324                 NaN            NaN            NaN  0.313530E-001            NaN  0.232791       0.449746E-001  0.953184                 NaN
  1233.97        500.000        98.1890       0.584612                 NaN            NaN            NaN  0.246404E-001            NaN  0.227297       0.430796E-001  0.931384                 NaN
  1232.90        500.000        98.2295       0.573909                 NaN            NaN            NaN  0.224044E-001            NaN  0.221728       0.415916E-001  0.910911                 NaN
  1231.84        500.000        98.2766       0.549996                 NaN            NaN            NaN  0.285593E-001            NaN  0.215250       0.404175E-001  0.889137                 NaN
  1230.77        500.000        98.2943       0.572452                 NaN            NaN            NaN  0.846243E-002            NaN  0.212456       0.382227E-001  0.874105                 NaN
  1229.70        500.000        98.3405       0.562130                 NaN            NaN            NaN  0.287790E-002            NaN  0.206361       0.364879E-001  0.851685                 NaN
  1228.63        500.000        98.3742       0.553411                 NaN            NaN            NaN  0.106305E-002            NaN  0.201647       0.352334E-001  0.834477                 NaN
  1227.56        500.000        98.4074       0.544349                 NaN            NaN            NaN            NaN            NaN  0.197070       0.338493E-001  0.817282                 NaN
  1226.49        500.000        98.4423       0.532724                 NaN            NaN            NaN            NaN            NaN  0.192657       0.325267E-001  0.799796                 NaN
  1225.43        500.000        98.4728       0.523533                 NaN            NaN            NaN            NaN            NaN  0.188508       0.312683E-001  0.783929                 NaN
  1224.36        500.000        98.5061       0.512354                 NaN            NaN            NaN            NaN            NaN  0.183975       0.302107E-001  0.767384                 NaN
  1223.29        500.000        98.5378       0.501761                 NaN            NaN            NaN            NaN            NaN  0.179764       0.290629E-001  0.751585                 NaN
  1222.22        500.000        98.5680       0.491514                 NaN            NaN            NaN  0.511763E-005            NaN  0.175415       0.280821E-001  0.736977                 NaN
  1221.15        500.000        98.5987       0.480916                 NaN            NaN            NaN            NaN            NaN  0.171041       0.271718E-001  0.722122                 NaN
  1220.08        500.000        98.6275       0.471720                 NaN            NaN            NaN            NaN            NaN  0.167851       0.258292E-001  0.707092                 NaN
  1219.02        500.000        98.6548       0.462364                 NaN            NaN            NaN            NaN            NaN  0.163803       0.250473E-001  0.693988                 NaN
  1217.95        500.000        98.6859       0.451050                 NaN            NaN            NaN            NaN            NaN  0.158974       0.244236E-001  0.679681                 NaN
  1216.88        500.000        98.7075       0.445084                 NaN            NaN            NaN            NaN            NaN  0.156049       0.234614E-001  0.667948                 NaN
  1215.81        500.000        98.7402       0.432210                 NaN            NaN            NaN            NaN            NaN  0.151188       0.228678E-001  0.653514                 NaN
  1214.74        500.000        82.5436        2.87678                 NaN            NaN            NaN            NaN            NaN   1.48731       0.130998        6.42177        6.53950     
  1213.67        500.000        81.5881        3.00359                 NaN            NaN            NaN  0.355017E-001            NaN   1.56488       0.133658        6.73087        6.94336     
  1212.61        500.000        70.7140        3.47237                 NaN            NaN            NaN  0.972611                 NaN   2.57154       0.221607        10.9181        11.1298     
  1211.54        500.000        87.6835        1.18346                 NaN            NaN            NaN  0.552310       0.259955E-001  0.976871       0.110655        4.35275        5.11443     
  1210.47        500.000        93.6224        1.28491                 NaN            NaN            NaN            NaN            NaN  0.493925       0.648243E-001   2.33577        2.19821     
  1209.40        500.000        27.0714        9.70292                 NaN            NaN            NaN   1.31766                 NaN   6.01123       0.564709        26.7738        28.5583     
  1208.33        500.000        98.7400       0.323828                 NaN            NaN            NaN            NaN            NaN            NaN  0.250825E-002  0.933665                 NaN
  1207.26        500.000        99.8865                 NaN            NaN            NaN            NaN  0.235052E-001            NaN            NaN  0.900179E-001            NaN            NaN
  1206.20        500.000       100.0000                 NaN            NaN            NaN            NaN  0.427749E-004            NaN            NaN            NaN            NaN            NaN
  1205.13        500.000        99.9906                 NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.943763E-002            NaN            NaN
  1204.06        500.000        99.9833                 NaN            NaN            NaN            NaN  0.167133E-001            NaN            NaN            NaN            NaN            NaN
  1202.99        500.000        99.8529                 NaN            NaN            NaN            NaN  0.116453                 NaN  0.306662E-001            NaN            NaN            NaN
  1201.92        500.000        99.7943                 NaN            NaN            NaN            NaN  0.890886E-001            NaN  0.443861E-001  0.721883E-001            NaN            NaN
  1200.85        500.000        98.0616                 NaN            NaN            NaN            NaN  0.365087                 NaN  0.321117                 NaN  0.990981       0.261246     
  1199.79        500.000        99.9903       0.973070E-002            NaN            NaN            NaN  0.147737E-004            NaN            NaN            NaN            NaN            NaN
